"fisc_period","fisc_year","region","office","town","ttl_cps_acept_m","ttl_cps_subs_m","ttl_allegat_m","ttl_allegat_subs_m","ttl_phys_abuse_m","ttl_educ_neglect_m","ttl_emot_neglect_m","ttl_high_risk_m","ttl_medi_neglect_m","ttl_at_risk_m","ttl_phys_neglect_m","ttl_sex_abuse_m","ttl_hmntr_m","ttl_em_ab_m","ttl_moral_neglect_m","subs_phys_abuse_m","subs_educ_neglect_m","subs_emot_neglect_m","subs_high_risk_m","subs_medi_neglect_m","subs_at_risk_m","subs_phys_neglect_m","subs_sex_abuse_m","sub_hmntr_m","sub_em_ab_m","sub_moral_neglect_m","children_subs","rate_phys_abuse_m","rate_educ_neglect_m","rate_emot_neglect_m","rate_high_risk_m","rate_medi_neglect_m","rate_at_risk_m","rate_phys_neglect_m","rate_sex_abuse_m","rate_hmntr_m","rate_em_ab_m","rate_moral_neglect_m"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","HAMDEN","300","67","634","149","58","14","100","-","21","-","410","12","<= 10","13","<= 10","<= 10","<= 10","33","-","<= 10","-","91","<= 10","-","<= 10","<= 10","90","15 - 25 %","28 - 38 %","33%","-","32 - 42 %","-","22%","16 - 26 %","0 - 9 %","7 - 17 %","39 - 49 %"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","MILFORD","174","30","358","59","42","16","56","-","<= 10","-","211","<= 10","-","12","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","40","<= 10","-","<= 10","-","37","4 - 14 %","12 - 22 %","12 - 22 %","-","32 - 42 %","-","19%","32 - 42 %","-","24 - 34 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","NORTH BRANFORD","31","<= 10","63","18","<= 10","<= 10","<= 10","-","<= 10","-","30","<= 10","-","<= 10","-","<= 10","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","11","39 - 49 %","0 - 9 %","19 - 29 %","-","0 - 9 %","-","32 - 42 %","66 - 76 %","-","0 - 9 %","-"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","NORTH HAVEN","70","15","165","45","12","<= 10","24","-","<= 10","-","103","<= 10","-","<= 10","<= 10","<= 10","<= 10","<= 10","-","-","-","33","<= 10","-","-","-","24","7 - 17 %","59 - 69 %","12 - 22 %","-","0 - 9 %","-","32%","99 - 109 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","ORANGE","22","<= 10","39","<= 10","<= 10","<= 10","<= 10","-","-","-","26","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","13 - 23 %","-","-","-","34 - 44 %","0 - 9 %","-","0 - 9 %","-"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","SEYMOUR","84","20","205","53","16","13","24","-","<= 10","-","141","<= 10","-","<= 10","<= 10","-","<= 10","<= 10","-","<= 10","-","42","-","-","-","-","24","-","14 - 24 %","32 - 42 %","-","32 - 42 %","-","30%","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","SHELTON","163","33","365","96","36","<= 10","59","-","<= 10","-","237","<= 10","-","<= 10","-","<= 10","<= 10","16","-","<= 10","-","67","<= 10","-","-","-","44","10 - 20 %","21 - 31 %","27%","-","39 - 49 %","-","28%","32 - 42 %","-","0 - 9 %","-"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","WEST HAVEN","447","131","1139","362","105","36","167","-","15","-","752","28","<= 10","27","<= 10","<= 10","<= 10","64","-","<= 10","-","269","<= 10","-","<= 10","-","200","8 - 18 %","27 - 37 %","38%","-","26 - 36 %","-","36%","17 - 27 %","0 - 9 %","3 - 13 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","WOODBRIDGE","22","<= 10","63","19","<= 10","-","17","-","-","-","37","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","11","<= 10","-","<= 10","-","14","0 - 9 %","-","28 - 38 %","-","-","-","30%","99 - 109 %","-","66 - 76 %","0%"
"07/01/2019 - 06/30/2020","2020","REGION 2","NEW HAVEN","NEW HAVEN","1651","350","3915","929","294","123","584","-","74","-","2677","80","<= 10","48","33","30","41","201","-","<= 10","-","626","22","-","<= 10","<= 10","503","10%","33%","34%","-","7 - 17 %","-","23%","28%","0 - 9 %","1 - 11 %","5 - 15 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","CHESTER","<= 10","<= 10","13","-","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","-","-","0 - 9 %","-","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","CLINTON","42","<= 10","84","<= 10","<= 10","<= 10","13","-","<= 10","-","59","<= 10","-","-","<= 10","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","7 - 17 %","-","0 - 9 %","-","13 - 23 %","0 - 9 %","-","-","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","CROMWELL","77","16","180","27","18","<= 10","36","-","<= 10","-","108","<= 10","-","<= 10","<= 10","-","-","<= 10","-","-","-","20","<= 10","-","-","<= 10","20","-","0 - 9 %","13 - 23 %","-","0 - 9 %","-","19%","32 - 42 %","-","0 - 9 %","99 - 109 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","DEEP RIVER","13","<= 10","19","-","<= 10","<= 10","<= 10","-","-","-","13","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","-","-","-","0 - 9 %","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","DURHAM","17","<= 10","37","<= 10","<= 10","<= 10","<= 10","-","-","-","24","<= 10","-","-","-","<= 10","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","16 - 26 %","0 - 9 %","66 - 76 %","-","-","-","20 - 30 %","32 - 42 %","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","EAST HADDAM","34","<= 10","89","18","<= 10","<= 10","12","-","-","-","63","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","17","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","7 - 17 %","-","-","-","27%","0 - 9 %","-","0 - 9 %","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","EAST HAMPTON","42","<= 10","89","17","<= 10","<= 10","12","-","<= 10","-","50","<= 10","-","<= 10","-","-","<= 10","<= 10","-","<= 10","-","<= 10","<= 10","-","-","-","11","0 - 9 %","28 - 38 %","24 - 34 %","-","66 - 76 %","-","17 - 27 %","49 - 59 %","-","0 - 9 %","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","ESSEX","11","<= 10","23","<= 10","<= 10","-","<= 10","-","-","-","16","<= 10","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","-","-","12 - 22 %","0 - 9 %","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","GUILFORD","49","13","117","47","14","<= 10","17","-","<= 10","-","77","<= 10","-","<= 10","-","<= 10","-","<= 10","-","<= 10","-","36","<= 10","-","<= 10","-","36","6 - 16 %","0 - 9 %","28 - 38 %","-","99 - 109 %","-","47%","49 - 59 %","-","99 - 109 %","0%"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","HADDAM","17","<= 10","40","12","<= 10","<= 10","<= 10","-","<= 10","-","21","<= 10","-","<= 10","-","<= 10","-","<= 10","-","-","-","<= 10","-","-","<= 10","-","<= 10","19 - 29 %","0 - 9 %","32 - 42 %","-","0 - 9 %","-","37 - 47 %","0 - 9 %","-","99 - 109 %","0%"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","KILLINGWORTH","17","<= 10","43","<= 10","<= 10","-","<= 10","-","-","-","33","-","-","-","<= 10","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","-","-","11 - 21 %","-","-","-","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","LYME","<= 10","<= 10","<= 10","-","<= 10","-","-","-","<= 10","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","0 - 9 %","-","-","-","0 - 9 %","-","0 - 9 %","-","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","MADISON","39","<= 10","86","24","<= 10","-","14","-","<= 10","-","58","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","<= 10","-","15","-","-","-","-","11","37 - 47 %","-","28 - 38 %","-","99 - 109 %","-","26%","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","MIDDLEFIELD","13","<= 10","25","<= 10","<= 10","<= 10","<= 10","-","-","-","17","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","-","-","11 - 21 %","-","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","MIDDLETOWN","344","76","775","163","66","25","112","-","13","-","523","17","<= 10","12","<= 10","<= 10","<= 10","30","-","<= 10","-","117","<= 10","<= 10","<= 10","<= 10","107","5 - 15 %","11 - 21 %","27%","-","22 - 32 %","-","22%","11 - 21 %","99 - 109 %","7 - 17 %","32 - 42 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","OLD LYME","23","<= 10","50","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","25","-","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","10 - 20 %","0 - 9 %","13 - 23 %","-","0 - 9 %","-","7 - 17 %","-","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","OLD SAYBROOK","28","<= 10","69","24","<= 10","<= 10","14","-","-","-","45","-","-","<= 10","-","<= 10","-","<= 10","-","-","-","17","-","-","-","-","13","12 - 22 %","0 - 9 %","42 - 52 %","-","-","-","38%","-","-","0 - 9 %","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","PORTLAND","46","<= 10","98","23","<= 10","<= 10","<= 10","-","<= 10","-","62","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","18","<= 10","-","-","-","15","13 - 23 %","0 - 9 %","19 - 29 %","-","0 - 9 %","-","29%","32 - 42 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","MIDDLETOWN","WESTBROOK","21","<= 10","56","12","<= 10","<= 10","<= 10","-","-","-","36","<= 10","-","-","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","0 - 9 %","66 - 76 %","-","-","-","13 - 23 %","49 - 59 %","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","BOZRAH","16","<= 10","35","<= 10","<= 10","-","<= 10","-","-","-","26","<= 10","-","-","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","49 - 59 %","-","-","-","14 - 24 %","99 - 109 %","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","COLCHESTER","93","<= 10","199","34","14","<= 10","26","-","<= 10","-","137","<= 10","-","<= 10","<= 10","-","-","<= 10","-","-","-","28","-","-","-","-","11","-","0 - 9 %","22 - 32 %","-","0 - 9 %","-","20%","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","EAST LYME","102","22","223","65","19","<= 10","38","-","<= 10","-","148","<= 10","-","<= 10","<= 10","-","-","18","-","<= 10","-","42","<= 10","-","<= 10","<= 10","27","-","0 - 9 %","47%","-","32 - 42 %","-","28%","24 - 34 %","-","39 - 49 %","32 - 42 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","FRANKLIN","<= 10","<= 10","19","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","<= 10","<= 10","<= 10","-","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","49 - 59 %","-","0 - 9 %","-","19 - 29 %","0 - 9 %","0 - 9 %","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","GRISWOLD","104","<= 10","227","29","12","<= 10","28","-","11","-","154","<= 10","-","<= 10","<= 10","<= 10","-","-","-","<= 10","-","26","-","-","-","-","13","7 - 17 %","0 - 9 %","-","-","17 - 27 %","-","17%","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","GROTON","264","45","667","168","51","16","97","-","13","-","423","41","-","18","<= 10","<= 10","<= 10","29","-","<= 10","-","106","21","-","<= 10","-","54","7 - 17 %","12 - 22 %","30%","-","22 - 32 %","-","25%","51%","-","16 - 26 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","LEBANON","32","<= 10","89","36","<= 10","-","26","-","<= 10","-","49","<= 10","-","-","-","-","-","14","-","<= 10","-","20","<= 10","-","-","-","12","0 - 9 %","-","54%","-","99 - 109 %","-","41%","19 - 29 %","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","LEDYARD","60","11","168","61","12","<= 10","32","-","<= 10","-","105","<= 10","-","<= 10","<= 10","<= 10","-","19","-","-","-","40","-","-","<= 10","-","18","7 - 17 %","0 - 9 %","59%","-","0 - 9 %","-","38%","0 - 9 %","-","10 - 20 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","LISBON","23","<= 10","47","13","<= 10","<= 10","<= 10","-","<= 10","-","26","<= 10","-","<= 10","<= 10","-","-","<= 10","-","<= 10","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","32 - 42 %","-","99 - 109 %","-","37 - 47 %","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","MONTVILLE","150","18","372","88","35","<= 10","84","-","<= 10","-","217","<= 10","-","12","<= 10","<= 10","-","29","-","<= 10","-","48","<= 10","-","<= 10","<= 10","28","8 - 18 %","0 - 9 %","35%","-","28 - 38 %","-","22%","32 - 42 %","-","7 - 17 %","43 - 53 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","NEW LONDON","335","68","815","207","80","18","126","-","<= 10","-","542","21","<= 10","<= 10","<= 10","<= 10","<= 10","39","-","<= 10","-","146","<= 10","-","-","<= 10","101","10 - 20 %","21 - 31 %","31%","-","24 - 34 %","-","27%","28 - 38 %","0 - 9 %","0 - 9 %","10 - 20 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","NORTH STONINGTON","19","<= 10","61","33","<= 10","-","18","-","<= 10","-","37","<= 10","-","<= 10","-","<= 10","-","15","-","-","-","17","-","-","-","-","<= 10","32 - 42 %","-","83%","-","0 - 9 %","-","46%","0 - 9 %","-","0 - 9 %","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","NORWICH","547","109","1424","456","98","48","195","-","34","-","983","37","-","16","13","12","<= 10","85","-","<= 10","-","321","14","-","<= 10","<= 10","157","12%","18 - 28 %","44%","-","28 - 38 %","-","33%","38%","-","18 - 28 %","14 - 24 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","PRESTON","19","<= 10","49","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","35","<= 10","-","-","<= 10","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","0 - 9 %","-","16 - 26 %","0 - 9 %","-","-","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","SALEM","17","<= 10","58","34","<= 10","<= 10","17","-","-","-","32","<= 10","-","<= 10","-","-","-","12","-","-","-","21","-","-","<= 10","-","<= 10","0 - 9 %","0 - 9 %","71%","-","-","-","66%","0 - 9 %","-","32 - 42 %","0%"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","SPRAGUE","42","<= 10","102","<= 10","<= 10","<= 10","13","-","<= 10","-","72","<= 10","-","<= 10","<= 10","-","<= 10","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","24 - 34 %","7 - 17 %","-","0 - 9 %","-","0 - 10 %","49 - 59 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","STONINGTON","80","11","186","53","17","<= 10","39","-","<= 10","-","103","<= 10","-","<= 10","<= 10","-","-","17","-","<= 10","-","34","-","-","-","-","17","-","0 - 9 %","44%","-","32 - 42 %","-","33%","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","VOLUNTOWN","11","<= 10","37","-","<= 10","<= 10","<= 10","-","-","-","21","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","-","-","-","-","-","0 - 9 %","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","NORWICH","WATERFORD","79","11","277","80","<= 10","<= 10","62","-","15","-","182","<= 10","-","<= 10","<= 10","-","<= 10","14","-","<= 10","-","55","-","-","-","-","18","0 - 9 %","74 - 84 %","23%","-","52 - 62 %","-","30%","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","WILLIMANTIC","ASHFORD","33","<= 10","75","24","<= 10","<= 10","21","-","<= 10","-","39","<= 10","-","-","<= 10","<= 10","-","<= 10","-","-","-","11","<= 10","-","-","-","<= 10","49 - 59 %","0 - 9 %","47 - 57 %","-","0 - 9 %","-","28%","49 - 59 %","-","-","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","WILLIMANTIC","BROOKLYN","58","<= 10","198","48","<= 10","<= 10","25","-","<= 10","-","148","<= 10","-","<= 10","<= 10","-","-","<= 10","-","-","-","33","<= 10","-","-","<= 10","12","0 - 9 %","0 - 9 %","35 - 45 %","-","0 - 9 %","-","22%","66 - 76 %","-","0 - 9 %","49 - 59 %"
"07/01/2019 - 06/30/2020","2020","REGION 3","WILLIMANTIC","CANTERBURY","29","<= 10","83","26","<= 10","<= 10","25","-","<= 10","-","46","<= 10","-","<= 10","-","<= 10","-","13","-","-","-","<= 10","<= 10","-","-","-","11","32 - 42 %","0 - 9 %","52%","-","0 - 9 %","-","19 - 29 %","99 - 109 %","-","0 - 9 %","-"
"07/01/2019 - 06/30/2020","2020","REGION 3","WILLIMANTIC","CHAPLIN","12","<= 10","25","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","12","<= 10","-","-","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","0 - 9 %","74 - 84 %","-","0 - 9 %","-","32 - 42 %","49 - 59 %","-","-","-"
