"fiscal_year","town_code","municipality","total_consideration_for","total_amount_due","consideration_for_unimproved","tax_on_unimproved_land","total_consideration_for_1","consideration_for_residential","tax_on_consideration_under","consideration_for_residential_1","tax_on_consideration_over","consideration_for_residential_2","tax_on_consideration_between","consideration_for_residential_3","tax_on_consideration_over_1","residential_property_other","tax_on_residential_property","nonresidential_property_other","tax_on_nonresidential_property","delinquent_mortgage_conveyance","tax_on_delinquent_mortgagor","number_of_taxable_conveyances","number_of_non_taxable_and"
"FY 2020-21","028","COLCHESTER (028)","109103950","860036","6956059","52170","80407641","80389641","602922",,,"18000","225","0","0","13407000","100553","8333250","104166","0","0","342","126"
"FY 2020-21","029","COLEBROOK (029)","15978102","120836","540000","4050","15358102","15158102","113686",,,"200000","2500","0","0","80000","600","0","0","0","0","56","11"
"FY 2020-21","030","COLUMBIA (030)","40671739","336258","2155300","16165","32272439","32272439","242043",,,"0","0","0","0","0","0","6244000","78050","0","0","129","67"
"FY 2020-21","031","CORNWALL (031)","36345013","308113","1516516","11374","33923497","27183497","203876",,,"6740000","84250","0","0","540000","4050","365000","4563","0","0","72","25"
"FY 2020-21","032","COVENTRY (032)","88317449","670018","1091750","8188","85748346","85448346","640863",,,"300000","3750","0","0","250000","1875","1227354","15342","0","0","343","177"
"FY 2020-21","033","CROMWELL (033)","177730885","1757316","4602638","34520","88461278","88261278","661960",,,"200000","2500","0","0","0","0","84666969","1058337","0","0","368","123"
"FY 2020-21","034","DANBURY (034)","674836917","5901827","8348493","62614","506214814","497445666","3730842",,,"7669148","95864","1100000","24750","3132750","23496","157140860","1964261","0","0","1561","589"
"FY 2020-21","035","DARIEN (035)","1121065341","12620620","9118800","68391","1109271541","485106092","3638296",,,"516322692","6454034","107842758","2426462","0","0","2675000","33438","0","0","652","132"
"FY 2020-21","036","DEEP RIVER (036)","41388361","339664","1955500","14666","36012161","33575661","251817",,,"2436500","30456","0","0","7000","53","3413700","42671","0","0","129","57"
"FY 2020-21","037","DERBY (037)","69340520","564520","2537274","19030","57982946","57909946","434325",,,"73000","913","0","0","0","0","8820300","110254","0","0","277","85"
"FY 2020-21","038","DURHAM (038)","49448966","373087","2836400","21273","45589516","45539516","341546",,,"50000","625","0","0","629000","4718","394050","4926","0","0","150","63"
"FY 2020-21","039","EASTFORD (039)","18939669","176470","1395399","10465","10659850","10659850","79949",,,"0","0","0","0","0","0","6884420","86055","0","0","57","32"
"FY 2020-21","040","EAST GRANBY (040)","41255861","338799","1088400","8163","34141961","34141961","256065",,,"0","0","0","0","149500","1121","5876000","73450","0","0","139","74"
"FY 2020-21","041","EAST HADDAM (041)","79224645","616064","2992900","22447","73478545","71705936","537795",,,"1772609","22158","0","0","150000","1125","2603200","32540","0","0","287","116"
"FY 2020-21","042","EAST HAMPTON (042)","115782930","885174","6529855","48974","107823075","105892700","794195",,,"1930375","24130","0","0","0","0","1430000","17875","0","0","404","192"
"FY 2020-21","043","EAST HARTFORD (043)","245299882","2057869","1725949","12945","152689423","152429423","1143221",,,"260000","3250","0","0","47520500","356404","43364010","542050","0","0","902","250"
"FY 2020-21","044","EAST HAVEN (044)","185792264","1439772","2312012","17340","151432251","151272251","1134542",,,"160000","2000","0","0","22942000","172065","9106000","113825","0","0","676","292"
"FY 2020-21","045","EAST LYME (045)","198890357","1616503","6538501","49039","184775710","171955860","1289669",,,"10319850","128998","2500000","56250","431000","3233","7145146","89314","0","0","520","289"
"FY 2020-21","046","EASTON (046)","157690017","1271590","2861240","21459","154828777","137045762","1027843",,,"17783015","222288","0","0","0","0","0","0","0","0","231","85"
"FY 2020-21","047","EAST WINDSOR (047)","69690115","563609","3288099","24661","59702682","57951069","434633",,,"1700000","21250","51613","1161","367500","2756","6331834","79148","0","0","283","100"
"FY 2020-21","048","ELLINGTON (048)","96868754","746925","3955363","29665","88297042","87542042","656565",,,"755000","9438","0","0","1289500","9671","3326850","41586","0","0","334","124"
"FY 2020-21","049","ENFIELD (049)","254997039","2214101","7413780","55603","184932848","184755848","1385669",,,"177000","2213","0","0","2502750","18771","60147661","751846","0","0","911","329"
"FY 2020-21","050","ESSEX (050)","132843438","1135340","1186000","8895","128252438","106199688","796498",,,"19377750","242222","2675000","60188","3005000","22538","400000","5000","0","0","229","87"
"FY 2020-21","051","FAIRFIELD (051)","1425245686","13044692","22118900","165892","1327303273","984025137","7380189",,,"313557003","3919463","29721132","668725","7474000","56055","68349513","854369","0","0","1666","403"
"FY 2020-21","052","FARMINGTON (052)","287094102","2413706","6552000","49140","244665292","228282187","1712116",,,"16383105","204789","0","0","159800","1199","35717010","446463","0","0","678","331"
"FY 2020-21","053","FRANKLIN (053)","15121124","117684","1770500","13279","12495499","12495499","93716",,,"0","0","0","0","0","0","855125","10689","0","0","66","36"
"FY 2020-21","054","GLASTONBURY (054)","356250651","2877429","6940825","52056","309739326","302425010","2268188",,,"7314317","91429","0","0","5775000","43313","33795500","422444","0","0","844","334"
"FY 2020-21","055","GOSHEN (055)","78502447","702896","3054000","22905","74098447","59247947","444360",,,"11538000","144225","3312500","74531","0","0","1350000","16875","0","0","160","49"
"FY 2020-21","056","GRANBY (056)","95705441","731481","8935575","67017","84260866","83915866","629369",,,"345000","4313","0","0","116000","870","2393000","29913","0","0","282","157"
"FY 2020-21","057","GREENWICH (057)","3899938995","51446013","71870487","539029","3749852008","1215969144","9119769",,,"1616785471","20209818","917097393","20634691","7000000","52500","71216500","890206","0","0","1704","528"
"FY 2020-21","058","GRISWOLD (058)","78883268","672215","2466986","18502","64478182","60339182","452544",,,"3844000","48050","295000","6638","549000","4118","11389100","142364","0","0","299","114"
"FY 2020-21","059","GROTON (059)","278956837","2361718","7255632","54417","246822205","217252317","1629392",,,"28044888","350561","1525000","34313","3590500","26929","21288500","266106","0","0","747","355"
"FY 2020-21","060","GUILFORD (060)","280920639","2329383","9260648","69455","264301540","232322864","1742421",,,"29133708","364171","2844968","64012","531500","3986","6826951","85337","0","0","578","261"
"FY 2020-21","061","HADDAM (061)","79149038","642448","4208000","31560","65934025","65175025","488813",,,"759000","9488","0","0","0","0","9007013","112588","0","0","218","85"
"FY 2020-21","062","HAMDEN (062)","338435668","2746573","3813344","28600","281157947","280822947","2106172",,,"335000","4188","0","0","12138333","91037","41326043","516576","0","0","1206","423"
"FY 2020-21","063","HAMPTON (063)","13003697","106028","634147","4756","12369550","10669550","80022",,,"1700000","21250","0","0","0","0","0","0","0","0","50","27"
"FY 2020-21","064","HARTFORD (064)","375511090","3151083","2302352","17268","184816883","184060720","1380455",,,"756163","9452","0","0","122197970","916485","66193885","827424","0","0","1049","397"
"FY 2020-21","065","HARTLAND (065)","12449900","93374","606500","4549","11843400","11843400","88826",,,"0","0","0","0","0","0","0","0","0","0","48","20"
"FY 2020-21","066","HARWINTON (066)","42063559","318227","972800","7296","40590759","40540759","304056",,,"50000","625","0","0","0","0","500000","6250","0","0","136","64"
"FY 2020-21","067","HEBRON (067)","66441716","510263","999442","7496","62792374","62677374","470080",,,"115000","1438","0","0","374900","2812","2275000","28438","0","0","211","86"
"FY 2020-21","068","KENT (068)","65187290","560534","3907315","29305","60389975","48504087","363781",,,"11110888","138886","775000","17438","0","0","890000","11125","0","0","141","33"
"FY 2020-21","069","KILLINGLY (069)","100790282","786397","1889250","14169","91553780","91553780","686653",,,"0","0","0","0","1253235","9399","6094017","76175","0","0","447","186"
"FY 2020-21","070","KILLINGWORTH (070)","59986500","457319","2001400","15011","57821100","56337100","422528",,,"1484000","18550","0","0","164000","1230","0","0","0","0","171","67"
"FY 2020-21","071","LEBANON (071)","40306053","308880","3888482","29164","35082149","35057149","262929",,,"25000","313","0","0","43500","326","1291922","16149","0","0","171","79"
"FY 2020-21","072","LEDYARD (072)","97507380","732155","2028000","15210","95039380","95039380","712795",,,"0","0","0","0","270000","2025","170000","2125","0","0","395","127"
"FY 2020-21","073","LISBON (073)","25883912","205129","1632300","12242","22011612","22011612","165087",,,"0","0","0","0","40000","300","2200000","27500","0","0","107","47"
"FY 2020-21","074","LITCHFIELD (074)","119771743","976938","4946729","37100","112847014","98997014","742478",,,"13850000","173125","0","0","98000","735","1880000","23500","0","0","286","137"
"FY 2020-21","075","LYME (075)","57024842","494204","3401640","25512","53208202","41904583","314284",,,"10303619","128795","1000000","22500","415000","3113","0","0","0","0","94","34"
"FY 2020-21","076","MADISON (076)","318786285","2659017","6740711","50555","298818074","261256699","1959425",,,"35861375","448267","1700000","38250","565000","4238","12662500","158281","0","0","535","199"
"FY 2020-21","077","MANCHESTER (077)","277352974","2335146","2920601","21905","221080711","221080711","1658105",,,"0","0","0","0","2352000","17640","50999662","637496","0","0","1074","380"
"FY 2020-21","078","MANSFIELD (078)","82354704","633133","1098177","8236","66937024","66937024","502028",,,"0","0","0","0","11225000","84188","3094503","38681","0","0","288","102"
"FY 2020-21","079","MARLBOROUGH (079)","51446462","387098","1143500","8576","50100462","49850462","373878",,,"250000","3125","0","0","202500","1519","0","0","0","0","168","67"
"FY 2020-21","080","MERIDEN (080)","288409292","2354768","4643715","34828","197823862","197823862","1483679",,,"0","0","0","0","47602000","357015","38339715","479246","0","0","1120","379"
"FY 2020-21","081","MIDDLEBURY (081)","107451106","853388","5146405","38598","99959701","93218826","699141",,,"6490875","81136","250000","5625","85000","638","2260000","28250","0","0","262","108"
"FY 2020-21","082","MIDDLEFIELD (082)","26177349","201785","1088100","8161","23987249","23987249","179904",,,"0","0","0","0","11000","83","1091000","13638","0","0","101","29"
"FY 2020-21","083","MIDDLETOWN (083)","234649938","1878091","3629770","27223","207901972","207291845","1554689",,,"610127","7627","0","0","85000","638","23033197","287915","0","0","949","302"
"FY 2020-21","084","MILFORD (084)","498575534","4069869","11256311","84422","433213680","418742135","3140566",,,"14471545","180894","0","0","2466600","18500","51638944","645487","0","0","1251","471"
"FY 2020-21","085","MONROE (085)","203409752","1586133","5893668","44203","190544084","187124084","1403431",,,"2520000","31500","900000","20250","80000","600","6892000","86150","0","0","497","167"
"FY 2020-21","086","MONTVILLE (086)","94969595","730788","2570123","19276","85882782","85582782","641871",,,"300000","3750","0","0","3113490","23351","3403200","42540","0","0","419","178"
"FY 2020-21","087","MORRIS (087)","33567787","257008","1191446","8936","31876341","31326341","234948",,,"550000","6875","0","0","0","0","500000","6250","0","0","88","38"
"FY 2020-21","088","NAUGATUCK (088)","157887621","1229975","4119500","30896","144604622","144604622","1084535",,,"0","0","0","0","0","0","9163499","114544","0","0","713","243"
"FY 2020-21","089","NEW BRITAIN (089)","226333699","1788142","2420656","18155","198866843","198445994","1488345",,,"420849","5261","0","0","7339200","55044","17707000","221338","0","0","1089","435"
"FY 2020-21","090","NEW CANAAN (090)","1087131168","11764541","11942200","89567","1064219728","506261501","3796961",,,"480612592","6007657","77345635","1740277","1407200","10554","9562040","119526","0","0","693","174"
"FY 2020-21","091","NEW FAIRFIELD (091)","202925460","1675983","3598100","26986","198982360","176198860","1321491",,,"18943500","236794","3840000","86400","0","0","345000","4313","0","0","421","171"
"FY 2020-21","092","NEW HARTFORD (092)","49829624","391622","1721400","12911","45053224","44278224","332087",,,"775000","9688","0","0","250000","1875","2805000","35063","0","0","170","74"
"FY 2020-21","093","NEW HAVEN (093)","482213315","3957261","10875166","81564","297671704","291528216","2186462",,,"6143488","76794","0","0","111677645","837582","61988800","774860","0","0","1228","761"
"FY 2020-21","094","NEWINGTON (094)","189532197","1486973","3938200","29537","148560334","147868484","1109014",,,"691850","8648","0","0","24629300","184720","12404363","155055","0","0","667","291"
"FY 2020-21","095","NEW LONDON (095)","102027937","897124","644000","4830","74797162","74022162","555166",,,"775000","9688","0","0","978875","7342","25607900","320099","0","0","408","147"
"FY 2020-21","096","NEW MILFORD (096)","293910458","2419211","10913300","81850","255105165","239494587","1796209",,,"15610578","195132","0","0","526000","3945","27365992","342075","1","0","796","273"
"FY 2020-21","097","NEWTOWN (097)","370632004","2909444","7185540","53892","348547893","340398122","2552986",,,"6624772","82810","1525000","34313","157500","1181","14741071","184263","0","0","805","271"
"FY 2020-21","098","NORFOLK (098)","22210862","187676","1045000","7838","20960862","16949220","127119",,,"4010545","50132","1098","25","0","0","205000","2563","0","0","52","25"
"FY 2020-21","099","NORTH BRANFORD (099)","83264506","658508","2739000","20543","73720658","73720658","552905",,,"0","0","0","0","0","0","6804848","85061","0","0","264","121"
"FY 2020-21","100","NORTH CANAAN (100)","25367708","215009","1207000","9053","20535708","17067958","128010",,,"3467750","43347","0","0","2142500","16069","1482500","18531","0","0","83","25"
"FY 2020-21","101","NORTH HAVEN (101)","181587795","1430936","6976175","52321","160240545","158222045","1186665",,,"2018500","25231","0","0","2584000","19380","11787075","147338","0","0","517","211"
"FY 2020-21","102","NORTH STONINGTON (102)","45551846","397614","2373500","17801","31854346","31854346","238908",,,"0","0","0","0","129000","968","11195000","139938","0","0","130","99"
"FY 2020-21","103","NORWALK (103)","1271896468","11127494","23255625","174417","998975416","808275184","6062064",,,"159379232","1992240","31321000","704723","185353500","1390151","64311927","803899","0","0","1836","578"
"FY 2020-21","104","NORWICH (104)","169441930","1325898","3249699","24373","133389305","133388007","1000410",,,"1298","16","0","0","21787515","163406","11015411","137693","0","0","907","347"
"FY 2020-21","105","OLD LYME (105)","142713680","1173954","3715000","27863","135483680","119478430","896088",,,"15405250","192566","600000","13500","0","0","3515000","43938","0","0","288","181"
"FY 2020-21","106","OLD SAYBROOK (106)","207260359","1775235","4096500","30724","183425431","158742931","1190572",,,"24557500","306969","125000","2813","514500","3859","19223928","240299","0","0","395","187"
"FY 2020-21","107","ORANGE (107)","130124314","1116507","2243500","16826","102851314","99761314","748210",,,"3090000","38625","0","0","4500","34","25025000","312813","0","0","250","143"
"FY 2020-21","108","OXFORD (108)","131627106","1057653","2813660","21102","115348446","114723446","860426",,,"625000","7813","0","0","0","0","13465000","168313","0","0","313","119"
"FY 2020-21","109","PLAINFIELD (109)","98897247","775725","12487333","93655","78640854","78570854","589281",,,"70000","875","0","0","1040000","7800","6729060","84113","0","0","394","162"
"FY 2020-21","110","PLAINVILLE (110)","109126783","895969","223750","1678","92299380","91349380","685120",,,"950000","11875","0","0","2050000","15375","14553653","181921","0","0","432","155"
"FY 2020-21","111","PLYMOUTH (111)","54397259","412920","816035","6120","52415113","52415113","393113",,,"0","0","0","0","178000","1335","988111","12351","0","0","279","97"
"FY 2020-21","112","POMFRET (112)","28744140","230119","461375","3460","26532765","25375265","190314",,,"1157500","14469","0","0","0","0","1750000","21875","0","0","82","57"
"FY 2020-21","113","PORTLAND (113)","62295961","508097","1789096","13418","52166365","52166365","391248",,,"0","0","0","0","165000","1238","8175500","102194","0","0","228","95"
"FY 2020-21","114","PRESTON (114)","35959738","271073","3682100","27616","31854638","31854638","238910",,,"0","0","0","0","148000","1110","275000","3438","0","0","157","73"
"FY 2020-21","115","PROSPECT (115)","64556532","489299","916650","6875","62614882","62614882","469612",,,"0","0","0","0","0","0","1025000","12813","0","0","218","83"
"FY 2020-21","116","PUTNAM (116)","60053338","488003","4558897","34192","47423871","47423871","355679",,,"0","0","0","0","550000","4125","7520570","94007","0","0","249","111"
"FY 2020-21","117","REDDING (117)","199282665","1636953","4679900","35099","193416765","166202977","1246522",,,"27104900","338811","108888","2450","151000","1133","1035000","12938","0","0","300","81"
"FY 2020-21","118","RIDGEFIELD (118)","650286389","5793937","3073400","23051","633892214","499669575","3747522",,,"116307139","1453839","17915500","403099","16500","124","13304275","166303","0","0","851","222"
"FY 2020-21","119","ROCKY HILL (119)","110232499","885789","653800","4904","97696699","97611699","732088",,,"85000","1063","0","0","158000","1185","11724000","146550","0","0","377","190"
"FY 2020-21","120","ROXBURY (120)","85557602","826887","6311000","47333","79246602","50017564","375132",,,"25323038","316538","3906000","87885","0","0","0","0","0","0","96","49"
"FY 2020-21","121","SALEM (121)","35231577","269262","1836400","13773","32210677","32210677","241580",,,"0","0","0","0","179500","1346","1005000","12563","0","0","141","52"
"FY 2020-21","122","SALISBURY (122)","156063800","1526496","10878000","81585","135153800","85751300","643135",,,"40109500","501369","9293000","209093","6817000","51128","3215000","40188","0","0","180","75"
"FY 2020-21","123","SCOTLAND (123)","8991849","67439","386534","2899","8424315","8424315","63182",,,"0","0","0","0","181000","1358","0","0","0","0","39","19"
"FY 2020-21","124","SEYMOUR (124)","145739599","1333350","4735500","35516","92914025","92914025","696855",,,"0","0","0","0","29500","221","48060574","600757","0","0","375","138"
"FY 2020-21","125","SHARON (125)","89328114","986546","6424999","48187","78348521","46941421","352061",,,"16044100","200551","15363000","345668","3370594","25279","1184000","14800","0","0","136","57"
"FY 2020-21","126","SHELTON (126)","390784576","3178929","9471300","71035","333203269","330677269","2480080",,,"2526000","31575","0","0","1027000","7703","47083007","588538","0","0","920","346"
"FY 2020-21","127","SHERMAN (127)","81158188","681105","3217750","24133","77940438","63456638","475925",,,"14483800","181048","0","0","0","0","0","0","0","0","133","69"
"FY 2020-21","128","SIMSBURY (128)","218752766","1699839","5317780","39883","201451403","201176403","1508823",,,"275000","3438","0","0","420000","3150","11563583","144545","0","0","628","215"
"FY 2020-21","129","SOMERS (129)","77728229","628428","3294607","24710","65796092","65285292","489640",,,"510800","6385","0","0","55000","413","8582530","107282","0","0","229","127"
"FY 2020-21","130","SOUTHBURY (130)","226275633","1721607","7617773","57133","215023860","213749860","1603124",,,"1274000","15925","0","0","0","0","3634000","45425","0","0","724","207"
"FY 2020-21","131","SOUTHINGTON (131)","312357681","2470229","7856750","58926","277645709","277000709","2077505",,,"645000","8063","0","0","1991000","14933","24864222","310803","0","0","992","467"
"FY 2020-21","132","SOUTH WINDSOR (132)","366750128","3632614","7417173","55629","182445084","182120262","1365902",,,"324822","4060","0","0","815000","6113","176072870","2200911","0","0","678","226"
"FY 2020-21","133","SPRAGUE (133)","12944951","97087","664100","4981","11975851","11975851","89819",,,"0","0","0","0","305000","2288","0","0","0","0","58","32"
"FY 2020-21","134","STAFFORD (134)","63710191","521087","2456250","18422","49531576","49531576","371487",,,"0","0","0","0","3070252","23027","8652113","108151","0","0","347","125"
"FY 2020-21","135","STAMFORD (135)","1847808225","15530185","24271272","182035","1396823673","1214432906","9108247",,,"166952049","2086901","15438718","347371","305656780","2292426","121056500","1513206","0","0","2507","785"
"FY 2020-21","136","STERLING (136)","22735035","170628","667000","5003","21930035","21930035","164475",,,"0","0","0","0","115000","863","23000","288","0","0","107","42"
"FY 2020-21","137","STONINGTON (137)","262368901","2268846","11739068","88043","224317858","191846558","1438849",,,"29983800","374798","2487500","55969","3542500","26569","22769474","284618","0","0","551","272"
"FY 2020-21","138","STRATFORD (138)","490224789","3981360","10091900","75689","394144551","387165551","2903742",,,"6979000","87238","0","0","32032500","240244","53955838","674448","0","0","1357","452"
"FY 2020-21","139","SUFFIELD (139)","137021998","1109446","8641730","64813","112518404","111170065","833775",,,"1348339","16854","0","0","854000","6405","15007864","187598","0","0","375","170"
"FY 2020-21","140","THOMASTON (140)","42170851","338244","639282","4795","37076642","37076642","278075",,,"0","0","0","0","62500","469","4392427","54905","0","0","196","68"
"FY 2020-21","141","THOMPSON (141)","55875812","423969","3792950","28447","51045362","51045362","382840",,,"0","0","0","0","57500","431","980000","12250","0","0","245","134"
"FY 2020-21","142","TOLLAND (142)","96690460","733332","3523400","26426","90116780","89641359","672310",,,"475422","5943","0","0","1894915","14212","1155365","14442","0","0","327","151"
"FY 2020-21","143","TORRINGTON (143)","181894848","1449304","3867030","29003","156519418","156434942","1173262",,,"84476","1056","0","0","4574400","34308","16934000","211675","0","0","1003","307"
"FY 2020-21","144","TRUMBULL (144)","439014650","3340080","3015830","22619","350525320","343680731","2577605",,,"6844589","85557","0","0","82824000","621180","2649500","33119","0","0","768","304"
"FY 2020-21","145","UNION (145)","4582001","34365","416101","3121","4165900","4165900","31244",,,"0","0","0","0","0","0","0","0","0","0","25","23"
"FY 2020-21","146","VERNON (146)","132438749","1029935","1586100","11896","115838857","115838857","868791",,,"0","0","0","0","7685000","57638","7328792","91610","0","0","604","176"
"FY 2020-21","147","VOLUNTOWN (147)","19828525","151048","1667450","12506","16539175","16444175","123331",,,"95000","1188","0","0","1250000","9375","371900","4649","0","0","80","41"
"FY 2020-21","148","WALLINGFORD (148)","285318262","2511847","1791899","13439","204119395","203259395","1524445",,,"860000","10750","0","0","5875000","44063","73531968","919150","0","0","796","339"
"FY 2020-21","149","WARREN (149)","63363233","667439","7674500","57559","53962733","30795733","230968",,,"16392000","204900","6775000","152438","0","0","1726000","21575","0","0","75","34"
"FY 2020-21","150","WASHINGTON (150)","170160062","1818210","11994330","89957","155671732","85573832","641804",,,"52192900","652411","17905000","402863","0","0","2494000","31175","0","0","163","60"
"FY 2020-21","151","WATERBURY (151)","383016591","3115339","4649077","34868","327097324","325977349","2444830",,,"1119975","14000","0","0","3847200","28854","47422991","592787","0","0","2143","744"
"FY 2020-21","152","WATERFORD (152)","189003677","1518325","5109099","38318","165041578","163487178","1226154",,,"1554400","19430","0","0","248000","1860","18605000","232563","0","0","610","228"
"FY 2020-21","153","WATERTOWN (153)","138542234","1102669","4191850","31439","130127384","121577384","911830",,,"8550000","106875","0","0","52500","394","4170500","52131","0","0","478","264"
"FY 2020-21","154","WESTBROOK (154)","104473449","844635","3515900","26369","94424287","84758287","635687",,,"9666000","120825","0","0","3982374","29868","2550888","31886","0","0","314","229"
"FY 2020-21","155","WEST HARTFORD (155)","618648949","5226283","3962877","29722","466413467","458204967","3436537",,,"8208500","102606","0","0","39198000","293985","109074606","1363433","0","0","1336","526"
"FY 2020-21","156","WEST HAVEN (156)","270483384","2146600","4265447","31991","209862169","209517035","1571378",,,"345133","4314","0","0","33106000","248295","23249768","290622","0","0","955","332"
"FY 2020-21","157","WESTON (157)","352628881","3164944","4453500","33401","348175381","254884909","1911637",,,"87912972","1098912","5377500","120994","0","0","0","0","0","0","379","82"
"FY 2020-21","158","WESTPORT (158)","1430295470","15557909","29498735","221241","1363958750","654788309","4910912",,,"596705476","7458818","112464964","2530462","4799675","35998","32038310","400479","0","0","921","282"
"FY 2020-21","159","WETHERSFIELD (159)","188833445","1481893","1562900","11722","166626090","165798090","1243486",,,"828000","10350","0","0","8344000","62580","12300455","153756","0","0","629","249"
"FY 2020-21","160","WILLINGTON (160)","23760454","185928","1371000","10283","20724454","20724454","155433",,,"0","0","0","0","120000","900","1545000","19313","0","0","102","48"
"FY 2020-21","161","WILTON (161)","561424538","4930956","9021559","67662","487134206","376400681","2823005",,,"109288525","1366107","1445000","32513","34838000","261285","30430773","380385","0","0","573","118"
"FY 2020-21","162","WINCHESTER (162)","71514832","558430","3415844","25619","64093790","63175090","473813",,,"918700","11484","0","0","510198","3826","3495000","43688","0","0","283","108"
"FY 2020-21","163","WINDHAM (163)","89856007","870668","3138034","23535","46897561","46897560","351732",,,"1","0","0","0","470900","3532","39349512","491869","0","0","331","134"
