"certifyingagent","certno","primaryscope","operationname","physicaladdress","zipcode","county","productsproduced","location_1"
"Quality Assurance International",,"HANDLING","Mountain High Organics, Inc.","9 South Main Street","06776"," New Milford"," Banana Flakes, Beans- Adzuki, Beans- Baby Lima, Beans- Black, Beans- Black Turtle, Beans- Cannellini, Beans- Christmas Lima, Beans- Cranberry, Beans- European Soldier, Beans- Fava, Beans- Flageolets (Green), Beans- Garbanzo, Beans- Garbanzo Split, Beans- Great Northern, Beans- Jacobs Cattle, Beans- Kidney Dark, Beans- Kidney Light, Beans- Mung, Beans- Mung Dahl, Beans- Navy, Beans- Orca/Calypso Black, Beans- Pinto, Beans- Red, Beans- Yellow Peruano, Cacao Butter, Cacao Nibs, Cacao Paste, Cacao Powder, Cacao Whole Beans, Canola, Cocoa Nibs, Coconut - Chips, Coconut - Extra Fine, Coconut - Macaroon, Coconut - Shredded/Medium, Coconut Butter, Coconut Cream, Coconut Flour, Coconut Sugar, Coconut- Toasted, Currants, Dried Apples, Dried Black Mission Figs, Dried Blueberries, Dried Cherries, Dried Fruit- Apricots, Dried Fruit- Banana- Chips, Dried Fruit- Bananas- Dried, Dried Wild Blueberries/apple juice, Dried Wild Blueberry, Figs- Turkish, Flakes- Barley, Flakes- Rye, Flakes- Spelt, Flakes- Wheat, Flour- Barley, Flour- Garbanzo, Flour- Green Lentils, Flour- Green Pea, Flour- Millet, Flour- Oat, Flour- Wheat, Flour- White, Flour- Yellow Pea, Golden California Figs, Grain- Barley, Grain- Barley- Flour, Grain- Barley- Hulled, Grain- Barley- Hulless, Grain- Barley- Pearled, Grain- Buckwheat, Grain- Buckwheat- Flour, Grain- Buckwheat- Grits, Grain- Buckwheat- Hulled/Groats, Grain- Buckwheat- Hulls, Grain- Buckwheat- Kasha (roasted), Grain- Buckwheat- Whole, Grain- Coucous- Regular, Grain- Coucous- Whole Wheat, Grain- Kamut, Grain- Quinoa, Grain- Quinoa Flakes, Grain- Quinoa Red, Grain- Spelt, Grain- Triticale, Grain- Wheat HRS- SW, Lentils- Black, Lentils- Black Beluga, Lentils- Brown, Lentils- French Green, Lentils- Green, Lentils- Red, Lentils- Sedish Brown, Mulberries, Nuts- Almonds, Nuts- Brazil, Nuts- Cashew, Nuts- Dry Roasted, Nuts- Hazelnuts, Nuts- Macadamia, Nuts- Mixed, Nuts- Peanut- Salted Dry Roasted, Nuts- Peanut Splits- Dry Roasted, Nuts- Pecan Halves, Nuts- Pecan Pieces, Nuts- Pistachios, Nuts- Walnut, Oat Bran, Oats- Groats, Oats- Instantized, Oats Quick, Oats- Rolled, Oats- Steel Cut, Oats- Thick, Oil- Borage, Oil- Coconut EV, Oil- Coconut Refined, Oil- Flax, Oil- Flax w/lignans, Oil- Hemp, Peas- Black Eye, Peas- Green Split, Peas- Green Whole, Peas- Yellow Split, Peas- Yellow Whole, Puffed Rice, Quinoa Bran, Quinoa- Flakes, Quinoa- Pasta Elbows (Macaroni), Quinoa- Pasta Fusilli, Quinoa- Pasta Liguini, Quinoa- Pasta Orzo, Quinoa- Pasta Penne, Quinoa- Pasta Spaghetti, Quinoa- Puffed, Raisins- Flame, Raisins- Thompson, Rice- Arborio, Rice- Basmati Brown, Rice- Basmati White, Rice- Brown Medium, Rice- Brown Short, Rice- Jasmine, Rice- Long Grain Brown, Rice- Long Grain White, Rice- White Medium, Rice- White Short, Rice- White Sushi, Seed- Alfalfa, Seed- Amaranth, Seed- Canary, Seed- Chia, Seed- Chia Black, Seed- Chia- White, Seed- Flax Brown, Seed- Flax Golden, Seed- Flax Meal, Seed- Flax Milled Brown, Seed- Flax Milled Golden, Seed- Flax Whole Golden, Seed- Golden Flaxseed Fine Milled, Seed- Golden Flaxseed Whole, Seed- Hemp, Seed- Hemp Hulled, Seed- Millet- Hulled, Seed- Millet- Whole, Seed- Popcorn Tricolor, Seed- Popcorn White, Seed- Popcorn Yellow, Seed- Poppy, Seed- Pumpkin, Seed- Rye, Seed- Sesame Hulled, Seed- Sesame Natural, Seed- Sunflowers Hulled, Seed- Sunflowers Hulled Roasted, Soybeans- Clear Hylium, Soybeans- Clear Hylium Roasted, Sprouting Seed- Alfalfa, Sprouting Seed- Broccoli, Sprouting Seed- Daikon Radish, Sprouting Seed- Red Clover, Tahini","9 South Main Street
New Milford, CT 06776
(41.575865, -73.410617)"
"Baystate Organic Certifiers","14053","CROPS","Hartwood Farm","180 Stickney Hill Rd.","06076"," Union","  ","180 Stickney Hill Rd.
Union, CT 06076
(41.994672, -72.197729)"
"Baystate Organic Certifiers","7030","HANDLING","GGSAB LLC","603 Orange St.","06511"," New Haven"," Spagetti Sauce","603 Orange St.
New Haven, CT 06511
(41.316721, -72.915761)"
"CCOF Certification Services, LLC",,"HANDLING","Calabro Cheese Corporation","580 Coe Ave.","06512"," East Haven"," Cheese","580 Coe Ave.
East Haven, CT 06512
(41.263642, -72.873002)"
"Baystate Organic Certifiers","10155","CROPS","Adamah","116 Johnson Rd.","06031"," Falls Village"," Herbs, Seedlings, Small Fruit, Vegetables, Wheat ","116 Johnson Rd.
Falls Village, CT 06031
(41.942404, -73.342129)"
"Quality Assurance International",,"HANDLING","Arista Industries, Inc.","557 Danbury Rd.","06897"," Wilton"," Acai Butter, Almond Oil, Almond Oil- Bulk, Apricot Kernel Oil, Argan Butter, Avocado Oil, Babassu Oil, Baobab Oil, Borage Oil, Canola Oil, Castor Oil, Chia Oil Extra Virgin, Cinnamon Leaf Essential Oil, Clear Flax Oil, Cocoa Butter, Cocoa Butter, Cocoa/Cacao Butter, Coconut Oil, Coconut Oil- Extra Virgin, Coconut Oil- RBD, Cold pressed rosehip oil, Colorless Jojoba Oil, Cumin Seed Oil Black, Deodorized Cocoa Butter, Deodorized rosehip oil, Deodorized Rosehip Oil, Deodorized Virgin Argan Oil from Morocco, Evening Primrose Oil, Extra Virgin Coconut Oil, Extra Virgin Olive Oil, Flax Powder, Flax Seed Oil, Flaxseed Oil, Glycerin, Golden Jojoba Oil, Grape seed Oil, Grapeseed Oil, Hemp Seed Oil, High Oleic Sunflower Oil, Jojoba Clear Oil, Jojoba Golden Oil, Jojoba Oil, Jojoba Oil- Clear and Deodorized, Jojoba Oil- Golden, Lavandin Grosso Essential Oil, Lavender Essential Oil, Lignan Flax Oil (Flax Oil Highest Lignan), Macadamia Nut Oil, Macadamia Oil, Mango Butter, Mango Oil, Natural Cocoa Butter, Oil Pomegranate, Oils - Coconut Oil Refined, Oils - Coconut Oil Unrefined, Oils - Olive Oil Extra Virgin, Oils - Palm Oil (aka Palm Shortening), Oils - Peanut Oil- Refined, Oils - Sesame Oil Unrefined, Oils - Sesame Oil Unrefined Toasted, Oils - Soy Oil Refined, Oils - Sunflower Oil- High Oleic, Oils- Peanut Oil- Refined, Olive Oil, Olive Oil Extra Virgin, Orange Cold Pressed Oil, Palm Butter, Palm Fruit Oil- Extra Virgin, Palm Fruit Oil- RBD, Palm Fruit Olein, Palm Fruit Shortening, Palm Fruit Stearin, Palm Kernel Oil, Palm Oil, Peanut Oil, Peppermint Essential Oil, Peppermint Oil, Perilla Seed Oil, Pomegranate Butter, Pomegranate Oil, Pomegranate seed oil, Pumpkin Seed Oil, Refined Shea Butter, Ricebran Oil, Rosehip Seed Oil, Rosemary Camphor Essential Oil, Rosemary Oil, Safflower Oil, Safflower Oil Extra Virgin High Linoleic, Safflower Oil Refined High Oleic, Seabuckthorn Oil, Sesame Oil, Sesame Oil Extra Virgin, Sesame Oil Refined, Sesame Oil Toasted, Shea Butter, Shea Oil, Sheabutter, Soy Bean Oil, Soybean Oil, Soybean Oil- RBD, Spearmint Essential Oil, Sunflower Oil, Sunflower Oil - High Oleic RBD, Sunflower Oil- Refined, Sunflower Oil Refined High Oleic, Sunflower Oil Refined Mid Linoleic, Sweet Almond Oil, Tamanu Oil, Tea Tree Essential Oil, Tea Tree Oil, Thyme Red Essential Oil, Toasted Sesame Oil, Virgin Argan Oil from Morocco, Virgin Coconut Oil","557 Danbury Rd.
Wilton, CT 06897
(41.233815, -73.428827)"
"Oregon Tilth Certified Organic",,"HANDLING","Target Flavors, Inc.","7 Del Mar Drive","06804"," Brookfield"," Almond Flavor (Natural Almond Type Flavor #38320), Banana Flavor (WONF 92770), Blueberry Flavor (Natural WONF 23700), Blueberry Flavor (Natural WONF 23744), Cherry Flavor (Natural WONF 62576), Chocolate Flavor (Natural Chocolate WONF #74299), Chocolate Flavor (Natural Chocolate WONF #SD-95160), Coconut Flavor (Natural Coconut WONF #11837), Coconut Flavor (Natural WONF 11835), Ginger Flavor (Natural Ginger Flavor #51310), Grape Flavor (Natural WONF 67170), Honey Flavor (Organic Honey WONF #49945), Lemon Flavor (Natural Emulsion 27225), Lemon Flavor (Natural WONF 22773), Lime Flavor (Natural WONF 88008), Misc. Flavor (Mixed Berry Natural 92771), Misc. Flavor (Natural Coffee Donut Type 38005-C), Misc. Flavor (Wildberry Natural WONF 37205), Orange Flavor (Natural WONF 14990), Peach Flavor ( Natural Peach Flavor WONF #62750-R), Peach Flavor (Natural Peach Flavor WONF #83270), Pear Flavor (Natural Pear WONF #78930), Pineapple Flavor (Natural WONF 10449), Pomegranate Flavor (Natural WONF 98460), Raspberry Flavor (Natural Juice Replacer 92640), Raspberry Flavor (Natural WONF 62606), Raspberry Flavor (Natural WONF 89009), Strawberry Flavor (Natural Strawberry WONF #52877), Strawberry Flavor (Natural Strawberry WONF #78448), Strawberry Flavor (Natural WONF 52853), Strawberry Flavor (Natural WONF 52895), Tea Flavor (Natural Tea Essence WONF #58830), Toffee Flavor (Natural English Toffee Type Flavor #64759), Vanilla Flavor (Natural SD-4500-00), Vanilla Flavor (Natural Vanilla Flavor #SD-67370), Vanilla Flavor (Natural Vanilla WONF #12633), Watermelon Flavor (Natural Watermelon Type Flavor #39690)","7 Del Mar Drive
Brookfield, CT 06804
(41.452953, -73.401343)"
"Baystate Organic Certifiers","2089","CROPS","Turtle Ledge Farm","460 Windham Rd.","06247"," Hampton"," Fruit, Seedlings, Vegetables ","460 Windham Rd.
Hampton, CT 06247
(41.750086, -72.033759)"
"Baystate Organic Certifiers","3042","CROPS","Full Moon Farm","314 Station Rd.","06247"," Hampton"," Herbs, Melons, Seedings, Vegetables ","314 Station Rd.
Hampton, CT 06247
(41.812448, -72.071182)"
"Baystate Organic Certifiers","2090","CROPS","Star Light Gardens","54 Fowler Ave.","06422"," Durham"," Herbs, Seedlings, Vegetables","54 Fowler Ave.
Durham, CT 06422
(41.471507, -72.676462)"
"Baystate Organic Certifiers","15001","CROPS","Fat Stone Farm","139 Joshuatown Rd","06371"," Lyme"," Maple Syrup","139 Joshuatown Rd
Lyme, CT 06371
(41.390889, -72.37093)"
"Baystate Organic Certifiers","3081","CROPS","Maple View Farm","276 Locust Rd.","06791"," Harwinton"," Herbs, Seedlings, Vegetables ","276 Locust Rd.
Harwinton, CT 06791
(41.758206, -73.03832)"
"International Certification Services, Inc.",,"HANDLING","Rockwell Organic, LLC","13 Evergreen Road","06482"," Sandy Hook"," Black Beans, Blue Corn, Brown Flax, Buckwheat, Garbanzo Beans, Golden Flax, Great Northern Beans, Green Lentils, Green Peas, Hard Red Spring Wheat, Hulled Barley, Hulled Buckwheat, Hulled Spelt, Hulled Sunflowers, Kidney Beans, Millet, Pinto Beans, Red Lentils, Rye, Wheat Flour, Yellow Corn, Yellow Popcorn","13 Evergreen Road
Sandy Hook, CT 06482
(41.423097, -73.29462)"
"Baystate Organic Certifiers",,"CROPS","Cinful Organics","20 River Rd","06063"," Barkhamsted",,"20 River Rd
Barkhamsted, CT 06063
(41.901642, -72.989404)"
"Baystate Organic Certifiers","12101","CROPS","Oxen Hill Farm","50 Griffin Rd.","06026"," East Granby"," Flowers, Herbs, Seedlings, Strawberries, Vegetables ","50 Griffin Rd.
East Granby, CT 06026
(41.981148, -72.752736)"
"Baystate Organic Certifiers","9142","CROPS","3B Ranch","66 Lanes Pond Rd.","06472"," Northford"," Fruit, Herbs, Seedlings, Vegetables","66 Lanes Pond Rd.
Northford, CT 06472
(41.411031, -72.74165)"
"Oregon Tilth Certified Organic",,"HANDLING","Coffee-Tea-Etc. LLC","187 Westside Road","06756"," Goshen"," Chocolate - Drinking (Hot Chocolate), Chocolate - Drinking (Spiced Hot Chocolate), Coffee (Coffee), Coffee (Decaf Coffee), Coffee (McEnroe Blend), Tea Various (Masala Tea Spice), Tea Various (Tea)","187 Westside Road
Goshen, CT 06756
(41.845894, -73.249484)"
"Northeast Organic Farming Association of New York","200242","HANDLING","Aurora Products","205 Edison Road","06477"," Orange"," Beans & Grains, Dried Fruit, Granola, Mixes, nuts & Seeds, Oil","205 Edison Road
Orange, CT 06477
(41.262155, -72.996583)"
"Baystate Organic Certifiers",,"CROPS","W. S. Walsh","202 Farms Village Rd.","06092"," W. Simsbury"," Hay, Pasture, Vegetables","202 Farms Village Rd.
W. Simsbury, CT 06092
(41.870027, -72.847895)"
"Baystate Organic Certifiers","12107","CROPS","Wright Farms LLC","226 Sharon Turnpike","06756"," Goshen"," Flowrs, Fruit, Herbs, Seedlings, Vegetables","226 Sharon Turnpike
Goshen, CT 06756
(41.830279, -73.245097)"
"Baystate Organic Certifiers","5077","CROPS","Gordon Bednarz Farm","118 Wickham Rd.","06033"," Glastonbury"," Herbs, Melons, Vegetables","118 Wickham Rd.
Glastonbury, CT 06033
(41.713454, -72.559479)"
"Oregon Tilth Certified Organic",,"WILD CROPS","American Distilling Inc.","31 East High Street","06424"," East Hampton"," Witch Hazel","31 East High Street
East Hampton, CT 06424
(41.584252, -72.501168)"
"Baystate Organic Certifiers","7050","CROPS","Mountain View Farm","67 Fuller Mountain Rd.","06757"," Kent"," Fruit Seedlings, Herbs, Vegetables ","67 Fuller Mountain Rd.
Kent, CT 06757
(41.757556, -73.485637)"
"Baystate Organic Certifiers","9008","CROPS","Hilltop Acres","119 Cherry Swamp Rd.","06469"," Moodus"," Vegetables","119 Cherry Swamp Rd.
Moodus, CT 06469
(41.522586, -72.459698)"
"Baystate Organic Certifiers","9032","CROPS","The Hickories","136 Lounsbury Rd.","06877"," Ridgefield"," Fruit, Herbs, Vegetables","136 Lounsbury Rd.
Ridgefield, CT 06877
(41.290581, -73.46336)"
"Baystate Organic Certifiers","12003","CROPS","Whipporwill Farm","189 Salmon Kill Rd.","06039"," Lakeville"," Hay, Pasture","189 Salmon Kill Rd.
Lakeville, CT 06039
(41.96337, -73.401372)"
"Baystate Organic Certifiers","2091","CROPS","Riverbrook Organic Farms LLC","96 Allyndale Rd.","06018"," Canaan"," Grain, Hay, Pasture, Soybeans ","96 Allyndale Rd.
Canaan, CT 06018
(42.036475, -73.298433)"
"Baystate Organic Certifiers","10083","CROPS","Select Seeds","180 Stickney Hill Rd.","06076"," Union"," Seeds ","180 Stickney Hill Rd.
Union, CT 06076
(41.994672, -72.197729)"
"Oregon Tilth Certified Organic",,"HANDLING","World Actives, LLC","186 Route 37 South","06784"," Sherman"," Avocado Oil (Virgin), Borage Oil, Evening Primrose Oil, Fennel Essential Oil, Flaxseed Oil (Cold-Pressed), Ginger Essential Oil, Grapefruit Essential Oil, Lavender Essential Oil, Lemon Essential Oil, Lime Essential Oil, Olive Oil (Extra Virgin), Olive Oil (Extra Virgin), Orange Essential Oil, Oregano Essential Oil, Peppermint Essential Oil, Perilla Oil, Pomegranate Seed Oil, Pumpkin Seed Oil (Cold-Pressed), Rosemary Essential Oil, Safflower Oil, Seabuckthorn Oil (Fruit Oil), Seabuckthorn Oil (Seed Oil), Soybean Oil, Spearmint Essential Oil, Sunflower Oil, Walnut Oil, Wheat Germ Oil","186 Route 37 South
Sherman, CT 06784
(41.527488, -73.511808)"
"Baystate Organic Certifiers",,"CROPS","Hidden Brook Gardens LLC","551 Colonel Ledyard Highway","06339"," Ledyard"," Flowers, Fruit, Herbs, Seedlings, Vegetables","551 Colonel Ledyard Highway
Ledyard, CT 06339
(41.426455, -71.995612)"
"Baystate Organic Certifiers","7026","HANDLING","Garden Of Light Dba Bakery On Main","375 Park Avenue","06108"," East Hartford"," Co-Packer, Granola","375 Park Avenue
East Hartford, CT 06108
(41.781555, -72.618979)"
"Baystate Organic Certifiers","11047","CROPS","Farming 101","101 Brushy Hill","06470"," Newtown"," Flowers, Fruit, Herbs, Small Fruit, Vegetables","101 Brushy Hill
Newtown, CT 06470
(41.374798, -73.303304)"
"Oregon Tilth Certified Organic",,"HANDLING","Pharmco Products, Inc.","58 Vale Road","06804"," Brookfield"," Denatured Alcohol (38B-13 (lavender)), Denatured Alcohol (38B-13-2 (lavender)), Denatured Alcohol (38B-17 (peppermint)), Denatured Alcohol (38B-20 (spearmint)), Denatured Alcohol (38B-32 (bergamot - bergaptene free)), Denatured Alcohol (38B-52 (eucalyptus)), Denatured Alcohol (38B-61 (rosemary)), Denatured Alcohol (38B-86 (bergamont with bergaptene)), Denatured Alcohol (38B-87), Denatured Alcohol (38B-93 (lemon oil)), Denatured Alcohol (Linatural CO-NLP-1), Ethyl Alcohol (95 Proof), Grain Alcohol (Corn Alcohol), Grain Alcohol (Wheat Alcohol), Lavender Oil, Peppermint Oil, Sugar Alcohol (Cane Alcohol)","58 Vale Road
Brookfield, CT 06804
(41.434308, -73.39917)"
"Natural Food Certifiers",,"HANDLING","Severance Foods, Inc","3476 Main Street","06120"," Hartford"," Tortilla Chips","3476 Main Street
Hartford, CT 06120
(41.799449, -72.661926)"
"Baystate Organic Certifiers","12109","CROPS","Richmond Family Farm","348 Freedley Rd.","06259-1206"," Pomfret Center"," Vegetables","348 Freedley Rd.
Pomfret Center, CT 06259-1206
(41.915243, -71.938442)"
"Baystate Organic Certifiers","14108","CROPS","The Grassy Knoll Farm","552 Riverton Rd","06065"," Riverton"," herbs, melons, pumpkins, strawberries, vegetables","552 Riverton Rd
Riverton, CT 06065
(41.973251, -73.01804)"
"Oregon Tilth Certified Organic",,"HANDLING","Cell-Nique","65 East Ave.","06851"," Norwalk"," Banana, Brownies, Brownies (Frosted), Butterscotch, Cakes (Chocolate Cake Mix), Cakes (Chocolate Lava Cake Mix), Cakes (Lemon Cake Mix), Cakes (Vanilla Cake Mix), Chocolate, Chocolate (Ready to Eat Pudding), Chocolate Mousse (Chocolate Mousse Mix), Coconut, Cookies (Chocolate Chip Cookie Mix), Cookies (Double Chocolate Chip Cookie Mix), Icing (Chocolate), Icing (Salted Caramel Icing Mix), Icing (Vanilla), Muffins (Apple Cinnamon Muffin Mix), Muffins (Cornmeal Muffin Mix), Muffins (Oatmeal Muffin Mix), Super Green Drink (Apple), Super Green Drink (Citrus Vanilla), Super Green Drink (Japanese Roasted Tea), Super Green Drink (Pomegranate), Super Green Drink (Tropical Fruit), Vanilla, Vanilla (Ready to Eat Pudding)","65 East Ave.
Norwalk, CT 06851
(41.119824, -73.407371)"
"Baystate Organic Certifiers","14035","HANDLING","Charkit Chemical Corporation","32 Haviland St.","06854"," South Norwalk"," Argon Oil, Cocoanut Oil","32 Haviland St.
South Norwalk, CT 06854
(41.098139, -73.416705)"
"Baystate Organic Certifiers","14178","CROPS","Ro-Jo Farms","327 Litchfield Turnpike","06524"," Bethany"," Herbs, Vegetables","327 Litchfield Turnpike
Bethany, CT 06524
(41.414029, -72.973677)"
"Baystate Organic Certifiers","13126","CROPS","Tuttle Ridge Farms","185 Ruttle Rd.","06422"," Durham"," Herbs, Seedlings, Small Fruit, Vegetables","185 Ruttle Rd.
Durham, CT 06422
(41.465068, -72.701423)"
"Baystate Organic Certifiers","13043","HANDLING","Stay Fresh Foods LLC","65 Chamberlain Highway","06451"," Meriden"," Co-Packer, High Pressure Pasteruization","65 Chamberlain Highway
Meriden, CT 06451
(41.541557, -72.816233)"
"Oregon Tilth Certified Organic",,"HANDLING","Harvest Hill Beverage Co","1 High Ridge Park 2nd Floor","06905"," Stamford"," Apple Juice","1 High Ridge Park 2nd Floor
Stamford, CT 06905
(41.11206, -73.54435)"
"Baystate Organic Certifiers","13089","CROPS","Leaf Only","440 Middlefield St.","06457"," Middletown"," Tobacco ","440 Middlefield St.
Middletown, CT 06457
(41.544043, -72.684717)"
"Baystate Organic Certifiers","13062","HANDLING","Shearwater Coffee Roaster","100 Corporate Dr. B106","06611"," Trumbull"," Roasted Coffee","100 Corporate Dr. B106
Trumbull, CT 06611
(41.294099, -73.227047)"
"Baystate Organic Certifiers","6043","HANDLING","C&S Wholesale Grocers/Specialty Packaging","1120 Harvey Lane","06078"," Suffield"," Produce Re-Pack and Handler","1120 Harvey Lane
Suffield, CT 06078
(41.945563, -72.623324)"
"Baystate Organic Certifiers","3005","CROPS","Riverbank Farm","33 River Rd.","06783"," Roxbury"," Flowers, Herbs, Seedlings, Strawberries, Vegetables","33 River Rd.
Roxbury, CT 06783
(41.545987, -73.326489)"
"EcoCert S.A.",,"HANDLING","Tea Importers Inc","47  Riverside avenue","06880"," Wesport"," Tea","47 Riverside avenue
Wesport, CT 06880
(41.139901, -73.36427)"
"Baystate Organic Certifiers","14002","HANDLING","Willoughby's Coffee And Tea","550 East Main St.","06405"," Branford"," Coffee, Tea","550 East Main St.
Branford, CT 06405
(41.298932, -72.765949)"
"Baystate Organic Certifiers","3073","CROPS","Guy's Eco Garden","276 Leavenworth Rd.","06484-1811"," Shelton"," Flowers, Fruit, Herbs, Seedlings, Vegetables","276 Leavenworth Rd.
Shelton, CT 06484-1811
(41.333672, -73.149688)"
"Northeast Organic Farming Association of New York","2007066","HANDLING","Sabatino North America, LLC","135 Front Avenue","06516"," West Haven"," Truffle Oils Organic  Black Truffle Oil, White Truffle Oil","135 Front Avenue
West Haven, CT 06516
(41.287676, -72.951504)"
"Baystate Organic Certifiers","13173","CROPS","Aspetuck Gardens"," 182 New Milford Turnpike","06777"," New Preston"," Seedlings","182 New Milford Turnpike
New Preston, CT 06777
(41.668923, -73.360321)"
"Quality Assurance International",,"HANDLING","R.C. Bigelow Tea Company - Fairfield CT","201 Black Rock Turnpike","06825"," Fairfield"," Breakfast Blend Decaffeinated Black Tea, Ceylon Black Tea, Chai Black Tea, Chamomile Citrus Caffeine, Chamomile Citrus Caffeine Free Herb Tea, Citrus Pomegranate Green Iced Tea, Earl Grey Black Tea, English Breakfast Fair Trade Certified, English Breakfast Fair Trade Tea, Green Tea, Green Tea Dandelion with Peach Flavor, Green Tea Decaffeinated, Green Tea with Pomegranate, Green Tea with Pomegranate & Acai, Half & Half Iced Tea/Lemonade, Imperial Earl Grey Black Tea with organic malva flowers and natural bergamot, Jasmine Green Tea, Lemon Ginger Herbal Tea, Mango Lychee Green Iced Tea, Mint Herbal Tea, Moroccan Mint Caffeine Free Herb Tea, Oolong and Jasmine Green Tea, Pure Green Decaf, Pure Green Decaffeinated Green Tea, Pure Green Green Tea, Pure Green Tea, Rooibos Hibiscus Herbal Tea, Rooibos with Asian Pear Caffeine Free Red Tea, Sencha Green Tea, Simply Unsweetened Iced Tea, South Indian Select Fair Trade Black Tea, Sweet Cinnamon Black Tea, Sweet Orchard Peach Iced Tea, White Tea with Raspberry and Chrysanthemum","201 Black Rock Turnpike
Fairfield, CT 06825
(41.163655, -73.233184)"
"Baystate Organic Certifiers","11163","CROPS","Cugno's Farm","336 Windham Ave.","06415"," Colchester"," Berries, Flowers, Herbs, Vegetables","336 Windham Ave.
Colchester, CT 06415
(41.598708, -72.319033)"
"Baystate Organic Certifiers","12108","CROPS","Anthony's Farm LLC","140 Old Farms Rd.","06070"," Simsbury"," Flowers, Herbs, Raspberries, Seedlings, Small Grains, Vegetables","140 Old Farms Rd.
Simsbury, CT 06070
(41.888609, -72.846977)"
