"fiscal_year","type","applicant","address","municipality","county","zip_code","project","closing_date","funding_source","grant_amount","loan_amount","total_assistance","total_project_cost","amount_leveraged","location_1"
"2017.0","Arts, Culture and Entertainment Projects","Klein Memorial Auditorium Foundation, Inc","910 Fairfield Ave","Bridgeport",,"06605","Klein Memorial Auditorium Improvements","2017-05-30T00:00:00.000","Urban Act","$   2,650,000",,"$   2,650,000","$   2,650,000","$   - 0","POINT (-73.201882 41.174443)"
"2018.0","Infrastructure Project","Waterbury, City of","235 Grand Street","Waterbury",,"06702","Brass City Regional Food Hub","2017-12-06T00:00:00.000","UA (OPM)","$   1,700,000",,"$   1,700,000","$   1,700,000","$   - 0","POINT (-73.043474 41.554409)"
"2019.0",,"Goodspeed Opera Facility","6 Main Street","East Haddam",,"06423","Goodspeed Opera Facility Renovations","2019-01-17T00:00:00.000","UA (OPM)","$   2,900,000",,"$   2,900,000","$   2,900,000","$   - 0","POINT (-72.462208 41.451941)"
"2012","Arts, Culture and Entertainment Projects","Norwalk, City of","125 East Avenue","Norwalk","Fairfield","06850","Maritime Aquarium","2011-12-30T00:00:00.000","Special Act","$   125,000","$   - 0","$   125,000","$   248,975","$   123,975","POINT (-73.407657 41.113119)"
"2012","Infrastructure Project","Wethersfield, Town of","505 Silas Deane Highway","Wethersfield","Hartford","06109","Facade Improvement Program","2011-10-05T00:00:00.000","Urban Act","$   200,000","$   - 0","$   200,000","$   240,000","$   40,000","POINT (-72.663388 41.711776)"
"2017.0","Infrastructure Project","New England Air Museum (NEAM)","36 Perimeter Rd.","Windsor Locks",,"06096","NEAM Capital Improvements Project","2016-09-21T00:00:00.000","Special Act","$   985,000",,"$   985,000","$   985,000","$   - 0","POINT (-72.694231 41.946541)"
"2012","Technical Program Support","Waterbury Development Corporation","83 Bank Street, P.O. Box 1469","Waterbury","New Haven","06702","Small Business Express / Lending Partners","2012-03-23T00:00:00.000","Small Business Express","$   749,000","$   3,185,000","$   3,934,000","$   3,934,000","$   - 0","POINT (-73.040935 41.554665)"
"2012","Infrastructure Project","Hamden, Town of","2372 Whitney Avenue","Hamden","New Haven","06518","Keefe Community Center Energy Efficiency Retrofit Project","2011-08-29T00:00:00.000","Urban Act","$   300,000","$   - 0","$   300,000","$   418,000","$   118,000","POINT (-72.901755 41.383798)"
"2015.0","Arts, Culture and Entertainment Projects","Hall Neighborhood House","52 George E. Pikin's Way","Bridgeport","Fairfield","06608","Train Station Boulvard","2014-10-02T00:00:00.000","Special Act","$   1,500,000",,"$   1,500,000","$   1,500,000","$   - 0","POINT (-73.179706 41.183856)"
"2021.0",,"Ridgefield, Town of","41 Governor Street","Ridgefield",,"06877","Boys & Girls Club Expansion Project","2021-05-03T00:00:00.000","STEAP","$   128,205",,"$   128,205","$   2,728,205","$   2,600,000","POINT (-73.494814 41.280895)"
"2013","Infrastructure Project","Marlborough, Town of","26 North Main Street","Marlborough","Hartford","06447","Streetscape Improvements Phase V","2013-04-19T00:00:00.000","STEAP","$   400,000","$   - 0","$   400,000","$   400,000","$   - 0","POINT (-72.461649 41.632132)"
"2014.0","Infrastructure Project","Greater New Haven Community Loan Fund","171 Orange Street","New Haven","New Haven","06510","Westville Land Subsidence Remediation","2013-07-17T00:00:00.000","Urban Act","$   1,500,000","$   - 0","$   1,500,000","$   1,500,000","$   - 0","POINT (-72.923584 41.306338)"
"2020.0",,"New Britain Musuem of American Arts","56 Lexington Street","New Britain",,"06052","HVAC Chiller Replacement","2020-01-09T00:00:00.000","UA (OPM)","$   200,000",,"$   200,000","$   200,000","$   - 0","POINT (-72.792193 41.664237)"
"2021.0",,"Brookfield, Town of","100 Pocono Road","Brookfield",,"06804","Town Hall Redesign Phase I","2021-03-01T00:00:00.000","STEAP","$   128,205",,"$   128,205","$   157,990","$   29,785","POINT (-73.397734 41.466196)"
"2015.0","Infrastructure Project","City of Waterbury","235 Grand St.","Waterbury","New Haven","06702","Waterbury Downtown Next","2015-01-12T00:00:00.000","Urban Act","$   5,200,000",,"$   5,200,000","$   12,200,000","$   7,000,000","POINT (-73.043474 41.554409)"
"2014.0","Infrastructure Project","New Britain, City of","27 West Main Street","New Britain","Hartford","06051","Downtown Redevelopment Plan","2014-05-15T00:00:00.000","Public Act","$   500,000","$   - 0","$   500,000","$   500,000","$   - 0","POINT (-72.78264 41.667701)"
"2015.0","Infrastructure Project","Continuum of Care, Inc.","67 Trumbull Street","New Haven","New Haven","06510","Administrative Building","2014-10-30T00:00:00.000","Urban Act","$   7,500,000",,"$   7,500,000","$   13,014,500","$   5,514,500","POINT (-72.921352 41.312914)"
"2012","Infrastructure Project","Marlborough, Town of","26 North Main Street","Marlborough","Hartford","06447","Library Renovations and Streetscape Improvements","2011-09-15T00:00:00.000","STEAP","$   250,000","$   - 0","$   250,000","$   297,624","$   47,624","POINT (-72.461649 41.632132)"
"2012","Infrastructure Project","Manchester, Town of","41 Center Street, Box 191","Manchester","Hartford","06045","Broad Street Reconstruction","2012-03-12T00:00:00.000","Special Act","$   3,000,000","$   - 0","$   3,000,000","$   5,000,000","$   2,000,000","POINT (-72.522808 41.775284)"
"2013","Housing Development - Rehabilitation","Guilford, Town of","31 Park Street","Guilford","New Haven","06437","Boston Terrace Zero Energy Housing Development","2012-12-06T00:00:00.000","STEAP","$   150,000","$   - 0","$   150,000","$   150,000","$   - 0","POINT (-72.6808 41.282458)"
"2017.0","Infrastructure Project","Norwich, City of","100 Broadway","Norwich",,"06360","Norwich FD Additional Storage Project","2017-05-05T00:00:00.000","UA (OPM)","$   85,000",,"$   85,000","$   85,000","$   - 0","POINT (-72.075687 41.526478)"
"2019.0",,"Discovery Museum","4450 Park Avenue","Bridgeport",,"06604","Discovery Museum Building Improvements","2019-03-29T00:00:00.000","UA (OPM)","$   1,854,000",,"$   1,854,000","$   1,854,000","$   - 0","POINT (-73.234043 41.214896)"
"2014.0","Museum Investment Projects","Hill-Stead Museum-Farmington","35 Mountain Road","Farmington","Hartford","06032","Capital Improvement Project","2014-03-12T00:00:00.000","Special Act","$   501,500","$   - 0","$   501,500","$   501,500","$   - 0","POINT (-72.824628 41.719578)"
"2016.0","Infrastructure Project","Naugatuck, Borough of","229 Church Street","Naugatuck","New Haven","06770","Naugatuck Downtown Redevelopment","2015-11-05T00:00:00.000","Urban Act","$   940,000",,"$   940,000","$   940,000","$   - 0","POINT (-73.055852 41.489015)"
"2017.0","Infrastructure Project","Hartford, City of","550 Main Street","Hartford",,"06103","Albany & Homestead Aveune Building Improvements- Phase I","2017-06-06T00:00:00.000","UA (OPM)","$   2,000,000",,"$   2,000,000","$   2,000,000","$   - 0","POINT (-72.674293 41.762756)"
"2012","Technical Program Support","Middlesex County Revitalization Commission","393 Main Street","Middletown","Middlesex","06457","Small Business Express / Lending Partners","2012-04-13T00:00:00.000","Small Business Express","$   100,000","$   900,000","$   1,000,000","$   1,000,000","$   - 0","POINT (-72.650505 41.561623)"
"2019.0",,"Connecticut Historical Society","One Elizabeth Street","Hartford",,"06105","CHS Renovation- Phase 2","2018-10-18T00:00:00.000","UA (OPM)","$   900,000",,"$   900,000","$   900,000","$   - 0",
"2013","Business Expansion","SouthEastern CT Enterprise Region Corp.","190 Governor Winthrop Blvd","New London","New London","06320","Business Enterprise","2012-07-20T00:00:00.000","Manufacturers Assistance Act","$   299,838","$   - 0","$   299,838","$   299,838","$   - 0","POINT (-72.09846800000001 41.355977)"
"2017.0","Infrastructure Project","Windsor, Town of","275 Broad Street","Windsor",,"06095","Animal Shelter Relocation & TOD Site Development","2016-11-07T00:00:00.000","Transit Oriented Development / Responsible Growth","$   993,000",,"$   993,000","$   1,324,000","$   331,000","POINT (-72.644193 41.850264)"
"2012","Infrastructure Project","Milford, Town of","70 West River Street","Milford","New Haven","06460","Hamden Business Incubator Facility","2011-11-07T00:00:00.000","UA (OPM)","$   80,000",,"$   80,000","$   80,000","$   - 0","POINT (-73.058118 41.225049000000006)"
"2015.0","Museum Investment Projects","Lyman Allyn Art Museum","625 Williams Street","New London","New London","06901","HVAC Replacement Project","2015-06-24T00:00:00.000","Urban Act","$   1,500,000",,"$   1,500,000","$   1,500,000","$   - 0","POINT (-72.105011 41.372628)"
"2015.0","Infrastructure Project","North Haven, City of","Memorial Town Hall, 18 Church Street","North Haven","New Haven","06473","Renovation to Public Works Garage","2014-08-22T00:00:00.000","STEAP","$   470,267",,"$   470,267","$   470,267","$   - 0",
"2015.0","Infrastructure Project","Pomfret, Town of","5 Haven Road","Pomfret Center","Windham","06259","Firehouse Addition & Renovations","2014-09-26T00:00:00.000","STEAP","$   200,000",,"$   200,000","$   200,000","$   - 0","POINT (-71.996365 41.859615)"
"2019.0",,"Waterbury Development Corporation","83 Bank Street P.O. Box 1496","Waterbury",,"06702","East Main Street Reconstruction","2019-02-01T00:00:00.000","UA (OPM)","$   4,000,000",,"$   4,000,000","$   4,000,000","$   - 0","POINT (-73.040935 41.554665)"
"2021.0",,"Cromwell, Town of","41 West Street","Cromwell",,"06416","Community Field Road Parking","2021-05-06T00:00:00.000","STEAP","$   95,904",,"$   95,904","$   114,854","$   18,950","POINT (-72.651533 41.598585)"
"2015.0","Infrastructure Project","Voluntown, Town of","115 Main Street","Voluntown","New London","06384","Public Works Garage","2015-05-14T00:00:00.000","STEAP","$   500,000",,"$   500,000","$   500,000","$   - 0","POINT (-71.869448 41.572906)"
"2013","Infrastructure Project","Discovery Museum, Inc.","4450 Park Ave","Bridgeport","Fairfield","06604","Capital Improvements","2013-02-26T00:00:00.000","Capitol Improvements","$   500,000","$   - 0","$   500,000","$   500,000","$   - 0","POINT (-73.234043 41.214896)"
"2016.0","Infrastructure Project","Somers, Town of","600 Main Street, PO Boc 308","Somers","Tolland","06712","Improvements to the Police Station Parking Lot","2016-03-11T00:00:00.000","STEAP","$   165,000",,"$   165,000","$   165,000","$   - 0","POINT (-72.445758 41.98561)"
"2013","Technical Program Support","Connecticut Main Street Center, Inc.","400 Sheldon Street","Hartford","Hartford","06106","CT Main Street Program #13","2013-06-11T00:00:00.000","Manufacturers Assistance Act","$   100,000","$   - 0","$   100,000","$   100,000","$   - 0","POINT (-72.666888 41.759356)"
"2020.0",,"New Haven Parking Authority","213 Crown Street, One Temple Street and 230 George Street","New Haven",,"06510","Improvements to City of New Haven Garages","2020-05-29T00:00:00.000","UA-OPM","$   10,900,000",,"$   10,900,000","$   10,900,000","$   - 0","POINT (-72.928715 41.305639)"
"2013","Infrastructure Project","Avon, Town of","60 West Main Street","Avon","Hartford","06001","Village Center Improvements PhaseII and III","2012-09-25T00:00:00.000","STEAP","$   215,911","$   - 0","$   215,911","$   215,911","$   - 0","POINT (-72.836037 41.810728)"
"2021.0",,"Stratford, Town of","2725 Main St.","Stratford",,"06615","Sterling House Improvements","2020-12-23T00:00:00.000","UA-OPM","$   510,000",,"$   510,000","$   510,000","$   - 0","POINT (-73.129833 41.175363)"
"2014.0","Arts, Culture and Entertainment Projects","HBN Front Street District, Inc.","Front Street","Hartford","Hartford","06103","Front Street Development - Phase II","2014-02-03T00:00:00.000","UA (OPM)","$   13,500,000","$   - 0","$   13,500,000","$   35,717,027","$   22,217,027",
"2017.0","Arts, Culture and Entertainment Projects","Sterling House","2283 Main St","Stamford",,"06615","Safety and ADA Improvements","2017-03-20T00:00:00.000","UA (OPM)","$   1,200,000",,"$   1,200,000","$   1,200,000","$   - 0","POINT (-73.13039 41.191737)"
"2012","Infrastructure Project","Rocky Hill, Town of","Town Hall, 761 Old Main Street","Rocky Hill","Hartford","06067","Revitalization Phase V","2012-04-26T00:00:00.000","STEAP","$   250,000","$   - 0","$   250,000","$   250,000","$   - 0",
"2016.0","Brownfields & Environmental Remediation/Protection projects","Middletown, City of","245 DeKoven Drive","Middletown","Middlesex","06457","Middletown Riverfront Predevelopment Phase","2015-08-21T00:00:00.000","Urban Act","$   2,600,000",,"$   2,600,000","$   2,648,000","$   48,000","POINT (-72.64699900000001 41.561212)"
"2018.0","Infrastructure Project","New Haven, City of","165 Church Street","New Haven",,"06510","Dixwell Q House Community Center","2017-08-03T00:00:00.000","UA (OPM)","$   14,500,000",,"$   14,500,000","$   19,976,471","$   5,476,471","POINT (-72.924788 41.307384)"
"2014.0","Arts, Culture and Entertainment Projects","Tennis Foundation of Connecticut","2 Howe Street","New Haven","New Haven","06511","Connecticut Tennis Center Capital Improvements","2013-09-19T00:00:00.000","Urban Act","$   258,000","$   - 0","$   258,000","$   258,000","$   - 0","POINT (-72.937491 41.306454)"
"2013","Infrastructure Project","Bloomfield, Town of","800 Bloomfield Avenue","Bloomfield","Hartford","06002","Energy Efficiency Upgrades","2012-11-05T00:00:00.000","Urban Act","$   337,500","$   - 0","$   337,500","$   6,635,087","$   6,297,587","POINT (-72.737401 41.830107)"
"2014.0","Education Related Projects","Shephard Meadows Therapeautic Riding Center, Inc.","733 Hill Street, P. O. Box 2826","Bristol","Hartford","06011","Shephard Meadows Therapeautic Riding","2013-10-25T00:00:00.000","Urban Act","$   120,000","$   - 0","$   120,000","$   120,000","$   - 0","POINT (-72.975813 41.700902)"
"2013","Technical Program Support","Connecticut Center for Advanced Technology","222 Pitkin St","East Hartford","Hartford","06108","Small Business Incubator Grant Program","2013-05-17T00:00:00.000","General Fund","$   400,000","$   - 0","$   400,000","$   400,000","$   - 0","POINT (-72.656913 41.763866)"
"2016.0","Infrastructure Project","Seymour, Town of","1 First Street","Seymour","New Haven","06483","Sidewalk Replacement Project Ph. V - 2016 STEAP","2016-04-20T00:00:00.000","STEAP","$   200,000",,"$   200,000","$   200,000","$   - 0","POINT (-73.07412800000002 41.394574)"
"2012","Infrastructure Project","Trumbull, Town of","5866 Main Street","Trumbull","Fairfield","06611","Hillcrest Middle School Upgrades","2011-07-06T00:00:00.000","Urban Act","$   375,000","$   - 0","$   375,000","$   375,000","$   - 0","POINT (-73.219444 41.256623)"
"2017.0","Infrastructure Project","Branford,Town of","1019 Main St","Branford",,"06405","Indian Neck Fire House Project","2016-11-30T00:00:00.000","STEAP","$   500,000",,"$   500,000","$   710,000","$   210,000","POINT (-72.811411 41.281558)"
"2018.0","Infrastructure Project","Hall Neighborhood House","52 George E. Pipkin’s Way","Bridgeport",,"06608","Hall Neighborhood House Community Center - Contract Amendment","2018-06-05T00:00:00.000","Special Act","$   1,500,000",,"$   1,500,000","$   1,500,000","$   - 0","POINT (-73.179706 41.183856)"
"2012","Technical Program Support","Community Capital Fund","240 Fairfield Ave # 303","Bridgeport","Fairfield","06604","Small Business Express / Lending Partners","2012-06-18T00:00:00.000","Small Business Express","$   55,000","$   - 0","$   55,000","$   55,000","$   - 0","POINT (-73.19173 41.178743)"
"2015.0","Education Related Projects","Goodwin College, Inc","One Riverside Drive","East Hartford","Hartford","06108","Goodwin College Expansion - Phase II","2015-03-11T00:00:00.000","Special Act","$   3,750,000",,"$   3,750,000","$   19,825,480","$   16,075,480",
"2018.0","ERROR: #REF!","TheaterWorks, Inc.","233 Pearl Street","Hartford",,"06103","TheaterWork Capital Improvements Projects","2018-04-25T00:00:00.000","UA (OPM)","$   2,500,000",,"$   2,500,000","$   2,500,000","$   - 0","POINT (-72.677786 41.766456)"
"2017.0","Infrastructure Project","North Stonington, Town of","40 Main Street","North Stonington",,"06359","Emergency Service Building","2017-06-28T00:00:00.000","UA (OPM)","$   300,000",,"$   300,000","$   300,000","$   - 0","POINT (-71.881098 41.440909)"
"2016.0","Infrastructure Project","Hartford, City of","550 Main Street","Hartford","Hartford","06103","Wethersfield Ave. Streetscape Improvements","2016-01-27T00:00:00.000","Special Act","$   750,000",,"$   750,000","$   750,000","$   - 0","POINT (-72.674293 41.762756)"
"2012","Infrastructure Project","Voluntown, Town of","115 Main Street","Voluntown","New London","06384","School Bus Parking Area","2011-07-25T00:00:00.000","STEAP","$   450,000","$   - 0","$   450,000","$   450,000","$   - 0","POINT (-71.869448 41.572906)"
"2017.0","Infrastructure Project","New Haven, City of","165 Church St","New Haven",,"06510","New Haven Green - Capital Improvements","2016-07-12T00:00:00.000","UA (OPM)","$   1,000,000",,"$   1,000,000","$   1,399,105","$   399,105","POINT (-72.924788 41.307384)"
"2012","Technical Program Support","Southeastern CT Enterprise Region","190 Governor Winthrop Blvd","New London","New London","06320","Municipal Stadium Phase III and IIIA","2012-04-26T00:00:00.000","Small Business Express","$   100,000","$   900,000","$   1,000,000","$   1,000,000","$   - 0","POINT (-72.09846800000001 41.355977)"
"2021.0",,"Ledyard, Town of","741 Colonel Ledyard Highway","Ledyard",,"06339","Ledyard Community Green Improvement Project","2021-05-19T00:00:00.000","STEAP","$   128,154",,"$   128,154","$   188,049","$   59,895","POINT (-72.017157 41.442514)"
"2013","Technical Program Support","Connecticut Center for Advanced Technology","222 Pitkin St","East Hartford","Hartford","06108","Technology Transition Program for CT Manufacturers","2013-05-17T00:00:00.000","General Fund","$   279,369","$   - 0","$   279,369","$   279,369","$   - 0","POINT (-72.656913 41.763866)"
"2017.0","Infrastructure Project","Woodbridge, Town of","11 Meetinghouse Ln","Woodbridge",,"06525","Westville (West River) Subsidence Project","2016-12-29T00:00:00.000","UA (OPM)","$   500,000",,"$   500,000","$   500,000","$   - 0","POINT (-73.013692 41.35406600000001)"
"2013","Infrastructure Project","Deep River, Town of","174 Main Street","Deep River","Middlesex","06417","Downtown Streetscape Improvements Phase V","2012-09-25T00:00:00.000","STEAP","$   200,000","$   - 0","$   200,000","$   200,000","$   - 0","POINT (-72.435516 41.385117)"
"2015.0","Arts, Culture and Entertainment Projects","Manchester Historical Society","175 Pine Street","Manchester","Hartford","06040","Manchester Historical Society Renovations","2015-02-05T00:00:00.000","Special Act","$   114,392",,"$   114,392","$   114,392","$   - 0","POINT (-72.530318 41.767915)"
"2021.0",,"Ellington, Town of","55 Main Street","Ellington",,"06029","Veterans Memorial Park and Pedestrian Improvements","2021-05-27T00:00:00.000","STEAP","$   116,765",,"$   116,765","$   130,465","$   13,700","POINT (-72.467659 41.903583)"
"2016.0","Brownfields & Environmental Remediation/Protection projects","Windsor Locks, Town of","25 Canal Bank Road Redevelopment","Windsor Locks","Hartford","06096","25 Canal Bank Road Redevelopment","2015-08-21T00:00:00.000","Municipal Brownfield Assessment & Inventory Program","$   200,000",,"$   200,000","$   200,000","$   - 0","POINT (-72.626765 41.929295)"
"2021.0",,"Hartford, City of","550 Main Street","Hartford",,"06103","Albany Avenue Neighborhood Park","2021-03-30T00:00:00.000","UA(OPM)","$   1,500,000",,"$   1,500,000","$   1,500,000","$   - 0","POINT (-72.674293 41.762756)"
"2013","Infrastructure Project","Hartford, City of","550 Main Street","Hartford","Hartford","06103","Bushnell Area Housing Study","2013-01-24T00:00:00.000","Urban Act","$   200,000","$   - 0","$   200,000","$   200,000","$   - 0","POINT (-72.674293 41.762756)"
"2020.0",,"Waterbury Development Corporation","83 Bank Street P.O. Box 1496","Waterbury",,"06702","Greater Waterbury-Naugatuck Valley Regional IP Expansion","2019-09-03T00:00:00.000","UA (OPM)","$   2,800,000",,"$   2,800,000","$   2,800,000","$   - 0","POINT (-73.040935 41.554665)"
