"phcyname","p1adrs","p1city","p1st","p1zip5","county","phone"
"IL STATE UNIV STUDENT HLTH PHC","101 N UNIVERSITY ST","NORMAL","IL","61790","MCLEAN","3094388713"
"R&S DRUG","3117 N HIGHWAY 81","DUNCAN","OK","73533","STEPHENS","5802520140"
"CVS PHARMACY","1935 CAMPBELL ST","DETROIT","MI","48209","WAYNE","3138423410"
"NEVADA PEDIATRIC SPECIALISTS","3201 S MARYLAND PKWY STE 608","LAS VEGAS","NV","89109","CLARK","7024575437"
"ATLANTIC FOOT & ANKLE SPCLSTS","7101 GUILFORD RD STE 204","FREDERICK","MD","21701","FREDERICK","3016948880"
"RITE AID PHARMACY","3730 BRIGHTON RD","PITTSBURGH","PA","15212","ALLEGHENY","4127613363"
"DOMINION PHARMACY SERVICES","10516 JEFFERSON AVE","NEWPORT NEWS","VA","23601","NEWPORT NEWS CITY","7575995007"
"MAPLE PHARMACY","620 S GLENDALE AVE #J","GLENDALE","CA","91205","LOS ANGELES","8185461400"
"SUPER FARMACIA JAYLEEN","CARR 110 KM 0 3 BO CEIBA BAJA","AGUADILLA","PR","00603","AGUADILLA","7878821956"
"STARWOOD PHARMACY SERVICES","3550 PARKWOOD BLVD STE 111","FRISCO","TX","75034","COLLIN","2126180052"
"IOWA PHARMACY","615 E MILLER AVE","IOWA","LA","70647","CALCASIEU","3374224022"
"CVS PHARMACY","176 ANDREWS AVE","OZARK","AL","36360","DALE","3347742654"
"MERCY PHARMACY","2231 PEGGY LN STE B","GARLAND","TX","75042","DALLAS","9722725274"
"KAY CEE LTC PHARMACY","4611 ASSEMBLY DR STE H","LANHAM","MD","20706","ANNE ARUNDEL","4107898454"
"GUTTENBERG PHARMACY","807 S HWY 52","GUTTENBERG","IA","52052","CLAYTON","5632521172"
"FIRST LONE STAR PHARMACY GROUP","906 NE BIG BEND TRL","GLEN ROSE","TX","76043","SOMERVELL","2548972711"
"BOB'S PHARMACY","210 SW 89TH ST STE F","OKLAHOMA CITY","OK","73139","CLEVELAND","4056318174"
"CVS PHARMACY","711 E JEFFERSON ST","TIPTON","IN","46072","TIPTON","7656753400"
"PRIMENET MED GRP OF KENDALL","9000 SW 137TH AVE #115","MIAMI","FL","33186","MIAMI-DADE","3053871981"
"ONAGA PHARMACY","300 LEONARD","ONAGA","KS","66521","POTTAWATOMIE","7858897181"
"WAIMANALO PHARMACY","41-1610 KALANIANAOLE HWY","WAIMANALO","HI","96795","HONOLULU","8082598488"
"HOMESTAR RX AND INFUSION SVCS","77 S COMMERCE WAY STE 200","BETHLEHEM","PA","18017","NORTHAMPTON","4845264210"
"NEIL MEDICAL GROUP-BURLINGTON","509 S LEXINGTON AVE","BURLINGTON","NC","27215","ALAMANCE","3362286337"
"SOLEO HEALTH INC","1324 W WINTON AVE","HAYWARD","CA","94545","ALAMEDA","5103627360"
"COMMUNITY PHARMACY","612 WEST MARINE CORP DR STE 8","DEDEDO","GU","96929","GUAM","6716373323"
"FIRST HEALTH SPECIALTY PHCY INC","2259 7TH AVE","NEW YORK","NY","10027","NEW YORK","6468526440"
"CVS PHARMACY","4515 HIGHWAY 411","MADISONVILLE","TN","37354","MONROE","4234425211"
"BUY RITE DRUGS","400 MEDICAL PARK DR","ATMORE","AL","36502","ESCAMBIA","2513687483"
"SPENCE PHARMACY","4821 GREEN OAKS DR","RIVER OAKS","TX","76114","TARRANT","8176263744"
"MAIN STREET PHARMACY","531 MAIN ST STE K","SAFETY HARBOR","FL","34695","PINELLAS","7273307530"
"SUPER 1 PHARMACY","604 MACARTHUR DR","ALEXANDRIA","LA","71303","RAPIDES","3184425710"
"REASORS PHARMACY","7114 S SHERIDAN RD","TULSA","OK","74133","TULSA","9184810000"
"SEIP DRUG","101 EAST MAIN ST","FRAZEE","MN","56544","BECKER","2183343070"
"GLEN DANIEL PHARMACY","6435 HARPER RD","SURVEYOR","WV","25932","RALEIGH","3049346337"
"BROOKLERE PHARMACY","385 BRYAN RD","SUMITON","AL","35148","WALKER","2056486059"
"RIDER DRUG","1207 S BALTIMORE ST","KIRKSVILLE","MO","63501","ADAIR","6606654666"
"PRINCETON PHARMACY","610 N MAIN ST","PRINCETON","IL","61356","BUREAU","8158751237"
"KIM PHARMACY","5026 FRUITRIDGE RD #3","SACRAMENTO","CA","95820","SACRAMENTO","9164699813"
"HARPELLS DITMARS PHARMACY","2325 31ST ST","ASTORIA","NY","11105","QUEENS","7182785454"
"PINO PHARMACY","1350 SW 57TH AVE STE 105","WEST MIAMI","FL","33144","MIAMI-DADE","3052622920"
"THE PHARMACY SHOP INC","28411 DEQUINDRE RD","MADISON HEIGHTS","MI","48071","OAKLAND","2485915555"
"CVS PHARMACY","201 W MAIN ST","BELLEVUE","OH","44811","SANDUSKY","4194832455"
"MORGANS PHARMACY","309 BROAD ST","GILBERT","SC","29054","LEXINGTON","8038925572"
"HARTFORD PHARMACY","469 PARK ST","HARTFORD","CT","06106","HARTFORD","8604228888"
"PUBLIX PHARMACY","100 OLD CHEROKEE RD","LEXINGTON","SC","29072","LEXINGTON","8039511727"
"VILLAGE SHIRES PHARMACY","1464 BUCK RD","HOLLAND","PA","18966","BUCKS","2158608000"
"ABQ BESTCARE PHARMACY 3 LLC","2901 TRANSPORT ST SE","ALBUQUERQUE","NM","87106","BERNALILLO","5052682030"
"SPOTSWOOD PHARMACY","14 SNOWHILL ST","SPOTSWOOD","NJ","08884","MIDDLESEX","7329556060"
"PUBLIX PHARMACY","807 CHILDRENS WAY","JACKSONVILLE","FL","32207","DUVAL","9046973601"
"BBRX PHARMACY","6013 7TH AVE UNIT B","BROOKLYN","NY","11220","KINGS","7184390502"
"CVS PHARMACY","10107 RESEARCH BLVD","AUSTIN","TX","78759","TRAVIS","5126871316"
"CVS PHARMACY","2305 THEATRE DR","PASO ROBLES","CA","93446","SAN LUIS OBISPO","8052274304"
"MARMADUKE FAMILY PHARMACY","11901 HWY 49 N","MARMADUKE","AR","72443","GREENE","8705972911"
"WESTSIDE MEDICAL PHARMACY","6565 W MAIN ST","KALAMAZOO","MI","49009","KALAMAZOO","2693751700"
"CENTERS FOR FAMILIES & CHILDRE","5955 RIDGE RD","PARMA","OH","44129","CUYAHOGA","4408880300"
"COMMUNITY HEALTH ALLIANCE","1055 S WELLS AVE STE 120","RENO","NV","89502","WASHOE","7753363035"
"HARRY'S PHARMACY & SURGICALS","333 S. BROADWAY","HICKSVILLE","NY","11801","NASSAU","5169333322"
"THOMPSON DISCOUNT DRUG","810 E 4TH ST","LONDON","KY","40741","LAUREL","6068787713"
"TUPELO DRUGS","715 GARFIELD STREET","TUPELO","MS","38801","LEE","8556121385"
"CAREMORE RX PHARMACY","2260 CROTONA AVE","BRONX","NY","10457","BRONX","9178012325"
"DINUBA PHARMACY","172 N L ST","DINUBA","CA","93618","TULARE","5597254525"
"FREEPORT PHARMACY","82 GUY LOMBARDO AVE","FREEPORT","NY","11520","NASSAU","5163778500"
"CVS PHARMACY","1300 W LAKE ST","MINNEAPOLIS","MN","55408","HENNEPIN","6128240991"
"NICHOLS HILL PHARMACY","2844 SUMMIT ST","OAKLAND","CA","94609","ALAMEDA","5108938841"
"CVS PHARMACY","800 WATKINS RD","MARYVILLE","TN","37801","BLOUNT","8659826523"
"SOMERSET PHARMACY","101 S MAIN ST","SOMERSET","KY","42501","PULASKI","6066791571"
"ALLCARE PHARMACY","10620 COLONEL GLEN RD STE 300","LITTLE ROCK","AR","72204","PULASKI","5012178880"
"BLACKFORD COMMUNITY HEALTHCARE PHCY","400 PILGRIM BLVD","HARTFORD CITY","IN","47348","BLACKFORD","7653484989"
"PUBLIX PHARMACY","840 GLYNN ST S","FAYETTEVILLE","GA","30214","FAYETTE","6788175420"
"COLORADO MEDICAL PHARMACY","1680  COLORADO BLVD","LOS ANGELES","CA","90041","LOS ANGELES","3232546736"
"CVS PHARMACY","2754 LEGENDS PKWY","PRATTVILLE","AL","36066","AUTAUGA","3342906001"
"BUY-RITE PHARMACYII","106 LAFAYETTE ST","NEW YORK","NY","10013","NEW YORK","2129669239"
"PUBLIX PHARMACY","2038 US HIGHWAY 98 W","SANTA ROSA BEACH","FL","32459","WALTON","8502671166"
"CLEVELAND PHARMACY","36321 STATE HIGHWAY 79 STE 2","CLEVELAND","AL","35049","BLOUNT","2052748000"
"THE PHARMACY AT RMC","400 E 10TH ST STE WC300","ANNISTON","AL","36207","CALHOUN","2562941171"
"CASA DE VIDA PHARMACY","52 WEST BURNSIDE AVE","BRONX","NY","10453","BRONX","3478207989"
"CVS PHARMACY","2621 W SCHAUMBURG RD","SCHAUMBURG","IL","60194","COOK","8477981238"
"PUBLIX PHARMACY","10250 STAPLES MILL RD.","GLEN ALLEN","VA","23060","HENRICO","8045914320"
"PUBLIX PHARMACY","8075 SW HIGHWAY 200 UNIT 111","OCALA","FL","34481","MARION","3522910372"
"MARY RULAN HSP HLTH CTR RET PHCY","1134 N MAIN","BELLEFONTAINE","OH","43311","LOGAN","9376516783"
"WRIGHTS PHARMACY","147 W SAGINAW ST","HEMLOCK","MI","48626","SAGINAW","9896425411"
"BAPTIST REGIONAL APOTHECARY","1 TRILLIUM WAY","CORBIN","KY","40701","WHITLEY","6065268334"
"HEAVEN AID PHARMACY","2385 GRAND CONCOURSE","BRONX","NY","10468","BRONX","3478797870"
"WONDERFUL RX PHARMACY INC","52 JERICHO TPKE","MINEOLA","NY","11501","NASSAU","5164164881"
"UMC PHARMACY INC","1201 1/2 N VERMONT AVE","LOS ANGELES","CA","90029","LOS ANGELES","3236612223"
"FREDERIC PHARMACY","201 OAK ST WEST","FREDERIC","WI","54837","POLK","7153274208"
"CVS PHARMACY","65 BOSTON ST","LYNN","MA","01904","ESSEX","7815955997"
"CVS PHARMACY","700 W SEMINARY DR","FORT WORTH","TX","76115","TARRANT","8179262661"
"COSTCO PHARMACY","26960 NW FREEWAY","CYPRESS","TX","77429","HARRIS","8326534586"
"AHF PHARMACY","16121 JAMAICA AVE # 7","JAMAICA","NY","11432","QUEENS","9294214620"
"CVS PHARMACY","3801 SW GREEN OAKS BLVD","ARLINGTON","TX","76017","TARRANT","8175722365"
"CVS PHARMACY","6300 PROSPECT AVE","KANSAS CITY","MO","64132","JACKSON","8164442922"
"CVS PHARMACY","10 SARAHS WAY","FAIRHAVEN","MA","02719","BRISTOL","5089990790"
"CVS PHARMACY","105 MAIN ST","MAYNARD","MA","01754","MIDDLESEX","9788972939"
"CVS PHARMACY","2565 LONDON GROVEPORT RD","GROVE CITY","OH","43123","FRANKLIN","6142772921"
"HY-VEE PHARMACY","5050 EDGEWOOD RD NE","CEDAR RAPIDS","IA","52411","LINN","3192949193"
"CVS PHARMACY","55 DIMOCK ST","ROXBURY","MA","02119","SUFFOLK","6179891022"
"CVS PHARMACY","100 MARIS GROVE WAY","GLEN MILLS","PA","19342","DELAWARE","6103874540"
"CVS PHARMACY","6358 FOREST HILL BLVD","GREENACRES","FL","33415","PALM BEACH","5619641702"
"DUANE READE","1052-1055 1ST AVE","NEW YORK","NY","10022","NEW YORK","6462820530"
"CVS PHARMACY","3511 US HIGHWAY 19","NEW PORT RICHEY","FL","34652","PASCO","7278418205"
"CVS PHARMACY","1422 E PASS RD","GULFPORT","MS","39507","HARRISON","2286040138"
"CVS PHARMACY","13171 MINDANAO WAY","MARINA DEL REY","CA","90292","LOS ANGELES","3108218908"
"COSTCO PHARMACY","355 E NEIDER AVE","COEUR D ALENE","ID","83815","KOOTENAI","2086767353"
"CVS PHARMACY","9197 S FEDERAL HWY","PORT SAINT LUCIE","FL","34952","SAINT LUCIE","7723354668"
"CVS PHARMACY","1600 MAIN ST","DICKSON CITY","PA","18519","LACKAWANNA","5703833211"
"CVS PHARMACY","9805 ROCKY RIVER RD","CHARLOTTE","NC","28215","MECKLENBURG","7044943466"
"CVS PHARMACY","1111 TAMIAMI TRL N","NOKOMIS","FL","34275","SARASOTA","9414848406"
"CVS PHARMACY","6011 KIRBY DR","HOUSTON","TX","77005","HARRIS","7135223983"
"STOP & SHOP PHARMACY","801 NEWARK AVE","ELIZABETH","NJ","07208","UNION","9088209301"
"CVS PHARMACY","6417 W HIGGINS AVE","CHICAGO","IL","60656","COOK","7736315906"
"LIFE STAR PHARMACY INC","1215 JEROME AVENUE","BRONX","NY","10452","BRONX","7186845010"
"JOELTON PRESCRIPTION SHOP","7164 WHITES CREEK PIKE","JOELTON","TN","37080","DAVIDSON","6158760633"
"PUBLIX PHARMACY","955 STATE ROAD 16","SAINT AUGUSTINE","FL","32084","SAINT JOHNS","9048196774"
"UNITED PHARMACY","3552 S SONCY RD","AMARILLO","TX","79119","RANDALL","8064676815"
"OCEANSIDE PHARMACY & SUPERMARKET","3206 MERMAID AVE","BROOKLYN","NY","11224","KINGS","7189964949"
"PUBLIX PHARMACY","4760 W HILLSBORO BLVD","COCONUT CREEK","FL","33073","BROWARD","9544200870"
"KHN PHARMACY GRANDVIEW","405 W GRAND AVE","DAYTON","OH","45405","MONTGOMERY","9377233530"
"MEMORIAL REG HOSP PRIMARY CARE CTR","4105 PEMBROKE RD","HOLLYWOOD","FL","33021","BROWARD","9542658485"
"RIVERVIEW PHCY & SURGICALS","408-410 EASTERN BLVD","ESSEX","MD","21221","BALTIMORE","4432315177"
"PHARMACY SHOP","69 N PINE ST","BLACKFOOT","ID","83221","BINGHAM","2087853510"
"CVS PHARMACY","1922 E MAIN ST","TORRINGTON","CT","06790","LITCHFIELD","8606184008"
