"applicant_recipient","applicant_address","applicant_city","applicant_state","applicant_zip_code","project_address","project_municipality","project_zip_code","unnamed_column","program_name","statutory_reference","fiscal_year","total_tax_credits_issued","total_tax_credit_allocation","contract_date_allocation","total_number_of_investments","total_qualified_expenditures"
"Bristol Enterprises/Eversource","50 North Street","Litchfield","CT","6759","3 North Street","Bristol","6010",,"Historic Rehabilitation Tax Credit","C.G.S. Sect. 10-416c","2021","4022648.40","4022648.40","2020-08-06T00:00:00.000","13408828.00","13408828.00"
"Pavilion Hall, LLC/Eversource Energy","17 East Shore Road","New Preston","CT","6777","17 East Shore Road","Washington (New Preston)","6777",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","66835.00","66835.00","2020-12-07T00:00:00.000",,"432930.36"
"Sonoson LLC","70 S. Main Street","Norwalk","CT","6854","70 South Main Street","Norwalk","6854",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","557886.25","557886.25","2020-10-06T00:00:00.000",,"2939648.00"
"Sonoson LLC","70 S. Main Street","Norwalk","CT","6854","68 S. Main Street","Norwalk","6854",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","286730.50","286730.50","2020-10-06T00:00:00.000",,"1435521.00"
"Historic Cargill Falls Mill, LLC","58 Pomfret Street","Putnam","CT","6260","52 and 58 Pomfret Street","Putnam","6260",,"Historic Rehabilitation Tax Credit Program",,"2021","2936573.00","2936573.00","2020-12-04T00:00:00.000",,"9788577.00"
"Northeast Neighborhood Partners, Inc.","10 Love Lane","Hartford","CT","6112","10 & 60 Love Land","Hartford","6112",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","4500000.00","4500000.00","2020-12-07T00:00:00.000",,"19251865.00"
"200 Tyler MM LLC","One Washington Mall, Suite 500","Boston","MA","2108","200 Tyler St","East Haven","6512",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","4500000.00","4500000.00","2020-12-23T00:00:00.000",,"19718526.00"
"CG Management Company, LLC/Eversource","140 Huyshope Avenue","Hartford","CT","6106","100 Huyshope Avenue","Hartford","6106",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","3601706.00","3601706.00","2021-01-29T00:00:00.000",,"12005687.00"
"Allyn 88 LLC","338 Asylum Street","Hartford","CT","6103","103-105 Allyn Street","Hartford","6103",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","663414.00","663414.00","2021-03-16T00:00:00.000",,"2352826.00"
"Allyn 88 LLC","338 Asylum Street","Hartford","CT","6103","109-111 Allyn Street","Hartford","6103",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","243962.40","243962.40","2021-03-16T00:00:00.000",,"966072.00"
"Allyn 88 LLC","338 Asylum Street","Hartford","CT","6103","113-121 Allyn Street","Hartford","6103",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","2469936.90","2469936.90","2021-03-16T00:00:00.000",,"8234959.00"
"Clock Tower Mill, LP","342 North Main Street","West Hartford","CT","6117","63 Elm Street","Manchester","6040",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","1366116.60","1366116.60","2021-04-12T00:00:00.000",,"4553722.00"
"AKK 5, LLC/Eversource Energy","66 West Main Street","New Britain","CT","6051","136 Main Street","New Britain","6051",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","836315.88","836315.88","2021-04-21T00:00:00.000",,"2787719.60"
"Constantinos Constantiou","64 Amanda Way","Tolland","CT","6084","28 High Street","Hartford","6103",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","1200000.00","1200000.00","2021-04-21T00:00:00.000",,"4198030.00"
"Lawrence Street Property, LLC/Eversource Energy","387 Capitol Avenue, Apt. 3","Hartford","CT","6106","246-248 Lawrence Street","Hartford","6106",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","118750.00","118750.00","2021-04-26T00:00:00.000",,"477293.00"
"Lawrence Street Property, LLC/Eversource Energy","387 Capitol Avenue, Apt. 3","Hartford","CT","6106","250-252 Lawrence Street","Hartford","6106",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","118750.00","118750.00","2021-04-26T00:00:00.000",,"477296.00"
"Exclusive Development LLC/Eversource Energy","222 Main Street","New Britain","CT","6051","222 Main Street","New Britain","6051",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","2191957.50","2191957.50","2021-05-04T00:00:00.000",,"7540282.40"
"Quantum of Washington Street, LLC/Eversource Energy","PO Box 3, 80 Shunpike Road","Cromwell","CT","6416","24 Washington Street","New Britain","6051",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2021","629457.00","629457.00","2021-05-24T00:00:00.000",,"2517828.00"
"Hill-Stead Museum/Eversource Energy","35 Mountain Road","Farmington","CT","6032","35 Mountain Road","Farmington","6032",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2022","728255.50","728255.50","2021-08-09T00:00:00.000",,"2913022.00"
"VASE Development/Eversource Energy","360 Fairfield Avenue","Bridgeport","CT","6604","94-96 Edwards Street","Hartford","6121",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2022","160395.75","160395.75","2021-08-30T00:00:00.000",,"738451.00"
"125 Hillside Ave LLC","54 Hillside Ave","Waterbury","CT","6710","125 Hillside Avenue","Waterbury","6710",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2022","153072.00","153072.00","2021-09-17T00:00:00.000",,"510240.00"
"Courtland Arms, LP/Eversource","225 Homestead Avenue","Hartford","CY","6312","57 Courtland Street","New Britain","6051",,"Historic Rehabilitation Tax Credit Program","CGS Section 10-416c","2022","1423766.70","1423677.70","2022-02-23T00:00:00.000",,"5090365.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","8698.80","8698.80","2019-09-03T00:00:00.000",,"33115.61"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","4774.50","4774.50","2019-10-02T00:00:00.000",,"15915.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","6889.50","6889.50","2019-10-02T00:00:00.000",,"22965.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","19682.25","19682.25","2019-10-02T00:00:00.000",,"65607.50"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","4612.50","4612.50","2019-10-02T00:00:00.000",,"15375.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","6916.16","6916.16","2019-10-02T00:00:00.000",,"23053.87"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","5100.46","5100.46","2019-10-02T00:00:00.000",,"17001.54"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","5357.15","5357.15","2019-10-02T00:00:00.000",,"28401.91"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","5598.81","5598.81","2019-10-02T00:00:00.000",,"18662.71"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","9867.14","9867.14","2019-10-02T00:00:00.000",,"36248.90"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","100000.00","100000.00","2019-10-02T00:00:00.000",,"367373.18"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","4752.00","4752.00","2019-10-02T00:00:00.000",,"69048.48"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","30000.00","30000.00","2019-10-02T00:00:00.000",,"156876.02"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","7949.63","7949.63","2019-10-02T00:00:00.000",,"26498.75"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","30000.00","30000.00","2019-10-02T00:00:00.000",,"103146.46"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","10694.07","10694.07","2019-10-02T00:00:00.000",,"35646.89"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","4500.00","4500.00","2019-10-02T00:00:00.000",,"15000.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","55417.20","55417.20","2019-10-02T00:00:00.000",,"245000.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","9078.00","9078.00","2019-10-02T00:00:00.000",,"30260.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,,,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","14079.60","14079.60","2019-10-02T00:00:00.000",,"46932.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6114",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","30000.00","30000.00","2020-01-03T00:00:00.000",,"100000"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","17583.90","17583.90","2020-01-03T00:00:00.000",,"58613.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","50000.00","50000.00","2020-01-03T00:00:00.000",,"166666.67"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6119",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","30000.00","30000.00","2020-01-03T00:00:00.000",,"100000.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6515",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","12223.88","12223.88","2020-01-03T00:00:00.000",,"40746.27"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","9058.50","9058.50","2020-01-03T00:00:00.000",,"30195.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6513",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","7425.00","7425.00","2020-01-03T00:00:00.000",,"24750.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","9735.00","9735.00","2020-01-03T00:00:00.000",,"32450.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6074",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","4953.60","4953.60","2020-01-03T00:00:00.000",,"16512.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6106",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","7625.04","7625.04","2020-01-03T00:00:00.000",,"25416.80"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6095",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","13306.00","13306.00","2020-01-03T00:00:00.000",,"44353.33"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6515",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","22359.98","22359.98","2020-01-03T00:00:00.000",,"74533.20"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6052",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","13118.10","13118.10","2020-01-03T00:00:00.000",,"43727.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6085",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","11385.00","11385.00","2020-01-03T00:00:00.000",,"37950.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2020","9108.00","9108.00","2020-01-03T00:00:00.000",,"30360.00"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6515",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","11138.57","11138.57","2020-11-01T00:00:00.000",,"37128.56"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6776",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","29193.02","29193.02","2020-11-01T00:00:00.000",,"97310.06"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6114",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","2142.30","2142.30","2020-11-01T00:00:00.000",,"7141"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","5040","5040","2020-11-01T00:00:00.000",,"16800"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6106",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","21603.40","21603.40","2020-11-01T00:00:00.000",,"72011.33"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6120",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","70979.40","70979.40","2020-11-01T00:00:00.000",,"236598"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6515",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","11213.74","11213.74","2020-11-01T00:00:00.000",,"37379.13"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6550",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","9465.76","9465.76","2020-11-01T00:00:00.000",,"31552.53"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","6855","6855","2020-11-01T00:00:00.000",,"2850"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6840",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","4950.33","4950.33","2020-11-01T00:00:00.000",,"16501.10"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","17240.70","17240.70","2020-11-01T00:00:00.000",,"57469"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","6345","6345","2020-11-01T00:00:00.000",,"21150"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","16080","16080","2020-11-01T00:00:00.000",,"53600"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6057",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","9792.34","9792.34","2020-11-01T00:00:00.000",,"32641.13"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6426",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","30000","30000","2020-11-01T00:00:00.000",,"100000"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6488",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","5640","5640","2020-11-01T00:00:00.000",,"18800"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6405",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","7667.22","7667.22","2020-11-01T00:00:00.000",,"25557.40"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6513",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","6771","6771","2020-11-01T00:00:00.000",,"22570"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6106",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","4740.60","4740.60","2020-11-01T00:00:00.000",,"15802"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","30000","30000","2020-11-01T00:00:00.000",,"100000"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","30000","30000","2020-11-01T00:00:00.000",,"100000"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6457",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","30000","30000","2020-11-01T00:00:00.000",,"100000"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","100000","100000","2020-11-01T00:00:00.000",,"333333"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","50000","50000","2020-11-01T00:00:00.000",,"166666"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","100000","100000","2020-11-01T00:00:00.000",,"333333"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","50000","50000","2020-11-01T00:00:00.000",,"166666"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","5886.30","5886.30","2020-11-01T00:00:00.000",,"19621"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","150000","150000","2020-11-01T00:00:00.000",,"500000"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","50000","50000","2020-11-01T00:00:00.000",,"166666"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6235",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","6738.30","6738.30","2020-11-01T00:00:00.000",,"22461"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","18517.50","18517.50","2020-11-01T00:00:00.000",,"61725"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6405",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","9033.11","9033.11","2020-11-01T00:00:00.000",,"30110.36"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","13716.23","13716.23","2020-11-01T00:00:00.000",,"45720.76"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6515",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","5256","5256","2020-11-01T00:00:00.000",,"17520"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","30000","30000","2020-11-01T00:00:00.000",,"100000"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","4950","4950","2020-11-01T00:00:00.000",,"16500"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","30000","30000","2020-11-01T00:00:00.000",,"100000"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6109",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","24981","24981","2020-11-01T00:00:00.000",,"83270"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6513",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","18679.31","18679.31","2020-11-01T00:00:00.000",,"62264.36"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6106",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","4785","4785","2020-11-01T00:00:00.000",,"15950"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","30000","30000","2020-11-01T00:00:00.000",,"100000"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6515",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","26325","26325","2020-11-01T00:00:00.000",,"87750"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","8400","8400","2020-11-01T00:00:00.000",,"28000"
"Private Homeowner/ Eversource Energy","Private",,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416","2021","50000","50000","2020-11-01T00:00:00.000",,"166666"
,,,"CT",,"Private",,"6515",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"13160.40","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"7004","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6515",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"21924.60","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6117",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"30000","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6776",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"119977","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6519",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"6103.20","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"25086.34","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"7290","2021-11-01T00:00:00.000",,
