"fiscal_year","company_name","company_address","municipality","county_1","state","zip_code","business_industry","naics_code","woman_minority_veteran_international_export","contract_execution_date","grant_amount","loan_amount","total_assistance","total_project_cost","amount_leveraged","funding_source","statutory_reference","per_contract_full_time_ct_jobs_to_be_retained","per_contract_full_time_ct_jobs_to_be_created","per_contract_part_time_ct_jobs_to_be_retained","per_contract_part_time_ct_jobs_to_be_created","actual_jobs_at_time_of_review","job_obligation_status","penalty_if_applicable","forgiveness_earned_if_applicable","per_application_existing_full_time_jobs_in_ct","per_application_full_time_jobs_to_be_created_in_ct","per_application_existing_part_time_jobs_in_ct","per_application_part_time_jobs_to_be_created_in_ct","full_time_ct_employment_at_6_30_18","part_time_ct_employment_at_6_30_18","status","location_1","count","geocoded_location"
"2019","Comfort Therapeutics, LLC","141 West Elm Street","New Haven","New Haven","CT","06515","Wellness for Women","812199","Yes Woman","2019-03-22T00:00:00.000","34500",,"34500","103500","69000","Small Business Express Program","CGS Sec. 32-7g","0","2","0","0","Pending","Pending","n/a","n/a","0","7","1","4",,,"Active","141 West Elm Street","1","141 West Elm Street
New Haven, CT 06515
(41.322576, -72.963654)"
"2019","L. M. Gill Welding & Manufacturing, LLC","1422 Tolland Turnpike","Manchester","Hartford","CT","06042","Manufacturing","332710","No","2019-03-26T00:00:00.000","100000","300000","400000","500000","100000","Small Business Express Program","CGS Sec. 32-7g","26","10","0","0","Pending","Pending","n/a","n/a","25","10","2","0",,,"Out of Business- confirmed","1422 Tolland Turnpike","1","1422 Tolland Turnpike
Manchester, CT 06042
(41.794541, -72.565402)"
"2015","Stone Fabricators, LLC","234 Middle Street","Middletown","Middlesex","CT","06457","Manufacturing","327991","No","2015-06-02T00:00:00.000","100000","275000","375000","624760","249760","Small Business Express Program","CGS Sec. 32-7g","33","5","0","0","Pending","Pending","n/a","n/a","33","5","0","0",,,"Compliance Complete","234 Middle Street","1","234 Middle Street
Middletown, CT 06457
(41.57632, -72.72305)"
"2018","Martocchio & Oliveira, LLC","191 Main Street","Southington","Hartford","CT","06489","Legal Services","541110","No","2017-12-12T00:00:00.000","60000","141000","201000","261000","60000","Small Business Express Program","CGS Sec. 32-7g","4","3","0","0","Pending","Pending","n/a","n/a","4","3","3","0",,,"Active","191 Main Street","1","191 Main Street
Southington, CT 06489
(41.598057, -72.87777)"
"2016","PDC International, Inc.","8 Sheehan Avenue","Norwalk","Fairfield","CT","06854","Manufacturing","333993","Yes Veteran/International","2016-06-06T00:00:00.000","40000","0","40000","117450","77450","Small Business Express Program","CGS Sec. 32-7g","53","2","0","0","Pending","Pending","n/a","n/a","53","2","0","0",,,"Active","8 Sheehan Avenue","1","8 Sheehan Avenue
Norwalk, CT 06854
(41.084897, -73.422953)"
"2018","Star Auto Repair, Inc. dba Star Tires Plus Wheels, LLC","888 Wethersfield Avenue","Hartford","Hartford","CT","06114","Auto Repair Service","811110","Yes Woman","2017-08-18T00:00:00.000","100000","261800","361800","461800","100000","Small Business Express Program","CGS Sec. 32-7g","8","6","0","0","Pending","Pending","n/a","n/a","8","6","0","0",,,"Active","888 Wethersfield Avenue","1","888 Wethersfield Avenue
Hartford, CT 06114
(41.73199, -72.669849)"
"2017","Crosskey Architects, LLC","750 Main Street, Suite 150","Hartford","Hartford","CT","06103","Architectural Services","541310","No","2016-12-05T00:00:00.000","100000","0","100000","300000","200000","Small Business Express Program","CGS Sec. 32-7g","25","5","0","0","Pending","Pending","n/a","n/a","25","5","0","0",,,"Active","750 Main Street, Suite 150","1","750 Main Street, Suite 150
Hartford, CT 06103
(41.765523, -72.67344)"
"2018","Disaster Restoration Services","338 Airline Avenue","Portland","Middlesex","CT","06480","Restoration Services","238990","No","2018-01-05T00:00:00.000","100000","300000","400000","916612","516612","Small Business Express Program","CGS Sec. 32-7g","16","5","0","0","Pending","Pending","n/a","n/a","16","0","0","0",,,"Active","338 Airline Avenue","1","338 Airline Avenue
Portland, CT 06480
(41.568504, -72.644071)"
"2013","Brain Parade, LLC","1177 High Ridge Road","Stamford","Fairfield","CT","06905","Software","511210","No","2013-06-13T00:00:00.000","22100","0","22100","100660","78560","Small Business Express Program","CGS Sec. 32-7g","0","1","0","0","1","Met","n/a","n/a","1","1","0","0",,,"Compliance Complete","1177 High Ridge Road","1","1177 High Ridge Road
Stamford, CT 06905
(41.109597, -73.547119)"
"2016","Firefly Hollow Brewing Company, LLC","139 Center Street","Bristol","Hartford","CT","06010","Manufacturer of Beer","722410","No","2015-08-28T00:00:00.000","0","221910","221910","363910","142000","Small Business Express Program","CGS Sec. 32-7g","1","4","0","0","Pending","Pending","n/a","n/a","1","4","0","0",,,"Active","139 Center Street","1","139 Center Street
Bristol, CT 06010
(41.676072, -72.945181)"
"2014","Microboard Processing, Inc.","35 Cogswell Lane","Seymour","New Haven","CT","06488","Printed circuit boards loading","334418","No","2013-12-20T00:00:00.000","100000","300000","400000","500000","100000","Small Business Express Program","CGS Sec. 32-7g","81","5","0","0","88","Met","n/a","n/a","81","5","0","0","126","10","Compliance Complete","35 Cogswell Lane","1",
"2012","Kat Burki, Inc.","175 Post Road","Westport","Fairfield","CT","06880","Service","812112",,"2012-04-23T00:00:00.000","100000","0","100000","200000","100000","Small Business Express Program","CGS Sec. 32-7g","7","5","0","0","5","Not Met","$7,000","n/a","7","15","0","0",,,"Compliance Complete","175 Post Road","1","175 Post Road
Westport, CT 06880
(41.136477, -73.370109)"
"2017","Black Business Alliance, Inc.","760 Chapel Street","New Haven","New Haven","CT","06510","Professional Organization","813920","Yes Minority","2017-06-23T00:00:00.000","300000","0","300000","300000","0","Small Business Express Program","CGS Sec. 32-7g","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","0","80","40","40",,,"Active","760 Chapel Street","1","760 Chapel Street
New Haven, CT 06510
(41.30502, -72.923351)"
"2015","Architectural Glass Industries, LLC","9 Turnberry Lane","Sandy Hook","Fairfield","CT","06482","Glass Manufacturing","339900","Yes Woman","2015-05-19T00:00:00.000","0","300000","300000","303000","3000","Small Business Express Program","CGS Sec. 32-7g","14","2","0","0","n/a","n/a","n/a","n/a","10","3","0","0",,,"Active","9 Turnberry Lane","1","9 Turnberry Lane
Sandy Hook, CT 06482
(41.406682, -73.259235)"
"2013","TCX Industries, LLC","5 Del Mar Drive, Unit E","Brookfield","Fairfield","CT","06804","E-Commerce Retail Sales","454111","No","2012-11-05T00:00:00.000",,"250000","250000","250000","0","Small Business Express Program","CGS Sec. 32-7g","7","5","0","0","8","Not Met","2% to 3%","n/a","7","5","0","0",,,"Active","5 Del Mar Drive, Unit E","1","5 Del Mar Drive, Unit E
Brookfield, CT 06804
(41.453007, -73.401612)"
"2013","York Analytical Laboratories, Inc.","120 Research Drive","Stratford","Fairfield","CT","06615","Environmental","541380","No","2013-06-05T00:00:00.000","80000","0","80000","260000","180000","Small Business Express Program","CGS Sec. 32-7g","37","4","0","0","47","Met","n/a","n/a","37","4","0","0",,,"Active","120 Research Drive","1","120 Research Drive
Stratford, CT 06615
(41.17367, -73.153547)"
"2012","Healthy Mom, LLC fka Maia Yogurt","2319 Whitney Avenue, Suite 1D","Hamden","New Haven","CT","06518","Retail","446191","Yes Woman","2012-02-24T00:00:00.000","0","200000","200000","254100","54100","Small Business Express Program","CGS Sec. 32-7g","2","1","0","0","3","Not Met","Rate increase from 4% to 5%","n/a","1","3","0","0","4","1","Active","2319 Whitney Avenue, Suite 1D","1","2319 Whitney Avenue, Suite 1D
Hamden, CT 06518
(41.381817, -72.902472)"
"2013","Horen, Stuart M. dba Horen Chiropractic Center","5 Melrose Drive","Farmington","Hartford","CT","06032","Office of Chiropractors","621310","No","2013-04-25T00:00:00.000","50000","71600","121600","171600","50000","Small Business Express Program","CGS Sec. 32-7g","2","3","0","0","3","Not Met","Rate increase from 3% to 4% and $4,864","n/a","2","3","0","0",,,"Out of Business- written off","5 Melrose Drive","1","5 Melrose Drive
Farmington, CT 06032
(41.73676, -72.843101)"
"2014","FSM Plasticoid Manufacturing, Inc.","32 North Road","East Windsor","Hartford","CT","06088","Manufacturing","326199","No","2013-09-10T00:00:00.000","0","300000","300000","390000","90000","Small Business Express Program","CGS Sec. 32-7g","9","5","0","0","10","Not Met","from 2% to 3%","n/a","11","8","0","0",,,"Compliance Complete","32 North Road","1","32 North Road
East Windsor, CT 06088
(41.932181, -72.600186)"
"2017","Yumi EcoSolutions, Inc.","66 Fort Point Street","Norwalk","Fairfield","CT","06855","Manufacturing","326199","Yes","2016-08-09T00:00:00.000","0","250000","250000","250000","0","Manufacturing Assistance Act/Small Business Revolving Loan Fund","PA 10-75","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4","8","1","2",,,"Active","66 Fort Point Street","1","66 Fort Point Street
Norwalk, CT 06855
(41.103839, -73.407106)"
"2017","Southeastern Connecticut Cultural Coalition","P.O. Box 95","New London","New London","CT","06320","Arts, Cuture & Humanities","712100","No","2016-08-01T00:00:00.000","20000","0","20000","40000","20000","Small Business Express Program","CGS Sec. 32-7g","1",,"0","0","Pending","Pending","n/a","n/a","1","1","0","0","2","0","Compliance Complete","P.O. Box 95","1",
"2013","Wallingford Industries, Inc.","31 Business Park Drive","Branford","New Haven","CT","06405","Fabricated Pipe & Pipe Fitting Manufacturing","332996","No","2013-05-10T00:00:00.000","0","100000","100000","200000","100000","Small Business Express Program","CGS Sec. 32-7g","5","1","0","0","6","Met","n/a","n/a","5","1","0","0","6","1","Active","31 Business Park Drive","1","31 Business Park Drive
Branford, CT 06405
(41.296372, -72.771956)"
"2017","M & M Redemption, LLC","200 Church Street","Wallingford","New Haven","CT","06492","Recyclable Materials","423930","No","2016-08-10T00:00:00.000","20000","0","20000","40000","20000","Small Business Express Program","CGS Sec. 32-7g","1","2","0","0","0","Not Met","$20,000","n/a","1","2","0","0",,,"Active","200 Church Street","1","200 Church Street
Wallingford, CT 06492
(41.490592, -72.815235)"
"2015","East Point Systems, Inc.","2588 Atlantic Avenue","Brooklyn",,"NY","11207","Sofware Development","511210","No","2014-09-02T00:00:00.000","100000","0","100000","250000","150000","Small Business Express Program","CGS Sec. 32-7g","17","13","0","0","12","Not Met","$20,000","n/a","29","9","0","0",,,"Active","2588 Atlantic Avenue","1","2588 Atlantic Avenue
Brooklyn, NY 11207
(40.675525, -73.898875)"
"2013","Connecticut Tank Removal, Inc.","118 Burr Court","Bridgeport","Fairfield","CT","06605","Environmental Remediation","562910","No","2013-06-13T00:00:00.000","100000","0","100000","200000","100000","Small Business Express Program","CGS Sec. 32-7g","42","5","0","0","52","Met","n/a","$   100,000","42","5","0","0",,,"Active","118 Burr Court","1","118 Burr Court
Bridgeport, CT 06605
(41.166233, -73.220979)"
"2017","MVP Systems Software, Inc.","29 Mill Street","Unionville","New London","CT","06085","Software","511210","No","2017-04-25T00:00:00.000","88000","0","88000","438000","350000","Small Business Express Program","CGS Sec. 32-7g","15","5","0","0","Pending","Pending","n/a","n/a","15","5","0","0",,,"Active","29 Mill Street","1","29 Mill Street
Unionville, CT 06085
(41.757051, -72.88837)"
"2014","Landmarkprint, Inc.","375 Fairfield Avenue","Stamford","Fairfield","CT","06902","Graphic Communications and Print","323111","No","2013-08-21T00:00:00.000","50000","0","50000","100000","50000","Small Business Express Program","CGS Sec. 32-7g","47","4","0","0","45","Not Met","n/a","n/a","47","4","7","3",,,"Active","375 Fairfield Avenue","1","375 Fairfield Avenue
Stamford, CT 06902
(41.037899, -73.551259)"
"2014","Café Romeo, LLC","534 Orange Street","New Haven","New Haven","CT","06511","Food Service","722513","No","2013-07-22T00:00:00.000","62890","0","62890","125780","62890","Small Business Express Program","CGS Sec. 32-7g","11","5","0","0","16","Met","n/a","n/a","8","11","0","0",,,"Out of Business- written off","534 Orange Street","1","534 Orange Street
New Haven, CT 06511
(41.314871, -72.917157)"
"2018","Clark Agency, LLC","180 Glastonbury Boulevard","Glastonbury","Hartford","CT","06033","Insurance","524210","No","2017-10-23T00:00:00.000","0","200000","200000","200000","0","Small Business Express Program","CGS Sec. 32-7g","16","3","0","0","19","Met","n/a","$   30,000","6","3","0","0",,,"Active","180 Glastonbury Boulevard","1","180 Glastonbury Boulevard
Glastonbury, CT 06033
(41.721216, -72.621695)"
"2013","Bikes-Plus, LLC dba Newington Bicycle","1030 Main Street","Newington","Hartford","CT","06111","Bicycle Retail Sales","451110","Yes","2013-04-05T00:00:00.000","0","82000","82000","82000","0","Small Business Express Program","CGS Sec. 32-7g","7","1","0","0","8","Met","n/a","n/a","7","1","0","0",,,"Active","1030 Main Street","1","1030 Main Street
Newington, CT 06111
(41.697438, -72.723508)"
