"town","address","tower_type","owner","height","comments","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"New London","Bates Woods Park","ballfield light pole","Message Center Mgmt","115","d0439","AT&T @ 112'",,,,,,,,
"Waterford","Oil Mill Road","power mount","CL&P","85","p0919 - add 10 to 85' transmission tower for metropcs antennas","MetroPCS @ 92.5'",,,,,,,,
"North Haven","Clintonville Rd/Route ** (Pole #****B)","power mount","CL&P","100","p0737","Cingular @ 100'",,,,,,,,
"Glastonbury","** Woodland Street","monppole or monopine","Eco-Site","150","d478 D & M plan approved on Jan 17, 2019","T-Mobile @ 146'","AT&T @ 136'","Dish @ 125'",,,,,,
"Marlborough","*** South Main Street","monopole","SBA","170","d0256","Sprint @ 160'","Verizon @ 170'","Cingular/AT&T @ 150'","Cingular @ 145'","T-Mobile @ 130'","MetroPCS @ 110'",,,
"Norwalk","* Charles Marshall Dr","power mount","CL&P","95","(p0459)1-GPS at 20' AGL on fence, Structure # 1109","T-Mobile @ 104/114'","Sprint @ 103'",,,,,,,
"Newtown","** Berkshire Road, Route **","monopole","Crown","185","d0089/p0402","Cingular @ 177'","Verizon @ 185'","Sprint @ 165'","Nextel @ 150'","T-Mobile @ 145'","skytel @ 155'","MetroPCS @ 135'","DISH @ 135'",
"Bridgeport","*** Warren (** Austin Street/aka *** Myrtle St. )","rooftop","First Macadams LLC",,,"Verizon @ 75'",,,,,,,,
"Stamford","*** Shippan Avenue","rooftop",,,,"MetroPCS @ 100'",,,,,,,,
"New Britain","*** South Main Street","rooftop",,,,"T-Mobile @ 49'",,,,,,,,
"Naugatuck","*** Maple Hill Road","monopole","Tarpon Towers","180'",,"T-Mobile @ 167","DISH @ 157'",,,,,,,
"Windsor Locks","** King Spring Rd","self-supporting lattice","King Spring Road LLC","100","(d041) up to 4 equipment cabinets on concrete pad","continental catv @ 100'","Cingular/AT&T @ 100'",,,,,,,
"Wolcott","*** Central Avenue","monopole","Town of Wolcott","120",,,,,,,,,,
"Hamden","*** Denslow Hill Road","guyed lattice","Vertical Bridge AM II","200",,"Dish @ 185",,,,,,,,
"Branford","*** East Main Street","wood pole","Eversource","50","Petition No 1428","Eversource @49'",,,,,,,,
"Woodstock","Perrin Rd","guyed lattice","Tele-Media","80","(d043.5/p0142) Add 20' to an existing 60' tower","tele-media @ 75'",,,,,,,,
"West Hartford","* Westminster Drive","church steeple","Verizon",,,"Verizon @ 61.5'","T-Mobile @ 80'","MetroPCS",,,,,,
"West Hartford","*** North Main Street","rooftop","Verizon","49'","verizon relocation from 345 North Main","Verizon @ 49'",,,,,,,,
"Woodstock","** North Gate Road","woodpole","AT&T","34","Petition No. 1449","AT&T @ 32'",,,,,,,,
"Norwalk","** Rockland Road","self-supporting lattice","Crown","180","d0073.2","Verizon @ 130'/152'","Cingular @ 108'","Nextel @ 143'","T-Mobile @ 170'","Sprint @ 145'","northcoast @ 115'","MetroPCS @ 115'","Dish @ 178",
"Waterbury","*** Buckland Drive","utility pole",,"29","PURA","AT&T @ 29'",,,,,,,,
"Roxbury","** Lower County Rd.","self-supporting lattice","SBA","180","change out ground equipment to convert from AT&T to Alltel","AT&T @ 130'","Verizon @ 163'","Nextel @ 177'","snet @ 118'",,,,,
"Stafford","*** Chestnut Hill Rd.","self-supporting lattice","SBA","180",,"pagenet @ 146'","yankee mw @ 145'","T-Mobile @ 177'","Verizon @ 150'","Cingular @ 167'","Dish @ 140'",,,
"Vernon","*** Hartford Tpk","rooftop","Boston Vernon II LLC",,,"AT&T @ 50'","Sprint @ 66'","Nextel @ 62'","Verizon @ 63.3",,,,,
"Windsor","*** Park Avenue","utility pole","Verizon","27","small cell","Verizon @ 27'",,,,,,,,
"East Lyme","*** Chesterfield Road","small cell","Verizon","26","p1127 - install small cell antenna on roof of RV campground building","Verizon @ 26'",,,,,,,,
"Plainville","Rober Holcomb Way","utility pole","Verizon","31","small cell; adjacent to 55 Locust Street","Verizon @ 31'",,,,,,,,
"Milford","**** Boston Post Road","temporary monopole","Verizon, AT&T & T-Mobile","126'","P1375: joint petition by all 3 carriers to install temporary replacement tower;","Verizon @ 123'","T-Mobile @ 104'","AT&T @ 70'",,,,,,
"Danbury","** Main Street","rooftop",,,,"Sprint @ 80'","Verizon @ 90'",,,,,,,
"Southington","*** Robert Porter Road","water tank",,"113'","carriers Omni Communications, T-Mobile","T-Mobile @ 110'",,,,,,,,
"New Haven","** Clifton Street","utility pole",,"35","PURA","AT&T @ 35'5""",,,,,,,,
"Hartford","** Woodland Street","rooftop",,"114'",,"Sprint @ 114'","T-Mobile @ 125'",,,,,,,
"Killingly","**** North Road","self-supporting lattice","American Tower","300",,,,,,,,,,
"Danbury","**-** Hakim Street","rooftop","Bamco LLC",,,"Nextel @ ?",,,,,,,,
"Glastonbury","*** Hebron Avenue, Bldg *","rooftop",,,,"T-Mobile @ 78'","Verizon @ 68'",,,,,,,
"Meriden","*** Edgemark Acres","power mount","CL&P","80","p1122 - add power mount to top of transmission line tower","AT&T @ 88'",,,,,,,,
"Canton","** Powder Mill Rd.","monopole","SBA","180",,"Verizon @ 147'","Cingular/AT&T @ 171'","Cingular @ 137'","MetroPCS @ 167'",,,,,
"Stratford","*** James Farm Road","self-supporting lattice","Darcy and Dana Shoop","110",,"Verizon @ 98'",,,,,,,,
"Harwinton","*** Campville Hill Road","monopole","Crown Castle","180",,"Cingular/AT&T @ 157'","Verizon @ 147'","Nextel @ 137'","Sprint @ 177'","T-Mobile @ 167'","Cingular @ 122'","DISH @ 144'",,
"Stamford","*** High Ridge Road","rooftop",,,"site provided by City of Stamford","AT&T",,,,,,,,
"New Haven","Hallock Ave","monopole","Amtrak","100","d017","amtrak @ ?",,,,,,,,
"Stamford","** Avery Street","utility pole",,"31","PURA","AT&T @ 31'",,,,,,,,
"Middletown","**** Country Club Road","rooftop","AT&T Wireless",,,"Cingular @ 26'",,,,,,,,
"Madison","*** Ridge Road","monopole","Crown Communications","150","d0363","T-Mobile @ 147'","Dish @ 99'",,,,,,,
"Trumbull","Merrimac Dr.","monopole","UI","60","p0504","ui @ 50'",,,,,,,,
"East Haven","*** Foxon Road","building mount",,,"aka 23 Fox Ridge Dr. (New Haven line)","Cingular @ 28'","T-Mobile @ 67'","Sprint @ 38.4'",,,,,,
"Burlington","** Monce Road","monopole","Burlington Vol. Fire Department","120","AT&T to construct for Burlington","AT&T @ 110'","T-Mobile @ 100'","Verizon @ 91'","DISH @ 70'",,,,,
"Ledyard","* Matt's Path Road","rooftop","Foxwoods",,"350 Trolley Line Blvd","T-Mobile @ 120'","Verizon @ 95'",,,,,,,
"Andover","*** Bunker Hill Rd","monopole","American Tower","180","2 new, 2 future equipments on concrete pad","Sprint @ 168'","T-Mobile @ 148'","Verizon @ 158'","Cingular @ 137'",,,,,
"New Britain","*** (***) Lester St.","monopole","Crown","190",,"Verizon @ 145'","Cingular/AT&T @ 187'","T-Mobile @ 167'","Vapor IO @ ground level","Dish @ 173'",,,,
"Hamden","*** Mount Carmel Ave.","other","Quinn Coll.","22,9","replace 82' flagpole with 20' flagpole on Ledges student dorm and 9' cupola on Facilities Bldg","Cingular @ 67'/30'","Verizon @ 48'",,,,,,,
"Fairfield","*** Grasmere Avenue","utility pole","Verizon","35","small cell","Verizon @ 35.8'",,,,,,,,
"Greenwich","*** Round Hill Road-tower B","monopole/stick","Verizon","115","d0309","T-Mobile @ 120'","Sprint/Nextel @ 100'","Sprint/Nextel @ 90'",,,,,,
"Stamford","*** High Ridge Road","utility pole","Verizon","35","small cell","Verizon @ 35.8'",,,,,,,,
"New Haven","*** Congress Street","rooftop",,,,"Verizon @ 54'",,,,,,,,
"Torrington","*** Prospect St","building mount","AT&T","45","(p079.3)replace 1-5' dish with 1-8' dish","AT&T @ 53'",,,,,,,,
"Tolland","Metcalf Road","utility pole","Verizon","40","small cell","Verizon @ 40'",,,,,,,,
"Bolton","*** Vernon Rd","guyed lattice","Mountaintop Enterprises","150",,"Sprint @ 148'","T-Mobile @ 130'",,,,,,,
"Plainfield","* Canterbury Road","utility pole","Verizon","33","small cell; at intersection w/ Packerville Road","Verizon @ 33'",,,,,,,,
"Windsor","** Day Hill Road","monopole","AT&T","170",,"Nextel @ 160'","town @ ?","MetroPCS @ 120'","AT&T @ 168'",,,,,
"Plainville","*** New Britain Avenue","rooftop-building mounted","Cellco","32' agl","2x12' mast on a 20-foot agl rooftop; P1366 on 5/9/19","Verizon @ 29'",,,,,,,,
"Milford","**** Boston Post Road","utility pole","Verizon","37","small cell","Verizon @ 37'",,,,,,,,
"Simsbury","*** Bushy Hill Road","monopole","Simsbury Fire Dept","100","pe1077 extends 80-ft tower by 20' to 100'","T-Mobile @ 77'","Verizon @ 100'","AT&T @ 90'",,,,,,
"East Lyme","* Arcadian Road","utility pole","Verizon","24","small cell","Verizon @ 24'",,,,,,,,
"Danbury","** West St","building mount/lattice","AT&T","70","d0075.1/p0448","Cingular @ 70'",,,,,,,,
"Windham","**** West Main Street","utility pole","Verizon","28","small cell","Verizon @ 28'",,,,,,,,
"Stamford","Burwood Avenue","utility pole","Verizon","37","small cell; adjacent to 598 Fairfield Avenue","Verizon @ 37'",,,,,,,,
"New Britain","*** Farmington Avenue","monopole","SBA Towers","120","d0303","Sprint @ 108'","Cingular @ 100'","T-Mobile @ 88'","Verizon @ 118'","DISH @ 78'",,,,
"Waterbury","*** East Aurora Street","rooftop",,,,"Verizon @ 65'",,,,,,,,
"Southington","*** Queen Street","utility pole","Verizon","32","small cell","Verizon @ 32.6'",,,,,,,,
"Durham","** Townhouse Road","light pole","Verizon","30","p1117 install Verizon ""small cell"" on Durham fairgrounds; PE1494","Verizon @ 29''30'34';37'",,,,,,,,
"Manchester","*** Birch Mountain Road","water tower",,,,"Sprint @ 61'","Cingular/AT&T ?","Verizon @ ?",,,,,,
"Bridgeport","*** East Washington Ave.","rooftop",,,"9 antennas","T-Mobile @ 77'",,,,,,,,
"New Canaan","** Main Street","building mount","Town of New Canaan",,"In Town Hall Cupola","Verizon @ ?","T-Mobile @ ?",,,,,,,
"Enfield","Town Farm Rd (Ecology Drive)","guyed lattice","Continental Cablevision","190","(d0038)Near  Town of Enfield Landfill","continental cablevision @ 185'","town @ various hts.","Dish @ 155'",,,,,,
"Naugatuck","*** East Side Boulevard","guyed lattice","Channel 20 Ent. LP","280",,"Cingular @ 160'","Sprint/Nextel @ 215'","T-Mobile @ 240'",,,,,,
"Wolcott","East St. & Rt. *** intersection","self-supporting lattice","DPS","120","replace existing tower w/ new tower, total 13 antennas","dps @ 120'",,,,,,,,
"Farmington","*** Colt Highway (Rattlesnake Mountain)","guyed lattice","Outlet Broadcasting","120",,"T-Mobile @112'",,,,,,,,
"Hamden","**** Whitney Avenue","rooftop","Verizon","52",,"Verizon @ 52'",,,,,,,,
"Thompson","*** Quinebaug Road","monopole","Quinebaug Volunteer Fire Dept.","130'",,"Cingular @ 130'","Verizon @ 120'","T-Mobile @ 105'",,,,,,
"Manchester","Middle Turnpike West","utility pole","Verizon","37","small cell; adjacent to 422 Middle Turnpike West","Verizon @ 37'",,,,,,,,
"Wethersfield","*** Folly Brook Blvd","rooftop",,,,"Sprint @ 61'",,,,,,,,
"West Hartford","*** Shield Street","utility pole","Verizon","34","small cell","Verizon @ 34'",,,,,,,,
"Redding","*** Black Rock Turnpike","monopole","Message Center Mngmt","150","d0449 - replace existing 80' lattice with 150' monopole (previous d0334 - replace existing 80' lattice with 120' monopole was never built)","AT&T @ 150'","town antennas @ var.","Verizon @ 140'",,,,,,
"North Haven","*** Sackett Point Road","monopole","T-Mobile","56'","carrier: T-Mobile","T-Mobile @ 57'",,,,,,,,
"Bridgeport","**** Connecticut Ave","monopole","American Tower","130","p0522","T-Mobile @ 120'","xm satellite @ 110'","MetroPCS new york @ 98'","Cingular/AT&T 100'","Cingular @ 110'","Sprint/Nextel @ 126'","Sigfox @ 88'","DISH@78'",
"Watertown","*** Woodbury Road","utility pole","Verizon","30","small cell","Verizon @ 30'",,,,,,,,
"Guilford","*** Manor Rd","monopole","Crown Atlantic","150","d0056.1","Verizon @ 150'","Cingular @ 140'","Cingular/AT&T @ 123'","Sprint @ 143'","DISH @ 110'",,,,
"New Haven","** Maltby Street","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Stratford","*** Lupes Drive","billboard","t-mobile","49'",,"T-Mobile @ 49'",,,,,,,,
"Brookfield","** Long Meadow Hill Road",,,"14'","Parks and Rec. Garage",,,,,,,,,
"Colchester","*** Davidson Road","monopole","SBA Towers Inc.","180'",,,,,,,,,,
"Wilton","** */* Richdale Dr","wood pole","Richard Knapp","71",,"Nextel @ 67'","Sprint @ 67'",,,,,,,
"Middlebury","**** Straits Turnpike","self-supporting lattice","Omni","195",,"Cingular @ 189'","Verizon @ 169'","Nextel @ 179'","Sprint @ 155'","Dish @ 138'",,,,
"Old Saybrook","* Old Boston Post Road","utility pole","Verizon","36","small cell","Verizon @ 36'",,,,,,,,
"Waterbury","*** South Main Street","utility pole",,"36","PURA","AT&T@ 36'",,,,,,,,
"Norwalk","*** Main Avenue","utility pole",,"32","PURA","AT&T @ 32'",,,,,,,,
"Stamford","*** Turn of River Road","rooftop",,,,"Sprint",,,,,,,,
"Rocky Hill","*** Corporate Place","in-building IP access",,,"office building","T-Mobile",,,,,,,,
"Manchester","*** Hillstown Road","other","AT&T","70","(p0633)wooden laminate pole to replace existing 22.5' wooden distribution pole","Cingular/AT&T @ 70'","T-Mobile @ 77'",,,,,,,
"North Haven","*** Washington Ave","monopole","Global Tower Partners","120",,"Cingular @ 120'","xm @ 110'","T-Mobile @ 110'",,,,,,
"Norwalk","** Mott Avenue","rooftop",,,,"Sprint @ 60'",,,,,,,,
"Cromwell","*** Main St.","monopole","Crown Castle","125",,"Verizon @ 105'","Cingular/AT&T @ 115'","Nextel @ 95'","MetroPCS @ 85'","Dish @ 85'",,,,
"Portland","*** Gospel Lane","utility pole","Verizon","36","small cell","Verizon @ 36'",,,,,,,,
"Tolland","** Alta Vista Avenue","guyed lattice","John Haserick","35","ham radio",,,,,,,,,
"Windham","*** Tower Road","water tower","Town of Windham","73.8'","ECSU - Willimantic","Cingular @ 64'","Verizon @ 73.8'",,,,,,,
"Guilford","*** Boston Post Road","in-building IP access",,,"Walmart","T-Mobile",,,,,,,,
"Middlebury","**** Middlebury Road","small cell","Verizon","18","p1213","Verizon @ 30'",,,,,,,,
"Plainfield","*** Norwich Road","monopole","Nextel","160","p0654","Nextel @ 158'","Cingular/AT&T @ 148'",,,,,,,
"Wallingford","** Thorpe Avenue","rooftop","Verizon, Sprint","44.9'","Signature 91 office building","Sprint @ 47'","Verizon @ 44.9'",,,,,,,
"Southington","*** Cathy Drive","power mount","CL&P(Structure #4119)","81","p0691 - install pipe mast extension","Cingular @ 91'",,,,,,,,
"Hartford","*** Albany Avenue","steeple",,,,"T-Mobile @ 81'",,,,,,,,
"New Canaan","*** Lakeview Avenue","monopole","CL&P","84","p1053","cl&p @ 84'",,,,,,,,
"East Hartford","*** Roberts Street (ALBRO)","rooftop",,,,"AT&T @ 62'","T-Mobile @ 57'",,,,,,,
"Bridgeport","**** Chopsey Hill Rd/(**** Trumbull Ave.)","self-supporting lattice","Global Tower Partners","240","p0512","Verizon @ 145'","Cingular/AT&T @ 165'","northcoast @ 80'","T-Mobile @ 202'","marcus @ (237', 247', 217')","MetroPCS @ 210'","clearwire @ 180'",,
"Watertown","**** Main Street","utility pole","Verizon","32","small cell","Verizon @ 32'",,,,,,,,
"Windsor","Park Avenue","utility pole","Verizon","30","small cell","Verizon @ 30'",,,,,,,,
"Canton","*** Cherry Brook Rd.","monopole","SBA","150","2 new, 2 future equipment cabinets on concrete pad 7x10","Verizon @ 150'","Cingular/AT&T @ 140'","DISH @ 105'",,,,,,
"Putnam","*** Elmwood Hill Road","monopole","Verizon","150","d0362","Verizon @ 147'","Cingular @ 137'",,,,,,,
"West Hartford","*** South Main St.","monopole","AT&T","100",,"Cingular @ 106'",,,,,,,,
"Montville","*** Route **","utility pole","Verizon","38","small cell","Verizon @ 38'",,,,,,,,
"Darien","* (*) Tower Drive","water tank",,,,"Cingular @ 118'","Verizon @ 108'","Sprint @ 98'","Nextel @ 86'",,,,,
"New Haven","*** Washington Avenue","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Hartford","*** Maple Avenue","smoke stack","920 Maple Ave LLC","50'",,,,,,,,,,
"East Hartford","*-* Oakland Avenue","smokestack","Message Center Mgmt","125","p0932","MetroPCS @ 110'","clearwire @ 100'",,,,,,,
"Greenwich","** Strickland Road","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Trumbull","**** Nichols Avenue","power mount","CL&P (#833)","90","(p0527) 10' power mount   CL&P structure 833","Cingular/AT&T @ 100'",,,,,,,,
"Stamford","*** Catoona Lane","self-supporting lattice","American Tower","300",,"xm @ 250'(ant)/20'(dish)","T-Mobile @ 267'","Cingular/AT&T @ 242'","Cingular @ 315'","Nextel 220'","skytel @ 307'","US Coast Guard @ var. hts.","MetroPCS newyork @ 160'","Sprint/Nextel @ 150'"
"Orange","*** Grassy Hill Road","monopole","Sprint","140","d0262","Sprint @ 130'","T-Mobile @ 110'","Cingular @ 140'","DISH @ 100",,,,,
"Glastonbury","**** New London Tpke.","tower","Town of Glastonbury","100'",,,,,,,,,,
"Simsbury","Hopmeadow Street","utility pole","Verizon","20","small cell; across from 1001 Hopmeadow Street","Verizon @ 20'",,,,,,,,
"Greenwich","East Putnam Avenue","utility pole","Verizon","32","small cell; adjacent to 10 Hillside Rd, across from intersection of Overlook Drive","Verizon @ 32.7'",,,,,,,,
"New Haven","** Howe Street","rooftop",,,"Campus View Apts.","T-Mobile @ 92'",,,,,,,,
"Bristol","** Main St","building mount","AT&T","44","p079.1 replace 1-10' dish with 1-12' dish","AT&T @ 52'",,,,,,,,
"Farmington","** Maple Ridge Road","power mount","CL&P (#8012)","100","(p0644) raise ht of exist H-pole from 61' to 100' for antennas","Sprint @ 100'","Cingular @ 88'",,,,,,,
"Norwalk","*** New Canaan Avenue","interior mounted monopole","AT&T","140","d0442 - 2 interior mounted monopoles approved at same site","AT&T @ 127' & 137'",,,,,,,,
"Meriden","*** Bee Street","billboard","Extended StayAmerica",,,"Sprint @ 59'",,,,,,,,
"Hartford","*** Blue Hills Avenue","rooftop",,"86'",,"Sprint @ 86'/103'","T-Mobile @ 119'","Verizon @ 88'",,,,,,
"Naugatuck","Rubber Avenue","utility pole","Verizon","31","small cell; adjacent to 32 Rubber Avenue","Verizon @ 31'",,,,,,,,
"Norwich","*** Plain Hill Road","guyed lattice","IWG Towers Assets","300","(d030)install 4 whips, add guy wires","Verizon @ 190'",,,,,,,,
"Old Lyme","** Champion Road","utility pole","Verizon","36","small cell","Verizon @ 36'",,,,,,,,
"Ansonia","** Finney Street","rooftop",,"80'","Prendergast School",,,,,,,,,
"Westport","** Ferry Lane","power mount","CL&P","250","p0432","T-Mobile @ 168'",,,,,,,,
"South Windsor","**** Sullivan Avenue","small cell","Town of South Windsor","39","p1171","Verizon @ 43'",,,,,,,,
"Middlefield","** Powder Hill Road","rooftop",,,,"Verizon @ 40'",,,,,,,,
"Stamford","** Bank Street","rooftop",,,,"T-Mobile @ 78'",,,,,,,,
"Norwalk","*** Main Avenue/ Merritt *","rooftop",,,"t-mobile, AT&T; Northcoast","AT&T","Verizon","northcoast","T-Mobile @ 114'",,,,,
"Ridgefield","*** Danbury Road","other (flagpole)","American Tower","100","Nortel S8000 cabinet; Nextel on tower @ 97.5'","Nextel @ 97.5'","T-Mobile @ 100'","MetroPCS @ 77'",,,,,,
"Darien","* Mechanic Street","power mount","NU","115","p0420","T-Mobile @ 103'","T-Mobile @ 125'",,,,,,,
"Darien","** Thorndal Circle","in-building IP access",,,"office building","T-Mobile",,,,,,,,
"Bethel","*** Old Hawleyville Road","utility pole","Verizon","31","small cell","verizon @ 31'",,,,,,,,
"Sharon","** Herb Road","monopole","AllTel","110","d0185","Cingular @ 92'","state police @ 90'","Nextel @ 117'","T-Mobile @ 84'",,,,,
"Monroe","** Main Street","monopole","Crown Castle/Stepney Fire Dept.","195","equipment shelter","Cingular/AT&T @ 175'","Verizon @ 165'","T-Mobile @ 195'","DISH @ 147",,,,,
"Southington","Queen Street","utility pole","Verizon","35","small cell; across from 500 Queen Street","Verizon @ 35'",,,,,,,,
"New Haven","*** Winchester Avenue","rooftop",,,"Albertus Magnus Campus","T-Mobile @ 75'",,,,,,,,
"Essex","*** Main Street","water tank",,,,"Cingular @ 100'",,,,,,,,
"Waterbury","*** Mattatuck Heights Rd","monopole","Crown Castle","133",,"Verizon @ 110'","Nextel @ 120'","T-Mobile @ 100'",,,,,,
"Fairfield","*** Woodhouse Rd","monopole","Crown","171","d0086.1/p0387","Verizon @ 158'","Cingular @ 144'","T-Mobile @ 138'","Cingular/AT&T @ 170'","pagenet @ 118'","ardis @ 119'","merticom @ 100'","xm 128' (ant)/75' (dish)","DISH @ 166"
"Bridgeport","**** Main Street","flagpole on bldg.",,,"9 antennas","T-Mobile @ 56'",,,,,,,,
"Southington","*** Center Street","rooftop",,,,"Verizon @ 60'",,,,,,,,
"Waterbury","** Union Street","rooftop",,,,"T-Mobile @ 143'",,,,,,,,
"Stonington","* Cove Road","utility pole","Verizon","30","small cell; corner of Cove Road and Stonington Road",,,,,,,,,
"East Windsor","** Depot Street (** Pond Street)","water tower",,"131'","carriers on WT: AT&T, Nextel, metropcs, t-mobile","Cingular @ 115'","Nextel @ 123'","T-Mobile @ 115'","Verizon @ 102.5'",,,,,
"Westport","* Allen Raymond Lane","monopole","Cellco","130","d0188; formerly Sunny Lane","Cingular @ 100'","Nextel @ 140'","Sprint @ 120'","T-Mobile @ 110'","DISH @ 86",,,,
"Naugatuck","*** Elm Street","smokestack",,,"Naugatuck Chemical Plant","T-Mobile @ 180'",,,,,,,,
"Vernon","** Wilson Lane","Silo","William Dowty",,,"T-Mobile @ 70'","Nextel 160'",,,,,,,
"Hampton","*** Fisk Rd","guyed lattice","American Tower Management, Inc","160","Sprint on tower @ 150'; Nextel on @ 160'","Verizon @ 142'","Cingular/AT&T @ 130'","T-Mobile @ 115'","Sprint @ 150'","Nextel @ 160'","DISH @ 120",,,
"Woodbridge","* Meetinghouse Lane","steeple","Town of Woodbridge","105",,"T-Mobile @ 102'",,,,,,,,
"Groton","*** Oral School Road (*** Cow Hill Road)","rooftop",,,,"Verizon @ 45.9'","Sprint",,,,,,,
"New Haven","*** Orange Street","rooftop",,,,"T-Mobile @ 105'",,,,,,,,
"West Haven","** Allings Crossing RD","Utiltiy Pole","AT&T","43","AT&T @ 42'",,,,,,,,,
"Stonington","** Summit Street","water tank",,,,"Cingular @ 110'","Verizon @ 140'","T-Mobile @ 120'",,,,,,
"East Lyme","** Liberty Way","building mount",,,,"Cingular @ 62'",,,,,,,,
"Hartford","*** - *** Zion Street","rooftop",,,,"T-Mobile @ 43'",,,,,,,,
"New London","*** State Street","rooftop","t-mobile","168.9'",,"T-Mobile @ 164'",,,,,,,,
"Westbrook","*** Flat Rock Place","rooftop",,"76'","carrier: AT&T",,,,,,,,,
"New Haven","*** Grand Avenue","rooftop",,,"Spacenet Inc.",,,,,,,,,
"Griswold","**** Voluntown Road","monopole","Crown Castle","180","2 new equipment cabinets on 5x3 concrete pad, Sprint on tower @ 177'","Verizon @ 167'",,,,,,,,
"Suffield","*** East Street South","monopole","Town of Suffield","165'",,"T-Mobile @ 165'","Verizon @ 155'","MetroPCS @ 145'","dish @ 126'",,,,,
"Union","** Holland Road","sign",,,,"Verizon @ 56.1'",,,,,,,,
"Stafford","*** (***) Stafford Street","monopole","Crown Castle","150","(d0212)GPS @ 75', 8.5x20 pad for equipment","Sprint @ 120'","Verizon @ 127'",,,,,,,
"New Milford","** Hilltop View Lane","power mount","CL&P (structure #10184)","150","(p0517/p0685)add 23' extension to existing power line structure","Sprint @ 155'","Nextel @ 171'",,,,,,,
"Haddam","*** Hubbard Road","monopole","SBA Inc","160",,"MetroPCS @ 157'",,,,,,,,
"Killingly","*** East Franklin Street","monopole","SBA Towers","160",,"Verizon @ 155'","T-Mobile @ 137'","Cingular/AT&T @ 127'",,,,,,
"Salisbury","*** Canaan Road","monopine","InSite Towers Development","150","d0452","AT&T @146'",,,,,,,,
"Ledyard","***A Colonel Ledyard Hgwy.","guyed lattice","Red Wolf Broadcasting","347","up to 4 equipment cabinets on concrete pad","Verizon @ 180'","marcus @ 295'/270'","Cingular @ 200'","Nextel @ 235'",,,,,
