"loanrange","loanamount","businessname","address","city","state","zip","naicscode","businesstype","raceethnicity","gender","veteran","nonprofit","jobsreported","dateapproved","lender","cd"
"a $5-10 million",,"MONROE STAFFING SERVICES LLC","6 RESEARCH DR","SHELTON","CT","06484","561311","Corporation","Unanswered","Unanswered","Unanswered",,"500","2020-05-09T00:00:00.000","Newton Federal Bank","CT-04"
"a $5-10 million",,"PRECISION RESOURCE INC","25 FOREST PARKWAY","SHELTON","CT","06484","336370","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-05-20T00:00:00.000","Wells Fargo Bank, National Association","CT-04"
"a $5-10 million",,"CENVEO WORLDWIDE LIMITED","200 First Stamford Place","Stamford","CT","06902","322230","Corporation","Unanswered","Unanswered","Unanswered",,"500","2020-05-03T00:00:00.000","Bank of America, National Association","CT-04"
"a $5-10 million",,"NCL ACQUISITION CORP.","1010 WASHINGTON BLVD, 11th Floor","STAMFORD","CT","06901","325620","Corporation","Unanswered","Unanswered","Unanswered",,"500","2020-04-09T00:00:00.000","CIBC Bank USA","CT-04"
"a $5-10 million",,"THE LOCKWOOD GROUP, LLC","1055 WASHINGTON BLVD","STAMFORD","CT","06901","541990","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"260","2020-04-15T00:00:00.000","JPMorgan Chase Bank, National Association","CT-04"
"a $5-10 million",,"BURNS CONSTRUCTION CO., INC","300 Sperry avenue","STRATFORD","CT","06615","237310","Corporation","Unanswered","Unanswered","Unanswered",,"210","2020-04-06T00:00:00.000","Newtown Savings Bank","CT-03"
"a $5-10 million",,"THE KENNEDY CENTER, INC.","2440 RESERVOIR AVE","TRUMBULL","CT","06611","624120","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"459","2020-04-28T00:00:00.000","Union Savings Bank","CT-04"
"a $5-10 million",,"E-J ELECTRIC T&D LLC","53 North PLAINS INDUSTRIAL RD","WALLINGFORD","CT","06492","238210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"207","2020-04-09T00:00:00.000","HSBC Bank USA, National Association","CT-03"
"a $5-10 million",,"BLUM SHAPIRO & COMPANY, P.C.","29 SOUTH MAIN STREET","WEST HARTFORD","CT","06127","541211","Corporation","Unanswered","Unanswered","Unanswered",,"467","2020-04-28T00:00:00.000","Webster Bank, National Association","CT-01"
"a $5-10 million",,"TAUCK INC","10 Westport Rd Fl 1","WILTON","CT","06897","561520","Corporation","Unanswered","Unanswered","Unanswered",,"361","2020-04-28T00:00:00.000","Bank of America, National Association","CT-04"
"b $2-5 million",,"NORWICH COMMERCIAL GROUP, INC.","38 SECURITY DR","AVON","CT","06001","522292","Corporation","Unanswered","Unanswered","Non-Veteran",,"273","2020-04-06T00:00:00.000","People's United Bank, National Association","CT-05"
"b $2-5 million",,"AVON OLD FARMS SCHOOL, INC.","500 Old Farms Road","AVON","CT","06001","611110","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","157","2020-05-18T00:00:00.000","People's United Bank, National Association","CT-05"
"b $2-5 million",,"LEGERE GROUP LTD","80 DARLING DRIVE","AVON","CT","06001","321911","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"110","2020-04-28T00:00:00.000","Webster Bank, National Association","CT-05"
"b $2-5 million",,"AMGRAPH PACKAGING, INC.","90 PAPER MILL RD","BALTIC","CT","06330","488991","Corporation","Unanswered","Unanswered","Unanswered",,"134","2020-04-09T00:00:00.000","People's United Bank, National Association","CT-02"
"b $2-5 million",,"NEJ, INC","170 Pinesbridge Road","Beacon Falls","CT","06403","541614","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-15T00:00:00.000","Citizens Bank, National Association","CT-03"
"b $2-5 million",,"BUDNEY OVERHAUL & REPAIR, LTD.","131 New Park Dr, PO Box 8158","Berlin","CT","06037","336412","Corporation","Unanswered","Unanswered","Unanswered",,"170","2020-04-28T00:00:00.000","Santander Bank, National Association","CT-01"
"b $2-5 million",,"RONALD AGOSTINO TRUST C/O WEBSTER BANK","257 WOODLAWN RD","BERLIN","CT","06037","485410","Corporation","Unanswered","Unanswered","Unanswered",,"350","2020-04-08T00:00:00.000","Ion Bank","CT-01"
"b $2-5 million",,"BUDNEY INDUSTRIES INC","40 NEWPARK DRIVE","BERLIN","CT","06037","336412","Corporation","Unanswered","Unanswered","Unanswered",,"135","2020-04-28T00:00:00.000","Webster Bank, National Association","CT-01"
"b $2-5 million",,"CUSTOM VAULT CORPORATION","4 Research Drive","Bethel","CT","06801","811310","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"253","2020-04-15T00:00:00.000","Manufacturers and Traders Trust Company","CT-05"
"b $2-5 million",,"DUNASTER, INC.","40 Loeffler Rd","Bloomfield","CT","06002","623311","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true",,"2020-04-15T00:00:00.000","Citizens Bank, National Association","CT-01"
"b $2-5 million",,"DERINGER-NEY INC.","353 Woodland Avenue","BLOOMFIELD","CT","06002","335931","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"253","2020-04-27T00:00:00.000","BMO Harris Bank National Association","CT-01"
"b $2-5 million",,"BVH INTEGRATED SERVICES, P.C.","206 West NEWBERRY RD","BLOOMFIELD","CT","06002","541330","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-15T00:00:00.000","Cambridge Savings Bank","CT-01"
"b $2-5 million",,"BIRKEN MFG. COMPANY","3 OLD WINDSOR RD","BLOOMFIELD","CT","06002","336412","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"132","2020-04-28T00:00:00.000","Webster Bank, National Association","CT-01"
"b $2-5 million",,"CHURCH HOME OF HARTFORD, INC.","200 SEABURY DRIVE","BLOOMFIELD","CT","06002","621610","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","378","2020-04-27T00:00:00.000","Webster Bank, National Association","CT-01"
"b $2-5 million",,"TURBINE CONTROLS, INC.","5 OLD WINDSOR RD","BLOOMFIELD","CT","06002","336412","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-05T00:00:00.000","People's United Bank, National Association","CT-01"
"b $2-5 million",,"COMMUNITY SOLUTIONS, INC","340 West Newberry Rd Suite B","BLOOMFIELD","CT","06002","623990","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","490","2020-04-08T00:00:00.000","Berkshire Bank","CT-01"
"b $2-5 million",,"PHYSICIANS ALLIANCE OF CONNECTICUT LLC","322 East Main Street Suite 1B","Branford","CT","06405","621111","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"256","2020-04-14T00:00:00.000","Manufacturers and Traders Trust Company","CT-03"
"b $2-5 million",,"BLAKESLEE PRESTRESS INC","25 McDermott Road PO Box 510","Branford","CT","06405","327390","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-16T00:00:00.000","Citizens Bank, National Association","CT-03"
"b $2-5 million",,"OWENS, RENZ & LEE CO., INC.","2 Summit Place","Branford","CT","06405","561720","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"500","2020-04-28T00:00:00.000","Liberty Bank","CT-03"
"b $2-5 million",,"BLAKESLEE ARPAIA CHAPMAN, INC.","200 NORTH BRANFORD ROAD","BRANFORD","CT","06405","237310","Corporation","Unanswered","Unanswered","Unanswered",,"91","2020-04-28T00:00:00.000","Webster Bank, National Association","CT-03"
"b $2-5 million",,"CSC ENTERPRISES, INC","189 ALPS RD","BRANFORD","CT","06405","623110","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"250","2020-04-07T00:00:00.000","People's United Bank, National Association","CT-03"
"b $2-5 million",,"CHERRY HILL GLASS CO., INC.","20 ELM ST","BRANFORD","CT","06405","238150","Partnership","Unanswered","Male Owned","Non-Veteran",,"168","2020-04-09T00:00:00.000","NBT Bank, National Association","CT-03"
"b $2-5 million",,"THE CONNECTICUT HOSPICE INC","100 DOUBLE BEACH RD","BRANFORD","CT","06405","622110","Professional Association","Unanswered","Unanswered","Unanswered",,"205","2020-04-15T00:00:00.000","Liberty Bank","CT-03"
"b $2-5 million",,"SOUTHWEST COMMUNITY HEALTH CENTER, INC.","46 Albion Street","Bridgeport","CT","06605","621610","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","269","2020-04-15T00:00:00.000","Manufacturers and Traders Trust Company","CT-04"
"b $2-5 million",,"UNGER GLOBAL, LLC","425 Asylum Street 0.0","Bridgeport","CT","06610","339994","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"117","2020-04-09T00:00:00.000","JPMorgan Chase Bank, National Association","CT-04"
"b $2-5 million",,"GOODWILL OF WESTERN AND NORTHERN CT, INC.","165 OCEAN TER","BRIDGEPORT","CT","06605","453310","Non-Profit Organization","Unanswered","Male Owned","Non-Veteran","true","412","2020-04-09T00:00:00.000","People's United Bank, National Association","CT-04"
"b $2-5 million",,"SANTA ENERGY CORPORATION","154 Admiral Street","BRIDGEPORT","CT","06601","454310","Corporation","Unanswered","Unanswered","Unanswered",,"211","2020-04-27T00:00:00.000","Newtown Savings Bank","CT-04"
"b $2-5 million",,"OPTIMUS HEALTH CARE, INC.","982 EAST MAIN ST","BRIDGEPORT","CT","06608","621491","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","250","2020-04-05T00:00:00.000","People's United Bank, National Association","CT-04"
"b $2-5 million",,"STANDARD OIL OF CONNECTICUT INC","299 BISHOP AVE","BRIDGEPORT","CT","06610","454310","Corporation","Unanswered","Unanswered","Unanswered",,"178","2020-04-16T00:00:00.000","Bank of America, National Association","CT-04"
"b $2-5 million",,"BRIDGEPORT DIOCESAN SCHOOLS CORPORATION, INC.","238 Jewett Avenue","BRIDGEPORT","CT","06606","611110","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","487","2020-04-14T00:00:00.000","People's United Bank, National Association","CT-04"
"b $2-5 million",,"THE BRIDGEPORT ROMAN CATHOLIC DIOCESAN CORPORATION, INC.","238 Jewett Avenue","BRIDGEPORT","CT","06606","813110","Non-Profit Organization","Unanswered","Unanswered","Non-Veteran","true","198","2020-04-05T00:00:00.000","People's United Bank, National Association","CT-04"
"b $2-5 million",,"THE PMT GROUP, INC.","800 UNION AVENUE","BRIDGEPORT","CT","06607","333515","Corporation","Unanswered","Unanswered","Unanswered",,"241","2020-04-12T00:00:00.000","TD Bank, National Association","CT-04"
"b $2-5 million",,"ARTHUR G RUSSELL COMPANT INC","750 Clark Ave","BRISTOL","CT","06011","333922","Corporation","Unanswered","Unanswered","Unanswered",,"153","2020-04-10T00:00:00.000","TD Bank, National Association","CT-01"
"b $2-5 million",,"CONNECTICUT COMMUNITY CARE, INC.","43 Enterprise Drive","BRISTOL","CT","06010","813219","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","280","2020-04-15T00:00:00.000","Webster Bank, National Association","CT-01"
"b $2-5 million",,"HAPPY MOUNTAINS LLC","31 Old Route 7","BROOKFIELD","CT","06804","621112","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"260","2020-04-15T00:00:00.000","TD Bank, National Association","CT-05"
"b $2-5 million",,"TOWER LABORATORIES LTD","8 INDUSTRIAL PARK, PO BOX 306","CENTERBROOK","CT","06409","325412","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-15T00:00:00.000","Citizens Bank, National Association","CT-02"
"b $2-5 million",,"OSTERMAN & COMPANY, INC","726 South Main Street","Cheshire","CT","06410","424610","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-15T00:00:00.000","Citizens Bank, National Association","CT-05"
"b $2-5 million",,"ELIM PARK BAPTIST HOME, INC.","140 Cook Hill Rd","CHESHIRE","CT","06410","623311","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","306","2020-04-11T00:00:00.000","KeyBank National Association","CT-05"
"b $2-5 million",,"NEIS, INC.","908 SOUTH MERIDEN ROAD","CHESHIRE","CT","06410","524210","Corporation","Unanswered","Unanswered","Unanswered",,"398","2020-04-28T00:00:00.000","Webster Bank, National Association","CT-05"
"b $2-5 million",,"S&S WORLDWIDE","75 Mill Street","Colchester","CT","06415","423920","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-15T00:00:00.000","Citizens Bank, National Association","CT-02"
"b $2-5 million",,"SCOTT + SCOTT LLP, ATTORNEYS AT LAW","156 South Main Street","COLCHESTER","CT","06415","541110","Limited Liability Partnership","Unanswered","Male Owned","Unanswered",,"78","2020-04-07T00:00:00.000","The Huntington National Bank","CT-02"
"b $2-5 million",,"CHICKEN SOUP FOR THE SOUL, LLC","132 E PUTNAM AVE","COS COB","CT","06807","511130","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"128","2020-04-14T00:00:00.000","Newtek Small Business Finance, Inc.","CT-04"
"b $2-5 million",,"TOMZ CORPORATION","47 EPISCOPSL ROAD","CT","CT","06037","333515","Corporation","Unanswered","Unanswered","Unanswered",,"278","2020-04-27T00:00:00.000","Webster Bank, National Association","CT-01"
"b $2-5 million",,"A M RIZZO ELECTRICAL CONTRACTORS INC","64 Triangle St","Danbury","CT","06810","238210","Corporation","Unanswered","Unanswered","Unanswered",,"70","2020-05-03T00:00:00.000","Bank of America, National Association","CT-05"
"b $2-5 million",,"IMPERO WASTE SERVICES, LLC","307 White Street","Danbury","CT","06810","562111","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"263","2020-04-15T00:00:00.000","Manufacturers and Traders Trust Company","CT-05"
"b $2-5 million",,"CONNECTICUT INSTITUTE FOR COMMUNITIES INC","120 Main Street 4th Floor","DANBURY","CT","06810","925120","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","345","2020-04-14T00:00:00.000","Newtown Savings Bank","CT-05"
"b $2-5 million",,"DENTAL ASSOCIATES OF CONNECTICUT, P.C.","36 PADANARAM RD","DANBURY","CT","06811","621210","Corporation","Unanswered","Unanswered","Unanswered",,"250","2020-04-05T00:00:00.000","Union Savings Bank","CT-05"
"b $2-5 million",,"BG OF DANBURY, LLC","84 Federal Road","DANBURY","CT","06810","441110","Corporation","White","Male Owned","Veteran",,"145","2020-04-08T00:00:00.000","Newtown Savings Bank","CT-05"
"b $2-5 million",,"WEEKS AUTOMOBILE CORP","29 SUGAR HOLLOW RD","DANBURY","CT","06810","441110","Corporation","Unanswered","Unanswered","Unanswered",,"154","2020-04-12T00:00:00.000","Bank of America, National Association","CT-05"
"b $2-5 million",,"THE MORGANTI GROUP INC.","100 Reserve Road Suite D 210","DANBURY","CT","06810","236220","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-27T00:00:00.000","Interaudi Bank","CT-05"
"b $2-5 million",,"FAMILY & CHILDREN'S AID INC","75 WEST ST","DANBURY","CT","06810","624110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"296","2020-04-28T00:00:00.000","Union Savings Bank","CT-05"
"b $2-5 million",,"DANBURY RADIOLOGY ASSOCIATES","105 NEWTOWN RD Unit c","DANBURY","CT","06810","621512","Corporation","Unanswered","Unanswered","Unanswered",,"63","2020-04-10T00:00:00.000","Savings Bank of Danbury","CT-05"
"b $2-5 million",,"ORTHOCONNECTICUT, PC","2 RIVERVIEW DR","DANBURY","CT","06810","621111","Corporation","Unanswered","Unanswered","Unanswered",,"225","2020-04-06T00:00:00.000","Union Savings Bank","CT-05"
"b $2-5 million",,"NORBERT E. MITCHELL CO., INC.","7 FEDERAL RD","DANBURY","CT","06810","424720","Corporation","White","Male Owned","Unanswered",,"175","2020-04-04T00:00:00.000","Fairfield County Bank","CT-05"
"b $2-5 million",,"SPIROL INTERNATIONAL CORP","30 Rock Ave","Danielson","CT","06239","332999","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-14T00:00:00.000","Citizens Bank, National Association","CT-02"
"b $2-5 million",,"JACC HEALTHCARE CENTER OF DANIELSON LLC","111 westcott Rd","DANIELSON","CT","06239","623110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"231","2020-04-09T00:00:00.000","CIBC Bank USA","CT-02"
"b $2-5 million",,"THE DURHAM MANUFACTURING COMPANY","201 MAIN STREET","DURHAM","CT","06422","333249","Subchapter S Corporation","Unanswered","Male Owned","Unanswered",,"140","2020-04-14T00:00:00.000","Webster Bank, National Association","CT-03"
"b $2-5 million",,"KINSLEY GROUP, INC.","14 Connecticut South Drive","EAST GRANBY","CT","06026","423610","Corporation","White","Male Owned","Non-Veteran",,"129","2020-04-03T00:00:00.000","PeoplesBank","CT-01"
"b $2-5 million",,"ALLAN S GOODMAN INCORPORATED","180 Goodwin St","EAST HARTFORD","CT","06108","424820","Corporation","Unanswered","Unanswered","Unanswered",,"228","2020-04-28T00:00:00.000","Bank of America, National Association","CT-01"
"b $2-5 million",,"ACOUSTICS, INC.","58 ALNA LANE","EAST HARTFORD","CT","06108","238310","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"101","2020-04-27T00:00:00.000","Webster Bank, National Association","CT-01"
"b $2-5 million",,"CABRERA SERVICES INC.","50 FOUNDERS PLAZA","EAST HARTFORD","CT","06108","541618","Corporation","Unanswered","Unanswered","Unanswered",,"95","2020-04-28T00:00:00.000","Webster Bank, National Association","CT-01"
"b $2-5 million",,"UNITED STEEL INC.","164 School Street","EAST HARTFORD","CT","06108","238120","Sole Proprietorship","Unanswered","Unanswered","Unanswered",,"189","2020-04-05T00:00:00.000","People's United Bank, National Association","CT-01"
"b $2-5 million",,"INTERCOMMUNITY, INC.","111 FOUNDERS PLZ Suite 1802","EAST HARTFORD","CT","06108","624120","Corporation","Unanswered","Unanswered","Unanswered",,"292","2020-04-10T00:00:00.000","TD Bank, National Association","CT-01"
"b $2-5 million",,"PRIME MATERIALS HOLDINGS, LLC","99 East River Dr","EAST HARTFORD","CT","06108","551112","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"409","2020-04-11T00:00:00.000","KeyBank National Association","CT-01"
"b $2-5 million",,"THE NEFCO HOLDING COMPANY I, INC.","411 Burnham Street","EAST HARTFORD","CT","06108","423840","Corporation","Unanswered","Unanswered","Unanswered",,"240","2020-04-05T00:00:00.000","People's United Bank, National Association","CT-01"
"b $2-5 million",,"PARTITIONS, INC.","75 CHARLES ST","EAST HARTFORD","CT","06108","238310","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"80","2020-04-09T00:00:00.000","Windsor Federal Savings & Loan Association","CT-01"
