"re_continuing_ed_provider","web","email","coursenumber","coursename","course_hours","delivery_method","effective_date","expiration_date","course_type","phone","mandatory_year","course_offerings","additional_course_offerings"
"360TRAINING.COM INC","www.AgentCampus.com (http://www.AgentCampus.com)","accreditation@360training.com","RE CEO","HOME INSPECTION","3.00","OnLine","2019-01-10","2025-03-06","Continuing Education Real Estate Salesperson and Broker","(512) 212-7345",,,
"360TRAINING.COM INC","www.AgentCampus.com (http://www.AgentCampus.com)","accreditation@360training.com","RE CEO","HUMAN LAND USE","3.00","OnLine","2019-07-08","2022-09-03","Continuing Education Real Estate Salesperson and Broker","(512) 212-7345",,,
"360TRAINING.COM INC","www.AgentCampus.com (http://www.AgentCampus.com)","accreditation@360training.com","RE CEO","LIENS, TAXES AND FORECLOSURES","3.00","OnLine","2019-01-10","2025-03-06","Continuing Education Real Estate Salesperson and Broker","(512) 212-7345",,,
"ACADEMY OF PROFESSIONAL EDUCATION",,,"RE CE","THE NEW WORLD OF SHORT SALES","3.00","Classroom","2020-02-28","2023-12-24","Continuing Education Real Estate Salesperson and Broker","203-925-4531",,,
"AGENT PREP-REAL ESTATE PREP LICENSING TRAINING",,"RTCENCI@HOTMAIL.COM","RE CE","CODE OF ETHICS","3.00","Classroom","2019-05-15","2023-05-15","Continuing Education Real Estate Salesperson and Broker","203-521-9451",,,
"AGENT PREP-REAL ESTATE PREP LICENSING TRAINING",,"RTCENCI@HOTMAIL.COM","RE CE","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING 2","3.00","Classroom","2019-03-25","2023-03-25","Continuing Education Real Estate Salesperson and Broker","203-521-9451",,,
"AGENT PREP-REAL ESTATE PREP LICENSING TRAINING",,"RTCENCI@HOTMAIL.COM","RE CE","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING PART 1","3.00","Classroom","2019-03-25","2023-03-25","Continuing Education Real Estate Salesperson and Broker","203-521-9451",,,
"AGENT PREP-REAL ESTATE PREP LICENSING TRAINING",,"RTCENCI@HOTMAIL.COM","RE CE","REALTOR SAFETY","3.00","Classroom","2019-07-18","2023-07-18","Continuing Education Real Estate Salesperson and Broker","203-521-9451",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING PART 1","3.00","Classroom","2019-10-15","2023-10-15","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING PART 2","3.00","Classroom","2019-10-15","2023-10-15","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","CT REAL ESTATE LAW FOR BROKERS AND SALESPERSONS","3.00","Classroom","2022-01-17","2025-01-17","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","CT REAL ESTATE LAW FOR BROKERS AND SALESPERSONS","3.00","OnLine","2022-01-17","2025-01-17","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","ETHICS AND THE REAL ESTATE PROFESSIONAL","3.00","Classroom","2019-09-05","2023-09-05","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","FBI NEGOTION FOR REAL ESTATE","3.00","Classroom","2022-01-17","2025-01-17","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","FBI NEGOTION FOR REAL ESTATE","3.00","OnLine","2022-01-17","2025-01-17","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","REAL ESTATE OWNERSHIP","3.00","Classroom","2019-10-08","2023-10-08","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","RED FLAGS: PROPERTY INSPECTION GUIDE","3.00","Classroom","2022-01-17","2025-01-17","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","RED FLAGS: PROPERTY INSPECTION GUIDE","3.00","OnLine","2022-01-17","2025-01-17","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"ALLIANCE REAL ESTATE SCHOOL","alliancerealtyschool.com (http://alliancerealtyschool.com)",,"RE CE","UNDERSTANDING AND PREVENTING BIAS IN REAL ESTATE","3.00","Classroom","2022-02-15","2025-02-15","Continuing Education Real Estate Salesperson and Broker","(203) 314-5383",,,
"AMERICAN SOCIETY OF FARM MGRS & RURAL APPRS",,"dilk@asfmra.org","RE CE","ASFMRA 89th ANNUAL CONVENTION - DAY 1","3.00","Classroom","2018-08-29","2022-08-29","Continuing Education Real Estate Salesperson and Broker","(303) 692-1222",,,
"ANDOVER REAL ESTATE INSTITUTE",,,"RE CE","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING PART 1","3.00","Classroom","2018-09-05","2022-09-05","Continuing Education Real Estate Salesperson and Broker","(203) 470-5443",,,
"ANDOVER REAL ESTATE INSTITUTE",,,"RE CE","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING PART 2","3.00","Classroom","2018-09-05","2022-09-05","Continuing Education Real Estate Salesperson and Broker","(203) 470-5443",,,
"ANDOVER REAL ESTATE INSTITUTE",,,"RE CE","ETHICS IN CT","3.00","Classroom","2021-08-10","2024-08-10","Continuing Education Real Estate Salesperson and Broker","(203) 470-5443",,,
"ANDOVER REAL ESTATE INSTITUTE",,,"RE CE","Financing A Home - The New Rules","3.00","Classroom","2022-02-22","2024-04-17","Continuing Education Real Estate Salesperson and Broker","(203) 470-5443",,,
"ANDOVER REAL ESTATE INSTITUTE",,,"RE CE","REAL ESTATE LAW FOR BROKERS AND SALESPERSONS","3.00","Classroom","2020-12-22","2024-12-22","Continuing Education Real Estate Salesperson and Broker","(203) 470-5443",,,
"ANDOVER REAL ESTATE INSTITUTE",,,"RE CE","Real Estate Obstacles - Avoiding Them BEFORE They Happen","3.00","Classroom","2017-04-17","2025-04-17","Continuing Education Real Estate Salesperson and Broker","(203) 470-5443",,,
"ANDOVER REAL ESTATE INSTITUTE",,,"RE CE","SOCIAL MEDIA MARKETING; THE DO'S, DONT'S AND STAYING COMPLIANCE","3.00","Classroom","2019-10-15","2023-10-15","Continuing Education Real Estate Salesperson and Broker","(203) 470-5443",,,
"ANDOVER REAL ESTATE INSTITUTE",,,"RE CE","UNDERSTANDING AND PREVENTING RACIAL BIAS IN REAL ESTATE","3.00","Classroom","2021-07-14","2025-07-14","Continuing Education Real Estate Salesperson and Broker","(203) 470-5443",,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","AVOIDING DECEPTIVE PRACTICES ON DEMAND COURSE","3.00","OnLine","2021-08-11","2024-11-08","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING  1","3.00","OnLine","2019-12-09","2022-10-17","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING 2","3.00","OnLine","2019-12-09","2022-10-17","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","ENVIRONMENTAL ISSUES IN YOUR REAL ESTATE PRACTICE","3.00","OnLine","2021-05-10","2024-08-03","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","EVERYDAY ETHICS IN REAL ESTATE","3.00","OnLine","2020-06-09","2023-08-28","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","FAIR HOUSING","3.00","OnLine","2020-02-25","2023-01-24","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","FORECLOSURES, SHORT SALES, REO'S AND AUCTIONS V3.0","6.00","OnLine","2021-08-04","2024-11-06","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","INTRODUCTION TO COMMERCIAL REAL ESTATE SALES","3.00","OnLine","2019-08-29","2022-10-24","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","INVESTMENT PROPERTY PRACTICE & MANAGEMENT","6.00","OnLine","2021-05-10","2024-08-06","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","MILLENNIALS CHALLENGING THE TRADITIONAL REAL ESTATE MODEL","3.00","OnLine","2020-11-03","2024-01-25","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","PROPERTY MANAGEMENT AND MANAGING RISK","6.00","OnLine","2022-05-25","2025-06-18","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","PROTECTING ELDER FROM REAL ESTATE SCAMS","3.00","OnLine","2020-02-25","2023-01-16","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","REAL ESTATE AND TAXES! WHAT EVERY AGENT SHOULD KNOW V7.0","6.00","OnLine","2021-08-13","2024-11-07","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","REAL ESTATE FINANCE TODAY","3.00","OnLine","2019-08-29","2022-10-12","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","RED FLAGS PROPERTY INSPECTION GUIDE","3.00","OnLine","2022-06-13","2025-06-13","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","REPURPOSING PROERTY: FRIEND, FOE OR THE AMERCIAN DREAM?","3.00","OnLine","2020-02-25","2023-02-04","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","RISK MANAGEMENT","3.00","OnLine","2017-11-22","2024-03-24","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","SCAMS, SCOUNDRLS & REAL ESTATE STINGS","3.00","OnLine","2021-10-30","2024-12-22","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","THE TINY HOUSE: IS IT A PHASE OR CRAZE? OnDEMAND COURSE","3.00","OnLine","2019-08-29","2022-10-10","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","TWENTY COST-EFFECTIVE HOME IMPROVEMENTS","3.00","OnLine","2022-03-10","2025-05-13","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","UNDERSTANDING 1031 TAX-FREE EXCHANGES","6.00","OnLine","2021-05-04","2024-07-27","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","UNDERSTANDING CREDIT AND IMPROVING CREDIT SCORES; WHAT YOU NEED TO KNOW","3.00","OnLine","2022-03-10","2025-05-04","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RE CEO","WATER: HOW IT AFFECTS PROPERTY ONLINE VIDEO COURSE V1.0","3.00","OnLine","2021-03-11","2025-02-11","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RECE","SCAMS, SCOUNDRELS, AND REAL ESTATE STINGS V1.1","3.00","Classroom","2022-01-10","2024-12-22","Continuing Education Real Estate Salesperson and Broker",,,,
"BEST REAL ESTATE SCHOOL OF CT","www.bestrealestate.school (http://www.bestrealestate.school)",,"RECE","SCAMS, SCOUNDRELS, AND REAL ESTATE STINGS V1.1","3.00","OnLine","2022-01-10","2024-12-22","Continuing Education Real Estate Salesperson and Broker",,,,
"C2G ENVIRONMENTAL EDUCATION",,"THOKANSON@C2G.US","RE CE","HOME HEATING OIL TANKS FOR REALTORS","3.00","Classroom","2019-07-01","2023-07-01","Continuing Education Real Estate Salesperson and Broker","(203) 437-6717",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CE","BUYER REPRESENTATION IN REAL ESTATE","6.00","OnLine","2021-04-27","2025-04-27","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CE","CONNECTICUT REAL ESTATE AGENCY LAW REVIEW AND FAIR HOUSING PART ONE ONLINE VIDEO COURSE","3.00","OnLine","2021-04-27","2025-04-27","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CE","CONNECTICUT REAL ESTATE AGENCY LAW REVIEW AND FAIR HOUSING PART TWO ONLINE VIDEO COURSE","3.00","OnLine","2021-04-27","2025-04-27","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CE","ENVIRONMENTAL ISSUES IN YOUR REAL ESTATE PRACTICE","6.00","OnLine","2021-04-27","2025-04-27","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CE","EVERY DAY ETHICS IN REAL ESTATE",,"OnLine","2021-04-27","2025-04-27","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CE","FAIR HOUSING","3.00","OnLine","2021-04-26","2025-04-26","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CE","INTRODUCTION TO COMMERCIAL REAL ESTATE SALES","6.00","OnLine","2021-04-27","2025-04-27","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CE","INVESTMENT PROPERTY PRACTICE & MANAGEMENT","10.00","OnLine","2021-04-27","2025-04-27","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CE","LIARS, CHEATERS AND THIEVES: AVERTING CLIENT CATASTROPHE ONDEMAND COURSE","3.00","OnLine","2021-04-27","2025-04-27","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CE","UNDERSTANDING AND PREVENTING RACIAL BIAS IN REAL ESTATE","3.00","Classroom","2021-06-23","2025-06-23","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CEO","AVOIDING DECEPTIVE PRACTICES ON DEMAND COURSE","4.00","OnLine","2021-11-18","2024-11-08","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CEO","ENVIRONMENTAL ISSUES IN YOUR REAL ESTATE PRACTICE","3.00","OnLine","2021-05-10","2024-08-03","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CEO","FORECLOSURES, SHORT SALES, REOS AND AUCTIONS V3.0","6.00","OnLine","2021-08-04","2024-11-06","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CEO","INVESTMENT PROPERTY PRACTICE & MANAGEMENT","6.00","OnLine","2021-05-10","2024-08-06","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CEO","REAL ESTATE AND TAXES: WHAT EVERY AGENT SHOULD KNOW V7.0","6.00","OnLine","2021-08-13","2024-11-07","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CEO","Scams, Scoundrels, and Real Estate Stings","3.00","OnLine","2021-10-30","2024-12-22","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CEO","UNDERSTANDING 1031 TAX-FREE EXCHANGES","6.00","OnLine","2021-05-04","2024-07-27","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RE CEO","Understanding Credit and Improving Credit Scores: What you need to know v3.0","3.00","OnLine","2022-03-10","2025-05-04","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RECE","SCAMS, SCOUNDRELS, AND REAL ESTATE STINGS V1.1","3.00","Classroom","2022-01-10","2024-12-22","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CADEMA REAL ESTATE EDUCATION ASSOCIATES",,"HEATHERGAGNONRE@GMAIL.COM","RECE","SCAMS, SCOUNDRELS, AND REAL ESTATE STINGS V1.1","3.00","OnLine","2022-01-10","2024-12-22","Continuing Education Real Estate Salesperson and Broker","(860) 334-3207",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CE","1031 REAL ESTATE EXCHANGE","3.00","Classroom","2020-01-06","2023-12-24","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CE","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING PART 1","3.00","Classroom","2019-12-09","2023-12-09","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CE","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING PART 2","3.00","Classroom","2019-12-09","2023-12-09","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CE","CT REAL ESTATE LAW FOR BROKERS AND SALESPERSONS","3.00","Classroom","2021-10-12","2024-10-12","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CE","REAL ESTATE LAW FOR BROKERS AND SALESPERSONS","3.00","Classroom","2021-08-11","2024-08-11","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CE","TAX STATEGIES FOR REAL ESTATE PROFESSIONALS AND INVESTORS","3.00","Classroom","2019-12-09","2023-03-26","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CE","THE NEW WORLD OF SHORT SALES","3.00","Classroom","2020-02-04","2023-12-21","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CE","UNDERSTANDING AND PREVENTING RACIAL BIAS IN REAL ESTATE","3.00","Classroom","2021-12-27","2024-12-27","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CE","UNDERSTANDING AND PREVENTING RACIAL BIAS IN REAL ESTATE","3.00","OnLine","2021-12-27","2024-12-27","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CEO","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING PART 1","3.00","OnLine","2019-12-30","2022-12-28","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CEO","CT REAL ESTATE AGENCY LAW REVIEW & FAIR HOUSING PART 2","3.00","OnLine","2019-12-30","2022-12-28","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CEO","REAL ESTATE FRAUD, MORTGAGE, TITLE AND FORECLOSURE ISSUES","6.00","OnLine","2020-03-04","2023-01-17","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CEO","RESPA, TILA, TRID & OTHER ACRONYMS THAT AFFECT YOUR CAREER","3.00","OnLine","2020-03-04","2023-01-17","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CEO","TRANSITION FROM RESIDENTIAL TO COMMERCIAL REAL ESTATE-WHAT YOU NEED TO KNOW","3.00","OnLine","2020-03-04","2023-01-17","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAPE SCHOOL INC","www.capeschool.com (http://www.capeschool.com)",,"RE CEO","TRID DEBUT AND OTHER FEDERAL REGULATIONS","3.00","OnLine","2020-03-04","2023-03-22","Continuing Education Real Estate Salesperson and Broker","(434) 969-3000",,,
"CAREER DEVELOPMENT TRAINING",,"cdt.info@yahoo.com","RE CE","CURRENT ISSUES IN REAL ESTATE II","3.00","Classroom","2020-03-27","2024-03-27","Continuing Education Real Estate Salesperson and Broker","(203) 937-7279",,,
"CAREER DEVELOPMENT TRAINING",,"cdt.info@yahoo.com","RE CE","ETHICS","3.00","Classroom","2021-02-10","2024-09-28","Continuing Education Real Estate Salesperson and Broker","(203) 937-7279",,,
