"fiscal_year","company_name","company_address","municipality","state","zip_code","business_industry","naics_code","woman_minority_veteran_international_export","contract_execution_date","grant_amount","loan_amount","total_assistance","total_project_cost","amount_leveraged","funding_source","statutory_reference","job_obligation_status","penalty_if_applicable","forgiveness_earned_if_applicable","status","count"
"2018","Addaero Manufacturing, LLC","33 John Street","New Britain","CT","06051","Aerospace Manufacturing","332999","Yes International Export","2018-04-06T00:00:00.000","11989","0","11989","23977","11988","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2012","AdDent Inc.","43 Iry Brook Road","Danbury","CT","06810","Manufacturing","339114","No","2012-05-31T00:00:00.000","75000","0","75000","150000","75000","Small Business Express Program","CGS Sec. 32-7g","Not Met","$1,000","n/a","Compliance Complete","1"
"2015","Admill Machine Co, LLC","150 John Downey Drive","New Britain","CT","06051","Manufacturing","332900","No","2015-02-20T00:00:00.000","60000","12345","72345","144692","72347","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2013","ADNET Technologies, LLC","312 Farmington Avenue","Farmington","CT","06032","Technology Consulting","811212","No","2013-04-01T00:00:00.000","25000","0","25000","167000","142000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2013","Advanced Copy Technologies, Inc.","20 Commerce Drive","Cromwell","CT","06416","Photocopy Machines","423420","No","2013-02-26T00:00:00.000","30000","123000","153000","331000","178000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2013","Advanced Dentistry, Inc.","1122 Highland Avenue","Cheshire","CT","06410","Dentistry","621210","No","2012-11-01T00:00:00.000","100000","100000","200000","825000","625000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2018","Advanced Dermatology & Laser Center, LLC","489 Post Road","Westport","CT","06880","Medical","621111","Yes Woman","2017-08-01T00:00:00.000","100000","0","100000","200000","100000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2017","Advanced Electrical Contractors, Inc.","528 Washington Avenue","North Haven","CT","06473","Electrical","238210","Yes Veteran","2017-04-26T00:00:00.000","100000","0","100000","200000","100000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Out of Business- written off","1"
"2019","Advanced Investigations, LLC","7 Elm Street, Suite 2R","New Haven","CT","06510","Administrative and Support Services","561600","No","2019-06-04T00:00:00.000","40000","35000","75000","118000","43000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2015","Advanced Performance Glass, Inc.","26 Schweir Road","South Windsor","CT","06074","Glass & Glazing","238150","No","2014-11-25T00:00:00.000","80000","0","80000","269000","189000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2014","Advanced Sportsplex & Training Center, LLC","1280 Newfield Street","Middletown","CT","06457","Sports & Recreation","611620","No","2013-07-02T00:00:00.000","43000","0","43000","134750","91750","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Out of Business- Not written off","1"
"2016","Aerocision, LLC","12A Inspiration Lane","Chester","CT","06412","Other Aircraft Parts","336413","No","2015-09-28T00:00:00.000","100000","275000","375000","488500","113500","Small Business Express Program","CGS Sec. 32-7g","n/a-repaid funding","n/a","n/a","Active","1"
"2013","Aeroswiss, LLC","20 Powers Drive","Meriden","CT","06450","Screw Machine Shop","332721","No","2013-02-26T00:00:00.000","100000","125000","225000","325000","100000","Small Business Express Program","CGS Sec. 32-7g","Not Met","from 3% to 4%","n/a","Compliance Complete","1"
"2014","AES Remedial Contracting, LLC","132 Town Line Road","Southington","CT","06489","Environmental Remediation","562910","Yes","2013-10-03T00:00:00.000","100000","250000","350000","450000","100000","Small Business Express Program","CGS Sec. 32-7g","Not Met","Rate increase from 2% to 3% and $21,053","n/a","Active","1"
"2015","A Family Affair, LLC dba Eligible Arrangements","1095 Kennedy Road","Windsor","CT","06095","Retail","453110","No","2015-06-05T00:00:00.000","63604","181502","245106","308710","63604","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2015","Agency Administrators, Inc.","12 West Main Street","Plainville","CT","06062","Insurance","524210","No","2015-06-05T00:00:00.000","100000","0","100000","524000","424000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2019","A. H Emery Company dba Emery Winslow Scale Company","73 Cogwheel Lane","Seymour","CT","06483","Manufacturing","423440","No","2019-02-15T00:00:00.000","100000","300000","400000","562213","162213","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2013","AHEPA 250, II, Inc.","95 Clark Lane","Waterford","CT","06385","Lessors of Residential Buildings and Dwellings","531110","No","2012-12-06T00:00:00.000","100000","0","100000","274646","174646","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2016","Airlink Ground Transportation, LLC","39 Old Ridgebury Road","Danbury","CT","06810","Limousine and Black Car Service","485320","Yes Woman/Minority","2016-04-04T00:00:00.000",,"206500","206500","206500","0","Small Business Express Program","CGS Sec. 32-7g","Not Met","2% to 3%","n/a","Active","1"
"2014","Airlink Ground Transportation, LLC","39 Old Ridgebury Road","Danbury","CT","06810","Corporate and Retail Limousine Service","485320","No","2014-03-06T00:00:00.000","15000","30000","45000","60000","15000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Out of Business- not written off","1"
"2017","Airport Road Auto Body, Inc.","80-84 Airport Road","Hartford","CT","06114","Auto Body Repair","447190","Yes Woman","2016-08-25T00:00:00.000","100000","300000","400000","500000","100000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Compliance Complete","1"
"2013","AJM 1, LLC dba The UPS Store 2233","994 North Colony Road","Wallingford","CT","06492","Other Transportation","488999","No","2013-01-04T00:00:00.000","70000","0","70000","140000","70000","Small Business Express Program","CGS Sec. 32-7g","Not Met","$3,000","n/a","Active","1"
"2013","A.K.O., Inc.","50 Baker Hollow Road","Windsor","CT","06095","Manufacturer of Torque Calibration","524210","No","2013-05-23T00:00:00.000","80000","0","80000","413500","333500","Small Business Express Program","CGS Sec. 32-7g","Not Met","$6,000","n/a","Active","1"
"2015","Alcaide, Inc dba A & J Construction","150 Laurel Hill Road","Brookfield","CT","06804","Construction","238990","Yes Minority","2015-06-25T00:00:00.000","100000","300000","400000","651600","251600","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Compliance Complete","1"
"2013","Aleia's Gluten Free Foods, LLC","4 Pin Oak Drive","Branford","CT","06405","Bakery","311800","No","2013-05-23T00:00:00.000","80000","300000","380000","460000","80000","Small Business Express Program","CGS Sec. 32-7g","Not Met","from 3% to 4%","n/a","Active","1"
"2013","Allen Insurance Agency, Inc.","259 Farmington Avenue","Bristol","CT","06010","Insurance","524210","No","2013-06-17T00:00:00.000","0","75000","75000","240000","165000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Compliance Complete","1"
"2017","All Molded Plastics Co., Inc.","3B Fairfield Boulevard","Wallingford","CT","06492","Injection Molding and Manufacturing","326199","Yes Veteran","2017-06-17T00:00:00.000","40000","0","40000","501000","461000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Repaid early- Released 10/2013","1"
"2014","All Molded Plastics Co., Inc.","3B Fairfield Boulevard","Wallingford","CT","06492","Injection Molding & Manufacturing","326199","No","2014-02-26T00:00:00.000","60000","160000","220000","440000","220000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2015","All Our Kin, Inc.","414A Chapel Street, #100","New Haven","CT","06511","Non-Profit","624410","Yes Woman","2015-05-18T00:00:00.000","37454","0","37454","206194","168740","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2018","All Our Kin, Inc.","414A Chapel Street, #100","New Haven","CT","06530","Nonprofit Organization","624410","Yes Woman","2018-06-19T00:00:00.000","62546",,"62546","125546","63000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2018","Alloy Specialties, Inc.","110 Batson Drive","Manchester","CT","06042","Aerospace Machining","336412","Yes International Export","2018-03-07T00:00:00.000","100000","0","100000","200000","100000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2014","All Tech Auto/Truck Electric, Inc.","36B Kenosia Avenue","Danbury","CT","06810","Auto Electric Repair Rebuilding","811118","No","2013-11-01T00:00:00.000","40000","0","40000","80000","40000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2014","Al-Lynn Sales, LLC","223 Canal Street","Shelton","CT","06484","Promotional Products","423990","No","2013-10-23T00:00:00.000","60000","0","60000","183850","123850","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Compliance Complete","1"
"2014","Al-TEK Instruments, LLC","152 Knotter Drive, P.O. Box 748","Cheshire","CT","06410","Manufacturer","334500","No","2013-08-16T00:00:00.000","0","300000","300000","350000","50000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","$   75,000","Active","1"
"2014","Alternative Heating and Supplies, LLC","160 Christian Street","Oxford","CT","06478","Heating Equipment Manufacturing/Retail","333414/453990","Yes Woman","2014-03-24T00:00:00.000","0","250000","250000","310000","60000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","$   40,000","Active","1"
"2013","Alternity Healthcare, LLC","630 Park Road","West Hartford","CT","06107","Health Services","621999","No","2012-09-13T00:00:00.000","80250","0","80250","180250","100000","Small Business Express Program","CGS Sec. 32-7g","Not Met","$2,000","n/a","Compliance Complete","1"
"2013","Alvarado, Marie & Ismael dba Posh Studios","70 Bank Street","Waterbury","CT","06702","Photo Studio","812990","No","2012-10-16T00:00:00.000","0","53232","53232","53232","0","Small Business Express Program","CGS Sec. 32-7g","Not Met","OOB","n/a","Active","1"
"2014","Always Best Senior Services of Central CT, Inc.","642 Hilliard Street","Manchester","CT","06042","Non-Medical In Homecare","621610","No","2013-07-26T00:00:00.000","30000","90000","120000","263000","143000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2013","Alzheimer's Disease & Related Disorders Association, Inc. (CT Chapter)","200 Executive Boulevard, Suite 4B","Southington","CT","06489","Welfare Organization","624190","No","2012-09-13T00:00:00.000","27800","0","27800","100625","72825","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Compliance Complete","1"
"2015","Ambassador Property Group, LLC dba Real Property Management of Southern CT","1814 Dixwell Avenue","Hamden","CT","06514","Residential Property Management","531311","Yes Minority","2015-05-26T00:00:00.000","0","74500","74500","149000","74500","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2018","Ambassador Property Group, LLC dba Real Property Management of Southern CT","1814 Dixwell Avenue","Hamden","CT","06514","Real Estate Management","531311","Yes Minority","2017-10-30T00:00:00.000","0","189000","189000","189000","0","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2014","Ambassador Wheelchair Services, Inc.","5 Glastonbury Avenue","Rocky Hill","CT","06067","Transportation","485991","No","2014-03-31T00:00:00.000","20000","0","20000","40000","20000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Out of Business- Confirmed","1"
"2013","Amenta/Emma Architects, PC","201 Ann Uccello Street","Hartford","CT","06103","Architectural Services","541310","No","2013-05-23T00:00:00.000","80000","0","80000","285872","205872","Small Business Express Program","CGS Sec. 32-7g","Not Met","$2,000","n/a","Active","1"
"2017","American Adjustment Bureau, Inc.","228 Meadow Street","Waterbury","CT","06702","Medical Collections and Billing","561449","No","2017-04-13T00:00:00.000","0","97000","97000","97000","0","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2013","American Backplane, Inc.","355 Bantam Lake Road","Morris","CT","06763","Printed Circuit Assembly","334418","No","2013-02-19T00:00:00.000","100000","0","100000","212613","112613","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2016","American Halal Company, Inc. (d/b/a Saffron Road Food Inc.)","1111 Summer Street, 5th Floor","Stamford","CT","06905","Food Manufacturing","424400","Yes Minority","2015-10-21T00:00:00.000","100000","300000","400000","1111595","711595","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2013","American Integrity Restoration, LLC","60 Village Place","Glastonbury","CT","06033","Home Improvement Center","236118","No","2013-05-21T00:00:00.000","75000","200000","275000","375000","100000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2012","American Municipal Tax-Exempt Compliance Corp.","90 Avon Meadow Lane","Avon","CT","06001","Service","541219","No","2012-05-07T00:00:00.000","100000","0","100000","200000","100000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2015","American Woolen Company. Inc.","8 Furnace Avenue","Stafford Springs","CT","06076","Broadwoven Fabric Mill","313210","No","2014-09-19T00:00:00.000","100000","300000","400000","4000000","3600000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","$   150,000","Compliance Complete","1"
"2014","A Missing Link, LLC","94 Brookmoor Road","West Hartford","CT","06107","Alcoholic Beverages, Wine and Distilled Wholesalers","424820","No","2014-04-07T00:00:00.000","40000","0","40000","315580","275580","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Compliance Complete","1"
"2017","Amnet Systems, LLC","26 Fahey Street","Stamford","CT","06907","Data Processing, Hosting and Related Services","518210","Yes Woman","2016-09-07T00:00:00.000","80000","300000","380000","463000","83000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Compliance Complete","1"
"2015","Amodex Products, Inc.","989 Hancock Avenue","Bridgeport","CT","06605","Manufacturing","325611","Yes","2014-09-02T00:00:00.000","100000","300000","400000","582200","182200","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2013","Amoun Pita & Distribution, LLC","361 Pleasant Valley Road","South Windsor","CT","06074","Commercial Bakery","311812","No","2012-11-07T00:00:00.000","100000","300000","400000","510000","110000","Small Business Express Program","CGS Sec. 32-7g","Not Met","OOB","n/a","Active","1"
"2018","Analytical Technologies Group, LLC","70 Bridge Street","Groton","CT","06320","Laboratory Analytical Service","334516","No","2018-05-23T00:00:00.000","50000",,"50000","100000","50000","Small Business Express Program","CGS Sec. 32-7g",,"n/a","n/a","Active","1"
"2012","Angler Industries, Inc.","61 Industrial Park Road, P.O. Box 217","Sterling","CT","06377","Manufacturing","324191","No","2012-06-12T00:00:00.000","100000","0","100000","553752","453752","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2019","Anna M. Chisilenco Raho, DDS, LLC","70 Cherry Street","Milford","CT","06460","Dental","621210","Yes Woman","2019-01-11T00:00:00.000","40000",,"40000","441000","401000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2017","Anthem Sports, LLC","2 Extrusion Drive","Pawcatuck","CT","06379","E-Commerce Retailer","451110","No","2016-12-13T00:00:00.000","40000","40000","80000","120000","40000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2016","Antinozzi Associates, P.C.","271 Fairfield Avenue","Bridgeport","CT","06604","Architectural Services","541310","No","2016-05-24T00:00:00.000","35731","0","35731","71462","35731","Small Business Express Program","CGS Sec. 32-7g","Not Met","$   1,021","n/a","Active","1"
"2013","Antinozzi Associates, P.C.","271 Fairfield Avenue","Bridgeport","CT","06604","Architectural Services","541310","No","2013-02-20T00:00:00.000","64259","0","64259","128518","64259","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2013","APC Recycling, LLC","8 Route 80","Killingly","CT","06419","Scrap & Waste Materials","423930","No","2012-08-03T00:00:00.000","100000","100000","200000","403000","203000","Small Business Express Program","CGS Sec. 32-7g","Not Met","OOB","n/a","Active","1"
"2012","Aperture Optical Sciences, Inc.","170 Pondview Drive","Meriden","CT","06450","Manufacturing","333314","No","2012-05-04T00:00:00.000","100000","0","100000","241900","141900","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2013","Apex Glass, LLC","10 Riverside Road","Newtown","CT","06482","Other Building Materials Dealers","444190","No","2013-01-04T00:00:00.000","0","63000","63000","63000","0","Small Business Express Program","CGS Sec. 32-7g","Not Met","from 2% to 3%","n/a","Active","1"
"2019","Apex Technology Services, LLC","535 Connecticut Avenue, lst Floor East","Norwalk","CT","06854","Technology/Cybersecurity","561900","Yes Minority","2018-08-13T00:00:00.000","75000",,"75000","150000","75000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Compliance Complete","1"
"2014","A Plus Installation, LLC","211 Park Avenue","East Hartford","CT","06108","Delivery, Installation & Home Energy","238900","No","2013-09-17T00:00:00.000","100000","0","100000","250000","150000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2015","Apollo Solar, Inc.","23 Francis J. Clarke Circle","Bethel","CT","06801","Manufacturing Solar Power","811210","No","2014-07-30T00:00:00.000","100000","300000","400000","500000","100000","Small Business Express Program","CGS Sec. 32-7g","Not Met","n/a","n/a","Compliance Complete","1"
"2014","Applivate, LLC","760 Chapel Street","New Haven","CT","06510","Software","511210","No","2013-12-02T00:00:00.000","19700","0","19700","39400","19700","Small Business Express Program","CGS Sec. 32-7g","Not Met","$19,700","n/a","Active","1"
"2017","APT2, LLC- Advantage Personal Training","5 Freedom Way","East Lyme","CT","06357","Diet & Weight Reducing Center","812919","Yes Woman/Minority","2016-07-12T00:00:00.000","80000","0","80000","213225","133225","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Compliance Complete","1"
"2013","Aqua Massage International, Inc.","1101 Noank Ledyard Road","Mystic","CT","06355","Sporting & Athletic Goods","339920","No","2012-08-08T00:00:00.000","0","100000","100000","100000","0","Small Business Express Program","CGS Sec. 32-7g","Not Met","Rate increase from 2% to 3%","n/a","Active","1"
"2013","Aquatic Sensor Network Technology, LLC","5 Homestead Drive","Storrs","CT","06268","Computer Services","541512","No","2013-05-30T00:00:00.000","55500","0","55500","209800","154300","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2016","Aquinas Consulting, LLC","601 Boston Post Road","Milford","CT","06461","Information Technology","541690","Yes Woman/Minority","2015-11-24T00:00:00.000","76574","0","76574","505370","428796","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2018","Aquinas Scout Books","601 Boston Post Road","Milford","CT","06461","Publishing","511130","Yes Woman/Minority","2017-08-25T00:00:00.000","26246","0","26246","52492","26246","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2012","Arcanatura, LLC","37 Skyline Drive","Groton","CT","06340","Retail","454111",,"2012-04-04T00:00:00.000","55000","0","55000","363400","308400","Small Business Express Program","CGS Sec. 32-7g","Not Met","$2,000","n/a","Active","1"
"2012","Archer Sign Service LLC","316 Boston Post Road","Milford","CT","06460","Manufacturing","339950",,"2012-04-05T00:00:00.000","94000","0","94000","188000","94000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Compliance Complete","1"
"2019","Architectural Door Corporation","75 North Pine Creek Road","Fairfield","CT","06824","Door Manufacturing","321911","No","2018-12-13T00:00:00.000","50000","76800","126800","862750","735950","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2015","Architectural Glass Industries, LLC","9 Turnberry Lane","Sandy Hook","CT","06482","Glass Manufacturing","339900","Yes Woman","2015-05-19T00:00:00.000","0","300000","300000","303000","3000","Small Business Express Program","CGS Sec. 32-7g","n/a","n/a","n/a","Active","1"
