"company","file_no","opened","closed","coverage","subcoverage","reason","subreason","disposition","conclusion","recovery","status"
"Cigna Health and Life Insurance Company","7012254","2018-11-07T00:00:00.000","2019-01-02T00:00:00.000","Group","Health Only","Claim Handling","Unsatisfactory Settlement/Offer","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7012547","2019-02-20T00:00:00.000","2019-03-06T00:00:00.000","Group","Health Only","Claim Handling","Unsatisfactory Settlement/Offer",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7012567","2019-02-21T00:00:00.000","2019-03-13T00:00:00.000","Individual","Medicare Supplement(Policies or Certs)","Marketing & Sales","Duplication of Coverage","Compromised Settlement/Resolution","Furnished Information","64.00","Closed"
"Cigna Health and Life Insurance Company","7014619","2019-02-05T00:00:00.000","2019-02-20T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim","Claim Settled","Furnished Information","1422.00","Closed"
"Cigna Health and Life Insurance Company","7040813","2021-11-11T00:00:00.000","2021-11-17T00:00:00.000",,,"Claim Handling","Delays",,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7041053","2021-11-22T00:00:00.000","2022-01-19T00:00:00.000","A & H","A & H","Claim Handling","Denial","Claim Settled","Claim Paid","1973.50","Closed"
"Cigna Health and Life Insurance Company","7041053","2021-11-22T00:00:00.000","2022-01-19T00:00:00.000","Group","A & H","Claim Handling","Denial","Claim Settled","Claim Paid","1973.50","Closed"
"Cigna Health and Life Insurance Company","7041053","2021-11-22T00:00:00.000","2022-01-19T00:00:00.000","A & H","A & H","Claim Handling","Denial of Claim","Claim Settled","Claim Paid","1973.50","Closed"
"Cigna Health and Life Insurance Company","7041053","2021-11-22T00:00:00.000","2022-01-19T00:00:00.000","Group","A & H","Claim Handling","Denial of Claim","Claim Settled","Claim Paid","1973.50","Closed"
"Cigna Health and Life Insurance Company","7041053","2021-11-22T00:00:00.000","2022-01-19T00:00:00.000","A & H","Dental","Claim Handling","Denial","Claim Settled","Claim Paid","1973.50","Closed"
"Cigna Health and Life Insurance Company","7041053","2021-11-22T00:00:00.000","2022-01-19T00:00:00.000","Group","Dental","Claim Handling","Denial","Claim Settled","Claim Paid","1973.50","Closed"
"Cigna Health and Life Insurance Company","7041053","2021-11-22T00:00:00.000","2022-01-19T00:00:00.000","A & H","Dental","Claim Handling","Denial of Claim","Claim Settled","Claim Paid","1973.50","Closed"
"Cigna Health and Life Insurance Company","7041053","2021-11-22T00:00:00.000","2022-01-19T00:00:00.000","Group","Dental","Claim Handling","Denial of Claim","Claim Settled","Claim Paid","1973.50","Closed"
"Cigna Health and Life Insurance Company","7040925","2021-11-16T00:00:00.000","2022-01-11T00:00:00.000","Group","Dental","Claim Handling","Provider Contract Issue","Contract Provision/Legal Issue",,"0.00","Closed"
"Cigna Health and Life Insurance Company","7041286","2021-12-06T00:00:00.000","2022-03-29T00:00:00.000","A & H","A & H","Claim Handling","Coordination of Benefit","Claim Settled","Claim Paid","1270.99","Closed"
"Cigna Health and Life Insurance Company","7041286","2021-12-06T00:00:00.000","2022-03-29T00:00:00.000","Group","A & H","Claim Handling","Coordination of Benefit","Claim Settled","Claim Paid","1270.99","Closed"
"Cigna Health and Life Insurance Company","7041286","2021-12-06T00:00:00.000","2022-03-29T00:00:00.000","A & H","A & H","Claim Handling","Coordination of Benefits","Claim Settled","Claim Paid","1270.99","Closed"
"Cigna Health and Life Insurance Company","7041286","2021-12-06T00:00:00.000","2022-03-29T00:00:00.000","Group","A & H","Claim Handling","Coordination of Benefits","Claim Settled","Claim Paid","1270.99","Closed"
"Cigna Health and Life Insurance Company","7041286","2021-12-06T00:00:00.000","2022-03-29T00:00:00.000","A & H","Dental","Claim Handling","Coordination of Benefit","Claim Settled","Claim Paid","1270.99","Closed"
"Cigna Health and Life Insurance Company","7041286","2021-12-06T00:00:00.000","2022-03-29T00:00:00.000","Group","Dental","Claim Handling","Coordination of Benefit","Claim Settled","Claim Paid","1270.99","Closed"
"Cigna Health and Life Insurance Company","7041286","2021-12-06T00:00:00.000","2022-03-29T00:00:00.000","A & H","Dental","Claim Handling","Coordination of Benefits","Claim Settled","Claim Paid","1270.99","Closed"
"Cigna Health and Life Insurance Company","7041286","2021-12-06T00:00:00.000","2022-03-29T00:00:00.000","Group","Dental","Claim Handling","Coordination of Benefits","Claim Settled","Claim Paid","1270.99","Closed"
"Cigna Health and Life Insurance Company","7043769","2022-03-15T00:00:00.000","2022-04-05T00:00:00.000","Group","Health Only",,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","A & H","A & H","PolicyHolder Service","Delays/No Response","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","Individual","A & H","PolicyHolder Service","Delays/No Response","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","A & H","A & H","PolicyHolder Service","Policy Service Delay by Insurer","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","Individual","A & H","PolicyHolder Service","Policy Service Delay by Insurer","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","A & H","Medicare Plan F","PolicyHolder Service","Delays/No Response","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","Individual","Medicare Plan F","PolicyHolder Service","Delays/No Response","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","A & H","Medicare Plan F","PolicyHolder Service","Policy Service Delay by Insurer","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","Individual","Medicare Plan F","PolicyHolder Service","Policy Service Delay by Insurer","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","A & H","Medicare Supplement(Policies or Certs)","PolicyHolder Service","Delays/No Response","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","Individual","Medicare Supplement(Policies or Certs)","PolicyHolder Service","Delays/No Response","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","A & H","Medicare Supplement(Policies or Certs)","PolicyHolder Service","Policy Service Delay by Insurer","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041034","2021-11-21T00:00:00.000","2021-12-08T00:00:00.000","Individual","Medicare Supplement(Policies or Certs)","PolicyHolder Service","Policy Service Delay by Insurer","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7042087","2022-01-14T00:00:00.000","2022-02-28T00:00:00.000","A & H","A & H","Claim Handling","Surprise Billing","Claim Settled","Claim Paid","1053.44","Closed"
"Cigna Health and Life Insurance Company","7042087","2022-01-14T00:00:00.000","2022-02-28T00:00:00.000","Group","A & H","Claim Handling","Surprise Billing","Claim Settled","Claim Paid","1053.44","Closed"
"Cigna Health and Life Insurance Company","7042087","2022-01-14T00:00:00.000","2022-02-28T00:00:00.000","A & H","Health Only","Claim Handling","Surprise Billing","Claim Settled","Claim Paid","1053.44","Closed"
"Cigna Health and Life Insurance Company","7042087","2022-01-14T00:00:00.000","2022-02-28T00:00:00.000","Group","Health Only","Claim Handling","Surprise Billing","Claim Settled","Claim Paid","1053.44","Closed"
"Cigna Health and Life Insurance Company","7006949","2021-10-21T00:00:00.000","2021-12-01T00:00:00.000","Group","Health Only","Claim Handling","UR Procedure",,"Corrective Action","7418.27","Closed"
"Cigna Health and Life Insurance Company","7012716","2019-01-08T00:00:00.000","2019-02-21T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040808","2021-11-11T00:00:00.000","2021-12-21T00:00:00.000","A & H","A & H","Claim Handling","Cost Containment","Company Position Overturned","Coverage Extended","0.00","Closed"
"Cigna Health and Life Insurance Company","7040808","2021-11-11T00:00:00.000","2021-12-21T00:00:00.000","Group","A & H","Claim Handling","Cost Containment","Company Position Overturned","Coverage Extended","0.00","Closed"
"Cigna Health and Life Insurance Company","7040808","2021-11-11T00:00:00.000","2021-12-21T00:00:00.000","A & H","A & H","Claim Handling","UR MEDICALLY NECESSARY DENIAL","Company Position Overturned","Coverage Extended","0.00","Closed"
"Cigna Health and Life Insurance Company","7040808","2021-11-11T00:00:00.000","2021-12-21T00:00:00.000","Group","A & H","Claim Handling","UR MEDICALLY NECESSARY DENIAL","Company Position Overturned","Coverage Extended","0.00","Closed"
"Cigna Health and Life Insurance Company","7040808","2021-11-11T00:00:00.000","2021-12-21T00:00:00.000","A & H","Health Only","Claim Handling","Cost Containment","Company Position Overturned","Coverage Extended","0.00","Closed"
"Cigna Health and Life Insurance Company","7040808","2021-11-11T00:00:00.000","2021-12-21T00:00:00.000","Group","Health Only","Claim Handling","Cost Containment","Company Position Overturned","Coverage Extended","0.00","Closed"
"Cigna Health and Life Insurance Company","7040808","2021-11-11T00:00:00.000","2021-12-21T00:00:00.000","A & H","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL","Company Position Overturned","Coverage Extended","0.00","Closed"
"Cigna Health and Life Insurance Company","7040808","2021-11-11T00:00:00.000","2021-12-21T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL","Company Position Overturned","Coverage Extended","0.00","Closed"
"Cigna Health and Life Insurance Company","7042887","2022-02-09T00:00:00.000","2022-03-17T00:00:00.000","Group","Health Only","Claim Handling","Medical Necessity","Company Position Substantiated","Coverage Denied","0.00","Closed"
"Cigna Health and Life Insurance Company","7042887","2022-02-09T00:00:00.000","2022-03-17T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL","Company Position Substantiated","Coverage Denied","0.00","Closed"
"Cigna Health and Life Insurance Company","7042353","2022-01-24T00:00:00.000","2022-02-15T00:00:00.000","Group","Dental","Claim Handling","Claim Delays",,"Claim Paid With Interest","238.63","Closed"
"Cigna Health and Life Insurance Company","7016130","2018-07-16T00:00:00.000","2018-08-03T00:00:00.000","Individual","Dental","Claim Handling","Delays","Claim Settled","Furnished Information","122.00","Closed"
"Cigna Health and Life Insurance Company","7017008","2018-04-20T00:00:00.000","2018-05-09T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7017008","2018-04-20T00:00:00.000","2018-05-09T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL",,"Coverage Granted","0.00","Closed"
"Cigna Health and Life Insurance Company","7033205","2021-04-29T00:00:00.000","2021-06-14T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033211","2021-05-03T00:00:00.000","2021-05-07T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033214","2021-05-04T00:00:00.000","2021-06-22T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7032227","2019-02-05T00:00:00.000","2019-02-15T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7031890","2018-02-14T00:00:00.000","2018-02-23T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7031878","2018-02-05T00:00:00.000","2018-03-12T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7031892","2018-02-14T00:00:00.000","2018-04-11T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033257","2021-01-21T00:00:00.000","2021-04-06T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033241","2020-12-28T00:00:00.000","2021-01-14T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033267","2021-01-28T00:00:00.000","2021-02-17T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033231","2021-05-26T00:00:00.000","2021-07-16T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7031977","2018-04-19T00:00:00.000","2018-06-11T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7032326","2019-05-07T00:00:00.000","2019-06-21T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7032001","2018-05-11T00:00:00.000","2018-05-16T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7032356","2019-06-04T00:00:00.000","2019-08-05T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7032475","2019-01-04T00:00:00.000","2019-02-07T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7032684","2020-05-26T00:00:00.000","2020-06-10T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7032764","2020-08-24T00:00:00.000","2020-09-09T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7032795","2020-09-24T00:00:00.000","2020-10-13T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7008156","2017-10-20T00:00:00.000","2018-02-05T00:00:00.000","Individual","Dental","Claim Handling","Unsatisfactory Settlement/Offer","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7008150","2017-10-13T00:00:00.000","2018-01-02T00:00:00.000","Group","Health Only","Claim Handling","Eligibility of Provider","Claim Settled","Voluntary Reconsideration","6229.00","Closed"
"Cigna Health and Life Insurance Company","7008155","2017-10-20T00:00:00.000","2018-01-09T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7032820","2020-10-16T00:00:00.000","2020-11-10T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033040","2021-06-10T00:00:00.000","2021-06-29T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033051","2021-06-22T00:00:00.000","2021-08-06T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033076","2021-08-02T00:00:00.000","2021-10-05T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7032887","2019-09-03T00:00:00.000","2019-10-28T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7009079","2021-02-03T00:00:00.000","2021-02-03T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7009079","2021-02-03T00:00:00.000","2021-02-03T00:00:00.000","Group","Health Only","Claim Handling","UR DENIAL OF CLAIM",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7009079","2021-02-03T00:00:00.000","2021-02-03T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim",,"Record Only","0.00","Closed"
"Cigna Health and Life Insurance Company","7009079","2021-02-03T00:00:00.000","2021-02-03T00:00:00.000","Group","Health Only","Claim Handling","UR DENIAL OF CLAIM",,"Record Only","0.00","Closed"
"Cigna Health and Life Insurance Company","7033144","2021-10-08T00:00:00.000","2021-10-26T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033090","2021-08-12T00:00:00.000","2021-10-13T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033091","2021-08-16T00:00:00.000","2021-08-27T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033100","2021-08-26T00:00:00.000","2021-09-07T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7033132","2021-09-23T00:00:00.000","2021-12-08T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7010157","2021-07-19T00:00:00.000","2021-08-09T00:00:00.000","Individual","Dental","PolicyHolder Service","Delays/No Response",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7010177","2021-07-20T00:00:00.000","2021-08-09T00:00:00.000","Group","Health Only","Marketing & Sales","Misrepresentation","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7009080","2021-02-03T00:00:00.000","2021-02-03T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7009080","2021-02-03T00:00:00.000","2021-02-03T00:00:00.000","Group","Health Only","Claim Handling","UR DENIAL OF CLAIM",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7009080","2021-02-03T00:00:00.000","2021-02-03T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim",,"Record Only","0.00","Closed"
"Cigna Health and Life Insurance Company","7009080","2021-02-03T00:00:00.000","2021-02-03T00:00:00.000","Group","Health Only","Claim Handling","UR DENIAL OF CLAIM",,"Record Only","0.00","Closed"
"Cigna Health and Life Insurance Company","7009086","2021-02-04T00:00:00.000","2021-02-04T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7009086","2021-02-04T00:00:00.000","2021-02-04T00:00:00.000","Group","Health Only","Claim Handling","UR DENIAL OF CLAIM",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7009086","2021-02-04T00:00:00.000","2021-02-04T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim",,"Record Only","0.00","Closed"
"Cigna Health and Life Insurance Company","7009086","2021-02-04T00:00:00.000","2021-02-04T00:00:00.000","Group","Health Only","Claim Handling","UR DENIAL OF CLAIM",,"Record Only","0.00","Closed"
"Cigna Health and Life Insurance Company","7007360","2021-10-28T00:00:00.000","2021-11-19T00:00:00.000","A & H","A & H","Claim Handling","Claim Procedure","Contract Provision/Legal Issue","Contract Provision","0.00","Closed"
"Cigna Health and Life Insurance Company","7007360","2021-10-28T00:00:00.000","2021-11-19T00:00:00.000","Individual","A & H","Claim Handling","Claim Procedure","Contract Provision/Legal Issue","Contract Provision","0.00","Closed"
"Cigna Health and Life Insurance Company","7007360","2021-10-28T00:00:00.000","2021-11-19T00:00:00.000","A & H","Health Only","Claim Handling","Claim Procedure","Contract Provision/Legal Issue","Contract Provision","0.00","Closed"
