"the_geom","crossing","railroad","rrdiv","rrsubdiv","highway","street","typexing","posxing","effdate","edate","reason","citycd","ttstn","milepost","prvcat","prvind","prvsign","latitude","longitud","llsource","stcyfips","inv_link","acc_link","objectid","statecode","countycode","type","init","whistban","rrcont","polcont","ttstnnam","xpurpose","operatingrailroadcode","operatingrailroadtype","daythru","nghtthru","maintrk","sidingtrk","yardtrk","transittrk","industrytrk","othrtrk","wdcode","revisiondate","lastupdated","crossingclosed","aadt","aadtyear","statename","stateab","countyname","cityname"
"POINT (-81.367699999755 29.871099999765)","273302F","FEC","NORTH","NORTH","pvt","Browns Crossing","2","1","180418","999999","14","121092690","491440","0002.97","11","1",,"29.8710547","-81.3676764","1","1212109","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=273302F","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=273302F","85587","12","12109","0","1","0","8005721522","8005721522","ST AUGUSTINE","1","FEC","Primary","0","0","1","0","0","0","0","0",,"2018-04-18T00:00:00.000Z","2018-04-18T06:49:00.000Z","2",,,"FLORIDA","FL","ST JOHNS","ST AUGUSTINE"
"POINT (-79.75580000007 36.151499999725)","722545Y","NS","BLUE RIDGE","DANVILLE","SR 2531","HILLCROFT ROAD","3","1","220502","999999","14","370811940","412750","0277.440","12",,,"36.1515441","-79.7558211","1","3737081","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=722545Y","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=722545Y","85585","37","37081","0","1","0","8009464744","8009464744","GREENSBORO","1","NS","Primary","6","6","1","0","0","0","0","0","8","2022-05-02T00:00:00.000Z","2022-05-02T12:38:05.000Z","2","1273","2015","NORTH CAROLINA","NC","GUILFORD","GREENSBORO"
"POINT (-111.4820000001 44.045300000195)","811840Y","EIRR","NORTHERN","YELLOWSTONE","pvt","PRIVATE ROAD","2","1","180907","999999","14","160430080","832148","0048.76","11","2",,"44.045265","-111.482147","1","1616043","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=811840Y","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=811840Y","85877","16","16043","0","1","0","2087351047","8663869321","ASHTON","1","EIRR","Primary","1","1","1","0","0","0","0","0",,"2018-09-07T00:00:00.000Z","2018-09-07T15:30:00.000Z","2",,"1977","IDAHO","ID","FREMONT","ASHTON"
"POINT (-111.55100000025 44.005899999885)","811835C","EIRR","NORTHERN","YELLOWSTONE","cr","PRIVATE","2","1","180907","999999","14","160430080","832172","0044.75","11","1",,"44.005924","-111.551376","1","1616043","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=811835C","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=811835C","85876","16","16043","0","1","0","2087351047","8663869321","CHESTER","1","EIRR","Primary","4","4","1","0","0","0","0","0",,"2018-09-07T00:00:00.000Z","2018-09-07T15:27:00.000Z","2","000010","1978","IDAHO","ID","FREMONT","ASHTON"
"POINT (-81.011900000085 29.182900000335)","271948P","FEC","north","north","none","City Golf Course","2","1","180418","999999","14","121270780","491930","0111.75","17","1",,"29.182949","-81.011902","1","1212127","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=271948P","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=271948P","85588","12","12127","0","1","0","8005721522","8005721522","DAYTONA BEACH","2","FEC","Primary","14","7","1","0","0","0","0","0",,"2018-04-18T00:00:00.000Z","2018-04-18T07:33:00.000Z","2","000001","1988","FLORIDA","FL","VOLUSIA","DAYTONA BEACH"
"POINT (-122.86699999965 45.985300000095)","057966B","PNWR","WESTERN","ASTORIA","NA","COLUMBIA STOCK RH","2","1","200717","999999","14","410090820","853134","0037.30","16","1",,"45.9853471","-122.8667951","1","4141009","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=057966B","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=057966B","86030","41","41009","0","1","0","8008002203","8008002203","GOBLE","1","PNWR","Primary","0","0","1","0","0","0","0","0",,"2020-07-17T00:00:00.000Z","2020-07-17T17:27:29.000Z","2",,"1988","OREGON","OR","COLUMBIA","GOBLE"
"POINT (-111.47500000015 44.050999999551)","811842M","EIRR","NORTHERN","YELLOWSTONE","pvt","PRIVATE ROAD","2","1","180907","999999","14","160430080","832148","0049.24","16","2",,"44.051037","-111.475212","1","1616043","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=811842M","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=811842M","85875","16","16043","0","1","0","2087351047","8663869321","ASHTON","1","EIRR","Primary","1","1","1","0","0","0","0","0",,"2018-09-07T00:00:00.000Z","2018-09-07T15:25:00.000Z","2",,"1970","IDAHO","ID","FREMONT","ASHTON"
"POINT (-90.05100000005 32.58780000007)","931921E","IC","DELTA","CANTON","PVT","PRIVATE ROAD","2","1","210621","999999","14","280890400","485650","0707.840","14","2",,"32.587789","-90.050991","2","2828089","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=931921E","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=931921E","110166","28","28089","0","1","0","8888885909","8004659239","CANTON","1","IC","Primary","0","0","0","0","0","0","1","0",,"2021-06-21T00:00:00.000Z","2021-06-21T13:06:38.000Z","2","1",,"MISSISSIPPI","MS","MADISON","CANTON"
"POINT (-101.4439999998 47.82259999979)","693235X","SOO","EAST","NEWTOWN","field access","40TH AVE NW Field access","3","1","211220","999999","14","381010830","516127","0473.940","11",,,"47.8226001","-101.443529","1","3838055","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=693235X","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=693235X","108886","38","38055","0","1","0","8007169132","8007169132","DOUGLAS","1","SOO","Primary","2","2","1","0","0","0","0","0","3","2021-12-20T00:00:00.000Z","2021-12-20T16:19:33.000Z","2","000001","2018","NORTH DAKOTA","ND","MCLEAN","DOUGLAS"
"POINT (-82.504300000045 36.272699999605)","731217F","NS","GULF","BRISTOL LINE","LR","RIDGE RD","3","1","220509","999999","14","471791260","421770","0035.150","16",,,"36.2726953","-82.5043374","2","4747179","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=731217F","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=731217F","110172","47","47179","0","1","0","8009464744","8009464744","JONESBOROUGH","1","NS","Primary","4","5","1","0","0","0","0","0","7","2022-05-09T00:00:00.000Z","2022-05-09T11:26:59.000Z","2","000366","2006","TENNESSEE","TN","WASHINGTON","JONESBORO"
"POINT (-79.979499999925 36.75280000002)","470697W","NS","BLUE RIDGE","WINSTON-SALEM","SR 1228","GOVERNOR STANLEY HIGHWAY","3","1","220509","999999","14","510890120","266343","0057.360","14",,,"36.7528267","-79.9794554","1","5151089","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=470697W","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=470697W","110170","51","51089","0","1","0","8009464744","8009464744","BASSETT","1","NS","Primary","3","3","1","0","0","0","0","0","8","2022-05-09T00:00:00.000Z","2022-05-09T11:26:54.000Z","2","002100","2012","VIRGINIA","VA","HENRY","BASSETT"
"POINT (-122.87899999995 46.021899999885)","057970R","PNWR","WESTERN","ASTORIA","NA","PVT XING","2","1","200717","999999","14","410090820","853134","0039.86","12","2",,"46.0219341","-122.8788541","1","4141009","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=057970R","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=057970R","86032","41","41009","0","1","0","8008002203","8008002203","GOBLE","1","PNWR","Primary","0","0","1","0","0","0","0","0",,"2020-07-17T00:00:00.000Z","2020-07-17T17:27:35.000Z","2",,"1988","OREGON","OR","COLUMBIA","GOBLE"
"POINT (-80.60980000027 37.23420000013)","469598C","NS","BLUE RIDGE","WHITETHORNE","SR 625","BIG FALLS ROAD","3","1","220502","999999","14","511211522","267115","0293.310","12",,,"37.2341703","-80.6098083","1","5151121","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=469598C","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=469598C","85586","51","51121","0","1","0","8009464744","8009464744","EGGLESTON","1","NS","Primary","2","3","1","0","0","0","0","0","8","2022-05-02T00:00:00.000Z","2022-05-02T12:38:08.000Z","2","000419","2012","VIRGINIA","VA","MONTGOMERY","MCCOY"
"POINT (-82.51819999983 36.262900000035)","731219U","NS","GULF","BRISTOL LINE","LR","SAND VALLEY RD","3","1","220509","999999","14","471791260","421783","0036.180","12",,,"36.2629143","-82.5181574","2","4747179","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=731219U","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=731219U","110169","47","47179","0","1","0","8009464744","8009464744","TELFORD","1","NS","Primary","4","5","1","1","0","0","0","1","8","2022-05-09T00:00:00.000Z","2022-05-09T11:26:51.000Z","2","002100","2006","TENNESSEE","TN","WASHINGTON","JONESBORO"
"POINT (-92.886099999715 39.218)","293432G","KCS","North","Mexico","NA","PRIVATE ROAD","2","1","220328","999999","14","290893120","569122","0383.690","16","1",,"39.218046","-92.886117","1","2929195","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=293432G","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=293432G","92889","29","29195","0","1","0","3186766296","8775279464","569122","1","KCS","Primary","3","3","1","1","0","0","0","0",,"2022-03-28T00:00:00.000Z","2022-03-28T06:44:31.000Z","2","2","1989","MISSOURI","MO","SALINE","GLASGOW"
"POINT (-84.63439999986 44.574500000375)","250993B","LSRC","#N\A","HURON","US-23","US 23","3","1","170217","999999","14","260012058","317190","0085.60","11",,,"44.57452","-84.634354","2","2626001","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=250993B","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=250993B","79862","26","26001","0","1","0","9897577560","8004532530","greenbush","1","LSRC","Primary","1","1","1","0","0","0","0","0","7","2017-02-17T00:00:00.000Z","2017-02-17T15:02:46.000Z","2","003300","1993","MICHIGAN","MI","ALCONA","GREENBUSH"
"POINT (-76.986499999575 34.995900000085)","722686H","NS","BLUE RIDGE","ECBU","SR 1108","RIVERDALE ROAD","3","1","220509","999999","14","370492337","405547","0067.520","12",,,"34.9958661","-76.9864503","1","3737049","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=722686H","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=722686H","54901","37","37049","0","1","0","8009464744","8009464744","RIVERDALE","1","NS","Primary","1","0","1","0","0","0","0","0","8","2022-05-09T00:00:00.000Z","2022-05-09T17:12:22.000Z","2","759","2015","NORTH CAROLINA","NC","CRAVEN","JAMES CITY"
"POINT (-104.0120000001 32.530299999645)","020092U","BNSF","SOUTHWEST","MINES","ST 360","NM360 POTASH RD","3","1","201201","999999","14","350150130","889537","0014.778","11",,,"32.5302946","-104.01199","1","3535015","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=020092U","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=020092U","130290","35","35015","0","2","0","8173521549","8008325452","GETTY","1","BNSF","Primary","0","0","1","0","0","0","0","0","7","2020-12-01T00:00:00.000Z","2020-12-01T17:58:34.000Z","2","000911","2014","NEW MEXICO","NM","EDDY","CARLSBAD"
"POINT (-118.3120000003 33.81820000023)","028106C","BNSF","CALIFORNIA","HARBOR","ls","SEPULVEDA BLVD","3","1","210803","999999","14","060373870","883683","0022.780","12",,,"33.818237","-118.312005","1","066037","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=028106C","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=028106C","145180","6","6037","0","1","0","8173521549","8008325452","TORRANCE","1","BNSF","Primary","2","2","1","0","0","0","0","0","8","2021-08-03T00:00:00.000Z","2021-08-03T13:17:21.000Z","2","46647","2016","CALIFORNIA","CA","LOS ANGELES","TORRANCE"
"POINT (-82.743699999955 37.534999999551)","228034D","CSX","SOUTHERN WEST","E AND B V","KY-2030","036 KY-2030","3","1","211104","999999","14","210712180","284467","0002.870","12",,,"37.5349581","-82.7436721","1","2121071","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=228034D","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=228034D","75448","21","21071","0","1","0","9043663051","8002320144","SALISBURY","1","CSX","Primary","0","0","1","0","0","0","1","0","3","2021-11-04T00:00:00.000Z","2021-11-04T18:20:45.000Z","2","754","2016","KENTUCKY","KY","FLOYD","MARTIN"
"POINT (-91.237099999665 41.32960000014)","976023D","DME","EAST","OTTUMWA","PEDESTRIAN","PEDESTRIAN","2","1","220113","999999","14","191154710",,"0232.530","11","2",,"41.32964","-91.2371329","1","1919115","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=976023D","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=976023D","82679","19","19115","0","1",,"8007169132","8007169132","LETTS","1","DME","Primary","4","3","1","0","0","0","0",,,"2022-01-13T00:00:00.000Z","2022-01-13T16:53:15.000Z","2",,,"IOWA","IA","LOUISA","LETTS"
"POINT (-96.40019999993 30.166299999945)","022851H","BNSF","RED RIVER","GALVESTON","BU 0290","W ALAMO ST","3","1","200903","999999","14","484770880","597453","0126.100","13",,,"30.1663312","-96.400188","1","4848477","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=022851H","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=022851H","196396","48","48477","0","1","1","8173521549","8008325452",,"1","BNSF","Primary","10","10","1","0","0","0","0","0","8","2020-09-03T00:00:00.000Z","2020-09-03T11:45:47.000Z","2","011100","2009","TEXAS","TX","WASHINGTON","BRENHAM"
"POINT (-93.18119999978 39.56059999979)","005284Y","BNSF","CHICAGO","MARCELINE","CR 113","CO RD 113","3","1","220727","999999","14","290415110","565740","0363.876","11",,,"39.560581","-93.181186","1","2929041","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=005284Y","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=005284Y","106727","29","29041","0","2","0","8173521549","8008325452","MENDON","1","BNSF","Primary","29","29","2","0","0","0","0","0","3","2022-07-27T00:00:00.000Z","2022-07-27T17:30:25.000Z","2","000005","1989","MISSOURI","MO","CHARITON","MENDON"
"POINT (-83.629100000265 32.67659999959)","729373S","NS","COASTAL","MACON","PVT","PRIVATE ROAD","2","1","220108","999999","14","130213390","463280","0011.650","16","1",,"32.6765873","-83.6291235","1","1313021","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=729373S","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=729373S","210294","13","13021","0","1","0","8009464744","8009464744","AVONDALE","1","NS","Primary","8","9","1","0","0","0","0","0",,"2022-01-08T00:00:00.000Z","2022-01-08T02:35:50.000Z","2",,"1970","GEORGIA","GA","BIBB","MACON"
"POINT (-77.863500000125 40.91240000006)","506280F","NBER","#N\A","#N\A","FM","FARM","2","1","211229","999999","14","420298692","211536","0026.50","16","2",,"40.9124111","-77.8635317","1","4242027","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=506280F","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=506280F","36424","42","42027","0","1","0","5704737949","8776352929","MILE","1","NBER","Primary","4","0","1","0","0","0","0","0",,"2021-12-29T00:00:00.000Z","2021-12-29T09:48:56.000Z","2","000001","1970","PENNSYLVANIA","PA","CENTRE","UNIONVILLE"
"POINT (-79.501700000355 35.195099999665)","902799L","ACWR","SANDHILL","#N\A","NON","GOLF CART","2","1","171106","999999","14","371253600",,"0048.900","12","2",,"35.1950515","-79.5016727","1","3737125","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=902799L","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=902799L","18104","37","37125","0","1","0","9109744219","8775336913",,"1","ACWR","Primary","0","0","1","0","0","0","0","0",,"2017-11-06T00:00:00.000Z","2017-11-06T16:11:00.000Z","2",,,"NORTH CAROLINA","NC","MOORE","PINEHURST"
