"agency","housing_type","address","city","phone_number","clientele","population_served","additional_information","website","location"
"City of San Diego
Cortez Hill Family Center (YWCA)","Transitional Shelter","1012 C Street","San Diego","(619) 531-8937","Families","Homeless","Beds: 150
Max Stay: 30 Days",,"1012 C Street
San Diego, CA 92101
(32.716793, -117.155301)"
"City of San Diego
Information Center","Winter Shelter",,"San Diego","(619) 236-5555",,,,,"
San Diego,  
(32.71576, -117.163817)"
"City of San Diego
Veteran's Winter Shelter","Winter Shelter","2801  Sports Arena Blvd","San Diego","(619) 497-0142","Adult Men","Veterans","Beds: 150
Max Stay: 4 Months",,"2801 Sports Arena Blvd
San Diego, CA 92110
(32.749509, -117.201927)"
"Coast Hotel","Single Room Occupancy
Hotels","501 7th Avenue","San Diego","(619) 239-4604","Low Income",,,,"501 7th Avenue
San Diego, CA 92101
(32.710588, -117.158316)"
"Cobblestone Village Apts.","Affordable Housing","360 E. Washington Avenue","Escondido","(760) 741-9075","Low Income",,"Units: 44
Bedrooms: 3",,"360 E. Washington Avenue
Escondido, CA 92025
(33.128039, -117.080349)"
"Colina Park North Apts.","Affordable Housing","4333 Dawson Avenue","San Diego","(619) 583-7512","Low Income",,"Units: 63
Bedrooms: ",,"4333 Dawson Avenue
San Diego, CA 92115
(32.755716, -117.082593)"
"Columbia Tower","Affordable Housing","904 State Street","San Diego","(619) 696-0201","Elderly","Seniors 62+","Units: 150
Bedrooms: Studio-1",,"904 State Street
San Diego, CA 92101
(32.714907, -117.166499)"
"Community Housing Works
Centro","Transitional Shelter","1820 S. Escondido Blvd., #101","Escondido","(760) 432-6878
ext. 5470","Families","Homeless","Beds: 68
Max Stay: 24 Months",,"1820 S. Escondido Blvd
Escondido, CA 92025
(33.102606, -117.07167)"
"Community Housing Works
Hillside Village","Permanent Supportive Housing","1820 S. Escondido Blvd., Suite 101","Escondido","(760) 432-6878","Adult Men/ Women","Homeless","Beds: 6
Max Stay: Unlimited",,"1820 S. Escondido Blvd
Escondido, CA 92025
(33.102606, -117.07167)"
"Community Housing Works
Las Casitas","Permanent Supportive Housing","1820 S. Escondido Blvd., Suite 101","Escondido","(760) 432-6878","Families","Substance Abuse","Beds: 50
Max Stay: Unlimited",,"1820 S. Escondido Blvd
Escondido, CA 92025
(33.102606, -117.07167)"
"Community Housing Works
Marisol Apartments","Permanent Supportive Housing","1119 Tremont Street","Oceanside","(760) 966-7407","Adult Men/ Women","HIV/AIDS","Beds: 21
Max Stay: Unlimited",,"1119 Tremont Street
Oceanside, CA 92054
(33.184147, -117.370831)"
"Community Housing Works
Old Grove Apartments","Permanent Supportive Housing","235 Via Pelicano","Oceanside","(760) 433-4858","Families","Farm Laborers","Beds:40
Max Stay: Unlimited",,"235 Via Pelicano
Oceanside, CA 92054
(33.22716, -117.306815)"
"Community Housing Works
Old Grove Apartments","Permanent Supportive Housing","235 Via Pelicano","Oceanside","(760) 433-4858","Adult Men/ Women","HIV/AIDS","Beds: 4
Max Stay: Unlimited",,"235 Via Pelicano
Oceanside, CA 92054
(33.22716, -117.306815)"
"Community Housing Works
San Diego","Permanent Supportive Housing","4305 University Avenue, Suite 550","Escondido","(619) 282-6647","Families","Homeless","Beds:
Max Stay: Unlimited",,"4305 University Avenue
Escondido, CA 92105
(32.749621, -117.101428)"
"Community Research Foundation
Areta Crowell Center","Transitional Shelter","1963 4th Avenue","San Diego","(619) 233-7757","Adult Men/ Women","Severely Mentally Ill","No Overnight",,"1963 4th Avenue
San Diego, CA 92101
(32.725927, -117.161156)"
"Community Research Foundation:
Halcyon Crisis Center","Emergency Shelter","1664 Broadway","El Cajon","(619) 579-8685","Adult Men/ Women","Acute Mentally ill","Beds: 12
Max Stay: 7-10 Days",,"1664 Broadway
El Cajon, CA 92021
(32.807713, -116.918398)"
"Community Research Foundation
Isis Center","Emergency Shelter","892 27th Street","San Diego","(619) 575-4687","Adult Men/ Women","Severely Mentally Ill","Beds: 12
Max Stay: 14 Days",,"892 27th Street
San Diego, CA 92154
(32.581141, -117.075459)"
"Community Research Foundation
Isis Center","Transitional Shelter","892 27th Street","San Diego","(619) 575-4687","Adult Men/ Women","Severely Mentally Ill","Beds: 
Max Stay: 7-10 Days",,"892 27th Street
San Diego, CA 92154
(32.581141, -117.075459)"
"Community Research Foundation
Jary Barreto Crisis Center","Emergency Shelter","2865 Logan Avenue","San Diego","(619) 232 –4357","Adult Men/ Women","Severely Mentally Ill","Beds: 12
Max Stay: 14 Days",,"2865 Logan Avenue
San Diego, CA 92113
(32.696979, -117.132422)"
"Community Research Foundation
New Vista Crisis Center","Transitional Shelter","734 10th Avenue","San Diego","(619) 239-4663","Adult Men/ Women","Severely Mentally Ill ;
Substance Abuse Treatment","Beds: 14
Max Stay: 9-10 Days",,"734 10th Avenue
San Diego, CA 92101
(32.713044, -117.155599)"
"Community Research Foundation
New Vistas Crisis Center","Emergency Shelter","734 10th Avenue","San Diego","(619) 239-4663","Adult Men/ Women","Severely Mentally Ill ;
Substance Abuse","Beds: 14
Max Stay: 10-14 Days",,"734 10th Avenue
San Diego, CA 92101
(32.713044, -117.155599)"
"Community Research Foundation
Semi Supervised Living Project","Permanent Supportive Housing","1963 4th Avenue","San Diego","(619) 233-3432","Adult Men/ Women","Severely Mentally Ill","Beds: 37
Max Stay: Unlimited",,"1963 4th Avenue
San Diego, CA 92101
(32.725927, -117.161156)"
"Community Research Foundation
Turning Point Crisis Center","Emergency Shelter","1738 S. Tremont Street","Oceanside","(760) 439-2800","Adult Men/ Women","Severely Mentally Ill","Beds: 11
Max Stay: 7-10 Days",,"1738 S. Tremont Street
Oceanside, CA 92054
(33.175077, -117.363185)"
"Community Research Foundation
Vista Balboa Crisis Center","Emergency Shelter","545 Laurel Street","San Diego","(619) 233-4399","Adult Men/ Women","Severely Mentally Ill","Beds: 16
Max Stay: 14 Days",,"545 Laurel Street
San Diego, CA 92101
(32.731379, -117.159702)"
"Community Research Foundation
Vista Balboa Crisis Center","Transitional Shelter","545 Laurel Street","San Diego","(619) 233-4399","Adult Men/ Women","Severely Mentally Ill","Beds: 14
Max Stay: 14 Days",,"545 Laurel Street
San Diego, CA 92101
(32.731379, -117.159702)"
"Community Resource Center
Libre","Transitional Shelter","650 2nd Street","Encinitas","(760) 942-5485","Women and Children","Victims of 
Domestic Violence","Beds: 14
Max Stay: 45 Months",,"650 2nd Street
Encinitas, CA 92024
(33.043872, -117.294514)"
"Community Resource Center:
Libre!-Admin","Emergency Shelter","650 2nd Street","Encinitas","(760) 753-1156","Women and Children","Victims of 
Domestic Violence","Beds: 12
Max Stay: 18 Months",,"650 2nd Street
Encinitas, CA 92024
(33.043872, -117.294514)"
"Community Resource Center:
Libre!-Services for Women & Children","Emergency Shelter","650 2nd Street","Encinitas","(760) 633-1111","Women and Children","Victims of 
Domestic Violence","Beds: 24
Max Stay: 45 Days",,"650 2nd Street
Encinitas, CA 92024
(33.043872, -117.294514)"
"Congregational Tower Apts.","Affordable Housing","288 F Street","Chula Vista","(619) 420-8700","Elderly","Seniors 62+","Units: 186
Bedrooms: Studio-1",,"288 F Street
Chula Vista, CA 91910
(32.641482, -117.079122)"
"Copper Creek Apartments","Affordable Housing","1730 Elfin Forest Road","San Marcos","(760) 510-0210","Families",,"Units: 202
Bedrooms: 1-3","www.bridgehousing.com/properties/family/san-diego/san-marcos/copper-creek  ","1730 Elfin Forest Road
San Marcos, CA 92078
(33.094264, -117.195007)"
"Cordova Village Apts.","Affordable Housing","1280 East J Street","Chula Vista","(619) 482-6840","Low Income",,"Units: 40
Bedrooms: 2-4",,"1280 East J Street
Chula Vista, CA 91910
(32.632973, -117.005335)"
"Coronado Pacific Investments","Affordable Housing","924 Orange Avenue","Coronado","(619) 325-1922","Low Income",,"Units: 11
Bedrooms: Studios",,"924 Orange Avenue
Coronado, CA 92118
(32.686782, -117.179449)"
"Coronado Terrace I & II","Affordable Housing","1151 25th Street","San Diego","(619) 423-5804","Low Income",,"Units: 312
Bedrooms: 2-3",,"1151 25th Street
San Diego, CA 92154
(32.574552, -117.07822)"
"Country Club Apts.","Affordable Housing","201 Country Club Lane","Oceanside","(760) 433-8244","Low Income",,"Units: 90
Bedrooms: Studio-2",,"201 Country Club Lane
Oceanside, CA 92054
(33.198812, -117.365182)"
"Crandall Apts.","Affordable Housing","2154 Garston Street","San Diego","(858) 279-6060","Low Income",,"Units: 144
Bedrooms: 2-3",,"2154 Garston Street
San Diego, CA 92111
(32.78345, -117.165873)"
"CRASH, Inc. 
Golden Hill House 2","Transitional Shelter","446 26th Street, 5th Floor","San Diego","(619) 239-9691","Adult Men/ Women","Substance Abuse Treatment","Beds: 62
Max Stay: 6 Months",,"446 26th Street
San Diego, CA 92102
(32.709786, -117.138127)"
"CRASH, Inc. 
Short-Term City Heights","Transitional Shelter","4161 Marlborough Avenue","San Diego","(619) 282-7274","Adult Men","Substance Abuse Treatment","Beds: 50
Max Stay: 3 Months",,"4161 Marlborough Avenue
San Diego, CA 92105
(32.754707, -117.106149)"
"CRASH, Inc. 
Short-Term Two","Transitional Shelter","2410 E. Street","San Diego","(619) 234-3346","Adult Women","Substance Abuse Treatment","Beds: 43
Max Stay: 3 Months",,"2410 E. Street
San Diego, CA 92102
(32.714741, -117.142216)"
"Creekside Trails","Affordable Housing","2129 Coronado Avenue","San Diego","(619) 869-7023","Families",,"Units: 50
Bedrooms: 1-3",,"2129 Coronado Avenue
San Diego, CA 92154
(32.576493, -117.086823)"
"Creekside Village Apts.","Affordable Housing","4685 Nogal Street","San Diego","(619) 263-2686","Low Income",,"Units: 43
Bedrooms: 2,4",,"4685 Nogal Street
San Diego, CA 92102
(32.705937, -117.094252)"
"Crisis House
Adults with Disabilities","Transitional Shelter","1034 N. Magnolia Avenue","El Cajon","(619) 444-1194","Adult Men/ Women","Homeless","Beds: 12
Max Stay: 6-12 Months",,"1034 N. Magnolia Avenue
El Cajon, CA 92020
(32.80946, -116.962728)"
"Crisis House
Family Shelter","Transitional Shelter","1034 N. Magnolia Avenue","El Cajon","(619) 444-1194","Families","Victims of 
Domestic Violence","Beds: 24
Max Stay: 12 Months",,"1034 N. Magnolia Avenue
El Cajon, CA 92020
(32.80946, -116.962728)"
