"subdesc","lic_num","propname","propstreet","propcity","propprovince","proppostal","location_geocode"
"Bingo - Bingo - Exempt","004614-19","004614-19","4821 Hwy #1","Salmon River","NS","B0W 2Y0","4821 Hwy #1
Salmon River, NS B0W 2Y0
(44.048018, -66.160622)"
"Bingo - Bingo - Charity Religious","104195-20","104195-20","2317 King's RD","Sydney","NS","B1L 1C1","2317 King's RD
Sydney, NS B1L 1C1
(46.070429, -60.278782)"
"Bingo - Bingo - Charity Religious","103886-21","103886-21","15438 Main ST","Cheticamp","NS","B0E 1H0",
"Bingo - Bingo - Charity Religious","109182-20","109182-20","4 Beaverbank RD","Lower Sackville","NS","B4G 1G3","4 Beaverbank RD
Lower Sackville, NS B4G 1G3
(44.777097, -63.695511)"
"Bingo - Bingo - Exempt","100118-20","100118-20","6 Fraser AV","Sydney Mines","NS","B1V 3E1","6 Fraser AV
Sydney Mines, NS B1V 3E1
(46.24169, -60.231364)"
"Bingo - Bingo - Exempt","003200-14","003200-14","10 Spruce ST","Lockeport","NS","B0T 1L0","10 Spruce ST
Lockeport, NS B0T 1L0
(43.699857, -65.113445)"
"Bingo - Bingo - Exempt","172740-15","172740-15","7193 East Bay Hwy","Big Pond","NS","B1J 1V2","7193 East Bay Hwy
Big Pond, NS B1J 1V2
(45.912524, -60.532528)"
"Bingo - Bingo - Exempt","100072-21","100072-21","22 Power's RD","Mushaboom","NS","B0J 3H0","22 Power's RD
Mushaboom, NS B0J 3H0
(44.851069, -62.537262)"
"Bingo - Bingo - Charity Religious","108420-20","108420-20","11 Shore RD","Jordan Bay","NS","B0T 1W0","11 Shore RD
Jordan Bay, NS B0T 1W0
(43.739547, -65.388131)"
"Bingo - Bingo - Charity Religious","101276-21","101276-21","1034 Pomquet Monkshead RD","Pomquet","NS","B2G 2L4","1034 Pomquet Monkshead RD
Pomquet, NS B2G 2L4
(45.626019, -61.842891)"
"Bingo - Bingo - Charity Religious","109620-21","109620-21","353 Highway #2","Lower Five Islands","NS","B0M 1N0","353 Highway #2
Lower Five Islands, NS B0M 1N0
(45.411892, -64.084684)"
"Bingo - Bingo - Exempt","223761-21","223761-21","4176 Highway 209","Advocate","NS","B0M 1A0","4176 Highway 209
Advocate, NS B0M 1A0
(45.332644, -64.749907)"
"Bingo - Bingo - Exempt","103158-20","103158-20","9793 Highway#8","Caledonia","NS","B0T 1B0","9793 Highway#8
Caledonia, NS B0T 1B0
(44.37593, -65.028276)"
"Bingo - Bingo - Charity Religious","113772-20","113772-20","1482 Veterans LN","Kingston","NS","B0P 1R0","1482 Veterans LN
Kingston, NS B0P 1R0
(44.987064, -64.947647)"
"Bingo - Bingo - Exempt","125688-17","125688-17","37 Oregon RD","North River Ctr","NS","B0E 1B0","37 Oregon RD
North River Ctr, NS B0E 1B0
(46.309684, -60.623059)"
"Bingo - Bingo - Charity Religious","115906-20","115906-20","209 Dodge RD","Wilmot","NS","B0P 1W0","209 Dodge RD
Wilmot, NS B0P 1W0
(44.96219, -64.998222)"
"Bingo - Bingo - Exempt","104569-20","104569-20","199 Windmill RD","Dartmouth","NS","B3A 1G1","199 Windmill RD
Dartmouth, NS B3A 1G1
(44.671372, -63.585958)"
"Bingo - Bingo - Charity Religious","108425-20","108425-20","137 Main ST","Dartmouth","NS","B2X 1R6","137 Main ST
Dartmouth, NS B2X 1R6
(44.681993, -63.538719)"
"Bingo - Bingo - Exempt","103945-18","103945-18","2699 Amiraults Hill RD","Amirault's Hill","NS","B0W 3M0",
"Bingo - Bingo - Exempt","103772-20","103772-20","899 Main ST","Sydney Mines","NS","B1V 1R5","899 Main ST
Sydney Mines, NS B1V 1R5
(46.24158, -60.23562)"
"Bingo - Bingo - Charity Religious","106641-19","106641-19","1596 Main ST","River Hebert","NS","B0L 1G0",
"Bingo - Bingo - Exempt","001129-20","001129-20","2868 Hwy 316","Port Felix","NS","B0H 1T0","2868 Hwy 316
Port Felix, NS B0H 1T0
(45.249246, -61.218991)"
"Bingo - Bingo - Charity Religious","118241-20","118241-20","13 Electric ST","Amherst","NS","B4H 3Z3","13 Electric ST
Amherst, NS B4H 3Z3
(45.832308, -64.212447)"
"Bingo - Bingo - Exempt","142017-19","142017-19","1134 Union ST","Canso","NS","B0H 1H0","1134 Union ST
Canso, NS B0H 1H0
(45.337458, -61.000705)"
"Bingo - Bingo - Charity Religious","113779-20","113779-20","276 Windmill RD","Dartmouth","NS","B3A 1G8","276 Windmill RD
Dartmouth, NS B3A 1G8
(44.67591, -63.59066)"
"Bingo - Bingo - Charity Religious","104953-21","104953-21","8921 Highway #10 ST","Nictaux Falls","NS","B0S 1P0","8921 Highway #10 ST
Nictaux Falls, NS B0S 1P0
(44.910509, -65.034596)"
"Bingo - Bingo - Exempt","103756-21","103756-21","4281 Walton Woods RD","Walton","NS","B0N 2R0","4281 Walton Woods RD
Walton, NS B0N 2R0
(45.228356, -64.002774)"
"Bingo - Bingo - Charity Religious","004445-20","004445-20","5473 Route 19","Judique","NS","B0E 1P0","5473 Route 19
Judique, NS B0E 1P0
(45.878038, -61.491021)"
"Bingo - Bingo - Charity Religious","100091-21","100091-21","35 Empire LN","Windsor","NS","B0N 2T0","35 Empire LN
Windsor, NS B0N 2T0
(44.992252, -64.126502)"
"Bingo - Bingo - Exempt","100087-21","100087-21","8845 Hwy #2","Southampton","NS","BOM 1W0","8845 Hwy #2
Southampton, NS BOM 1W0
(45.591772, -64.248648)"
"Bingo - Bingo - Charity Religious","108380-21","108380-21","500 Main ST","Liverpool","NS","B0T 1K0","500 Main ST
Liverpool, NS B0T 1K0
(44.036677, -64.722211)"
"Bingo - Bingo - Exempt","001872-21","001872-21","3306 Highway 217","Tiverton","NS","B0V 1G0","3306 Highway 217
Tiverton, NS B0V 1G0
(44.391408, -66.212819)"
"Bingo - Bingo - Charity Religious","100076-21","100076-21","Lefort RD","Cheticamp","NS","B0E 1H0",
"Bingo - Bingo - Charity Religious","220738-20","220738-20","106 Reserve ST","Glace Bay","NS","B1A 4W5","106 Reserve ST
Glace Bay, NS B1A 4W5
(46.192109, -59.972296)"
"Bingo - Bingo - Charity Religious","113795-20","113795-20","50 Hillcrest ST","Halifax","NS","B3N 2X5","50 Hillcrest ST
Halifax, NS B3N 2X5
(44.655273, -63.643133)"
"Bingo - Bingo - Charity Religious","310166-21","310166-21","2885 Robie ST","Halifax","NS",,"2885 Robie ST
Halifax, NS 
(44.658492, -63.600548)"
"Bingo - Bingo - Exempt","107562-21","107562-21","7569 Main ST","Louisbourg","NS","B1C 1J9","7569 Main ST
Louisbourg, NS B1C 1J9
(45.918916, -59.975865)"
"Bingo - Bingo - Exempt","000208-20","000208-20","624 Whitehead RD","Larrys River","NS","B0H 1T0","624 Whitehead RD
Larrys River, NS B0H 1T0
(45.224979, -61.182136)"
"Bingo - Bingo - Exempt","104091-17","104091-17","1596 Main ST","River Hebert","NS","B0L 1G0",
"Bingo - Bingo - Exempt","200590-15","200590-15","3276 Hwy.   320 .","D'Escousse","NS","B0E 1K0","3276 Hwy.   320 .
D'Escousse, NS B0E 1K0
(45.588113, -60.964311)"
"Bingo - Bingo - Charity Religious","117881-21","117881-21","7 Sussex ST","Halifax","NS","B3R 2L1","7 Sussex ST
Halifax, NS B3R 2L1
(44.611202, -63.618332)"
"Bingo - Bingo - Charity Religious","115911-20","115911-20","133 First Lake DR","Sackville","NS","B4C 3J9","133 First Lake DR
Sackville, NS B4C 3J9
(44.777236, -63.667365)"
"Bingo - Bingo - Charity Religious","109169-20","109169-20","795 Trunk 1","Comeauville","NS","B0W 1M0",
"Bingo - Bingo - Exempt","145710-20","145710-20","15473 Highway 7 .","East Ship Harbour","NS",,"15473 Highway 7 .
East Ship Harbour, NS 
(44.777548, -62.787674)"
"Bingo - Bingo - Charity Religious","104268-20","104268-20","6 Fraser AV","Sydney Mines","NS","B1V 3E1","6 Fraser AV
Sydney Mines, NS B1V 3E1
(46.24169, -60.231364)"
"Bingo - Bingo - Charity Religious","113798-20","113798-20","64 Forties RD","New Ross","NS","B0J 2M0","64 Forties RD
New Ross, NS B0J 2M0
(44.736093, -64.460589)"
"Bingo - Bingo - Charity Religious","104539-18","104539-18","101 Upper McLean ST","Glace Bay","NS","B1A 0A5","101 Upper McLean ST
Glace Bay, NS B1A 0A5
(46.190448, -59.960621)"
"Bingo - Bingo - Exempt","105257-15","105257-15","3168 ""A"" Highway #7","Lake Echo","NS","B3E 1B2","3168 ""A"" Highway #7
Lake Echo, NS B3E 1B2
(44.738652, -63.38725)"
"Bingo - Bingo - Charity Religious","006693-20","006693-20","6903 Mumford RD","Halifax","NS","B3L 2H4","6903 Mumford RD
Halifax, NS B3L 2H4
(44.645668, -63.615432)"
"Bingo - Bingo - Charity Religious","113460-20","113460-20","2008 Highway #1","Clementsport","NS","B0S 1E0","2008 Highway #1
Clementsport, NS B0S 1E0
(44.674818, -65.604463)"
"Bingo - Bingo - Charity Religious","108440-20","108440-20","5663 Highway 7 .","Antigonish","NS","B2G 2L9","5663 Highway 7 .
Antigonish, NS B2G 2L9
(45.608427, -61.998924)"
"Bingo - Bingo - Charity Religious","100082-21","100082-21","23566 Watt Section","Sheet Harbour","NS","B0J 3B0",
"Bingo - Bingo - Charity Religious","108428-20","108428-20","1076  Hwy 2","Lantz","NS","B2S 1M8","1076  Hwy 2
Lantz, NS B2S 1M8
(44.984684, -63.486643)"
"Bingo - Bingo - Charity Religious","102641-20","102641-20","703 Main ST","Dartmouth","NS","B2W 3T6","703 Main ST
Dartmouth, NS B2W 3T6
(44.697344, -63.494625)"
"Bingo - Bingo - Exempt","002981-15","002981-15","1765 Ostrea Lake RD","Musquodoboit  Hbr.","NS","B0J 2L0","1765 Ostrea Lake RD
Musquodoboit  Hbr., NS B0J 2L0
(44.721171, -63.07719)"
"Bingo - Bingo - Charity Religious","111595-20","111595-20","184 Kinburn ST","Mahone Bay","NS","B0J 2E0","184 Kinburn ST
Mahone Bay, NS B0J 2E0
(44.447636, -64.386053)"
"Bingo - Bingo - Charity Religious","111592-20","111592-20","17 Conney's LN","Arichat","NS","B0E 1A0",
"Bingo - Bingo - Charity Religious","112401-20","112401-20","72 Park ST","New Glasgow","NS","B2H 5B8","72 Park ST
New Glasgow, NS B2H 5B8
(45.570542, -62.640346)"
"Bingo - Bingo - Exempt","127195-20","127195-20","905 Main ST","Little Dover","NS","B0H 1V0","905 Main ST
Little Dover, NS B0H 1V0
(45.331158, -61.015413)"
"Bingo - Bingo - Exempt","105053-19","105053-19","342 Chemin de la Pointe","Hubbards Point","NS","B0W 3M0","342 Chemin de la Pointe
Hubbards Point, NS B0W 3M0
(43.831291, -65.978917)"
"Bingo - Bingo - Exempt","234494-15","234494-15","7569 Main ST","Louisbourg","NS","B1C 1J9","7569 Main ST
Louisbourg, NS B1C 1J9
(45.918916, -59.975865)"
"Bingo - Bingo - Charity Religious","115927-20","115927-20","133 First Lake DR","Sackville","NS","B4C 3J9","133 First Lake DR
Sackville, NS B4C 3J9
(44.777236, -63.667365)"
"Bingo - Bingo - Charity Religious","108439-20","108439-20","3168 ""A"" Highway #7","Lake Echo","NS","B3E 1B2","3168 ""A"" Highway #7
Lake Echo, NS B3E 1B2
(44.738652, -63.38725)"
"Bingo - Bingo - Charity Religious","101045-19","101045-19","10 Elgin ST","Springhill","NS","B0M 1X0","10 Elgin ST
Springhill, NS B0M 1X0
(45.650176, -64.059838)"
"Bingo - Bingo - Exempt","310338-21","310338-21","2938 Hwy. #3","Barrington","NS","B0W 1E0","2938 Hwy. #3
Barrington, NS B0W 1E0
(43.708686, -65.791131)"
"Bingo - Bingo - Charity Religious","113784-20","113784-20","9349 Highway 10 .","Nictaux","NS","B0S 1P0","9349 Highway 10 .
Nictaux, NS B0S 1P0
(44.926949, -65.048565)"
"Bingo - Bingo - Charity Religious","113465-20","113465-20","16 Gaston RD","Dartmouth","NS","B2Y 3W1","16 Gaston RD
Dartmouth, NS B2Y 3W1
(44.666789, -63.543569)"
"Bingo - Bingo - Exempt","121745-21","121745-21","309 Commercial ST","North Sydney","NS","B2A 3M3","309 Commercial ST
North Sydney, NS B2A 3M3
(46.210053, -60.247874)"
"Bingo - Bingo - Charity Religious","101782-19","101782-19","120 Old Foxbrook RD","Stellarton","NS","B0K 1S0","120 Old Foxbrook RD
Stellarton, NS B0K 1S0
(45.555007, -62.675167)"
"Bingo - Bingo - Charity Religious","118260-20","118260-20","471 Mahon ST","New Waterford","NS","B1H 4K4","471 Mahon ST
New Waterford, NS B1H 4K4
(46.249421, -60.091344)"
"Bingo - Bingo - Charity Religious","103114-20","103114-20","8296 Highway #7","Sherbrooke","NS","B0J 3C0","8296 Highway #7
Sherbrooke, NS B0J 3C0
(45.148552, -61.974932)"
"Bingo - Bingo - Charity Religious","304277-19","304277-19","10 Spruce ST","Lockeport","NS","B0T 1L0","10 Spruce ST
Lockeport, NS B0T 1L0
(43.699857, -65.113445)"
"Bingo - Bingo - Charity Religious","116418-21","116418-21","39 Lions AV","St. Peter's","NS","B0E 3B0","39 Lions AV
St. Peter's, NS B0E 3B0
(45.659458, -60.873817)"
"Bingo - Bingo - Exempt","103470-19","103470-19","4176 Highway 209","Advocate","NS","B0M 1A0","4176 Highway 209
Advocate, NS B0M 1A0
(45.332644, -64.749907)"
"Bingo - Bingo - Exempt","105500-20","105500-20","2699 Amiraults Hill RD","Amirault's Hill","NS","B0W 3M0",
"Bingo - Bingo - Charity Religious","115910-20","115910-20","1472 Veterans LN","Kingston","NS","B0P 1R0","1472 Veterans LN
Kingston, NS B0P 1R0
(44.986724, -64.947413)"
"Bingo - Bingo - Charity Religious","118267-20","118267-20","3495 Prospect RD","Whites Lake","NS","B3T 1Z3","3495 Prospect RD
Whites Lake, NS B3T 1Z3
(44.525173, -63.770677)"
"Bingo - Bingo - Charity Religious","119723-21","119723-21","8539 Grand Narrows Hwy.","Grand Narrows","NS","B1T 1B1","8539 Grand Narrows Hwy.
Grand Narrows, NS B1T 1B1
(45.970132, -60.751379)"
"Bingo - Bingo - Exempt","103246-17","103246-17","8539 Grand Narrows Hwy.","Grand Narrows","NS","B1T 1B1","8539 Grand Narrows Hwy.
Grand Narrows, NS B1T 1B1
(45.970132, -60.751379)"
"Bingo - Bingo - Charity Religious","115959-21","115959-21","15 Victoria RD","Port Hastings","NS","B9A 1L2",
"Bingo - Bingo - Charity Religious","209287-19","209287-19","187 Industrial AV","Truro","NS","B2N 6V3","187 Industrial AV
Truro, NS B2N 6V3
(45.349469, -63.289375)"
"Bingo - Bingo - Charity Religious","106642-20","106642-20","110 Wyse RD","Dartmouth","NS","B3A 1M2","110 Wyse RD
Dartmouth, NS B3A 1M2
(44.669112, -63.575833)"
"Bingo - Bingo - Charity Religious","113774-20","113774-20","6582 Highway #3","Western Shore","NS","B0J 3M0","6582 Highway #3
Western Shore, NS B0J 3M0
(44.519679, -64.312025)"
"Bingo - Bingo - Exempt","223508-18","223508-18","212 Herring Cove RD","Halifax","NS","B3P 1L2","212 Herring Cove RD
Halifax, NS B3P 1L2
(44.622474, -63.617729)"
"Bingo - Bingo - Charity Religious","109191-20","109191-20","445 Upper North ST","Glace Bay","NS","B1A 5J9","445 Upper North ST
Glace Bay, NS B1A 5J9
(46.207661, -59.95404)"
"Bingo - Bingo - Charity Religious","117542-20","117542-20","39 North Provost ST","New Glasgow","NS","B2H 2N5","39 North Provost ST
New Glasgow, NS B2H 2N5
(45.58984, -62.644161)"
"Bingo - Bingo - Charity Religious","105169-21","105169-21","45 Old Trunk RD","Tracadie","NS","B0H 1W0","45 Old Trunk RD
Tracadie, NS B0H 1W0
(45.62323, -61.640801)"
"Bingo - Bingo - Charity Religious","105982-21","105982-21","309 Hiram ST","Port Hawkesbury","NS","B9A 2R4","309 Hiram ST
Port Hawkesbury, NS B9A 2R4
(45.616993, -61.358903)"
"Bingo - Bingo - Charity Religious","103682-21","103682-21","78 Churchill ST","Bridgewater","NS","B4V 1R7","78 Churchill ST
Bridgewater, NS B4V 1R7
(44.374955, -64.522601)"
"Bingo - Bingo - Charity Religious","113461-20","113461-20","67 Parade ST","Yarmouth","NS","B5A 2A3","67 Parade ST
Yarmouth, NS B5A 2A3
(43.836692, -66.109773)"
"Bingo - Bingo - Charity Religious","222883-21","222883-21","1000 Seminary AV","Canning","NS","B0P 1H0","1000 Seminary AV
Canning, NS B0P 1H0
(45.158968, -64.419722)"
"Bingo - Bingo - Charity Religious","119365-21","119365-21","45 Ochterloney ST","Dartmouth","NS","B2Y 4M7","45 Ochterloney ST
Dartmouth, NS B2Y 4M7
(44.666376, -63.568683)"
"Bingo - Bingo - Exempt","107091-17","107091-17","8484 Hwy 209","Port Greville","NS","B0M 1T0","8484 Hwy 209
Port Greville, NS B0M 1T0
(45.410751, -64.547567)"
"Bingo - Bingo - Charity Religious","111596-20","111596-20","270 Millville RD","Millville","NS","B1Y 2C9","270 Millville RD
Millville, NS B1Y 2C9
(46.272998, -60.350132)"
"Bingo - Bingo - Charity Religious","113815-20","113815-20","1772 Bedford Highway","Bedford","NS","B4A 1G2","1772 Bedford Highway
Bedford, NS B4A 1G2
(44.740909, -63.654999)"
"Bingo - Bingo - Exempt","000129-20","000129-20","4358 Tyndal RD","Amherst","NS","B4H 3X9",
"Bingo - Bingo - Charity Religious","108429-20","108429-20","15889 Highway 19","Inverness","NS","B0E 1N0","15889 Highway 19
Inverness, NS B0E 1N0
(46.233524, -61.302936)"
"Bingo - Bingo - Charity Religious","111594-20","111594-20","42 Summerside RD","Heatherton","NS","B0H 1R0","42 Summerside RD
Heatherton, NS B0H 1R0
(45.590018, -61.79063)"
"Bingo - Bingo - Charity Religious","119681-21","119681-21","2904 NS Trunk 3","Barrington Passage","NS","B0W 1E0","2904 NS Trunk 3
Barrington Passage, NS B0W 1E0
(43.554342, -65.601581)"
"Bingo - Bingo - Charity Religious","119958-21","119958-21","65 Hornes RD","Eastern Passage","NS","B3G 1A4","65 Hornes RD
Eastern Passage, NS B3G 1A4
(44.6142, -63.486032)"
"Bingo - Bingo - Charity Religious","113806-20","113806-20","252 Willow ST","Parrsboro","NS","B0M 1S0","252 Willow ST
Parrsboro, NS B0M 1S0
(45.406753, -64.320387)"
"Bingo - Bingo - Charity Religious","115939-20","115939-20","142 Kings RD","Dominion","NS","B1G 1H6","142 Kings RD
Dominion, NS B1G 1H6
(46.213436, -60.014667)"
"Bingo - Bingo - Charity Religious","116440-20","116440-20","148 Grandique Ferry RD","Louisdale","NS","B0E 1V0","148 Grandique Ferry RD
Louisdale, NS B0E 1V0
(45.605604, -61.060016)"
"Bingo - Bingo - Exempt","100589-21","100589-21","39 North Provost ST","New Glasgow","NS","B2H 2N5","39 North Provost ST
New Glasgow, NS B2H 2N5
(45.58984, -62.644161)"
"Bingo - Bingo - Charity Religious","109197-20","109197-20","#7025, Hwy Route 354","Kennetcook","NS","B0N 1P0","#7025, Hwy Route 354
Kennetcook, NS B0N 1P0
(45.207224, -63.73979)"
"Bingo - Bingo - Charity Religious","231633-19","231633-19","850 Victoria RD","Sydney","NS","B1N 1K1","850 Victoria RD
Sydney, NS B1N 1K1
(46.157467, -60.184794)"
"Bingo - Bingo - Charity Religious","123044-21","123044-21","2832 Highway 255","Port Morien","NS","B1B 1V8","2832 Highway 255
Port Morien, NS B1B 1V8
(46.129419, -59.876203)"
"Bingo - Bingo - Charity Religious","118314-21","118314-21","18 Veterans LN","Mount Uniacke","NS","B0N 1Z0","18 Veterans LN
Mount Uniacke, NS B0N 1Z0
(44.891563, -63.826591)"
"Bingo - Bingo - Exempt","103465-15","103465-15","1682 Shore RD","Merigomish","NS","B0K 1G0","1682 Shore RD
Merigomish, NS B0K 1G0
(45.634573, -62.420911)"
"Bingo - Bingo - Charity Religious","111585-20","111585-20","188 Elliot ST","Shelburne","NS","B0T 1W0","188 Elliot ST
Shelburne, NS B0T 1W0
(43.768977, -65.314453)"
