"license_number","license_type","establishment","street_address","city_town","province","postal_code","location"
"004819","Lounge","Paddy's Irish Pub Lounge","460 Main ST","Wolfville","NS","B4P 1E2","460 Main ST
Wolfville, NS B4P 1E2
(45.091364, -64.363043)"
"004289","Special Premises","East Preston Recreation Centre","24 Brooks DR","East Preston","NS","B2Z 1G1","24 Brooks DR
East Preston, NS B2Z 1G1
(44.719544, -63.433568)"
"006707","Eating Establishment","Chop Steakhouse and Bar","1680 Grafton ST","Halifax","NS","B3J 2C4","1680 Grafton ST
Halifax, NS B3J 2C4
(44.646772, -63.57534)"
"003287","Eating Establishment","Smokey's Restaurant","81 Wright AV","Dartmouth","NS","B3B 1H4","81 Wright AV
Dartmouth, NS B3B 1H4
(44.704566, -63.596399)"
"005738","Eating Establishment","Edible Matters","1345 Hammonds Plains RD","Bedford","NS","B4B 1P6","1345 Hammonds Plains RD
Bedford, NS B4B 1P6
(44.727047, -63.744504)"
"006803","Eating Establishment","Ecole dans l'anse Resto sur mer","2 Belliveau Cove RD","Belliveau Cove","NS","B0W 1J0","2 Belliveau Cove RD
Belliveau Cove, NS B0W 1J0
(44.386059, -66.062691)"
"005096","Club","Lakeshore Curling Club","409 Glendale DR","Lower Sackville","NS","B4E 1M2","409 Glendale DR
Lower Sackville, NS B4E 1M2
(44.7728, -63.675398)"
"006642","Eating Establishment","D’Theatre Restaurant and Pub","236 Commercial ST","North Sydney","NS","B2A 3M4","236 Commercial ST
North Sydney, NS B2A 3M4
(46.208099, -60.249896)"
"001166","Club","RCL Br. 45, Parrsboro","56 Moore ST","Parrsboro","NS","B0M 1S0","56 Moore ST
Parrsboro, NS B0M 1S0
(45.405409, -64.323618)"
"006254","Eating Establishment","USTA Turkish & Mediterranean Restaurant","635 Portland Hills DR","Dartmouth",,"B2W 0J7","635 Portland Hills DR
Dartmouth,  B2W 0J7
(44.669294, -63.507608)"
"006193","Eating Establishment","The Dart Gallery & Picnic at Dart","127 Portland ST","Dartmouth","NS","B2Y 1H8","127 Portland ST
Dartmouth, NS B2Y 1H8
(44.666736, -63.565379)"
"006515","Special Premises","Chedabucto Lifestyle Complex","60 Green ST","Guysborough","NS","B0H 1N0","60 Green ST
Guysborough, NS B0H 1N0
(45.386509, -61.50259)"
"006606","Special Premises","Black Point and Area Community Hall","8579-B St. Margaret's Bay R","Black Point","NS","B0J 1B0",
"004517","Eating Establishment","Saltspray Restaurant","300 Esplanade ST","Sydney","NS","B1P 1A7","300 Esplanade ST
Sydney, NS B1P 1A7
(46.138764, -60.195975)"
"001044","Club","Birch Grove Fire Department","1424 Birch Grove RD","Birch Grove","NS","B1B 1L9","1424 Birch Grove RD
Birch Grove, NS B1B 1L9
(46.121236, -59.96045)"
"004775","Special Premises","Mariner King Inn","15 King ST","Lunenburg","NS","B0J 2C0","15 King ST
Lunenburg, NS B0J 2C0
(44.376982, -64.30973)"
"005079","Special Premises","Antigonish Arena","30 James ST","Antigonish","NS","B2G 1R7","30 James ST
Antigonish, NS B2G 1R7
(45.616116, -62.000916)"
"006781","Eating Establishment","The Commune Drinks + Music + Culture","84 Provost ST","New Glasgow","NS",,"84 Provost ST
New Glasgow, NS 
(45.588788, -62.644598)"
"002587","Special Premises","North Shore Recreation Centre","30 Blair AV","Tatamagouche","NS","B0K 1V0","30 Blair AV
Tatamagouche, NS B0K 1V0
(45.714638, -63.300631)"
"003781","Lounge","Sherlock's Piano Bar Lounge","150 Willow ST","Truro","NS","B2N 4Z6","150 Willow ST
Truro, NS B2N 4Z6
(45.360136, -63.289977)"
"003830","Special Premises","Digby Pines Golf Resort & Spa","111 Culloden RD","Digby","NS","B0V 1A0","111 Culloden RD
Digby, NS B0V 1A0
(44.63129, -65.773315)"
"005384","Lounge","Courtyard by Marriott Hotel Lounge","5120 Salter ST","Halifax","NS","B3J 0A1","5120 Salter ST
Halifax, NS B3J 0A1
(44.645174, -63.570959)"
"001686","Special Premises","Old Orchard Inn","153 Greenwich RD","Wolfville","NS","B4P 2R2","153 Greenwich RD
Wolfville, NS B4P 2R2
(45.0748, -64.3995)"
"006275","Special Premises","Art Bar & Projects","1873 Granville ST","Halifax","NS","B3J 1Y1","1873 Granville ST
Halifax, NS B3J 1Y1
(44.649822, -63.57465)"
"001512","Eating Establishment","Gales Eatery","417 Main ST","Yarmouth","NS","B5A 4B2","417 Main ST
Yarmouth, NS B5A 4B2
(43.839136, -66.119414)"
"002673","Lounge","Glooscap Lounge","758 Upper Main ST","Parrsboro","NS","B0M 1S0","758 Upper Main ST
Parrsboro, NS B0M 1S0
(45.416137, -64.332685)"
"004341","Club","Margaree Kinsmen Club","1280 East Margaree RD","East Margaree","NS","B0E 1Y0","1280 East Margaree RD
East Margaree, NS B0E 1Y0
(46.388944, -61.071957)"
"004968","Lounge","Redwood Grill Lounge","30 Fairfax DR","Halifax","NS","B3S 1P1","30 Fairfax DR
Halifax, NS B3S 1P1
(44.658931, -63.671445)"
"006386","Eating Establishment","Nayya Pizza and Grill","540 Southgate DR","Bedford","NS","B4A0C9","540 Southgate DR
Bedford, NS B4A0C9
(44.701469, -63.67804)"
"005001","Eating Establishment","The Captain's Boil","5680 Spring Garden RD","Halifax","NS","B3J 1H5","5680 Spring Garden RD
Halifax, NS B3J 1H5
(44.642443, -63.579159)"
"005325","Eating Establishment","Dekies Restaurant","752 Sackville Drive","Lower Sackville","NS","B4E 1R7","752 Sackville Drive
Lower Sackville, NS B4E 1R7
(44.773716, -63.692823)"
"003893","Club","Northumberland Golf Club","1776 Gulf Shore RD","Pugwash","NS","B0K 1L0","1776 Gulf Shore RD
Pugwash, NS B0K 1L0
(45.873158, -63.577781)"
"003265","Eating Establishment","La Frasca Cibi & Vini","5650 Spring Garden RD","Halifax","NS","B3J 3T2","5650 Spring Garden RD
Halifax, NS B3J 3T2
(44.642657, -63.578338)"
"005764","Eating Establishment","Samira's Lebanese Cuisine","8465 Bay RD","Black Point","NS","B0J 1B0",
"001841","Club","Cape Breton Ski Club","5101 East Bay Hwy 4","Ben Eoin","NS","B1J 1P1","5101 East Bay Hwy 4
Ben Eoin, NS B1J 1P1
(45.976339, -60.436701)"
"006643","Lounge","D’Theatre Restaurant and Pub","236 Commercial ST","North Sydney","NS","B2A 3M4","236 Commercial ST
North Sydney, NS B2A 3M4
(46.208099, -60.249896)"
"005253","Eating Establishment","Swiss Chalet (Bridgewater)","8 Pine Grove RD","Cookville","NS","B4V 4H5","8 Pine Grove RD
Cookville, NS B4V 4H5
(44.400093, -64.536488)"
"006152","Lounge","St. Louis Bar & Grill","547 Portland ST","Dartmouth","NS","B2Y 4B1","547 Portland ST
Dartmouth, NS B2Y 4B1
(44.670253, -63.538624)"
"006551","Eating Establishment","Williams Beach House Restaurant and B &B Inc","36905 Cabot Trail","Ingonish Beach","NS","B0C 1L0","36905 Cabot Trail
Ingonish Beach, NS B0C 1L0
(46.674486, -60.408137)"
"002064","Eating Establishment","The Narrows Bistro","101 Wyse RD","Dartmouth","NS","B3A 1L9","101 Wyse RD
Dartmouth, NS B3A 1L9
(44.669385, -63.576658)"
"006221","Lounge","Edible Matters","1345 Hammonds Plains RD","Bedford","NS","B4B 1P6","1345 Hammonds Plains RD
Bedford, NS B4B 1P6
(44.727047, -63.744504)"
"005914","Eating Establishment","Rose & Rooster Bakery","6502 Hwy. 207","Head of Chezzetcook","NS","B0J 1N0","6502 Hwy. 207
Head of Chezzetcook, NS B0J 1N0
(44.688038, -63.257604)"
"005511","Eating Establishment","Coastal Coffee","2731 Robie ST","Halifax","NS","B3K 4P1","2731 Robie ST
Halifax, NS B3K 4P1
(44.656522, -63.597563)"
"001325","Special Premises","Bicentennial Theatre & Cultural Centre","12390 Hwy 224","Mid. Musquodoboit","NS","B0N 1X0","12390 Hwy 224
Mid. Musquodoboit, NS B0N 1X0
(45.044246, -63.150661)"
"001198","Eating Establishment","Brownstone Cafe","244 Main ST","Antigonish","NS","B2G 2C2","244 Main ST
Antigonish, NS B2G 2C2
(45.622487, -61.990514)"
"001722","Club","RCL Br. 62, Louisbourg","7569 Main ST","Louisbourg","NS","B1C 1J9","7569 Main ST
Louisbourg, NS B1C 1J9
(45.918916, -59.975865)"
"005418","Eating Establishment","Cut Steakhouse & Urban Grill","5120 Salter ST","Halifax",,"B3J 0A1","5120 Salter ST
Halifax,  B3J 0A1
(44.645174, -63.570959)"
"003157","Beverage Room","Bar@Bowlarama","16 Dentith RD","Spryfield","NS","B3R 2H9","16 Dentith RD
Spryfield, NS B3R 2H9
(44.613268, -63.618324)"
"006223","Eating Establishment","The Golden Fortune Restaurant","189 Herring Cove RD","Halifax","NS","B3P 1K9","189 Herring Cove RD
Halifax, NS B3P 1K9
(44.624934, -63.617177)"
"006894","Special Premises","Chester Art Centre","60 Queen ST","Chester","NS","B0J 1J0","60 Queen ST
Chester, NS B0J 1J0
(44.539248, -64.240188)"
"004653","Eating Establishment","May Garden Restaurant","829 Sackville DR","Lower Sackville","NS","B4E1V5","829 Sackville DR
Lower Sackville, NS B4E1V5
(44.775474, -63.694922)"
"002590","Eating Establishment","Pizza Delight (Greenwood)","801 Central AV","Greenwood","NS","B0P 1N0","801 Central AV
Greenwood, NS B0P 1N0
(44.970936, -64.935567)"
"003715","Eating Establishment","Mount Uniacke Pub & Eatery","125 #1, Highway","Mount Uniacke","NS","B0N  1Z0",
"005943","Lounge","The Butchers Block Pub & Eatery","540 Southgate DR","Bedford","NS","B4A 0C9","540 Southgate DR
Bedford, NS B4A 0C9
(44.701469, -63.67804)"
"006517","Eating Establishment","Rob's Underground Entertainment","2 Elliot ST","Sydney Mines","NS","B1V 2N2","2 Elliot ST
Sydney Mines, NS B1V 2N2
(46.242594, -60.228959)"
"000796","Special Premises","LaHave River Yacht Club","77 Pernette RD","Pleasantville","NS","B4V 2W8","77 Pernette RD
Pleasantville, NS B4V 2W8
(44.311247, -64.408933)"
"004516","Military","36 Canadian Brigade Group HQ","5480 Royal Artillery CT","Halifax","NS","B3J 0A8","5480 Royal Artillery CT
Halifax, NS B3J 0A8
(44.644783, -63.577409)"
"002289","Lounge","Steamers Lounge","73A Starrs RD","Yarmouth","NS","B5A 2T6","73A Starrs RD
Yarmouth, NS B5A 2T6
(43.844241, -66.107437)"
"002527","Lounge","Flying Bridge Lounge","84 Montague ST","Lunenburg","NS","B0J 2C0","84 Montague ST
Lunenburg, NS B0J 2C0
(44.376495, -64.310927)"
"006022","Eating Establishment","Lin Garden Restaurant","537 Hwy. 2","Elmsdale","NS","B2S 1A4","537 Hwy. 2
Elmsdale, NS B2S 1A4
(44.957309, -63.520796)"
"004269","Lounge","Harbour Lounge","15299 Cabot Trail","Cheticamp","NS","B0E 1H0","15299 Cabot Trail
Cheticamp, NS B0E 1H0
(46.631956, -61.010804)"
"001578","Eating Establishment","Amherst Shore Country Inn","5091 Route 366","Lorneville","NS","B4H 3X9","5091 Route 366
Lorneville, NS B4H 3X9
(45.988703, -63.963151)"
"004823","Club","Barrington Regional Curling Club","40 Park LN","Barrington Passage","NS","B0W 1G0","40 Park LN
Barrington Passage, NS B0W 1G0
(43.537424, -65.598654)"
"006145","Special Premises","Luckett Vineyards","1293 Grand Pre RD","Wolfville","NS","B4P 2R3","1293 Grand Pre RD
Wolfville, NS B4P 2R3
(45.072527, -64.295302)"
"006265","Lounge","Rack & Cue Snooker Club Limited","334 Stewart ST","New Glasgow","NS","B2H 2R4","334 Stewart ST
New Glasgow, NS B2H 2R4
(45.584456, -62.646686)"
"006299","Eating Establishment","Rinaldo's Italian American Specialties","2186 Windsor ST","Halifax","NS","B3K 5B8","2186 Windsor ST
Halifax, NS B3K 5B8
(44.649984, -63.59515)"
"003970","Special Premises","Sherwood Golf & Country Club","500 Sherwood RD","Sherwood","NS","B0J 1J0","500 Sherwood RD
Sherwood, NS B0J 1J0
(44.718704, -64.30931)"
"005203","Lounge","Red Shoe Pub & Eatery Lounge","11533 Highway 19","Mabou","NS","B0E 1X0","11533 Highway 19
Mabou, NS B0E 1X0
(46.072366, -61.391023)"
"006508","Club","Inverness Volunteer Fire Department","15797 Central AV","Inverness","NS","B0E1N0","15797 Central AV
Inverness, NS B0E1N0
(46.229897, -61.306285)"
"005566","Eating Establishment","Cha Baa Thai Dartmouth","100 Ilsley AV","Dartmouth","NS","B3B 1L3","100 Ilsley AV
Dartmouth, NS B3B 1L3
(44.699791, -63.586618)"
"001317","Club","RCL Br. 8, Sydney Mines","769 Main ST","Sydney Mines","NS","B1V 2Y4","769 Main ST
Sydney Mines, NS B1V 2Y4
(46.242192, -60.229587)"
"006323","Eating Establishment","EJ's Grill & General Store","644 Route 8","Maitland Bridge","NS","B0T 1B0","644 Route 8
Maitland Bridge, NS B0T 1B0
(44.441466, -65.198675)"
"002173","Eating Establishment","Old Orchard Inn Dining Room","153 Greenwich RD","Wolfville","NS","B4P 2R2","153 Greenwich RD
Wolfville, NS B4P 2R2
(45.0748, -64.3995)"
"006168","Eating Establishment","Highwayman Restaurant & Bar","1673 Barrington ST","Halifax","NS","B3J 1Z9","1673 Barrington ST
Halifax, NS B3J 1Z9
(44.646865, -63.573903)"
"006656","Special Premises","Sensea Nature Spa","40 Sensea RD","Chester","NS","B0J 1J0","40 Sensea RD
Chester, NS B0J 1J0
(44.551944, -64.238992)"
"002871","Eating Establishment","Kings Arms Pub by Lew Murphy's","390 Main ST","Kentville","NS","B4N 4H8","390 Main ST
Kentville, NS B4N 4H8
(45.07715, -64.495846)"
"004547","Eating Establishment","Terris Place Bar & Grill EE","498 Sackville DR","Lower Sackville","NS","B4C 2S1","498 Sackville DR
Lower Sackville, NS B4C 2S1
(44.765858, -63.68116)"
"006794","Lounge","Salt Yard Social","1597 Lower Water ST","Halifax","NS","B3J 3P6","1597 Lower Water ST
Halifax, NS B3J 3P6
(44.646419, -63.57098)"
"005665","Eating Establishment","Wok By the Bay","49 Water ST","Digby","NS","B0V 1A0","49 Water ST
Digby, NS B0V 1A0
(44.623875, -65.756556)"
"005913","Special Premises","Hampton Inn Sydney","60 Maillard ST","Sydney","NS","B1S 3W3","60 Maillard ST
Sydney, NS B1S 3W3
(46.121734, -60.190659)"
"004908","Special Premises","Glen Lovat Golf Course","151 Frassers Mt. Branch RD","New Glasgow","NS","B2H 5C4",
"003139","Lounge","Elm Tree Pub & Grill Lounge","1 Victoria ST","Amherst","NS","B4H 1X3","1 Victoria ST
Amherst, NS B4H 1X3
(45.832025, -64.213801)"
"006701","Eating Establishment","Auld Shamrock","85 Commercial ST","Dominion","NS","B1G 1B3","85 Commercial ST
Dominion, NS B1G 1B3
(46.210828, -60.022715)"
"001073","Club","Georges River Comm. Vol. Fire Dept.","1208 Georges River RD","Georges River","NS","B1Y 3Y6","1208 Georges River RD
Georges River, NS B1Y 3Y6
(46.204139, -60.324015)"
"004705","Special Premises","Baddeck Curling Club","14 Campbell ST","Baddeck","NS","B0E 1B0","14 Campbell ST
Baddeck, NS B0E 1B0
(46.100139, -60.758525)"
"003827","Eating Establishment","Engine Room Dining Room","166 Esplanade ST","Truro","NS","B2N 2K3","166 Esplanade ST
Truro, NS B2N 2K3
(45.363365, -63.274194)"
"004179","Eating Establishment","Red Asian Fusion Restaurant","5169 South ST","Halifax","NS","B3J 1A2","5169 South ST
Halifax, NS B3J 1A2
(44.640126, -63.570025)"
"006509","Eating Establishment","Old Church Cafe","3606 Highway 209","Advocate Harbour","NS","B0M 1A0","3606 Highway 209
Advocate Harbour, NS B0M 1A0
(45.337576, -64.783969)"
"006545","Lounge","Winemakers Tavern","498 Main ST","Lawrencetown","NS","B0S 1M0","498 Main ST
Lawrencetown, NS B0S 1M0
(44.882264, -65.158552)"
"001617","Club","St. Joseph's Lebanese & Syrian Club","30 MacKenzie ST","Sydney","NS","B1P 1W5","30 MacKenzie ST
Sydney, NS B1P 1W5
(46.134683, -60.186228)"
"002201","Club","Kingston Lions Club","1482 Veterans LN","Kingston","NS","B0P 1R0","1482 Veterans LN
Kingston, NS B0P 1R0
(44.987064, -64.947647)"
"006031","Special Premises","Bowlarama","16 Dentith RD","Spryfield","NS","B3R 2H9","16 Dentith RD
Spryfield, NS B3R 2H9
(44.613268, -63.618324)"
"005853","Eating Establishment","East Foodies Chinese Restaurant","1465 St. Margarets Bay RD","Lakeside","NS","B3T 1B3","1465 St. Margarets Bay RD
Lakeside, NS B3T 1B3
(44.637706, -63.697973)"
"000775","Lounge","Top Deck Lounge","441 Shore RD","Digby","NS","B0V 1A0","441 Shore RD
Digby, NS B0V 1A0
(44.646859, -65.757844)"
"003513","Special Premises","Amherst Stadium","185 Church ST","Amherst","NS","B4H 4A1","185 Church ST
Amherst, NS B4H 4A1
(45.82735, -64.199035)"
"006759","Eating Establishment","Fossil Farms","77 McVicar LN","Egerton","NS","B0X 1G0","77 McVicar LN
Egerton, NS B0X 1G0
(45.615315, -62.47165)"
"005860","Lounge","Shining Waters","148 Nautical Way","Tantallon","NS","B3Z 2P3","148 Nautical Way
Tantallon, NS B3Z 2P3
(44.657224, -63.911768)"
"003609","Lounge","Dock-Food Spirits and Ales Lounge","130 George ST","New Glasgow","NS","B2H 2K6","130 George ST
New Glasgow, NS B2H 2K6
(45.589386, -62.644919)"
"002455","Club","Banook Canoe Club","17 Banook AV","Dartmouth","NS","B2Y 3Y2","17 Banook AV
Dartmouth, NS B2Y 3Y2
(44.675502, -63.56253)"
"005633","Eating Establishment","Modern Orchid-Southeast Asian Cuisine","171 Hector Gate","Dartmouth Crossing","NS","B3B 0E5","171 Hector Gate
Dartmouth Crossing, NS B3B 0E5
(44.705582, -63.562012)"
"006694","Eating Establishment","Wok Your Way Restaurant","535 Portland ST","Dartmouth","NS","B2Y4B1","535 Portland ST
Dartmouth, NS B2Y4B1
(44.670252, -63.538573)"
"006727","Eating Establishment","Cheese Curds/ Habaneros","277 Lacewood DR","Halifax","NS","B3M 4K3","277 Lacewood DR
Halifax, NS B3M 4K3
(44.662681, -63.655423)"
"003299","Club","Meteghan Lions Club","313 Maxwellton RD","Meteghan Centre","NS","B0W 2K0","313 Maxwellton RD
Meteghan Centre, NS B0W 2K0
(44.198864, -66.136313)"
"002900","Lounge","Glasgow Pub Lounge","300 Stewart ST","New Glasgow","NS","B2H 2R4","300 Stewart ST
New Glasgow, NS B2H 2R4
(45.584957, -62.646381)"
"006863","Lounge","Dickie Baxter Taproom & Bistro","9809 Main ST","Canning","NS","B0P 1H0","9809 Main ST
Canning, NS B0P 1H0
(45.157816, -64.422373)"
"006134","Special Premises","Patrons Rec Room","105-27 Dellridge LN","Bedford","NS","B4A 0H1","105-27 Dellridge LN
Bedford, NS B4A 0H1
(44.701674, -63.68758)"
"004231","Eating Establishment","Whistler's Pub & Grub Dining Room","285 George ST","Stewiacke","NS","B0N 2J0","285 George ST
Stewiacke, NS B0N 2J0
(45.138356, -63.349121)"
"005879","Eating Establishment","The Nook on Gottingen","2118 Gottingen ST","Halifax","NS","B3K 0C5","2118 Gottingen ST
Halifax, NS B3K 0C5
(44.652102, -63.583511)"
"002017","Lounge","The Wooden Monkey Lounge","88 Alderney DR","Dartmouth","NS","B2Y 3Z6","88 Alderney DR
Dartmouth, NS B2Y 3Z6
(44.664577, -63.568717)"
"002089","Special Premises","M.V. Blue Puttees","355 Purves ST","North Sydney","NS","B2A 3M5","355 Purves ST
North Sydney, NS B2A 3M5
(46.212223, -60.243672)"
"005807","Beverage Room","Hervic Beverage Room","2896 Melbourne RD","Pinkney's Pt.","NS","B0W 1B0","2896 Melbourne RD
Pinkney's Pt., NS B0W 1B0
(43.704296, -66.055974)"
"004958","Lounge","Niche Lounge Supperclub Lounge","1505 Barrington ST","Halifax","NS","B3J 3K5","1505 Barrington ST
Halifax, NS B3J 3K5
(44.64422, -63.572526)"
"005159","Eating Establishment","French Club 2004 Grill","425 Eighth ST","New Waterford","NS","B1H 3S6","425 Eighth ST
New Waterford, NS B1H 3S6
(46.24928, -60.085437)"
"006310","Eating Establishment","Vernon's Thunderbird Diner Inc.","2094 Hammonds Plains RD","Hammonds Plains","NS","B4B 1P3","2094 Hammonds Plains RD
Hammonds Plains, NS B4B 1P3
(44.733656, -63.785509)"
"001083","Club","Barrington Area Lions Club","2904 NS Trunk 3","Barrington Passage","NS","B0W 1E0","2904 NS Trunk 3
Barrington Passage, NS B0W 1E0
(43.554342, -65.601581)"
"004629","Special Premises","Annapolis Basin Conference Center","180 Atlantic ST","Cornwallis Park","NS","B0S 1E0","180 Atlantic ST
Cornwallis Park, NS B0S 1E0
(44.651586, -65.633973)"
"006437","Special Premises","Dartmouth 4-Pad Arena","259 Commodore DR","Dartmouth","NS","B3B 0M1","259 Commodore DR
Dartmouth, NS B3B 0M1
(44.701212, -63.577226)"
"001819","Club","RCL Br. 17, Springhill","10 Elgin ST","Springhill","NS","B0M 1X0","10 Elgin ST
Springhill, NS B0M 1X0
(45.650176, -64.059838)"
"003081","Lounge","A.J.'s  Lounge","237 Main ST","Canso","NS","B0H 1H0","237 Main ST
Canso, NS B0H 1H0
(45.334199, -61.000455)"
"004865","Special Premises","Mabou River Inn","19 Southwest Ridge RD","Mabou","NS","B0E 1X0","19 Southwest Ridge RD
Mabou, NS B0E 1X0
(46.068004, -61.397796)"
"006139","Eating Establishment","Good Robot Brewing Company","2736 Robie ST","Halifax","NS","B3K 4P2","2736 Robie ST
Halifax, NS B3K 4P2
(44.65662, -63.597711)"
"005385","Club","Lennox Passage Yacht Club","3335 Highway 320","D'Escousse","NS","B0E 1K0","3335 Highway 320
D'Escousse, NS B0E 1K0
(45.587871, -60.961233)"
"006460","Eating Establishment","Foggy Hermit Cafe","7551 Main ST","Louisbourg","NS","B1C 1J5","7551 Main ST
Louisbourg, NS B1C 1J5
(45.919246, -59.974125)"
"005184","Eating Establishment","Deb's Hidden Cafe","4149 Scotsburn RD","Pictou","NS","B0K 1R0","4149 Scotsburn RD
Pictou, NS B0K 1R0
(45.651826, -62.854362)"
"000876","Eating Establishment","Ko's Restaurant","434 King ST","Bridgewater","NS","B4V 1A9","434 King ST
Bridgewater, NS B4V 1A9
(44.376065, -64.517056)"
"003630","Eating Establishment","Farmers Family Diner","1256 Ward RD","Millville","NS","B0P 1C0","1256 Ward RD
Millville, NS B0P 1C0
(45.001047, -64.828434)"
"001982","Eating Establishment","Parkview Restaurant","16546 Cabot Trail","Cheticamp","NS","B0E 1H0","16546 Cabot Trail
Cheticamp, NS B0E 1H0
(46.64771, -60.956246)"
"001134","Special Premises","Martock II Ski & Recreation Lodge","370 Ski Martock RD","Windsor","NS","B0N 2T0","370 Ski Martock RD
Windsor, NS B0N 2T0
(44.935916, -64.172711)"
"005691","Lounge","Big Al's Acadian Lounge","9 Station RD","Tatamagouche","NS","B0K 1V0","9 Station RD
Tatamagouche, NS B0K 1V0
(45.708695, -63.285006)"
"001513","Lounge","Haley's Lounge","417 Main ST","Yarmouth","NS","B5A 4B2","417 Main ST
Yarmouth, NS B5A 4B2
(43.839136, -66.119414)"
