"organization_name","organization_type","county","phone_number1","phone_number2","website","mailing_address","mailing_city_town","postal_code","location_unit","location_civic_address","location_city_town","assessment_and_orientation","language","employment_and_business","youth_young_adult","recreation_socialization","francophone","distance_programs_multiple","other","geocoded_column"
"Pictou County Regional Enterprise Network","Not-for-Profit","Pictou","902-755-2244",,"https://pictoucounty.com/","112 Provost Street","New Glasgow","B2H 2P4",,"112 Provost St.","New Glasgow","NO","NO","YES","NO","YES","NO","NO","NO","POINT (-62.644757 45.58835)"
"Université Sainte-Anne","Post-Secondary Institution","Halifax","902-424-1164","902-424-8979","https://www.usainteanne.ca/immigrants-francophones","1190 Barrington Street","Halifax","B3H 2R4",,"1190 Barrington Street","Halifax","YES","YES","NO","YES (over 17)","NO","YES","YES","YES","POINT (-63.570232 44.639734)"
"Valley Community Learning Association","Not-for-Profit","Kings/Annapolis","902-679-5252",,"http://www.vcla.ca","106 - 49 Cornwallis Street","Kentville","B4N 2E3",,"49 Cornwallis Street","Kentville","YES","YES","YES","YES","YES","NO","YES (online options)","NO","POINT (-64.494186 45.078237)"
"Valley Regional Enterprise Network","Regional Partner","Kings","902-678-2200",,"https://valleyren.ca/","448 Main Street","Kentville","B4N 1K8",,"448 Main Street","Kentville","Referrals","NO","YES","NO","YES","NO","NO","YES","POINT (-64.497937 45.077374)"
"Veith House","Not-for-Profit","Halifax","902-453-4320",,"https://www.veithhouse.com/newcomers","3115 Veith Street","Halifax","B3K 3G9",,"3115 Veith St","Halifax","YES","YES","YES","YES","YES","NO","NO","YES","POINT (-63.595763 44.664695)"
"YMCA Greater Halifax/Dartmouth","Not-for-Profit","Halifax","902-457-9622",,"https://ymcahfx.ca/","104 - 7071 Bayers Road","Halifax","B3L 2C2","104","7071 Bayers Road","Halifax","YES","NO","YES","YES","YES","NO","NO","YES","POINT (-63.627016 44.653682)"
"YMCA Greater Halifax/Dartmouth YREACH - Amherst","Not-for-Profit","Cumberland","902-667-9112, ext. 223","902-397-3915","https://www.yishfx.ca/yreach","92 Church Street, YMCA of Cumberland","Amherst","B4H 4A1",,"92 Church Street, YMCA of Cumberland","Amherst","YES","YES","YES","YES","YES","NO","NO","NO","POINT (-64.2089 45.831579)"
"YMCA Greater Halifax/Dartmouth YREACH - Bridgewater","Not-for-Profit","Lunenburg","902-543-9622","902-880-4040","https://www.yishfx.ca/yreach","75 High Street, YMCA Lunenburg County","Bridgewater","B4V 1V8",,"75 High Street, YMCA Lunenburg County","Bridgewater","YES","YES","YES","YES","YES","NO","NO","NO","POINT (-64.52795 44.371174)"
"YMCA Greater Halifax/Dartmouth YREACH - Fundy","Not-for-Profit","Annapolis","902-249-0150",,"https://www.yishfx.ca/yreach","1043 Highway 1, Fundy YMCA","Cornwallis","B0S 1H0",,"1043 Highway 1, Fundy YMCA","Cornwallis","YES","YES","YES","YES","YES","NO","NO","NO","POINT (-65.634539 44.650346)"
"YMCA Greater Halifax/Dartmouth YREACH - Kentville","Not-for-Profit","Kings","902-599-4445",,"https://www.yishfx.ca/yreach","106 - 49 Cornwallis Street, Valley Community Learning Association","Kentville","B4N 2E3","106","49 Cornwallis St, KENTVILLE NOVA SCOTIA B4N 2E3","Kentville","YES","YES","YES","YES","YES","NO","NO","NO","POINT (-64.494186 45.078237)"
"YMCA Greater Halifax/Dartmouth YREACH - New Glasgow","Not-for-Profit","Pictou","902-456-3521",,"https://www.yishfx.ca/yreach","352 East River Road, New Glasgow, NS B2H 3P7","New Glasgow","B2H 3P7",,"352 East River Road","New Glasgow","YES","YES","YES","YES","YES","NO","NO","NO","POINT (-62.645291 45.583322)"
"YMCA Greater Halifax/Dartmouth YREACH - Port Hawkesbury","Not-for-Profit","Inverness","902-631-2563",,"https://www.yishfx.ca/yreach","606 Reeves Street, Port Hawkesbury Civic Centre","Port Hawkesbury","B9A 2R7",,"606 Reeves Street, Port Hawkesbury NS B9A 2R7","Port Hawkesbury","YES","YES","YES","YES","YES","NO","NO","NO","POINT (-61.35503 45.615987)"
"YMCA Greater Halifax/Dartmouth YREACH - Sydney","Not-for-Profit","Cape Breton","902-222-7072",,"https://www.yishfx.ca/yreach","150 - 500 George Street, Sydney NS,B1P 1K6","Sydney","B1P 1K6","150","500 George Street","Sydney","YES","YES","YES","YES","YES","NO","NO","NO","POINT (-60.19209 46.136763)"
"YMCA Greater Halifax/Dartmouth YREACH - Truro","Not-for-Profit","Colchester","902-471-5563","902-899-4573","https://www.yishfx.ca/yreach","1027 Prince Street, Maggie's Place","Truro","B2N 1H7",,"1027 Prince Street, Truro, NS Nova Scotia B2N 1H7","Truro","YES","YES","YES","YES","YES","NO","NO","NO","POINT (-63.270407 45.363977)"
"YMCA Greater Halifax/Dartmouth YREACH - Yarmouth","Not-for-Profit","Yarmouth","902-225-2599",,"https://www.yishfx.ca/yreach","103 Water St Unit 3A-1, Yarmouth, NS B5A 4P4","Yarmouth","B5A 4B1","Unit 3A-1","103 Water St","Yarmouth","YES","YES","YES","YES","YES","NO","NO","NO","POINT (-66.121247 43.837486)"
"YWCA Halifax","Not-for-Profit","Halifax","902-423-6162",,"https://ywcahalifax.com/programs/new-to-canada","358 Herring Cove Road","Halifax","B3R 1V8",,"358 Herring Cove Road","Halifax","YES","YES","YES","YES","YES","NO","YES","Child care and housing","POINT (-63.617716 44.611962)"
