Branch Name,Website,Suite,Phone Number,Email,Monday Open,Monday Closed,Tuesday Open,Tuesday Closed,Wednesday Open,Wednesday Closed,Thursday Open,Thursday Closed,Friday Open,Friday Closed,Saturday Open,Saturday Closed,Sunday Open,Sunday Closed,Address,Location,Council Districts--Test,Dallas City Limits GIS Layer,Counties,Zip Codes,City Councils
Vickery Park,http://dallaslibrary2.org/branch/vickerypark.php,,214-671-2101,vickerypark@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,8333 Park Lane,"8333 Park Lane
Dallas, Texas 75231
(32.871584729412405, -96.76159215999924)",11,3,3162,19377,13
Polk-Wisdom,http://dallaslibrary2.org/branch/polk.php,,214-670-1947,polkwisdom@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,7151 Library Lane,"7151 Library Lane
Dallas, Texas 75232
(32.66092100400044, -96.84173045399967)",8,3,3162,19379,8
Hampton-Illinois,http://dallaslibrary2.org/branch/hampton.php,,214-670-7646,hamptonillinois@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,2951 South Hampton Road,"2951 South Hampton Road
Dallas, Texas 75224
(32.714113229000475, -96.8571618259997)",3,3,3162,19380,3
Lochwood,http://dallaslibrary2.org/branch/lochwood.php,,214-670-8403,lochwood@dallascityhall.com,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,11221 Lochwood Boulevard,"11221 Lochwood Boulevard
Dallas, Texas 75218
(32.84861051900049, -96.68766108199969)",13,3,3162,18924,9
Bachman Lake,http://dallaslibrary2.org/branch/bachman.php,,214-670-6376,bachmanlake@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,9480 Webb Chapel Rd.,"9480 Webb Chapel Rd
Dallas, Texas 75220
(32.862430994000476, -96.8596104189997)",2,3,3162,18934,2
Oak Lawn,http://dallaslibrary2.org/branch/oaklawn.php,,214-670-1359,oaklawn@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,4100 Cedar Springs Road,"4100 Cedar Springs Road
Dallas, Texas 75219
(32.81238045700047, -96.81298100799967)",2,3,3162,18929,2
Prairie Creek,http://dallaslibrary2.org/branch/prairie.php,,214-671-0410,prairiecreek@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,9609 Lake June Rd.,"9609 Lake June Rd
Dallas, Texas 75217
(32.734197879000476, -96.6566004769997)",5,3,3162,18921,5
Timberglen,http://dallaslibrary2.org/branch/timberglen.php,,214-671-1365,timberglen@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,18505 Midway Road,"18505 Midway Road
Dallas, Texas 75287
(33.003242963000446, -96.84385896199967)",14,3,839,18783,12
Lakewood,http://dallaslibrary2.org/branch/lakewood.php,,214-670-1376,lakewood@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,6121 Worth Street,"6121 Worth Street
Dallas, Texas 75214
(32.80997152000049, -96.75272090999965)",12,3,3162,18534,14
Fretz Park,http://dallaslibrary2.org/branch/fretz.php,,214-670-6421,FretzPark@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,6990 Belt Line Road,"6990 Belt Line Road
Dallas, Texas 75254
(32.94996066700048, -96.78351023499965)",10,3,3162,18778,11
Bookmarks in NorthPark Center,http://dallaslibrary2.org/branch/bookmarks.php,Suite 1514,214-671-1381,northpark@dallaslibrary.org,,,10:30 AM,5:30 PM,10:30 AM,5:30 PM,10:30 AM,5:30 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,8687 North Central Expressway,"8687 North Central Expressway
Dallas, Texas 75225
(32.86969037300048, -96.77071068199967)",11,3,3162,19355,13
Park Forest,http://dallaslibrary2.org/branch/park.php,,214-670-6333,parkforest@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,3421 Forest Lane,"3421 Forest Lane
Dallas, Texas 75234
(32.909710292000455, -96.86348093599969)",6,3,3162,19745,6
North Oak Cliff,http://dallaslibrary2.org/branch/north.php,,214-670-7555,northoakcliff@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,302 West Tenth Street,"302 West Tenth Street
Dallas, Texas 75208
(32.74508025200049, -96.8272105429997)",1,3,3162,18519,1
Kleberg Rylie,http://dallaslibrary2.org/branch/kleberg.php,,214-670-8471,KlebergRylie@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,1301 Edd Road,"1301 Edd Road
Dallas, Texas 75253
(32.686331135000444, -96.6001002969997)",8,3,3162,18776,8
Skyline,http://dallaslibrary2.org/branch/skyline.php,,214-670-0938,Skyline@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,6006 Everglade Road,"6006 Everglade Road
Dallas, Texas 75227
(32.78541300800049, -96.69988517499968)",7,3,3162,19359,7
Preston Royal,http://dallaslibrary2.org/branch/preston.php,,214-670-7128,prestonroyal@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,5626 Royal Lane,"5626 Royal Lane
Dallas, Texas 75229
(32.89480091000047, -96.81134015899966)",11,3,3162,19367,13
Grauwyler Park,http://dallaslibrary2.org/branch/grauwyler.php,,214-671-1447,grauwylerpark@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,2146 Gilford Street,"2146 Gilford Street
Dallas, Texas 75235
(32.83375132600048, -96.85956613999969)",2,3,3162,19747,2
Paul Laurence Dunbar Lancaster-Kiest,http://dallaslibrary2.org/branch/lancaster.php,,214-670-1952,lancasterkiest@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,2008 East Kiest Blvd,"2008 East Kiest Blvd
Dallas, Texas 75216
(32.71553112300046, -96.7896611169997)",4,3,3162,18915,4
Central Library,http://dallaslibrary2.org/central/,,214-670-1400,askalibrarian@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,1515 Young St.,"1515 Young St
Dallas, Texas 75201
(32.77787075100048, -96.79693086699967)",2,3,3162,20152,2
Mountain Creek,http://dallaslibrary2.org/branch/mountain.php,,214-670-6704,mountaincreek@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,6102 Mountain Creek Parkway,"6102 Mountain Creek Parkway
Dallas, Texas 75249
(32.65007111300048, -96.96650074199965)",3,3,3162,20171,3
