"title","address","location_description","classification","marker_condition","year","marker_size","marker_text","geocoded_column"
"Texas Women in the Civil War, A Tribute to","Grand Place, Fair Park",,"Grave",,"1964.0","27 x 42","Civilian duties of 90,000 Texas men fighting for the Confederacy fell to wives back home in land of few factories and an enemy blockade that cut down on imports. Women had to run businesses and farms for their absent men who committed to the uncertain mails their letters of instruction. Yet with help of children, old men and loyal slaves, furnished Army and the Confederacy with grain, meat and cotton for home consumption and foreign exchange for guns, gunpowder, factory goods, drugs and other supplies.Ran newspapers. Loaded shells. Made gun caps. Did ""man's work"" of many kinds, in addition to homemaking, sewing, nursing, teaching and child care.Made medicines from herbs and plants. Grew poppies and squeezed the seed pods to supply opiates to the hospitals. Carded cotton and wool, spun and wove, then dyed the homemade cloth with bark or roots. Plaited palmetto or corn shucks to make hats. Made coffee of acorns or vegetables, tea of sage or orange leaves.On 2,000 miles of coastline and frontier, faced personal hazards from invasion or Indian raids. Elsewhere were in peril from marauders. Through the four years won admiration for their pluck, and maintained faith enough to help rebuild the defeated South.",
"Scyene Road, Old","9500 Blk. Scyene Rd.","at Belle Starr Dr.","Roadway",,"1977.0","18 x 28","Once a buffalo trail, Scyene Road was one of the earliest roads in Dallas County. It linked the community of Scyene with Dallas, one day's journey by wagon to the west, and with Jefferson and Shreveport to the east. Named for a town in ancient Egypt, Scyene was settled in the 1840s and 1850s. During the 1870s, Belle Starr and other outlaws, including Jesse James, lived here and traveled this road. A thriving town with a post office, stores, school, and churches, Scyene declined after it was bypassed by the Texas & Pacific Railroad in 1872.","POINT (-96.659665 32.76327)"
"La Reunion Cemetery","3300 block of Fish Trap Rd.","in West Dallas, Housing Park","Cemetery",,"1974.0","18 x 28","Burial place of French, Belgian, and Swiss settlers brought here 1855-58 by company for European American colonization in Texas. This site was on road from La Reunion to Willow Fish Traps set by the colonists in the Trinity. Early burials in this cemetery included aged French Grenadier Pere Lagogue; also a young child of colony director F. Cantagrel. The company failed, but certain families remained, including the Loupots, Remonds, Reverchons, and Santerres. They became business land cultural leaders in Dallas area, and used this cemetery as late as 1939 for family burials.Marker Sponsors:John R. SanterreRoy C. SanterreMrs. George H. Santerre""Germain Santerre Family""Graneta Bilbo GoodwinLe Bonnet Bleu Garden Club",
"Cedar Springs","4810 Cedar springs Rd.","corner of Cedar Springs and Kings (near Gazebo), Dallas","City","None","1984.0","27 x 42","Although settlement of the town of Cedar Springs did not begin until after 1843, the area had been surveyed during the late 1830s by Colonel G. W. Cooke in preparation for construction of a military road from Austin to the Red River. In 1843, Dr. John Cole and his wife, Mary, along with their eight children, arrived in this area. Cole received a Peters colony land grant about two miles east of the Cedar Springs branch of the Trinity River. Preferring to settle closer to the springs, he purchased additional acreage in this area, built a home, and opened a general store.The name of the community possibly was taken from the abundance of cedar trees near the springs. Cedar Springs gradually attracted additional settlers, and several other businesses, including a distillery, steam-powered flour mill, and grist mill, were begun.Development of the Cedar Springs community declined following Dallas' selection as the Dallas County Seat in 1850. Toward the end of the nineteenth century, the area began to experience suburban growth and was renamed Oak Lawn. The site of the early town of Cedar Springs was annexed by the City of Dallas in a series of municipal actions between 1920 and 1940.","POINT (-96.821083 32.819291)"
"Greenwood Cemetery","2030 Oak Grove","corner of Peace and Liberty Ave. within Greenwood Cemetery","Cemetery","Faded slightly","1976.0","18 x 28","Greenwood Cemetery was part of a Republic of Texas grant, called the John Grigsby League, given for service in the Battle of San Jacinto. W. H. Gaston, pioneer Dallas banker, acquired title to the site in 1874, after the noted local legal battle, ""The Grigsby Cases,"" and founded Trinity Cemetery. Greenwood Cemetery Association assumed operation in 1896. Many people prominent in the histories of the city, state and nation rest here, in addition to casualties and verterans of every American military involvement since the War between the States.",
"Cooke, Colonel William G.","Ewing and Clarendon Avenues","intersection of Ewing Ave. and Clarendon Ave. (in traffic triangle)","Roadway","Good","1936.0","grey Centennial","To the memory of Colonel William G. Cooke and forty other members of the Regular Army, Republic of Texas, who camped in this vicinity in October, 1840 while locating the Central National Highway. The importance of this military road in the history of Dallas will not be forgotten.(Corinth Street Viaduct, Dallas)",
"Giving Community Thanks","1625 Elm","on Pacific St. side of Palace Theatre wall facing Thanksgiving Square","Unclassified",,"1971.0",,"Thanksgiving is man's response to his Creator. In an unusual early expression of interfaith good will, a rabbi, a priest, and Protestant ministers started in 1907 at Bush Temple in Dallas a community worship service of thanksgiving which continued until 1918.The 100th anniversary of Dallas in 1941 was a service of thanksgiving and dedication in the Hall of State at Fair Park. In the war year of 1942, a Thanksgiving Day service was held at the Palace Theatre; this was repeated annually for 16 years.To celebrate thanksgiving at all times--not just annually--a foundation purchased land in 1968 for Thanks-Giving Square, here in downtown Dallas.People on this continent have given God thanks in their own way, beginning with the Indians centuries ago. The Spanish in 1541 recorded a Thanksgiving by Fray Juan Padilla of Coronado's Expedition in Palo Duro Canyon near present Amarillo. In 1842, President Sam Houston asked the Republic of Texas to give thanks for its place among the independent nations of the earth. After statehood, governors started in 1849 to issue annual proclamations fulfilling this universal tradition so long honored in Texas.",
"McCree Cemetery","9900 blk. of Audelia","accessed via alleyway (cemetery is behind SW Bell Building)","Cemetery",,"1985.0","18 x 28","The first land for this cemetery was granted by Mahulda Bonner McCree in 1866. At least two burials, for John Henry Jones (d. 1862) and Elizabeth McCullough (d. 1864), occurred before the graveyard was formally deeded. Over the years, the cemetery has been enlarged to cover over 3 acres. It contains the graves of Peters colonists, war veterans, and many persons associated with early area Methodist and Baptist churches. McCree Cemetery remains an important part of the recorded history of Dallas County.",
"Kleberg","1500 block of Edd Rd.","Kleberg/Rylie Recreation Center","City",,"1988.0","18 x 28","The town of Kleberg began in 1850 on the land grant of Robert Justus Kleberg (1803 - 1888), veteran of the Republic of Texas Army and a participant in the Battle of San Jacinto. Originally a stage stop where two wagon trails crossed, Kleberg grew into a farming community. After the railroad came in 1881, the town boasted a post office, bank, and a number of retail businesses. The construction of a series of dams and locks on the Trinity River provided jobs in the early 1900s but a 1908 flood destroyed the work. Incorporated in 1956, Kleberg was annexed by Dallas in 1978.","POINT (-96.601582 32.68511)"
"Ross Avenue Baptist Church","5201 Ross Avenue",,"Church",,"1999.0","Medallion & Plate","This congregation began as a mission of the First Baptist Church in 1894, and was formally organized as the Haskell Avenue Baptist Church in 1908. Designed by prominent Fort Worth architects E. W. Van Slyke and Charles Woodruff after this site was acquired in 1915, this building was completed in 1917. A sophisticated example of early 20th century classicism, it exhibits hallmarks of the style including a pedimented entry portico with colossal Order Ionic columns and classical architrave. Its lantern dome is a visual landmark for much of east Dallas.   Recorded Texas Historic Landmark - 1999","POINT (-96.772951 32.808894)"
"Wheatland Methodist Church","8000 S. Hampton",,"Church",,"1965.0","Medallion & Plate","Founded in 1847, year after Texas joined the United States. Known as the oldest Methodist church west of Trinity River. Built on present site, 1859. Enlarged building, 1912, adding steeple, stained glass windows.RTHL - 1965","POINT (-96.857049 32.649035)"
"Highland Park Methodist Church","3300 Mockingbird",,"Church",,"1995.0","27 x 42","This congregation traces its origin to the founding of a church at Southern Methodist University in early February 1916. Known as the University Church, its first members came from the campus community of faculty and students.Methodist Bishop Edwin D. Mouzon appointed the Rev. A. Frank Smith as first pastor. The church gained added support and leadership when Methodist families living in the new suburb of Highland Park transferred their memberships. It was renamed Highland Park Methodist Episcopal Church, South, and at the end of 1916 the charter roll listed 225 members.Southern Methodist University donated land at this site to the church in 1916, and in 1917 the congregation erected a temporary structure known as the ""Little Brown Church."" The town of Highland Park annexed the church property in 1923, a legal formality that cleared the way for construction of a new Gothic Revival sanctuary in 1926.Due to rapid growth in membership, the church added three new buildings to its main campus between 1950 and 1961. By 1995 membership exceeded 10,500. The congregation continues its historic commitment to community service and international missions.","POINT (-96.786098 32.836544)"
"South Boulevard-Park Row Historic District","Atlanta & South Blvd.",,"Neighborhood",,"1981.0","27 x 42","This neighborhood is one of the few remaining intact residential districts which reflect the early twentieth century surburban development of Dallas. Construction of homes in this vicinity began soon after the Jewish Temple Emanuel El was moved here in 1913 from its downtown location. Many early residents of the neighborhood were prominent leaders of the Dallas Jewish community.Included in the district are homes designed by the leading area architects of the time. The structures feature a variety of popular architectural influences, representing details of the midwestern prairie, Mission Revival, Classical Revival, and Georgian styles.A gradual migration of area residents to newer suburban developments began following the end of World War II. During the 1950s, the South Boulevard-Park Row neighborhood became the home of many prominent Black leaders of the Dallas area. Residents here have included educators, lawyers, merchants, clergymen, doctors, and business executives. Since the early twentieth century the neighborhood has been a symbol of the growth, prosperity, and vitality of Dallas.","POINT (-96.771763 32.767951)"
"Sanger Brothers Department Store","303 N. Akard St.",,"Unclassified","missing","1984.0","18 x 28","This retail establishment traces its history to 1857, when German native Isaac Sanger opened a small dry goods store in McKinney. Sanger later was joined by his brothers Lehman, Philip, Alex, and Sam. The first store to bear the name Sanger Bros. opened in 1867 in Bryan. New stores were established as the railroad line moved north to Dallas, where the Sangers opened a store in 1872. Sanger Bros. became nationally known for its innovative marketing and merchandising techniques and played a major role in the city's commercial development.","POINT (-96.800089 32.782519)"
"Dr. Frank E. Rutherford Veterinary Hospital","924 S. Haskell",,"Unclassified",,"1999.0","Medallion & Plate","This building was erected about 1924 to house the veterinary practice of Dr. Frank E. Rutherford (1876-1932), who began practicing in east and south Dallas in about 1906. When Dr. Rutherford died in 1932, his son-in-law graduated from veterinary school and assumed ownership of the practice; Rutherford's widow Nell retained title to the building until her death in 1975. The practice continues in operation under new ownership. The fine structure's outstanding features include a line of transom windows, simple parapet and tile roof canopy.   Recorded Texas Historic Landmark - 1999","POINT (-96.764177 32.783768)"
"Cedar Springs","Lemmon Ave.","on Lemmon Avenue between Hawthorne and Loma Alto Dr. in Craddock Park; Dallas","Waterway","Good","1936.0","grey Centennial","CEDAR SPRINGSEarliest known historic site in Dallas CountyVisited in 1840 by Colonel Wm. G. Cooke's preliminary exploration for a route between Austin and Red River. A community also called Cedar Springs, established in this vicinity in 1843 by Dr. John Cole, rivalled Dallas in an election in 1848 for county seat. In 1929, the land was annexed to Dallas.",
"Hoblitzelle, Karl St. John","1925 Elm St.",,"Unclassified",,"1979.0","27 x 42","(October 22, 1879 - March 8, 1967)A young Missourian, Karl Hoblitzelle in 1904 helped produce the St. Louis World's Fair, where he gained respect for vaudeville. In 1905 he founded Interstate Amusement Company and opened theatres in Dallas, Fort Worth, Waco, and San Antonio. Soon he had theatres from Texas to Alabama. The Majestic Theatre was his headquarters for many years. About 1920 he began showing motion pictures. A pioneer in wiring for sound and in air-conditioning his theatres, he set national trends as an exhibitor.Prominent in planning the 1936 Centennial of Texas Independence, he also headed the 1945-46 celebration of a Century of Texas Statehood. Later he organized a foundation for promoting knowledge of Texas History.In 1942 he and his wife, Esther (Thomas), chartered a philanthropic foundation and channeled funds to schools, hospitals, agriculture, and other endeavors.Seeking to improve entertainment, he collected widely on topics as diverse as circus, cinema, opera and puppetry. In 1956 he gave his archives to the University of Texas at Austin as the nucleus for the Hoblitzelle Theatre Arts Library. The Medal of Good Merit was awarded to him by Pope Pius XII for his works in education and charity.","POINT (-96.794958 32.782345)"
"Original Site of Neiman-Marcus","1200 blk. of Main","at One Main Place Retail Center at North side entrance in Planter","Unclassified",,"11982.0","18 x 28","On September 10, 1907, the first Neiman - Marcus store opened at this site. Established by Herbert Marcus, Sr., his sister Carrie Marcus Neiman and her husband A. L. Neiman, it was founded on the principles of innovative marketing concepts and quality merchandise. Located in the center of Dallas' early retail district, the store was the cornerstone of the firm's later development as one of the leading retail establishments of the city and the nation. A fire destroyed the building here in 1913 and a new structure was built at Main and Ervay streets.",
"Louis Wagner Home","5370 Live Oak",,"Home",,"1979.0","Medallion & Plate","A German immigrant, Louis wagner (1848 - 1909) became a successful Dallas businessman. In 1884 he and his wife Anna Pretz Wagner built this residence. She was the daughter of Jacob Pretz, an early settler of the Swiss Avenue area. The house was originally located at 2917 Bryan Street. In January 1977 it was moved to this location to save it from demolition. The residence has been restored to a turn-of-the-century appearance.RTHL - 1979","POINT (-96.76741 32.806824)"
"Cabell, General William L.","Greenwood Cemetery","grave site at Cabell family plot (#25) near corner of Mary Ave. and Freedom Ave., Greenwood Cemetery, Dallas","Unclassified","letter in file indicates marker was never placed","1963.0","pink Centennial Civil War","Star and WreathGeneral William L. Cabell1861: resigned U.S. Army start Civil War. Appointed Major, C.S.A. Chief Quartermaster Army of Potomac. 1862: sent to Trans-Mississippi under Gen. Earl Van Dorn. Made Brigadier General after Battle Pea Ridge, Ark. Supervised retreat Van Dorn's army to Corinth, Miss. - 1862-64: Northwest Arkansas command. Led Cavalry brigade 33 engagements. Wounded Hatchie bridge, Tenn. Captured Mine Creek, Kans. 1864. Released Aug. 1865. Came to Texas 1872.Erected by the State of Texas 1963(back side)WILLIAM LEWIS CABELL (1827 - 1911)Native of Virginia. West Point graduate 1850. Served mainly with Quartermaster Department in Arkansas, Nebraska, Kansas, Indian Territories 1851-61 until resignation 1861 to join the Confederate Army. Rose to general's rank. Moved to Texas 1872. Mayor of Dallas 1874, 1877, 1884. U.S. Marshall 1885-89. Active in Democratic politics, railroading, and commander of Trans-Confederate veterans.",
"Magnolia (Mobil) Building","Commerce at Akard",,"Commmercial Building",,"1978.0","Medallion and Plate","Erected in 1921-22, this building housed the offices of Magnolia Petroleum Co., later Mobil Oil Co. It was designed by Sir Alfred C. Bossom (1881 - 1965), noted British architect, and built at a cost of $4 million. The tallest structure in Dallas for almost 20 years, it reflected the city's increasing economic importance. In 1934 a revolving neon sign was placed atop the building. The ""flying red horse,"" trademark for Magnolia products, quickly became a local landmark.RTHL - 1978",
"Governor W. Lee O'Daniel","Hillcrest Memorial Park","7405 W. Northwest Hwy.","Unclassified",,"1981.0","grave marker","(March 11, 1890 - May 11, 1969)Born in Ohio, Wilbert Lee O'Daniel moved to Texas in 1925. A flour mill executive, he pioneered in radio advertising and country music. His ""Hillbilly Boys"" theme song resulted in his nickname ""Pappy."" In his first try for public office he won a primary over 12 oponents and became Governor of Texas (1938). During his second term in 1941 he won a special election to the U.S. Senate, defeating Lyndon B. Johnson and others. He was elected to a full term in 1942.",
"Trinity Portland Cement Company Cemetery","5300 Singleton","at Clymer","Cemetery",,"1991.0","27 x 42","El Camposanto de Cemento GrandeDe La Compania Trinity PortlandThe Southwestern States Portland Cement Company was established in this area in 1909. Many of the company's employees were Mexican immigrants who came to this area to escape the Mexican Revolution. The company name was changed after Trinity Portland Cement Company purchased the business in 1915.Two company villages were built near the cement plant, one for Anglos and one for Mexican laborers. About 1918, the company donated land for use as a community cemetery by its Hispanic employees.It is believed that the first people buried in the cemetery were victims of the 1918 influenza epidemic, including many children. A number of cement company workers and their family members were interred here, and the cemetery was cared for by residents of the company town. The last burial occurred when Eladio R. Martinez (1921 - 1945) was reinterred here. A native of the village, he was killed in action in the Pacific during World War II, and was originally buried in the Philippines.Although the company housing was removed from this area by 1959, this cemetery remains as a reminder of the village which once occupied this area, sometimes referred to as Eagle Ford, texas.","POINT (-96.908201 32.778467)"
"Dallas County","Historical Plaza","Dallas County Historical Plaza (at Elm, Market & Main), Dallas","County","Faded; refinish","1986.0","27 x 42","Dallas CountyAfter Texas became a Republic in 1836, the Trinity River separated Robertson County to the west and Nacogdoches County to the east. This area, called ""Three Forks"" for the confluence of three branches of the Trinity, was settled mainly by Peters colonists after 1841. A town named Dallas was on this site by 1842. Its founder, John Neely Bryan, led efforts to create Dallas County in 1846, which included the settlements of Dallas, Cedar Springs, Farmers Branch, and Hord's Ridge. The Legislature possibly named the county for George Mifflin Dallas (1792 - 1864), then vice president of the United States. The town of Dallas was confirmed as county seat by election in 1850.The 1850 census showed 2,743 settlers in the county, most of whom were farmers. Railroads came in the 1870s and the population leaped in 1880 to 33,488, one-third living in the City of Dallas. In 1885 farmland sold for $15 per acre; by 1920, with cotton prices briefly soaring, farmland was worth $300 per acre.Railroads, interurban lines, and highways aided the urbanization of the county, which accelerated during the 1930s depression. After World War II the county became primarily urban. In 1980 the county population was 1,556,549, less than two per cent rural.Texas Sesquicentennial 1836 - 1986",
"Cherokees in Dallas","1717 Gano St.","in Old City Park at 1717 Gano St., Dallas","Unclassified","Faded; refinish","1968.0","20 x 20","Ninety Cherokee Indians, led by Chief Bowles, immigrated to this area from Arkansas Territory in 1819, but were driven out 2 years later by hostile Indians who resented the intrusion.Remnants of group signed Treaty of Sept. 29, 1843, agreeing to respect the Republic of Texas and its settlers.1968","POINT (-96.788645 32.77186)"
"Texas Centennial Exposition","Hall of State, Fair Park",,"Unclassified","not surveyed",,"27 x 42","As plans began to take shape for the Centennial celebration of Texas Independence, a group of Dallas businessmen led by R. L. Thornton, Sr., Fred Florence, and Nathan Adams, joined together to promote the city as the host of the major Centennial event.The Centennial Exposition Corporation, formed in 1935, took temporary control of the State Fair grounds, and a team of over 100 architects, artists, and craftsmen soon began designing the Exposition complex. Employing thousands of people in the midst of the Great Depression, the project resulted in the creation of impressive structures, works of art, and landscaping.Officially opened by Gov. James Allred on June 6, 1936, activities of the Exposition included a spectacular parade through downtown Dallas, guest speakers, and nationwide news coverage. In his speech to the crowd, U. S. Secretary of Commerce Daniel Roper declared ""America, here is Texas!"" President and Mrs. Franklin D. Roosevelt visited the Exposition on June 12.The Exposition ran for 178 days, entertaining over six million people. It was a turning point in the development of the city of Dallas and left a legacy of art, history, architecture, and culture to generations of Texans.",
"Five Mile Cemetery","Kiest Blvd.","near intersection w/Rio Grande","Cemetery","Stolen","1969.0","20 x 20","Established 1859 on land given to local Baptist Church (later known as Five Mile Church). Donor Abraham Bast is interred here. Among other burials are the Rev. Arthur Ledbetter (d. 1859), a church founder; area pioneers; and 2 Confederate soldiers. Cemetery has 550 graves and is still in use.1969",
"Lisbon Cemetery","4300 S. Denley Dr.",,"Cemetery",,"1975.0","18 x 28","In 1870 Samuel Sloan (1811 - 1892) and E. A. Gracey (1837 - 1915) donated five acres of land near the center of the pioneer town of Lisbon, now part of Dallas, as a church and cemetery site. The oldest known grave is that of James J. Dowd, who died Oct. 24, 1871). A community church and school was erected in 1871; later separate churches were built. After the school was closed in 1917 and the churches were moved to other locations, the property was used only for burials. Descendants of the town's early settlers formed the Lisbon Cemetery Association in 1948 to restore and maintain the site.Marker Sponsor: Lisbon Cemetery Association","POINT (-96.79502 32.696182)"
"Hilton Hotel","1933 Main St.","corner of Main and Harwood Sts.","Hotel",,"1988.0","Medallion and Plate","Designed by the architectural firm of Lang and Witchell, this hotel was built in 1925 for Conrad Hilton, and was the first to bear the Hilton name. The hotel advertised comfortable guest rooms and superior service at moderate prices. The fourteen-story, U-plan brick-clad building features elaborate terra cotta details at the two entries. Operated by A. C. White beginning in 1938, it was known as the White-Plaza until 1974.RTHL - 1988","POINT (-96.79451 32.78164)"
