"objectid","filenum","uofnum","occurred_d","occurred_t","current_ba","offsex","offrace","hire_dt","off_injure","offcondtyp","off_hospit","service_ty","forcetype","uof_reason","cycles_num","forceeffec","street_n","street","street_g","street_t","address","citnum","citrace","citsex","cit_injure","citcondtyp","cit_arrest","cit_infl_a","citcharget","ra","beat","sector","division","dist_name","taag_name","x","y","geocoded_column"
,"UF2018-0087","47816, 47817","2018-02-05T00:00:00.000",,"9215.00000000000","Male","Black","2007-09-05T00:00:00.000","No","No injuries noted or visible","No","Arrest","Handcuffing Take Down, Hand Controlled Escort","Arrest","NULL","Yes, Yes","8200.00000000000","Walnut Hill","NULL","Ln.","8200 Walnut Hill Ln.","53380.00000000000","Black","Male","No","No injuries noted or visible","Yes","Mentally unstable","Murder","1062","211","210","NORTHEAST",,,,,"POINT (-96.763574 32.883139)"
,"UF2018-0087","47814","2018-02-05T00:00:00.000",,"7127.00000000000","Male","Black","1994-12-09T00:00:00.000","No","No injuries noted or visible","No","Call for Cover","Held Suspect Down","Danger to self or others","NULL","Yes","8440.00000000000","Walnut Hill","NULL","Ln.","8440 Walnut Hill Ln.","53380.00000000000","Black","Male","No","No injuries noted or visible","Yes","Unknown Drugs","Murder","1063","212","210","NORTHEAST",,,,,"POINT (-96.758829 32.883245)"
,"UF2018-0699","50155, 50156","2018-06-03T00:00:00.000",,"11110.00000000000","Female","Hispanic","2015-11-18T00:00:00.000","No","No injuries noted or visible","No","Service Call","Handcuffing Take Down, Held Suspect Down","Other","NULL","Yes, Yes","5957.00000000000","Amesbury","NULL","Dr.","5957 Amesbury Dr.","50998.00000000000","White","Male","No","No injuries noted or visible","No","Alchohol","No Arrest",,,,,,,,,
,"UF2018-1205","52514, 52515","2018-10-01T00:00:00.000",,"10498.00000000000","Male","White","2013-04-10T00:00:00.000","No","No injuries noted or visible","No","Suspicious Activity","Weapon display at Person, Held Suspect Down","Other","NULL","Yes, Yes","7880.00000000000","Alpha","NULL","Rd.","7880 Alpha Rd.","56063.00000000000","Black","Male","No","No injuries noted or visible","No","Unknown","No Arrest","1020","635","630","NORTH CENTRAL",,,,,"POINT (-96.770888 32.927476)"
,"UF2018-1436","52895, 52897, 52898","2018-10-20T00:00:00.000",,"9641.00000000000","Male","Hispanic","2008-10-29T00:00:00.000","No","No injuries noted or visible","No","Call for Cover","Foot Pursuit, Taser Display at Person, Held Suspect Down","Arrest","NULL","No, No, No","3233.00000000000","Sumter","NULL","Dr.","3233 Sumter Dr.","56264.00000000000","Hispanic","Male","Yes","Bite, Fracture","Yes","Agitated","Evading Arrest, Resisting Arrest, Criminal Mischief, Crim Trespass/Hab/Weapon","3059","538","530","NORTHWEST",,,,,"POINT (-96.865846 32.861944)"
,"UF2018-0280","47801","2018-02-02T00:00:00.000",,"9873.00000000000","Male","White","2009-06-10T00:00:00.000","No","No injuries noted or visible","No","Arrest","Taser","Arrest","1","Yes","11740.00000000000","Ferguson","NULL","Rd.","11740 Ferguson Rd.","53362.00000000000","Black","Male","Yes","Injury Not Related to Force","Yes","None detected","Warrant/Hold, Evading Arrest","1132","228","220","NORTHEAST",,,,,"POINT (-96.650016 32.854779)"
,"UF2018-0135","47511, 47514, 47516","2018-01-19T00:00:00.000",,"11281.00000000000","Male","Other","2017-02-22T00:00:00.000","No","No injuries noted or visible","No","Service Call","BD - Pushed, Held Suspect Down, BD - Grabbed","Arrest","NULL","Yes, Yes, Yes","2663.00000000000","Scotland","NULL","Dr.","2663 Scotland Dr.","53188.00000000000","NULL","Male","No","No injuries noted or visible","Yes","FD-Suspect Unarmed","Assault/FV","4300","726","720","SOUTH CENTRAL",,,,,"POINT (-96.778927 32.703032)"
,"UF2018-0109","47952","2018-02-11T00:00:00.000",,"10955.00000000000","Male","American Ind","2015-01-14T00:00:00.000","No","No injuries noted or visible","No","Arrest","Held Suspect Down","Other","NULL","Yes","4600.00000000000","Malcolm X","S","Blvd.","4600 S Malcolm X Blvd.","49487.00000000000","Black","Male","No","No injuries noted or visible","Yes","Alchohol and unknown drugs","Public Intoxication, Warrant/Hold, Drug Possession - Misdemeanor","2167","346","340","SOUTHEAST",,,,,
,"UF2018-1677","52400, 52401","2018-09-25T00:00:00.000",,"10674.00000000000","Female","Asian","2013-09-25T00:00:00.000","No","No injuries noted or visible","No","Service Call","Take Down - Arm, Taser","Arrest","1","No, Yes","1300.00000000000","EMERALD","NULL","St.","1300 EMERALD St.","55993.00000000000","White","Male","Yes","Injured prior to contact, Bloody Nose, Abrasion/Scrape","Yes","Alchohol","Public Intoxication, Resisting Arrest",,,,,,,,,"POINT (-119.165332 34.222678)"
,"UF2018-1693","53910","2018-12-11T00:00:00.000",,"7579.00000000000","Male","Hispanic","1997-09-19T00:00:00.000","No","No injuries noted or visible","No","Warrant Execution","Taser","Aggressive Animal","4","Yes","3418.00000000000","Harlingen","NULL","St.","3418 Harlingen St.","40441.00000000000",,,"No","No injuries noted or visible","No","NULL","No Arrest","4015","421","420","SOUTHWEST",,,,,"POINT (-96.90461200000001 32.78422)"
,"UF2018-1695","54136, 54137","2018-12-26T00:00:00.000",,"10768.00000000000","Male","White","2014-03-12T00:00:00.000","No","No injuries noted or visible","No","Service Call","Verbal Command, Take Down - Arm","Arrest","NULL","No, Yes","2848.00000000000","Northwest","W","Hwy.","2848 W Northwest Hwy.","50774.00000000000","Black","Male","Yes","Abrasion/Scrape","Yes","Unknown Drugs","APOWW","3067","522","520","NORTHWEST",,,,,"POINT (-96.87312 32.857396)"
,"UF2018-0450","49416","2018-04-25T00:00:00.000",,"10652.00000000000","Male","White","2013-09-25T00:00:00.000","No","No injuries noted or visible","No","Arrest","Take Down - Body","Arrest","NULL","Yes","400.00000000000","Lamar","N","St.","400 N Lamar St.","54292.00000000000","Black","Male","No","No injuries noted or visible","Yes","Unknown Drugs","Other Misdemeanor Arrest, Evading Arrest, Warrant/Hold","2049","132","130","CENTRAL",,,,,"POINT (-96.804915 32.781574)"
,"UF2018-0078","47600, 47601","2018-01-23T00:00:00.000",,"10543.00000000000","Male","White","2013-05-08T00:00:00.000","No","No injuries noted or visible","No","Arrest","Held Suspect Down, Joint Locks","Active Aggression","NULL","No, No","3400.00000000000","Pine","NULL","St.","3400 Pine St.","53223.00000000000","Black","Male","Yes","Abrasion/Scrape","Yes","None detected","Resisting Search and Transport","2146","346","340","SOUTHEAST",,,,,"POINT (-96.100147 33.133291)"
,"UF2018-0830","50454","2018-06-19T00:00:00.000",,"6415.00000000000","Male","White","1990-07-16T00:00:00.000","No","No injuries noted or visible","No","Arrest","K-9 Deployment","Arrest","NULL","Yes","5301.00000000000","Second","NULL","Ave.","5301 Second Ave.","54920.00000000000","Black","Male","Yes","Puncture","Yes","None detected","Theft","2182","348","340","SOUTHEAST",,,,,"POINT (-81.541962 39.343289)"
,"UF2018-1404","53362, 53363","2018-11-24T00:00:00.000",,"10968.00000000000","Male","Asian","2015-01-28T00:00:00.000","No","No injuries noted or visible","No","Crowd Control","OC Spray, Take Down - Body","Active Aggression","NULL","Yes, Yes","2700.00000000000","McKinney","NULL","Ave.","2700 McKinney Ave.","0.00000000000","White","Male","Yes","OC Spray Treatment","Yes","Alchohol","Public Intoxication","2014","121","120","CENTRAL",,,,,"POINT (-96.801391 32.797636)"
,"UF2018-1601","54659","2018-12-13T00:00:00.000",,"11013.00000000000","Male","Hispanic","2015-05-06T00:00:00.000","No","No injuries noted or visible","No","Crime in Progress","Weapon display at Person","Arrest","NULL","Yes","4600.00000000000","Lomax","NULL","Dr.","4600 Lomax Dr.","56840.00000000000","Black","Male","No","No injuries noted or visible","Yes","None detected","Evading Arrest, Robbery","1229","322","320","SOUTHEAST",,,,,"POINT (-96.694357 32.777635)"
,"UF2018-0512","49695, 49696","2018-05-06T00:00:00.000",,"10652.00000000000","Male","White","2013-09-25T00:00:00.000","Yes","Abrasion/Scrape, Fracture","Yes","Arrest","Hand/Arm/Elbow Strike, Taser","Arrest","NULL","No, No","600.00000000000","Main","NULL","St.","600 Main St.","42208.00000000000","Black","Male","Yes","Redness/Swelling, Laceration/Cut","Yes","Alchohol and unknown drugs","APOWW","2059","131","130","CENTRAL",,,,,"POINT (-87.679265 42.033107)"
,"UF2018-0557","49140, 49141","2018-02-07T00:00:00.000",,"10767.00000000000","Male","White","2014-03-12T00:00:00.000","No","No injuries noted or visible","No","Arrest","Verbal Command, Weapon display at Person","Arrest","NULL","No, Yes","11770.00000000000","Ferguson","NULL","Rd.","11770 Ferguson Rd.","50155.00000000000","Black","Male","No","No injuries noted or visible","Yes","FD-Suspect w/ Gun","Evading Arrest","1132","228","220","NORTHEAST",,,,,"POINT (-96.649531 32.855189)"
,"UF2018-0659","50344, 50345, 50346, 50347, 50348, 50349","2018-06-15T00:00:00.000",,"6241.00000000000","Male","White","1990-02-26T00:00:00.000","No","No injuries noted or visible","No","Arrest","Handcuffing Take Down, Held Suspect Down, BD - Pushed, Verbal Command, Verbal Command, BD - Grabbed","Arrest","NULL","Yes, Yes, Yes, No, No, Yes","12660.00000000000","Jupiter","NULL","Rd.","12660 Jupiter Rd.","54852.00000000000","Asian","Female","Yes","Abrasion/Scrape","Yes","Mentally unstable","Other Misdemeanor Arrest","1090","233","230","NORTHEAST",,,,,"POINT (-96.683027 32.868069)"
,"UF2018-1012","51615, 51616, 51617","2018-08-19T00:00:00.000",,"10602.00000000000","Male","Hispanic","2014-04-08T00:00:00.000","No","No injuries noted or visible","No","Arrest","BD - Grabbed, Hand Controlled Escort, Verbal Command","Arrest","NULL","Yes, Yes, No","3100.00000000000","Nicholson","NULL","Dr.","3100 Nicholson Dr.","55568.00000000000","Hispanic","Male","No","No injuries noted or visible","Yes","Alchohol","Public Intoxication","4239","445","440","SOUTHWEST",,,,,"POINT (-81.295859 28.620669)"
,"UF2018-1525","52612, 52613, 52614","2018-10-06T00:00:00.000",,"11145.00000000000","Male","White","2016-02-24T00:00:00.000","No","No injuries noted or visible","No","Service Call","Verbal Command, Take Down - Arm, Joint Locks","Detention/Frisk","NULL","No, Yes, No","1500.00000000000","Westmoreland","S","Rd.","1500 S Westmoreland Rd.","39293.00000000000","Hispanic","Male","Yes","Abrasion/Scrape","Yes","Unknown Drugs","Drug Possession - Felony, Other Felony Arrest","4186","447","440","SOUTHWEST",,,,,"POINT (-96.873763 32.498665)"
,"UF2018-0287","48599, 48600","2018-03-18T00:00:00.000",,"9675.00000000000","Male","White","2008-12-10T00:00:00.000","No","No injuries noted or visible","No","Arrest","Joint Locks, BD - Pushed","Arrest","NULL","Yes, Yes","1416.00000000000","bennett","NULL","Ave.","1416 bennett Ave.","53800.00000000000","White","Male","No","No injuries noted or visible","Yes","Alchohol and unknown drugs","Public Intoxication","1182","145","140","CENTRAL",,,,,"POINT (-96.773134 32.80524)"
,"UF2018-1215","52740","2018-10-13T00:00:00.000",,"9945.00000000000","Male","Asian","2009-08-19T00:00:00.000","No","No injuries noted or visible","No","Arrest","BD - Grabbed","Arrest","NULL","Yes","7423.00000000000","Chaucer","NULL","Pl.","7423 Chaucer Pl.","56191.00000000000","Black","Female","No","OC Spray Treatment","Yes","Mentally unstable","APOWW","4360","744","740","SOUTH CENTRAL",,,,,"POINT (-96.866945 32.657721)"
,"UF2018-1636","53903, 53904","2018-12-16T00:00:00.000",,"10987.00000000000","Male","Asian","2015-03-11T00:00:00.000","No","No injuries noted or visible","No","Service Call","Verbal Command, Taser","Arrest","1","No, Yes","1810.00000000000","Jim Reinthal","NULL","Ct.","1810 Jim Reinthal Ct.","56876.00000000000","Hispanic","Male","Yes","Taser Burn Marks","Yes","NULL","Fail to ID, Evading Arrest, Warrant/Hold","1257","327","320","SOUTHEAST",,,,,"POINT (-96.647119 32.744147)"
,"UF2018-1651","53936, 53937","2018-12-18T00:00:00.000",,"8225.00000000000","Male","White","2002-04-12T00:00:00.000","No","No injuries noted or visible","No","Arrest","Verbal Command, Taser","Active Aggression","1","No, Yes","1100.00000000000","Empire Central","NULL","NULL","1100 Empire Central","56905.00000000000","White","Male","Yes","Puncture","Yes","Alchohol and unknown drugs","Public Intoxication","3077","512","510","NORTHWEST",,,,,
,"UF2018-1280","52694, 52695, 52696","2018-10-10T00:00:00.000",,"10235.00000000000","Male","Hispanic","2010-08-18T00:00:00.000","No","No injuries noted or visible","No","Arrest","Verbal Command, Hand Controlled Escort, BD - Pushed","Arrest","NULL","No, No, Yes","3705.00000000000","Fordham","NULL","Rd.","3705 Fordham Rd.","56169.00000000000","Black","Male","Yes","Non-Visible Injury/Pain","Yes","Alchohol","Warrant/Hold","4227","717","710","SOUTH CENTRAL",,,,,"POINT (-74.98949200000001 40.067979)"
,"UF2018-0994","50443, 50444, 50445","2018-06-19T00:00:00.000",,"7816.00000000000","Male","White","1999-09-17T00:00:00.000","No","No injuries noted or visible","No","Arrest","Verbal Command, Taser, Joint Locks","Arrest","1","No, Limited, Yes","3000.00000000000","Blackburn","NULL","St.","3000 Blackburn St.","54915.00000000000","Black","Female","No","No injuries noted or visible","Yes","Unknown Drugs","Other Felony Arrest, Resisting Search and Transport","4514","125","120","CENTRAL",,,,,"POINT (-96.795347 32.80845)"
,"UF2018-0166","48436, 48437","2018-03-11T00:00:00.000",,"10751.00000000000","Male","Hispanic","2014-01-29T00:00:00.000","No","No injuries noted or visible","No","Crime in Progress","Weapon display at Person, Verbal Command","Weapon Display","NULL","Yes, Yes","13317.00000000000","KIT","NULL","Ln.","13317 KIT Ln.","53710.00000000000","Black","Male","No","No injuries noted or visible","Yes","None detected","Warrant/Hold","1021","643","640","NORTH CENTRAL",,,,,"POINT (-96.766112 32.929221)"
,"UF2018-0840","50971, 50972","2018-07-15T00:00:00.000",,"9738.00000000000","Male","White","2009-01-21T00:00:00.000","No","No injuries noted or visible","No","Arrest","Verbal Command, Held Suspect Down","Arrest","NULL","No, Yes","4417.00000000000","Lancaster","S","Rd.","4417 S Lancaster Rd.","55189.00000000000","Hispanic","Male","Yes","Abrasion/Scrape, Hospitalized, Treated by DFD","Yes","NULL","Assault/Public Servant, Resisting Arrest, Warrant/Hold","4304","726","720","SOUTH CENTRAL",,,,,"POINT (-96.793589 32.694837)"
,"UF2018-0074","47342","2018-01-07T00:00:00.000",,"11171.00000000000","Male","Hispanic","2016-04-06T00:00:00.000","No","No injuries noted or visible","No","Off-Duty Employment","Taser","Active Aggression","1","Yes","2709.00000000000","Mckinney","NULL","Ave.","2709 Mckinney Ave.","53035.00000000000","Black","Male","Yes","OC Spray Treatment, Treated by DFD","Yes","Alchohol","Disorderly Conduct, Other Felony Arrest","2038","122","120","CENTRAL",,,,,"POINT (-96.80126 32.798106)"
,"UF2018-0734","50751, 50752","2018-07-04T00:00:00.000",,"7342.00000000000","Male","Black","1995-12-08T00:00:00.000","No","No injuries noted or visible","No","Service Call","Taser, Verbal Command","Arrest","1","Yes, No","6500.00000000000","Forest","NULL","Ln.","6500 Forest Ln.","0.00000000000","Black","Male","No","No injuries noted or visible","Yes","Mentally unstable","No Arrest","1035","651","650","NORTH CENTRAL",,,,,"POINT (-86.4077 39.756378)"
,"UF2019-0329","52416, 52417","2018-09-23T00:00:00.000",,"11145.00000000000","Male","White","2016-02-24T00:00:00.000","No","No injuries noted or visible","No","Service Call","Verbal Command, Take Down - Body","Detention/Frisk","NULL","No, Yes","1310.00000000000","Cockrell Hill","N","Rd.","1310 N Cockrell Hill Rd.","56009.00000000000","Black","Male","No","No injuries noted or visible","Yes","Alchohol and unknown drugs","Public Intoxication","4078","416","410","SOUTHWEST",,,,,"POINT (-96.892858 32.757522)"
,"UF2018-1432","53575, 53576, 53577","2018-12-03T00:00:00.000",,"8581.00000000000","Male","Black","2004-12-17T00:00:00.000","No","No injuries noted or visible","No","Arrest","Hand/Arm/Elbow Strike, Verbal Command, Joint Locks","Active Aggression","NULL","Yes, No, Yes","2550.00000000000","Red Bird","W","Ln.","2550 W Red Bird Ln.","56730.00000000000","White","Male","No","Non-Visible Injury/Pain","Yes","Mentally unstable","Resisting Arrest","4345","742","740","SOUTH CENTRAL",,,,,"POINT (-96.859825 32.671131)"
,"UF2018-0957","51518, 51519, 51520, 51521","2018-08-10T00:00:00.000",,"10846.00000000000","Male","Hispanic","2013-02-06T00:00:00.000","No","No injuries noted or visible","No","Arrest","BD - Grabbed, BD - Grabbed, Held Suspect Down, BD - Grabbed","Assault to Other Person","NULL","Yes, Yes, Yes, Yes","5704.00000000000","Preston","NULL","Rd.","5704 Preston Rd.","55502.00000000000","Hispanic","Male","No","Injured prior to contact","Yes","Mentally unstable","Assault/FV, Assault/Public Servant",,,,,,,,,"POINT (-95.992595 30.869812000000003)"
,"UF2018-1408","52583","2018-10-04T00:00:00.000",,"9511.00000000000","Female","White","2008-07-09T00:00:00.000","No","No injuries noted or visible","No","Off-Duty Employment","Pressure Points","Active Aggression","NULL","Yes","2101.00000000000","Cedar Springs","NULL","Rd.","2101 Cedar Springs Rd.","56108.00000000000","White","Male","Yes","Laceration/Cut","Yes","Mentally unstable","APOWW","2040","122","120","CENTRAL",,,,,"POINT (-96.80516 32.793887)"
,"UF2018-1727","54233, 54234, 56586","2018-12-24T00:00:00.000",,"10887.00000000000","Male","Hispanic","2014-08-13T00:00:00.000","No","No injuries noted or visible","No","Arrest","Verbal Command, Hand/Arm/Elbow Strike, Foot Pursuit","Arrest","NULL","No, Yes, Yes","1222.00000000000","Montclair","S","Ave.","1222 S Montclair Ave.","56977.00000000000","Hispanic","Male","No","No injuries noted or visible","Yes","Unknown","Evading Arrest, Warrant/Hold, Unauthorize Use Vehicle, Other Misdemeanor Arrest","4161","444","440","SOUTHWEST",,,,,"POINT (-96.84687 32.73293)"
