"treatment_number","animal_id","condition_type","treatment_date","treatment_time","treatment_by","treatment_type","treatment_subtype","number_of_days","weight","temperature","visit_number","visit_type","visit_reason","month","year"
"T19-304234","A1077173",,"2019-08-02T00:00:00.000","11:49:46.753000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-304233",,,"AUG.2019","FY2019"
"T19-262536","A1073415","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-29T00:00:00.000","11:08:00","DT/CBM",,,,,,"T19-262536","EXAM",,"JUN.2019","FY2019"
"T19-311055","A1076323",,"2019-07-24T00:00:00.000","10:19:24.817000",,,,"14",,,"T19-293996",,,"JUL.2019","FY2019"
"T19-899850","A1056858",,"2019-01-30T00:00:00.000","16:22:26.083000",,,,"1",,,"T19-899842",,,"JAN.2019","FY2019"
"T19-261092","A1073415",,"2019-06-28T00:00:00.000","11:20:52.047000",,,,"1",,,"T19-261056",,,"JUN.2019","FY2019"
"T19-319545","A1072193",,"2019-08-15T00:00:00.000","12:48:18.950000",,,,"1",,,"T19-319541",,,"AUG.2019","FY2019"
"T19-984553","A1066280",,"2019-05-01T00:00:00.000","18:31:31.767000",,,,"1",,,"T19-984549",,,"MAY.2019","FY2019"
"T19-899845","A1056858",,"2019-01-30T00:00:00.000","16:22:08.490000",,,,"1",,,"T19-899842",,,"JAN.2019","FY2019"
"T19-903471","A1056858","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-02-04T00:00:00.000","09:53:00",,,,,,,"T19-903471","SURGERY-",,"FEB.2019","FY2019"
"T19-985630","A1066280",,"2019-05-02T00:00:00.000","13:38:21.560000",,,,"1",,,"T19-985623",,,"MAY.2019","FY2019"
"T19-320625","A1079269",,"2019-08-16T00:00:00.000","11:23:55.830000",,,,"1",,,"T19-320622",,,"AUG.2019","FY2019"
"T19-318625","A1079269",,"2019-08-14T00:00:00.000","16:21:09.117000",,,,"1",,,"T19-318620",,,"AUG.2019","FY2019"
"T19-318626","A1079269",,"2019-08-14T00:00:00.000","16:21:21.463000",,,,"1",,,"T19-318620",,,"AUG.2019","FY2019"
"T19-318623","A1079269",,"2019-08-14T00:00:00.000","16:20:55.543000",,,,"1",,,"T19-318620",,,"AUG.2019","FY2019"
"T19-318620","A1079269","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-14T00:00:00.000","16:19:00","LV",,,,"62.4",,"T19-318620","EXAM - ADOPTION",,"AUG.2019","FY2019"
"T19-320627","A1079269",,"2019-08-16T00:00:00.000","11:24:11.390000",,,,"1",,,"T19-320622",,,"AUG.2019","FY2019"
"T19-318628","A1079269",,"2019-08-14T00:00:00.000","16:21:39.520000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-318620",,,"AUG.2019","FY2019"
"T19-318627","A1079269",,"2019-08-14T00:00:00.000","16:21:35.400000",,"HEARTWORM TEST","LOW POSITIVE",,,,"T19-318620",,,"AUG.2019","FY2019"
"T19-320624","A1079269",,"2019-08-16T00:00:00.000","11:23:48.877000",,,,"1",,,"T19-320622",,,"AUG.2019","FY2019"
"T19-318624","A1079269",,"2019-08-14T00:00:00.000","16:21:05.373000",,,,"1",,,"T19-318620",,,"AUG.2019","FY2019"
"T19-333505","A1079269","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-28T00:00:00.000","10:08:00","AG",,,,,,"T19-333505","EXAM",,"AUG.2019","FY2019"
"T19-320622","A1079269","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-16T00:00:00.000","11:22:00","AR",,,,"63",,"T19-320622","SURGERY-CANINE SPAY",,"AUG.2019","FY2019"
"T19-318621","A1079269",,"2019-08-14T00:00:00.000","16:20:45.477000",,,,"1",,,"T19-318620",,,"AUG.2019","FY2019"
"T19-320626","A1079269",,"2019-08-16T00:00:00.000","11:24:04.687000",,,,"1",,,"T19-320622",,,"AUG.2019","FY2019"
"T19-320623","A1079269",,"2019-08-16T00:00:00.000","11:23:42.750000",,,,"1",,,"T19-320622",,,"AUG.2019","FY2019"
"T19-318622","A1079269",,"2019-08-14T00:00:00.000","16:20:50.607000",,,,"1",,,"T19-318620",,,"AUG.2019","FY2019"
"T19-333506","A1079269",,"2019-08-28T00:00:00.000","10:10:56.837000",,,,"1",,,"T19-333505",,,"AUG.2019","FY2019"
"T19-345578","A1081635",,"2019-09-07T00:00:00.000","18:14:37.860000",,,,"3",,,"T19-345576",,,"SEP.2019","FY2019"
"T19-976969","A1064923",,"2019-04-24T00:00:00.000","19:05:03.150000",,,,"1",,,"T19-976961",,,"APR.2019","FY2019"
"T19-959847","A1063176","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-05T00:00:00.000","19:24:00","LV",,,,"77",,"T19-959847","SURGICAL CONSULT","OBESE","APR.2019","FY2019"
"T19-954802","A1062859",,"2019-04-01T00:00:00.000","18:34:48.237000",,,,"1",,,"T19-954799",,,"APR.2019","FY2019"
"T19-281958","A1075270",,"2019-07-13T00:00:00.000","18:17:08.043000",,,,"1",,,"T19-281954",,,"JUL.2019","FY2019"
"T19-342049","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-06T00:00:00.000","12:21:00","NG",,,,"2.8",,"T19-342049","M-EVAL REQ",,"SEP.2019","FY2019"
"T19-281960","A1075270",,"2019-07-13T00:00:00.000","18:17:17.617000",,,,"1",,,"T19-281954",,,"JUL.2019","FY2019"
"T19-247105","A1060825",,"2019-06-18T00:00:00.000","18:42:51.880000",,,,"1",,,"T19-247103",,,"JUN.2019","FY2019"
"T19-984551","A1066280",,"2019-05-01T00:00:00.000","18:31:24.250000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-984549",,,"MAY.2019","FY2019"
"T19-293980","A1076329",,"2019-07-24T00:00:00.000","16:48:27.753000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-293973",,,"JUL.2019","FY2019"
"T19-272363","A1074457",,"2019-07-06T00:00:00.000","18:06:19.800000",,,,"1",,,"T19-272358",,,"JUL.2019","FY2019"
"T18-831221","A1037818",,"2018-11-18T00:00:00.000","13:57:38.320000",,,,"1",,,"T18-831216",,,"NOV.2018","FY2019"
"T19-200549","A1037818",,"2019-05-16T00:00:00.000","07:45:22.990000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-200543",,,"MAY.2019","FY2019"
"T18-831220","A1037818",,"2018-11-18T00:00:00.000","13:57:31.657000",,,,"1",,,"T18-831216",,,"NOV.2018","FY2019"
"T18-831219","A1037818",,"2018-11-18T00:00:00.000","13:57:25.440000",,,,"1",,,"T18-831216",,,"NOV.2018","FY2019"
"T18-831218","A1037818",,"2018-11-18T00:00:00.000","13:57:21.393000",,,,"1",,,"T18-831216",,,"NOV.2018","FY2019"
"T18-831217","A1037818",,"2018-11-18T00:00:00.000","13:57:17.517000",,"HEARTWORM TEST","NEGATIVE",,,,"T18-831216",,,"NOV.2018","FY2019"
"T18-850495","A1051538",,"2018-12-09T00:00:00.000","14:39:28.097000",,,,"1",,,"T18-850488",,,"DEC.2018","FY2019"
"T19-261506","A1070148",,"2019-06-28T00:00:00.000","14:49:44.500000",,,,"1",,,"T19-261505",,,"JUN.2019","FY2019"
"T19-200544","A1037818",,"2019-05-16T00:00:00.000","07:44:40.823000",,,,"1",,,"T19-200543",,,"MAY.2019","FY2019"
"T19-200546","A1037818",,"2019-05-16T00:00:00.000","07:44:54.630000",,,,"1",,,"T19-200543",,,"MAY.2019","FY2019"
"T18-850490","A1051538",,"2018-12-09T00:00:00.000","14:39:04.487000",,,,"1",,,"T18-850488",,,"DEC.2018","FY2019"
"T19-224310","A1070148",,"2019-06-03T00:00:00.000","13:13:31.090000",,,,"3",,,"T19-224307",,,"JUN.2019","FY2019"
"T19-230320","A1070148","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-07T00:00:00.000","00:06:00",,,,,,,"T19-230320","NURSERY",,"JUN.2019","FY2019"
"T19-224308","A1070148",,"2019-06-03T00:00:00.000","13:13:21.640000",,,,"1",,,"T19-224307",,,"JUN.2019","FY2019"
"T19-261507","A1070148",,"2019-06-28T00:00:00.000","14:49:49.620000",,,,"1",,,"T19-261505",,,"JUN.2019","FY2019"
"T18-850497","A1051538",,"2018-12-09T00:00:00.000","14:39:37.883000",,"HEARTWORM TEST","NEGATIVE",,,,"T18-850488",,,"DEC.2018","FY2019"
"T19-200545","A1037818",,"2019-05-16T00:00:00.000","07:44:48.567000",,,,"1",,,"T19-200543",,,"MAY.2019","FY2019"
"T19-200548","A1037818",,"2019-05-16T00:00:00.000","07:45:12.357000",,,,"1",,,"T19-200543",,,"MAY.2019","FY2019"
"T19-200547","A1037818",,"2019-05-16T00:00:00.000","07:45:03.833000",,,,"1",,,"T19-200543",,,"MAY.2019","FY2019"
"T19-224307","A1070148","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-03T00:00:00.000","13:12:00","LS",,,,"1.8",,"T19-224307","EXAM - ADOPTION",,"JUN.2019","FY2019"
"T18-831216","A1037818","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-11-18T00:00:00.000","13:56:00","NG",,,,"66",,"T18-831216","INTAKE EXAM",,"NOV.2018","FY2019"
"T18-850492","A1051538",,"2018-12-09T00:00:00.000","14:39:08.430000",,,,"1",,,"T18-850488",,,"DEC.2018","FY2019"
"T19-261509","A1070148",,"2019-06-28T00:00:00.000","14:50:00.573000",,,,"1",,,"T19-261505",,,"JUN.2019","FY2019"
"T19-261508","A1070148",,"2019-06-28T00:00:00.000","14:49:54.123000",,,,"1",,,"T19-261505",,,"JUN.2019","FY2019"
"T18-850488","A1051538","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-12-09T00:00:00.000","14:37:00","AG2",,,,"78",,"T18-850488","INTAKE EXAM",,"DEC.2018","FY2019"
"T19-224311","A1070148",,"2019-06-03T00:00:00.000","13:13:36.567000",,,,"1",,,"T19-224307",,,"JUN.2019","FY2019"
"T19-261510","A1070148",,"2019-06-28T00:00:00.000","14:50:07.287000",,,,"1",,,"T19-261505",,,"JUN.2019","FY2019"
"T18-850494","A1051538",,"2018-12-09T00:00:00.000","14:39:22.670000",,,,"1",,,"T18-850488",,,"DEC.2018","FY2019"
"T19-200543","A1037818","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-16T00:00:00.000","07:44:00","DT",,,,"68",,"T19-200543","EXAM - ADOPTION",,"MAY.2019","FY2019"
"T19-224309","A1070148",,"2019-06-03T00:00:00.000","13:13:25.837000",,,,"1",,,"T19-224307",,,"JUN.2019","FY2019"
"T18-850489","A1051538",,"2018-12-09T00:00:00.000","14:38:59.373000",,,,"1",,,"T18-850488",,,"DEC.2018","FY2019"
"T19-261505","A1070148","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-28T00:00:00.000","14:49:00","LR/PA",,,,"2",,"T19-261505","SURGERY-",,"JUN.2019","FY2019"
"T18-850493","A1051538",,"2018-12-09T00:00:00.000","14:39:15.600000",,,,"1",,,"T18-850488",,,"DEC.2018","FY2019"
"T19-224312","A1070148",,"2019-06-03T00:00:00.000","13:13:40.650000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-224307",,,"JUN.2019","FY2019"
"T19-269076","A1064923",,"2019-07-03T00:00:00.000","18:24:10.787000",,"HEARTWORM TEST","LOW POSITIVE",,,,"T19-269074",,,"JUL.2019","FY2019"
"T19-272364","A1074457",,"2019-07-06T00:00:00.000","18:06:22.220000",,,,"1",,,"T19-272358",,,"JUL.2019","FY2019"
"T19-245477","A1072193",,"2019-06-17T00:00:00.000","22:46:41.263000",,,,"1",,,"T19-245476",,,"JUN.2019","FY2019"
"T19-308435","A1076323",,"2019-08-06T00:00:00.000","10:02:46.250000",,,,"1",,,"T19-308434",,,"AUG.2019","FY2019"
"T19-267648","A1073891",,"2019-07-03T00:00:00.000","09:40:19.380000",,,,"1",,,"T19-267642",,,"JUL.2019","FY2019"
"T19-976963","A1064923",,"2019-04-24T00:00:00.000","19:03:55.713000",,,,"1",,,"T19-976961",,,"APR.2019","FY2019"
"T19-954719","A1062858",,"2019-04-01T00:00:00.000","17:00:29.467000",,,,"1",,,"T19-954713",,,"APR.2019","FY2019"
"T19-959846","A1063176",,"2019-04-05T00:00:00.000","15:45:24.477000",,,,"14",,,"T19-958836",,,"APR.2019","FY2019"
"T19-272543","A1070190",,"2019-07-07T00:00:00.000","11:04:58.970000",,,,"1",,,"T19-272541",,,"JUL.2019","FY2019"
"T19-310705","A1076323",,"2019-08-06T00:00:00.000","16:36:18.500000",,,,"1",,,"T19-308434",,,"AUG.2019","FY2019"
"T19-940167","A1060825",,"2019-03-18T00:00:00.000","08:09:55.613000",,,,"1",,,"T19-940164",,,"MAR.2019","FY2019"
"T19-959844","A1063176",,"2019-04-05T00:00:00.000","15:45:08.557000",,,,"14",,,"T19-958836",,,"APR.2019","FY2019"
"T19-267653","A1073891",,"2019-07-03T00:00:00.000","09:40:36.667000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-267642",,,"JUL.2019","FY2019"
"T19-335287","A1080725",,"2019-08-29T00:00:00.000","12:41:50.570000",,,,"1",,,"T19-335270",,,"AUG.2019","FY2019"
"T19-231811","A1067348",,"2019-06-08T00:00:00.000","07:21:03.363000",,,,"1",,,"T19-231810",,,"JUN.2019","FY2019"
"T19-973428","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-21T00:00:00.000","16:31:00","NG",,,,"50.6",,"T19-973428","INTAKE EXAM",,"APR.2019","FY2019"
"T19-976961","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-24T00:00:00.000","18:54:00","CP/PA",,,,"64.4",,"T19-976961","EXAM-VET",,"APR.2019","FY2019"
"T19-974757","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-23T00:00:00.000","10:42:00","CP/PA",,,,"66",,"T19-974757","SURGERY-",,"APR.2019","FY2019"
"T19-288119","A1070190","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-19T00:00:00.000","12:18:00","IT",,,,,,"T19-288119","EXAM",,"JUL.2019","FY2019"
"T19-342720","A1080725",,"2019-09-05T00:00:00.000","10:11:28.260000",,,,"3",,,"T19-342710",,,"SEP.2019","FY2019"
"T19-246036","A1072193","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-18T00:00:00.000","11:07:00","SR",,,,"36",,"T19-246036","EXAM - ADOPTION",,"JUN.2019","FY2019"
"T19-304159","A1070190",,"2019-08-02T00:00:00.000","11:13:30.490000",,,,"1",,,"T19-304157",,,"AUG.2019","FY2019"
"T19-203734","A1067348",,"2019-05-18T00:00:00.000","08:15:38.810000",,,,"1",,,"T19-203730",,,"MAY.2019","FY2019"
"T19-975590","A1065048","UNKNOWN","2019-04-23T00:00:00.000","16:41:00","NG",,,,,,"T19-975590","VET CHECK",,"APR.2019","FY2019"
"T19-975582","A1065048","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-23T00:00:00.000","16:38:00","NG",,,,"69.6",,"T19-975582","INTAKE EXAM",,"APR.2019","FY2019"
"T18-795570","A1043486","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-10-16T00:00:00.000","10:07:00","OB",,,,,,"T18-795570","EXAM-VISUAL",,"OCT.2018","FY2019"
"T18-848708","A1051304","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-12-07T00:00:00.000","15:55:00","LV",,,,"55",,"T18-848708","INTAKE EXAM",,"DEC.2018","FY2019"
"T19-225825","A1070145",,"2019-06-04T00:00:00.000","12:46:25.273000",,,,"3",,,"T19-225812",,,"JUN.2019","FY2019"
"T18-851374","A1051304","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-12-10T00:00:00.000","12:59:00","VL",,,,"65",,"T18-851374","SURGERY-",,"DEC.2018","FY2019"
"T19-225822","A1070145",,"2019-06-04T00:00:00.000","12:46:12.127000",,,,"1",,,"T19-225812",,,"JUN.2019","FY2019"
"T19-224274","A1070145",,"2019-06-03T00:00:00.000","13:04:28.960000",,,,"1",,,"T19-224269",,,"JUN.2019","FY2019"
"T18-848714","A1051304",,"2018-12-07T00:00:00.000","15:56:31.423000",,,,"1",,,"T18-848708",,,"DEC.2018","FY2019"
"T18-848711","A1051304",,"2018-12-07T00:00:00.000","15:56:18.317000",,,,"1",,,"T18-848708",,,"DEC.2018","FY2019"
"T18-851379","A1051304",,"2018-12-10T00:00:00.000","13:03:44.303000",,,,"1",,,"T18-851374",,,"DEC.2018","FY2019"
"T18-848713","A1051304",,"2018-12-07T00:00:00.000","15:56:25.593000",,,,"1",,,"T18-848708",,,"DEC.2018","FY2019"
"T18-851381","A1051304",,"2018-12-10T00:00:00.000","13:04:00.560000",,,,"1",,,"T18-851374",,,"DEC.2018","FY2019"
"T18-848710","A1051304",,"2018-12-07T00:00:00.000","15:56:14.967000",,,,"1",,,"T18-848708",,,"DEC.2018","FY2019"
"T18-848717","A1051304","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-12-07T00:00:00.000","15:55:00","LV",,,,"55",,"T18-848717","VET CHECK","BEHAVIORAL","DEC.2018","FY2019"
"T18-851380","A1051304",,"2018-12-10T00:00:00.000","13:03:50.760000",,,,"1",,,"T18-851374",,,"DEC.2018","FY2019"
"T18-851382","A1051304",,"2018-12-10T00:00:00.000","13:04:08.377000",,,,"1",,,"T18-851374",,,"DEC.2018","FY2019"
"T18-848712","A1051304",,"2018-12-07T00:00:00.000","15:56:21.153000",,,,"1",,,"T18-848708",,,"DEC.2018","FY2019"
"T19-224269","A1070145","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-03T00:00:00.000","13:02:00","LV",,,,"9.8",,"T19-224269","INTAKE EXAM",,"JUN.2019","FY2019"
"T19-224276","A1070145",,"2019-06-03T00:00:00.000","13:04:42.573000",,,,"1",,,"T19-224269",,,"JUN.2019","FY2019"
"T19-224272","A1070145",,"2019-06-03T00:00:00.000","13:04:14.663000",,,,"1",,,"T19-224269",,,"JUN.2019","FY2019"
"T18-848716","A1051304",,"2018-12-07T00:00:00.000","15:56:49.847000",,"HEARTWORM TEST","NEGATIVE",,,,"T18-848708",,,"DEC.2018","FY2019"
"T19-224270","A1070145",,"2019-06-03T00:00:00.000","13:04:10.353000",,,,"1",,,"T19-224269",,,"JUN.2019","FY2019"
"T19-225819","A1070145",,"2019-06-04T00:00:00.000","12:46:04.130000",,,,"1",,,"T19-225812",,,"JUN.2019","FY2019"
"T19-225812","A1070145","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-04T00:00:00.000","12:45:00","LR/MR/PA",,,,"6.6",,"T19-225812","SURGERY-",,"JUN.2019","FY2019"
"T19-976974","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-24T00:00:00.000","18:54:00","CP/PA",,,,"64.4",,"T19-976974","MEDICAL REVIEW",,"APR.2019","FY2019"
"T19-224273","A1070145",,"2019-06-03T00:00:00.000","13:04:22.043000",,,,"1",,,"T19-224269",,,"JUN.2019","FY2019"
"T19-224278","A1070145",,"2019-06-03T00:00:00.000","13:04:56.137000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-224269",,,"JUN.2019","FY2019"
"T19-345004","A1081635","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-07T00:00:00.000","14:37:00",,,,,,,"T19-345004","NURSERY",,"SEP.2019","FY2019"
"T19-974760","A1064923",,"2019-04-23T00:00:00.000","10:43:53.777000",,,,"1",,,"T19-974757",,,"APR.2019","FY2019"
"T18-851376","A1051304","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-12-10T00:00:00.000","12:59:00","VL",,,,,,"T18-851376","SURGERY-",,"DEC.2018","FY2019"
"T18-848715","A1051304",,"2018-12-07T00:00:00.000","15:56:36.223000",,,,"1",,,"T18-848708",,,"DEC.2018","FY2019"
"T19-225824","A1070145",,"2019-06-04T00:00:00.000","12:46:19.067000",,,,"1",,,"T19-225812",,,"JUN.2019","FY2019"
"T19-224277","A1070145",,"2019-06-03T00:00:00.000","13:04:46.810000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-224269",,,"JUN.2019","FY2019"
"T19-286222","A0938907","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-17T00:00:00.000","16:33:00","DT",,,,,,"T19-286222","EXAM",,"JUL.2019","FY2019"
"T19-345588","A1081638",,"2019-09-07T00:00:00.000","18:15:34.730000",,,,"3",,,"T19-345586",,,"SEP.2019","FY2019"
"T18-791791","A1043486",,"2018-10-12T00:00:00.000","10:44:28.883000",,,,"1",,,"T18-791790",,,"OCT.2018","FY2019"
"T19-974889","A1060825",,"2019-04-23T00:00:00.000","11:44:18.750000",,"HEARTWORM TEST","HIGH POSITIVE",,,,"T19-974859",,,"APR.2019","FY2019"
"T19-225815","A1070145",,"2019-06-04T00:00:00.000","12:45:50.810000",,,,"1",,,"T19-225812",,,"JUN.2019","FY2019"
"T19-224275","A1070145",,"2019-06-03T00:00:00.000","13:04:37.933000",,,,"1",,,"T19-224269",,,"JUN.2019","FY2019"
"T19-209764","A1067348","UNKNOWN","2019-05-22T00:00:00.000","18:52:00",,,,,,,"T19-209764","VET CHECK",,"MAY.2019","FY2019"
"T19-311058","A1076329",,"2019-07-24T00:00:00.000","10:20:13.983000",,,,"14",,,"T19-303287",,,"JUL.2019","FY2019"
"T19-978547","A1064923",,"2019-04-26T00:00:00.000","14:49:16.990000",,,,"3",,,"T19-978533",,,"APR.2019","FY2019"
"T18-861382","A1052654",,"2018-12-19T00:00:00.000","23:51:26.387000",,,,"1",,,"T18-861380",,,"DEC.2018","FY2019"
"T19-276376","A1073891","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-09T00:00:00.000","17:37:00",,,,,,,"T19-276376","SURGERY-",,"JUL.2019","FY2019"
"T19-976962","A1064923",,"2019-04-24T00:00:00.000","19:03:46.590000",,,,"1",,,"T19-976961",,,"APR.2019","FY2019"
"T19-281956","A1075270",,"2019-07-13T00:00:00.000","18:17:00.403000",,,,"1",,,"T19-281954",,,"JUL.2019","FY2019"
"T18-862680","A1052654","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-12-21T00:00:00.000","13:42:00","PA/LR",,,,"56.8",,"T18-862680","SURGERY-",,"DEC.2018","FY2019"
