"objectid","filenum","occurred_d","occurred_tm","current_ba","offsex","offrace","hire_dt","off_injure","offcondtyp","off_hospit","service_ty","uofnum","forcetype","uof_reason","cycles_num","forceeffec","citnum","citrace","citsex","cit_injure","citcondtyp","cit_arrest","cit_infl_a","citcharget","arc_street","ra","beat","sector","division","dist_name"
"12","UF2014-1863","2014-12-29T00:00:00.000","3:15","9502","Male","Hispanic","2008-06-25T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22682, 22683"," Verbal Command, Weapon display at Person","Arrest","NULL"," No, Yes","37079","Hispanic","Male","No"," No injuries noted or visible","Yes","FD-Unknown if Armed"," Other Felony Arrest, Other Misdemeanor Arrest, Warrant/Hold","7021 WOFFORD DR","1235","321","320","SOUTHEAST","D5"
"13","UF2014-1861","2014-12-29T00:00:00.000","20:50","10507","Male","White","2013-04-10T00:00:00.000","No"," No injuries noted or visible","No","Service Call","22677"," BD - Pushed","Detention/Frisk","NULL"," Yes","37066","Hispanic","Male","No"," Abrasion/Scrape","Yes","NULL"," No Arrest","900 SAN JACINTO ST","2049","132","130","CENTRAL","D14"
"14","UF2014-1869","2014-12-28T00:00:00.000","2:18","10294","Male","Hispanic","2011-05-11T00:00:00.000","No"," No injuries noted or visible","No","Call for Cover"," 22638, 22639, 22640"," Verbal Command, BD - Grabbed, Held Suspect Down","Arrest","NULL"," No, Yes, Yes","37041","White","Male","Yes"," Laceration/Cut","Yes","None detected"," DWLI, Traffic Violation, Evading Arrest","11122 ITASCA PL","1129","226","220","NORTHEAST","D9"
"15","UF2014-1869","2014-12-28T00:00:00.000","22:54","10510","Male","Black","2013-04-10T00:00:00.000","No"," No injuries noted or visible","No","Call for Cover","22641"," BD - Grabbed","Arrest","NULL"," Yes","NULL","White","Male","Yes"," Puncture","Yes","None detected"," Evading Arrest, DWLS, Traffic Violation","11122 ITASCA PL","1129","226","220","NORTHEAST","D9"
"16","UF2014-1904","2014-12-28T00:00:00.000","4:00","9367","Male","Black","2008-02-06T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22636, 22637"," Verbal Command, Weapon display at Person","Weapon Display","NULL"," Yes, Yes"," 37037, 37038","Black","Male","No"," No injuries noted or visible","Yes","Unknown Drugs"," Drug Possession - Misdemeanor, Other Misdemeanor Arrest","2300 W NORTHWEST HWY","4451","521","520","NORTHWEST","D6"
"17","UF2014-1904","2014-12-28T00:00:00.000","4:00","9367","Male","Black","2008-02-06T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22636, 22637"," Verbal Command, Weapon display at Person","Weapon Display","NULL"," Yes, Yes"," 37037, 37038","Black","Male","No"," No injuries noted or visible","Yes","Unknown Drugs"," Warrant/Hold","2300 W NORTHWEST HWY","4451","521","520","NORTHWEST","D6"
"18","UF2014-1904","2014-12-28T00:00:00.000","2:30","10643","Male","Hispanic","2013-09-25T00:00:00.000","No"," No injuries noted or visible","No","Traffic Stop","23406"," Weapon display at Person","Weapon Display","NULL"," Yes","37043","Black","Male","No"," No injuries noted or visible","Yes","Marijuana"," Drug Possession - Misdemeanor, Other Felony Arrest","2300 W NORTHWEST HWY","4451","521","520","NORTHWEST","D6"
"19","UF2014-1901","2014-12-28T00:00:00.000","18:07","10482","Male","White","2012-09-26T00:00:00.000","No"," No injuries noted or visible","No","Arrest","22651"," BD - Pushed","Arrest","NULL"," Yes","37047","Black","Male","No"," No injuries noted or visible","Yes","NULL"," Warrant/Hold, Resisting Search and Transport","2500 W LEDBETTER DR","4315","456","450","SOUTHWEST","D3"
"20","UF2014-1890","2014-12-28T00:00:00.000","13:50","8655","Male","White","2005-05-20T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22634, 22635"," Joint Locks, Held Suspect Down","Arrest","NULL"," Yes, Yes","37036","American Ind","Female","No"," No injuries noted or visible","Yes","Alchohol and unknown drugs"," Assault/FV","2700 ELM ST","2066","153","150","CENTRAL","D2"
"21","UF2014-1892","2014-12-28T00:00:00.000","10:45","7313","Male","Hispanic","1995-11-29T00:00:00.000","No"," No injuries noted or visible","No","Service Call","23252"," Take Down - Arm","Danger to self or others","NULL"," Yes","37065","Hispanic","Male","No"," Non-Visible Injury/Pain","No","Alchohol"," No Arrest","601 N EWING AVE","4100","411","410","SOUTHWEST","D1"
"22","UF2014-1956","2014-12-28T00:00:00.000","7:00","10408","Male","Black","2012-06-20T00:00:00.000","No"," No injuries noted or visible","No","Crime in Progress"," 22671, 22674"," Weapon display at Person, Verbal Command","Other","NULL"," Yes, Yes"," 29496, 37063","Black","Male","No"," No injuries noted or visible","No","Unknown"," No Arrest","708 W MOCKINGBIRD LN","3111","515","510","NORTHWEST","D6"
"23","UF2014-1956","2014-12-28T00:00:00.000","21:11","10408","Male","Black","2012-06-20T00:00:00.000","No"," No injuries noted or visible","No","Crime in Progress"," 22671, 22674"," Weapon display at Person, Verbal Command","Other","NULL"," Yes, Yes"," 29496, 37063","White","Female","No"," No injuries noted or visible","No","Unknown"," No Arrest","708 W MOCKINGBIRD LN","3111","515","510","NORTHWEST","D6"
"24","UF2014-1901","2014-12-28T00:00:00.000","19:45","10479","Female","White","2012-09-26T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22652, 22653"," Take Down - Group, Held Suspect Down","Arrest","NULL"," Yes, Yes","37047","Black","Male","No"," No injuries noted or visible","Yes","None detected"," Warrant/Hold, Resisting Search and Transport","8100 CHRYSALIS DR","4360","744","740","SOUTH CENTRAL","D8"
"25","UF2014-1901","2014-12-28T00:00:00.000","19:45","9894","Male","White","2012-03-28T00:00:00.000","No"," No injuries noted or visible","No","Arrest","22654"," Held Suspect Down","Arrest","NULL"," Yes","37047","Black","Male","No"," No injuries noted or visible","Yes","None detected"," Warrant/Hold, Escape","8100 CHRYSALIS DR","4360","744","740","SOUTH CENTRAL","D8"
"26","UF2014-1901","2014-12-28T00:00:00.000","19:45","10485","Male","White","2012-09-26T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22655, 22656, 22657"," BD - Pushed, BD - Pushed, Held Suspect Down","Arrest","NULL"," Yes, Yes, Yes","37047","Black","Male","No"," No injuries noted or visible","Yes","None detected"," Warrant/Hold, Escape","8100 CHRYSALIS DR","4360","744","740","SOUTH CENTRAL","D8"
"27","UF2014-2002","2014-12-28T00:00:00.000","0:30","10456","Female","White","2012-09-26T00:00:00.000","No"," No injuries noted or visible","No","Suspicious Activity"," 22658, 30891"," Weapon display at Person, Verbal Command","Weapon Display","NULL"," Yes, Yes","37048","Hispanic","Male","No"," No injuries noted or visible","Yes","Alchohol and unknown drugs"," Public Intoxication","8303 E R L THORNTON FWY","1204","238","230","NORTHEAST","D7"
"28","UF2014-1862","2014-12-27T00:00:00.000","23:05","10254","Male","White","2010-09-29T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," 22645, 22646, 22647, 22648, 22649, 22650"," Verbal Command, BD - Pushed, Held Suspect Down, Verbal Command, Hand/Arm/Elbow Strike, Verbal Command","Arrest","NULL"," No, Yes, Yes, No, Yes, Yes","37046","Hispanic","Male","No"," No injuries noted or visible","Yes","None detected"," Theft, Evading Arrest","1200 ELLENWOOD DR","2223","355","350","SOUTHEAST","D8"
"29","UF2014-1915","2014-12-27T00:00:00.000","18:45","9250","Male","White","2007-09-26T00:00:00.000","No"," No injuries noted or visible","No","Arrest","22642"," Held Suspect Down","Danger to self or others","NULL"," Yes","NULL","White","Male","Yes"," No injuries noted or visible","Yes","Mentally unstable"," APOWW","6011 LEMMON AVE","3094","542","540","NORTHWEST","D2"
"30","UF2014-1915","2014-12-27T00:00:00.000","14:00","7293","Male","Hispanic","1995-09-22T00:00:00.000","No"," No injuries noted or visible","No","Arrest","22822"," Taser","Active Aggression","NULL"," Yes","37042","White","Male","Yes"," Taser Burn Marks, Treated by DFD","Yes","Unknown Drugs"," APOWW","6011 LEMMON AVE","3094","542","540","NORTHWEST","D2"
"31","UF2014-1915","2014-12-27T00:00:00.000","13:10","9386","Male","White","2008-02-20T00:00:00.000","No"," No injuries noted or visible","No","Call for Cover","22837"," Held Suspect Down","Danger to self or others","NULL"," Yes","NULL","White","Male","No"," No injuries noted or visible","Yes","Mentally unstable"," APOWW","6011 LEMMON AVE","3094","542","540","NORTHWEST","D2"
"32","UF2014-1963","2014-12-27T00:00:00.000","20:50","8730","Male","White","2005-09-23T00:00:00.000","No"," No injuries noted or visible","No","Off-Duty Employment"," 22661, 22662, 22663, 22664"," BD - Grabbed, Hand Controlled Escort, Take Down - Arm, Verbal Command","Arrest","NULL"," No, Yes, Yes, No","37055","Hispanic","Female","No"," No injuries noted or visible","No","Unknown Drugs"," Manifest/Drug Sales, Man/Del/Dangerous Drug","650 S GRIFFIN ST","2086","135","130","CENTRAL","D2"
"33","UF2014-1963","2014-12-27T00:00:00.000","23:00","8223","Female","Black","2002-04-12T00:00:00.000","No"," No injuries noted or visible","No","Off-Duty Employment"," 22666, 22667, 22668"," Take Down - Arm, Verbal Command, Hand Controlled Escort","Arrest","NULL"," Yes, No, Yes","37055","Hispanic","Female","No"," No injuries noted or visible","No","Unknown Drugs"," Manifest/Drug Sales, Man/Del/Dangerous Drug","650 S GRIFFIN ST","2086","135","130","CENTRAL","D2"
"34","UF2014-1966","2014-12-27T00:00:00.000","2:30","8730","Male","White","2005-09-23T00:00:00.000","Yes"," Abrasion/Scrape","No","Off-Duty Employment","22669"," Take Down - Arm","Detention/Frisk","NULL"," Yes","37062","Black","Male","Yes"," Abrasion/Scrape, Bloody Nose","Yes","NULL"," Evading Arrest","650 S GRIFFIN ST","2086","135","130","CENTRAL","D2"
"35","UF2014-1966","2014-12-27T00:00:00.000","18:30","8442","Male","Black","2003-08-18T00:00:00.000","Yes"," No injuries noted or visible","No","Off-Duty Employment","22670"," Hand Controlled Escort","Detention/Frisk","NULL"," Yes","37062","Black","Male","Yes"," Abrasion/Scrape, Bloody Nose","Yes","NULL"," Evading Arrest","650 S GRIFFIN ST","2086","135","130","CENTRAL","D2"
"36","UF2014-1860","2014-12-26T00:00:00.000","17:22","9320","Male","White","2007-11-28T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22629, 22630"," Verbal Command, Weapon display at Person","Danger to self or others","NULL"," Yes, Yes","37028","Black","Female","No"," No injuries noted or visible","Yes","Mentally unstable"," APOWW","12500 MERIT DR","1027","642","640","NORTH CENTRAL","D11"
"37","UF2014-1858","2014-12-26T00:00:00.000","17:55","9711","Male","White","2009-01-07T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22605, 22606"," Verbal Command, Held Suspect Down","Arrest","NULL"," No, Yes","NULL","Black","Male","No"," No injuries noted or visible","Yes","Alchohol"," DWI, Evading Arrest","4300 S MALCOLM X BLVD","2165","346","340","SOUTHEAST","D7"
"38","UF2014-1858","2014-12-26T00:00:00.000","2:30","10251","Male","White","2010-09-29T00:00:00.000","Yes"," Abrasion/Scrape","No","Arrest"," 22607, 22608, 22609"," Verbal Command, BD - Pushed, Held Suspect Down","Arrest","NULL"," No, Yes, Yes","37020","Black","Male","Yes"," Abrasion/Scrape","Yes","Alchohol"," DWI, Evading Arrest","4300 S MALCOLM X BLVD","2165","346","340","SOUTHEAST","D7"
"39","UF2014-1859","2014-12-26T00:00:00.000","2:30","10325","Male","White","2012-03-28T00:00:00.000","No"," No injuries noted or visible","No","Call for Cover","22615"," Weapon display at Person","Weapon Display","NULL"," Yes","37025","Black","Female","No"," No injuries noted or visible","Yes","NULL"," APOWW","600 S SAINT PAUL ST","2087","135","130","CENTRAL","D2"
"40","UF2014-1897","2014-12-26T00:00:00.000","23:00","9933","Male","White","2009-08-19T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22627, 22628"," BD - Grabbed, Held Suspect Down","Other","NULL"," Yes, Yes","37029","Black","Male","Yes"," Non-Visible Injury/Pain","Yes","Marijuana"," Theft","8687 N CENTRAL EXPY","6012","654","650","NORTH CENTRAL","D13"
"41","UF2014-1897","2014-12-26T00:00:00.000","20:40","9320","Male","White","2007-11-28T00:00:00.000","No"," No injuries noted or visible","No","Arrest","22631"," Handcuffing Take Down","Arrest","NULL"," Yes","37029","Black","Male","No"," No injuries noted or visible","Yes","Marijuana"," Theft","8687 N CENTRAL EXPY","6012","654","650","NORTH CENTRAL","D13"
"42","UF2014-2004","2014-12-26T00:00:00.000","6:30","10549","Male","White","2013-05-08T00:00:00.000","No"," Abrasion/Scrape","No","NULL"," 29810, 29811"," Verbal Command, Hand/Arm/Elbow Strike","NULL","NULL"," No, Yes","37021","Black","Male","Yes"," Abrasion/Scrape, Redness/Swelling","Yes","NULL"," Assault/FV, Evading Arrest","9500 FOREST LN","4424","256","250","NORTHEAST","D10"
"43","UF2014-1900","2014-12-25T00:00:00.000","1:45","10593","Male","Hispanic","2013-06-19T00:00:00.000","No"," No injuries noted or visible","No","Traffic Stop"," 22613, 22614, 22633"," Verbal Command, Held Suspect Down, Handcuffing Take Down","Arrest","NULL"," No, Yes, Yes","37024","Black","Female","No"," No injuries noted or visible","Yes","Unknown Drugs"," Assault/Public Servant, Evading Arrest, Fail to ID","1700 ELSIE FAYE HEGGINS ST","2187","344","340","SOUTHEAST","D7"
"44","UF2014-1900","2014-12-25T00:00:00.000","18:07","9180","Male","White","2008-05-28T00:00:00.000","Yes"," Redness/Swelling, Hospitalized, severe pain to right hand","Yes","Traffic Stop"," 22618, 22619, 22620, 22621, 22622, 22623"," Verbal Command, BD - Grabbed, Held Suspect Down, Take Down - Arm, Verbal Command, Held Suspect Down","Arrest","NULL"," No, No, No, Yes, No, Yes","37024","Black","Female","No"," No injuries noted or visible","Yes","Unknown Drugs"," Assault/Public Servant, Evading Arrest, Fail to ID","1700 ELSIE FAYE HEGGINS ST","2187","344","340","SOUTHEAST","D7"
"45","UF2014-1938","2014-12-25T00:00:00.000","21:30","10396","Male","White","2012-06-20T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22570, 22571, 22572, 22610, 22611, 22612"," Joint Locks, Verbal Command, Held Suspect Down, BD - Pushed, Hand Controlled Escort, Verbal Command","Arrest","NULL"," Yes, No, Yes, Yes, Yes, No","37007","White","Male","Yes"," Injured prior to contact, Injury Not Related to Force, Treated by DFD, Abrasion/Scrape","Yes","Alchohol and unknown drugs"," DWI, Resisting Arrest","2600 MAIN ST","2078","153","150","CENTRAL","D2"
"46","UF2014-1857","2014-12-25T00:00:00.000","1:50","10598","Male","White","2013-06-19T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22596, 22597"," BD - Grabbed, Verbal Command","Arrest","NULL"," No, No","37019","Black","Male","No"," No injuries noted or visible","Yes","Unknown"," Assault/FV","3130 STAG RD","4327","736","730","SOUTH CENTRAL","D8"
"47","UF2014-1857","2014-12-25T00:00:00.000","18:00","10469","Male","Black","2012-09-26T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22598, 22599, 22600, 22601"," Verbal Command, Hand Controlled Escort, Take Down - Head, BD - Tripped","Arrest","NULL"," No, No, No, Yes","37019","Black","Male","No"," Injured prior to contact","Yes","Alchohol and unknown drugs"," Assault/FV","3130 STAG RD","4327","736","730","SOUTH CENTRAL","D8"
"48","UF2014-1905","2014-12-25T00:00:00.000","4:00","5640","Male","White","1987-04-30T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22583, 23297"," Verbal Command, Held Suspect Down","Danger to self or others","NULL"," No, Yes","37009","Black","Male","No"," No injuries noted or visible","Yes","Mentally unstable"," APOWW","4141 ROSEMEADE PKWY","6007","614","610","NORTH CENTRAL","D12"
"49","UF2014-1855","2014-12-24T00:00:00.000","23:18","10586","Male","Other","2013-06-19T00:00:00.000","Yes"," Abrasion/Scrape","No","Service Call"," 22587, 22589, 22590, 22591"," Hand/Arm/Elbow Strike, Take Down - Head, Verbal Command, Held Suspect Down","Active Aggression","NULL"," Yes, Yes, No, Yes","26217","Hispanic","Male","Yes"," Abrasion/Scrape","Yes","Unknown Drugs"," Resisting Arrest, Drug Possession - Felony","6700 LAKE JUNE RD","2197","331","330","SOUTHEAST","D5"
"50","UF2014-1808","2014-12-24T00:00:00.000","12:50","6388","Male","White","1990-06-25T00:00:00.000","Yes"," Internal Injury","No","Arrest"," 22553, 22554"," Held Suspect Down, Verbal Command","Arrest","NULL"," Yes, No","27922","White","Male","Yes"," Redness/Swelling","Yes","Unknown Drugs"," APOWW","7900 FOREST LN","1037","651","650","NORTH CENTRAL","D11"
"51","UF2014-1854","2014-12-23T00:00:00.000","0:49","10138","Male","White","2010-03-03T00:00:00.000","No"," No injuries noted or visible","No","Traffic Stop"," 22544, 22545"," Take Down - Arm, BD - Grabbed","Other","NULL"," Yes, Yes","36998","Hispanic","Female","Yes"," Laceration/Cut, Treated by DFD","No","FD-Unknown if Armed"," Other Misdemeanor Arrest","200 N TENNANT ST","4130","444","440","SOUTHWEST","D1"
"52","UF2014-1866","2014-12-23T00:00:00.000","16:22","9585","Male","Hispanic","2008-08-20T00:00:00.000","No"," No injuries noted or visible","No","Service Call","22543"," Weapon display at Person","Detention/Frisk","NULL"," Yes","23903","Black","Male","No"," No injuries noted or visible","Yes","Mentally unstable"," APOWW","2981 SAINT ALBERT DR","4237","445","440","SOUTHWEST","D3"
"53","UF2014-1851","2014-12-22T00:00:00.000","2:10","9208","Female","White","2007-09-05T00:00:00.000","No"," No injuries noted or visible","No","Traffic Stop","22511"," Weapon display at Person","Weapon Display","NULL"," Yes","36985","Black","Male","No"," No injuries noted or visible","Yes","FD-Suspect w/ Gun"," Warrant/Hold, Other Misdemeanor Arrest","11400 AUDELIA RD","1042","257","250","NORTHEAST","D10"
"54","UF2014-1943","2014-12-22T00:00:00.000","12:50","9894","Male","White","2012-03-28T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," 22522, 22526, 22527"," OC Spray, Held Suspect Down, Verbal Command","Arrest","NULL"," Yes, No, No","36987","Black","Male","No"," OC Spray Treatment","Yes","Alchohol"," Public Intoxication, Resisting Arrest","2554 E OVERTON RD","4273","728","720","SOUTH CENTRAL","D4"
"55","UF2014-1943","2014-12-22T00:00:00.000","23:50","10482","Male","White","2012-09-26T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22523, 22524, 22525"," Pressure Points, Held Suspect Down, Joint Locks","Arrest","NULL"," No, Yes, No","36987","Black","Male","No"," No injuries noted or visible","Yes","Alchohol"," Public Intoxication, Resisting Arrest","2554 E OVERTON RD","4273","728","720","SOUTH CENTRAL","D4"
"56","UF2014-1842","2014-12-22T00:00:00.000","3:30","9923","Male","White","2009-08-19T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22512, 22513, 22514, 22515, 22516, 22517"," Joint Locks, Verbal Command, BD - Grabbed, Pressure Points, Hand/Arm/Elbow Strike, Held Suspect Down","Arrest","NULL"," Yes, No, Yes, Yes, Yes, Yes","36986","White","Male","No"," No injuries noted or visible","Yes","Alchohol and unknown drugs"," Warrant/Hold","2700 W MOCKINGBIRD LN","3093","513","510","NORTHWEST","D2"
"57","UF2014-1842","2014-12-22T00:00:00.000","22:00","8009","Male","Asian","2001-04-13T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22518, 22519, 22520, 22521"," Joint Locks, BD - Pushed, Joint Locks, Held Suspect Down","Arrest","NULL"," Yes, Yes, No, Yes","36986","White","Male","No"," No injuries noted or visible","Yes","Alchohol"," Warrant/Hold","2700 W MOCKINGBIRD LN","3093","513","510","NORTHWEST","D2"
"58","UF2014-1852","2014-12-22T00:00:00.000","17:30","10522","Male","Black","2013-04-10T00:00:00.000","Yes"," No injuries noted or visible","Yes","Service Call"," 22532, 22533, 22534"," BD - Grabbed, Handcuffing Take Down, Held Suspect Down","Danger to self or others","NULL"," Yes, Yes, Yes","36994","Black","Female","No"," No injuries noted or visible","Yes","Mentally unstable"," Assault/Public Servant, Warrant/Hold","422 N LANCASTER AVE","4106","414","410","SOUTHWEST","D1"
"59","UF2014-1852","2014-12-22T00:00:00.000","22:08","9584","Male","Black","2008-08-20T00:00:00.000","Yes"," No injuries noted or visible","Yes","Arrest","22531"," Leg Restraint System","Active Aggression","NULL"," Yes","36994","Black","Female","No"," No injuries noted or visible","Yes","Unknown"," Assault/Public Servant","442 N LANCASTER AVE","4106","414","410","SOUTHWEST","D1"
"60","UF2014-1831","2014-12-22T00:00:00.000","23:45","8618","Male","White","2005-03-11T00:00:00.000","No"," No injuries noted or visible","No","Traffic Stop","22483"," Verbal Command","Detention/Frisk","NULL"," No","36975","Black","Male","No"," Non-Visible Injury/Pain","Yes","Alchohol"," Public Intoxication","6000 ALEXIS DR","1010","632","630","NORTH CENTRAL","D11"
"61","UF2014-1831","2014-12-22T00:00:00.000","0:45","10438","Male","White","2012-09-26T00:00:00.000","No"," No injuries noted or visible","No","Traffic Stop"," 22484, 22485"," Verbal Command, BD - Tripped","Detention/Frisk","NULL"," No, Yes","36975","Black","Male","No"," Non-Visible Injury/Pain","Yes","Alchohol"," Public Intoxication","6000 ALEXIS DR","1010","632","630","NORTH CENTRAL","D11"
"62","UF2014-1830","2014-12-22T00:00:00.000","23:45","8872","Male","White","2006-06-30T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22476, 22477, 22478, 22479"," Joint Locks, Handcuffing Take Down, Verbal Command, Take Down - Arm","Arrest","NULL"," Yes, Yes, No, Yes","36974","White","Male","No"," No injuries noted or visible","Yes","Alchohol"," Public Intoxication, Resisting Arrest","7610 AVIATION PL","3070","523","520","NORTHWEST","D2"
"63","UF2014-1830","2014-12-22T00:00:00.000","17:29","7640","Male","White","1998-06-17T00:00:00.000","No"," No injuries noted or visible","No","Arrest","22482"," Pressure Points","Arrest","NULL"," Yes","36974","White","Male","No"," Non-Visible Injury/Pain","Yes","Alchohol"," Public Intoxication, Resisting Arrest","7710 AVIATION PL","3070","523","520","NORTHWEST","D2"
"64","UF2014-1832","2014-12-22T00:00:00.000","0:45","9136","Male","Black","2007-05-30T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22502, 22503, 22504"," Verbal Command, Hand/Arm/Elbow Strike, Take Down - Head","Active Aggression","NULL"," No, No, Yes","36983","Black","Male","Yes"," Laceration/Cut","Yes","Mentally unstable"," APOWW","7808 CLODUS FIELDS DR","8822","651","650","NORTH CENTRAL","D11"
"65","UF2014-1944","2014-12-22T00:00:00.000","11:50","8973","Female","Black","2013-04-10T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," 22814, 22815"," Weapon display at Person, Verbal Command","Assault to Other Person","NULL"," No, No","12700","Black","Male","Yes"," Injured prior to contact","Yes","Marijuana"," Assault/FV","9431 GONZALES DR","1238","323","320","SOUTHEAST","D7"
"66","UF2014-1853","2014-12-21T00:00:00.000","17:30","9005","Male","Hispanic","2006-12-27T00:00:00.000","No"," No injuries noted or visible","No","Arrest","22542"," Weapon display at Person","Arrest","NULL"," Yes","36996","Hispanic","Male","No"," No injuries noted or visible","Yes","Unknown Drugs"," Burglary of a Vehicle, Drug Possession - Misdemeanor","2300 ARIZONA AVE","4215","721","720","SOUTH CENTRAL","D4"
