OBJECTID,FILENUM,UOFNum,Address,OCCURRED_D,OCCURRED_T,CURRENT_BA,OffSex,OffRace,HIRE_DT,OFF_INJURE,OffCondTyp,OFF_HOSPIT,SERVICE_TY,ForceType,UOF_REASON,Cycles_Num,ForceEffec,STREET_N,STREET,street_g,street_t,CitNum,CitRace,CitSex,CIT_INJURE,CitCondTyp,CIT_ARREST,CIT_INFL_A,CitChargeT,RA,BEAT,SECTOR,DIVISION,DIST_NAME,TAAG_Name,X,Y,GeoLocation,Council Districts--Test,Dallas City Limits GIS Layer,City Councils,Zip Codes,Counties
22,UF2017-063," 38816, 38817",9500 POPPY DR,12/23/2016,1:45:00 AM,10066,Male,White,11/11/2009,No, No injuries noted or visible,No,Arrest," Held Suspect Down, Leg Restraint System",Arrest,NULL," Yes, Yes",9940,Poppy Drive,NULL,Dr.,47871,Black,Female,No, No injuries noted or visible,Yes,Marijuana, Assault/FV,6018,235,230,NORTHEAST,D9, ,,,"9500 POPPY DR
Dallas, TX",,,,,
23,UF2017-063," 38818, 38819",9500 POPPY DR,12/23/2016,1:45:00 AM,10224,Male,White,08/18/2010,No, No injuries noted or visible,No,Arrest," Held Suspect Down, Leg Restraint System",Arrest,NULL," Yes, Yes",9940,Poppy Drive,NULL,Dr.,47871,Black,Female,No, No injuries noted or visible,Yes,Marijuana, Assault/FV,6018,235,230,NORTHEAST,D9, ,,,"9500 POPPY DR
Dallas, TX",,,,,
222,UF2016-1303," 37890, 37891, 37892",4600 S MALCOLM X BLVD,11/08/2016,2:30:00 AM,9626,Male,American Ind,09/17/2008,No, No injuries noted or visible,No,Service Call," Verbal Command, Take Down - Arm, Held Suspect Down",Arrest,NULL," No, Yes, Yes",4600,MALCOLM X,S,Blvd.,47307,Black,Male,No, No injuries noted or visible,Yes,Unknown Drugs, Other Misdemeanor Arrest,2167,346,340,SOUTHEAST,D7,Hatcher Scyene*,,,"4600 S MALCOLM X BLVD
Dallas, TX",,,,,
283,UF2016-1265," 37656, 37657",10100 L B J FWY,10/23/2016,6:00:00 PM,10355,Male,White,05/09/2012,No, No injuries noted or visible,No,Arrest," BD - Pushed, BD - Tripped",Arrest,NULL," Yes, Yes",10100,LBJ,W,Frwy.,47130,Hispanic,Male,No, No injuries noted or visible,Yes,Alchohol," DWI, Resisting Search and Transport, Resisting Arrest, Other Felony Arrest",1055,246,240,NORTHEAST,D10, ,,,"10100 L B J FWY
Dallas, TX",,,,,
284,UF2016-1265," 37685, 37686, 37687",10100 L B J FWY,10/23/2016,6:00:00 PM,10334,Male,Hispanic,03/28/2012,No, No injuries noted or visible,No,Arrest," Held Suspect Down, Held Suspect Down, Joint Locks",Detention/Frisk,NULL," Yes, Yes, Yes",10100,LBJ Service,E,Hwy.,47130,Hispanic,Male,No, No injuries noted or visible,Yes,Alchohol," DWI, Resisting Search and Transport, Other Felony Arrest",1055,246,240,NORTHEAST,D10, ,,,"10100 L B J FWY
Dallas, TX",,,,,
310,UF2016-1192,37532,9400 L B J FWY,10/18/2016,6:30:00 PM,9215,Male,Black,09/05/2007,No, No injuries noted or visible,No,Service Call, Weapon display at Person,Detention/Frisk,NULL, Yes,9400,LBJ,NULL,Frwy.,47025,Hispanic,Male,No, No injuries noted or visible,No,None detected, No Arrest,1030,252,250,NORTHEAST,D10,Greenville LBJ*,,,"9400 L B J FWY
Dallas, TX",,,,,
348,UF2016-1293," 37408, 37409",6897 VALLEY GLEN DR,10/12/2016,2:30:00 AM,8517,Female,White,06/04/2004,No, No injuries noted or visible,No,Suspicious Activity," Weapon display at Person, Verbal Command",Arrest,NULL," Yes, Yes",6897,VALLEY GLEN,NULL,Dr.,46943,Black,Male,No, No injuries noted or visible,Yes,None detected, Other Misdemeanor Arrest,1197,237,230,NORTHEAST,D9, ,,,"6897 VALLEY GLEN DR
Dallas, TX",,,,,
362,UF2016-1188," 37378, 37379",2486 MAPLE ROUTH CONN,10/10/2016,1:30:00 AM,10701,Male,Black,11/06/2013,No, No injuries noted or visible,No,Arrest," Verbal Command, Weapon display at Person",Arrest,NULL," Yes, Yes",2486,maple/routh connection,NULL,NULL,46908,Hispanic,Male,No, No injuries noted or visible,Yes,Alchohol and unknown drugs," DWI, Other Misdemeanor Arrest, Drug Possession - Misdemeanor",2020,121,120,CENTRAL,D14,McKinney Allen*,,,"2486 MAPLE ROUTH CONN
Dallas, TX",,,,,
582,UF2016-1223,36725,8630 FIRESIDE DR,09/07/2016,6:00:00 PM,10372,Male,Black,05/09/2012,No, No injuries noted or visible,No,Service Call, Handcuffing Take Down,Arrest,NULL, Yes,8630,Fireside,NULL,Dr.,46551,White,Female,Yes, Abrasion/Scrape,Yes,Mentally unstable, APOWW,2222,354,350,SOUTHEAST,D8, ,,,"8630 FIRESIDE DR
Dallas, TX
(32.697895, -96.670834)",8,3,8,18921,3162
374,UF2016-1309," 37309, 37310",9200 L B J FWY,10/08/2016,4:00:00 AM,10130,Male,White,03/03/2010,No, No injuries noted or visible,No,Arrest," Verbal Command, Weapon display at Person",Arrest,NULL," No, No",9200,LBJ Service Rd,W,Frwy.,46888,White,Male,No, No injuries noted or visible,Yes,None detected, Warrant/Hold,1030,252,250,NORTHEAST,D10,Greenville LBJ*,,,"9200 L B J FWY
Dallas, TX",,,,,
375,UF2016-1309,37311,9200 L B J FWY,10/08/2016,4:00:00 AM,10870,Male,White,08/13/2014,No, No injuries noted or visible,No,Traffic Stop, Weapon display at Person,Arrest,NULL, Yes,9200,LBJ Service Rd,W,Frwy.,46888,White,Male,No, No injuries noted or visible,Yes,None detected, Warrant/Hold,1030,252,250,NORTHEAST,D10,Greenville LBJ*,,,"9200 L B J FWY
Dallas, TX",,,,,
400,UF2016-1242," 37231, 37232, 37233",4300 S MALCOLM X BLVD,10/03/2016,9:00:00 PM,10503,Male,White,04/10/2013,No, No injuries noted or visible,No,Traffic Stop," Verbal Command, Weapon display at Person, BD - Pushed",Weapon Display,NULL," No, No, Yes",4300,Malcolm X,S,Blvd.,46862,Black,Male,Yes," Abrasion/Scrape, Treated by DFD",Yes,Unknown," Evading Arrest, Warrant/Hold, Other Misdemeanor Arrest",2165,346,340,SOUTHEAST,D7,Hatcher Scyene*,,,"4300 S MALCOLM X BLVD
Dallas, TX",,,,,
489,UF2016-1156," 36980, 36981, 36982",3315 PARROT ST,09/23/2016,6:50:00 PM,11028,Male,White,06/03/2015,No, No injuries noted or visible,No,Service Call," Taser, Held Suspect Down, Weapon display at Person",Weapon Display,1," Yes, Yes, Yes",3115,PARROTT,NULL,St.,46705,Black,Male,Yes, Taser Burn Marks,Yes,FD-Suspect w/ Other Weapon," Assault, Assault/Public Servant",4225,728,720,SOUTH CENTRAL,D4, ,,,"3315 PARROT ST
Dallas, TX",,,,,
495,UF2016-1120," 36941, 36942",900 WOOD ST,09/21/2016,4:32:00 PM,10724,Male,White,01/29/2014,No, No injuries noted or visible,No,Arrest," Verbal Command, Pressure Points",Other,NULL," No, Yes",900,Wood,NULL,St.,46678,Black,Male,No, No injuries noted or visible,Yes,Alchohol and unknown drugs," Public Intoxication, Fail to ID",2072,133,130,CENTRAL,D2, ,,,"900 WOOD ST
Dallas, TX",,,,,
539,UF2016-1060,36791,8051 L B J FWY,09/13/2016,12:25:00 AM,7310,Male,White,11/08/1995,No, No injuries noted or visible,No,Other ( In Narrative), Weapon display at Person,Other,NULL, Yes,8051,LBJ SERVICE RD WB,NULL,Rd.,46578,Black,Male,No, No injuries noted or visible,Yes,FD-Suspect Unarmed," Warrant/Hold, Drug Possession - Misdemeanor",4521,643,640,NORTH CENTRAL,D11,Maham SpringValley*,,,"8051 L B J FWY
Dallas, TX",,,,,
544,UF2016-1060,36776,8051 L B J FWY,09/12/2016,12:25:00 AM,8862,Male,Hispanic,06/30/2006,No, No injuries noted or visible,No,Crime in Progress, Weapon display at Person,Danger to self or others,NULL, Yes,8051,LYNDON B JOHNSON,W,Frwy.,46578,Black,Male,No, No injuries noted or visible,Yes,FD-Unknown if Armed," Warrant/Hold, Other Misdemeanor Arrest",4521,643,640,NORTH CENTRAL,D11,Maham SpringValley*,,,"8051 L B J FWY
Dallas, TX",,,,,
807,UF2016-0896," 35974, 35976",8102 L B J FWY,08/03/2016,1:45:00 PM,5806,Male,White,06/16/1988,No, No injuries noted or visible,No,Arrest," Take Down - Arm, BD - Grabbed",Active Aggression,NULL," Yes, Yes",8102,LYNDON B. JOHNSON,NULL,Frwy.,46043,Black,Female,No, No injuries noted or visible,Yes,Mentally unstable, APOWW,1027,642,640,NORTH CENTRAL,D11, ,,,"8102 L B J FWY
Dallas, TX",,,,,
808,UF2016-0896," 35979, 35980",8102 L B J FWY,08/03/2016,1:45:00 PM,5273,Male,White,08/15/1985,No, No injuries noted or visible,No,Arrest," Take Down - Arm, BD - Grabbed",Active Aggression,NULL," Yes, Yes",8102,LBJ FREEWAY,NULL,NULL,46044,Black,Female,No, No injuries noted or visible,Yes,Mentally unstable, APOWW,1027,642,640,NORTH CENTRAL,D11, ,,,"8102 L B J FWY
Dallas, TX",,,,,
809,UF2016-0896," 35977, 35978",8102 L B J FWY,08/03/2016,1:45:00 PM,5273,Male,White,08/15/1985,No, No injuries noted or visible,No,Arrest," BD - Grabbed, Take Down - Arm",Active Aggression,NULL," Yes, Yes",8102,LYNDON B. JOHNSON,NULL,Frwy.,46043,Black,Female,No, No injuries noted or visible,Yes,Mentally unstable, APOWW,1027,642,640,NORTH CENTRAL,D11, ,,,"8102 L B J FWY
Dallas, TX",,,,,
810,UF2016-0896," 35981, 35982",8102 L B J FWY,08/03/2016,1:45:00 PM,5806,Male,White,06/16/1988,No, No injuries noted or visible,No,Arrest," BD - Grabbed, Take Down - Arm",Active Aggression,NULL," Yes, Yes",8102,LBJ FREEWAY,NULL,NULL,46044,Black,Female,No, No injuries noted or visible,Yes,Mentally unstable, APOWW,1027,642,640,NORTH CENTRAL,D11, ,,,"8102 L B J FWY
Dallas, TX",,,,,
828,UF2016-1135,36310,4845 ELSIE FAYE HEGGINS ST,07/28/2016,11:30:00 PM,10913,Male,White,10/22/2014,No, No injuries noted or visible,No,Arrest, Weapon display at Person,Weapon Display,NULL, Yes,4845,Elsie Faye Heggins,NULL,St.,30402,Black,Male,No, No injuries noted or visible,Yes,Alchohol," Evading Arrest, Public Intoxication",4532,312,310,SOUTHEAST,D7,Hatcher Scyene*,,,"4845 ELSIE FAYE HEGGINS ST
Dallas, TX",,,,,
866,UF2016-0806,35734,39690 L B J FWY,07/18/2016,1:30:00 PM,5485,Male,Black,09/29/1986,No, No injuries noted or visible,No,Arrest, Verbal Command,Active Aggression,NULL, Yes,39690,LBJ Freeway,NULL,Frwy.,45867,Black,Female,Yes, Taser Burn Marks,Yes,Mentally unstable," Assault/Public Servant, Crim Trespass/Bldg/Prop, Evading Arrest",4381,745,740,SOUTH CENTRAL,D8,CampWisdom Chaucer*,,,"39690 L B J FWY
Dallas, TX",,,,,
867,UF2016-0806," 35753, 35754",39000 L B J FWY,07/18/2016,1:30:00 PM,9649,Male,White,10/29/2008,No, Abrasion/Scrape,No,Arrest," Other Impact Weapon, Taser",Danger to self or others,3," No, Limited",39000,LBJ FREEWAY S/R E/B,NULL,NULL,45867,Black,Female,No, Taser Burn Marks,Yes,Mentally unstable," Assault/Public Servant, Evading Arrest, Crim Trespass/Bldg/Prop",4388,748,740,SOUTH CENTRAL,D8, ,,,"39000 L B J FWY
Dallas, TX",,,,,
868,UF2016-0806,35755,39690 L B J FWY,07/18/2016,1:30:00 PM,10824,Male,Black,06/18/2014,No, No injuries noted or visible,No,Arrest, Hand Controlled Escort,Danger to self or others,NULL, Yes,39690,LBJ Freeway,E,Frwy.,45867,Black,Female,No, Treated by DFD,Yes,Mentally unstable," Assault/Public Servant, Evading Arrest, Crim Trespass/Bldg/Prop",4381,745,740,SOUTH CENTRAL,D8,CampWisdom Chaucer*,,,"39690 L B J FWY
Dallas, TX",,,,,
869,UF2016-0806,35735,39690 L B J FWY,07/18/2016,1:30:00 PM,11056,Male,Hispanic,07/29/2015,No, No injuries noted or visible,No,Arrest, Handcuffing Take Down,Arrest,NULL, Yes,39690,LBJ Freeway Service Road,NULL,Frwy.,45867,Black,Female,Yes," Puncture, Hospitalized",Yes,Mentally unstable," Assault/Public Servant, Evading Arrest, Crim Trespass/Bldg/Prop",4381,745,740,SOUTH CENTRAL,D8,CampWisdom Chaucer*,,,"39690 L B J FWY
Dallas, TX",,,,,
416,UF2016-1172,37186,5507 BENT TRL,10/01/2016,7:00:00 PM,10846,Male,Hispanic,02/06/2013,No, No injuries noted or visible,No,Service Call, Taser,Danger to self or others,2, Yes,5507,Bent,NULL,Trl.,46822,White,Male,Yes, Puncture,No,Unknown Drugs, No Arrest,6001,622,620,NORTH CENTRAL,D11, ,,,"5507 BENT TRL
Dallas, TX
(32.976635, -96.818293)",10,3,11,20168,3162
870,UF2016-0806,36940,39690 L B J FWY,07/18/2016,1:30:00 PM,7993,Male,Black,11/30/2001,No, No injuries noted or visible,No,Service Call, Weapon display at Person,Arrest,NULL, No,39690,Lyndon B Johnson,NULL,Frwy.,45867,Black,Female,No, No injuries noted or visible,Yes,Mentally unstable," Assault/Public Servant, Crim Trespass/Bldg/Prop, Evading Arrest",4381,745,740,SOUTH CENTRAL,D8,CampWisdom Chaucer*,,,"39690 L B J FWY
Dallas, TX",,,,,
872,UF2016-0893," 35760, 35761, 35762, 35763",4600 S MALCOLM X BLVD,07/18/2016,11:45:00 PM,10586,Male,Other,06/19/2013,No, No injuries noted or visible,No,Service Call," Verbal Command, Hand/Arm/Elbow Strike, Hand/Arm/Elbow Strike, Feet/Leg/Knee Strike",Arrest,NULL," No, No, No, Yes",4600,Malcolm X,S,Blvd.,45884,Black,Male,Yes, Abrasion/Scrape,Yes,Unknown," Other Felony Arrest, Drug Possession - Misdemeanor",2167,346,340,SOUTHEAST,D7,Hatcher Scyene*,,,"4600 S MALCOLM X BLVD
Dallas, TX",,,,,
873,UF2016-0893," 35757, 35758, 35759",4600 S MALCOLM X BLVD,07/18/2016,11:45:00 PM,10503,Male,White,04/10/2013,No, No injuries noted or visible,No,Suspicious Activity," Verbal Command, Take Down - Head, Take Down - Group",Detention/Frisk,NULL," No, Yes, Yes",4600,MALCOLM X BLVD,S,Blvd.,45884,Black,Male,No, Abrasion/Scrape,Yes,Marijuana," Drug Possession - Felony, Other Felony Arrest, Resisting Arrest",2167,346,340,SOUTHEAST,D7,Hatcher Scyene*,,,"4600 S MALCOLM X BLVD
Dallas, TX",,,,,
874,UF2016-0893," 35897, 35898, 35899, 35900, 35901",4600 S MALCOLM X BLVD,07/18/2016,11:45:00 PM,9180,Male,White,05/28/2008,No, No injuries noted or visible,No,Arrest," Verbal Command, Feet/Leg/Knee Strike, Held Suspect Down, Verbal Command, Hand/Arm/Elbow Strike",Arrest,NULL," No, Yes, Yes, No, Yes",4600,s. malcolm x,NULL,Blvd.,45884,Black,Male,Yes, Abrasion/Scrape,Yes,Unknown Drugs," Other Felony Arrest, Drug Possession - Misdemeanor, Resisting Arrest",2167,346,340,SOUTHEAST,D7,Hatcher Scyene*,,,"4600 S MALCOLM X BLVD
Dallas, TX",,,,,
877,UF2016-1010," 35729, 35730, 35731",4848 ELSIE FAYE HEGGINS ST,07/18/2016,3:08:00 PM,10322,Male,White,03/28/2012,No, No injuries noted or visible,No,Arrest," Verbal Command, BD - Grabbed, Held Suspect Down",Arrest,NULL," No, No, Yes",4848,ELSIE FAYE HEGGINS,NULL,NULL,45866,NULL,Male,No, No injuries noted or visible,No,FD-Unknown if Armed, No Arrest,8814,313,310,SOUTHEAST,D7, ,,,"4848 ELSIE FAYE HEGGINS ST
Dallas, TX",,,,,
878,UF2016-1010,35733,4848 ELSIE FAYE HEGGINS ST,07/18/2016,3:08:00 PM,6484,Male,Hispanic,03/17/1989,No, No injuries noted or visible,No,Warrant Execution, Take Down - Head,Other,NULL, Yes,4848,Elsie Fay Higgens,NULL,NULL,45866,NULL,Male,No, No injuries noted or visible,No,FD-Unknown if Armed, No Arrest,8814,313,310,SOUTHEAST,D7, ,,,"4848 ELSIE FAYE HEGGINS ST
Dallas, TX",,,,,
879,UF2016-1010,35728,4848 ELSIE FAYE HEGGINS ST,07/18/2016,3:08:00 PM,8799,Male,White,03/29/2006,No, No injuries noted or visible,No,Warrant Execution, Held Suspect Down,Arrest,NULL, Yes,4848,Elsie Faye Heggins,NULL,St.,45866,NULL,Male,No, No injuries noted or visible,No,None detected, No Arrest,8814,313,310,SOUTHEAST,D7, ,,,"4848 ELSIE FAYE HEGGINS ST
Dallas, TX",,,,,
880,UF2016-1010,35732,4846 ELSIE FAYE HEGGINS ST,07/18/2016,3:08:00 PM,9857,Male,White,06/10/2009,No, No injuries noted or visible,No,Warrant Execution, Held Suspect Down,Other,NULL, Yes,4846,Elsie Faye Heggins,NULL,St.,45866,NULL,Male,No, No injuries noted or visible,No,None detected, No Arrest,8814,313,310,SOUTHEAST,D7, ,,,"4846 ELSIE FAYE HEGGINS ST
Dallas, TX",,,,,
1177,UF2016-0637,34793,7909 L B J FWY,06/01/2016,6:50:00 PM,9144,Male,Black,05/30/2007,No, No injuries noted or visible,No,Arrest, Verbal Command,Active Aggression,NULL, Yes,7909,Lyndon B Johnson,NULL,Frwy.,45315,White,Male,No, No injuries noted or visible,Yes,Alchohol and unknown drugs," Public Intoxication, Drug Possession - Misdemeanor",1020,635,630,NORTH CENTRAL,D11,Maham SpringValley*,,,"7909 L B J FWY
Dallas, TX",,,,,
1178,UF2016-0637,34792,7909 L B J FWY,06/01/2016,6:50:00 PM,9949,Male,Hispanic,08/19/2009,No, No injuries noted or visible,No,Arrest, Held Suspect Down,Active Aggression,NULL, Yes,7909,Lyndon B Johnson,NULL,Frwy.,45315,White,Male,No, No injuries noted or visible,Yes,Alchohol and unknown drugs," Public Intoxication, Drug Possession - Misdemeanor",1020,635,630,NORTH CENTRAL,D11,Maham SpringValley*,,,"7909 L B J FWY
Dallas, TX",,,,,
1196,UF2016-0642,34833,5201 BARNES BRIDGE RD,05/30/2016,10:00:00 PM,9654,Male,Black,10/29/2008,No, No injuries noted or visible,No,Arrest, Joint Locks,Arrest,NULL, Yes,5200,BARNES BRIDGE,NULL,Rd.,45342,Hispanic,Male,No, No injuries noted or visible,Yes,NULL, Other Misdemeanor Arrest,4399,229,220,NORTHEAST,D9, ,,,"5201 BARNES BRIDGE RD
Dallas, TX",,,,,
1226,UF2016-0677," 34620, 34621, 34622, 34623, 34624",4600 S MALCOLM X BLVD,05/23/2016,7:11:00 PM,10969,Male,White,01/28/2015,Yes, Abrasion/Scrape,No,Suspicious Activity," Verbal Command, Taser, BD - Grabbed, Take Down - Head, Held Suspect Down",Arrest,NULL," No, No, No, No, No",4600,Malcolm X,S,Blvd.,45138,Black,Male,No, No injuries noted or visible,Yes,Unknown Drugs," Theft, Evading Arrest, Other Felony Arrest, Other Misdemeanor Arrest, Drug Possession - Misdemeanor, Warrant/Hold",2167,346,340,SOUTHEAST,D7,Hatcher Scyene*,,,"4600 S MALCOLM X BLVD
Dallas, TX",,,,,
2336,UF2016-0033," 31428, 31429, 31430",5100 SPUR 408,01/08/2016,9:00:00 PM,8287,Male,Hispanic,07/19/2002,No, No injuries noted or visible,No,Service Call," Verbal Command, Joint Locks, Held Suspect Down",Arrest,NULL," No, Yes, Yes",5100,Spur 408 ACRD s/b,NULL,Rd.,43092,Black,Female,No, No injuries noted or visible,Yes,Alchohol," DWI, Resisting Arrest",4311,433,430,SOUTHWEST,D3, ,,,"5100 SPUR 408
Dallas, TX",,,,,
1228,UF2016-0677," 34615, 34616, 34617, 34618, 34625",4600 S MALCOLM X BLVD,05/23/2016,7:11:00 PM,10823,Male,Asian,06/18/2014,No, No injuries noted or visible,No,Suspicious Activity," Verbal Command, Taser, Handcuffing Take Down, Baton Strike/Open Mode, Feet/Leg/Knee Strike",Detention/Frisk,2," No, Limited, No, No, No",4600,Malcolm X,S,Blvd.,45138,Black,Male,No," Puncture, Non-Visible Injury/Pain",Yes,Unknown," Theft, Evading Arrest, Other Felony Arrest, Other Misdemeanor Arrest, Drug Possession - Misdemeanor, Warrant/Hold",2167,346,340,SOUTHEAST,D7,Hatcher Scyene*,,,"4600 S MALCOLM X BLVD
Dallas, TX",,,,,
1311,UF2016-0878," 34425, 34426, 34427",2222 S SAINT AUGUSTINE RD,05/14/2016,4:50:00 PM,9762,Male,White,03/18/2009,No, No injuries noted or visible,No,Arrest," Verbal Command, BD - Grabbed, BD - Pushed",Danger to self or others,NULL," No, Yes, Yes",2222,St Augustine,N,Rd.,38942,Black,Female,Yes, Injury Not Related to Force,Yes,Mentally unstable, APOWW,4433,355,350,SOUTHEAST,D8, ,,,"2222 S SAINT AUGUSTINE RD
Dallas, TX",,,,,
1509,UF2016-0445," 33854, 33855, 33856",1003 CONDOR DR,04/16/2016,1:57:00 PM,8738,Male,White,11/30/2005,Yes, Fluid Exposure,No,Arrest," Take Down - Arm, Held Suspect Down, Verbal Command",Active Aggression,NULL," Yes, Yes, Yes",1003,Condor,NULL,Dr.,36884,Hispanic,Male,No, No injuries noted or visible,Yes,Mentally unstable, Assault/Public Servant,4149,433,430,SOUTHWEST,D3, ,,,"1003 CONDOR DR
Dallas, TX",,,,,
2370,UF2016-0049," 31206, 31207",700 WOODALL RODGERS FWY,01/03/2016,8:45:00 PM,10710,Male,White,11/06/2013,No, No injuries noted or visible,No,Traffic Stop," Weapon display at Person, Verbal Command",Danger to self or others,NULL," Yes, Yes",700,WOODALL ROGERS,N,Frwy.,43002,Asian,Male,No, No injuries noted or visible,Yes,Unknown Drugs," Other Misdemeanor Arrest, DWLI",2058,131,130,CENTRAL,D14, ,,,"700 WOODALL RODGERS FWY
Dallas, TX",,,,,
1610,UF2016-0898," 33553, 33554, 33555, 33556, 36156",3500 S MALCOLM X BLVD,04/03/2016,5:40:00 AM,10624,Male,White,08/14/2013,No, No injuries noted or visible,No,Other ( In Narrative)," BD - Pushed, BD - Grabbed, BD - Grabbed, Take Down - Body, Verbal Command",Other,NULL," Yes, Yes, Yes, Yes, No",3500,Malcolm X,NULL,Blvd.,44409,Black,Male,No, No injuries noted or visible,Yes,Unknown, Other Misdemeanor Arrest,2144,346,340,SOUTHEAST,D7,JuliusSchepps Central*,,,"3500 S MALCOLM X BLVD
Dallas, TX",,,,,
