"animal_id","animal_type","animal_breed","kennel_number","kennel_status","tag_type","activity_number","activity_sequence","source_id","census_tract","council_district","intake_type","intake_subtype","intake_total","reason","staff_id","intake_date","intake_time","due_out","intake_condition","hold_request","outcome_type","outcome_date","outcome_time","receipt_number","impound_number","service_request_number","outcome_condition","chip_status","animal_origin","additional_information","month","year"
"A0233610","DOG","AMER BULLDOG","LFD 147","LAB",,,"1","P0035432","W","W","OWNER SURRENDER","EUTHANASIA REQUESTED","1","ILL","JR/JW","2015-07-23T00:00:00.000","1899-12-31T17:38:00.000","2015-07-23T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-07-23T00:00:00.000","1899-12-31T18:02:00.000",,"K15-323205",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"JUL.2015","FY2015"
"A0234756","DOG","PIT BULL","LAB 01","LAB",,,"1","P0067210","75208","8","OWNER SURRENDER","EUTHANASIA REQUESTED","1","AGGRESSIVE - PEOPLE","BW","2015-08-06T00:00:00.000","1899-12-31T11:32:00.000","2015-08-06T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-08-06T00:00:00.000","1899-12-31T12:39:00.000",,"K15-324236",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"AUG.2015","FY2015"
"A0235711","DOG","IBIZAN HOUND","PCD 22","UNAVAILABLE",,,"1","P0000564","28T","8T","CONFISCATED","KEEP SAFE","1",,"DEH","2015-06-03T00:00:00.000","1899-12-31T21:35:00.000","2015-06-15T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS","HOLD NOTIFY","RETURNED TO OWNER","2015-06-05T00:00:00.000","1899-12-31T12:35:00.000","R15-402821","K15-318073","238889","TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","FIELD",,"JUN.2015","FY2015"
"A0255891","CAT","DOMESTIC SH","LOST","LOST REPORT",,,"1","P0049564","W","W","LOST REPORT",,"1",,"CBM","2015-02-01T00:00:00.000","1899-12-31T12:51:00.000","2015-02-12T00:00:00.000","HEALTHY",,"LOST REPORT","2015-05-01T00:00:00.000","1899-12-31T13:40:00.000",,"K15-306959",,,"UNABLE TO SCAN","OVER THE COUNTER",,"FEB.2015","FY2015"
"A0257917","CAT","DOMESTIC LH","LFC 025","LAB",,,"1","P0596151","75227","27","OWNER SURRENDER","EUTHANASIA REQUESTED","1","EUTHANASIA OLD","CBM","2015-09-11T00:00:00.000","1899-12-31T14:09:00.000","2015-09-11T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-09-11T00:00:00.000","1899-12-31T15:00:00.000",,"K15-327325",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"SEP.2015","FY2015"
"A0261109","DOG","DACHSHUND","LAB 01","LAB",,,"1","P0100050","W","W","OWNER SURRENDER","EUTHANASIA REQUESTED","1","ILL","KW","2014-10-30T00:00:00.000","1899-12-31T11:17:00.000","2014-10-30T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2014-10-30T00:00:00.000","1899-12-31T12:01:00.000",,"K14-299897",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"OCT.2014","FY2015"
"A0266380","DOG","ROTTWEILER","LAB 01","LAB",,,"1","P0691365","W","W","OWNER SURRENDER","EUTHANASIA REQUESTED","1",,"AT","2015-02-18T00:00:00.000","1899-12-31T12:08:00.000","2015-02-18T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-02-18T00:00:00.000","1899-12-31T12:54:00.000",,"K15-308188",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"FEB.2015","FY2015"
"A0275199","DOG","SHIH TZU","LFD 053","LAB",,,"1","P0063887","W","W","OWNER SURRENDER","GENERAL","1",,"KW","2014-12-03T00:00:00.000","1899-12-31T13:09:00.000","2014-12-13T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2014-12-03T00:00:00.000","1899-12-31T14:17:00.000",,"K14-302599",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER",,"DEC.2014","FY2015"
"A0311520","CAT","DOMESTIC SHORTH","LOST","LOST REPORT",,,"1","P0687402","W","W","LOST REPORT",,"1",,"ARV","2014-12-17T00:00:00.000","1899-12-31T13:59:00.000","2014-12-28T00:00:00.000","HEALTHY",,"LOST REPORT","2015-05-01T00:00:00.000","1899-12-31T13:51:00.000",,"K14-303715",,,"UNABLE TO SCAN","OVER THE COUNTER",,"DEC.2014","FY2015"
"A0312107","DOG","PIT BULL","LFD 048","LAB",,,"1","P0019395","W","W","OWNER SURRENDER","EUTHANASIA REQUESTED","1","EUTHANASIA ILL","JR","2015-04-17T00:00:00.000","1899-12-31T16:09:00.000","2015-04-17T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-04-17T00:00:00.000","1899-12-31T16:40:00.000",,"K15-312943",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"APR.2015","FY2015"
"A0319503","DOG","MIN PINSCHER","LFD 085","LAB",,,"1","P0062983","39A","9A","OWNER SURRENDER","GENERAL","1",,"MB","2015-02-04T00:00:00.000","1899-12-31T11:00:00.000","2015-02-04T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-02-05T00:00:00.000","1899-12-31T15:36:00.000",,"K15-307244","15-00040685","UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","FIELD",,"FEB.2015","FY2015"
"A0321574","DOG","LABRADOR RETR","LAB 01","LAB",,,"1","P0582690","W","W","OWNER SURRENDER","EUTHANASIA REQUESTED","1","ILL","KM","2014-12-01T00:00:00.000","1899-12-31T12:58:00.000","2014-12-01T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2014-12-01T00:00:00.000","1899-12-31T13:56:00.000",,"K14-302421",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"DEC.2014","FY2015"
"A0861958","BIRD","DUCK","VT 07","WILDLIFE",,,"1","P0000000",,,"STRAY","AT LARGE","1",,"ARAMSEY","2014-10-18T00:00:00.000","1899-12-31T18:29:00.000","2014-10-18T00:00:00.000","TREATABLE MANAGEABLE NON-CONTAGIOUS",,"WILDLIFE","2014-10-19T00:00:00.000","1899-12-31T00:00:00.000",,"K14-298987",,"TREATABLE MANAGEABLE NON-CONTAGIOUS","SCAN NO CHIP","FIELD",,"OCT.2014","FY2015"
"A0322349","DOG","DACHSHUND","PCD 23","IMPOUNDED",,,"1","P0000564","28T","8T","CONFISCATED","KEEP SAFE","1",,"DEH","2015-06-03T00:00:00.000","1899-12-31T21:35:00.000","2015-06-15T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS","HOLD NOTIFY","RETURNED TO OWNER","2015-06-05T00:00:00.000","1899-12-31T12:31:00.000","R15-402817","K15-318077","238889","TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","FIELD",,"JUN.2015","FY2015"
"A0335360","DOG","CHIHUAHUA SH","LFD 166","LAB",,,"1","P0602619","75211","11","OWNER SURRENDER","EUTHANASIA REQUESTED","1","ILL","CBM","2015-09-09T00:00:00.000","1899-12-31T10:58:00.000","2015-09-09T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-09-09T00:00:00.000","1899-12-31T11:43:00.000",,"K15-327114",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"SEP.2015","FY2015"
"A0336870","DOG","AUST SHEPHERD","PCD 24","UNAVAILABLE",,,"1","P0098822","14W","4W","CONFISCATED","KEEP SAFE","1",,"DGL","2015-02-04T00:00:00.000","1899-12-31T19:19:00.000","2015-02-16T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS",,"RETURNED TO OWNER","2015-02-05T00:00:00.000","1899-12-31T15:48:00.000","R15-387572","K15-307314","15-00041991","TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","FIELD",,"FEB.2015","FY2015"
"A0337666","DOG","RAT TERRIER","INJD 20","LAB",,,"1","P0060426","W","W","OWNER SURRENDER","EUTHANASIA REQUESTED","1",,"CBM","2015-05-13T00:00:00.000","1899-12-31T17:08:00.000","2015-05-13T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-05-13T00:00:00.000","1899-12-31T17:29:00.000",,"K15-315581",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"MAY.2015","FY2015"
"A0346530","DOG","CHIHUAHUA SH","LAB 01","LAB",,,"1","P0040118","W","W","OWNER SURRENDER","EUTHANASIA REQUESTED","1","EUTHANASIA OLD","DSC","2014-10-24T00:00:00.000","1899-12-31T11:09:00.000","2014-10-24T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2014-10-24T00:00:00.000","1899-12-31T11:42:00.000",,"K14-299414",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"OCT.2014","FY2015"
"A0349615","DOG","CHOW CHOW","INJD 16","LAB",,,"1","P0000000","66B","6B","STRAY","AT LARGE","1",,"TF.ER","2015-04-08T00:00:00.000","1899-12-31T12:44:00.000","2015-04-26T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS","HOLD NOTIFY","EUTHANIZED","2015-04-22T00:00:00.000","1899-12-31T17:56:00.000",,"K15-312051",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","FIELD",,"APR.2015","FY2015"
"A0350222","DOG","LABRADOR RETR","LFD 047","LAB",,,"1","P0585639","W","W","OWNER SURRENDER","GENERAL","1","ESCAPES","SN","2015-07-07T00:00:00.000","1899-12-31T11:52:00.000","2015-07-07T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-07-07T00:00:00.000","1899-12-31T12:29:00.000",,"K15-321681",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER",,"JUL.2015","FY2015"
"A0350630","DOG","PAPILLON","LAB 01","LAB",,,"1","P0111449","W","W","OWNER SURRENDER","EUTHANASIA REQUESTED","1",,"CBM","2015-03-02T00:00:00.000","1899-12-31T15:32:00.000","2015-03-02T00:00:00.000","TREATABLE MANAGEABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-03-02T00:00:00.000","1899-12-31T16:04:00.000",,"K15-308963",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"MAR.2015","FY2015"
"A0350992","DOG","LABRADOR RETR","LOST","LOST REPORT",,,"1","P0111661","W","W","LOST REPORT",,"1",,"CBM","2015-03-26T00:00:00.000","1899-12-31T14:50:00.000","2015-04-05T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS",,"LOST REPORT","2015-03-26T00:00:00.000","1899-12-31T14:12:00.000",,"K15-305671",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER",,"MAR.2015","FY2015"
"A0361946","CAT","ABYSSINIAN","FOUND","FOUND REPORT",,,"1","P0084989","W","W","LOST REPORT",,"1",,"JR","2015-07-25T00:00:00.000","1899-12-31T13:52:00.000","2015-08-04T00:00:00.000","TREATABLE MANAGEABLE NON-CONTAGIOUS",,"LOST REPORT","2015-07-29T00:00:00.000","1899-12-31T10:29:00.000",,"K15-323383",,"HEALTHY","UNABLE TO SCAN","OVER THE COUNTER",,"JUL.2015","FY2015"
"A0389548","DOG","LABRADOR RETR","LAB 01","LAB",,,"1","P0020537","W","W","OWNER SURRENDER","EUTHANASIA REQUESTED","1","TOO OLD","KW","2014-10-16T00:00:00.000","1899-12-31T14:36:00.000","2014-10-16T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2014-10-16T00:00:00.000","1899-12-31T15:14:00.000",,"K14-298772",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"OCT.2014","FY2015"
"A0395415","DOG","POODLE MIN","LFD 037","LAB",,,"1","P0134686","W","W","OWNER SURRENDER","GENERAL","1","ALLERGIC","CBM","2015-05-23T00:00:00.000","1899-12-31T12:05:00.000","2015-05-23T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-05-23T00:00:00.000","1899-12-31T18:16:00.000",,"K15-316817",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"MAY.2015","FY2015"
"A0517849","CAT","DOMESTIC SH","LFC 009","UNAVAILABLE",,,"1","P0686018","W","W","STRAY","CONFINED","1",,"SEC","2014-12-01T00:00:00.000","1899-12-31T13:27:00.000","2014-12-11T00:00:00.000","HEALTHY","ADOPTION","ADOPTION","2014-12-11T00:00:00.000","1899-12-31T11:04:00.000","R14-380266","K14-302427",,"HEALTHY","SCAN CHIP","OVER THE COUNTER",,"DEC.2014","FY2015"
"A0401026","DOG","POODLE MIN","PAWS 14","IMPOUNDED",,,"1","P0150688","W","W","OWNER SURRENDER","GENERAL","1","MOVE","CBM","2015-04-20T00:00:00.000","1899-12-31T11:28:00.000","2015-04-20T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS","MEDICAL","ADOPTION","2015-05-12T00:00:00.000","1899-12-31T11:45:00.000","R15-399186","K15-313186",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER","ADOPTED","APR.2015","FY2015"
"A0401026","DOG","POODLE MIN","LFD 124","UNAVAILABLE",,,"1","P0000000","47R","7R","STRAY","POSSIBLY OWNED","1",,"S.KING","2015-07-23T00:00:00.000","1899-12-31T20:40:00.000","2015-08-10T00:00:00.000","TREATABLE MANAGEABLE NON-CONTAGIOUS","RESCUE","TRANSFER","2015-08-11T00:00:00.000","1899-12-31T17:55:00.000",,"K15-323221","334516","TREATABLE MANAGEABLE NON-CONTAGIOUS","SCAN CHIP","FIELD","TAGGED","JUL.2015","FY2015"
"A0404333","DOG","BORDER COLLIE","PCD 17","IMPOUNDED",,,"1","P0000000","34T","4T","CONFISCATED","KEEP SAFE","1",,"S.KING","2015-03-03T00:00:00.000","1899-12-31T17:39:00.000","2015-03-15T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS","HOLD NOTIFY","RETURNED TO OWNER","2015-03-04T00:00:00.000","1899-12-31T15:18:00.000",,"K15-309085","73602","TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","FIELD",,"MAR.2015","FY2015"
"A0407263","CAT","DOMESTIC SH","LOST","LOST REPORT",,,"1","P0037765","75232","32","LOST REPORT",,"1",,"CBM","2015-09-12T00:00:00.000","1899-12-31T14:48:00.000","2015-09-22T00:00:00.000","HEALTHY",,"LOST REPORT","2015-10-20T00:00:00.000","1899-12-31T09:57:00.000",,"K15-327416",,,"SCAN CHIP","OVER THE COUNTER",,"SEP.2015","FY2015"
"A0420668","DOG","CHIHUAHUA SH","TAGD 13","IMPOUNDED",,,"1","P9991560","23H","3H","STRAY","POSSIBLY OWNED","1",,"JE","2015-04-07T00:00:00.000","1899-12-31T14:48:00.000","2015-04-17T00:00:00.000","HEALTHY",,"RETURNED TO OWNER","2015-04-07T00:00:00.000","1899-12-31T17:05:00.000","R15-394948","K15-311964",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","FIELD",,"APR.2015","FY2015"
"A0437031","DOG","POODLE TOY","LFD 166","UNAVAILABLE",,,"1","P0489990","34G","4G","OWNER SURRENDER","GENERAL","1",,"MM","2015-04-14T00:00:00.000","1899-12-31T20:00:00.000","2015-04-25T00:00:00.000","TREATABLE MANAGEABLE NON-CONTAGIOUS","HOLD NOTIFY","TRANSFER","2015-04-25T00:00:00.000","1899-12-31T11:55:00.000",,"K15-312684",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","FIELD","OLD BLIND & DEAF?","APR.2015","FY2015"
"A0439732","DOG","ROTTWEILER","LAB 01","LAB",,,"1","P0491145","65P","5P","OWNER SURRENDER","EUTHANASIA REQUESTED","1","ILL","SC","2015-06-11T00:00:00.000","1899-12-31T00:13:00.000","2015-06-11T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-06-11T00:00:00.000","1899-12-31T00:30:00.000",,"K15-318879",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","FIELD",,"JUN.2015","FY2015"
"A0439826","DOG","BEAGLE","LFD 041","IMPOUNDED",,,"1","P0150688","W","W","OWNER SURRENDER","GENERAL","1","MOVE","CBM","2015-04-20T00:00:00.000","1899-12-31T11:28:00.000","2015-04-20T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS","RESCUE","ADOPTION","2015-04-20T00:00:00.000","1899-12-31T00:00:00.000","R15-396689","K15-313185",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER","ADOPTED","APR.2015","FY2015"
"A0439875","DOG","SHEPHERD MIX","TAGD 01","LAB",,,"1","P0694265","W","W","STRAY","POSSIBLY OWNED","1","LANDLORD","CBM","2015-03-29T00:00:00.000","1899-12-31T13:00:00.000","2015-04-10T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-04-16T00:00:00.000","1899-12-31T18:53:00.000",,"K15-311167",,"TREATABLE MANAGEABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER",,"MAR.2015","FY2015"
"A0439967","DOG","PIT BULL","LOST","LOST REPORT",,,"1","P0106948","10904","3","LOST REPORT",,"1",,"CBM","2015-04-28T00:00:00.000","1899-12-31T17:20:00.000","2015-05-08T00:00:00.000","HEALTHY",,"LOST REPORT","2015-04-29T00:00:00.000","1899-12-31T13:59:00.000",,"K15-313959",,"HEALTHY","SCAN NO CHIP","OVER THE COUNTER",,"APR.2015","FY2015"
"A0440506","DOG","LABRADOR RETR","QD 15","LAB",,,"1","P0667345","W","W","OWNER SURRENDER","QUARANTINE","1",,"SW","2014-11-28T00:00:00.000","1899-12-31T12:48:00.000","2014-12-08T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS","QUARANTINE","EUTHANIZED","2014-12-14T00:00:00.000","1899-12-31T15:59:00.000",,"K14-302418",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER",,"NOV.2014","FY2015"
"A0445459","DOG","PIT BULL","LFD 069","LAB",,,"1","P0073121",,,"OWNER SURRENDER","GENERAL","1","BITES","KW","2014-12-10T00:00:00.000","1899-12-31T14:41:00.000","2014-12-10T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2014-12-10T00:00:00.000","1899-12-31T15:00:00.000",,"K14-303084",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER","BLIND/DEAF","DEC.2014","FY2015"
"A0460110","DOG","TERRIER MIX","LFD 010","IMPOUNDED",,,"1","P0000000","75243","43","STRAY","AT LARGE","1",,"MB","2015-09-19T00:00:00.000","1899-12-31T10:48:00.000","2015-09-23T00:00:00.000","TREATABLE MANAGEABLE NON-CONTAGIOUS",,"RETURNED TO OWNER","2015-09-19T00:00:00.000","1899-12-31T15:15:00.000","R15-420710","K15-327945","433936","TREATABLE MANAGEABLE NON-CONTAGIOUS","SCAN NO CHIP","FIELD",,"SEP.2015","FY2015"
"A0466352","DOG","CHOW CHOW","RECEIVING","IMPOUNDED",,,"1","P0027025","55Y","5Y","OWNER SURRENDER","EUTHANASIA REQUESTED","1",,"MM","2015-02-08T00:00:00.000","1899-12-31T18:52:00.000","2015-02-08T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-02-08T00:00:00.000","1899-12-31T20:19:00.000",,"K15-307574",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","FIELD",,"FEB.2015","FY2015"
"A0466962","DOG","AUST TERRIER","LFD 078","LAB",,,"1","P0705033","59Q","9Q","OWNER SURRENDER","GENERAL","1",,"AD","2015-07-22T00:00:00.000","1899-12-31T18:03:00.000","2015-07-22T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-07-24T00:00:00.000","1899-12-31T11:14:00.000",,"K15-323124","15-00330722","TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN NO CHIP","FIELD",,"JUL.2015","FY2015"
"A0467353","DOG","PUG","INJD 18","IMPOUNDED",,,"1","P0682757","36S","6S","STRAY","POSSIBLY OWNED","1",,"KW","2014-10-17T00:00:00.000","1899-12-31T18:13:00.000","2014-10-27T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS","POSSIBLY OWNED","RETURNED TO OWNER","2014-10-19T00:00:00.000","1899-12-31T15:31:00.000","R14-372914","K14-298899",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER",,"OCT.2014","FY2015"
