"id","filenum","occurred_dt","occurred_tm","current_badge_no","offsex","offrace","hire_dt","off_injured","offcondtype","off_hospital","service_type","uofnum","forcetype","uof_reason","cycles_num","forceeffective","citnum","citrace","citsex","cit_injured","citcondtype","cit_arrested","cit_infl_assmt","citchargetype","arc_street","ra","beat","sector","division","dist_name","latitude","longitude","geolocation"
"175","UF2015-0186","2015-02-17T00:00:00.000","14:30","6736","Male","White","1991-08-26T00:00:00.000","No","No injuries noted or visible","No","Arrest","23671, 23672","Verbal Command, Weapon display at Person","Arrest","NULL","No, Yes",,"Black","Male","No","No injuries noted or visible","Yes","Unknown Drugs","Other Misdemeanor Arrest","9229 John Carpenter Frwy.","3098","512","510","NORTHWEST","D6",,,"9229 John Carpenter Frwy.
Dallas, TX "
"176","UF2015-0186","2015-02-17T00:00:00.000","14:30","6736","Male","White","1991-08-26T00:00:00.000","No","No injuries noted or visible","No","Arrest","23671, 23672","Verbal Command, Weapon display at Person","Arrest","NULL","No, Yes",,"Hispanic","Male","No","No injuries noted or visible","Yes","Unknown Drugs","Other Misdemeanor Arrest","9229 John Carpenter Frwy.","3098","512","510","NORTHWEST","D6",,,"9229 John Carpenter Frwy.
Dallas, TX "
"177","UF2015-0186","2015-02-17T00:00:00.000","17:00","10733","Male","Hispanic","2014-01-29T00:00:00.000","No","No injuries noted or visible","No","Warrant Execution","23673","Held Suspect Down","Danger to self or others","NULL","Yes",,"Black","Male","Yes","Redness/Swelling","Yes","Unknown","Warrant/Hold","9229 John Carpenter Frwy.","3098","512","510","NORTHWEST","D6",,,"9229 John Carpenter Frwy.
Dallas, TX "
"185","UF2015-0194","2015-01-03T00:00:00.000","14:10","5485","Male","Black","1986-09-29T00:00:00.000","No","No injuries noted or visible","No","Arrest","22770","Taser","Arrest","4","Yes","38275","Black","Male","Yes","Puncture","Yes","Mentally unstable","APOWW","3155 W Wheatland Rd.","4381","745","740","SOUTH CENTRAL","D8",,,"3155 W Wheatland Rd.
Dallas, TX 
(32.647583, -96.87266)"
"216","UF2015-0235","2015-03-22T00:00:00.000","16:30","10714","Male","Hispanic","2013-11-06T00:00:00.000","No","No injuries noted or visible","No","Arrest","24414, 24416","BD - Grabbed, Held Suspect Down","Arrest","NULL","Yes, Yes","38305","Black","Male","No","No injuries noted or visible","Yes","Unknown","APOWW","3256 E NANDINA DR. Dr.","4376","755","750","SOUTH CENTRAL","D8",,,"3256 E NANDINA DR. Dr.
Dallas, TX "
"237","UF2015-0251","2015-03-15T00:00:00.000","5:50","9948","Male","Hispanic","2010-09-29T00:00:00.000","No","No injuries noted or visible","No","Service Call","24225, 24229","BD - Grabbed, Verbal Command","Other","NULL","No, No","38154","Other","Male","No","No injuries noted or visible","No","Unknown","No Arrest","10570 Stone Canyon Dr.","1052","653","650","NORTH CENTRAL","D11",,,"10570 Stone Canyon Dr.
Dallas, TX "
"238","UF2015-0253","2015-03-28T00:00:00.000","22:00","8917","Male","White","2006-09-13T00:00:00.000","No","No injuries noted or visible","No","Other ( In Narrative)","24565","Weapon display at Person","Danger to self or others","NULL","No","37379","Black","Male","No","No injuries noted or visible","No","Unknown","No Arrest","1550 Empire Central","3091","513","510","NORTHWEST","D2",,,"1550 Empire Central
Dallas, TX "
"289","UF2015-0290","2015-01-03T00:00:00.000","18:15","10074","Male","White","2010-01-20T00:00:00.000","No","No injuries noted or visible","No","Traffic Stop","23950, 23951","Verbal Command, Joint Locks","Danger to self or others","NULL","No, Yes","37118","White","Male","No","No injuries noted or visible","Yes","Unknown Drugs","Criminal Mischief","2800 E R L THORNTON FWY","2092","152","150","CENTRAL","D7",,,"2800 E R L THORNTON FWY
Dallas, TX "
"294","UF2015-0295","2015-03-27T00:00:00.000","1:40","10462","Female","White","2012-09-26T00:00:00.000","No","No injuries noted or visible","No","Suspicious Activity","24513, 24514, 24515, 24516, 24517","Verbal Command, BD - Grabbed, BD - Tripped, BD - Grabbed, Pressure Points","Detention/Frisk","NULL","No, Yes, No, No, No","38418","Black","Male","Yes","Abrasion/Scrape","Yes","Unknown","Warrant/Hold","13600 Montfort Rd.","1013","635","630","NORTH CENTRAL","D11",,,"13600 Montfort Rd.
Dallas, TX "
"295","UF2015-0296","2015-03-11T00:00:00.000","3:00","10849","Male","Hispanic","2014-06-18T00:00:00.000","No","No injuries noted or visible","No","Arrest","24140, 24141, 24142","Verbal Command, Joint Locks, BD - Pushed","Arrest","NULL","No, Yes, Yes","38092","Black","Male","No","No injuries noted or visible","Yes","Unknown","DWLI, Warrant/Hold","1600 ELSIE FAYE HEGGINS ST","2187","344","340","SOUTHEAST","D7",,,"1600 ELSIE FAYE HEGGINS ST
Dallas, TX "
"338","UF2015-0331","2015-01-28T00:00:00.000","2:34","9178","Male","White","2007-07-11T00:00:00.000","No","No injuries noted or visible","No","Arrest","23296","Hand Controlled Escort","Arrest","NULL","Yes","37472","White","Male","No","No injuries noted or visible","Yes","Alchohol","DWI","4151 N FITZHUGH Ave.","2099","115","110","CENTRAL","D7",,,"4151 N FITZHUGH Ave.
Dallas, TX "
"362","UF2015-0352","2015-03-16T00:00:00.000","0:55","10811","Male","White","2014-05-07T00:00:00.000","No","No injuries noted or visible","No","Service Call","24254, 24255","Weapon display at Person, Verbal Command","Arrest","NULL","Yes, Yes","32587","White","Male","No","No injuries noted or visible","Yes","Alchohol","Assault/FV, Other Felony Arrest","5522 Eastside Ave.","1193","114","110","CENTRAL","D2",,,"5522 Eastside Ave.
Dallas, TX "
"378","UF2015-0368","2015-04-01T00:00:00.000","17:45","10333","Male","Hispanic","2012-03-28T00:00:00.000","No","No injuries noted or visible","No","Arrest","24801, 24802, 24804","Verbal Command, Take Down - Arm, Held Suspect Down","Assault to Other Person","NULL","No, Yes, Yes","38595","Black","Male","No","No injuries noted or visible","Yes","Alchohol","Assault, Resisting Arrest, Other Felony Arrest","4818 2nd Ave.","2168","313","310","SOUTHEAST","D7",,,"4818 2nd Ave.
Dallas, TX "
"379","UF2015-0368","2015-04-01T00:00:00.000","17:45","10329","Male","Black","2012-03-28T00:00:00.000","No","No injuries noted or visible","No","Arrest","24805, 24806, 24807, 24808","Verbal Command, Hand Controlled Escort, Take Down - Arm, Held Suspect Down","Active Aggression","NULL","No, Yes, Yes, Yes","38596","Black","Male","No","No injuries noted or visible","Yes","Alchohol and unknown drugs","Assault, Other Felony Arrest, Resisting Arrest","4818 2nd Ave.","2168","313","310","SOUTHEAST","D7",,,"4818 2nd Ave.
Dallas, TX "
"406","UF2015-0393","2015-04-14T00:00:00.000","21:50","8502","Male","Hispanic","2004-05-26T00:00:00.000","No","No injuries noted or visible","No","Service Call","24996, 24997","BD - Pushed, BD - Pushed","Arrest","NULL","No, Yes","18865","Black","Male","No","No injuries noted or visible","Yes","Unknown Drugs","DWI, DWLI, Warrant/Hold","4300 DALLAS FT WORTH TURNPIKE","4077","416","410","SOUTHWEST","D6",,,"4300 DALLAS FT WORTH TURNPIKE
Dallas, TX "
"407","UF2015-0393","2015-04-14T00:00:00.000","21:50","7962","Male","White","2000-09-22T00:00:00.000","No","No injuries noted or visible","No","Service Call","24998, 24999","Feet/Leg/Knee Strike, Pressure Points","Arrest","NULL","Yes, Yes","18865","Black","Male","No","No injuries noted or visible","Yes","Unknown Drugs","DWI, DWLI, Warrant/Hold","4300 DALLAS FT WORTH TURNPIKE","4077","416","410","SOUTHWEST","D6",,,"4300 DALLAS FT WORTH TURNPIKE
Dallas, TX "
"420","UF2015-0406","2015-04-18T00:00:00.000","21:00","7930","Male","Black","2000-07-07T00:00:00.000","No","No injuries noted or visible","No","Crowd Control","25161","BD - Grabbed","Detention/Frisk","NULL","Yes","38850","Unknown","Male","No","No injuries noted or visible","No","None detected","No Arrest","3851 MIDWAY RD","6007","614","610","NORTH CENTRAL","D12",,,"3851 MIDWAY RD
Dallas, TX "
"424","UF2015-0410","2015-04-15T00:00:00.000","18:30","10308","Male","White","2012-03-28T00:00:00.000","No","No injuries noted or visible","No","Arrest","25014, 25017","Verbal Command, Joint Locks","Arrest","NULL","No, Yes","38772","Black","Male","Yes","Injured prior to contact","Yes","Unknown","Warrant/Hold, Resisting Arrest, Drug Possession - Misdemeanor","900 WOODALL RODGERS Frwy.","2058","131","130","CENTRAL","D14",,,"900 WOODALL RODGERS Frwy.
Dallas, TX "
"475","UF2015-0454","2015-04-26T00:00:00.000","1:55","8782","Male","White","2006-02-10T00:00:00.000","No","No injuries noted or visible","No","Service Call","25326, 25327, 25328","Feet/Leg/Knee Strike, Verbal Command, OC Spray","Arrest","NULL","No, No, Yes","38968","Black","Male","Yes","OC Spray Treatment, Treated by DFD","Yes","Alchohol and unknown drugs","Public Intoxication, Resisting Search and Transport","15000 L B J FWY","1132","228","220","NORTHEAST","D9",,,"15000 L B J FWY
Dallas, TX "
"565","UF2015-0060","2015-01-22T00:00:00.000","20:45","10318","Male","White","2012-03-28T00:00:00.000","Yes","Bruise","No","Service Call","23149","Take Down - Body","Danger to self or others","NULL","Yes","37389","Hispanic","Male","No","No injuries noted or visible","Yes","Alchohol","Public Intoxication, Resisting Search and Transport","6675 Cedar Ridge Dr.","4401","435","430","SOUTHWEST","D3",,,"6675 Cedar Ridge Dr.
Dallas, TX "
"566","UF2015-0062","2015-01-23T00:00:00.000","22:35","9985","Male","White","2009-09-30T00:00:00.000","No","No injuries noted or visible","No","Other ( In Narrative)","23178","Weapon display at Person","Weapon Display","NULL","Yes","37417","White","Male","No","No injuries noted or visible","Yes","Alchohol","Other Agency Arrest","210 Merribrook Trl.",,,,,,,,"210 Merribrook Trl.
Dallas, TX "
"579","UF2015-0070","2015-01-25T00:00:00.000","0:15","10235","Male","Hispanic","2010-08-18T00:00:00.000","No","No injuries noted or visible","No","Arrest","23214, 23215, 23216, 23217","Verbal Command, Hand Controlled Escort, BD - Pushed, Take Down - Arm","Active Aggression","NULL","No, No, No, Yes","37427","Hispanic","Male","Yes","Abrasion/Scrape","Yes","Unknown","Other Misdemeanor Arrest","4900 ALTON Ave.","1192","114","110","CENTRAL","D2",,,"4900 ALTON Ave.
Dallas, TX "
"633","UF2015-0488","2015-04-12T00:00:00.000","17:40","10632","Male","White","2013-08-14T00:00:00.000","Yes","Fatigue, Abrasion/Scrape","No","Arrest","24942, 24943","Verbal Command, Held Suspect Down","Detention/Frisk","NULL","No, Yes","38708","Black","Male","No","No injuries noted or visible","Yes","None detected","Evading Arrest","4600 S MALCOLM X Blvd.","2167","346","340","SOUTHEAST","D7",,,"4600 S MALCOLM X Blvd.
Dallas, TX "
"644","UF2015-0497","2015-03-30T00:00:00.000","22:13","9462","Male","White","2008-05-14T00:00:00.000","No","No injuries noted or visible","No","Arrest","24619, 24620, 24621","Verbal Command, Take Down - Body, Hand/Arm/Elbow Strike","Arrest","NULL","No, No, Yes","38485","Black","Male","No","No injuries noted or visible","Yes","Alchohol and unknown drugs","Resisting Arrest, Warrant/Hold","3461 st francis Ave.","1204","238","230","NORTHEAST","D7",,,"3461 st francis Ave.
Dallas, TX "
"645","UF2015-0497","2015-03-30T00:00:00.000","21:55","10704","Male","White","2013-11-06T00:00:00.000","No","No injuries noted or visible","No","Arrest","24669, 24670, 24671, 24672","Verbal Command, BD - Grabbed, Held Suspect Down, Joint Locks","Active Aggression","NULL","No, No, Yes, Yes","38485","Black","Male","Yes","Abrasion/Scrape","Yes","Alchohol","Warrant/Hold, Resisting Arrest","3461 st francis Ave.","1204","238","230","NORTHEAST","D7",,,"3461 st francis Ave.
Dallas, TX "
"690","UF2015-0540","2015-05-14T00:00:00.000","1:00","10436","Male","White","2012-09-26T00:00:00.000","No","No injuries noted or visible","No","Service Call","25648, 25708, 25709","Held Suspect Down, Verbal Command, Hand Controlled Escort","Arrest","NULL","No, No, Yes","15008","Black","Female","No","No injuries noted or visible","Yes","NULL","Crim Trespass/Bldg/Prop, Resisting Arrest, Fail to ID, Warrant/Hold","4600 S MALCOLM X Blvd.","2167","346","340","SOUTHEAST","D7",,,"4600 S MALCOLM X Blvd.
Dallas, TX "
"702","UF2015-0551","2015-05-21T00:00:00.000","14:00","8694","Male","White","2005-08-05T00:00:00.000","No","No injuries noted or visible","No","Arrest","25822, 25823","Hand/Arm/Elbow Strike, Feet/Leg/Knee Strike","Active Aggression","NULL","Yes, No","39392","White","Male","No","No injuries noted or visible","Yes","Unknown","Drug Possession - Felony, Theft, Resisting Arrest, Warrant/Hold","5800 Crystal Lake Blvd.","4311","433","430","SOUTHWEST","D3",,,"5800 Crystal Lake Blvd.
Dallas, TX "
"759","UF2015-0604","2015-05-09T00:00:00.000","4:00","10667","Male","White","2013-09-25T00:00:00.000","No","No injuries noted or visible","No","Arrest","25543, 25544","Verbal Command, Held Suspect Down","Arrest","NULL","No, No","39170","White","Male","No","No injuries noted or visible","Yes","Alchohol","Public Intoxication, Resisting Arrest, Other Misdemeanor Arrest","4810 SPUR 408","4311","433","430","SOUTHWEST","D3",,,"4810 SPUR 408
Dallas, TX "
"768","UF2015-0612","2015-06-02T00:00:00.000","2:15","10480","Male","Hispanic","2012-09-26T00:00:00.000","No","No injuries noted or visible","No","Arrest","26095","BD - Pushed","Arrest","NULL","Yes","39515","Black","Male","No","No injuries noted or visible","Yes","Unknown","Warrant/Hold","600 E R L THORNTON FWY","2103","151","150","CENTRAL","D2",,,"600 E R L THORNTON FWY
Dallas, TX "
"783","UF2015-0625","2015-05-01T00:00:00.000","2:24","10647","Male","White","2013-09-25T00:00:00.000","No","No injuries noted or visible","No","Service Call","25427, 25428","Weapon display at Person, Verbal Command","Weapon Display","NULL","Yes, Yes",,"Black","Male","No","No injuries noted or visible","No","None detected","No Arrest","11900 S JUPITER Rd.","1100","233","230","NORTHEAST","D9",,,"11900 S JUPITER Rd.
Dallas, TX "
"784","UF2015-0625","2015-05-01T00:00:00.000","2:24","10647","Male","White","2013-09-25T00:00:00.000","No","No injuries noted or visible","No","Service Call","25427, 25428","Weapon display at Person, Verbal Command","Weapon Display","NULL","Yes, Yes",,"White","Female","No","No injuries noted or visible","No","None detected","No Arrest","11900 S JUPITER Rd.","1100","233","230","NORTHEAST","D9",,,"11900 S JUPITER Rd.
Dallas, TX "
"787","UF2015-0628","2015-05-22T00:00:00.000","21:30","9792","Female","White","2009-03-18T00:00:00.000","No","No injuries noted or visible","No","Arrest","25839","Hand Controlled Escort","Arrest","NULL","Yes","39400","Black","Male","Yes","PAIN IN LEFT SHOULDER","Yes","None detected","DWLI, Warrant/Hold","3401 ST FRANCIS AVE","1204","238","230","NORTHEAST","D7",,,"3401 ST FRANCIS AVE
Dallas, TX "
"812","UF2015-0649","2015-04-18T00:00:00.000","6:00","8912","Male","White","2006-09-13T00:00:00.000","No","No injuries noted or visible","No","Service Call","25143, 25144","Verbal Command, Joint Locks","Active Aggression","NULL","No, Yes","38839","Black","Male","Yes","Abrasion/Scrape","Yes","Unknown","Warrant/Hold","4300 ELSIE FAYE HEGGINS St.","2122","313","310","SOUTHEAST","D7",,,"4300 ELSIE FAYE HEGGINS St.
Dallas, TX "
"850","UF2015-0681","2015-05-31T00:00:00.000","3:00","10727","Male","Black","2014-01-29T00:00:00.000","No","No injuries noted or visible","No","Arrest","26044, 26046, 26382","Held Suspect Down, Hand Controlled Escort, Verbal Command","Other","NULL","Yes, Yes, No","39489","Hispanic","Male","No","No injuries noted or visible","Yes","Alchohol","Public Intoxication","9810 DALECREST Dr.","4552","536","530","NORTHWEST","D6",,,"9810 DALECREST Dr.
Dallas, TX "
"883","UF2015-0713","2015-03-08T00:00:00.000","5:00","10705","Female","Hispanic","2013-11-06T00:00:00.000","No","No injuries noted or visible","No","Arrest","24244, 24245, 24246, 24364","Feet/Leg/Knee Strike, Pressure Points, Held Suspect Down, Verbal Command","Arrest","NULL","No, No, Yes, No","38051","Black","Male","No","No injuries noted or visible","Yes","Alchohol","Burglary/Habitation, Assault/Public Servant","4846 ELSIE FAYE HEGGINS ST","8814","313","310","SOUTHEAST","D7",,,"4846 ELSIE FAYE HEGGINS ST
Dallas, TX "
"921","UF2015-0748","2015-07-05T00:00:00.000","0:10","10803","Male","Black","2007-12-05T00:00:00.000","No","No injuries noted or visible","No","Service Call","26903, 26904","Weapon display at Person, Verbal Command","Arrest","NULL","Yes, Yes","39960","Black","Male","No","No injuries noted or visible","Yes","FD-Suspect w/ Gun","Other Misdemeanor Arrest","6800 S CENTRAL EXPY","4229","717","710","SOUTH CENTRAL","D7",,,"6800 S CENTRAL EXPY
Dallas, TX "
"930","UF2015-0758","2015-07-11T00:00:00.000","21:00","9320","Male","White","2007-11-28T00:00:00.000","No","No injuries noted or visible","No","Arrest","27042","Hand Controlled Escort","Arrest","NULL","Yes","40070","Other","Male","No","No injuries noted or visible","Yes","None detected","Warrant/Hold","3200 Old Mill Rd.","6006","611","610","NORTH CENTRAL","D12",,,"3200 Old Mill Rd.
Dallas, TX "
"931","UF2015-0760","2015-07-13T00:00:00.000","10:06","8862","Male","Hispanic","2006-06-30T00:00:00.000","No","No injuries noted or visible","No","Other ( In Narrative)","27078, 27081","Verbal Command, Weapon display at Person","Other","NULL","No, No","40110","Black","Male","No","No injuries noted or visible","Yes","Unknown Drugs","Warrant/Hold","S STEMMONS FWY","9102","136","130","CENTRAL","D1",,,"S STEMMONS FWY
Dallas, TX "
"932","UF2015-0760","2015-07-13T00:00:00.000","10:06","5842","Male","White","1988-08-15T00:00:00.000","No","No injuries noted or visible","No","Other ( In Narrative)","27079","Taser","Other","0","Yes","40110","Black","Male","No","No injuries noted or visible","Yes","Unknown Drugs","Warrant/Hold","S STEMMONS FWY","9102","136","130","CENTRAL","D1",,,"S STEMMONS FWY
Dallas, TX "
"933","UF2015-0760","2015-07-13T00:00:00.000","10:06","6426","Male","White","2000-07-10T00:00:00.000","No","No injuries noted or visible","No","Other ( In Narrative)","27080","Weapon display at Person","Other","NULL","No","40110","Black","Male","No","No injuries noted or visible","Yes","Unknown Drugs","Warrant/Hold","S STEMMONS FWY","9102","136","130","CENTRAL","D1",,,"S STEMMONS FWY
Dallas, TX "
"934","UF2015-0760","2015-07-13T00:00:00.000","10:06","10814","Male","Black","2014-05-07T00:00:00.000","No","No injuries noted or visible","No","Other ( In Narrative)","27082","Weapon display at Person","Other","NULL","No","40110","Black","Male","No","No injuries noted or visible","Yes","Unknown Drugs","Warrant/Hold","S STEMMONS FWY","9102","136","130","CENTRAL","D1",,,"S STEMMONS FWY
Dallas, TX "
"935","UF2015-0760","2015-07-13T00:00:00.000","10:06","10814","Male","Black","2014-05-07T00:00:00.000","No","No injuries noted or visible","No","Call for Cover","27100, 27102","BD - Grabbed, BD - Tripped","Danger to self or others","NULL","Yes, Yes","40110","Black","Male","No","No injuries noted or visible","Yes","Unknown Drugs","Other Misdemeanor Arrest","S STEMMONS FWY","9102","136","130","CENTRAL","D1",,,"S STEMMONS FWY
Dallas, TX "
"961","UF2015-0784","2015-07-01T00:00:00.000","1:10","10184","Male","White","2010-06-09T00:00:00.000","No","No injuries noted or visible","No","Arrest","26814","OC Spray","Danger to self or others","NULL","Yes","39915","Hispanic","Female","No","No injuries noted or visible","Yes","Alchohol","DWI, Warrant/Hold, Resisting Search and Transport","3599 CANTON ST.","2080","153","150","CENTRAL","D2",,,"3599 CANTON ST.
Dallas, TX "
"970","UF2015-0794","2015-04-12T00:00:00.000","23:03","10549","Male","White","2013-05-08T00:00:00.000","No","No injuries noted or visible","No","Arrest","24954, 25220","Weapon display at Person, Verbal Command","Weapon Display","NULL","Yes, No","38713","Black","Male","No","No injuries noted or visible","Yes","Unknown","Evading Arrest, Robbery","4838 ELSIE FAYE HEGGINS St.","8814","313","310","SOUTHEAST","D7",,,"4838 ELSIE FAYE HEGGINS St.
Dallas, TX "
"1028","UF2015-0842","2015-06-17T00:00:00.000","22:49","5735","Male","White","1988-02-11T00:00:00.000","Yes","Bruise, Abrasion/Scrape","No","Arrest","26424","K-9 Deployment","Arrest","NULL","Yes","39731","Hispanic","Male","Yes","Bite","Yes","Alchohol and unknown drugs","Assault, Evading Arrest, Warrant/Hold","6599 SPUR 408","8803","433","430","SOUTHWEST","D3",,,"6599 SPUR 408
Dallas, TX "
"1061","UF2015-0872","2015-06-20T00:00:00.000","1:15","9441","Male","Hispanic","2008-04-02T00:00:00.000","No","No injuries noted or visible","No","Service Call","26487, 26488","Verbal Command, Weapon display at Person","Other","NULL","No, Yes","39768","White","Male","No","No injuries noted or visible","No","Alchohol","No Arrest","3200 Olvier St.","1158","125","120","CENTRAL","D14",,,"3200 Olvier St.
Dallas, TX "
"1069","UF2015-0880","2015-07-22T00:00:00.000","23:15","10485","Male","White","2012-09-26T00:00:00.000","No","No injuries noted or visible","No","Service Call","27338","Taser","Active Aggression","NULL","Yes","40306","White","Male","Yes","Taser Burn Marks","No","Alchohol and unknown drugs","No Arrest","39700 L B J FWY","4381","745","740","SOUTH CENTRAL","D8",,,"39700 L B J FWY
Dallas, TX "
"1089","UF2015-0894","2015-07-15T00:00:00.000","15:31","10432","Female","Hispanic","2012-06-20T00:00:00.000","No","No injuries noted or visible","No","Service Call","27182","Taser Display at Person","Weapon Display","NULL","Yes","40220","Black","Male","No","No injuries noted or visible","Yes","Unknown","Warrant/Hold, Resisting Search and Transport, Drug Possession - Misdemeanor","3943 COCKRELL HILL Rd.","4254","437","430","SOUTHWEST","D3",,,"3943 COCKRELL HILL Rd.
Dallas, TX "
"1103","UF2015-0908","2015-07-24T00:00:00.000","20:45","6293","Male","White","1990-04-02T00:00:00.000","No","No injuries noted or visible","No","Arrest","27454, 27455","Verbal Command, Pressure Points","Property Destruction","NULL","No, Yes","39745","White","Male","No","No injuries noted or visible","Yes","NULL","DWI","19000 N DALLAS PKWY Pkwy.","4403","614","610","NORTH CENTRAL","D12",,,"19000 N DALLAS PKWY Pkwy.
Dallas, TX "
"1127","UF2015-0929","2015-06-19T00:00:00.000","22:00","9639","Male","White","2008-10-15T00:00:00.000","No","No injuries noted or visible","No","Arrest","26479","Hand Controlled Escort","Detention/Frisk","NULL","Yes","39763","White","Male","No","No injuries noted or visible","Yes","Alchohol","Assault/FV","7780 MCCALUM BLVD Blvd.","6009","623","620","NORTH CENTRAL","D12",,,"7780 MCCALUM BLVD Blvd.
Dallas, TX "
"1140","UF2015-0942","2015-07-14T00:00:00.000","20:45","9945","Male","Asian","2009-08-19T00:00:00.000","Yes","Sprain/Strain","No","Other ( In Narrative)","27128, 27129","Verbal Command, BD - Grabbed","Danger to self or others","NULL","No, Yes","40172","Hispanic","Male","No","No injuries noted or visible","Yes","Mentally unstable","APOWW","8200 L B J FWY","1029","251","250","NORTHEAST","D11",,,"8200 L B J FWY
Dallas, TX "
