"file_no","thomas_guide_map","date_received","date_distributed","expiration_45_days","board_meeting","entity","action","title","view_map_image"
"2358 (4.1MB PDF) (http://www.kingcounty.gov/~/media/depts/boundary-review-board/actions/2358.ashx)","625","2014-08-08T00:00:00.000","2014-08-14T00:00:00.000","2014-10-15T00:00:00.000","2014-09-11T00:00:00.000","City of Seattle","Resolution by Seattle City Council for Land Annexation via Election Method<br><br><p><strong><a href=""http://www.kingcounty.gov/~media/depts/boundary-review-board/actions/2358-schedule-2015-07-20-hearing.ashx"">File 2358 Review Schedule</a></strong></p><p><b>Note:</b> The City of Seattle has requested an extension of time for the Boundary Review Board to complete review and decision-making for this Notice of Intention until September 15, 2015.</p><p>Notifications concerning the schedule for review of this Notice will be posted periodically on this site.</p><p>For additional information, please contact us at: <a href=""mailto:BoundaryReviewBoard@kingcounty.gov"">BoundaryReviewBoard@kingcounty.gov</a> or at 206-477-0633.</p>","Duwamish Annexation area",
"2357 (89KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/2357.ashx)","474,475, 504, 505","2014-05-27T00:00:00.000","2014-05-29T00:00:00.000","2014-07-11T00:00:00.000","2014-07-10T00:00:00.000","City of Shoreline","Assumption by Interlocal Agreement (Ordinance)","Ronald Wastewater District","2357 map (206KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/maps/2357map.ashx)"
"2356 (101KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/2356.ashx)","657","2014-05-27T00:00:00.000","2014-05-29T00:00:00.000","2014-07-11T00:00:00.000","2014-07-10T00:00:00.000","City of Renton","Annexation","Trace Matthew Annexation","2356 map (135KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/maps/2356map.ashx)"
"2355 (107KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/2355.ashx)","717, 718","2014-04-24T00:00:00.000","2014-04-28T00:00:00.000","2014-06-08T00:00:00.000","2014-05-08T00:00:00.000","City of Maple Valley","Interlocal Agreement for Land Annexation","Summit Place Area ","2355 map (243KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/maps/2355map.ashx)"
"2353 (100KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/2353.ashx)","657","2014-02-21T00:00:00.000","2014-02-24T00:00:00.000","2014-04-06T00:00:00.000","2014-03-13T00:00:00.000","City of Renton","Petition for Land Annexation","Alpine Nursery Area Annexation","2353 map (208KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/maps/2353map.ashx)"
"2352 (95KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/2352.ashx)","684","2014-01-28T00:00:00.000","2014-01-30T00:00:00.000","2014-03-14T00:00:00.000","2014-02-13T00:00:00.000","Midway Sewer District","Annexation by Resolution","Westwood Sewer BLA","2352 map (106KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/maps/2352map.ashx)"
"2351 (111KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/2351.ashx)","626","2014-01-13T00:00:00.000","2014-01-15T00:00:00.000","2014-02-17T00:00:00.000","2014-02-13T00:00:00.000","City of Renton","Resolution for Petition for Land Annexation","Maertins Area Annexation","2351 map (199KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2014/maps/2351map.ashx)"
"2350 (421KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/2350.ashx)","628","2013-10-21T00:00:00.000","2013-10-23T00:00:00.000","2013-12-01T00:00:00.000","2013-11-06T00:00:00.000","City of Issaquah","Petition for Land Annexation","City of Issaquah: Issaquah Middle School Annexation (Clark Elementary School & Tiger Mountain Academy)","2350 map (114KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/maps/2350map.ashx)"
"2349 (2.25MB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/2349.ashx)","476","2013-09-24T00:00:00.000","2013-09-25T00:00:00.000","2013-11-08T00:00:00.000","2013-10-10T00:00:00.000","City of Bothell","Interlocal Agreement for Land Annexation","Bothell East Area (aka North Bloomberg Hill)","2349 map (617KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/maps/2349map.ashx)"
"2348 (417KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/2348.ashx)","653","2013-08-16T00:00:00.000","2013-08-20T00:00:00.000","2013-09-30T00:00:00.000","2013-09-12T00:00:00.000","King County Water District No. 1","Petition for Annexation to Permit Extension of Water Service Area","Kiesecker Annexation","2348 map (79KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/maps/2348map.ashx)"
"2347 (587KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/2347.ashx)","598, 628","2013-07-26T00:00:00.000","2013-07-30T00:00:00.000","2013-09-08T00:00:00.000","2013-08-08T00:00:00.000","City of Issaquah","Resolution for Land Annexation","Klahanie Area Annexation (Klahanie, Brookshire Estates. Brookshire Crest, Brookshire East, BrooKshire Ridge, Autumn Glen. Hunter's Lane, Hunter's Place, Hunter's Ridge, Livingston, Pine Classics. Rainbow Lake Ranch, Summer Meadows, Summer Pond, Glenwood, and Eastridge Church)","2347 map (52KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/maps/2347map.ashx)"
"2346 (98KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/2346.ashx)","716, 717","2013-04-18T00:00:00.000","2013-04-22T00:00:00.000","2013-06-02T00:00:00.000","2013-05-09T00:00:00.000","King County Water District No. 111","Petition for Annexation to Permit Extension of Water Service Area","Hawkesbury Annexation","2346 map (118KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/maps/2346map.ashx)"
"2345 (100KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/2345.ashx)","507","2013-01-14T00:00:00.000","2013-01-16T00:00:00.000","2013-02-28T00:00:00.000","2013-01-17T00:00:00.000","City of Redmond","Resolution for Petition for Land Annexation","Jones Area Annexation","2345 map (84KB PDF) (http://www.kingcounty.gov/~/media/property/annexations/actions/2013/maps/2345map.ashx)"
