"race","registered_voters","votes_cast_in_this_race","choice","votes","percent"
"City of Sammamish Council Position No. 4 nonpartisan office","27268","6875","Write-in","71","1.111981206"
"City of Seattle Council Position No. 1 nonpartisan office","379450","138108","Michael Taylor-Judd","15599","12.70328596"
"City of Seattle Council Position No. 1 nonpartisan office","379450","138108","Maurice Classen","21188","17.25477422"
"City of Seattle Council Position No. 1 nonpartisan office","379450","138108","Jean Godden","53216","43.33726943"
"City of Seattle Council Position No. 1 nonpartisan office","379450","138108","Bobby Forch","32027","26.08168085"
"City of Seattle Council Position No. 1 nonpartisan office","379450","138108","Write-in","765","0.622989535"
"City of Seattle Council Position No. 9 nonpartisan office","379450","138108","Fathi Karshie","5678","4.825974247"
"City of Seattle Council Position No. 9 nonpartisan office","379450","138108","Sally J. Clark","84955","72.20687604"
"City of Seattle Council Position No. 9 nonpartisan office","379450","138108","Dian Ferguson","25798","21.92681994"
"City of Seattle Council Position No. 9 nonpartisan office","379450","138108","Write-in","1224","1.040329778"
"City of Seattle Referendum 1","379450","138108","APPROVED","78767","58.23032794"
"City of Seattle Referendum 1","379450","138108","REJECTED","56501","41.76967206"
"City of SeaTac Council Position No. 3 nonpartisan office","10121","2946","Othman Heibe","592","20.94833687"
"City of SeaTac Council Position No. 3 nonpartisan office","10121","2946","Terry Anderson","1556","55.0601557"
"City of SeaTac Council Position No. 3 nonpartisan office","10121","2946","Sandra Cook-Bensley","631","22.32837933"
"City of SeaTac Council Position No. 3 nonpartisan office","10121","2946","Write-in","47","1.663128096"
"City of Tukwila Council Position No. 6 nonpartisan office","7091","2073","Ruth Sanoy","141","7.496012759"
"City of Tukwila Council Position No. 6 nonpartisan office","7091","2073","Louise H. Strander","1039","55.23657629"
"City of Tukwila Council Position No. 6 nonpartisan office","7091","2073","Kate Kruller","686","36.46996279"
"City of Tukwila Council Position No. 6 nonpartisan office","7091","2073","Write-in","15","0.797448166"
"City of Tukwila Proposition No. 1 Formation and Funding of Tukwila Pool Metropolitan Park District","7091","2073","FOR THE FORMATION OF A TUKWILA POOL METROPOLITAN DISTRICT TO BE GOVERNED BY THE TUKWILA CITY COUNCIL, SERVING AS THE BOARD OF COMMISSIONERS","1275","62.4082232"
"City of Tukwila Proposition No. 1 Formation and Funding of Tukwila Pool Metropolitan Park District","7091","2073","AGAINST THE FORMATION OF A TUKWILA POOL METROPOLITAN DISTRICT","768","37.5917768"
"Seattle School District No. 1 Director District No. 1 nonpartisan office","54328","20834","John Cummings","1777","10.16706717"
"Seattle School District No. 1 Director District No. 1 nonpartisan office","54328","20834","Peter Maier","8976","51.35599039"
"Seattle School District No. 1 Director District No. 1 nonpartisan office","54328","20834","Sharon Peaslee","6603","37.77892207"
"Seattle School District No. 1 Director District No. 1 nonpartisan office","54328","20834","Write-in","122","0.698020368"
"Seattle School District No. 1 Director District No. 2 nonpartisan office","59774","21550","Jack Whelan","2927","17.16614861"
"Seattle School District No. 1 Director District No. 2 nonpartisan office","59774","21550","Terrence J. Menage","889","5.213770453"
"Seattle School District No. 1 Director District No. 2 nonpartisan office","59774","21550","Mark T. Weber","777","4.556917483"
"Seattle School District No. 1 Director District No. 2 nonpartisan office","59774","21550","Sherry Carr","6781","39.76892851"
"Seattle School District No. 1 Director District No. 2 nonpartisan office","59774","21550","Kate Martin","5548","32.53768107"
"Seattle School District No. 1 Director District No. 2 nonpartisan office","59774","21550","Write-in","129","0.756553868"
"Seattle School District No. 1 Director District No. 3 nonpartisan office","54421","20512","John Dunn","4557","27.23523787"
"Seattle School District No. 1 Director District No. 3 nonpartisan office","54421","20512","David Blomstrom","442","2.641644753"
"Seattle School District No. 1 Director District No. 3 nonpartisan office","54421","20512","Harium Martin-Morris","6883","41.13674396"
"Seattle School District No. 1 Director District No. 3 nonpartisan office","54421","20512","Michelle Buetow","4729","28.26320822"
"Seattle School District No. 1 Director District No. 3 nonpartisan office","54421","20512","Write-in","121","0.723165192"
"Seattle School District No. 1 Director District No. 6 nonpartisan office","53574","20991","Nick Esparza","699","4.039761891"
"Seattle School District No. 1 Director District No. 6 nonpartisan office","53574","20991","Marty McLaren","5223","30.18551696"
"Seattle School District No. 1 Director District No. 6 nonpartisan office","53574","20991","Steve Sundquist","7478","43.21793909"
"Seattle School District No. 1 Director District No. 6 nonpartisan office","53574","20991","Joy Anderson","3783","21.86326071"
"Seattle School District No. 1 Director District No. 6 nonpartisan office","53574","20991","Write-in","120","0.693521355"
"Federal Way School District No. 210 Director District No. 3 nonpartisan office","62428","16601","Danny Peterson","5344","36.11054801"
"Federal Way School District No. 210 Director District No. 3 nonpartisan office","62428","16601","Elizabeth Drake","7007","47.34779377"
"Federal Way School District No. 210 Director District No. 3 nonpartisan office","62428","16601","Carrie BeSerra","2325","15.71052098"
"Federal Way School District No. 210 Director District No. 3 nonpartisan office","62428","16601","Write-in","123","0.831137239"
"King County Fire Protection District No. 16 Commissioner Position No. 1 nonpartisan office","23325","7793","Stan Isenhath","631","9.813374806"
"King County Fire Protection District No. 16 Commissioner Position No. 1 nonpartisan office","23325","7793","Don Ellis","2194","34.12130638"
"King County Fire Protection District No. 16 Commissioner Position No. 1 nonpartisan office","23325","7793","Eric Adman","3557","55.31881804"
"King County Fire Protection District No. 16 Commissioner Position No. 1 nonpartisan office","23325","7793","Write-in","48","0.746500778"
"King County Fire Protection District No. 43 Commissioner Position No. 4 nonpartisan office, short and full term","23195","6275","Gabe DeBay","2424","44.63266433"
"King County Fire Protection District No. 43 Commissioner Position No. 4 nonpartisan office, short and full term","23195","6275","Jennifer C. Rydberg","1906","35.094826"
"King County Fire Protection District No. 43 Commissioner Position No. 4 nonpartisan office, short and full term","23195","6275","Jim Callow","1047","19.27821764"
"King County Fire Protection District No. 43 Commissioner Position No. 4 nonpartisan office, short and full term","23195","6275","Write-in","54","0.994292027"
"King County Water District No. 20 Commissioner Position No. 3 nonpartisan office, unexpired 4-year term","13686","3658","Bill Placek","1099","34.5380264"
"King County Water District No. 20 Commissioner Position No. 3 nonpartisan office, unexpired 4-year term","13686","3658","Darold P. Doell","1290","40.54054054"
"King County Water District No. 20 Commissioner Position No. 3 nonpartisan office, unexpired 4-year term","13686","3658","Sandy Hopp","759","23.85292269"
"King County Water District No. 20 Commissioner Position No. 3 nonpartisan office, unexpired 4-year term","13686","3658","Write-in","34","1.068510371"
"Soos Creek Water and Sewer District Commissioner Position No. 1 nonpartisan office","61388","15635","Darren M. Yokers","333","2.464840859"
"Soos Creek Water and Sewer District Commissioner Position No. 1 nonpartisan office","61388","15635","Mike Cole","878","6.498889711"
"Soos Creek Water and Sewer District Commissioner Position No. 1 nonpartisan office","61388","15635","Darold Stroud","2958","21.89489267"
"Soos Creek Water and Sewer District Commissioner Position No. 1 nonpartisan office","61388","15635","Rachelle Weiler","2724","20.16284234"
"Soos Creek Water and Sewer District Commissioner Position No. 1 nonpartisan office","61388","15635","Larry West","3081","22.80532939"
"Soos Creek Water and Sewer District Commissioner Position No. 1 nonpartisan office","61388","15635","Steve Pfaff","3452","25.55144338"
"Soos Creek Water and Sewer District Commissioner Position No. 1 nonpartisan office","61388","15635","Write-in","84","0.621761658"
"Public Hospital District No. 1 Commissioner District No. 1 nonpartisan office","140886","36993","Paul Joos","14015","41.80836466"
"Public Hospital District No. 1 Commissioner District No. 1 nonpartisan office","140886","36993","Mary Alice Heuschel","11518","34.35952509"
"Public Hospital District No. 1 Commissioner District No. 1 nonpartisan office","140886","36993","Jim Grossnickle","7824","23.33989619"
"Public Hospital District No. 1 Commissioner District No. 1 nonpartisan office","140886","36993","Write-in","165","0.492214068"
