City,Agency,Location,Suite,Telephone,License Mailers Available?,License Tags Available?,Notes,Zip Codes
Bellevue,VCA Bellevue Veterinary Hospital,"13655 NE Eighth St
Bellevue, WA 98005
(47.61714346045051, -122.15716600707316)",,425 747-1770,Y,N,,31850
Bellevue,Crossroads Veterinary Clinic,"15600 NE Eighth St
Bellevue, WA 98008
(47.617036405265765, -122.13233275808146)",Ste O-6,425 746-7387,Y,N,,31854
Bellevue,Cat Care Clinic Bellevue,"1105 Bellevue Way NE
Bellevue, WA 98004
(47.62022572932455, -122.20179076156205)",,425-455-2273,Y,N,,31848
Black Diamond,Black Diamond Post Office,"25228 Baker St
Black Diamond, WA 98010
(47.30901853176462, -122.00568221996858)",,360 886-9429,Y,N,,31855
Black Diamond,Horizon Pet Supply,"30741 Third Ave
Black Diamond, WA 98010
(47.32642862125897, -122.00863398071397)",,360 886-2306,Y,N,,31855
Black Diamond,Columbia Bank,"31329 Third Ave
Black Diamond, WA 98010
(47.3202322924771, -122.00578312988108)",,360 886-0300,Y,N,,31855
Black Diamond,Black Diamond Community Center,"31605 Third Ave
Black Diamond, WA 98010
(47.318352709435885, -122.00491078751264)",PO Box 480,360 886-1011,Y,N,,31855
Black Diamond,Black Diamond Library,"24707 Roberts Dr
Black Diamond, WA 98010
(47.31209342811195, -122.01297770611546)",,360 886-1105,Y,N,,31855
Bothell,Cat Clinic at Canyon Park,"22833 Bothell-Everett Hwy
Bothell, WA 98021
(47.79109999956552, -122.21143999995587)",Ste 159,425-489-1484,Y,N,,17011
Burien,VCA Five Corners Veterinary Hospital,"15707 First Ave S
Burien, WA 98148
(47.461947457854194, -122.33395473159294)",,206-243-2982,Y,N,,17922
Carnation,The Paw Spa,"32424 NE 111th St
Carnation, WA 98014
(47.69661654817975, -121.90471732022831)",,425 766-8842,Y,N,,17005
Carnation,IGA Carnation Market,"31722 Eugene St
Carnation, WA 98014
(47.64690969628082, -121.9153136998232)",,425 333-4156,Y,N,,17005
Carnation,Tolt MacDonald Park,"31020 NE 40th St
Carnation, WA 98014
(47.64428499929477, -121.92234403200263)",,206 296-2758,Y,N,,17005
Carnation,Miller's,"4597 Tolt Ave
Carnation, WA 98014
(47.64842188062954, -121.91396235068953)",,425 333-5007,Y,N,,17005
Carnation,Sno-Valley Senior Center,"4610 Stephens Ave
Carnation, WA 98014
(47.64872203282926, -121.91480840833317)",PO Box 96,425 333-4152,Y,N,,17005
Carnation,Sandy's Espresso,"4650 Tolt Ave
Carnation, WA 98014
(47.64899089319492, -121.91343825679539)",,425 549-0062,Y,N,,17005
Carnation,Carnation Library,"4804 Tolt Ave
Carnation, WA 98014
(47.650832063668076, -121.91220867273239)",,425 333-4398,Y,N,,17005
Carnation,Valley Home & Land/Carnation Corners,"4475 Tolt Ave
Carnation, WA 98014
(47.647666450124916, -121.91444798458537)",PO Box 624,425 333-4888,Y,N,,17005
Covington,Washington Workwear,"27081 185th Ave SE
Covington, WA 98042
(47.35938310879387, -122.09563438600068)",Ste 101,253 638-0889,Y,N,,17794
Covington,Foss Market and Deli,"16255 SE 256th St
Covington, WA 98042
(47.37245592271853, -122.12425981402106)",,253 631-2440,Y,N,,17794
Covington,Pawl's Pet Boutique,"27331 172nd Ave SE
Covington, WA 98042
(47.35655960096882, -122.1124696900304)",Ste 110,253 217-5145,Y,N,,17794
Covington,Petco,"27111 167th Pl SE
Covington, WA 98042
(47.3583905261803, -122.11839623438999)",Ste 113,253 638-1064,Y,N,,17794
Covington,Covington Aquatic Center,"18230 SE 240th St
Covington, WA 98042
(47.387124728475214, -122.09831095245474)",,253 480-2483,Y,N,,17794
Covington,Covington Animal Hospital,"27045 174th Pl SE
Covington, WA 98042
(47.35939410560611, -122.10924112810396)",,253-631-8616,Y,N,,17794
Covington,Covington Library,"27100 164th Ave SE
Covington, WA 98042
(47.359217902447256, -122.12295579707859)",,253 630-8761,Y,N,,17794
Duvall,Cherry Hill Veterinary Hospital,"14124 Main St NE
Duvall, WA 98019
(47.72711147527687, -121.98693033896409)",Ste A,425 788-7844,Y,N,,17006
Duvall,"Rocking ""E"" Feeds","15732 Main St NE
Duvall, WA 98019
(47.74220318184496, -121.98588113337269)",,425 788-7610,Y,N,,17006
Duvall,Duvall Library,"15619 Main St NE
Duvall, WA 98019
(47.741031851140846, -121.98614914624004)",,425 788-1173,Y,N,,17006
Duvall,Best Buddy Dog Wash,"15420 Main St NE
Duvall, WA 98019
(47.73992789711082, -121.98628582828587)",,425 788-7700,Y,N,,17006
Duvall,Duvall Veterinary Hospital,"26415 NE Valley St
Duvall, WA 98019
(47.7377818298995, -121.98539896356836)",,425-788-2620,Y,N,,17006
Duvall,Camp Charlie,"29337 NE Big Rock Rd
Duvall, WA 98019
(47.71369467351616, -121.94673364543723)",,425 788-2008,Y,N,,17006
Duvall,Golden Leash Pet Spa & Getaway,"32512 NE 134th St
Duvall, WA 98019
(47.717327934514515, -121.90418672023105)",,425 788-7387,Y,N,,17006
Enumclaw,Cumberland Grocery,"31302 SE 354th St
Enumclaw, WA 98022
(47.28306331300615, -121.92693057435207)",,360 886-2745,Y,N,,17348
Enumclaw,Plateau Veterinary Services,"22531 SE 436th St
Enumclaw, WA 98022
(47.2101282964299, -122.04037105512793)",,360 825-1919,Y,N,,17348
Enumclaw,Del's Feed & Farm Supply,"911 Griffin Ave
Enumclaw, WA 98022
(47.20234016765613, -121.98712219777309)",,360 825-3731,Y,N,,17348
Enumclaw,Enumclaw Library,"1700 First St
Enumclaw, WA 98022
(47.20361772976521, -121.98673323896797)",,360 825-2045,Y,N,,17348
Enumclaw,Country Animal Hospital,"24407 SE 440th St
Enumclaw, WA 98022
(47.20652201509239, -122.01576560440628)",,360-825-2061,Y,N,,17348
Enumclaw,April's Pet Salon,"1917 Cole St
Enumclaw, WA 98022
(47.205802557468985, -121.9874009876022)",,360 825-4044,Y,N,,17348
Enumclaw,Nolte State Park,"36921 Veazie-Cumberland Rd
Enumclaw, WA 98022
(47.270281594945274, -121.93804756759516)",,360 886-0148,Y,N,,17348
Enumclaw,Happy Tails Dog Boarding & Daycare,"22030 SE 400th St
Enumclaw, WA 98022
(47.24275569965289, -122.04696308560273)",,360 825-0604,Y,N,,17348
Enumclaw,Muddy Paws Grooming,"1002 Bathke Ave
Enumclaw, WA 98022
(47.19523552362466, -121.9911151875832)",,360 802-4663,Y,N,,17348
Enumclaw,Enumclaw License Agency,"1612 Cole St
Enumclaw, WA 98022
(47.20375210324215, -121.98957734691311)",,360 825-2711,Y,N,,17348
Enumclaw,Jenns Pet Parlor,"819 Griffin Ave
Enumclaw, WA 98022
(47.202043391386496, -121.98651965201344)",,360 825-3712,Y,N,,17348
Enumclaw,Federation Forest State Park,"49201 Hwy 410 E
Enumclaw, WA 98022
(47.1606075369733, -121.73346073608101)",,360 886-0148,Y,N,,17348
Enumclaw,Enumclaw Veterinary Hospital,"1209 Cole St
Enumclaw, WA 98022
(47.20100917105282, -121.99233826554303)",,360 825-3503,Y,N,,17348
Enumclaw,Bill's Country Farm & Feed,"23417 SE 436th St
Enumclaw, WA 98022
(47.21014628287048, -122.02939932637048)",,360 802-3863,Y,N,,17348
Fall City,Snoqualmie Valley Animal Hospital,"32020 SE 40th St
Fall City, WA 98024
(47.57268097932189, -121.9138634252663)",,425-222-7220,Y,N,,17350
Fall City,All Pets Go to Heaven Heavenly Spa,"35022 SE Fall City-Snoqualmie Rd
Fall City, WA 98024
(47.56715014884168, -121.87209891022565)",,425 222-7221,Y,N,,17350
Fall City,Bert Carlson's Canine Country Club,"2344 Neal Rd SE
Fall City, WA 98024
(47.587740207214935, -121.91471800847621)",,425 222-5151,Y,N,,17350
Fall City,Farmhouse Market,"33521 SE Redmond-Fall City Rd
Fall City, WA 98024
(47.56839121324214, -121.89209083893695)",,425 222-7005,Y,N,,17350
Fall City,Fall City Library,"33415 SE 42nd Pl
Fall City, WA 98024
(47.568885840358234, -121.89364666604763)",,425 222-5951,Y,N,,17350
Federal Way,Twin Lakes Veterinary Hospital,"1060 SW 320th St
Federal Way, WA 98023
(47.31519608911299, -122.34989071795212)",,253-839-7880,Y,N,,17349
Hobart,Hobart Grocery,"20250 276th Ave SE
Hobart, WA 98025
(47.42010999997666, -121.97308999990344)",,425 432-9321,Y,N,,17790
Issaquah,Petco,"975 NW Gilman Blvd
Issaquah, WA 98027
(47.544890881707275, -122.05194043287526)",,425 392-9664,Y,N,,17354
Issaquah,Cat Clinic of Issaquah,"84 Front St S
Issaquah, WA 98027
(47.52938884901179, -122.03644752071523)",,425 391-0773,Y,N,,17354
Issaquah,Tiger Mountain Kennel,"24226 Tiger Mountain Rd SE
Issaquah, WA 98027
(47.47496947974546, -122.01653491243403)",,425 392-1011,Y,N,,17354
Issaquah,"Grange Country Store Cooperative, The","145 NE Gilman Blvd
Issaquah, WA 98027
(47.53634836933816, -122.03392291617786)",,425 392-6469,Y,N,,17354
Issaquah,Klahanie Center Veterinary Hospital,"4582 Klahanie Dr SE
Issaquah, WA 98029
(47.56656315216708, -122.00660237423749)",,425-392-3110,Y,N,,17359
Issaquah,Highlands Council,"2550 NE Park Dr
Issaquah, WA 98029
(47.547814725211765, -121.9965021265387)",,425 507-1111,Y,N,,17359
Issaquah,Tiger Mountain Veterinary Clinic,"14920 Issaquah-Hobart Rd SE
Issaquah, WA 98027
(47.46802687477225, -122.01844558405361)",,425 255-7877,Y,N,,17354
Issaquah,Blue Sierra Exotic Fish and Supply,"90 Front St
Issaquah, WA 98027
(47.529279698187906, -122.03648598396137)",,425 392-5360,Y,N,,17354
Issaquah,Le Chic Pet Boutique and Spa,"2525 NE Park Dr
Issaquah, WA 98029
(47.548086447969396, -121.99546647816639)",Ste B,425 392-1147,Y,N,,17359
Issaquah,Blue Dog,"640 NW Locust St
Issaquah, WA 98027
(47.5409349116876, -122.04547920425438)",,425 677-8669,Y,N,,17354
Issaquah,Fox Hollow Family Farm and Equestrian Center,"12031 Issaquah-Hobart Rd SE
Issaquah, WA 98027
(47.49401728141902, -122.0225914586087)",,425 996-0575,Y,N,,17354
Issaquah,Earth Pet,"660 Front St N
Issaquah, WA 98027
(47.53690594899632, -122.03634209243671)",,425 369-0208,Y,N,,17354
Issaquah,Banfield Veterinary Hospital,"1505 11th Ave NW
Issaquah, WA 98027
(47.54855216927575, -122.05425658726034)",,425-391-7763,Y,N,,17354
Issaquah,Cougar Mountain Zoo,"19525 SE 54th St
Issaquah, WA 98027
(47.55373963892797, -122.07848643402875)",,206 919-4859,Y,N,,17354
Issaquah,All The Best Pet Care,"1590 NW Gilman Blvd
Issaquah, WA 98027
(47.54572829810377, -122.06107344824244)",,425 369-8383,Y,N,,17354
Issaquah,VCA Alpine Animal Hospital,"888 NW Sammamish Rd
Issaquah, WA 98027
(47.5519875794277, -122.04958910592825)",,425 392-8888,Y,N,,17354
Issaquah,Riverdog Canine Coaching,"1400 19th Ave NW
Issaquah, WA 98027
(47.54583492636573, -122.06642971302982)",,425 427-5958,Y,N,,17354
Issaquah,Issaquah Veterinary Hospital,"795 First Ave NW
Issaquah, WA 98027
(47.5374455422139, -122.0376281229386)",,425 392-6211,Y,N,,17354
Issaquah,Jen's All Natural Pet Spa,"2933 NE Marquette Way
Issaquah, WA 98029
(47.55425387094152, -121.99537797400205)",,425 996-1003,Y,N,,17359
Issaquah,YMCA Sammamish Family,"4221 228th Ave SE
Issaquah, WA 98029
(47.572389914365495, -122.0358219244812)",,425 391-4840,Y,N,,17359
Issaquah,Issaquah Senior Center,"75 NE Creek Way
Issaquah, WA 98027
(47.53145605749876, -122.03508304159567)",,425 392-2381,Y,N,,17354
Issaquah,Cascade Veterinary Specialists,"660 NW Gilman Blvd
Issaquah, WA 98027
(47.54295106237521, -122.04607121919446)",Ste C2,425 391-5015,Y,N,,17354
Issaquah,Meadows Cat Hospital,"1480 NW Gilman Blvd
Issaquah, WA 98027
(47.54573729132409, -122.05907695333741)",Ste 6,425-392-8770,Y,N,,17354
Issaquah,Pet Pros,"4568 Klahanie Dr SE
Issaquah, WA 98029
(47.56677838856406, -122.00661006125169)",,425 369-1115,Y,N,,17359
Issaquah,Beaver Lake Animal Hospital,"26325 SE 39th St
Issaquah, WA 98029
(47.57398499626436, -121.98831829607207)",,425 557-0752,Y,N,,17359
Issaquah,Cougar Mountain Veterinary Hospital,"880 Front St S
Issaquah, WA 98027
(47.520250505013735, -122.0318544755105)",,425 369-9291,Y,N,,17354
Kenmore,Maser's Grooming and Pet Boutique,"6515 NE 181st St
Kenmore, WA 98028
(47.75954211056984, -122.25292581675302)",,425 485-1500,Y,N,,17356
Kenmore,Kenmore Veterinary Hospital,"6630 NE 181st St
Kenmore, WA 98028
(47.759596069891586, -122.2515408608279)",,425 481-1631,Y,N,,17356
Kenmore,Kenmore Library,"6531 NE 181st St
Kenmore, WA 98028
(47.75954211056984, -122.25232327099337)",,425 486-8747,Y,N,,17356
Kenmore,Kenmore Senior Center,"6910 NE 170th St
Kenmore, WA 98028
(47.75166404959316, -122.24794357271071)",,425 489-0707,Y,N,,17356
Kenmore,Inglemoor Animal Hospital,"16900 68th Ave NE
Kenmore, WA 98028
(47.75091643451304, -122.24994488269776)",,425 488-2000,Y,N,,17356
Kenmore,Tommie's Grooming,"8621 NE 157th St
Kenmore, WA 98028
(47.74232908692903, -122.22504683384471)",,425 488-2861,Y,N,,17356
Kenmore,Bow Wow Fun Towne,"18021 61st Ave NE
Kenmore, WA 98028
(47.75884963260728, -122.26202695568952)",,425 481-6825,Y,N,,17356
Kenmore,St. Edwards State Park,"14445 Juanita Dr NE
Kenmore, WA 98028
(47.733018, -122.257204)",,425 823-2992,Y,N,,17376
Kent,Animal Clinic of Kent,"24416 104th Ave SE
Kent, WA 98031
(47.38697134937269, -122.20213180724285)",,253-859-1520,Y,N,,17365
Kent,Benson Center Veterinary and Laser Clinic,"10618 SE 240th St
Kent, WA 98031
(47.38697098027143, -122.19852582720063)",,253 852-0580,Y,N,,17365
Kent,Paws and Claws Pet Salon,"24823 Pacific Hwy S
Kent, WA 98032
(47.37908099652961, -122.29850080795)",Ste 105,253 946-2445,Y,N,,17370
Kent,McMonigle Veterinary Hospital,"1014 Central Ave N
Kent, WA 98032
(47.3921780548211, -122.22992115924353)",,253 852-3565,Y,N,,17370
Kent,Sawyer Lake Veterinary Hospital,"28727 216th Ave SE
Kent, WA 98042
(47.343844012436016, -122.05386596397355)",,360-886-8000,Y,N,,17790
Kent,Animal Health Care of Kent,"22815 68th Ave S
Kent, WA 98032
(47.39725023106632, -122.24939148117784)",,253 520-7000,Y,N,,17370
Kent,Creekside Country Canines,"31126 202nd Ave SE
Kent, WA 98042
(47.322615495854734, -122.07325026851913)",,425 623-4222,Y,N,,17794
Kent,Kent Senior Activity Center,"600 E Smith St
Kent, WA 98030
(47.38330291874869, -122.22685620667488)",,253 856-5150,Y,N,,17362
Kent,Dog Spaw ,"15423 SE 272nd St
Kent, WA 98042
(47.35794985838595, -122.13543838684524)",,253 735-2224,Y,N,,17794
Kent,The Soggy Doggy,"24030 132nd Ave SE
Kent, WA 98042
(47.38662374891272, -122.16534517497203)",Ste C,253 639-6700,Y,N,,17794
Kent,VCA Kent Hospital,"10834 SE Kent-Kangley Rd
Kent, WA 98030
(47.370234597306194, -122.19588182043452)",,253 852-8460,Y,N,,17362
Kent,Aquadog Spa,"24317 172nd Ave SE
Kent, WA 98042
(47.38374241418626, -122.11233480391252)",,253 630-3340,Y,N,,17794
Kent,Pet Haven Cemetery and Crematory,"23646 Military Rd S
Kent, WA 98032
(47.389408142970865, -122.28644354878503)",,206 878-7292,Y,N,,17370
Kent,Mission Vet Clinic and Birth Control Center,"130 Washington Ave N
Kent, WA 98030
(47.38157504809567, -122.24735002017133)",,253 520-0700,Y,N,,17370
Kent,Pet Country,"216 Washington Ave S
Kent, WA 98032
(47.380371906885024, -122.24729356257482)",,253 854-2620,Y,N,,17370
Kent,Kent Regional Library,"212 Second Ave N
Kent, WA 98032
(47.38285208537724, -122.23473253210028)",,253 859-3330,Y,N,,17370
Kent,Petco,"26209 104th Ave S
Kent, WA 98031
(47.40202000032292, -122.19813999996086)",,253 852-5100,Y,N,,17365
Kent,Holiday Kennels,"22211 Russell Rd
Kent, WA 98032
(47.40457970560516, -122.27242311834823)",,253 872-8015,Y,N,,17370
Kent,Kent Commons,"525 Fourth Ave N
Kent, WA 98032
(47.38653031247708, -122.23739452530697)",,253 856-5000,Y,N,,17370
Kent,Midway Tropical Fish and Pets,"24101 Pacific Hwy S
Kent, WA 98032
(47.38539716672017, -122.29675877246109)",,206 824-2616,Y,N,,17370
Kent,Kent Grooming,"11733 SE Kent-Kangley Rd
Kent, WA 98030
(47.365962817667025, -122.18395681032598)",,253 850-3008,Y,N,,17362
Kent,A Pet Clinic of Kent,"12918 SE Kent Kangley Rd
Kent, WA 98030
(47.358460646221694, -122.16771237551193)",,253 630-2900,Y,N,,17362
Kent,Value Pet Clinic,"12925 SE Kent-Kangley Rd
Kent, WA 98030
(47.35853441770496, -122.16827263413501)",Ste 101,253 638-8833,Y,N,,17362
Kent,Family Dog Training Center,"1515 Central Ave S
Kent, WA 98032
(47.36614255246067, -122.23002461441327)",,253 854-9663,Y,N,,17370
Kent,Soos Creek Kennels,"13426 SE 208th St
Kent, WA 98042
(47.415920156394634, -122.16118597654412)",,253 630-5342,Y,N,,17794
Kent,Adorable Dogs Dog Grooming,"21252 116th Ave SE
Kent, WA 98031
(47.41062314964205, -122.18675370183712)",,253 852-2904,Y,N,,17365
Kent,Animal Clinic of Benson,"10700 SE 208th St
Kent, WA 98031
(47.41587519029315, -122.1981840848295)",Ste 204,253 852-6330,Y,N,,17365
Kent,Benson Dog & Cat Grooming,"23631 104th Ave SE
Kent, WA 98031
(47.39000049777672, -122.20226928521997)",,253 854-6046,Y,N,,17365
Kent,"Doggie Den, The","405 Washington Ave N
Kent, WA 98032
(47.3839582514733, -122.24744894559456)",,253 236-4603,Y,N,,17370
Kent,Mud Bay,"10457 SE 240th St
Kent, WA 98031
(47.38689817105029, -122.20136820546014)",,253 859-5818,Y,N,,17365
Kirkland,Eastside Veterinary Associates,"8934 122nd Ave NE
Kirkland, WA 98033
(47.68226336859209, -122.17830906798196)",,425 882-7788,Y,N,,17373
Kirkland,Eastside Audubon,"308 Fourth St S
Kirkland, WA 98033
(47.67276652796272, -122.20195224413226)",PO Box 3115,425 576-8805,Y,N,,17373
Kirkland,Tia's Doggie Spa,"12305 120th Ave NE
Kirkland, WA 98034
(47.70979863580013, -122.18491850551273)",,425 820-1000,Y,N,,17376
Kirkland,Denny's Pet World,"12534 120th Ave NE
Kirkland, WA 98034
(47.71186829126217, -122.17908566366941)",,425 821-3800,Y,N,,17376
Kirkland,Scampers Daycamp for Dogs,"12532 NE 124th St
Kirkland, WA 98034
(47.70956678540165, -122.17323689173674)",,425 821-9100,Y,N,,17376
Kirkland,Avian & Exotic Animal Medical Center,"12930 NE 125th Way
Kirkland, WA 98034
(47.71265966463759, -122.16812499190007)",Ste B-130,425 821-6165,Y,N,,17376
Kirkland,Boys & Girls Clubs of K.C. - Kirkland Branch,"10805 124th Ave NE
Kirkland, WA 98033
(47.69697627699145, -122.17582693918109)",,425 827-0132,Y,N,,17373
Kirkland,Kingsgate Library,"12315 NE 143rd St
Kirkland, WA 98034
(47.730008375127625, -122.17632156629725)",,425 821-7686,Y,N,,17376
Kirkland,Petco,"12040 NE 85th St
Kirkland, WA 98033
(47.679320379748525, -122.18003241809683)",,425 889-8319,Y,N,,17373
Kirkland,Pup Scrub,"9718 NE 119th Way
Kirkland, WA 98034
(47.70671754608117, -122.21201448990169)",,425 823-9757,Y,N,,17376
Kirkland,Seattle Veterinary Specialists,"11814 115th Ave NE
Kirkland, WA 98034
(47.706805866771674, -122.18755409844317)",Ste 102,425 823-9111,Y,N,,17376
Kirkland,Kirkland Animal Hospital,"803 Seventh Ave
Kirkland, WA 98033
(47.6805906296176, -122.19286009841608)",,425-822-8231,Y,N,,17373
Kirkland,Critter Doctor Animal Hospital,"11828 Slater Ave NE
Kirkland, WA 98034
(47.706491104061456, -122.17279622394238)",Ste 100,425 823-6762,Y,N,,17376
Kirkland,VCA Rose Hill Animal Hospital,"13006 NE 85th St
Kirkland, WA 98033
(47.67947547030127, -122.16649197651697)",,425 803-5050,Y,N,,17373
Kirkland,My Pets Vet Clinic,"12804 NE 85th St
Kirkland, WA 98033
(47.67944849064037, -122.16895611887725)",Ste A,425 889-0808,Y,N,,17373
Kirkland,Kirkland Library,"308 Kirkland Ave
Kirkland, WA 98033
(47.67557205080409, -122.20322310639703)",,425 822-2459,Y,N,,17373
Kirkland,Scruff to Fluff Pet Grooming Spa,"222 Central Way
Kirkland, WA 98033
(47.677123141472244, -122.20499807082854)",,425 827-3144,Y,N,,17373
Kirkland,Peter Kirk Community Center,"352 Kirkland Ave
Kirkland, WA 98033
(47.67556829363665, -122.202653895529)",,425 587-3362,Y,N,,17373
Kirkland,Dooley's Dog House,"1421 Market St
Kirkland, WA 98033
(47.686980771659826, -122.209921656198)",,425 889-2200,Y,N,,17373
Kirkland,Juanita Hills Animal Hospital,"13603 100th Ave NE
Kirkland, WA 98034
(47.72236560937919, -122.20785680285508)",,425 202-7430,Y,N,,17376
Kirkland,Juanita Bay Veterinary Hospital,"11416 98th Ave NE
Kirkland, WA 98033
(47.70274093119929, -122.21022600680186)",,425 823-8411,Y,N,,17373
Kirkland,North Kirkland Community Center,"12421 103rd Ave NE
Kirkland, WA 98034
(47.71197696844018, -122.20380484751263)",,425 587-3354,Y,N,,17376
Kirkland,Evergreen Veterinary Hospital,"14423 124th Ave NE
Kirkland, WA 98034
(47.73196889715149, -122.17562908833469)",,425 821-9040,Y,N,,17376
Kirkland,Nature's Pet Market,"10635 NE 68th St
Kirkland, WA 98033
(47.66672049998192, -122.19808179014372)",,425 298-4480,Y,N,,17373
Kirkland,Heads & Tails Grooming & Pet Store,"11613 124th Ave NE
Kirkland, WA 98034
(47.70433273119113, -122.17582693918109)",Ste F,425 296-7579,Y,N,,17376
Kirkland,"Barkz, The Dog Stop","115 Lake St S
Kirkland, WA 98033
(47.67527178290667, -122.20653268705921)",,425 822-0292,Y,N,,17373
Lake Forest Park,Lake Forest Park Animal Hospital,"16815 Bothell Way NE
Lake Forest Park, WA 98155
(47.75141481061235, -122.28159878055642)",,206-363-5656,Y,N,,17924
Lake Forest Park,Mud Bay,"17171 Bothell Way NE
Lake Forest Park, WA 98155
(47.752590351283345, -122.27892521662005)",,206 365-5100,Y,N,,17924
Maple Valley,Poochie's A Cut Above Dog Salon,"21639 Renton-Maple Valley Hwy
Maple Valley, WA 98038
(47.40726905163127, -122.03826911201375)",,425 432-0191,Y,N,,17790
Maple Valley,Four Corners Veterinary Clinic,"23911 SE Kent-Kangley Rd
Maple Valley, WA 98038
(47.36084154218036, -122.02468592561532)",,425 432-3849,Y,N,,17790
Maple Valley,Northwest Equine,"20612 276th Ave SE
Maple Valley, WA 98038
(47.41664860723836, -121.97323666564068)",PO Box 445/Hobart 98025,425 432-1914,Y,N,,17790
Maple Valley,Iron Horse Hay and Feed,"19435 244th Ave SE
Maple Valley, WA 98038
(47.42725161396379, -122.01579258406719)",,425 432-0636,Y,N,,17790
Maple Valley,Mud Bay,"24107 SE Kent-Kangley Rd
Maple Valley, WA 98038
(47.36146620752049, -122.0188772586277)",,425 432-6690,Y,N,,17790
Maple Valley,Maple Valley Food Bank,"21415 Renton-Maple Valley Rd SE
Maple Valley, WA 98038
(47.409687854731544, -122.03894113310139)",PO Box 103,425 432-8633,Y,N,,17790
Maple Valley,Columbia Bank,"23924 225th Way SE
Maple Valley, WA 98038
(47.38722279043964, -122.04154916698633)",,425 413-8200,Y,N,,17790
Maple Valley,Maple Valley Market,"21655 Renton-Maple Valley Rd SE
Maple Valley, WA 98038
(47.40656720728987, -122.03873428903461)",,425 432-0252,Y,N,,17790
Maple Valley,Yummy Tummy Holistic Pet Food Store,"23714 222nd Pl SE
Maple Valley, WA 98038
(47.388956362066466, -122.04438074812019)",Ste J,425 432-0934,Y,N,,17790
Maple Valley,Seattle Agility Center,"23330 Maple Valley-Black Diamond Hwy
Maple Valley, WA 98038
(47.39256261058206, -122.04575870832699)",,425 271-5433,Y,N,,17790
Maple Valley,Centennial Kennels,"21120 236th Ave SE
Maple Valley, WA 98038
(47.412304796693846, -122.02656877959741)",,425 413-1543,Y,N,,17790
Maple Valley,Maple Valley Shell,"21641 Renton-Maple Valley Rd SE
Maple Valley, WA 98038
(47.407070827626285, -122.03832060090116)",,425 432-2653,Y,N,,17790
Maple Valley,Northwest Paws at Play,"22415 SE 231st St
Maple Valley, WA 98038
(47.39402166498115, -122.04243050257503)",Ste C,206 354-0085,Y,N,,17790
Maple Valley,Greater Maple Valley Community Center,"22010 SE 248th St
Maple Valley, WA 98038
(47.37966035563204, -122.04727787096742)",,425 432-1272,Y,N,,17790
Maple Valley,Animal Hospital of Maple Valley,"26824 Maple Valley-Black Diamond Rd
Maple Valley, WA 98038
(47.36116823411024, -122.02074063027679)",,425 432-2999,Y,N,,17790
Maple Valley,Pampered Pet Grooming Salon,"23220 Maple Valley-Black Diamond Rd
Maple Valley, WA 98038
(47.393857347382685, -122.0452116993515)","Bldg 2, Ste 3E",425 413-2432,Y,N,,17790
Maple Valley,Wilderness Animal Hospital,"23714 222nd Pl SE
Maple Valley, WA 98038
(47.388956362066466, -122.04438074812019)",Ste L,425 432-9975,Y,N,,17790
