"race","precinct","cc","leg","cong","party","countertype","countergroup","count"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Write-in","Polling","0.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Write-in","Total","6.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Ann Schindler","Absentee","159.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Ann Schindler","Polling","64.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Ann Schindler","Total","223.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","141.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","60.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","201.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Write-in","Absentee","3.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Write-in","Polling","0.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 6","ALDER SPRINGS","3","45","1","NP","Write-in","Total","3.00"
"Governor","ALDER SPRINGS","3","45","1","Dem","Christine Gregoire","Absentee","132.00"
"Governor","ALDER SPRINGS","3","45","1","Dem","Christine Gregoire","Polling","47.00"
"Governor","ALDER SPRINGS","3","45","1","Dem","Christine Gregoire","Total","179.00"
"Governor","ALDER SPRINGS","3","45","1","gop","Dino Rossi","Absentee","166.00"
"Governor","ALDER SPRINGS","3","45","1","gop","Dino Rossi","Polling","73.00"
"Governor","ALDER SPRINGS","3","45","1","gop","Dino Rossi","Total","239.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","3.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","4.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","7.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Write-in","Absentee","2.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Write-in","Polling","0.00"
"Governor","ALDER SPRINGS","3","45","1","NP","Write-in","Total","2.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","NO","Absentee","110.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","NO","Polling","47.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","NO","Total","157.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","10.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","3.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","13.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","YES","Absentee","183.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","YES","Polling","74.00"
"Initiative Measure No. 1000 Initiative Measure No. 1000 concerns allowing certain terminally ill","ALDER SPRINGS","3","45","1","NP","YES","Total","257.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","NO","Absentee","96.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","NO","Polling","46.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","NO","Total","142.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","18.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","5.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","23.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"Lieutenant Governor","ALDER SPRINGS","3","45","1","Rep","Marcia McCraw","Absentee","134.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","YES","Absentee","189.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","YES","Polling","73.00"
"Initiative Measure No. 1029 Initiative Measure No. 1029 concerns long-term care services","ALDER SPRINGS","3","45","1","NP","YES","Total","262.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","NO","Absentee","157.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","NO","Polling","54.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","NO","Total","211.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","22.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","6.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","28.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","YES","Absentee","124.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","YES","Polling","64.00"
"Initiative Measure No. 985 Initiative Measure No. 985 concerns transportation.","ALDER SPRINGS","3","45","1","NP","YES","Total","188.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","Rep","John R. Adams","Absentee","127.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","Rep","John R. Adams","Polling","56.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","Rep","John R. Adams","Total","183.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","Dem","Mike Kreidler","Absentee","147.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","Dem","Mike Kreidler","Polling","50.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","Dem","Mike Kreidler","Total","197.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","29.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","18.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","47.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Write-in","Absentee","0.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Write-in","Polling","0.00"
"Insurance Commissioner","ALDER SPRINGS","3","45","1","NP","Write-in","Total","0.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","NO","Absentee","104.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","NO","Polling","35.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","NO","Total","139.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","37.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","16.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","53.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","1.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","1.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","YES","Absentee","162.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","YES","Polling","72.00"
"King County Charter Amendment No. 1 Elected Elections Director","ALDER SPRINGS","3","45","1","NP","YES","Total","234.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","NO","Absentee","109.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","NO","Polling","49.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","NO","Total","158.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","38.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","13.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","51.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","YES","Absentee","156.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","YES","Polling","62.00"
"King County Charter Amendment No. 2 Prohibiting Discrimination","ALDER SPRINGS","3","45","1","NP","YES","Total","218.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","NO","Absentee","80.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","NO","Polling","43.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","NO","Total","123.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","59.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","22.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","81.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","YES","Absentee","164.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","YES","Polling","59.00"
"King County Charter Amendment No. 3 Regional Committees","ALDER SPRINGS","3","45","1","NP","YES","Total","223.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","NO","Absentee","144.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","NO","Polling","61.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","NO","Total","205.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","52.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","17.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","69.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","YES","Absentee","107.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","YES","Polling","46.00"
"King County Charter Amendment No. 4 Additional Qualifications for Elected Officials","ALDER SPRINGS","3","45","1","NP","YES","Total","153.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","NO","Absentee","113.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","NO","Polling","55.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","NO","Total","168.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","53.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","19.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","72.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","1.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","1.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","YES","Absentee","137.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","YES","Polling","49.00"
"King County Charter Amendment No. 5 Establishing Forecast Council and Office of Economic and Financial","ALDER SPRINGS","3","45","1","NP","YES","Total","186.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","NO","Absentee","48.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","NO","Polling","28.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","NO","Total","76.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","53.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","17.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","70.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","YES","Absentee","202.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","YES","Polling","79.00"
"King County Charter Amendment No. 6 Budget Deadlines","ALDER SPRINGS","3","45","1","NP","YES","Total","281.00"
