Clinic,Phone,Website,Services,Location,Location 1,Zip Codes,City Kc Area
Health Point - Renton High School,(425) 424-6310,http://www.healthpointchc.org/health-centers/renton-high-school-sbch,Comprehensive medical and mental health services,"400 S 2ND ST, RENTON, WA, 98057
(47.481777, -122.210977)","400 S 2ND ST
RENTON, WA 98057
(47.481777, -122.210977)",17811,100
Kaiser Permanete - Franklin High School,(206) 326-2750,https://franklinhs.seattleschools.org/services/teen_health_center,Comprehensive medical and mental health services,"3013 S. MT BAKER BLVD, SEATTLE, WA, 98144
(47.5760629, -122.2928132)","3013 S. MT BAKER BLVD
SEATTLE, WA 98144
(47.5760629, -122.2928132)",17919,101
Odessa Brown Children's Clinic - Garfield High School,(206) 860-0480,https://garfieldhs.seattleschools.org/services/teen_health_center,Comprehensive medical and mental health services,"400 23RD AVENUE, SEATTLE, WA, 98122
(47.6050114, -122.3018306)","400 23RD AVENUE
SEATTLE, WA 98122
(47.6050114, -122.3018306)",19578,101
Neighborcare Health - Vashon High School (McMurray Middle School & Chautauqua Elementary),(206) 548-7550,https://neighborcare.org/clinics/vashon-island-high-school/,Comprehensive medical and mental health services,"9600 SW 204TH ST, VASHON, WA, 98070
(47.421952, -122.457082)","9600 SW 204TH ST
VASHON, WA 98070
(47.421952, -122.457082)",18068,48
Swedish Medical Center - Liberty High School,(425) 837-4800,https://issaquah.wednet.edu/docs/default-source/district/family-resources/Health/mentalhealth-swedish.pdf?sfvrsn=2,Mental health services,"16655 SE 136TH ST, RENTON, WA, 98059 (47.479393, -122.117731)","16655 SE 136th St
Renton, WA 98059
(47.479393, -122.117731)",18063,61
Kaiser Permanete - Washington Middle School,(206) 568-3327,,Comprehensive medical and mental health services,"2101 S JACKSON ST, SEATTLE, WA, 98144
(47.5979707, -122.3039395)","2101 S JACKSON ST
SEATTLE, WA 98144
(47.5979707, -122.3039395)",17919,101
Neighborcare Health - Highland Park Elementary,(206) 455-9025,https://neighborcare.org/clinics/highland-park-elementary/,Comprehensive medical and mental health services,"1012 SW TRENTON ST, SEATTLE, WA, 98106
(47.5256291, -122.3487055)","1012 SW TRENTON ST
SEATTLE, WA 98106
(47.5256291, -122.3487055)",18385,101
Health Point - Tyee High School,(206) 277-7210,http://www.healthpointchc.org/health-centers/tyee-campus,Comprehensive medical and mental health services,"4040 SOUTH 188TH ST, SEATAC, WA, 98188
(47.4347675, -122.2824819)","4040 SOUTH 188TH ST
SEATAC, WA 98188
(47.4347675, -122.2824819)",18231,92
Swedish Medical Center - Issaquah High School,(425) 837-6000,https://issaquah.wednet.edu/docs/default-source/district/family-resources/Health/mentalhealth-swedish.pdf?sfvrsn=2,Mental health services,"700 2ND AVE SE, ISSAQUAH, WA, 98027 (47.522386, -122.028364)","700 2nd Ave SE
Issaquah, WA 98027
(47.522386, -122.028364)",17354,21
Swedish Medical Center - Skyline High School,(425) 837-7700,https://issaquah.wednet.edu/docs/default-source/district/family-resources/Health/mentalhealth-swedish.pdf?sfvrsn=2,Mental health services,"1122 228TH AVE SE, SAMMAMISH, WA, 98075 (47.600302, -122.032322)","1122 228th Ave SE
Sammamish, WA 98075
(47.600302, -122.032322)",18076,81
Neighborcare Health - Roxhill Elementary,(206) 452-2660,https://neighborcare.org/clinics/roxhill-elementary/,Comprehensive medical and mental health services,"9430 30TH AVE SW, SEATTLE, WA, 98126
(47.518267, -122.3709079)","9430 30TH AVE SW
SEATTLE, WA 98126
(47.518267, -122.3709079)",19581,101
Neighborcare Health - West Seattle High School,(206) 658-8048,https://neighborcare.org/clinics/west-seattle-high-school/,Comprehensive medical and mental health services,"3000 CALIFORNIA AVE SW, SEATTLE, WA, 98116
(47.5765754, -122.3845971)","3000 CALIFORNIA AVE SW
SEATTLE, WA 98116
(47.5765754, -122.3845971)",18795,101
Public Health - Rainier Beach High School,(206) 296-4639,https://rainierbeachhs.seattleschools.org/services/community_programs,Comprehensive medical and mental health services,"8815 SEWARD PARK AVE S, SEATTLE, WA, 98118
(47.5243753, -122.2661133)","8815 SEWARD PARK AVE S
SEATTLE, WA 98118
(47.5243753, -122.2661133)",18800,101
Neighborcare Health - Denny International Middle School,(206) 923-2809,https://neighborcare.org/clinics/denny-international-middle-school/,Comprehensive medical and mental health services,"2601 SW Kenyon St, Seattle, WA, 98106
(47.5317486, -122.3657493)","2601 SW Kenyon St
Seattle, WA 98106
(47.5317486, -122.3657493)",18385,101
Kaiser Permanete - Interagency Academy,(206) 326-2162,,Comprehensive medical and mental health services,"3528 S FERDINAND ST, SEATTLE, WA, 98118
(47.558256, -122.28748)","3528 S FERDINAND ST
SEATTLE, WA 98118
(47.558256, -122.28748)",18800,101
International Community Health Services - Seattle World School,(206) 332-7160,https://www.ichs.com/ichs-locations/sws-nova/,Comprehensive medical and mental health services,"1700 E Union St, SEATTLE, WA, 98122
(47.6131379, -122.3094749)","1700 E Union St
SEATTLE, WA 98122
(47.6131379, -122.3094749)",19578,101
Swedish Medical Center - Issaquah Middle School,(425) 837-6873,https://issaquah.wednet.edu/docs/default-source/district/family-resources/Health/mentalhealth-swedish.pdf?sfvrsn=2,Mental health services,"600 2ND AVE SE, ISSAQUAH, WA, 98027 (47.526132, -122.035173)","600 2nd Ave SE
Issaquah, WA 98027
(47.526132, -122.035173)",17354,21
Neighborcare Health - Chief Sealth High School,(206) 938-1360,https://neighborcare.org/clinics/chief-sealth-international-high-school/,Comprehensive medical and mental health services,"2600 SW THISTLE ST, SEATTLE, WA, 98106
(47.5296967, -122.3658078)","2600 SW THISTLE ST
SEATTLE, WA 98106
(47.5296967, -122.3658078)",18385,101
Neighborcare Health - Roosevelt High School,(206) 527-8336,https://neighborcare.org/clinics/roosevelt-high-school/,Comprehensive medical and mental health services,"1410 NE 66TH ST, SEATTLE, WA, 98115
(47.6773876, -122.3133614)","1410 NE 66TH ST
SEATTLE, WA 98115
(47.6773876, -122.3133614)",18792,101
Swedish Medical Center - Ballard High School,(206) 784-2142,https://www.swedish.org/about/overview/mission-outreach/community-engagement/community-programs/health-care-services-at-ballard-high-school,Comprehensive medical and mental health services,"1418 NW 65TH ST, SEATTLE, WA, 98117
(47.676859, -122.374338)","1418 NW 65TH ST
SEATTLE, WA 98117
(47.676859, -122.374338)",18798,101
Neighborcare Health - Dearborn Park Elementary,(206) 548-3166,https://neighborcare.org/clinics/dearborn-park-international-school/,Comprehensive medical and mental health services,"2820 S ORCAS ST, SEATTLE, WA, 98108
(47.552466, -122.295268)","2820 S ORCAS ST
SEATTLE, WA 98108
(47.552466, -122.295268)",18388,101
Public Health - Kent Phoenix Academy,(206) 477-6914,,Comprehensive medical and mental health services,"11000 SE 264TH STREET, KENT, WA, 98030
(47.3665648, -122.1937921)","11000 SE 264TH STREET
KENT, WA 98030
(47.3665648, -122.1937921)",17362,76
Neighborcare Health - West Seattle Elementary,(206) 548-3164,https://neighborcare.org/clinics/west-seattle-elementary/,Comprehensive medical and mental health services,"6760 34TH AVE SW, SEATTLE, WA, 98126
(47.5417122, -122.3737235)","6760 34TH AVE SW
SEATTLE, WA 98126
(47.5417122, -122.3737235)",19581,101
