"race","precinct","legislative_district","county_council","congressional","candidate","count"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2992","30","7","9","Mike Park","24"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2992","30","7","9","Registered Voters","342"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2992","30","7","9","Skip Priest","28"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2992","30","7","9","Times Blank Voted","4"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2992","30","7","9","Times Counted","119"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2992","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2992","30","7","9","Write-in","1"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2993","30","7","9","Jim Ferrell","70"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2993","30","7","9","Linda Kochmar","46"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2993","30","7","9","Mike Park","35"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2993","30","7","9","Registered Voters","639"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2993","30","7","9","Skip Priest","104"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2993","30","7","9","Times Blank Voted","6"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2993","30","7","9","Times Counted","261"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2993","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2993","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2994","30","7","9","Jim Ferrell","27"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2994","30","7","9","Linda Kochmar","15"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2994","30","7","9","Mike Park","8"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2994","30","7","9","Registered Voters","227"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2994","30","7","9","Skip Priest","39"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2994","30","7","9","Times Blank Voted","5"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2994","30","7","9","Times Counted","94"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2994","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2994","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2995","30","7","9","Jim Ferrell","30"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2995","30","7","9","Linda Kochmar","26"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2995","30","7","9","Mike Park","13"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2995","30","7","9","Registered Voters","253"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2995","30","7","9","Skip Priest","33"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2995","30","7","9","Times Blank Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2995","30","7","9","Times Counted","102"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2995","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2995","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2996","30","7","9","Jim Ferrell","57"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2996","30","7","9","Linda Kochmar","27"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2996","30","7","9","Mike Park","32"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2996","30","7","9","Registered Voters","458"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2996","30","7","9","Skip Priest","46"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2996","30","7","9","Times Blank Voted","7"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2996","30","7","9","Times Counted","169"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2996","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2996","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2999","30","7","9","Jim Ferrell","33"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2999","30","7","9","Linda Kochmar","19"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2999","30","7","9","Mike Park","12"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2999","30","7","9","Registered Voters","321"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2999","30","7","9","Skip Priest","23"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2999","30","7","9","Times Blank Voted","2"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2999","30","7","9","Times Counted","89"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2999","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2999","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3000","30","7","9","Jim Ferrell","57"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3000","30","7","9","Linda Kochmar","34"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3000","30","7","9","Mike Park","20"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3000","30","7","9","Registered Voters","486"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3000","30","7","9","Skip Priest","43"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3000","30","7","9","Times Blank Voted","5"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3000","30","7","9","Times Counted","159"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3000","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3000","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3001","30","7","9","Jim Ferrell","80"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3001","30","7","9","Linda Kochmar","47"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3001","30","7","9","Mike Park","46"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3001","30","7","9","Registered Voters","647"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3001","30","7","9","Skip Priest","119"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3001","30","7","9","Times Blank Voted","9"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3001","30","7","9","Times Counted","301"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3001","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3001","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3002","30","7","9","Jim Ferrell","51"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3002","30","7","9","Linda Kochmar","58"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3002","30","7","9","Mike Park","31"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3002","30","7","9","Registered Voters","703"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3002","30","7","9","Skip Priest","60"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3002","30","7","9","Times Blank Voted","14"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3002","30","7","9","Times Counted","217"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3002","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3002","30","7","9","Write-in","3"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3003","30","7","9","Jim Ferrell","52"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3003","30","7","9","Linda Kochmar","29"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3003","30","7","9","Mike Park","21"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3003","30","7","9","Registered Voters","523"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3003","30","7","9","Skip Priest","58"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3003","30","7","9","Times Blank Voted","7"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3003","30","7","9","Times Counted","167"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3003","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3003","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3004","30","7","9","Jim Ferrell","50"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3004","30","7","9","Linda Kochmar","29"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3004","30","7","9","Mike Park","27"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3004","30","7","9","Registered Voters","393"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3004","30","7","9","Skip Priest","31"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3004","30","7","9","Times Blank Voted","2"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3004","30","7","9","Times Counted","140"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3004","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3004","30","7","9","Write-in","1"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3005","30","7","9","Jim Ferrell","33"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3005","30","7","9","Linda Kochmar","26"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3005","30","7","9","Mike Park","26"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3005","30","7","9","Registered Voters","280"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3005","30","7","9","Skip Priest","68"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3005","30","7","9","Times Blank Voted","4"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3005","30","7","9","Times Counted","158"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3005","30","7","9","Times Over Voted","1"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3005","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3006","30","7","9","Jim Ferrell","28"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3006","30","7","9","Linda Kochmar","41"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3006","30","7","9","Mike Park","22"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3006","30","7","9","Registered Voters","432"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3006","30","7","9","Skip Priest","62"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3006","30","7","9","Times Blank Voted","2"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3006","30","7","9","Times Counted","155"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3006","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3006","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3007","30","7","9","Jim Ferrell","25"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3007","30","7","9","Linda Kochmar","20"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3007","30","7","9","Mike Park","6"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3007","30","7","9","Registered Voters","237"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3007","30","7","9","Skip Priest","35"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3007","30","7","9","Times Blank Voted","5"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3007","30","7","9","Times Counted","91"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3007","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3007","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3008","30","7","9","Jim Ferrell","29"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3008","30","7","9","Linda Kochmar","20"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3008","30","7","9","Mike Park","17"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3008","30","7","9","Registered Voters","359"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3008","30","7","9","Skip Priest","36"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3008","30","7","9","Times Blank Voted","13"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3008","30","7","9","Times Counted","115"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3008","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3008","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3010","30","7","9","Jim Ferrell","50"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3010","30","7","9","Linda Kochmar","38"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3010","30","7","9","Mike Park","17"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3010","30","7","9","Registered Voters","337"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3010","30","7","9","Skip Priest","46"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3010","30","7","9","Times Blank Voted","5"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3010","30","7","9","Times Counted","157"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3010","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3010","30","7","9","Write-in","1"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3011","30","7","9","Jim Ferrell","40"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3011","30","7","9","Linda Kochmar","24"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3011","30","7","9","Mike Park","24"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3011","30","7","9","Registered Voters","307"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3011","30","7","9","Skip Priest","27"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3011","30","7","9","Times Blank Voted","8"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3011","30","7","9","Times Counted","123"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3011","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3011","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3012","30","7","9","Jim Ferrell","45"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3012","30","7","9","Linda Kochmar","21"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3012","30","7","9","Mike Park","21"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3012","30","7","9","Registered Voters","297"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3012","30","7","9","Skip Priest","52"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3012","30","7","9","Times Blank Voted","9"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3012","30","7","9","Times Counted","148"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3012","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3012","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3013","30","7","9","Jim Ferrell","31"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3013","30","7","9","Linda Kochmar","11"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3013","30","7","9","Mike Park","13"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3013","30","7","9","Registered Voters","282"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3013","30","7","9","Skip Priest","37"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3013","30","7","9","Times Blank Voted","7"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3013","30","7","9","Times Counted","99"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3013","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3013","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3014","30","7","9","Jim Ferrell","76"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3014","30","7","9","Linda Kochmar","50"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3014","30","7","9","Mike Park","26"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3014","30","7","9","Registered Voters","474"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3014","30","7","9","Skip Priest","93"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3014","30","7","9","Times Blank Voted","8"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3014","30","7","9","Times Counted","253"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3014","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3014","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3015","30","7","9","Jim Ferrell","71"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3015","30","7","9","Linda Kochmar","31"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3015","30","7","9","Mike Park","20"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3015","30","7","9","Registered Voters","390"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3015","30","7","9","Skip Priest","60"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3015","30","7","9","Times Blank Voted","3"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3015","30","7","9","Times Counted","185"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3015","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3015","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3017","30","7","9","Jim Ferrell","111"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3017","30","7","9","Linda Kochmar","38"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3017","30","7","9","Mike Park","67"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3017","30","7","9","Registered Voters","657"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3017","30","7","9","Skip Priest","132"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3017","30","7","9","Times Blank Voted","9"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3017","30","7","9","Times Counted","360"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3017","30","7","9","Times Over Voted","1"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3017","30","7","9","Write-in","2"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3018","30","7","9","Jim Ferrell","32"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3018","30","7","9","Linda Kochmar","23"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3018","30","7","9","Mike Park","17"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3018","30","7","9","Registered Voters","318"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3018","30","7","9","Skip Priest","37"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3018","30","7","9","Times Blank Voted","3"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3018","30","7","9","Times Counted","112"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3018","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3018","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3019","30","7","9","Jim Ferrell","33"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3019","30","7","9","Linda Kochmar","31"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3019","30","7","9","Mike Park","36"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3019","30","7","9","Registered Voters","401"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3019","30","7","9","Skip Priest","79"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3019","30","7","9","Times Blank Voted","7"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3019","30","7","9","Times Counted","186"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3019","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3019","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3020","30","7","9","Jim Ferrell","50"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3020","30","7","9","Linda Kochmar","45"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3020","30","7","9","Mike Park","22"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3020","30","7","9","Registered Voters","448"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3020","30","7","9","Skip Priest","61"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3020","30","7","9","Times Blank Voted","9"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3020","30","7","9","Times Counted","188"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3020","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3020","30","7","9","Write-in","1"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3021","30","7","9","Jim Ferrell","53"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3021","30","7","9","Linda Kochmar","33"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3021","30","7","9","Mike Park","24"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3021","30","7","9","Registered Voters","559"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3021","30","7","9","Skip Priest","64"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3021","30","7","9","Times Blank Voted","11"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3021","30","7","9","Times Counted","185"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3021","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3021","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3022","30","7","9","Jim Ferrell","34"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3022","30","7","9","Linda Kochmar","20"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3022","30","7","9","Mike Park","13"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3022","30","7","9","Registered Voters","217"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3022","30","7","9","Skip Priest","44"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3022","30","7","9","Times Blank Voted","3"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3022","30","7","9","Times Counted","114"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3022","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3022","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-3023","30","7","9","Jim Ferrell","65"
