"impound_no","animal_id","data_source","record_type","link","current_location","animal_name","animal_type","age","animal_gender","animal_breed","animal_color","date","date_type","obfuscated_address","city","state","zip","jurisdiction","obfuscated_latitude","obfuscated_longitude","image","image_alt_text","memo","temperament"
"K22-150371","A671421","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2488353","In Public Home",,"Dog","Under 1 year<p/>","Male","Labrador Retriever","White","2022-08-22T00:00:00.000","Date Found","210TH  AVE NE AND NE 165 ST.",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2488353","Image Copyright HLP Inc. 2022","Description: Appears to be a white puppy. Not chipped<p/>Age: Under 1 year<p/>Found Near: 210th Ave NE and NE 165 St., Woodinville WA  98077<p/>Found Date: 2022-08-22<p/>",
"K22-150187","A671316","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2487401","In Public Home",,"Dog","Over 1 year<p/>","Male","Chihuahua - Smooth Coated","White","2022-08-26T00:00:00.000","Date Found","NORMAN  AND LAKESIDE AVE S",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2487401","Image Copyright HLP Inc. 2022","Description: Beige chihuahua (perhaps mix). Small size and height but somewhat overweight (perhaps 15 lbs or so)<p/>Age: Over 1 year<p/>Found Near: Norman and Lakeside Ave S, Seattle WA  98144<p/>Found Date: 2022-08-26<p/>",
"K22-150189","A671320","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2487445","LOST","Cleocatra","Cat","Over 1 year<p/>","Female","Bengal","White","2022-08-20T00:00:00.000","Date Lost","6400 block of  NE 182ND ST","KENMORE","WA","98028","KENMORE",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2487445","Image Copyright HLP Inc. 2022","Description: Bengal Siamese mix, with blue eyes, and a tab spot across her nose. She has a white base coat with grey spotted markings, and black rings around her tail. She is microchipped, but I just Found out that I never added her number to the registry. I'll be calling the vet for the number on Monday. In the image attached with two cats, she is the one looking away from the camera.<p/>Age: Over 1 year<p/>Location Lost: 6410 NE 182nd St, Kenmore WA  98028<p/>Lost Date: Aug 20 202<p/>",
"K22-149300","A669723","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2477923","LOST","Beru","Cat","Over 1 year<p/>","Female","Domestic Shorthair","Unknown","2022-07-31T00:00:00.000","Date Lost","HOLLYHILLS  DR NE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2477923","Image Copyright HLP Inc. 2022","Description: Beru has a black coat with orange:brown streaks. She’s very shy around people she doesn’t know<p/>Age: Over 1 year<p/>Location Lost: hollyhills Dr NE, Bothell WA  98011<p/>Lost Date: 2022-07-31<p/>",
"K22-149690","A670392","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2481636","LOST","Cocoa","Cat","Over 1 year<p/>","Female","Domestic Shorthair","Brown","2022-08-12T00:00:00.000","Date Lost","W  CROW ST AND 4TH AVE S",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2481636","Image Copyright HLP Inc. 2022","Description: Black and brown/gold/tan, stripes, black tip tail <p/>Age: Over 1 year<p/>Location Lost: W Crow St and 4th Ave S, Kent WA  98032<p/>Lost Date: 2022-08-12<p/>",
"K22-149688","A670390","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2481621","LOST","Cocoa","Cat","Over 1 year<p/>","Female","Domestic Shorthair","Brown","2022-08-12T00:00:00.000","Date Lost","W  CROW ST AND 4TH AVE S",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2481621","Image Copyright HLP Inc. 2022","Description: Black and brown/gold/tan, stripes, black tip tail <p/>Age: Over 1 year<p/>Location Lost: W Crow St and 4th Ave S, Kent WA  98032<p/>Lost Date: Aug 12 202<p/>",
"K22-149988","A670867","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2485450","In Public Home","Cheeba","Dog","Unknown<p/>","Female","Papillon","Black","2022-08-21T00:00:00.000","Date Found","TIGER  MOUNTAIN ROAD",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2485450","Image Copyright HLP Inc. 2022","Description: Black and brown papillon/chiuahua<p/>Age: Unknown<p/>Found Near: Tiger Mountain Road, Issaquah WA  98027<p/>Found Date: 2022-08-21<p/>",
"K22-149783","A670543","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2482576","LOST","Ashy","Dog","Over 1 year<p/>","Female","Australian Cattle Dog","Unknown","2022-08-15T00:00:00.000","Date Lost","BROADWAY  AND PINE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2482576","Image Copyright HLP Inc. 2022","Description: Black and grey cattle dog. Female about the size of a chihuahua. Her name is ashy. She ran out of the shop on broadway and kept running down pine. No collar<p/>Age: Over 1 year<p/>Location Lost: Broadway and pine, Seattle WA  98102<p/>Lost Date: 2022-08-15<p/>",
"K22-150452","A671548","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2488884","LOST","Swaylee Stew","Cat","Over 1 year<p/>","Male","American Shorthair","Black","2022-08-30T00:00:00.000","Date Lost","11300 block of  SE KENT KANGLEY",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2488884","Image Copyright HLP Inc. 2022","Description: Black and grey tabby with big yellow eyes <p/>Age: Over 1 year<p/>Location Lost: 11328 se kent kangley , Kent WA  98030<p/>Lost Date: 2022-08-30<p/>",
"K22-149499","A670068","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2479580","LOST","Snoop","Cat","Under 1 year<p/>","Male","Domestic Shorthair","Unknown","2022-08-08T00:00:00.000","Date Lost","25400 block of  129TH AVE SE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2479580","Image Copyright HLP Inc. 2022","Description: Black and tan sripe patterned skinny. Not neutered. Very friendly, may walk right up to you. <p/>Age: Under 1 year<p/>Location Lost: 25450 129th Ave Se, Kent WA  98030<p/>Lost Date: Aug  8 202<p/>",
"K22-149500","A670069","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2479580","LOST","Snoop","Cat","Under 1 year<p/>","Male","Domestic Shorthair","Unknown","2022-08-08T00:00:00.000","Date Lost","25400 block of  129TH AVE SE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2479580","Image Copyright HLP Inc. 2022","Description: Black and tan sripe patterned skinny. Not neutered. Very friendly, may walk right up to you. <p/>Age: Under 1 year<p/>Location Lost: 25450 129th Ave Se, Kent WA  98030<p/>Lost Date: Aug  8 202<p/>",
"K22-150772","A672056","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2494532","LOST","Tommy","Cat","Over 1 year<p/>","Male","Domestic Mediumhair","Unknown","2022-09-06T00:00:00.000","Date Lost","SE  55th Pl & Forest Dr SE","Bellevue",,"98006",,,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2494532","Image Copyright HLP Inc. 2022","Description: Black and white 3 y/o neutered Male, microchipped no collar, tall, lean, shy, but friendly. Comes to a bell for food. A quarter of his face is white and the rest is black.<p/>Age: Over 1 year<p/>Location Lost: SE 55th Pl and Forest Drive, Bellevue WA  98006<p/>Lost Date: 2022-09-06<p/>",
"K22-149896","A670713","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2483993","LOST","Paige","Cat","Unknown<p/>","Female","Domestic Shorthair","Black","2022-08-16T00:00:00.000","Date Lost","45TH  AVE SW AND COLLEGE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2483993","Image Copyright HLP Inc. 2022","Description: Black and white tuxedo cat. 16 years old. About 8 pounds. No collar, but she is microchipped. <p/>Age: Unknown<p/>Location Lost: 45th Ave SW and College, Seattle WA  98116-2115<p/>Lost Date: 2022-08-16<p/>",
"K22-149543","A670125","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2480029","In Public Home","Sarah Steina","Cat","Unknown<p/>","Unknown","Domestic Shorthair","Unknown","2022-08-01T00:00:00.000","Date Found","114TH  AVE S AND OCCIDENTAL AVE. S.",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2480029","Image Copyright HLP Inc. 2022","Description: Black and White Tuxedo<p/>Age: Unknown<p/>Found Near: 114th Ave S and Occidental Ave. S., Seattle WA  98168<p/>Found Date: 2022-08-01<p/>",
"K22-149869","A670666","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2483558","LOST","Aria","Cat","Over 1 year<p/>","Female","American Shorthair","Unknown","2022-08-14T00:00:00.000","Date Lost","191ST  PL SE AND SE 263RD ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2483558","Image Copyright HLP Inc. 2022","Description: Black and white tuxedo. Tiny and skinny.  Her blaze is off center on her left side of her face. 4 white paws and white chest.  Yellow to brownish green eyes<p/>Age: Over 1 year<p/>Location Lost: 191st pl se and se 263rd st , Kent WA  98042<p/>Lost Date: 2022-08-14<p/>",
"K22-149870","A670667","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2483563","LOST","Aria","Cat","Over 1 year<p/>","Female","American Shorthair","Unknown","2022-08-14T00:00:00.000","Date Lost","191ST  PL SE AND SE 263RD ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2483563","Image Copyright HLP Inc. 2022","Description: Black and white tuxedo. Tiny and skinny.  Her blaze is off center on her left side of her face. 4 white paws and white chest.  Yellow to brownish green eyes<p/>Age: Over 1 year<p/>Location Lost: 191st pl se and se 263rd st , Kent WA  98042<p/>Lost Date: 2022-08-14<p/>",
"K22-149871","A670668","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2483566","LOST","Aria","Cat","Over 1 year<p/>","Female","American Shorthair","Black","2022-08-14T00:00:00.000","Date Lost","191ST  PL SE AND SE 263RD ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2483566","Image Copyright HLP Inc. 2022","Description: Black and white tuxedo. Tiny and skinny.  Her blaze is off center on her left side of her face. 4 white paws and white chest.  Yellow to brownish green eyes<p/>Age: Over 1 year<p/>Location Lost: 191st pl se and se 263rd st , Kent WA  98042<p/>Lost Date: 2022-08-14<p/>",
"K22-149658","A670317","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2481100","In Public Home",,"Dog","Unknown<p/>","Male","Smooth Fox Terrier","Black","2022-08-12T00:00:00.000","Date Found","SE  129TH ST. AND 464TH AVE SE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2481100","Image Copyright HLP Inc. 2022","Description: Black and white with brown on the face, not neutered, docked tail<p/>Age: Unknown<p/>Found Near: SE 129th St. and 464th Ave SE, North Bend WA  98045<p/>Found Date: 2022-08-12<p/>",
"K22-150790","A672085","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2494609","LOST","Pickles","Cat","Over 1 year<p/>","Female","Domestic Shorthair","Black","2022-09-07T00:00:00.000","Date Lost","9TH  AND CAMAS",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2494609","Image Copyright HLP Inc. 2022","Description: Black and whit with a distinct meow. Fixed belly hanging weighs more than she looks<p/>Age: Over 1 year<p/>Location Lost: 9th and camas, Renton WA  98056<p/>Lost Date: 2022-09-07<p/>",
"K22-149761","A670509","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2482398","In Public Home","Unsure","Dog","Over 1 year<p/>","Male","Pit Bull","Black","2022-08-15T00:00:00.000","Date Found","100 block of  AND 10TH IN BELLEVUE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2482398","Image Copyright HLP Inc. 2022","Description: Black a with white marking on chest and front paws. Cropped ears. Not fixed. 1 year old approx(?). Walk right harness ( black,) with blue leash attached. Found in green area next to Bellevue library<p/>Age: Over 1 year<p/>Found Near: 100 block of  AND 10TH IN BELLEVUE<p/>Found Date: 2022-08-15<p/>",
