Organization Name,Location,Category,Tax Identification Number,City Kc Area,Zip Codes,2017 Census Tracts WA State
Friends of the Trail,"48222 SE Mt Si Rd
North Bend, WA 98045
(47.485981, -121.696813)",Environment,91-1724918,61,17798,312
Gary Sinise Foundation,,Housing & Employment,80-0587086,,,
Hawk Watch International,"2240 S 900 East
Salt Lake City, UT 84106
(40.722456, -111.865373)",Environment,85-0358519,,11577,
Helping Link/Một Dấu Nối,"1032 S Jackson St #C
Seattle, WA 98104
(47.599204, -122.318161)",Education & Literacy,20-1988027,101,18379,15
Holly Ridge Center,"5112 NW Taylor Rd
Bremerton, WA 98312
(47.587445, -122.718704)","Mental Health, Disabilities, & Substance Abuse",91-0757541,,10803,895
Hospice Foundation of America,"1707 L St NW
Washington, DC 20036
(38.90374, -77.03908)",Health (General),59-2219888,,4499,
Imagine Housing,"10604 NE 38th Pl Ste 215
Kirkland, WA 98033
(47.644646, -122.199351)",Housing & Employment,94-3110312,77,17373,237
Issaquah Philharmonic Orchestra,,"Arts, Culture, & Humanities",90-0869589,,,
Kin On Health Care Center,"4416 S Brandon St
Seattle, WA 98118
(47.553396, -122.278727)",Health (General),91-1620786,101,18800,124
Knitted Knockers Support Foundation,"1780 Iowa St
Bellingham, WA 98229
(48.756425, -122.451019)",Health (General),47-2406424,,18647,642
Mwanzo,,Education & Literacy,27-4567996,,,
Northshore Schools Foundation,"13110 NE 177th Pl B101-103
Woodinville, WA 98072
(47.755747, -122.164581)",Education & Literacy,91-1680139,94,18071,1278
Northwest Natural Resource Group (NNRG),"2701 1st Ave Ste 240
Seattle, WA 98121
(47.615964, -122.350905)",Environment,94-3172720,101,19576,782
Ocean Conservancy,"1300 19th St NW Ste 800
Washington, DC 20036
(38.907511, -77.043457)",Environment,23-7245152,,4499,
Oceana,"1350 Connecticut Ave NW 5th Fl
Washington, DC 20036
(38.90838, -77.042845)",Environment,51-0401308,,4499,
Operation Ward 57,,Health (General),61-1521946,,,
Parkinson's Research - The Michael J. Fox Foundation for Parkinson's Research,,"Disease, Disorders, & Medical Research",13-4141945,,,
Pawsitive Alliance,,Animals,84-1679356,,,
Planned Parenthood Federation of America,"123 William St 10th Fl
New York, NY 10038
(40.709154, -74.006844)",Health (General),13-1644147,,13096,
Population Services International,"1120 19th St NW Ste 600
Washington, DC 20036
(38.904524, -77.043461)",International Relief & Development,56-0942853,,4499,
Puget Sound Goat Rescue and Adoptions,,Animals,80-0640425,,,
Rescue Every Dog (R.E.D.),"28798 State Hwy 3
Poulsbo, WA 98370
(47.823144, -122.638251)",Animals,91-2117424,,12212,898
Ryan's House For Youth,,Youth Development,27-2113343,,,
Save the Chimps,,Animals,65-0789748,,,
"Seattle Center Foundation, incl. Seattle/King County Clinic","305 Harrison St #310
Seattle, WA 98109
(47.622051, -122.348453)","Arts, Culture, & Humanities",91-1003385,101,18390,1450
Seattle Public Theater,"7312 W Green Lake Dr N
Seattle, WA 98103
(47.682324, -122.341166)","Arts, Culture, & Humanities",91-1398805,101,18377,1245
Second Chance Dogs,,Animals,27-0913466,,,
Showers of Blessing Evangelistic Ministry USA,"41817 Albrae St
Fremont, CA 94538
(37.514202, -121.976504)",Spiritual Development,94-3401188,,591,
SnoValley Tilth,,Food & Hunger,90-0119317,,,
Special Operations Warrior Foundation,,Emergency & Disaster Services,52-1183585,,,
The Sophia Way,"11061 NE 2nd St Ste 223
Bellevue, WA 98004
(47.611976, -122.192314)",Housing & Employment,45-4084539,6,31848,1443
United Methodist Committee on Relief (UMCOR),"458 Ponce De Leon Ave NE Room #229
Atlanta, GA 30308
(33.773242, -84.372485)",International Relief & Development,82-1449602,,5424,
Unleash The Brilliance,,"Arts, Culture, & Humanities",91-2138554,,,
Voice of the Martyrs Inc.,"1815 SE Bison Rd
Bartlesville, OK 74006
(36.722534, -95.89928)",Spiritual Development,73-1395057,,28336,
Washington Wild,"305 N 83rd St
Seattle, WA 98103
(47.689122, -122.355039)",Environment,91-1102692,101,18377,305
Wildlife Conservation Society,,Environment,13-1740011,,,
World Food Program USA,"1725 I St NW Ste 510
Washington, DC 20006
(38.901311, -77.040354)",International Relief & Development,13-3843435,,25079,
"Lupus Foundation of America, Washington","1601 5th Ave Ste 1100
Seattle, WA 98101
(47.611942, -122.33674)","Disease, Disorders, & Medical Research",43-1131436,101,18081,399
Rainier Scholars,"2100 24th Ave S Ste 360
Seattle, WA 98144
(47.58408, -122.301654)",Education & Literacy,91-2045918,101,17919,771
American Lung Association in Washington,"5601 6th Ave S Ste 460
Seattle, WA 98108
(47.551431, -122.326929)",Environment,13-1632524,101,18388,406
Spina Bifida Association of America,"1600 Wilson Blvd Ste 800
Arlington, VA 22209
(38.894307, -77.077247)","Disease, Disorders, & Medical Research",58-1342181,,30391,
Pacific Science Center Foundation,"200 Second Ave N
Seattle, WA 98109
(47.619343, -122.352836)",Education & Literacy,91-0750867,101,18390,1450
Liberty Road Foundation,"16625 Redmond Way Ste M323
Redmond, WA 98052
(47.672888, -122.118103)",Youth Development,20-5121455,97,17806,514
South Park Senior Center,"8201 10th Ave So Ste #4
Seattle, WA 98108
(47.529579, -122.32024)",Food & Hunger,91-1317638,101,18388,416
Washington State Fair Foundation,"110 9th Ave SW
Puyallup, WA 98371
(47.184477, -122.297007)",Education & Literacy,26-1250496,,12217,1292
Northwest Community Bail Fund,,Social & Economic Justice,83-1096468,,,
Asian Counseling and Referral Service,"3639 Martin Luther King Jr Way S
Seattle, WA 98144
(47.571682, -122.297021)","Mental Health, Disabilities, & Substance Abuse",91-0916176,101,18388,403
"Greyhound Pets, Inc.",,Animals,82-0434711,,,
Third Place Commons,,"Arts, Culture, & Humanities",91-2054524,,,
World Vision,"34834 Weyerhaeuser Way S
Federal Way, WA 98063
(47.289521, -122.292284)",International Relief & Development,95-1922279,19,31844,863
Rite of Passage Journeys,,Youth Development,35-2283871,,,
Direct Relief,"27 S La Patera Ln
Santa Barbara, CA 93117
(34.437423, -119.842441)",Food & Hunger,95-1831116,,5119,
LGBTQ Allyship,"3518 S Edmunds St
Seattle, WA 98118
(47.558649, -122.287996)",Social & Economic Justice,82-4163307,101,18800,124
Southwest Youth and Family Services,"4555 Delridge Way SW
Seattle, WA 98106
(47.562063, -122.36318)",Education & Literacy,91-1117862,101,18385,772
Children's Institute for Learning Differences (CHILD),"2640 Benson Rd S
Renton, WA 98055
(47.457028, -122.201681)",Youth Development,91-1055331,100,17808,150
Rainier Valley Food Bank,"4205 Rainier Ave S
Seattle, WA 98118
(47.565364, -122.288552)",Food & Hunger,91-1500768,101,18800,405
Homeward Pet Adoption Center,"13132 NE 177th Pl
Woodinville, WA 98072
(47.755969, -122.163733)",Animals,91-1526803,94,18071,1278
EarthCorps,"6310 NE 74th St Ste 201E
Seattle, WA 98115
(47.683307, -122.257877)",Environment,91-1592071,101,18792,276
The Humane Society of the United States,"1255 23rd St NW Ste 450
Washington, DC 20037
(38.906272, -77.050108)",Animals,53-0225390,,4500,
Seattle Mountain Rescue,"16135 NE 41st Ct
Redmond, WA 98052
(47.647115, -122.12472)",Emergency & Disaster Services,91-6049880,97,17806,426
GLSEN Washington State,"1605 12th Ave #35
Seattle, WA 98122
(47.615782, -122.316867)",Education & Literacy,04-3234202,101,19578,781
Seattle Area Feline Rescue,"14717 Aurora Ave N
Shoreline, WA 98133
(47.736088, -122.345223)",Animals,91-2041961,102,19582,814
21 Acres Center for Local Food and Sustainable Living,"13701 NE 171st St
Woodinville, WA 98072
(47.750699, -122.156754)",Food & Hunger,91-1980248,94,18071,1278
Washington Ensemble Theatre,,"Arts, Culture, & Humanities",11-3720814,,,
Northwest's Child Inc.,"1823 N 85th
Seattle, WA 98103
(47.690503, -122.335399)","Mental Health, Disabilities, & Substance Abuse",91-1453752,101,18377,1432
Islandwood,"4450 Blakely Ave NE
Bainbridge Island, WA 98110
(47.603857, -122.536107)",Environment,31-1654076,,18788,559
Memorial Sloan Kettering Cancer Center,"1275 York Ave
New York, NY 10065
(40.764044, -73.955801)","Disease, Disorders, & Medical Research",13-1924236,,10090,
"Arc of Snohomish, The","2500 Hewitt Ave Ste 300
Everett, WA 98201
(47.979131, -122.19599)",Health (General),91-0991444,,18238,1152
Tilth Alliance,"4649 Sunnyside Ave N Ste 100
Seattle, WA 98103
(47.663831, -122.330171)",Environment,94-3261971,101,18377,379
"GROW, formerly P-Patch Trust",,Community Development,91-1091819,,,
Washington Women In Need,"232 5th Ave S Ste 201
Kirkland, WA 98033
(47.672036, -122.202804)",Human & Civil Rights,91-1559848,77,17373,424
FamilyWorks Food Bank & Family Resource Center,"1501 N 45th St
Seattle, WA 98103
(47.661373, -122.338925)",Food & Hunger,91-1757277,101,18377,43
Seattle/King County Coalition on Homelessness,"85 S Washington St Ste 310
Seattle, WA 98104
(47.600877, -122.334963)",Housing & Employment,82-1831734,101,18379,786
Brigadoon Service Dogs,"4759 Mission Rd
Bellingham, WA 98226
(48.813282, -122.354944)",Health (General),27-0100385,,18646,1252
West Sound Wildlife Shelter,"7501 NE Dolphin Dr
Bainbridge Island, WA 98110
(47.70816, -122.549394)",Animals,91-1481441,,18788,1280
Vashon-Maury Island Land Trust,,Environment,94-3123021,,,
Kentwood Community PTSA 9.7.120,"25800 164th Ave SE
Covington, WA 98042
(47.370541, -122.122973)",Education & Literacy,91-1504643,24,17794,874
Northwest Folklife,"305 Harrison St
Seattle, WA 98109
(47.622051, -122.348453)","Arts, Culture, & Humanities",91-1311548,101,18390,1450
Sno-Valley Senior Center,"4610 Stephens Ave
Carnation, WA 98014
(47.648857, -121.914992)",Health (General),91-1156586,22,17005,531
Aurora Commons,"302A N 78th St
Seattle, WA 98103
(47.685481, -122.3551)",Food & Hunger,35-2515559,101,18377,305
Motley Zoo Animal Rescue,"16725 Cleveland St
Redmond, WA 98052
(47.672158, -122.116722)",Animals,26-4338166,97,17806,514
Neighborcare Health,"1200 12th Ave S Ste 901
Seattle, WA 98144
(47.593092, -122.317306)",Health (General),91-0893287,101,17919,1229
Center for Human Services,"17018 15th Ave NE
Shoreline, WA 98155
(47.752556, -122.313332)","Mental Health, Disabilities, & Substance Abuse",23-7082323,102,17924,1338
Colectiva Legal del Pueblo,"13838 1st Ave S
Burien, WA 98168
(47.478441, -122.333852)",Legal Advocacy,46-1470709,8,18227,459
Tetiaroa Society,"10900 NE 4th St Ste 1850
Bellevue, WA 98004
(47.613727, -122.194492)",Environment,45-1080688,6,31848,1443
Sightline Institute,"1402 Third Ave Ste 500
Seattle, WA 98101
(47.608936, -122.337059)",Environment,52-1833599,101,18081,399
Crista Ministries,"19303 Fremont Ave N
Shoreline, WA 98133
(47.769358, -122.351259)",Education & Literacy,91-6012289,102,19582,1194
Ninos Tres Rios,"1221 148th Ave NE
Bellevue, WA 98007
(47.621307, -122.14328)",Education & Literacy,26-3873890,6,31853,148
The Center for Wooden Boats,"1010 Valley St
Seattle, WA 98109
(47.625742, -122.336171)","Arts, Culture, & Humanities",91-1061721,101,18390,778
A Step Ahead in Pierce County,"10324 Canyon Rd E Ste #203
Puyallup, WA 98373
(47.162268, -122.357183)",Education & Literacy,91-2145470,,4850,266
Water For People,"100 E Tennessee Ave
Denver, CO 80209
(39.698592, -104.985604)",International Relief & Development,84-1166148,,20701,
FUSION,,Housing & Employment,01-0814641,,,
Alchemy Skateboarding,"311 S 7th St
Tacoma, WA 98402
(47.257586, -122.442036)","Recreation, Sports, Leisure, & Athletics",46-2756372,,12600,941
Children's Hospital Foundation,"801 Roeder Rd Ste 650
Silver Spring, MD 20910
(38.998088, -77.025568)",Health (General),52-1640402,,2324,
Encompass,"1407 Boalch Ave NW
North Bend, WA 98045
(47.505717, -121.795641)",Education & Literacy,91-0825232,87,17798,1381
PUP Dog Rescue,"6929 Autumn Ave SE
Snoqualmie, WA 98065
(47.538181, -121.871219)",Animals,20-5054914,91,18064,532
Friends of the Children- Seattle,,Youth Development,91-2047030,,,
Marine Conservation Institute,"1914 N 34th St Ste 400
Seattle, WA 98103
(47.648029, -122.33465)",Environment,91-1725640,101,18377,380
Landesa,"1424 4th Ave Ste 300
Seattle, WA 98101
(47.609999, -122.336445)",International Relief & Development,91-1158970,101,18081,399
Clean Water Fund,"1010 Vermont Ave NW Ste 400
Washington, DC 20005
(38.902928, -77.033546)",Environment,52-1043444,,25078,
MLK Fame Community Center,"3201 E Republican St
Seattle, WA 98112
(47.623382, -122.2904)","Arts, Culture, & Humanities",27-4652745,101,18789,1402
Carolyn Downs & Country Doctor Community Clinics,"500 19th Ave E
Seattle, WA 98112
(47.623418, -122.307296)",Health (General),23-7100868,101,18789,117
King County Sexual Assault Resource Center (KCSARC),,Legal Advocacy,91-0967255,,,
St. Bernard Project (SBP),"2645 Toulouse St
New Orleans, LA 70119
(29.969179, -90.083297)",Housing & Employment,26-2189665,,3768,
Prison Fellowship International,"44180 Riverside Parkway Ste 300
Lansdowne, VA 20176
(39.072243, -77.472554)",International Relief & Development,51-0247185,,29432,
National Hemophilia Foundation,"7 Penn Plaza Ste 1204
New York, NY 10001
(40.736892, -74.000895)",Health (General),13-5641857,,12074,
Wallingford Community Senior Center,"4649 Sunnyside Ave N #140
Seattle, WA 98103
(47.663831, -122.330171)","Mental Health, Disabilities, & Substance Abuse",91-1631962,101,18377,379
"ACLU, American Civil Liberties Union Of Washington Foundation","901 5th Ave Ste 630
Seattle, WA 98164
(47.606191, -122.33147)",Legal Advocacy,23-7076867,101,18379,399
The Genesis Project,,"Mental Health, Disabilities, & Substance Abuse",26-0330950,,,
Environmental and Energy Study Institute,"1112 16th St NW Ste 300
Washington, DC 20036
(38.904216, -77.036545)",Environment,52-1268030,,4499,
Enumclaw Schools Foundation,,Education & Literacy,59-3830191,,,
American Farmland Trust,"1200 18th St NW Ste 800
Washington, DC 20036
(38.90595, -77.041689)",Environment,52-1190211,,4499,
United Way of Snohomish County,"3120 McDougall Ave Ste 200
Everett, WA 98201
(47.975732, -122.200005)",Social & Economic Justice,91-0606507,,18238,1152
Humanity & Inclusion,"8757 Georgia Ave Ste 420
Silver Spring, MD 20910
(38.998509, -77.030684)",International Relief & Development,55-0914744,,2324,
International Rescue Committee - Seattle,"1200 S 192nd St Ste 101
SeaTac, WA 98148
(47.431178, -122.31939)",International Relief & Development,13-5660870,92,17922,309
Big Brothers Big Sisters of Puget Sound,"1600 S Graham St
Seattle, WA 98108
(47.547134, -122.311956)",Youth Development,91-0673185,101,18388,773
VillageReach,"2900 Eastlake Ave E Ste 230
Seattle, WA 98102
(47.647555, -122.324394)",Health (General),91-2083484,101,18376,115
Operation Nightwatch,"302 14th Ave S
Seattle, WA 98144
(47.600002, -122.314136)",Housing & Employment,91-0964027,101,17919,13
Good Samaritan Foundation,,Health (General),91-1514257,,,
Parent Trust for Washington Children,"2200 Rainier Ave S
Seattle, WA 98144
(47.583655, -122.302193)",Health (General),91-1036940,101,17919,771
Music in Schools Program of the Ladies Musical Club of Seattle,,"Arts, Culture, & Humanities",91-6029353,,,
Ronald McDonald House Charities®,"110 N Carpenter St
Chicago, IL 60607
(41.883338, -87.653255)",Health (General),36-2934689,,14917,
Tavon Learning Center,"24017 SE Black Nugget Rd
Issaquah, WA 98029
(47.550176, -122.019871)","Mental Health, Disabilities, & Substance Abuse",77-0601299,61,17359,879
Dogs for Better Lives,"10175 Wheeler Rd
Central Point, OR 97502
(42.461977, -122.939364)",Animals,93-0681311,,1739,
Wing Luke Museum of the Asian Pacific American Experience,"719 S King St
Seattle, WA 98104
(47.598365, -122.323021)","Arts, Culture, & Humanities",91-6067431,101,18379,15
Scarecrow Video,"5030 Roosevelt Way NE
Seattle, WA 98105
(47.665921, -122.317397)","Arts, Culture, & Humanities",47-1050656,101,18383,298
Mercy Corps,"45 SW Ankeny St
Portland, OR 97204
(45.5225, -122.670797)",International Relief & Development,91-1148123,,14414,
"Pediatric Brain Tumor Foundation of the United States, Inc.","302 Ridgefield Ct
Ashville, NC 28806
(35.523723, -82.598834)","Disease, Disorders, & Medical Research",58-1966822,,18192,
BUILD RESILIENT INSPIRED COMMUNITIES OF COLOR (BRICC),,Social & Economic Justice,83-2505960,,,
The TEARS Foundation,"11102 Sunrise Blvd E Ste 112
Puyallup, WA 98374
(47.097595, -122.280269)",Health (General),45-0500497,,12220,965
Families of Color Seattle (FOCS),"1544 S Snoqualmie St
Seattle, WA 98108
(47.561682, -122.312143)",Community Development,47-4257834,101,18388,403
WASHINGTON WATER TRAILS ASSOCIATION,"4649 Sunnyside Ave N #307
Seattle, WA 98103
(47.663831, -122.330171)",Environment,91-1472783,101,18377,379
Rebuilding Together Seattle,"500 Aurora Ave N #305
Seattle, WA 98109
(47.623557, -122.343794)",Housing & Employment,91-1606330,101,18390,779
Smile Train,"633 Third Ave 9th Fl
New York, NY 10017
(40.749805, -73.97516)",Health (General),13-3661416,,12079,
WVS,"111 SE Everett Mall Way c-100
Everett, WA 98208
(47.907391, -122.231542)","Mental Health, Disabilities, & Substance Abuse",51-0192526,,18246,80
UNICEF USA,"125 Maiden Ln 10th Fl
New York, NY 10038
(40.706465, -74.006436)",International Relief & Development,13-1760110,,13096,
Amara,"5907 Martin Luther King Jr Way S
Seattle, WA 98118
(47.549437, -122.287312)",Youth Development,91-0577487,101,18800,698
National Black Child Development Institute,"8455 Colesville Rd Ste 910
Silver Spring, MD 20910
(38.995315, -77.029498)",Youth Development,52-0908178,,2324,
Pickford Film Center,,"Arts, Culture, & Humanities",91-1891456,,,
Fisher House Foundation,"111 Rockville Pike Ste 420
Rockville, MD 20850
(39.086292, -77.149231)",Health (General),11-3158401,,32162,
Seattle Symphony Orchestra,"200 University St
Seattle, WA 98101
(47.607613, -122.336331)","Arts, Culture, & Humanities",91-0667412,101,18081,399
Rails-to-Trails Conservancy,"2121 Ward Court NW 5th Fl
Washington, DC 20037
(38.906544, -77.047572)",Environment,52-1437006,,4499,
St. Vincent de Paul Georgetown Food Bank & Clothing Center,"5950 4th Ave S
Seattle, WA 98108
(47.548693, -122.329598)",Food & Hunger,91-0583891,101,18388,406
"Community Homes, Inc",,Housing & Employment,91-1700810,,,
Copper Canyon Press,,"Arts, Culture, & Humanities",94-3118374,,,
"JDRF International, Northwest Chapter, Washington","1215 Fourth Ave Ste 1100
Seattle, WA 98161
(47.607847, -122.334539)","Disease, Disorders, & Medical Research",23-1907729,101,18081,399
Friend to Friend America,"22030 7th Ave S #200
Des Moines, WA 98198
(47.403667, -122.326037)",Community Development,91-1145329,25,18234,845
Alternative Humane Society,,Animals,91-1551706,,,
Wonderland Child & Family Services,"2402 NW 195th Pl
Shoreline, WA 98177
(47.771475, -122.388958)","Mental Health, Disabilities, & Substance Abuse",91-0890276,102,18229,810
Alexander Hamilton Scholars,,Education & Literacy,34-2011733,,,
YWCA Pierce County,"405 Broadway
Tacoma, WA 98402
(47.260553, -122.443041)",Legal Advocacy,91-0565026,,12600,1353
MAP International,"4700 Glynco Parkway
Brunswick, GA 31525
(31.256929, -81.446609)",International Relief & Development,36-2586390,,32740,
Christian Military Fellowship,,Spiritual Development,84-0780545,,,
Epilepsy Foundation,"3540 Crain Highway Ste 675
Bowie, MD 20716
(38.936696, -76.717985)",Health (General),52-0856660,,16438,
American Council of the Blind,"1703 N Beauregard St Ste 420
Alexandria, VA 22311
(38.83201, -77.123896)","Disease, Disorders, & Medical Research",58-0914436,,12446,
Swedish Medical Center Foundation,"747 Broadway
Seattle, WA 98122
(47.60924, -122.320767)",Health (General),91-0983214,101,19578,784
National Trust for Historic Preservation in the United States,"2600 Virginia Ave NW Ste 1100
Washington, DC 20037
(38.899804, -77.055357)","Arts, Culture, & Humanities",53-0210807,,4500,
Adopt-A-Stream Foundation,"600 128th St SE
Everett, WA 98208
(47.881988, -122.224284)",Environment,91-1333737,,18246,287
Jojo's Sanctuary,"340 W Wickenburg Way Ste A-67
Wickenburg, AZ 85390
(33.965652, -112.734349)",Community Development,45-3813499,,9726,
Camp Ten Trees,"1122 E Pike St #1488
Seattle, WA 98122
(47.6141, -122.317243)",Youth Development,01-0923793,101,19578,781
"National Multiple Sclerosis Society, Washington, Greater NW, Seattle","192 Nickerson St Ste 100
Seattle, WA 98109
(47.647756, -122.35335)","Disease, Disorders, & Medical Research",13-5661935,101,18390,1263
O'Dea High School Foundation,"802 Terry Ave
Seattle, WA 98104
(47.607806, -122.325267)",Education & Literacy,91-1307532,101,18379,785
Washington State Farmers Market Association,"93 Pike St Ste 316
Seattle, WA 98101
(47.608736, -122.340698)",Food & Hunger,91-1320916,101,18081,399
Elizabeth Gregory Home,"1604 NE 50th St
Seattle, WA 98105
(47.664887, -122.310483)",Housing & Employment,91-2139335,101,18383,1426
HERO House NW,"12838 SE 40th Pl
Bellevue, WA 98006
(47.573283, -122.167731)","Mental Health, Disabilities, & Substance Abuse",01-0925282,6,31852,427
AtWork!,"1935 152nd Pl NE
Bellevue, WA 98007
(47.626667, -122.136841)",Social & Economic Justice,91-0996632,6,31853,19
LAZ Foundation,"8433 S 122nd St
Seattle, WA 98178
(47.493981, -122.226129)",Youth Development,83-4566480,57,18230,1118
PFLAG Seattle,"1122 E Pike St PMB 620
Seattle, WA 98122
(47.6141, -122.317243)",Health (General),94-3035972,101,19578,781
Myasthenia Gravis Foundation of America,"290 Turnpike Rd Ste 5-315
Westborough, MA 1581
(42.283033, -71.644115)","Disease, Disorders, & Medical Research",13-5672224,,22378,
Northwest Adoption Exchange,"701 5th Ave Ste 1230
Seattle, WA 98104
(47.604906, -122.330278)",Youth Development,91-1117250,101,18379,785
Outdoor Youth Connections,,"Recreation, Sports, Leisure, & Athletics",26-1522928,,,
Ballard Food Bank,"5130 Leary Ave NW
Seattle, WA 98107
(47.665354, -122.3806)",Food & Hunger,91-1428805,101,18386,344
Domestic violence health and wellness,"300 Lenora St Ste 1267
Seattle, WA 98121
(47.613371, -122.341925)",Emergency & Disaster Services,84-4614123,101,19576,779
SCM Medical Missions,"3806 Whitman Ave N
Seattle, WA 98103
(47.653042, -122.345998)",International Relief & Development,91-1481782,101,18377,380
"Easterseals Washington, Bremerton","1740 NE Riddell Rd Ste 180
Bremerton, WA 98310
(47.606906, -122.627667)",Health (General),91-0575956,,10799,582
Canine Partners for Life,"334 Faggs Manor Rd PO Box 170
Cochranville, PA 19330
(39.86439, -75.911552)","Mental Health, Disabilities, & Substance Abuse",23-2580658,,13955,
Tacoma/Pierce County Habitat for Humanity,"4824 South Tacoma Way
Tacoma, WA 98409
(47.212714, -122.483672)",Housing & Employment,58-1735531,,13241,1210
Seattle Chinatown International District Preservation and Development Authority (SCIDpda),"409 Maynard Ave S Ste 200
Seattle, WA 98104
(47.597256, -122.325079)",Housing & Employment,91-1645126,101,18379,15
Interfaith Association of NW Washington,,Housing & Employment,91-1340220,,,
Girl Scouts of Western Washington,"5601 6th Ave S Ste 150
Seattle, WA 98108
(47.551431, -122.326929)",Youth Development,91-6060940,101,18388,406
Boys & Girls Clubs of King County,"603 Stewart St Ste 300
Seattle, WA 98101
(47.613702, -122.336925)",Youth Development,91-0532600,101,18081,397
Parkview Services,"17544 Midvale Ave N Ste LL
Shoreline, WA 98133
(47.756951, -122.344579)",Housing & Employment,91-0828809,102,19582,418
Refugees International,"1800 M St NW Ste 405N
Washington, DC 20036
(38.905636, -77.041924)",International Relief & Development,52-1224516,,4499,
Izaak Walton League of America,"707 Conservation Ln
Gaithersburg, MD 20878
(39.121213, -77.219744)",Environment,36-1930035,,32695,
Live Music Project,"117 E Louisa St PMB 570
Seattle, WA 98102
(47.642035, -122.326281)","Arts, Culture, & Humanities",81-2029807,101,18376,115
The Navigators,"3820 N 30th St
Colorado Springs, CO 80904
(38.891864, -104.875273)",Community Development,84-6007896,,10471,
Cancer Lifeline,"6522 Fremont Ave N
Seattle, WA 98103
(47.676624, -122.349963)",Health (General),91-6182951,101,18377,766
Agros International,"2225 4th Ave 2nd Fl
Seattle, WA 98121
(47.615195, -122.343654)",International Relief & Development,91-1276578,101,19576,779
UTOPIA Washington,"841 Central Ave N Ste C-106
Kent, WA 98032
(47.389357, -122.231091)",Social & Economic Justice,61-1668192,76,17365,1375
YMCA of Greater Seattle,"909 Fourth Ave
Seattle, WA 98104
(47.605597, -122.332458)",Health (General),91-0482710,101,17926,399
Focus on the Family,"8605 Explorer Dr
Colorado Springs, CO 80920
(38.967147, -104.788891)",Community Development,95-3188150,,10478,
PSC Partners Seeking a Cure,"6900 E Belleview Ave Ste 202
Greenwood Village, CO 80111
(39.624076, -104.908133)",Health (General),20-2112635,,20299,
American Bird Conservancy,"4249 Loudoun Ave
The Plains, VA 20198
(38.863105, -77.771945)",Environment,52-1501259,,1866,
"Arthritis Foundation, Great West Region, Washington, Seattle","115 NE 100th St Ste 350
Seattle, WA 98125
(47.701364, -122.328346)",Health (General),58-1341679,101,18792,647
Lake City Collective,"13525 32nd Ave NE Ste D
Seattle, WA 98125
(47.727939, -122.293628)",Social & Economic Justice,36-4939852,101,19579,172
Soulumination,"911 N 145th St
Seattle, WA 98133
(47.734124, -122.347331)",Health (General),20-2644809,101,19582,759
Community Action of Skagit County,"330 Pacific Pl
Mount Vernon, WA 98273
(48.44128, -122.336046)",Housing & Employment,91-1140086,,19893,984
Seattle Parks Foundation,"105 S Main St Ste 235
Seattle, WA 98104
(47.600041, -122.33402)",Environment,91-1998597,101,18379,786
Pushing Boundaries,"4162 148th Ave NE
Redmond, WA 98052
(47.648107, -122.14297)",Health (General),20-2043330,97,17806,426
