"organization_name","location","tax_identification_number","kcegp_code","website","short_description","category","category_3","category_2","link_1","link_2","link_3","link_4","status","community_of_opportunity","current_pledges","link_1_description","link_2_description","link_3_description","link_4_description","communities_served_1","communities_served_2","communities_served_3"
"Gary Sinise Foundation",,"80-0587086","2870","https://www.garysinisefoundation.org","Serving our nation by honoring our defenders, veterans, first responders, their families, and those in need with programs to educate, strengthen, and build communities.","Housing & Employment",,"Health (General)",,,,,"Returning","No",,,,,,,,
"Hawk Watch International","2240 S 900 East
Salt Lake City, UT 84106
(40.722456, -111.865373)","85-0358519","2550","https://www.hawkwatch.org","Conserve our environment through education, long-term monitoring, and scientific research on raptors.","Environment",,"Animals",,,,,"Returning","No",,,,,,,,
"Helping Link/Một Dấu Nối","1032 S Jackson St #C
Seattle, WA 98104
(47.599204, -122.318161)","20-1988027","9338","https://www.helpinglink.org","To empower refugees, immigrants, and Vietnamese American families to achieve personal and family acculturation and self-sufficiency.","Education & Literacy","Community Development","Social & Economic Justice",,,,,"Returning","No",,,,,,"Immigrants, Migrants, Refugees","Asian, Asian American","Women & Girls"
"Holly Ridge Center","5112 NW Taylor Rd
Bremerton, WA 98312
(47.587445, -122.718704)","91-0757541","10908","https://www.hollyridge.org","0 to 3 Early Intervention Neurodevelopmental Center and Adult Employment Services Program, ensures all people live to their fullest potential.","Mental Health, Disabilities, & Substance Abuse",,"Education & Literacy",,"https://www.guidestar.org/profile/91-0757541",,,"Number Change","No",,,"https://www.guidestar.org/profile/91-0757541",,,"Children & Youth",,
"Hospice Foundation of America","1707 L St NW
Washington, DC 20036
(38.90374, -77.03908)","59-2219888","2878","https://hospicefoundation.org","Supporting individuals through life-ending illness & assisting caregivers with grief & loss. We emphasize hospice & palliative care while providing public & professional education.","Health (General)",,,,,,,"New","No",,,,,,,,
"Imagine Housing","10604 NE 38th Pl Ste 215
Kirkland, WA 98033
(47.644646, -122.199351)","94-3110312","5722","https://imaginehousing.org/","We empower individuals and families, support diversity and strengthen communities by developing permanent affordable rental housing and providing supportive services.","Housing & Employment",,"Community Development",,"https://www.guidestar.org/organizations/94-3110312/imagine-housing.aspx",,,"Returning","No",,,"https://www.guidestar.org/organizations/94-3110312/imagine-housing.aspx",,,,,
"Issaquah Philharmonic Orchestra",,"90-0869589","10954","https://iphil.org/","Volunteer musicians who give 3 free community concerts yearly, an annual concert in support of the Issaquah Food and Clothing Bank, and sponsor a Young Composer Competition.","Arts, Culture, & Humanities",,,,,,,"Number Change","No",,,,,,,,
"Kin On Health Care Center","4416 S Brandon St
Seattle, WA 98118
(47.553396, -122.278727)","91-1620786","2723","https://www.kinon.org","Kin On Health Care Center provides nursing and rehab care to low-income, non/limited English-speaking Asian elderly in a culturally appropriate environment.","Health (General)",,"Recreation, Sports, Leisure, & Athletics",,,,,"Returning","Yes",,,,,,,,
"Knitted Knockers Support Foundation","1780 Iowa St
Bellingham, WA 98229
(48.756425, -122.451019)","47-2406424","10944","https://knittedknockers.org","Providing free breast prostheses to women who have had mastectomies. They are handmade by volunteers. Supporting 1,600 medical clinics and 1,000s per month given out.","Health (General)",,"Education & Literacy",,,,,"Number Change","No",,,,,,"Women & Girls",,
"Mwanzo",,"27-4567996","9945","https://www.mwanzo.org","Our mission is to cultivate opportunities through education and community-driven development in Rabuor Village, Kenya, and neighboring communities.","Education & Literacy",,"Social & Economic Justice",,,,,"Returning","No",,,,,,"Black, African American, African","Economically Disadvantaged People","Children & Youth"
"Northshore Schools Foundation","13110 NE 177th Pl B101-103
Woodinville, WA 98072
(47.755747, -122.164581)","91-1680139","9523","https://www.northshoreschoolsfoundation.org/","We enhance and inspire learning potential, remove barriers, and build skills for life for students and teachers in the Northshore School District.","Education & Literacy",,"Community Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911680139","https://www.guidestar.org/profile/91-1680139",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911680139","https://www.guidestar.org/profile/91-1680139",,,"Children & Youth",,
"Northwest Natural Resource Group (NNRG)","2701 1st Ave Ste 240
Seattle, WA 98121
(47.615964, -122.350905)","94-3172720","9466","https://www.nnrg.org","We strengthen the ecological and economic vitality of Northwest forests and communities by connecting people with the knowledge, skills, & markets they need to steward their lands.","Environment","Science and Technology Research, Institutions, & Services","Community Development",,"https://www.guidestar.org/profile/94-3172720",,,"Returning","No",,,"https://www.guidestar.org/profile/94-3172720",,,,,
"Ocean Conservancy","1300 19th St NW Ste 800
Washington, DC 20036
(38.907511, -77.043457)","23-7245152","2502","https://www.oceanconservancy.org","Through research, education, and science-based advocacy, Ocean Conservancy informs, inspires, and empowers people to speak and act on behalf of the oceans.","Environment",,,,,,,"Returning","No",,,,,,,,
"Oceana","1350 Connecticut Ave NW 5th Fl
Washington, DC 20036
(38.90838, -77.042845)","51-0401308","2597","https://www.oceana.org","Works internationally to protect marine wildlife and human health through programs to end pollution and destructive fishing practices, and to ensure vibrant, healthy oceans.","Environment",,,,,,,"Returning","No",,,,,,,,
"Operation Ward 57",,"61-1521946","9469","https://www.operationward57.org","Support wounded & ill warriors & their families by providing items that assist in recovery, maintenance & morale & through advocacy, education & promotion of their circumstances.","Health (General)",,"Mental Health, Disabilities, & Substance Abuse",,"https://www.guidestar.org/profile/61-1521946",,,"Returning","Yes",,,"https://www.guidestar.org/profile/61-1521946",,,"Veterans & Military",,
"Parkinson's Research - The Michael J. Fox Foundation for Parkinson's Research",,"13-4141945","2806","https://www.michaeljfox.org","One urgent goal: Eliminate Parkinson's disease in our lifetime. 89 cents of every dollar spent goes to research, leading to $450 million granted since 2000.","Disease, Disorders, & Medical Research",,,,,,,"Returning","No",,,,,,,,
"Pawsitive Alliance",,"84-1679356","2757","https://www.pawsitivealliance.org","We focus on increasing adoptions, spay/neuter and education to eliminate euthanasia of healthy dogs and cats in Washington.","Animals",,,,,,,"Returning","No",,,,,,,,
"Planned Parenthood Federation of America","123 William St 10th Fl
New York, NY 10038
(40.709154, -74.006844)","13-1644147","2824","https://www.plannedparenthood.org","Affordable reproductive health care, reproductive rights, and access to comprehensive medically accurate sexuality education, domestically and internationally.","Health (General)",,,,,,,"Returning","No",,,,,,,,
"Population Services International","1120 19th St NW Ste 600
Washington, DC 20036
(38.904524, -77.043461)","56-0942853","9674","https://www.psi.org/","PSI makes it easier for all people to lead healthier lives and plan the families they desire by marketing affordable products and services.","International Relief & Development",,"Health (General)","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=560942853","https://www.guidestar.org/profile/56-0942853",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=560942853","https://www.guidestar.org/profile/56-0942853",,,"Women & Girls",,
"Puget Sound Goat Rescue and Adoptions",,"80-0640425","9814","https://pugetsoundgoatrescue.org","Rescues goats & sheep from situations where they are being abused, neglected, mistreated or harmed. We rehabilitate & adopt to permanent homes.","Animals",,,,,,,"Returning","No",,,,,,,,
"Rescue Every Dog (R.E.D.)","28798 State Hwy 3
Poulsbo, WA 98370
(47.823144, -122.638251)","91-2117424","9376","https://www.rescueeverydog.org","Supports the mission of saving shelter animals by helping with foster care, medical care, promotion and transport for homeless and adoptable animals, and educating the public.","Animals","Community Development","Education & Literacy",,,,,"Returning","No",,,,,,,,
"Ryan's House For Youth",,"27-2113343","2718","https://www.ryanshouseforyouth.org","We are dedicated to serving homeless youth by building a shelter, offering necessities through our support van, and matching students with homes of community members.","Youth Development",,,,,,,"Returning","No",,,,,,,,
"Save the Chimps",,"65-0789748","2853","https://www.savethechimps.org","Rescuing chimpanzees from research, entertainment and the pet trade, we provide them the space needed to heal and enjoy a happy and healthy life!","Animals",,,,,,,"Returning","No",,,,,,,,
"Seattle Center Foundation, incl. Seattle/King County Clinic","305 Harrison St #310
Seattle, WA 98109
(47.622051, -122.348453)","91-1003385","10860","https://www.seattlecenter.org","Providing financial support for activities and events at Seattle Center, including Seattle/King County Clinic, free public programming, and Festal cultural festivals.","Arts, Culture, & Humanities",,,,,,,"Number Change","No",,,,,,,,
"Seattle Public Theater","7312 W Green Lake Dr N
Seattle, WA 98103
(47.682324, -122.341166)","91-1398805","9753","https://www.seattlepublictheater.org","Creating an inclusive community, actively engaging with ideas and people by producing compelling and socially relevant theater that sparks conversation.","Arts, Culture, & Humanities",,,,"https://www.guidestar.org/profile/91-1398805",,,"Returning","No",,,"https://www.guidestar.org/profile/91-1398805",,,,,
"Second Chance Dogs",,"27-0913466","10841","https://www.secondchancedogs.net","Our mission is to rescue, rehab and retrain in order to find fur-loving furever homes for our dogs.","Animals",,,,,,,"Number Change","No",,,,,,,,
"Showers of Blessing Evangelistic Ministry USA","41817 Albrae St
Fremont, CA 94538
(37.514202, -121.976504)","94-3401188","9572","https://www.sobem.us","Using different media including television broadcast, internet, radio and telephone to reach people. Produce DVD on true life stories. Started service in Washington in 2004.","Spiritual Development",,,,,,,"Returning","No",,,,,,,,
"SnoValley Tilth",,"90-0119317","9880","https://www.snovalleytilth.org","Supports organic & sustainable food & fiber production in the Snoqualmie and Snohomish watersheds. We bring together farmers & the community to build a thriving local food system.","Food & Hunger",,"Environment",,"https://www.guidestar.org/profile/90-0119317",,,"Returning","No",,,"https://www.guidestar.org/profile/90-0119317",,,,,
"Special Operations Warrior Foundation",,"52-1183585","2800","https://www.specialops.org","Provide scholarship grants and counseling to children of special operations who die in the line of duty. Provide financial assistance to wounded special operations personnel.","Emergency & Disaster Services",,,,,,,"Returning","No",,,,,,,,
"The Sophia Way","11061 NE 2nd St Ste 223
Bellevue, WA 98004
(47.611976, -122.192314)","45-4084539","5726","https://sophiaway.org/","To end homelessness for women by providing shelter, social services, and permanent housing with support.","Housing & Employment",,"Food & Hunger",,"https://www.guidestar.org/profile/45-4084539",,,"Returning","No",,,"https://www.guidestar.org/profile/45-4084539",,,"Women & Girls",,
"United Methodist Committee on Relief (UMCOR)","458 Ponce De Leon Ave NE Room #229
Atlanta, GA 30308
(33.773242, -84.372485)","82-1449602","3512","https://www.umcor.org","Compelled by Christ to be a voice of conscience on behalf of the people called Methodist to alleviate human suffering and advance hope.","International Relief & Development","Health (General)","Community Development",,"https://www.guidestar.org/profile/82-1449602",,,"Returning","No",,,"https://www.guidestar.org/profile/82-1449602",,,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Women & Girls"
"Unleash The Brilliance",,"91-2138554","9906","https://www.utbteens.com","Reduce at-risk behaviors, increase school attendance & graduation rates. Empower youth to make positive decisions & reduce the number caught in the school-to-prison pipeline.","Arts, Culture, & Humanities","Social & Economic Justice","Education & Literacy",,,,,"Returning","No",,,,,,"Children & Youth","Economically Disadvantaged People","LGBTQIA"
"Voice of the Martyrs Inc.","1815 SE Bison Rd
Bartlesville, OK 74006
(36.722534, -95.89928)","73-1395057","4194","https://www.persecution.com","Serving over 4 million persecuted Christians in 68 nations; empowering, equipping, & encouraging; bringing Christ's hope through Bibles, medicines, shelter, training & aid.","Spiritual Development","Housing & Employment","Community Development",,"https://www.guidestar.org/profile/73-1395057",,,"Number change","No",,,"https://www.guidestar.org/profile/73-1395057",,,"Economically Disadvantaged People","Women & Girls","Children & Youth"
"Washington Wild","305 N 83rd St
Seattle, WA 98103
(47.689122, -122.355039)","91-1102692","2573","https://www.wawild.org","Protecting our forests, rivers and wildlife through effective organizing, public education and advocacy. Your voice for a wild Washington since 1979!","Environment",,,,,,,"Returning","No",,,,,,,,
"Wildlife Conservation Society",,"13-1740011","2524","https://www.wcs.org","Saves endangered species and threatened ecosystems in 60 countries; teaches through the Bronx Zoo and national science education.","Environment",,,,,,,"Returning","No",,,,,,,,
"World Food Program USA","1725 I St NW Ste 510
Washington, DC 20006
(38.901311, -77.040354)","13-3843435","3596","https://www.wfpusa.org","The world’s largest humanitarian organization, to feed the world’s hungriest people.","International Relief & Development","Community Development","Food & Hunger",,"https://www.guidestar.org/profile/13-3843435",,,"New","No",,,"https://www.guidestar.org/profile/13-3843435",,,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Children & Youth"
"Lupus Foundation of America, Washington","1601 5th Ave Ste 1100
Seattle, WA 98101
(47.611942, -122.33674)","43-1131436","4019","https://www.lupuspnw.org","The LFA, PNW is dedicated to improving the quality of life for all people affected by Lupus through programs of research, education, support and advocacy.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/43-1131436",,,"Returning","No",,,"https://www.guidestar.org/profile/43-1131436",,,"Children & Youth","Economically Disadvantaged People","Women & Girls"
"Rainier Scholars","2100 24th Ave S Ste 360
Seattle, WA 98144
(47.58408, -122.301654)","91-2045918","9477","https://www.rainierscholars.org","We provide low-income students of color with academic enrichment, leadership development & support to boost college graduation rates & grow new generations of diverse leaders.","Education & Literacy",,"Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8724","https://www.guidestar.org/profile/91-2045918","https://www.bbb.org/western-washington/Charity-Reviews/charity-education-and-literacy/rainier-scholars-in-seattle-wa-22388169",,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8724","https://www.guidestar.org/profile/91-2045918","https://www.bbb.org/western-washington/Charity-Reviews/charity-education-and-literacy/rainier-scholars-in-seattle-wa-22388169",,"Children & Youth","Economically Disadvantaged People","Immigrants, Migrants, Refugees"
"American Lung Association in Washington","5601 6th Ave S Ste 460
Seattle, WA 98108
(47.551431, -122.326929)","13-1632524","4059","https://www.lung.org","The mission of the American Lung Association is to save lives by improving lung health and preventing lung disease through research, education and advocacy.","Environment","Disease, Disorders, & Medical Research","Health (General)",,"https://www.guidestar.org/profile/13-1632524",,,"Returning","Yes",,,"https://www.guidestar.org/profile/13-1632524",,,"Children & Youth","Women & Girls","Seniors"
"Spina Bifida Association of America","1600 Wilson Blvd Ste 800
Arlington, VA 22209
(38.894307, -77.077247)","58-1342181","4040","https://www.spinabifidaassociation.org","Building a better and brighter future for all those impacted by Spina Bifida through education, advocacy, research, support, and clinical care.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/58-1342181",,,"Returning","No",,,"https://www.guidestar.org/profile/58-1342181",,,"People With Disabilities","Children & Youth","Women & Girls"
"Pacific Science Center Foundation","200 Second Ave N
Seattle, WA 98109
(47.619343, -122.352836)","91-0750867","2701","https://www.pacificsciencecenter.org","We bring science to life. We ignite curiosity in all ages and inspire creative thinking to fuel tomorrow's innovations, on our campus and in classrooms.","Education & Literacy",,,,,,,"Returning","No",,,,,,,,
"Liberty Road Foundation","16625 Redmond Way Ste M323
Redmond, WA 98052
(47.672888, -122.118103)","20-5121455","9655","https://www.libertyroadfoundation.org","Our mission is to connect people and businesses with partnering nonprofits for the transformation of all, restoring hope, dignity and significance.","Youth Development","Mental Health, Disabilities, & Substance Abuse","Food & Hunger","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=205121455","https://www.guidestar.org/profile/20-5121455","https://www.give.org/search/?term=liberty%20road%20foundation",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=205121455","https://www.guidestar.org/profile/20-5121455","https://www.give.org/search/?term=liberty%20road%20foundation",,"Children & Youth",,
"South Park Senior Center","8201 10th Ave So Ste #4
Seattle, WA 98108
(47.529579, -122.32024)","91-1317638","9761","https://www.spseniors.org","SPSC serves the Seniors of our community by creating positive opportunities for healthy aging through supportive services, physical activity, healthy meals, and social engagement.","Food & Hunger",,"Health (General)","https://www.charitynavigator.org/index.cfm?keyword_list=91-1317638&bay=search.results","https://www.guidestar.org/profile/91-1317638",,,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?keyword_list=91-1317638&bay=search.results","https://www.guidestar.org/profile/91-1317638",,,"Seniors","Economically Disadvantaged People","Asian, Asian American"
"Washington State Fair Foundation","110 9th Ave SW
Puyallup, WA 98371
(47.184477, -122.297007)","26-1250496","9706","https://www.thefair.com/community","The Washington State Fair Foundation financially supports the scholarship and educational programs of the Fair, and preserves and improves the Fair for future generations.","Education & Literacy","Youth Development","Community Development",,,,,"New","No",,,,,,"Children & Youth",,
"Northwest Community Bail Fund",,"83-1096468","10811","https://www.nwcombailfund.org","We post bail for indigent individuals who are held on inaccessible bail amounts, resulting in damaged work and social connections, and an increased pressure to plead guilty.","Social & Economic Justice",,,"https://www.charitynavigator.org/ein/831096468","https://www.guidestar.org/profile/83-1096468",,,"Number Change","No",,"https://www.charitynavigator.org/ein/831096468","https://www.guidestar.org/profile/83-1096468",,,"Incarcerated People",,
"Asian Counseling and Referral Service","3639 Martin Luther King Jr Way S
Seattle, WA 98144
(47.571682, -122.297021)","91-0916176","9036","https://www.acrs.org/","Provides community-based culturally competent, language-appropriate services to Asian Americans, Pacific Islanders and other underserved individuals.","Mental Health, Disabilities, & Substance Abuse",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910916176","https://www.guidestar.org/profile/91-0916176","https://www.bbb.org/western-washington/charity-reviews/charity-human-services-ie-assistance-to-individuals-and-families/acrs-in-seattle-wa-73000374",,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910916176","https://www.guidestar.org/profile/91-0916176","https://www.bbb.org/western-washington/charity-reviews/charity-human-services-ie-assistance-to-individuals-and-families/acrs-in-seattle-wa-73000374",,"Asian, Asian American","Immigrants, Migrants, Refugees","Economically Disadvantaged People"
"Greyhound Pets, Inc.",,"82-0434711","9935","https://www.greyhoundpetsinc.org","GPI is dedicated to the welfare of greyhounds & sighthound mixes, serving the Pacific Northwest and Southwestern Canada. We find responsible, loving homes for the dogs in our care.","Animals",,,,,,,"Returning","No",,,,,,,,
"Third Place Commons",,"91-2054524","9793","https://thirdplacecommons.org","Fosters strong community by hosting hundreds of free events including live music, dance, art, lectures, group meet-ups, & farmers market with low-income food assistance program.","Arts, Culture, & Humanities","Recreation, Sports, Leisure, & Athletics","Food & Hunger","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912054524","https://www.guidestar.org/profile/91-2054524",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912054524","https://www.guidestar.org/profile/91-2054524",,,,,
"World Vision","34834 Weyerhaeuser Way S
Federal Way, WA 98063
(47.289521, -122.292284)","95-1922279","3564","https://www.worldvision.org","Helping children by tackling causes of poverty and developing access to clean water, food, health care, education and economic opportunity.","International Relief & Development","Human & Civil Rights","Community Development","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4768","https://www.guidestar.org/profile/95-1922279","https://www.give.org/charity-reviews/national/child-sponsorship/world-vision-in-federal-way-wa-12791",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4768","https://www.guidestar.org/profile/95-1922279","https://www.give.org/charity-reviews/national/child-sponsorship/world-vision-in-federal-way-wa-12791",,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Children & Youth"
"Rite of Passage Journeys",,"35-2283871","10041","https://www.riteofpassagejourneys.org/","Mentor youth, adults & elders through life transitions, initiating soulful leaders for the next generation. Foster self-discovery, community and connection with the natural world.","Youth Development","Spiritual Development","Education & Literacy","https://www.charitynavigator.org/ein/352283871","https://www.guidestar.org/profile/35-2283871","https://www.bbb.org/charity-reviews/greatwestpacific/rite-of-passage-journeys-in-seattle-wa-22209573",,"New","No",,"https://www.charitynavigator.org/ein/352283871","https://www.guidestar.org/profile/35-2283871","https://www.bbb.org/charity-reviews/greatwestpacific/rite-of-passage-journeys-in-seattle-wa-22209573",,"Children & Youth","Seniors","LGBTQIA"
"Direct Relief","27 S La Patera Ln
Santa Barbara, CA 93117
(34.437423, -119.842441)","95-1831116","2843","https://www.directrelief.org","Providing essential medical resources to the most vulnerable communities in the U.S. and worldwide, improving health and transforming lives.","Food & Hunger",,,,,,,"Returning","No",,,,,,,,
"LGBTQ Allyship","3518 S Edmunds St
Seattle, WA 98118
(47.558649, -122.287996)","82-4163307","10971","https://LGBTQAllyship.org","Builds power among LGBTQ communities and allies in Washington State to work towards economic, housing, racial, and gender justice.","Social & Economic Justice","Community Development","Housing & Employment","https://www.charitynavigator.org/index.cfm?keyword_list=LGBTQ+Allyship&bay=search.results","https://www.guidestar.org/profile/82-4163307","https://www.give.org/search/?term=LGBTQ%20Allyship",,"Number Change","Yes",,"https://www.charitynavigator.org/index.cfm?keyword_list=LGBTQ+Allyship&bay=search.results","https://www.guidestar.org/profile/82-4163307","https://www.give.org/search/?term=LGBTQ%20Allyship",,"LGBTQIA","Economically Disadvantaged People","People With Disabilities"
"Southwest Youth and Family Services","4555 Delridge Way SW
Seattle, WA 98106
(47.562063, -122.36318)","91-1117862","9226","https://www.swyfs.org","We partner with youth & families to transform their futures. Programs include: youth development, education, behavioral health services & family support and advocacy.","Education & Literacy",,"Mental Health, Disabilities, & Substance Abuse",,"https://www.guidestar.org/profile/91-1117862",,,"Returning","Yes",,,"https://www.guidestar.org/profile/91-1117862",,,"Children & Youth","Economically Disadvantaged People","Immigrants, Migrants, Refugees"
