Organization Name,Location,Category,Tax Identification Number,Short Description,Category 2,Category 3,City Kc Area,Zip Codes,2017 Census Tracts WA State
ADEFUA,"6716 Rainier Ave S
Seattle, WA 98118
(47.541921, -122.272431)",Community Development,91-1641230,"Providing cultural awareness of developing and maintaining relationships with community agencies, cultural councils, school districts, families and education-focused organizations.","Arts, Culture, & Humanities",Health (General),101,18800,407
Adopt-A-Stream Foundation,"600 128th St SE
Everett, WA 98208
(47.881988, -122.224284)",Environment,91-1333737,"Help us protect Northwest Salmon and Trout habitat. We train people of all ages to become Streamkeepers who will preserve our watersheds, wetlands, and streams.",,,,18246,287
Advocates for Success in Africa,"1815 166th Ave NE
Bellevue, WA 98008
(47.627113, -122.11891)",International Relief & Development,46-2199590,"Bringing effective support to vulnerable people in Zambia through educational scholarships, vocational training programs, & the building of medical & educational facilities.",Education & Literacy,,6,31854,825
African Community Housing & Development,"16256 Military Rd S Ste 206
SeaTac, WA 98188
(47.456971, -122.282265)",Housing & Employment,83-1665288,Striving towards prosperity for the African Diaspora immigrant and refugee community of South King County.,Community Development,Social & Economic Justice,92,18231,842
African Wildlife Foundation,"1400 16th St NW Ste 120
Washington, DC 20036
(38.909145, -77.036526)",Environment,52-0781390,"Protects imperiled species through habitat conservation, science, leadership training and wildlife-friendly community-beneficial business development.",Animals,,,4499,
Africatown Community Land Trust,"1437 S Jackson St
Seattle, WA 98144
(47.599224, -122.312018)",Community Development,82-1710458,"Our organization was formed to acquire, steward and develop land assets that are necessary for the Black/African diaspora community to grow and thrive.",Housing & Employment,Social & Economic Justice,101,17919,13
AgForestry,"2702 W Sunset Blvd Ste B
Spokane, WA 99224
(47.64921, -117.451946)",Education & Literacy,91-1016445,"We are a leadership development organization. We cultivate leaders in agriculture, forestry and natural resources who communicate, collaborate, inspire and serve.",Community Development,Environment,,31473,1045
Agros International,"2225 4th Ave 2nd Fl
Seattle, WA 98121
(47.615195, -122.343654)",International Relief & Development,91-1276578,"Inspired by Jesus’ teachings, we break the cycle of poverty and create pathways to prosperity for farming families in rural Latin America through economic and social development.",Social & Economic Justice,Food & Hunger,101,19576,779
Aid For Starving Children,,Food & Hunger,52-1224507,Thank you for donating to Aid for Starving Children! Together we are helping to make a difference in the lives of children and families.,,,,,
AIDS Research Foundation (amfAR),"120 Wall St 13th Fl
New York, NY 10005
(40.704382, -74.00645)","Disease, Disorders, & Medical Research",13-3163817,Invests in AIDS and COVID-19 research; advocates increased funding for research/prevention/treatment and protecting the rights of all people affected by HIV/AIDS.,Social & Economic Justice,Health (General),,11726,
Alaska Conservation Foundation,"911 W 8th Ave Ste 300
Anchorage, AK 99501
(61.214611, -149.900207)",Environment,92-0061466,The only public foundation dedicated to connecting donors worldwide to on-the-ground efforts to protect Alaska's wild places and wildlife.,,,,19456,
Alchemy Skateboarding,"311 S 7th St
Tacoma, WA 98402
(47.257586, -122.442036)","Recreation, Sports, Leisure, & Athletics",46-2756372,Mission: Providing opportunities for youth to learn and grow through skateboarding.,"Arts, Culture, & Humanities",Education & Literacy,,12600,941
Alexander Hamilton Scholars,,Education & Literacy,34-2011733,"Empowering high-achieving, underserved young leaders to attend, thrive, & graduate college. Creating a community of ethical leaders who break barriers to build an equitable world.",Youth Development,Social & Economic Justice,,,
Alight (formerly American Refugee Committee),"615 First Ave NE Ste 500
Minneapolis, MN 55413
(44.990717, -93.252115)",International Relief & Development,36-3241033,"Works closely with refugees, trafficked persons, and economic migrants to co-design solutions that help them build full and fulfilling lives.",Health (General),Emergency & Disaster Services,,25809,
All Aboard Washington,,Environment,91-1638048,"We champion safe, reliable, frequent, competitive, and convenient passenger rail services that meet the needs of all Washingtonians.",Community Development,Social & Economic Justice,,,
Alley Cat Project,,Animals,38-3837142,To improve the lives of cats in the City of Seattle by reducing overpopulation through trap-neuter-release (TNR) of unowned community cats in Seattle.,Environment,Social & Economic Justice,,,
Alliance Defending Freedom,"15100 N 90th St
Scottsdale, AZ 85260
(33.623351, -111.887032)",Legal Advocacy,54-1660459,"A legal alliance defending the right to hear and speak the Truth in the areas of religious liberty, family values, and sanctity of life.",Spiritual Development,Social & Economic Justice,,3349,
Alliance for Education,"509 Olive Way Ste 500
Seattle, WA 98101
(47.613134, -122.336281)",Social & Economic Justice,91-1508191,Our mission is to support excellence in education by advancing educational justice and racial equity for the students in Seattle Public Schools.,Education & Literacy,,101,18081,397
Alliance of People with disAbilities,"1401 E Jefferson St Ste 506
Seattle, WA 98122
(47.606187, -122.31379)",Social & Economic Justice,91-1011821,To provide independent living resources and advocate for the well-being and assure full exercise of human rights of persons with disAbilities.,"Mental Health, Disabilities, & Substance Abuse",Housing & Employment,101,19578,400
Alpha One Foundation,"3300 Ponce de Leon Blvd
Coral Gables, FL 33134
(25.741076, -80.258436)","Disease, Disorders, & Medical Research",65-0585415,The Alpha-1 Foundation is committed to finding a cure for Alpha-1 Antitrypsin Deficiency and to improving the lives of people affected by Alpha-1 worldwide.,Health (General),Community Development,,24462,
Alpha Supported Living Services,"16030 Juanita-Woodinville Way NE
Bothell, WA 98011
(47.744626, -122.184947)","Mental Health, Disabilities, & Substance Abuse",91-0933802,Provide 24/7 support for people with developmental and intellectual disabilities to reach their full potential as individuals and community members.,Housing & Employment,Health (General),7,32443,422
ALS Association,"1300 Wilson Blvd Ste 600
Arlington, VA 22209
(38.894784, -77.072775)","Disease, Disorders, & Medical Research",13-3271855,"The ALS Association leads the fight against Lou Gehrig's Disease through research, advocacy and compassionate care and support of people with ALS and their families.",Health (General),Community Development,,30391,
"ALS Association, Evergreen Chapter","19226 66th Ave S Ste L105
Kent, WA 98032
(47.428484, -122.251283)","Disease, Disorders, & Medical Research",91-1950869,"Improving quality of life for those living with ALS, support and researching a cure. ALS (aka Lou Gehrig’s Disease) is a fatal, incurable neurodegenerative disease.",Health (General),Community Development,76,17370,842
"ALS Association, Oregon and SW Washington Chapter","700 NE Multnomah St Ste 210
Portland, OR 97232
(45.531498, -122.658166)","Disease, Disorders, & Medical Research",68-0516066,"Our mission is to discover ALS treatments and cures while also providing free medical assistance, resources, equipment, and more to people with ALS in our community.",Health (General),Community Development,,29652,
Alternative Humane Society,,Animals,91-1551706,All-volunteer nonprofit animal welfare org dedicated to improving the lives of dogs and cats and helping them find and stay in permanent loving homes.,,,,,
Alzheimer's Association,"225 N Michigan Ave Ste 1700
Chicago, IL 60601
(41.886364, -87.624432)",Health (General),13-3039601,"We lead the way to end Alzheimer's and all other dementia—by accelerating global research, driving risk reduction and early detection, and maximizing quality care and support.","Disease, Disorders, & Medical Research",Community Development,,14309,
"Alzheimer's Association, Washington State Chapter","19031 33rd Ave W Ste 301
Lynnwood, WA 98036
(47.82561, -122.277741)",Health (General),13-3039601,"The Alzheimer’s Association is the leading voluntary health organization in Alzheimer’s care and support and the largest private, nonprofit funder of Alzheimer’s research.","Disease, Disorders, & Medical Research",Community Development,,17787,1155
Alzheimer's Disease Research,"22512 Gateway Center Dr
Clarksburg, MD 20871
(39.227559, -77.278421)","Disease, Disorders, & Medical Research",23-7337229,"We drive innovative research worldwide and promote public awareness about Alzheimer's disease, risk factors, treatments, and coping strategies.",,,,32682,
Alzheimer's Research and Prevention Foundation,,Health (General),86-0735832,Help fight Alzheimer's disease and find a cure through research and prevention! Committed to ensuring peak mental performance and optimum brain function throughout our lives.,,,,,
Amara,"5907 Martin Luther King Jr Way S
Seattle, WA 98118
(47.549437, -122.287312)",Youth Development,91-0577487,"We have a bold vision for our child welfare system. We address trauma, build connections, and ensure that children and families feel safe & supported, with a commitment to equity.",,,101,18800,698
American Association for Cancer Research,"615 Chestnut St 17th Fl
Philadelphia, PA 19106
(39.94935, -75.151669)",Health (General),23-6251648,"We fund groundbreaking scientific cancer research that saves lives. By contributing, you can help speed up the pace of scientific discovery, and fight cancer.",,,,2182,
American Battlefield Trust,"1156 15th St NW Ste 900
Washington, DC 20005
(38.905335, -77.03458)",Education & Literacy,54-1426643,"We work tirelessly to preserve and protect our nation's Revolutionary War, War of 1812, and Civil War battlefields from development and destruction.",,,,25078,
American Bible Society,"101 N Independence Mall E 8th Fl
Philadelphia, PA 19106
(39.952581, -75.148487)",Spiritual Development,13-1623885,"Making the Bible available to everyone in a language and format they can understand and afford, so they may experience its life-changing message.",International Relief & Development,Youth Development,,2182,
American Bird Conservancy,"4249 Loudoun Ave
The Plains, VA 20198
(38.863105, -77.771945)",Environment,52-1501259,"Conserve native birds and their habitats across the Americas. In doing so, we benefit not only American birds but all other species as well.",Animals,,,1866,
American Cancer Society,"250 Williams St NW
Atlanta, GA 30303
(33.761322, -84.39055)","Disease, Disorders, & Medical Research",13-1788491,"In addition to breakthrough research, we provide patients free rides to their treatments, free lodging at one of our 33+ Hope Lodges and 24/7 live support.",Health (General),Community Development,,5420,
"American Cancer Society, Seattle","2120 First Ave N
Seattle, WA 98109
(47.637841, -122.35562)","Disease, Disorders, & Medical Research",13-1788491,"We are accelerating progress against cancer in every community by saving lives, helping those touched by cancer, and empowering people to fight back against cancer.",Health (General),Community Development,101,18390,45
American Center for Law and Justice,"1000 Regent University Dr
Virginia Beach, VA 23464
(36.804775, -76.193719)",Human & Civil Rights,54-1586817,"Specializing in constitutional law, we are dedicated to the concept that freedom & democracy are God-given inalienable rights that must be protected.",Legal Advocacy,Social & Economic Justice,,3562,
"American Civil Liberties Union Foundation, Inc.","125 Broad St 18th Fl
New York, NY 10004
(40.702024, -74.011234)",Human & Civil Rights,13-6213516,"The nation's foremost defender of civil liberties. Defends constitutional rights. Protects minorities, women, immigrants, the poor.",Legal Advocacy,Social & Economic Justice,,11725,
American Cleft Palate - Craniofacial Association,"1504 E Franklin St Ste 102
Chapel Hill, NC 27514
(35.929861, -79.033953)",Health (General),43-0793521,"Oral cleft and craniofacial conditions education, support, research, advocacy and interdisciplinary team care.",,,,1112,
American Council of the Blind,"1703 N Beauregard St Ste 420
Alexandria, VA 22311
(38.83201, -77.123896)","Disease, Disorders, & Medical Research",58-0914436,"Our mission is to increase the independence, security, equality of opportunity, and quality of life for all blind and visually impaired people.",Human & Civil Rights,Health (General),,12446,
American Diabetes Association,"2451 Crystal Dr Ste 900
Arlington, VA 22202
(38.852223, -77.049813)","Disease, Disorders, & Medical Research",13-1623888,"Committed to finding a cure for diabetes, improving care, and providing information and support to help fight diabetes through research, community programs and advocacy.",Education & Literacy,Health (General),,23403,
"American Diabetes Association, Washington","180 Nickerson St Ste 309
Seattle, WA 98109
(47.648001, -122.353887)",Health (General),13-1623888,"Committed to finding a cure for diabetes, improving care and providing information and support to help Stop Diabetes® through research, community programs and advocacy.","Disease, Disorders, & Medical Research",Community Development,101,18390,1263
American Family Association Inc.,,Spiritual Development,64-0607275,"Educates Christians through radio, video, internet and print on issues affecting families. Examples: media indecency, abortion, entertainment, education, and parenting.",Education & Literacy,Community Development,,,
American Farmland Trust,"1200 18th St NW Ste 800
Washington, DC 20036
(38.90595, -77.041689)",Environment,52-1190211,"Helps farmers and ranchers protect their land from development, produce a healthier environment, and build successful communities.",,,,4499,
American Forests,"734 15th St NW Ste 800
Washington, DC 20005
(38.899578, -77.033646)",Environment,53-0196544,"Focused exclusively on protection and restoration of America's forests. We plant trees, educate the public and advocate for sound public policy.",,,,25078,
American Foundation for Suicide Prevention,"199 Water St 11th Fl
New York, NY 10038
(40.707097, -74.004621)","Mental Health, Disabilities, & Substance Abuse",13-3393329,We are dedicated to saving lives and bringing hope to those affected by suicide.,Health (General),"Disease, Disorders, & Medical Research",,13096,
American Heart Association,"7272 Greenville Ave
Dallas, TX 75231
(32.878439, -96.760239)","Disease, Disorders, & Medical Research",13-5613797,"We fight heart disease and stroke – the world’s two leading causes of death – through innovative research, public education/training, changes to public policy.",Health (General),Community Development,,19377,
American Heart Association (Puget Sound),"710 Second Ave #900
Seattle, WA 98104
(47.603221, -122.333367)","Disease, Disorders, & Medical Research",13-5613797,"Everyone deserves the opportunity for a full, healthy life. As champions for health equity, we will advance cardiovascular health for all, by identifying & removing barriers.",Health (General),,101,18379,399
"American Heart Association, Western States Affiliate, Washington, Spokane","140 S Arthur Ste 610
Spokane, WA 99202
(47.654936, -117.395255)","Disease, Disorders, & Medical Research",13-5613797,"World’s largest voluntary health organization dedicated to preventing, treating and defeating heart disease and stroke - world’s No. 1 & 2 cause of death.",Health (General),Community Development,,31461,1169
"American Heart Association, Western States Affiliate, Washington, Tacoma","1142 Broadway Ste 120
Tacoma, WA 98402
(47.251566, -122.43968)","Disease, Disorders, & Medical Research",13-5613797,"World’s largest voluntary health organization dedicated to preventing, treating and defeating heart disease and stroke - world’s No. 1 & 2 cause of death.",Health (General),Community Development,,12600,941
American Indian College Fund,"8333 Greenwood Blvd
Denver, CO 80221
(39.848051, -104.996613)",Education & Literacy,52-1573446,Native Americans account for only 1% of college students. Scholarships/program support. Let's reimagine what's possible for our students.,,,,20981,
American Indian Youth Running Strong,"8301 Richmond Highway Ste 200
Alexandria, VA 22309
(38.73289, -77.100633)",Youth Development,54-1594578,"Providing relief, development to Indian Reservations. Teaching traditional life skills, healthy lifestyles, respect for Mother Earth.",,,,12443,
American Jewish World Service,"45 W 36th St 11th Fl
New York, NY 10018
(40.750459, -73.985371)",International Relief & Development,22-2584370,"Inspired by the Jewish commitment to justice, we work to realize human rights and end poverty in the developing world.",Human & Civil Rights,Community Development,,12080,
American Kidney Fund,"11921 Rockville Pike Ste 300
Rockville, MD 20852
(39.051419, -77.1154)",Health (General),23-7124261,"We fight kidney disease on all fronts by addressing education, advocacy, financial assistance, prevention, research; spending 97 cents of every donated dollar on programs.","Disease, Disorders, & Medical Research",Community Development,,32430,
American Liver Foundation,"39 Broadway
New York, NY 10006
(40.706271, -74.012925)",Health (General),36-2883000,"The nation's leading nonprofit that facilitates, advocates and promotes education, support and research for prevention, treatment and cure of liver disease.","Disease, Disorders, & Medical Research",Community Development,,11725,
American Lung Association,"55 W Wacker Dr Ste 1150
Chicago, IL 60601
(41.88685, -87.629811)",Environment,13-1632524,"The mission of the American Lung Association is to save lives by improving lung health and preventing lung disease through research, education and advocacy.",Health (General),"Disease, Disorders, & Medical Research",,14309,
American Lung Association in Washington,"5601 6th Ave S Ste 460
Seattle, WA 98108
(47.551431, -122.326929)",Environment,13-1632524,"The mission of the American Lung Association is to save lives by improving lung health and preventing lung disease through research, education and advocacy.",Health (General),"Disease, Disorders, & Medical Research",101,18388,406
American Nurses Foundation,"8515 Georgia Ave Ste 400
Silver Spring, MD 20910
(38.994566, -77.02677)",Health (General),13-1893924,"As the philanthropic arm of the American Nurses Association (ANA), our vision is to achieve 'a healthy world through the power of nursing' via our programming and research funding.",Education & Literacy,"Disease, Disorders, & Medical Research",,2324,
American Parkinson Disease Association,"135 Parkinson Ave
Staten Island, NY 10305
(40.5981, -74.083718)",Education & Literacy,13-1962771,"Dedicated to funding Parkinson's research, providing comprehensive medical information, extensive public/professional education and support services.",Health (General),"Disease, Disorders, & Medical Research",,10692,
American Red Cross Northwest Region,"1900 25th Ave S
Seattle, WA 98144
(47.585907, -122.300346)",Emergency & Disaster Services,53-0196605,The American Red Cross prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.,Community Development,,101,17919,771
Americans Helping Americans,"8301 Richmond Highway Ste 100
Alexandria, VA 22309
(38.73289, -77.100633)",Food & Hunger,54-1594577,"Aiding needy Appalachian and urban Americans; providing low-income families, elderly, and veterans with basic relief, educational support and affordable housing.",,,,12443,
Americares,"88 Hamilton Ave
Stamford, CT 6902
(41.063632, -73.519455)",International Relief & Development,06-1008595,To save lives and improve health for people affected by poverty or disaster so they can reach their full potential.,"Mental Health, Disabilities, & Substance Abuse",Emergency & Disaster Services,,5883,
America's Best Local Charities,"1100 Larkspur Landing Circle #108
Larkspur, CA 94939
(37.948257, -122.509914)",Health (General),94-3042430,"Making your community a better place to live. ABLC charities educate children, feed and shelter the homeless, strengthen families, rescue unwanted animals and much more.",,,,1836,
America's Charities,"14150 Newbrook Dr Ste 110
Chantilly, VA 20151
(38.87406, -77.436136)",Youth Development,54-1517707,"Working to build strong communities. Addressing needs of children, families, communities by helping employers and employees support our member charities' programs.",Health (General),Animals,,29438,
"Amigos de las Americas, Seattle Chapter",,Community Development,23-7209800,"We inspire and build young leaders through immersion summers in Latin American communities where they teach local children, collaborate with community leaders and partner agencies.","Arts, Culture, & Humanities",,,,
Amnesty International USA,"311 W 43rd St 7th Fl
New York, NY 10036
(40.75827, -73.990148)",Human & Civil Rights,52-0851555,Our history spans 50+ years and includes a presence in over 70 countries and 7 million supporters. We defend the human rights of people globally.,Legal Advocacy,Social & Economic Justice,,13094,
Amref Health Africa,"75 Broad St Ste 703
New York, NY 10004
(40.704682, -74.011544)",International Relief & Development,13-1867411,We train local health workers and provide health services to meet the continent's dynamic and critical health needs.,Health (General),Community Development,,11725,
Anera (American Near East Refugee Aid),"1111 14th St NW Ste 400
Washington, DC 20005
(38.904238, -77.031938)",International Relief & Development,52-0882226,Humanitarian assistance and sustainable development to advance the well-being of refugees and other vulnerable communities in the Middle East.,Education & Literacy,Health (General),,25078,
ANEW,"550 SW 7th St Ste B303
Renton, WA 98057
(47.473748, -122.224002)",Community Development,91-1122763,"ANEW improves people’s lives by providing quality training, employment navigation and supportive services leading to successful family-wage careers.",Education & Literacy,Youth Development,100,17811,453
Angel Flight West,"3161 Donald Douglas Loop S
Santa Monica, CA 90405
(34.01631, -118.448518)",Health (General),95-3956297,"Angel Flight West arranges free air transportation for people needing to access medical care and other essential services, using volunteer pilots and airline partners.",Community Development,Emergency & Disaster Services,,25714,
Animal Aid and Rescue Foundation,,Animals,26-0332102,"We're committed to saving animals through fostering & adoption, giving food & emergency/basic veterinary care to low-income families & through outreach events in the community.",,,,,
Antioch University Seattle,"2400 3rd Ave Ste 200
Seattle, WA 98121
(47.61564, -122.346379)",Education & Literacy,31-0536640,"AUS provides learner-centered education to empower students with the knowledge and skills to lead meaningful lives and to advance social, economic, and environmental justice.",Social & Economic Justice,"Arts, Culture, & Humanities",101,19576,779
API Chaya,,Legal Advocacy,91-1674016,"Provides culturally relevant services to Asian, Pacific Islander and South Asian survivors of domestic violence and sexual assault, as well as all survivors of human trafficking.",Community Development,,,,
Arbor Day Foundation,"211 N 12th St
Lincoln, NE 68508
(40.815075, -96.704036)",Environment,23-7169265,"Plant trees in areas needing restoration while boosting employee & client engagement. Celebrate company milestones, achieve sustainability goals, & honor stakeholders.",Social & Economic Justice,Emergency & Disaster Services,,17856,
Arboretum Foundation,"2300 Arboretum Dr E
Seattle, WA 98112
(47.634757, -122.295053)",Environment,91-0613583,"We promote, protect, and enhance the Washington Park Arboretum for current and future generations by strengthening and building a diverse and engaged community.",Education & Literacy,,101,18789,776
Architects Without Borders Seattle,"1101 2nd Ave Ste 400
Seattle, WA 98101
(47.606013, -122.335918)",Community Development,20-3419971,"AWBS collaborates with underserved communities to deliver ecologically sensitive, culturally appropriate, life-changing design.",International Relief & Development,"Arts, Culture, & Humanities",101,18081,399
"Arc of Snohomish, The","2500 Hewitt Ave Ste 300
Everett, WA 98201
(47.979131, -122.19599)",Health (General),91-0991444,The resource of first choice for individuals with developmental disabilities and their families regardless of the diagnosis and at all stages of life.,Community Development,,,18238,1152
Arms Around You,"506 2nd Ave Ste 1400
Seattle, WA 98104
(47.601761, -122.33205)",Housing & Employment,81-4195345,"We provide housing and a safe environment of community support, education, and encouragement for formerly incarcerated individuals who are in reentry.",Social & Economic Justice,Community Development,101,18379,399
Arthritis Foundation,"1355 Peachtree St 6th Fl
Atlanta, GA 30309
(33.7915, -84.385701)",Health (General),58-1341679,"The Arthritis Foundation helps conquer battles through life-changing information and resources, access to care and advancements in science.",Community Development,"Disease, Disorders, & Medical Research",,5425,
"Arthritis Foundation, Great West Region, Washington, Bellingham","1329 N State St Ste 304
Bellingham, WA 98225
(48.749184, -122.475954)",Health (General),58-1341679,"The Arthritis Foundation helps conquer battles through life-changing information and resources, access to care and advancements in science.",Community Development,"Disease, Disorders, & Medical Research",,18644,1095
"Arthritis Foundation, Great West Region, Washington, Seattle","115 NE 100th St Ste 350
Seattle, WA 98125
(47.701364, -122.328346)",Health (General),58-1341679,"The Arthritis Foundation helps conquer battles through life-changing information and resources, access to care and advancements in science.",Community Development,"Disease, Disorders, & Medical Research",101,18792,647
Artist Trust,"1835 12th Ave
Seattle, WA 98122
(47.618596, -122.316916)","Arts, Culture, & Humanities",91-1353974,"Artist Trust supports Washington State artists across all disciplines with financial grants, business training, and online resources.",,,101,19578,781
Arts Corps,"4408 Delridge Way SW Ste 110
Seattle, WA 98106
(47.563912, -122.363362)","Arts, Culture, & Humanities",91-2044679,"Youth ages 5-19 experience the transformative power of creativity through free, culturally responsive art classes that narrow the race- and income-based arts gap in our region.",Social & Economic Justice,,101,18385,772
ArtsEd Washington,"500 Yale Ave N
Seattle, WA 98109
(47.623109, -122.330443)","Arts, Culture, & Humanities",91-1189441,"Creates enduring systemwide change to ensure that every student in every school receives arts education that will empower them to thrive in school, work, and life.",Education & Literacy,,101,18390,397
ArtsFund,"100 W Harrison St Ste 150
Seattle, WA 98119
(47.622111, -122.358452)","Arts, Culture, & Humanities",91-0839644,"Strengthens the community by supporting the arts through leadership, advocacy and grant making.",,,101,19575,1450
ArtsWest,"4711 California Ave SW
Seattle, WA 98116
(47.560704, -122.386791)","Arts, Culture, & Humanities",91-1440032,"ArtsWest produces artistic events that provoke conversation, incite the imagination and use live theater as a powerful agent of change.",Community Development,Education & Literacy,101,18795,1071
Ashley House,"33811 9th Ave S
Federal Way, WA 98003
(47.298566, -122.322268)",Health (General),94-3080307,"Comprehensive 24-hour nursing care for medically fragile children, teens and young adults in home-like settings. Provides family support, reintegration, and end-of-life care.","Mental Health, Disabilities, & Substance Abuse",,19,31847,492
Ashoka,"1700 N Moore St Ste 2000
Arlington, VA 22209
(38.895203, -77.071458)",International Relief & Development,51-0255908,"To advance an Everyone a Changemaker world, where anyone can apply the skills of changemaking to solve complex social problems.",Community Development,Social & Economic Justice,,30391,
Asian Counseling and Referral Service,"3639 Martin Luther King Jr Way S
Seattle, WA 98144
(47.571682, -122.297021)","Mental Health, Disabilities, & Substance Abuse",91-0916176,"Provides community-based culturally competent, language-appropriate services to Asian Americans, Pacific Islanders and other underserved individuals.",,,101,18388,403
ASPCA: American Society for the Prevention of Cruelty to Animals,"520 Eighth Ave 7th Fl
New York, NY 10018
(40.753763, -73.992331)",Animals,13-1623829,Staged dog fights to the death. Puppy factories with overcrowded and unsanitary breeding pens. Kittens tortured for amusement. Help stop these acts of animal cruelty.,,,,12080,
Assistance League of Seattle,"1415 N 45th St
Seattle, WA 98103
(47.661375, -122.339909)",Education & Literacy,91-6055119,All-volunteer organization that removes barriers to education for children and adults in Seattle through our three philanthropic programs.,"Arts, Culture, & Humanities",,101,18377,43
Assistance League of the Eastside,"16250 NE 74th St
Redmond, WA 98053
(47.670742, -122.123577)",Food & Hunger,91-1723025,Volunteer organization that puts caring into action through community-based programs to make a positive difference in the lives of children and adults hit by hardships or violence.,,,97,17806,514
Associated Recreation Council,"8061 Densmore Ave N
Seattle, WA 98103
(47.688019, -122.33775)",Community Development,51-0170717,"ARC's mission is to inspire engagement and participation in equitable, dynamic, culturally relevant, and responsive recreation and lifelong learning programs.","Recreation, Sports, Leisure, & Athletics","Arts, Culture, & Humanities",101,18377,1432
A Step Ahead in Pierce County,"10324 Canyon Rd E Ste #203
Puyallup, WA 98373
(47.162268, -122.357183)",Education & Literacy,91-2145470,We support families of infants and toddlers with special needs by enhancing their development and relationships both at home and in the community.,Community Development,,,4850,266
Athletes for Kids,"3020 Issaquah Pine Lake Rd SE #254
Sammamish, WA 98075
(47.581974, -122.033793)",Youth Development,81-0552451,A unique youth mentoring program that matches children who have disabilities with high school athletes to learn from one another and positively impact each other's lives.,"Mental Health, Disabilities, & Substance Abuse",Community Development,81,18076,311
Atlantic Street Center,"2103 S Atlantic St
Seattle, WA 98144
(47.589562, -122.304661)",Legal Advocacy,91-0568710,"ASC provides services to low-income children, youth and families in the areas of Early Learning, Youth Development, Family Support and Mental Health Counseling.","Mental Health, Disabilities, & Substance Abuse",Housing & Employment,101,17919,1229
Atlas Assistance Dogs,,"Mental Health, Disabilities, & Substance Abuse",81-1852987,We help people with disabilities overcome obstacles to obtaining a service dog by helping them train their own service dog and providing the support to ensure they succeed.,Health (General),Social & Economic Justice,,,
Attain Housing,"125 State St S
Kirkland, WA 98033
(47.674274, -122.202325)",Housing & Employment,91-1481848,"Provides transitional housing, case management, and rental assistance services to homeless and at-risk families in King County.",,,77,17373,424
