"investment_area","indicator","area","url","description","sort"
"5-24","Adult support","Secondary","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/coo-adult-support.aspx","<p>Percent of students in grades 8, 10, and 12 who report having an adult in their neighborhood or community they could talk to about something important.</p>
<p>Percent of children in elementary school who have at least one other adults in their school, neighborhood, or community who know them well and child can rely on for advice and guidance.</p>","2"
"5-24","Belief in ability to succeed","Secondary",,"<p>Percent of students in grades 8, 10, and 12 who have a medium high or high quality of life index. Includes positive self-identity. Questions are:</p>
<ol><li>I feel I am getting along with my parents or guardians</li><li>I look forward to the future</li><li>I’m satisfied with the way my life is now</li><li>I feel alone in my life</li><li>I feel good about myself</li></ol>","2"
"5-24","Chronic absenteeism","Secondary","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/chronic-absenteeism.aspx","<p>Percent of students that miss 18 or more school days in a school year for any reason, excused or unexcused.</p>","2"
"5-24","Civic activity","Secondary","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/coo-civic-activity.aspx","<p>Percent of young adults ages 18-24 who are registered to vote and vote in elections.</p>","2"
"5-24","College success","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/college-success.aspx","<p><span>Percent of high school graduates who complete a two- or four-year degree within six years of high school graduation.</span></p>","2"
"5-24","Education and employment","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/education-employment.aspx","<p><span>Percent of youth and young adults ages 16-24 who are in school or working.</span></p>","2"
"5-24","Flourishing and resilient","Headline","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-flourishingandresilientK-5binary/Summary","<p>Youth who are flourishing and resilient, as described by curiosity and discovery about learning, resilience, and self-regulation.</p>
<p>Percent of elementary-aged children who met these areas:</p>
<ol><li>This child shows interest and curiosity in learning new things</li><li>This child works to finish tasks he or she starts</li><li>This child stays calm and in control when faced with a challenge</li></ol>","2"
"5-24","Good grades in school","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-grades_0/Summary","<p><span>Percent of students in grades 8, 10, and 12 who report grades in school of mostly A’s or B’s.</span></p>","2"
"5-24","High school graduation","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/high-school-graduation.aspx","<p><span>Percent of entering 9th graders who graduate from high school within four years.</span></p>","2"
"5-24","Justice system involvement","Secondary",,"<p><span>Percent of youth with justice system involvement.</span></p>","2"
"5-24","Physical activity","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-physicalactivity/Summary","<p>Percent that meet physical activity recommendations. For youth, the recommendation is 60 minutes every day.</p>","2"
"5-24","Quality child care/out-of-school care","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-qualitychildcare-combined/Summary","<p><span>Percent of children attending out-of-school care whose caregivers agree with several statements related to affordability, the learning environment, and the mix of backgrounds at the care site.</span></p>","2"
"5-24","Quality of life","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/quality-of-life.aspx","<p>Percent of middle and high school students who report a high quality of life based on the composite of:</p>
<p>1. I feel I am getting along with my parents or guardians (0=not true at all,….10 = completely true)</p> 
<p>2. I look forward to the future (0=not true at all,….10 = completely true)</p> 
<p>3. I feel good about myself (0=not true at all,….10 = completely true)</p> 
<p>4. I am satisfied with the way my life is now (0=not true at all,….10 = completely true)</p> 
<p>5. I feel alone in my life (0=not true at all,….10 = completely true)</p>","2"
"5-24","Receive needed mental and behavioral health services","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKsecondarydashboard-receivedmentalhealthservices/Summary","<p><span>Percent of children who received any treatment or counseling from a mental health professional.</span></p>","2"
"5-24","School suspension/expulsion","Secondary","http://www.k12.wa.us/DataAdmin/PerformanceIndicators/DisciplineRates.aspx","<p>Percent of students suspended or expelled in a school year.</p>
<p>NOTE: This links to the Office of Superintendent of Public Instruction visualization (external link)</p>","2"
"5-24","Strong family relationships","Secondary",,"<p>In development</p>","2"
"5-24","Strong peer relationships","Secondary",,"<p>In development</p>","2"
"5-24","Strong school relationships","Secondary",,"<p>Percent of students in grades 8, 10, and 12 who report having opportunities or rewards for school/prosocial institution involvement. Combines questions on the following:</p>
<ol><li>In my school, students have lots of chances to help decide things like class activities and rules</li><li>There are lots of chances for students in my school to talk with a teacher one-on-one</li><li>Teachers ask me to work on special classroom projects</li><li>There are lots of chances for students in my school to get involved in sports, clubs, and other school activities outside of class</li><li>I have lots of chances to be part of class discussions or activities</li><li>My teacher(s) notices when I am doing a good job and lets me know about it</li><li>The schools lets my parents know when I have done something well</li><li>I feel safe at my school</li><li>My teachers praise me when I work hard in school</li></ol>
<p>Percent of elementary school students who care about doing well in school and does all required homework. Combines questions on the following:</p>
<ol><li>This child cares about doing well in school</li><li>This child does all required homework</li></ol>","2"
"5-24","Substance use","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/substance-use.aspx","<p><span>Percent of students in grades 8, 10, and 12 who report alcohol, marijuana, painkiller or any illicit drug use in the past 30 days.</span></p>","2"
"5-24","Success beyond school and employment","Secondary",,"<p>Youth and young adults are successful, beyond school or employment. </p>
<p>As measured by the following indicators:</p>
<ul><li>Strong family relationships</li><li>Strong peer relationships</li><li>Belief in ability to succeed</li><li>Civic activity</li><li>Reduced justice system involvement</li></ul>","2"
"5-24","Supportive neighborhoods","Secondary",,"<p>Percent of children living in supportive neighborhoods (sometimes also referred to as neighborhood cohesion or social capital), as measured by the following sets of questions:</p>
<p>To what extent do you agree with these statements about your neighborhood or community?</p>
<p>a. People in this neighborhood help each other out</p>
<p>b. We watch out for each other’s children in this neighborhood</p>
<p>c. This child is safe in our neighborhood</p>
<p> </p>
<p>In your neighborhood, is/are there…?</p>
<p>a. Sidewalks or walking paths</p>
<p>b. A park or playground</p>
<p>c. A recreation center, community center, or boys’ and girls’ club.</p>
<p>d. A library or bookmobile</p>","2"
"Youth and Family Homelessness Prevention","Chronic absenteeism","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/chronic-absenteeism.aspx","<p>Percent of students that miss 18 or more school days in a school year for any reason, excused or unexcused.</p>","3"
"Youth and Family Homelessness Prevention","Education and employment","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/education-employment.aspx","<p><span>Percent of youth and young adults ages 16-24 who are in school or working.</span></p>","3"
"Youth and Family Homelessness Prevention","Youth and family homelessness","Headline","http://allhomekc.org/quarterly-data/","<p>Number of homeless households housed against goal</p>","3"
"Communities of Opportunity","Adult support","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/coo-adult-support.aspx","<p>Percent of students in grades 8, 10, and 12 who report having an adult in their neighborhood or community they could talk to about something important.</p>","4"
"Communities of Opportunity","Civic activity","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/coo-civic-activity.aspx","<p>Percent of adults who report community service or helping others (volunteering, mentoring or political organizing) in the past 30 days.</p>
<p>Percent of young adults ages 18-24 who are registered to vote and vote in elections.</p>","4"
"Communities of Opportunity","Education and employment","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/education-employment.aspx","<p><span>Percent of youth and young adults ages 16-24 who are in school or working.</span></p>","4"
"Communities of Opportunity","Housing burden","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/coo-housing-burden.aspx","<p>Percent of households who pay less than 30% and less than 50% of their income for housing costs.</p>","4"
"Communities of Opportunity","Involuntary displacement","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/coo-involuntary-displacement.aspx","<p>In development</p>","4"
"Communities of Opportunity","Life expectancy","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/coo-life-expectancy.aspx","<p>The number of years a newborn can expect to live given current age-specific death rates.</p>
<p>This is a measure of the overall health of the population.</p>","4"
"Communities of Opportunity","Living wage","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/coo-living-wage.aspx","<p>Percent of people living in households with an income at or above 200% of the poverty level.</p>","4"
"Communities of Opportunity","Physical activity","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/coo-physical-health.aspx","<p>Percent that meet physical activity recommendations.</p>
<p>For youth, the recommendation is 60 minutes every day.</p>
<p>For adults, the recommendation is at least 2 hours and 30 minutes of moderate-intensity aerobic activity or 1 hour and 15 minutes of vigorous-intensity physical activity every week, plus muscle-strengthening activities on 2 or more days a week.</p>","4"
