"bureau","month","invoice_cycle_time","date_time","fiscal_year"
"Countywide","February","58.1","2013-02-01T00:00:00.000","2013"
"Administrative Hearing Board","February","16.9","2013-02-01T00:00:00.000","2013"
"Assessor","February","23.7","2013-02-01T00:00:00.000","2013"
"Board of Elections","February","28.1","2013-02-01T00:00:00.000","2013"
"Board of Review","February","24.8","2013-02-01T00:00:00.000","2013"
"Bureau of Admin.","February","41.4","2013-02-01T00:00:00.000","2013"
"Bureau of Economic Development","February","21.8","2013-02-01T00:00:00.000","2013"
"Bureau of Finance","February","39.2","2013-02-01T00:00:00.000","2013"
"Bureau of Health","February","46.6","2013-02-01T00:00:00.000","2013"
"Bureau of Human Resources","February","43.5","2013-02-01T00:00:00.000","2013"
"Bureau of Technology","February","150.1","2013-02-01T00:00:00.000","2013"
"Capital","February","95.3","2013-02-01T00:00:00.000","2013"
"Chief Judge","February","29.1","2013-02-01T00:00:00.000","2013"
"Clerk of Circuit Ct.","February","18.4","2013-02-01T00:00:00.000","2013"
"Cnty Brd Commissions","February","29.0","2013-02-01T00:00:00.000","2013"
"County Clerk","February","31.2","2013-02-01T00:00:00.000","2013"
"Facilities Management","February","22.6","2013-02-01T00:00:00.000","2013"
"Grants","February","53.0","2013-02-01T00:00:00.000","2013"
"Individual Funds","February","105.9","2013-02-01T00:00:00.000","2013"
"Inspector General","February","36.8","2013-02-01T00:00:00.000","2013"
"Office Under the President","February","48.6","2013-02-01T00:00:00.000","2013"
"Public Admin.","February","24.8","2013-02-01T00:00:00.000","2013"
"Public Defender","February","47.9","2013-02-01T00:00:00.000","2013"
"Recorder of Deeds","February","33.0","2013-02-01T00:00:00.000","2013"
"Sheriff","February","23.6","2013-02-01T00:00:00.000","2013"
"State's Attorney","February","82.0","2013-02-01T00:00:00.000","2013"
"Treasurer","February","30.1","2013-02-01T00:00:00.000","2013"
"Countywide","March","48.0","2013-03-01T00:00:00.000","2013"
"Administrative Hearing Board","March","18.6","2013-03-01T00:00:00.000","2013"
"Assessor","March","23.6","2013-03-01T00:00:00.000","2013"
"Board of Elections","March","31.6","2013-03-01T00:00:00.000","2013"
"Board of Review","March","38.8","2013-03-01T00:00:00.000","2013"
"Bureau of Admin.","March","45.5","2013-03-01T00:00:00.000","2013"
"Bureau of Economic Development","March","16.6","2013-03-01T00:00:00.000","2013"
"Bureau of Finance","March","31.8","2013-03-01T00:00:00.000","2013"
"Bureau of Health","March","54.9","2013-03-01T00:00:00.000","2013"
"Bureau of Human Resources","March","20.5","2013-03-01T00:00:00.000","2013"
"Bureau of Technology","March","32.6","2013-03-01T00:00:00.000","2013"
"Capital","March","54.6","2013-03-01T00:00:00.000","2013"
"Chief Judge","March","29.1","2013-03-01T00:00:00.000","2013"
"Clerk of Circuit Ct.","March","22.2","2013-03-01T00:00:00.000","2013"
"Cnty Brd Commissions","March","29.8","2013-03-01T00:00:00.000","2013"
"County Clerk","March","56.2","2013-03-01T00:00:00.000","2013"
"Facilities Management","March","35.8","2013-03-01T00:00:00.000","2013"
"Grants","March","41.5","2013-03-01T00:00:00.000","2013"
"Individual Funds","March","84.1","2013-03-01T00:00:00.000","2013"
"Inspector General","March","21.3","2013-03-01T00:00:00.000","2013"
"Office Under the President","March","28.6","2013-03-01T00:00:00.000","2013"
"Public Admin.","March","83.4","2013-03-01T00:00:00.000","2013"
"Public Defender","March","35.9","2013-03-01T00:00:00.000","2013"
"Recorder of Deeds","March","18.3","2013-03-01T00:00:00.000","2013"
"Sheriff","March","18.9","2013-03-01T00:00:00.000","2013"
"State's Attorney","March","66.8","2013-03-01T00:00:00.000","2013"
"Treasurer","March","31.0","2013-03-01T00:00:00.000","2013"
"Administrative Hearing Board","April","13.3","2013-04-01T00:00:00.000","2013"
"Assessor","April","30.7","2013-04-01T00:00:00.000","2013"
"Board of Elections","April","30.1","2013-04-01T00:00:00.000","2013"
"Board of Review","April","164.0","2013-04-01T00:00:00.000","2013"
"Bureau of Admin.","April","36.1","2013-04-01T00:00:00.000","2013"
"Bureau of Economic Development","April","30.2","2013-04-01T00:00:00.000","2013"
"Bureau of Finance","April","32.0","2013-04-01T00:00:00.000","2013"
"Bureau of Health","April","61.1","2013-04-01T00:00:00.000","2013"
"Bureau of Human Resources","April","14.6","2013-04-01T00:00:00.000","2013"
"Bureau of Technology","April","20.2","2013-04-01T00:00:00.000","2013"
"Capital","April","50.9","2013-04-01T00:00:00.000","2013"
"Chief Judge","April","68.8","2013-04-01T00:00:00.000","2013"
"Clerk of Circuit Ct.","April","610.2","2013-04-01T00:00:00.000","2013"
"Cnty Brd Commissions","April","35.9","2013-04-01T00:00:00.000","2013"
"County Clerk","April","35.2","2013-04-01T00:00:00.000","2013"
"Facilities Management","April","23.5","2013-04-01T00:00:00.000","2013"
"Grants","April","775.5","2013-04-01T00:00:00.000","2013"
"Individual Funds","April","64.7","2013-04-01T00:00:00.000","2013"
"Inspector General","April","14.8","2013-04-01T00:00:00.000","2013"
"Office Under the President","April","23.8","2013-04-01T00:00:00.000","2013"
"Public Admin.","April","43.7","2013-04-01T00:00:00.000","2013"
"Public Defender","April","31.5","2013-04-01T00:00:00.000","2013"
"Recorder of Deeds","April","15.1","2013-04-01T00:00:00.000","2013"
"Sheriff","April","18.0","2013-04-01T00:00:00.000","2013"
"State's Attorney","April","54.7","2013-04-01T00:00:00.000","2013"
"Treasurer","April","30.1","2013-04-01T00:00:00.000","2013"
"Countywide","May","39.3","2013-05-01T00:00:00.000","2013"
"Administrative Hearing Board","May","12.8","2013-05-01T00:00:00.000","2013"
"Assessor","May","19.5","2013-05-01T00:00:00.000","2013"
"Board of Elections","May","21.2","2013-05-01T00:00:00.000","2013"
"Board of Review","May","32.9","2013-05-01T00:00:00.000","2013"
"Bureau of Admin.","May","40.4","2013-05-01T00:00:00.000","2013"
"Bureau of Economic Development","May","16.0","2013-05-01T00:00:00.000","2013"
"Bureau of Finance","May","35.5","2013-05-01T00:00:00.000","2013"
"Bureau of Health","May","48.1","2013-05-01T00:00:00.000","2013"
"Bureau of Human Resources","May","18.9","2013-05-01T00:00:00.000","2013"
"Bureau of Technology","May","55.9","2013-05-01T00:00:00.000","2013"
"Capital","May","41.7","2013-05-01T00:00:00.000","2013"
"Chief Judge","May","20.5","2013-05-01T00:00:00.000","2013"
"Clerk of Circuit Ct.","May","27.6","2013-05-01T00:00:00.000","2013"
"Cnty Brd Commissions","May","34.1","2013-05-01T00:00:00.000","2013"
"County Clerk","May","32.6","2013-05-01T00:00:00.000","2013"
"Facilities Management","May","37.1","2013-05-01T00:00:00.000","2013"
"Grants","May","47.7","2013-05-01T00:00:00.000","2013"
"Individual Funds","May","57.6","2013-05-01T00:00:00.000","2013"
"Inspector General","May","12.1","2013-05-01T00:00:00.000","2013"
"Office Under the President","May","19.9","2013-05-01T00:00:00.000","2013"
"Public Admin.","May","23.3","2013-05-01T00:00:00.000","2013"
"Public Defender","May","27.7","2013-05-01T00:00:00.000","2013"
"Recorder of Deeds","May","17.6","2013-05-01T00:00:00.000","2013"
"Sheriff","May","23.5","2013-05-01T00:00:00.000","2013"
"State's Attorney","May","45.6","2013-05-01T00:00:00.000","2013"
"Treasurer","May","22.9","2013-05-01T00:00:00.000","2013"
"Countywide","June","36.4","2013-06-01T00:00:00.000","2013"
"Administrative Hearing Board","June","100.4","2013-06-01T00:00:00.000","2013"
"Assessor","June","19.5","2013-06-01T00:00:00.000","2013"
"Board of Elections","June","66.3","2013-06-01T00:00:00.000","2013"
"Board of Review","June","27.3","2013-06-01T00:00:00.000","2013"
"Bureau of Admin.","June","29.6","2013-06-01T00:00:00.000","2013"
"Bureau of Economic Development","June","29.4","2013-06-01T00:00:00.000","2013"
"Bureau of Finance","June","25.2","2013-06-01T00:00:00.000","2013"
"Bureau of Health","June","52.0","2013-06-01T00:00:00.000","2013"
"Bureau of Human Resources","June","13.4","2013-06-01T00:00:00.000","2013"
"Bureau of Technology","June","31.4","2013-06-01T00:00:00.000","2013"
"Capital","June","44.1","2013-06-01T00:00:00.000","2013"
"Chief Judge","June","16.9","2013-06-01T00:00:00.000","2013"
"Clerk of Circuit Ct.","June","33.6","2013-06-01T00:00:00.000","2013"
"Cnty Brd Commissions","June","27.3","2013-06-01T00:00:00.000","2013"
"County Clerk","June","40.6","2013-06-01T00:00:00.000","2013"
"Facilities Management","June","25.4","2013-06-01T00:00:00.000","2013"
"Grants","June","37.3","2013-06-01T00:00:00.000","2013"
"Individual Funds","June","61.0","2013-06-01T00:00:00.000","2013"
"Inspector General","June","16.4","2013-06-01T00:00:00.000","2013"
"Office Under the President","June","22.9","2013-06-01T00:00:00.000","2013"
"Public Admin.","June","21.2","2013-06-01T00:00:00.000","2013"
"Public Defender","June","32.5","2013-06-01T00:00:00.000","2013"
"Recorder of Deeds","June","15.7","2013-06-01T00:00:00.000","2013"
"Sheriff","June","26.6","2013-06-01T00:00:00.000","2013"
"State's Attorney","June","36.5","2013-06-01T00:00:00.000","2013"
"Treasurer","June","27.3","2013-06-01T00:00:00.000","2013"
"Countywide","July","37.4","2013-07-01T00:00:00.000","2013"
"Administrative Hearing Board","July","13.3","2013-07-01T00:00:00.000","2013"
"Assessor","July","17.6","2013-07-01T00:00:00.000","2013"
"Board of Elections","July","9.0","2013-07-01T00:00:00.000","2013"
"Board of Review","July","19.9","2013-07-01T00:00:00.000","2013"
"Bureau of Admin.","July","26.6","2013-07-01T00:00:00.000","2013"
"Bureau of Economic Development","July","34.6","2013-07-01T00:00:00.000","2013"
"Bureau of Finance","July","36.3","2013-07-01T00:00:00.000","2013"
"Bureau of Health","July","46.2","2013-07-01T00:00:00.000","2013"
"Bureau of Human Resources","July","15.3","2013-07-01T00:00:00.000","2013"
"Bureau of Technology","July","22.1","2013-07-01T00:00:00.000","2013"
"Capital","July","32.9","2013-07-01T00:00:00.000","2013"
"Chief Judge","July","31.6","2013-07-01T00:00:00.000","2013"
"Clerk of Circuit Ct.","July","21.0","2013-07-01T00:00:00.000","2013"
"Cnty Brd Commissions","July","35.7","2013-07-01T00:00:00.000","2013"
"County Clerk","July","41.2","2013-07-01T00:00:00.000","2013"
"Facilities Management","July","24.7","2013-07-01T00:00:00.000","2013"
"Grants","July","27.7","2013-07-01T00:00:00.000","2013"
"Individual Funds","July","50.7","2013-07-01T00:00:00.000","2013"
"Inspector General","July","44.2","2013-07-01T00:00:00.000","2013"
"Office Under the President","July","23.0","2013-07-01T00:00:00.000","2013"
"Public Admin.","July","17.0","2013-07-01T00:00:00.000","2013"
"Public Defender","July","40.4","2013-07-01T00:00:00.000","2013"
"Recorder of Deeds","July","19.4","2013-07-01T00:00:00.000","2013"
"Sheriff","July","19.4","2013-07-01T00:00:00.000","2013"
"State's Attorney","July","46.5","2013-07-01T00:00:00.000","2013"
"Treasurer","July","39.1","2013-07-01T00:00:00.000","2013"
"Countywide","August","38.0","2013-08-01T00:00:00.000","2013"
"Administrative Hearing Board","August","12.1","2013-08-01T00:00:00.000","2013"
"Assessor","August","32.1","2013-08-01T00:00:00.000","2013"
"Board of Elections","August",,"2013-08-01T00:00:00.000","2013"
"Board of Review","August","28.6","2013-08-01T00:00:00.000","2013"
"Bureau of Admin.","August","28.3","2013-08-01T00:00:00.000","2013"
"Bureau of Economic Development","August","42.0","2013-08-01T00:00:00.000","2013"
"Bureau of Finance","August","30.0","2013-08-01T00:00:00.000","2013"
"Bureau of Health","August","47.9","2013-08-01T00:00:00.000","2013"
"Bureau of Human Resources","August","20.1","2013-08-01T00:00:00.000","2013"
"Bureau of Technology","August","42.6","2013-08-01T00:00:00.000","2013"
"Capital","August","44.6","2013-08-01T00:00:00.000","2013"
"Chief Judge","August","24.6","2013-08-01T00:00:00.000","2013"
"Clerk of Circuit Ct.","August","25.6","2013-08-01T00:00:00.000","2013"
"Cnty Brd Commissions","August","31.4","2013-08-01T00:00:00.000","2013"
"County Clerk","August","46.5","2013-08-01T00:00:00.000","2013"
"Facilities Management","August","19.5","2013-08-01T00:00:00.000","2013"
"Grants","August","26.4","2013-08-01T00:00:00.000","2013"
"Individual Funds","August","78.8","2013-08-01T00:00:00.000","2013"
"Inspector General","August","20.0","2013-08-01T00:00:00.000","2013"
"Office Under the President","August","25.8","2013-08-01T00:00:00.000","2013"
"Public Admin.","August","20.2","2013-08-01T00:00:00.000","2013"
"Public Defender","August","39.5","2013-08-01T00:00:00.000","2013"
"Recorder of Deeds","August","39.6","2013-08-01T00:00:00.000","2013"
"Sheriff","August","20.2","2013-08-01T00:00:00.000","2013"
"State's Attorney","August","45.0","2013-08-01T00:00:00.000","2013"
"Treasurer","August","26.0","2013-08-01T00:00:00.000","2013"
"Countywide","April","42","2013-04-01T00:00:00.000","2013"
"Countywide","September","43.2","2013-09-01T00:00:00.000","2013"
"Countywide","October","56.5","2013-10-01T00:00:00.000","2013"
"Countywide","November","54.2","2013-11-01T00:00:00.000","2013"
"Countywide","June","50","2015-06-01T00:00:00.000","2015"
"Countywide","December","67","2015-12-01T00:00:00.000","2016"
"Countywide","October","49","2014-10-01T00:00:00.000","2014"
"Countywide","April","50","2016-04-01T00:00:00.000","2016"
"Countywide","December","65","2014-12-01T00:00:00.000","2015"
"Countywide","July","49","2015-07-01T00:00:00.000","2015"
"Countywide","November","58","2015-11-01T00:00:00.000","2015"
"Countywide","June","46","2014-06-01T00:00:00.000","2014"
"Countywide","March","49","2014-03-01T00:00:00.000","2014"
"Countywide","January","66","2015-01-01T00:00:00.000","2015"
"Countywide","September","45","2015-09-01T00:00:00.000","2015"
"Countywide","February","55","2015-02-01T00:00:00.000","2015"
"Countywide","April","49","2015-04-01T00:00:00.000","2015"
"Countywide","August","46","2015-08-01T00:00:00.000","2015"
"Countywide","September","47","2014-09-01T00:00:00.000","2014"
"Countywide","December","55","2013-12-01T00:00:00.000","2014"
"Countywide","July","44","2014-07-01T00:00:00.000","2014"
"Countywide","February","47","2016-02-01T00:00:00.000","2016"
"Countywide","March","55","2015-03-01T00:00:00.000","2015"
"Countywide","August","44","2014-08-01T00:00:00.000","2014"
"Countywide","January","62","2016-01-01T00:00:00.000","2016"
"Countywide","May","58","2015-05-01T00:00:00.000","2015"
"Countywide","April","44","2014-04-01T00:00:00.000","2014"
"Countywide","July","54","2016-07-01T00:00:00.000","2016"
"Countywide","June","48","2016-06-01T00:00:00.000","2016"
"Countywide","May","46","2016-05-01T00:00:00.000","2016"
"Countywide","August","52","2016-08-01T00:00:00.000","2016"
"Countywide","November","55","2014-11-01T00:00:00.000","2014"
"Countywide","March","59","2016-03-01T00:00:00.000","2016"
"Countywide","October","51","2015-10-01T00:00:00.000","2015"
"Countywide","May","42","2014-05-01T00:00:00.000","2014"
"Countywide","February","47","2014-02-01T00:00:00.000","2014"
"Countywide","January","66","2014-01-01T00:00:00.000","2014"
