"office","office_name","fiscal_year","adopted_appropriation","adjusted_appropriation","expenditures","fte_s"
"1087","Board of Commissioners - Seventh District","2016","396957","393419","389335","5.0"
"1088","Board of Commissioners - Eighth District","2014","358847","358847","310598","5.0"
"1088","Board of Commissioners - Eighth District","2015","364350","386345","344559","5.0"
"1088","Board of Commissioners - Eighth District","2016","392596","389016","374581","5.0"
"1089","Board of Commissioners - Ninth District","2014","358683","359870","359579","4.5"
"1089","Board of Commissioners - Ninth District","2015","386110","387368","384902","3.7"
"1089","Board of Commissioners - Ninth District","2016","395415","391890","369834","4.4"
"1090","Board of Commissioners - Tenth District","2014","358903","358903","296417","5.0"
"1090","Board of Commissioners - Tenth District","2015","365075","366058","334176","5.0"
"1090","Board of Commissioners - Tenth District","2016","360003","357315","291791","5.0"
"1091","Board of Commissioners - Eleventh District","2014","499597","499597","264714","5.7"
"1091","Board of Commissioners - Eleventh District","2015","507510","507922","262892","5.7"
"1091","Board of Commissioners - Eleventh District","2016","503076","499027","200052","5.7"
"1092","Board of Commissioners - Twelfth District","2014","358757","358757","354118","4.0"
"1092","Board of Commissioners - Twelfth District","2015","386287","386951","297571","4.0"
"1092","Board of Commissioners - Twelfth District","2016","395802","392072","334001","4.0"
"1093","Board of Commissioners - Thirteenth District","2014","358692","358692","343505","4.6"
"1093","Board of Commissioners - Thirteenth District","2015","386095","387761","350577","4.6"
"1093","Board of Commissioners - Thirteenth District","2016","399616","396441","366910","4.6"
"1094","Board of Commissioners - Fourteenth District","2014","358732","358732","344881","4.0"
"1094","Board of Commissioners - Fourteenth District","2015","386164","387340","353538","4.0"
"1094","Board of Commissioners - Fourteenth District","2016","398182","394512","361351","4.0"
"1095","Board of Commissioners - Fifteenth District","2014","358824","358824","334299","4.0"
"1095","Board of Commissioners - Fifteenth District","2015","386544","386933","249984","5.0"
"1095","Board of Commissioners - Fifteenth District","2016","393986","386976","239094","5.0"
"1096","Board of Commissioners - Sixteenth District","2014","358835","358835","321115","4.0"
"1096","Board of Commissioners - Sixteenth District","2015","386364","387583","339495","4.0"
"1096","Board of Commissioners - Sixteenth District","2016","397547","394207","360786","4.0"
"1097","Board of Commissioners - Seventeenth District","2014","358846","358846","358204","4.0"
"1097","Board of Commissioners - Seventeenth District","2015","386068","386527","376762","4.0"
"1097","Board of Commissioners - Seventeenth District","2016","398993","394087","392500","4.0"
"1110","County Clerk","2014","7628320","7357224","7203649","135.0"
"1110","County Clerk","2015","7516624","7730917","7649646","134.0"
"1110","County Clerk","2016","8250150","8167235","8238008","136.0"
"1130","Recorder of Deeds","2014","5686120","5345090","5068584","108.0"
"1130","Recorder of Deeds","2015","5484174","5576146","5135093","99.0"
"1130","Recorder of Deeds","2016","5246777","5196984","4925717","92.0"
"1160","Building and Zoning","2014","3184227","3209323","3175277","39.0"
"1160","Building and Zoning","2015","3389293","3368261","3297562","40.0"
"1160","Building and Zoning","2016","3338790","3304399","3471496","38.0"
"1161","Environment and Sustainability","2014","1637725","1645363","1640827","27.0"
"1161","Environment and Sustainability","2015","1586596","1606276","1369816","26.0"
"1161","Environment and Sustainability","2016","1639172","1612426","1496783","21.7"
"1170","Zoning Board of Appeals","2014","423817","426796","379238","5.0"
"1170","Zoning Board of Appeals","2015","424721","428484","400347","5.0"
"1170","Zoning Board of Appeals","2016","461143","455743","436398","5.0"
"1200","Facilities Management","2014","35198174","35468268","35383687","551.0"
"1200","Facilities Management","2015","44578769","44691431","43484108","541.7"
"1200","Facilities Management","2016","44246399","43620746","44061727","526.2"
"1205","Justice Advisory Council","2014","422948","462355","462341","5.0"
"1205","Justice Advisory Council","2015","556096","550734","465457","7.0"
"1205","Justice Advisory Council","2016","551455","546561","568219","7.0"
"1210","Office of the Sheriff","2014","4821103","5047838","5047837","49.6"
"1210","Office of the Sheriff","2015","4357154","4146652","4090926","40.6"
"1210","Office of the Sheriff","2016","2265629","2245395","2284845","23.0"
"1214","Sheriff's Administration","2014","13970050","14109073","14240872","203.0"
"1214","Sheriff's Administration","2015","12557868","11577489","11265655","163.4"
"1214","Sheriff's Administration","2016","9821744","9691628","8931563","108.5"
"1216","Office of Professional Review","2015","4439846","4105097","4096497","62.5"
"1216","Office of Professional Review","2016","6124647","6072957","5822562","78.0"
"1217","Sheriff's Information Technology","2014","4311541","4080947","4080945","53.0"
"1217","Sheriff's Information Technology","2015","6351990","4837216","4316179","43.4"
"1217","Sheriff's Information Technology","2016","21109764","20749127","16925182","219.0"
"1230","Court Services","2014","85745311","85102665","85094812","1434.0"
"1230","Court Services","2015","84808693","84073664","83952146","1346.4"
"1230","Court Services","2016","87666583","86904181","84738347","1292.2"
"1231","Police Department","2014","48029191","48551420","52514415","607.5"
"1231","Police Department","2015","53767568","53324641","53893199","630.5"
"1231","Police Department","2016","57059457","56552636","55380352","658.5"
"1239","Department of Corrections","2014","303783283","305650892","340275032","4374.3"
"1239","Department of Corrections","2015","325465357","337310802","333688463","4432.4"
"1239","Department of Corrections","2016","327264131","324680836","337128570","4295.0"
"4240","Cermak Health Services","2014","46630843","41934478","41436925","578.4"
"4240","Cermak Health Services","2015","56418755","55751031","54369697","617.0"
"4240","Cermak Health Services","2016","65591831","62078681","60529339","609.0"
"4241","JTDC - Health Services","2014","3910387","3826300","3027249","37.0"
"4241","JTDC - Health Services","2015","3756473","3747798","3102886","37.0"
"4241","JTDC - Health Services","2016","3798200","3669721","3427300","35.0"
"1249","Sheriff's Merit Board","2014","1795358","1753707","1753703","31.0"
"1249","Sheriff's Merit Board","2015","1772851","1686945","1574924","29.0"
"1249","Sheriff's Merit Board","2016","2040012","2019796","1678506","30.0"
"1250","State's Attorney","2014","93229590","95359209","95565498","1148.1"
"1250","State's Attorney","2015","99232559","98148145","100158524","1161.0"
"1250","State's Attorney","2016","103747610","102683857","105618756","1149.1"
"1259","Medical Examiner","2014","10428262","9554404","9549292","126.0"
"1259","Medical Examiner","2015","10477537","10362003","9536434","123.8"
"1259","Medical Examiner","2016","10981754","10857515","10716330","127.7"
"1260","Public Defender","2014","55275450","56177115","56153520","685.6"
"1260","Public Defender","2015","61060441","60190631","60151966","699.0"
"1260","Public Defender","2016","64940872","64259235","65189505","693.0"
"1265","Homeland Security and Emergency Management","2014","1359351","953295","906532","17.0"
"1265","Homeland Security and Emergency Management","2015","2096328","2057698","2485670","25.0"
"1265","Homeland Security and Emergency Management","2016","2066102","2020622","3061644","25.0"
"1280","Adult Probation","2014","38154317","36983178","36983178","589.5"
"1280","Adult Probation","2015","38488248","37937595","39752446","625.0"
"1280","Adult Probation","2016","43608245","43155644","42102489","640.0"
"1300","Judiciary","2014","10691946","9385593","9339311","437.0"
"1300","Judiciary","2015","10305468","10300466","9671074","437.0"
"1300","Judiciary","2016","13683358","13678761","12923135","437.0"
"1305","Public Guardian","2014","17468075","17640191","17640191","239.4"
"1305","Public Guardian","2015","17777309","17589796","17511515","238.8"
"1305","Public Guardian","2016","18253972","18068762","17794541","229.4"
"1310","Office of the Chief Judge","2014","30516519","30776932","30672765","465.0"
"1310","Office of the Chief Judge","2015","37389335","36834310","36449742","473.5"
"1310","Office of the Chief Judge","2016","39950515","39265029","38770727","457.7"
"1312","Forensic Clinical Services","2014","2579562","2151474","2132796","30.0"
"1312","Forensic Clinical Services","2015","2560690","2530840","2226303","30.1"
"1312","Forensic Clinical Services","2016","2889809","2864563","2391224","31.1"
"1313","Social Casework Services","2014","10505600","10467038","10461277","196.3"
"1313","Social Casework Services","2015","10377477","10209653","10409310","197.0"
"1313","Social Casework Services","2016","9637904","9517596","9465538","198.0"
"1326","Juvenile Probation","2014","31660029","31928969","31928969","392.8"
"1326","Juvenile Probation","2015","33499795","33026020","33574322","449.5"
"1326","Juvenile Probation","2016","37158149","36793041","37484392","423.4"
"1335","Clerk of the Circuit Court","2014","74929106","75371784","75371784","1505.7"
"1335","Clerk of the Circuit Court","2015","77896396","79811610","79433900","1546.5"
"1335","Clerk of the Circuit Court","2016","82643016","81631634","81047128","1463.2"
"1390","Public Administrator","2014","1097074","1102338","978492","18.0"
"1390","Public Administrator","2015","1109485","1131262","971378","18.0"
"1390","Public Administrator","2016","1111234","1099763","1114881","17.0"
"1440","Juvenile Temporary Detention Center","2014","50842085","49553282","49312256","663.0"
"1440","Juvenile Temporary Detention Center","2015","53269139","52756092","52810886","700.0"
"1440","Juvenile Temporary Detention Center","2016","57920297","57296974","58929108","703.5"
"1451","Adoption and Family Supportive Services","2014","682102","716785","715515","10.0"
"1451","Adoption and Family Supportive Services","2015","736391","727553","684768","11.0"
"1451","Adoption and Family Supportive Services","2016","738807","732718","659552","11.0"
"1500","Transportation and Highways","2014","5723843","5860454","5860453","67.4"
"1500","Transportation and Highways","2015","5830891","5780719","5653817","66.2"
"1500","Transportation and Highways","2016","5368815","5236575","5016116","48.2"
"4890","Health and Hospitals System Administration","2014","189471395","177040908","176687608","647.0"
"4890","Health and Hospitals System Administration","2015","118613901","116574297","93496288","411.8"
"4890","Health and Hospitals System Administration","2016","113486087","113522100","106598135","485.0"
"4891","Provident Hospital","2014","48357796","45080711","44812724","357.5"
"4891","Provident Hospital","2015","52388141","51678522","47043497","385.0"
"4891","Provident Hospital","2016","46844425","45575396","47349127","354.0"
"4893","Ambulatory and Community Health Network","2014","51465467","44215100","43732685","620.0"
"4893","Ambulatory and Community Health Network","2015","59280037","59203804","55692873","858.2"
"4893","Ambulatory and Community Health Network","2016","78815125","65055328","59048090","775.0"
"4894","CORE Center","2014","11753051","11655196","11369169","69.3"
"4894","CORE Center","2015","11745097","12070250","11768586","75.0"
"4894","CORE Center","2016","12183198","12036028","11970403","78.0"
"4895","Public Health","2014","14450251","12859682","12654618","148.0"
"4895","Public Health","2015","11278735","11299918","9684365","125.0"
"4895","Public Health","2016","10836201","10670549","9851341","123.0"
"4896","Managed Care","2014","190804289","497230112","489401621","266.3"
"4896","Managed Care","2015","566867323","569944332","508104018","30.0"
"4896","Managed Care","2016","646044653","646041473","651691910","23.0"
"4897","Stroger Hospital","2014","445202520","443404566","443288304","3905.6"
"4897","Stroger Hospital","2015","525236650","529841366","484388232","4097.6"
"4897","Stroger Hospital","2016","544088008","533370091","553516399","4154.7"
"4898","Oak Forest Health Center","2014","11216096","10558389","10513567","115.0"
"4898","Oak Forest Health Center","2015","11069970","11529764","10741103","110.0"
"4898","Oak Forest Health Center","2016","10388027","10067562","11050033","99.0"
