"bureau","month","invoice_cycle_time","date_time","fiscal_year","roll_up"
"Facilities Management","August","19.5","2013-08-01T00:00:00.000","2013","President's Office"
"Office Under the President","August","25.8","2013-08-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","September","13.9","2013-09-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","September","33.4","2013-09-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","September","26","2013-09-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","September","33.3","2013-09-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","September","18","2013-09-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","September","42","2013-09-01T00:00:00.000","2013","President's Office"
"Capital","September","74.1","2013-09-01T00:00:00.000","2013","President's Office"
"Facilities Management","September","25.3","2013-09-01T00:00:00.000","2013","President's Office"
"Office Under the President","September","58.9","2013-09-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","October","15.9","2013-10-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","October","34.4","2013-10-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","October","93.9","2013-10-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","October","38.4","2013-10-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","October","64.6","2013-10-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","October","47.6","2013-10-01T00:00:00.000","2013","President's Office"
"Capital","October","197.8","2013-10-01T00:00:00.000","2013","President's Office"
"Facilities Management","October","22","2013-10-01T00:00:00.000","2013","President's Office"
"Office Under the President","October","36.6","2013-10-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","November","12.2","2013-11-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","November","40.8","2013-11-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","November","20.3","2013-11-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","November","33.7","2013-11-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","November","20.1","2013-11-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","November","29","2013-11-01T00:00:00.000","2013","President's Office"
"Capital","November","56.8","2013-11-01T00:00:00.000","2013","President's Office"
"Facilities Management","November","29.8","2013-11-01T00:00:00.000","2013","President's Office"
"Office Under the President","November","16","2013-11-01T00:00:00.000","2013","President's Office"
