"name","type","website","location","city","hours","comments","how_to_help_this_business","availability","meta_row_index","meta_row_id"
"DC Oakes Brewhouse","Brewery","https://www.dcoakesbrewhouse.com/","3581 Harmony Rd #110","Fort Collins",,"Delivers within 7 miles, 11am-9pm, 970-286-2076",,"Take-Out","27","e667436bd7524d496e3dee94a81c45802b43894b"
"Daddy Cakes","Restaurant/Bar",,"140 E Boardwalk Dr, Unit J","Fort Collins",,"Contact us at 970-223-0172. Order online at daddycakesbakery.com Delivery or curbside pickup. Custom cakes at daddycakesfc.com  Via Nosh (get the app!) In store at 140 Boardwalk (wear your mask) Takeout and patio dinning",,"Take-Out","28","de8812a6e419f5d7064dd5a747080754668e5a3f"
"Dickey's Barbecue Pit","Restaurant/Bar","www.dickeys.com/","2721 S College Ave. #2","Fort Collins","11:00am to 8:30pm",,"https://www.facebook.com/dickeysbarbecuepit/","Take-Out","29","b0e69e11dc9a1d144d25b7db4f76c53bec5ad18e"
"Dickey's Barbecue Pit","Restaurant/Bar","www.dickeys.com/","104 E 29th Street Unit 2","Loveland","Daily 11:00am to 8:30pm",,"https://www.facebook.com/dickeysbarbecuepit/","Take-Out","30","37f1e96addcdc30900399afbb14d41a3e8421793"
"Disabled Resource Services","Family, Community, and Non-Profit",,"1017 Robertson Street, Unit B","Fort Collins",,"Contact us at 970-482-2700, 970-593-6582. The Fort Collins office medical equipment Loan Closet rental program is open by appointment only (the Loveland Loan Closet is closed, reopening February 1, 2021). To rent from the Fort Collins office, please call 970-482-2700 to make an appointment to pick up (or drop off) equipment. When you call, please let us know what equipment you would like. If you leave a message, we will get back to you within 24 hours. We will set up all logistics for the equipment over the phone so when we meet you in person, it is a very easy process",,"Take-Out","31","126893c0dc9f06dbc3116902f835283cb5777261"
"Domenics Bistro & Wine Bar","Restaurant/Bar",,"931 E Harmony Rd","Fort Collins",,"Contact us at 970-207-0411. Open for dine in! Call 970-207-0411 for a reservation / curbside pickup, or delivery available online through NoCo Nosh. 11am - 10pm Monday to Thursday 11am - 11pm Friday and Saturday, 4 - 10pm Sunday",,"Take-Out","32","1e6080aebbb9bd2a9c7dd9849c4a97abee797382"
"Donoho's Beer and Spirits","Liquor Store",,"4562 Denrose Ct # 6","Fort Collins","?? closing early around 7",,,"Take-Out","33","aa803b9ef2f1b17d68066750dfbd2b72723ffaec"
"Dunkin Donuts Baskin Robbins","Restaurant/Bar",,"2801 S. College Ave","Fort Collins","5am-9pm",,"Sign up/Use our app Dunkin' to earn points and speed up service Gift Cards are always available for purchase We love to be involved in the community and connect with other businesses to make partnerships.","Take-Out","34","1d457913f92cfd863ec1ddde8800385e8db74980"
"El Burrito","Restaurant/Bar",,"404 Linden","Fort Collins","11-2:30  4:30 till 7:30 weekdays 11 - 8 weekends",,"How to help this business:","Take-Out","35","40e18850489930c93d00d9f7d818d5bc903b506e"
"Elevated Sandwiches","Restaurant/Bar","elevatedsandwiches.com/","1612 N College Ave","Fort Collins","Tuesday-Friday 11am to 7pm Sat-Monday 11am to 5pm","Contact us at 970-286-2548. Patio is open 11am - close. Offering take out, and curbside pick up. We suggest calling in your order. Find us on Noco Nosh for delivery options.","Support Local, Find us and like us on Social Media. @elevated.sandwiches https://www.instagram.com/elevated.sandwiches/;  https://www.facebook.com/elevatedsandwiches Thank you for supporting local!","Take-Out","36","72d0b53b58118f6054ed1423b37015d6dce592e1"
"Elevation 5003","Brewery","http://www.elevation5003.com/","2601 S Lemay Ave #8","Fort Collins",,"Offering Cocktails & Bottles to go",,"Take-Out","37","7401e51832c399a8dae764837526f20bddeb3a2c"
"Envy Brewing","Restaurant/Bar","www.envybrewing.com","3027 E. Harmony Rd. Suite 2","Fort Collins","To-Go Beer. Tues-Sat: 3-6pm","https://www.facebook.com/pg/EnvyBrewing/posts/","https://www.envybrewing.com/product-page/envy-gift-card-1","Take-Out","38","1957fb8945ff4569c7076910e443eca338b6bc64"
"Equinox Brewing Company","Restaurant/Bar","equinoxbrewing.com/","133 Remington","Fort Collins","2pm-6pm","2-5 prefilled growlers. Call ahead for specailty fills (see website).","Consider purchasing a Crowler online for pickup!","Take-Out","39","3760a1f2f84d492c5c5b5914e989d40cc05153a6"
"Fiona's Deli","Restaurant/Bar","https://fionasdeli.com/","1001 E Harmony","Fort Collins","11am-7pm Monday thru Saturday","Soups, Salads, Sandwiches & Bakery  Adding Take Home Meals from Catering Menu. Open 11am-7pm every day. Call for order 970-530-2120",,"Take-Out","40","270569844facc8c48f3f2a34b9db0d893f5b18fb"
"Foco Doco","Restaurant/Bar",,"234 N. College Ave a1","Fort Collins",,"Contact us at 970-689-8978. We are open for pick up & delivery (through NoCoNosh). Store hours Mon-Fri. 7am-5pm, Sat & Sun. 8am-5pm",,"Take-Out","41","9a0b5088c49cda7665d02bff5e417b7c873780fd"
"Friendly Nick's Butcher","Restaurant/Bar",,"2601 S. Lemay Ave Unit 4","Fort Collins",,"Contact us at 970-657-2466. Lobby and curbside pick up: Our lobby is open to walk in and shop like ""normal"".  All customers are required to wear masks while inside. We can also offer no-contact pick up for anyone who needs it.  Let us know when you order and we will make the proper accomodations. E-MAIL ORDERING AND CURB SIDE PICK UP AVAILABLE call or email to place an order 970-657-2466. Apocalypse Hours: Tues - Sat 10 am - 5:30 pm",,"Take-Out","42","b62bf1d980b3c3bbebf7509233c00fd4ec939216"
"Fuzzy's Taco Shop","Restaurant/Bar",,"1335 W Elizabeth","Fort Collins",,"Contact us at 970-407-8226. This location is open for dine in, takeout, and delivery. Also now offers online ordering! Open Monday-Saturday 8am-10pm, and Sunday 9am-10pm",,"Take-Out","43","78378ab96dfe9f000f0d250d74b847975142b73c"
"Garbanzo Mediterranean Fresh","Restaurant/Bar","www.eatgarbanzo.com","100 W Troutman Pkwy STE 120","Fort Collins","11am-8pm",,"How to help this business:","Take-Out","44","1f2096343507259da661cf7384aaa35dfc3eb4f8"
"Gilded Goat Brewing Company","Restaurant/Bar","www.gildedgoatbrewing.com","3500 S College Ave, #194","Fort Collins","TBD","Stop by and shop to support a local, family-owned business!","1. Grab some to-go beer, merchandise, and/or a gift card. 2. Follow us on Instagram and Facebook Insta: @gildedgoatbrewingco FB: @gildedgoat  3. Give the gift of craft beer this holiday season.","Take-Out","45","5b16084c074af3d52829ec112ca913605341d9f5"
"Henry's Pub","Restaurant/Bar",,"234 E. 4th Street","Loveland",,"Contact us at 970-613-1896. We are Level-Up certified! Our dining room is open at a 25% capacity. Beginning Monday, January 11th, we have indoor dining available! We ask that you make reservations online in order to expedite your check-in, and to assist contract tracing data collection. For your convenience, we are currently accepting reservations up to one week in advance. At our reduced capacity, we are asking guests to limit their visit at dinner time to under 1.5 hours, so that we can honor our other guest's reservation times. Masks are required for entry, exit and anytime you get up from your table. We are still offering takeout and delivery through NoCoNosh, GrubHub and DoorDash. To make a reservation, please follow the Reservations link at the top of the page, and to order online for pickup or delivery, please follow the links below and choose either pickup or delivery on the order page. Thank you and welcome back!",,"Take-Out","46","1fdbf4532255f9c75bfa953bdf298cf8f723ef7c"
"Houska Automotive","Auto",,"899 Riverside Ave","Fort Collins",,"Contact us at 970-482-0156. Open 7am - 6pm Monday - Friday and our Tire/Oil center is open 8am - 4pm. We are offering complimentary pick up and delivery as well as curbside service and early bird/night owl envelope drop off. All cars are sanitized before and after service. We also offer an ozone interior sanitation service to kill any germs/viruses in the vehicle.",,"Take-Out","47","94eec44e61131f20c1f51e7bb0e87e384c1b4a05"
"Illegal Pete's","Restaurant/Bar",,"320 Walnut St.","Fort Collins",,"Contact us at 970-999-3051. All location are open! This location is open for patio dining, delivery and pickup. Open MON-THURS: 11AM - 9:00PM FRI-SUN: 10:00AM - 9:00PM Offering Breakfast every Fri, Sat, & Sun from 10am-1pm!",,"Take-Out","48","e8c2840fdf5479ee8be2221f1db76cd835ce94fd"
"Intersect Brewing","Brewery","http://www.intersectbrewing.com/",,"Fort Collins",,"3-6 wkdays, 11-4 wknds, discounted gift card promo ($75 card for $50)",,"Take-Out","49","07a3ad64766216ad48d6f20d1da41ecc512f2228"
"Island Grill","Restaurant/Bar","http://www.islandgrillrestaurant.com/","2601 S Lemay Ave #12","Fort Collins","Daily: 12-9pm","Tacos, Burgers, and Salads",,"Take-Out","50","909c5de924ef89564e96774691a3cc011e0b5213"
"Jason's Deli","Restaurant/Bar","Jasonsdeli.com","1538 E Harmony Road","Fort Collins",,"Contact us at 970-204-9203. Offering dine-in, curbside pickup, and delivery. If you'd rather have your meal delivered, or you have a big event planned, contact us at 970-204-9203. You can also create a group order online, so you can ensure each person receives exactly what they want.",,"Take-Out","51","9df3df7f4a3c0c8b56d27a8306a497e708d43ceb"
"Jaws Sushi","Restaurant/Bar",,"1205-A W Elizabeth St","Fort Collins",,"Contact us at 970-682-2678. Open for takeout!",,"Take-Out","52","e1222b677168bfc8929624c33779bf62fa7611c5"
"Jax Fish House & Oyster Bar","Restaurant/Bar",,"123 N. College Ave","Fort Collins",,"Contact us at 970-682-2275. Dine with us indoors or on our heated patio, or let our trusted, super-sanitized staff deliver sustainable seafood & big-batch cocktails right to you! Visit our website for WeDeliver service and curbside pickup.",,"Take-Out","53","48fdfa3d5b472654475a49b3f48f837cf026d75c"
"Jax Liqour","Liquor Store","http://jaxliquor.com","1581 Taft Avenue","Loveland","10am-11:30pm","5% discount thru website orders code: 2231904",,"Take-Out","54","f484e29e44d055d5de09589307b1c8172a53ba1e"
"Jay's Bistro","Restaurant/Bar","https://jaysbistro.com/","135 W Oak St","Fort Collins","See website","Contact us at 970-482-1876. We are now offering dine in along with our heated patio (weather permitting) and takeout. Open 4pm-9pm everyday. For takeout call 970.482.1876 or for delivery use our friends at Noco Nosh.",,"Take-Out","55","7fbc92528b889c7e926aff22e924370e834b67ad"
"Jessup Farm Barrel House","Brewery","http://www.jessupfarmbarrelhouse.com/","1921 Jessup Dr","Fort Collins",,"""to-go beer"" 12-7",,"Take-Out","56","18657ec02392ac7e740584717b7371be72e960f3"
"Jimmy John's","Restaurant/Bar","www.jimmyjohns.com","2337 S Shields St","Fort Collins",,"Contact us at 970-493-7500, 970-484-7300, 970-282-1600, 970-484-1405, 970-223-7200. locations are serving customers via delivery, takeout,  and curbside  pick-up service (a drive-thru location as well)",,"Take-Out","57","9ae8d99c8c8b64c158f08e4556067be5f52d3242"
"Jukebox Quilts","Retail","www.jukeboxquilts.com/","400 N. College Unit A","Fort Collins","Tues - Sat: 10-5",,"- Send a loved one a gift card from our online store - Purchase a high quality, locally made facemask - Review us on Google Reviews. - Follow us on Facebook www.facebook.com/JukeboxQuilts/.   We offer personal shopping services via Facetime or Zoom if you do not want to come into the shop. Curbside delivery is available!","Take-Out","58","876d3606e6b10a113a6c60b351ed35d930ddbf53"
"Ken's Muffler and Automotive","Auto","www.kensmuffler.net","1219 N College ave","Fort Collins","7:30 am - 5:00 pm","We can pick up and deliver your vehicle in surrounding areas.","Please rate and like us on social media","Take-Out","59","a9feeced392c7bfbb1ab37925b651291ab70fbea"
"Krazy Karl's Elizabeth","Restaurant/Bar","www.krazykarlspizza.com/","1124 W. Elizabeth St","Fort Collins","Thurs - Sat 10:30am - 2am",,,"Take-Out","60","54240183a3eed02d18821d769fa58016d4448e4c"
"Krazy Karl's Pizza Campus West","Restaurant/Bar","www.krazykarlspizza.com","1124 W. Elizabeth St","Fort Collins","M-Sun 10:30am-2am","Beer and wine for delivery. We deliver for ourselves, avoid unnecessary fees.",,"Take-Out","61","84956df3c4fcf602e25f171a5c0b630f2ff8710a"
"Krazy Karl's Timberline","Restaurant/Bar","www.krazykarlspizza.com/","2620 S. Timberline Rd.","Fort Collins","10:30am - 12 am","Beer and wine for delivery. We deliver for ourselves, avoid unnecessary fees.","Check out our online ordering for take out and delivery! Gifts cards also available online. Support local!","Take-Out","62","06cea494cd2a18b80c1948c5fce5d6a3218a5aa1"
"La Creperie & Bakery of Fort Collins","Restaurant/Bar","http://www.fortcollinscreperiebakery.com","2722 S College Ave","Fort Collins","Reopening 4/30","Bakery side only, cash only",,"Take-Out","63","2957beb7bad272a6dafa30f5e71f825ca332866a"
"La Piadina","Restaurant/Bar","http://lapiadinanoco.com/","234 N College Unit B3","Fort Collins","11AM - 9PM(?)","Re-opening May 1st! Italian flat bread sandwiches",,"Take-Out","64","7e38fe2bcd72f711c1c0b12c6f7689a077c13869"
"Learning Express Toys of Fort Collins","Retail",,"4357 Corbett Drive","Fort Collins",,"Contact us at 970-282-6501. Open to the public daily 10am to 5pm. Curbside pickup, delivery, and shipping still available! View our catalog online at learningexpress.com/stores/ft-collins/?store=111. We will call you for payment.",,"Take-Out","65","ad6953086b208912236bdcc00ab59484eab8cbf3"
"Life's a Buch","Restaurant/Bar","www.lifesabuch.com","1800 E. Lincoln Ave Unit D","Fort Collins","See website","Contact us at 719-429-4628. Now offering pick-up or home delivery with focomarket.com",,"Take-Out","66","0204e2524edd4156c20bfc77f03bae25f42ce595"
"Light Center","Retail","www.Lightcenterinc.com","2725 S College Ave","Fort Collins","Monday - Saturday 9a-5p","Contact us at 970-364-3944. Our showroom is now open and newly designed. Call us at (970) 364-3944 or email sales@lightcenterinc.com if you are in need of any assistance. During this time, safe pick up and delivery services are still available. You can now shop much of our inventory online! Electrician and construction services remain open.","1. Spread the word that we have a fantastic gift selection in stock! Chess sets, lava lamps, unique candles, specialty lights, etc. We can do virtual design or gift shopping appointments. 2. Share a contract sales connection - we are looking for someone to sell our UV light boxes for sanitization. 3. Follow us on social media: Instagram - www.instagram.com/lightcenterinc/. & Facebook - www.facebook.com/LightCenterInc/.","Take-Out","67","47d5d249e86253a3ccf0d93ffe5692983cefcfd4"
"Lima Coffee Roasters","Restaurant/Bar","www.limacoffeeroasters.com/","215 E Foothills Pkwy, kiosk 1A","Fort Collins","Mon- Sat 8am-7pm, Sunday 11am-6pm",,"Please come by and order a coffee or local pastry, the Foothills Mall is still open and there is plenty of spacious and safe seating in the Mall. If you're not able to visit us, you can order our beans on our website. Please also follow us on our Instagram & Facebook where we will always keep you updated @limacoffeeroasters. Thank you for your continued support!","Take-Out","68","b2aa950a1f033cd57550b9ede98148baf7b5b23b"
"Little Bird Bakeshop","Restaurant/Bar","shop.thelittlebirdbakeshop.com","11 Old Town Sq Suite 121","Fort Collins","8am-3pm","Call 970-568-8906 or order online, pick-up (in bakery and curbside); Bread, Pastries, Light Breakfast, Coffee",,"Take-Out","69","25d20ee7ea896cb80d5361fb69c7a9433cf9c532"
"Little on Mountain","Restaurant/Bar","www.facebook.com/littleonmountain/","1046 W Mountain Ave","Fort Collins","Monday:  CLOSED  Tuesday:  8:00 AM - 11:00 AM  4:00 PM - 9:00 PM  Wednesday:  8:00 AM - 11:00 AM  4:00 PM - 9:00 PM  Thursday:  8:00 AM - 11:00 AM  4:00 PM - 9:00 PM  Friday:  8:00 AM - 11:00 AM  4:00 PM - 9:00 AM  Saturday:  8:00 AM - 11:00 AM  4:00 PM - 9:00 PM  Sunday:  8:00 AM - 11:00 AM  4:00 PM - 9:00 PM","Family style meals available","How to help this business:","Take-Out","70","f7454d6c1a308631d56083000bb5a64e0259429b"
"LongHorn Steakhouse","Restaurant/Bar",,"3450 S College Ave","Fort Collins",,"Contact us at 970-377-1375. We are open for Dine-in, Curbside pick up, and online ordering to go! Please call or order online at LongHornSteakhouse.com to place your order. We are currently open Friday - Saturday 11 a.m. to 11 p.m. and Sunday- Thursday from 11 a.m. to 10 p.m.",,"Take-Out","71","12e61b2b285fd1a405bfd17d310198de3c3d088b"
"Los Tarascos","Restaurant/Bar","lostarascos.com","622 S College Ave","Fort Collins","Mon-Fri 3pm-8pm, Sat-Sun 12pm-8pm","Offering margaritas w/ takeout",,"Take-Out","72","cd5e4f5ea4e564a6a2b81426c6aeed0f04610a47"
"Loveland Aleworks","Brewery","http://www.lovelandaleworks.com/","118 West 4th Street","Loveland",,"Open daily 11-7. Curbside pickup available, $30 minimum order for delivery. Order by 3:45pm for 4-7pm Delivery.  See website for delivery area.",,"Take-Out","73","9bb3b350e557a0f2042e2b7eaabe18ab86113956"
"Loyalty Liqours","Liquor Store","https://www.loyaltyliquors.com","1630 S Lemay","Fort Collins","9am-11:59pm","Info posted on Facebook page: call (970) 482-5967 for delivery",,"Take-Out","74","648e198eed0e12499a4b0beed1292ab0a1d8110a"
"Lu Lu Asian Bistro","Restaurant/Bar","http://lulufc.com/","117 S College Ave","Fort Collins","Mon-Thurs: 11am -9:30pm, Fri & Sat: 11am-10pm, Sun & Holidays: Noon - 9:30pm",,,"Take-Out","75","143c75ab333c264c706c5ca72c9fb09a00e1fe08"
"Luciles Creole Cafe of Fort Collins","Restaurant/Bar","www.luciles.com","400 S. Meldrum St.","Fort Collins","8am-2pm Everyday","Contact us at 970-224-5464. Heated patio dining and To Go orders 7 days a week for dining at our restaurant or for takeout to enjoy at home. Check out the Bloody Mary and Mimosa Kits! We'll be doing things a bit differently. Outdoor seating, six-foot social distancing, extra sanitation measures, digital menus are just a few of the many measures we are putting into place to ensure you and our staff remain safe","1. Order out delicious food! We are happy to bring food, drinks and retail items out to your car!  Just call us. 2. Stop in and purchase retail goodies for the holidays. 3. Rate and like us on social media.","Take-Out","76","598db77783514176d34c30a08839c1f12de50148"
"Lupita's Mexican Restaurant","Restaurant/Bar","https://www.zomato.com/northern-colorado/lupitas-mexican-restaurant-fort-collins/menu","1720 W Mulberry St","Fort Collins","7am - 8pm (Closed Sundays)","Call ahead orders or to-go orders",,"Take-Out","77","779054d6af7362a8607c2f7dc9530a4730a255c2"
