"name","type","website","location","city","hours","comments","how_to_help_this_business","product_options","meta_row_index","meta_row_id"
"Snowbank Brewing","Restaurant/Bar","snowbank.beer","225 N. Lemay Ave., Suite 1","Fort Collins","3-6pm","Monday - Thursday: 2pm - 8pm  Friday - Saturday: 12pm - 9pm  Sunday: 12pm - 8pm","https://www.facebook.com/SnowbankBrewingCO/","Crowlers","19","8912a126ae47af796bcf696f90ce7635e9ce8950"
"Sparge Brewing","Brewery","https://www.spargebrew.com","3999 GW Bush Ave #101","Wellington",,"food truck schedule on social/website.  m-th 3-7 fri 2-8 sat 12-8 sun 12-4",,"Crowlers","20","7c36d09e2754409b1010a1e140c2e79ecafd3191"
"Summit Hard Cider/Scrumpy's","Brewery","http://www.summithardcider.com/","Fort Collins, CO 80521","Fort Collins",,"Open Fri, Sat, and Sunday 12-6.  New Growlers only.  See our website for ordering details",,"Crowlers","21","075746f3333ed24f0143589485dfc5df83e71c60"
"Timnath Beerwerks","Restaurant/Bar","www.timnathbeerwerks.com","4138 Main Street","Timnath","12-8","Contact us at 970-999-5751. We are currently open for dine-in pints at the taproom as well as offering a wide variety of convenient beer to-go.","Please like, follow and share our FB and Instagram posts. Purchase a gift card or Beer To Go for a friend Come visit and check out our cool space. We have a large patio and tent with heaters and blankets available.  Dress warm and come enjoy a pint with us!","Crowlers","22","b322acc747148243cb0ae5881c32b0ad5edeab4b"
"Turtle Mountain Fermentery","Brewery","www.turtlemountainfermentery.com","513 N Link Lane, Unit C","Fort Collins",,"Delivery 7 days a week order through our website - Curbside Pick up Thursday - Sunday 1-4pm call/text 720-446-6170",,"Crowlers","23","121dbb81a3211bccf23ef470c88bd54f7cafa7bc"
"Verboten Brewing","Brewery","https://verbotenbrewing.com/","127 E. 5th Street","Loveland",,"Sun-Fri 3-6pm, Sat 2-6pm. Home delivery service everyday, 970-988-6333 or email sales@verbotenbrewing.com",,"Crowlers","24","54514974a2d3535d6ee962c01ed076ddcc2ce568"
"Zwei Brewing Co.","Restaurant/Bar","www.zweibrewing.com/default.aspx","4612 S. Mason Street, Ste 120","Fort Collins","1 - 7 p.m.","1-7PM Some prefills, also take custom orders. Email sales@zweibrewing.com","https://www.facebook.com/zbbrewing/","Crowlers","25","633fffe480a54ee123aa487a6707a4fc0c3983b0"
"Black Bottle Brewery","Restaurant/Bar","blackbottlebrewery.com/","1611 S College Ave 1609","Fort Collins","Tuesday-Sunday 12-8pm","Monday & Tuesday:  Closed (until further notice)  Wednesday & Thursday:  12pm - 6pm  Friday & Saturday: 12pm - 7pm  Sunday: 12pm - 6pm","Please help us make it through COVID. Please buy gift cards, packaged beer and beer and food to go.","Growlers","26","36ed2f08ef8cf1da3d30de180af486c4db9f5a15"
"DC Oakes Brewhouse","Brewery","https://www.dcoakesbrewhouse.com/","3581 Harmony Rd #110","Fort Collins",,"Delivers within 7 miles, 11am-9pm, 970-286-2076",,"Growlers","27","5a8f8a8143575baba206a2f6d8fba35330e5cbd3"
"Envy Brewing","Restaurant/Bar","www.envybrewing.com","3027 E. Harmony Rd. Suite 2","Fort Collins","To-Go Beer. Tues-Sat: 3-6pm","https://www.facebook.com/pg/EnvyBrewing/posts/","https://www.envybrewing.com/product-page/envy-gift-card-1","Growlers","28","103f9fb64edc3e8ad433b2aa886773f54417e2e8"
"Gilded Goat Brewing Company","Restaurant/Bar","www.gildedgoatbrewing.com","3500 S College Ave, #194","Fort Collins","TBD","Stop by and shop to support a local, family-owned business!","1. Grab some to-go beer, merchandise, and/or a gift card. 2. Follow us on Instagram and Facebook Insta: @gildedgoatbrewingco FB: @gildedgoat  3. Give the gift of craft beer this holiday season.","Growlers","29","6d817fc5269d2fd16c22ab5e1b006656abc19cc3"
"Intersect Brewing","Brewery","http://www.intersectbrewing.com/",,"Fort Collins",,"3-6 wkdays, 11-4 wknds, discounted gift card promo ($75 card for $50)",,"Growlers","30","b7563418f478e1366166ee49f9015a140b515952"
"Jessup Farm Barrel House","Brewery","http://www.jessupfarmbarrelhouse.com/","1921 Jessup Dr","Fort Collins",,"""to-go beer"" 12-7",,"Growlers","31","d8a407c492e17de877e83a7716953fcaa91f685d"
"Maxline Brewing","Brewery","https://maxlinebrewing.com/","2724 McClelland Dr #190","Fort Collins",,"New Growler fills only, but new glass is only $4",,"Growlers","32","4ba03ae9d4fa771c873abbed9b0e532514a30b62"
"Rally King Brewing","Restaurant/Bar","www.RallyKingBrewing.com","1624 S Lemay Ave #4","Fort Collins","12pm-8pm Every Day","Open 2-7pm daily. Growler fills, 6 packs, and 12oz bottles available. Gift cards and merch also available for sale. Limited to go snacks menu also available.","Please rate us on Google, follow us on our Instagram and Facebook pages @rallykingbrewing, and utilize our extensive to go options! You can find our online ordering site through our website!","Growlers","33","219b9daac7cb26db811e69c667b0bb643b797bee"
"Sparge Brewing","Brewery","https://www.spargebrew.com","3999 GW Bush Ave #101","Wellington",,"food truck schedule on social/website.  m-th 3-7 fri 2-8 sat 12-8 sun 12-4",,"Growlers","34","ed297bb4c66d347d3da0fb1fe1148b86c71246af"
"Summit Hard Cider/Scrumpy's","Brewery","http://www.summithardcider.com/","Fort Collins, CO 80521","Fort Collins",,"Open Fri, Sat, and Sunday 12-6.  New Growlers only.  See our website for ordering details",,"Growlers","35","0efe2a9c94303d978a6bb070aecbe233ef3f1b71"
"Timnath Beerwerks","Restaurant/Bar","www.timnathbeerwerks.com","4138 Main Street","Timnath","12-8","Contact us at 970-999-5751. We are currently open for dine-in pints at the taproom as well as offering a wide variety of convenient beer to-go.","Please like, follow and share our FB and Instagram posts. Purchase a gift card or Beer To Go for a friend Come visit and check out our cool space. We have a large patio and tent with heaters and blankets available.  Dress warm and come enjoy a pint with us!","Growlers","36","d9a4d0966b335a1dba92a788185f955d5ed136e1"
"Turtle Mountain Fermentery","Brewery","www.turtlemountainfermentery.com","513 N Link Lane, Unit C","Fort Collins",,"Delivery 7 days a week order through our website - Curbside Pick up Thursday - Sunday 1-4pm call/text 720-446-6170",,"Growlers","37","044f97728281fe5a7e9d89ea95ddc5f6e41d7fd7"
"Verboten Brewing","Brewery","https://verbotenbrewing.com/","127 E. 5th Street","Loveland",,"Sun-Fri 3-6pm, Sat 2-6pm. Home delivery service everyday, 970-988-6333 or email sales@verbotenbrewing.com",,"Growlers","38","44fc4ceb407efa5e2de4f2e916f5296d67eeb561"
"Zwei Brewing Co.","Restaurant/Bar","www.zweibrewing.com/default.aspx","4612 S. Mason Street, Ste 120","Fort Collins","1 - 7 p.m.","1-7PM Some prefills, also take custom orders. Email sales@zweibrewing.com","https://www.facebook.com/zbbrewing/","Growlers","39","ea7959b243ee5118634cdc14e3e801ad13861fee"
"Black Bottle Brewery","Restaurant/Bar","blackbottlebrewery.com/","1611 S College Ave 1609","Fort Collins","Tuesday-Sunday 12-8pm","Monday & Tuesday:  Closed (until further notice)  Wednesday & Thursday:  12pm - 6pm  Friday & Saturday: 12pm - 7pm  Sunday: 12pm - 6pm","Please help us make it through COVID. Please buy gift cards, packaged beer and beer and food to go.","Bottles","40","12e77d12a512d99e3ff710ff147758e4085a81bb"
"CopperMuse Distillery","Restaurant/Bar","https://coppermuse.com/store","244 N College Ave #105","Fort Collins","Wed & Fri 4-6:30pm, Sat 1-4pm.","Contact us at 970-999-6016. Open for indoor/patio dinning & libations or take out. Tasting room is open every weekend, Friday 2-8, Staurday 12-8, and Sunday 12-6 Closing hours subject to change due to inclement weather.",,"Bottles","41","fe375bdc507527da23a85f6732b789d234c59ddf"
"Crooked Stave","Brewery","http://www.crookedstave.com/visit-us/foco-tap-list/","216 N College Ave Suite 130","Fort Collins",,"Taprooms hours: 12:00-6:00PM DAILY",,"Bottles","42","4eb4a53e0e082d885b2a8c112020431ef5d2e266"
"Elevation 5003","Brewery","http://www.elevation5003.com/","2601 S Lemay Ave #8","Fort Collins",,"Offering Cocktails & Bottles to go",,"Bottles","43","90b0095966fc41fabb3e5de3a06c9f3593311c71"
"Gilded Goat Brewing Company","Restaurant/Bar","www.gildedgoatbrewing.com","3500 S College Ave, #194","Fort Collins","TBD","Stop by and shop to support a local, family-owned business!","1. Grab some to-go beer, merchandise, and/or a gift card. 2. Follow us on Instagram and Facebook Insta: @gildedgoatbrewingco FB: @gildedgoat  3. Give the gift of craft beer this holiday season.","Bottles","44","88f74ad58eb02ea7cd57eaf5d4dbe52a1f16215e"
"Jessup Farm Barrel House","Brewery","http://www.jessupfarmbarrelhouse.com/","1921 Jessup Dr","Fort Collins",,"""to-go beer"" 12-7",,"Bottles","45","9a15db1443a7c4a492fb7ca834995872d2544585"
"Life's a Buch","Restaurant/Bar","www.lifesabuch.com","1800 E. Lincoln Ave Unit D","Fort Collins","See website","Contact us at 719-429-4628. Now offering pick-up or home delivery with focomarket.com",,"Bottles","46","4ecb95f47d61a99bd1d5a5d1a293b13d8fb5e32e"
"Odell Brewing Co","Brewery","https://focobeer.odellbrewing.com/","800 Lincoln Ave","Fort Collins",,"Order online, pick up Friday-Sunday, 12:00-7:00 curbside in West Parking Lot. Check website for special releases",,"Bottles","47","c46ebfde8207a2758f49dc8fd48d3b6b8fc325fc"
"Purpose Brewing","Brewery","https://purposebrewing.com/","4025 S Mason St","Fort Collins",,"750mL fliptop bottles ($10 - 20 depending on beer, also add $10 for a fliptop bottle if you are not returning one) and 1/6 bbls kegs ($130 - 200)",,"Bottles","48","d1ea9e08dd52097f3cff789b489f3aa9f2d52eba"
"Rally King Brewing","Restaurant/Bar","www.RallyKingBrewing.com","1624 S Lemay Ave #4","Fort Collins","12pm-8pm Every Day","Open 2-7pm daily. Growler fills, 6 packs, and 12oz bottles available. Gift cards and merch also available for sale. Limited to go snacks menu also available.","Please rate us on Google, follow us on our Instagram and Facebook pages @rallykingbrewing, and utilize our extensive to go options! You can find our online ordering site through our website!","Bottles","49","0e26f3eab1688f1a2738d1aa279ea50c7e00a028"
"Timnath Beerwerks","Restaurant/Bar","www.timnathbeerwerks.com","4138 Main Street","Timnath","12-8","Contact us at 970-999-5751. We are currently open for dine-in pints at the taproom as well as offering a wide variety of convenient beer to-go.","Please like, follow and share our FB and Instagram posts. Purchase a gift card or Beer To Go for a friend Come visit and check out our cool space. We have a large patio and tent with heaters and blankets available.  Dress warm and come enjoy a pint with us!","Bottles","50","168f4abb1fc06ec2ee9edd6bf95f6537dd8ab244"
"Crooked Stave","Brewery","http://www.crookedstave.com/visit-us/foco-tap-list/","216 N College Ave Suite 130","Fort Collins",,"Taprooms hours: 12:00-6:00PM DAILY",,"Cans","51","f0e485bce8024c8f8ad4b65ae0c9b022ff43cb04"
"Envy Brewing","Restaurant/Bar","www.envybrewing.com","3027 E. Harmony Rd. Suite 2","Fort Collins","To-Go Beer. Tues-Sat: 3-6pm","https://www.facebook.com/pg/EnvyBrewing/posts/","https://www.envybrewing.com/product-page/envy-gift-card-1","Cans","52","090b42b082991a3274e4c5ae243d95a82d6d6248"
"Gilded Goat Brewing Company","Restaurant/Bar","www.gildedgoatbrewing.com","3500 S College Ave, #194","Fort Collins","TBD","Stop by and shop to support a local, family-owned business!","1. Grab some to-go beer, merchandise, and/or a gift card. 2. Follow us on Instagram and Facebook Insta: @gildedgoatbrewingco FB: @gildedgoat  3. Give the gift of craft beer this holiday season.","Cans","53","7684b6255a0c95db812594da342ff0de71dbab27"
"Intersect Brewing","Brewery","http://www.intersectbrewing.com/",,"Fort Collins",,"3-6 wkdays, 11-4 wknds, discounted gift card promo ($75 card for $50)",,"Cans","54","6042a10c5896e18172b4fc892ff12582acde33bc"
"Loveland Aleworks","Brewery","http://www.lovelandaleworks.com/","118 West 4th Street","Loveland",,"Open daily 11-7. Curbside pickup available, $30 minimum order for delivery. Order by 3:45pm for 4-7pm Delivery.  See website for delivery area.",,"Cans","55","bb80c3c5c7a5ad0ed0070935f24631df2b893d94"
"Odell Brewing Co","Brewery","https://focobeer.odellbrewing.com/","800 Lincoln Ave","Fort Collins",,"Order online, pick up Friday-Sunday, 12:00-7:00 curbside in West Parking Lot. Check website for special releases",,"Cans","56","be43d3755ceb598d3cd91bdad2337179a97a041a"
"Rally King Brewing","Restaurant/Bar","www.RallyKingBrewing.com","1624 S Lemay Ave #4","Fort Collins","12pm-8pm Every Day","Open 2-7pm daily. Growler fills, 6 packs, and 12oz bottles available. Gift cards and merch also available for sale. Limited to go snacks menu also available.","Please rate us on Google, follow us on our Instagram and Facebook pages @rallykingbrewing, and utilize our extensive to go options! You can find our online ordering site through our website!","Cans","57","1d5a6d85602f812240d4499a116e68388c65e51c"
"Red Truck","Brewery","redtruckbeer.com","1020 E Lincoln Ave","Fort Collins",,"Call to order or use gotab website. Free delivery.",,"Cans","58","89e0f5caf6579a894ddedd95a6a59ef60d7b55cc"
"Snowbank Brewing","Restaurant/Bar","snowbank.beer","225 N. Lemay Ave., Suite 1","Fort Collins","3-6pm","Monday - Thursday: 2pm - 8pm  Friday - Saturday: 12pm - 9pm  Sunday: 12pm - 8pm","https://www.facebook.com/SnowbankBrewingCO/","Cans","59","732fa11f0414e50a68db293e6a925b8a7b7f0729"
"Summit Hard Cider/Scrumpy's","Brewery","http://www.summithardcider.com/","Fort Collins, CO 80521","Fort Collins",,"Open Fri, Sat, and Sunday 12-6.  New Growlers only.  See our website for ordering details",,"Cans","60","a14b01e6b2883e0374defe26622fcd77d1d4ddd7"
"Turtle Mountain Fermentery","Brewery","www.turtlemountainfermentery.com","513 N Link Lane, Unit C","Fort Collins",,"Delivery 7 days a week order through our website - Curbside Pick up Thursday - Sunday 1-4pm call/text 720-446-6170",,"Cans","61","27d777912d2bcf35a474200a66cbbc6d84826b8b"
"Verboten Brewing","Brewery","https://verbotenbrewing.com/","127 E. 5th Street","Loveland",,"Sun-Fri 3-6pm, Sat 2-6pm. Home delivery service everyday, 970-988-6333 or email sales@verbotenbrewing.com",,"Cans","62","3904994dc06683070c7f001785449aad3c941b8d"
"287 Craft Spirits","Liquor Store","http://www.287craftspirits.com/","5846 S College Ave, Fort Collins, CO 80525","Fort Collins","9am -9pm","Call (970) 377-0557 to place an order for prepared curbside pick up. Limited number of customers allowed inside store. Note: store service is exceptionally well organized right now. (from a customer)",,"Gift Cards","63","a78f9bbdd5eaa833e52ff3ab74489a522e7c8411"
"A&J Antique Mall","Retail","www.ajantiques.com","6012 S. College Ave.","Fort Collins","Daily 10am - 6pm",,"Please rate, like, follow us on Facebook, Instagram and other social media. https://www.facebook.com/A-J-Antiques-201795639864507/","Gift Cards","64","21fd87f7ad08039252494681ea35536a081beb0b"
"Akinz","Retail","akinz.com/","15 Old Town Square","Fort Collins","Online Sales only",,"Purchase gift certificates and merchandise online at akinz.com/shop/accessories/gift-certificates-variable-amount.","Gift Cards","65","542b435450fb8a12a778ceeeeb131017d1a0ef2a"
"Alpine Arts - The Colorado Showcase","Retail","www.alpineartscolorado.com/","112 North College Ave","Fort Collins","M-Sat: 10am-9pm. Sun: 11AM-!0pm","We offer curbside pickup 7 Days a week!","Purchase gift certificates and merchandise online with delivery, shipping, or 'take-out' options.","Gift Cards","66","db46088e1895074fb10d544f29126c592617a76c"
"Animal Friends Alliance","Family, Community & Non-Profit","https://www.savinganimalstoday.org/","2321 E Mulberry #1","Fort Collins","Variable","https://www.facebook.com/AnimalFriendsAlliance","Donate, foster/adopt animals and encourage others to foster and adopt.","Gift Cards","67","10761048ef9c8e1727b768e1260aac4e37285a06"
"Ascent Climbing Studio & Fitness","Entertainment & Recreation","www.ascentstudio.com","2150 Joseph Allen Drive","Fort Collins","6am-10pm Monday through Friday | 8am-8pm Saturday and Sunday",,"Buy online gift cards, punch passes, memberships or check out our online store! All great gifts for family and friends. Follow us @ascentstudio","Gift Cards","68","6128c324b5fd8e1be2f6e70e7f99f5e62821d359"
"Avuncular Bob's Beerhouse","Restaurant/Bar","https://www.avuncularbobs.com/","830 S College Ave","Fort Collins","12-7pm Wed/Thurs,  12-8pm Fri/Sat/Sun","Contact us at 970-484-2688. Open today for dine in, and curbside pick-up! Open Tuesday-thursday 3-8pm, Friday and Saturday 12-8pm, Sunday 12-5pm, and Closed Mondays. Times are wacky, but we have you covered with to-go BEER and FOOD today! Check out our full listing at www.avuncularbobs.com. And don't forget, we have BEER FLIGHTS TO-GO",,"Gift Cards","69","4ea9d33da253e17f5e1fdf3e0674e6289d512b97"
"Bann Thai","Restaurant/Bar","www.bannthairestaurant.net","2721 Council Tree Ave","Fort Collins","Mon-Sat: 11am-9pm. Sun: 12pm-9pm","970-377-1282. Offering takeouts and delivery with no fees with a min. of $15",,"Gift Cards","70","97bb43fe314e8e73fddaf4ffe55546074c6c0ec0"
"Bizarre Bazaar Books and Music","Retail","www.fortcollinsbazaar.com/","1014 S.  College Ave.","Fort Collins","10am - 7 pm",,"Shop at our store. Sell us your books, records, and audio equipment. Donate used media to our free wall!","Gift Cards","71","5111f1cda75ada2e3447bba17f44f8cceb1b5d9d"
"Black Bottle Brewery","Restaurant/Bar","blackbottlebrewery.com/","1611 S College Ave 1609","Fort Collins","Tuesday-Sunday 12-8pm","Monday & Tuesday:  Closed (until further notice)  Wednesday & Thursday:  12pm - 6pm  Friday & Saturday: 12pm - 7pm  Sunday: 12pm - 6pm","Please help us make it through COVID. Please buy gift cards, packaged beer and beer and food to go.","Gift Cards","72","03d50951ca79f12a7c29ed7549dfc516031f8892"
"Blue Moose Art Gallery","Entertainment & Recreation","www.bluemooseartgallery.com","4032 S College Ave, Fort Collins, CO","Fort Collins","Monday-Sat, 10a-4p; Sun 11-4",,"Write a review on social, Google My Business page, Yelp, Trip Advisor. Shop our online sales via our website. Purchase a gift card either online or in the gallery. Visit the store to support 80+ Colorado artists and to have FUN!   Follow us on Facebook: facebook.com/BlueMooseArtGallery and Instagram: instagram.com/blue.moose.gallery/?hl=en https://g.page/BlueMooseArtGallery/review?rc","Gift Cards","73","5294634e0455bfc788742b57f8064e5633576a2d"
"Brown's Shoe Fit","Retail","fortcollinsshoes.com/","3500 S COLLEGE AVE, SUITE 184","Fort Collins","Monday- Friday10-7, Saturday 10-6,  Sunday 12-5",,"Like us on Facebook @BrownsShoeFitCoFtCo. Buy Gift cards. You can do a Facetime call and shop virtually","Gift Cards","74","6ddaa9e5bec6df0ed1e641773d662c006e67b9b8"
"Butterfly Cafe","Restaurant/Bar","Butterflycafefortcollins.com","212 Laporte Ave","Fort Collins","Monday-Friday: 7am - 3pm, Saturday 8am - 4pm","Thank you for supporting us!","Leave us a good review on google or Yelp, post on social media, tell people! :)","Gift Cards","75","af24aedb65642ebc49a7c76caec69c1574913d52"
"Cafe Bluebird","Restaurant/Bar","https://www.cafebluebird.com/","524 W Laurel St","Fort Collins","Thursday - Tuesday 8AM - 1PM","Buy gift certificates over the phone or in person",,"Gift Cards","76","d10e6e51538e1d9232d734804297e482097e2d83"
"Comet Chicken","Restaurant/Bar","http://cometchicken.com/","126 W Mountain Ave","Fort Collins","Reopening May 8th @11am-9pm","Contact us at 970-689-3464. Dine-In, Takeout, and Delivery, Hours of operation are 11 a.m.-9 p.m., seven days a week. The menu features chicken tender baskets, sandwiches (original, Nashville hot, buffalo), house salad, fries, side salad, and brownies. Guests may pick up their favorites through carryout, newly instituted curbside pickup, or delivery from NoCo NOSH, and GrubHub. Comet Chicken has also launched online ordering to accommodate contactless ordering and payment.",,"Gift Cards","77","8d6d5f30788f9d677e18a4341ca634cd1337ece3"
"Compost Queen","Construction, Trades & Landscaping","https://compostqueenfc.com/","2224 Stonegate Drive","Fort Collins","8am-6pm","No contact composting service!","How to help with business: Please rate us on Google and social media, share our services with local individuals","Gift Cards","78","304f55642a2fe2583774671e0061cffed45bbea3"
"Coopersmith's (Pub and Poolside)","Restaurant/Bar","https://coopersmithspub.com/","5 Old Town Sq","Fort Collins","Pubside: Open","Pubside: Sun. -Thurs:11am - 9pm Friday & Sat.: 11am - 10pm. Poolside: Temporarily Closed",,"Gift Cards","79","20595bafc36eb8eb1fa9e47227300300ec49f5a1"
"CopperMuse Distillery","Restaurant/Bar","https://coppermuse.com/store","244 N College Ave #105","Fort Collins","Wed & Fri 4-6:30pm, Sat 1-4pm.","Contact us at 970-999-6016. Open for indoor/patio dinning & libations or take out. Tasting room is open every weekend, Friday 2-8, Staurday 12-8, and Sunday 12-6 Closing hours subject to change due to inclement weather.",,"Gift Cards","80","26100996ee857b800e3af9b4a7d0cbda93d43344"
"Crown Pub, The","Restaurant/Bar","http://www.crownpub.net/","134 S College Ave","Fort Collins","3-8pm","Limited menu & alcohol currently available - call 970-484-5929",,"Gift Cards","81","f7cf5d77fca987f1c5f78b1e533241c9a8e05ede"
"Cuppys Coffee","Restaurant/Bar","https://cuppyscoffeefc.com/","353  W Drake Rd #120","Fort Collins","Reopening May 4th, 8am-5pm Mon-Sun","Coffee drinks, soothies, breakfast, lunch & bags of coffee",,"Gift Cards","82","bf6e1eccc05c37944d6f37c588ec355920175651"
"Cynergy","Health & Wellness","https://livewithcynergy.com/learn-something-new/","1136 E. Stuart St. #4-205","Fort Collins","By Appointment",,"How to help this business:https://www.facebook.com/pages/category/Massage-Therapist/Live-With-Cynergy-2200132006745448/","Gift Cards","83","876a9c9117968f60f9de2b38aa50a849042b0429"
"Dandelions & Rust","Retail","Www.dandelionsandrust.com","1220 S. College Ave","Fort Collins",,"We will be continuing our outdoor markets throughout the winter! Check in with us for dates!","Please remember to shop small this holiday season. We represent 30 local artists in our store. We offer gift cards, local pick up/delivery, and a small selection of items for sale via our website.  Follow us on FB and insta and share us with a friend. Thank you!","Gift Cards","84","bea7ed04010ca7469bb80c163e6dd86da4172ba2"
"Dickey's Barbecue Pit","Restaurant/Bar","www.dickeys.com/","2721 S College Ave. #2","Fort Collins","11:00am to 8:30pm",,"https://www.facebook.com/dickeysbarbecuepit/","Gift Cards","85","2291a937263a6484b687e0278363f7b03c2d32d9"
"Dickey's Barbecue Pit","Restaurant/Bar","www.dickeys.com/","104 E 29th Street Unit 2","Loveland","Daily 11:00am to 8:30pm",,"https://www.facebook.com/dickeysbarbecuepit/","Gift Cards","86","fb33513a4b218f60a92c2c4d65f5a37af28310dc"
