"year_of_birth","gender","count"
"1939","FEMALE","433"
"1940","MALE","453"
"1940","FEMALE","463"
"1941","FEMALE","503"
"1941","MALE","551"
"1942","MALE","626"
"1942","FEMALE","582"
"1943","FEMALE","662"
"1943","MALE","729"
"1944","FEMALE","744"
"1944","MALE","735"
"1945","FEMALE","786"
"1945","MALE","749"
"1946","MALE","965"
"1946","FEMALE","884"
"1947","MALE","1043"
"1947","FEMALE","995"
"1948","MALE","1012"
"1948","FEMALE","940"
"1949","MALE","978"
"1949","FEMALE","980"
"1950","FEMALE","985"
"1950","MALE","1036"
"1951","MALE","1063"
"1951","FEMALE","1052"
"1952","FEMALE","1068"
"1952","MALE","1099"
"1953","MALE","1128"
"1953","FEMALE","1035"
"1954","FEMALE","1022"
"1954","MALE","1105"
"1955","MALE","1198"
"1955","FEMALE","1166"
"1956","FEMALE","1256"
"1956","MALE","1274"
"1957","FEMALE","1343"
"1957","MALE","1421"
"1958","MALE","1321"
"1958","FEMALE","1395"
"1959","MALE","1349"
"1959","FEMALE","1432"
"1960","MALE","1420"
"1960","FEMALE","1452"
"1961","MALE","1505"
"1961","FEMALE","1486"
"1962","MALE","1542"
"1962","FEMALE","1456"
"1963","MALE","1618"
"1963","FEMALE","1429"
"1964","FEMALE","1400"
"1964","MALE","1546"
"1965","MALE","1423"
"1965","FEMALE","1417"
"1966","FEMALE","1316"
"1966","MALE","1419"
"1967","MALE","1337"
"1967","FEMALE","1239"
"1968","MALE","1403"
"1968","FEMALE","1290"
"1969","MALE","1427"
"1969","FEMALE","1335"
"1969","NOT STATED","1"
"1970","FEMALE","1589"
"1970","MALE","1570"
"1971","FEMALE","1434"
"1971","MALE","1547"
"1972","MALE","1478"
"1972","FEMALE","1384"
"1973","FEMALE","1338"
"1973","MALE","1488"
"1974","FEMALE","1461"
"1974","MALE","1465"
"1975","FEMALE","1440"
"1975","MALE","1471"
"1976","MALE","1617"
"1976","FEMALE","1536"
"1977","FEMALE","1574"
"1977","MALE","1750"
"1978","FEMALE","1724"
"1978","MALE","1790"
"1979","FEMALE","1872"
"1979","MALE","1906"
"1980","MALE","2123"
"1980","FEMALE","1930"
"1981","FEMALE","2186"
"1981","MALE","2332"
"1982","MALE","2541"
"1982","FEMALE","2210"
"1983","FEMALE","2321"
"1983","MALE","2426"
"1984","FEMALE","2356"
"1984","MALE","2467"
"1985","FEMALE","2506"
"1985","MALE","2676"
"1986","MALE","2640"
"1986","FEMALE","2497"
"1987","MALE","2704"
"1987","FEMALE","2512"
"1988","FEMALE","2530"
"1988","MALE","2775"
"1989","MALE","3123"
"1989","FEMALE","2796"
"1990","FEMALE","3154"
"1990","MALE","3280"
"1991","MALE","3347"
"1991","FEMALE","3157"
"1992","MALE","3247"
"1992","FEMALE","2951"
"1993","MALE","3019"
"1993","FEMALE","2947"
"1994","FEMALE","2879"
"1994","MALE","2969"
"1995","FEMALE","2772"
"1995","MALE","2952"
"1996","FEMALE","2777"
"1996","MALE","2982"
"1997","MALE","2887"
"1997","FEMALE","2764"
"1998","MALE","2942"
"1998","FEMALE","2746"
"1999","FEMALE","2777"
"1999","MALE","2804"
"2000","MALE","3045"
"2000","FEMALE","2789"
"2001","FEMALE","2861"
"2001","MALE","2994"
"2002","FEMALE","2946"
"2002","MALE","2948"
"2003","MALE","3070"
"2003","FEMALE","2881"
"2004","MALE","3140"
"2004","FEMALE","2963"
"2005","FEMALE","2856"
"2005","MALE","2921"
"2006","FEMALE","2921"
"2006","MALE","3101"
"2007","MALE","2981"
"2007","FEMALE","2923"
"2008","MALE","2972"
"2008","FEMALE","2894"
"2009","MALE","2944"
"2009","FEMALE","2730"
"2010","FEMALE","2728"
"2010","MALE","2824"
"2011","MALE","2681"
"2011","FEMALE","2640"
"2012","FEMALE","2623"
"2012","MALE","2676"
"2013","MALE","2587"
"2013","FEMALE","2537"
"2013","NOT STATED","11"
"2014","MALE","2619"
"2014","FEMALE","2619"
"2015","MALE","2660"
"2015","FEMALE","2549"
"2016","MALE","2615"
"2016","NOT STATED","3"
"2016","FEMALE","2540"
"2017","FEMALE","2281"
"2017","MALE","2505"
"2017","NOT STATED","8"
"2018","FEMALE","2266"
"2018","F","2"
"2018","NOT STATED","45"
"2018","MALE","2482"
"2019","FEMALE","2238"
"2019","MALE","2262"
"2020","FEMALE","2198"
"2020","MALE","2334"
"2020","NOT STATED","3"
"2021","FEMALE","2281"
"2021","NONBINARY","1"
"2021","MALE","2396"
"2021","F","6"
"2021","NOT STATED","2"
"2022","MALE","1210"
"2022","F","1"
"2022","FEMALE","1265"
