"fiscal_year","department","division","program","sub_program","description","revenue_category","adopted_budget","amended_budget","actual_revenue","fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Building-Alterations/Additions","Permits","0","23280","19206.22","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Building-New Construction","Permits","0","89700","39496.26","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Certificate of Occupancy","Permits","0","10020","6650","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Commercial Plan Review","Permits","0","7310","0","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Curb Cut","Permits","0","3220","1590","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Elec- New Construction","Permits","0","18880","30585.5","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Elec-Alterations/Additions","Permits","0","16270","2272","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Elect Permit - Alterations/Addtn","Permits","0","41720","7868.51","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Erosion Control","Permits","0","14910","6750","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Erosion/Storm Water","Permits","0","9000","5040","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","HVAC- Alterations/Additions","Permits","0","16550","14838.92","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","HVAC- New Construction","Permits","0","12250","6690","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","HVAC Permit - Alteration/Addtn","Permits","0","18120","2301.34","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Miscellaneous","Permits","0","7680","6403","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Miscellaneouse","Permits","0","11080","10232.01","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Occupancy","Permits","0","6620","6050","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Plan Review - Plumbing","Permits","0","2180","8617.5","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Plan Review- Building","Permits","0","45690","13244.26","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Plan Review- HVAC","Permits","0","14030","9880","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Plumb Permit - Alteration/Addtn","Permits","0","14630","7421","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Plumbing- Alterations/Additions","Permits","0","7620","7619","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Plumbing- New Construction","Permits","0","43810","36379","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Residential Plan Review","Permits","0","11880","5400","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Signs","Permits","0","13420","11881.54","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Site Plan Review","Permits","0","5630","3750","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","State Seal","Permits","0","4970","-257","General Fund"
"2008","Leisure Services","N/A","Golf Course General","N/A","Other Revenue","Service Charges","875","875","4544.58","Golf Courses"
"2008","Library","Library","Fines, Fees, Etc","N/A","Other Taxable Sales","Service Charges","950","950","767.69","Hedberg Public Library"
"2008","Public Works","Operations","Recycling","N/A","Recycling Bins","Service Charges","1000","1000","1176","Sanitation"
"2008","Leisure Services","Recreation","Youth Programs","N/A","Ticket Flow Through","Service Charges","1000","1000","927.25","General Fund"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Special Fare","Service Charges","1300","1300","1200","Transit"
"2008","Library","JATV","N/A","N/A","Friends of JATV","Service Charges","2000","2000","2000","JATV 12"
"2008","Library","JATV","N/A","N/A","Grants & Gifts","Service Charges","2000","2000","950","JATV 12"
"2008","Library","JATV","N/A","N/A","Tape Sales & Fees","Service Charges","2000","2000","1598.35","JATV 12"
"2008","N/A","N/A","N/A","N/A","Special Assessment Splits","Other Revenue","2000","2000","600","General Fund"
"2008","Leisure Services","Recreation","Adult Programs","N/A","Field & Court Reservation","Service Charges","2000","2000","955.45","General Fund"
"2008","Leisure Services","Recreation","Ice Skating Center","N/A","Pro Shop","Service Charges","2000","2000","1207.2","General Fund"
"2008","N/A","N/A","N/A","N/A","Publication Fees","License","3000","3000","3625","General Fund"
"2008","Leisure Services","Recreation","Senior Center","N/A","Facility Rental","Service Charges","3000","3000","2655.73","General Fund"
"2008","Leisure Services","Recreation","Recreation Admin","N/A","Equipment Rental","Service Charges","3000","3000","4342.35","General Fund"
"2008","Library","Library","Fines, Fees, Etc","N/A","Reference Printing","Service Charges","3150","3150","10257.47","Hedberg Public Library"
"2008","Neighborhood & Community Services","N/A","Historic Publication Sales","N/A","Historic Publication Sale","Service Charges","4000","4000","241.71","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","Housing & Home Ownership","N/A","Housing Rehab Revolving Rental","Service Charges","5000","5000","4046.28","CDA Block Grant"
"2008","N/A","N/A","N/A","N/A","Electrician License","License","5000","5000","5765","General Fund"
"2008","Leisure Services","Recreation","Aquatics","N/A","Season Pass","Service Charges","5000","5000","3909.01","General Fund"
"2008","Neighborhood & Community Services","N/A","Home Buyers Workshop","N/A","Home Buyers Workshop","Service Charges","5400","5400","3056.48","Other Housing Grants"
"2008","Public Works","Stormwater","N/A","N/A","Late Fees/Penalties","Interest, Rents, Fines","6000","6000","9301.16","Stormwater Utility"
"2008","Leisure Services","Recreation","Adult Programs","N/A","Basketball","Service Charges","6000","6000","4670.15","General Fund"
"2008","Leisure Services","Recreation","Ice Skating Center","N/A","Concessions","Service Charges","6000","6000","5252.5","General Fund"
"2008","Library","Library","Fines, Fees, Etc","N/A","Copies","Other Revenue","6250","6250","6129.35","Hedberg Public Library"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Miscellaneous Receipts","Other Revenue","7000","7000","9707.3","Transit"
"2008","Leisure Services","Recreation","Recreation Admin","N/A","Concession Revenue","Service Charges","7000","7000","3522","General Fund"
"2008","Leisure Services","Recreation","Recreation Admin","N/A","Vending Machines","Service Charges","7000","7000","1336.2","General Fund"
"2008","Leisure Services","Recreation","Aquatics","N/A","Other Rockport Revenues","Service Charges","7000","7000","5767.62","General Fund"
"2008","Leisure Services","Recreation","Ice Skating Center","N/A","Figure Skating","Service Charges","7000","7000","10673.08","General Fund"
"2008","Leisure Services","Recreation","Senior Center","N/A","Other Senior Center Revenue","Service Charges","8000","8000","-653.49","General Fund"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Special Max Tokens","Service Charges","8600","8600","6252","Transit"
"2008","Leisure Services","Recreation","Aquatics","N/A","Rockport Swim Lessons","Service Charges","9000","9000","10486","General Fund"
"2008","N/A","N/A","N/A","N/A","Bartender License","License","10000","10000","10600","General Fund"
"2008","N/A","N/A","N/A","N/A","Youth Center","License","10000","10000","0","General Fund"
"2008","Fire","N/A","N/A","N/A","Miscellaneous","Service Charges","10000","10000","9192.19","General Fund"
"2008","Leisure Services","Recreation","Youth Programs","N/A","Day Camp - Tot/Sports","Service Charges","10000","10000","16394.9","General Fund"
"2008","Leisure Services","Recreation","Ice Skating Center","N/A","Donations","Service Charges","10000","10000","4000","General Fund"
"2008","Administrative Services","N/A","Insurance","N/A","Other Insurance","Other Revenue","10790","10790","13963.76","Insurance"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Janesville to BTC","Service Charges","11100","11100","11569.25","Transit"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","ParaTransit","Service Charges","11600","11600","14457.5","Transit"
"2008","Neighborhood & Community Services","N/A","State Housing Admin","N/A","CLG Grant","State & Federal Aids","12000","12000","12000","Other Housing Grants"
"2008","Leisure Services","Recreation","Recreation Admin","N/A","Public Event Fees","Service Charges","12000","12000","3361.23","General Fund"
"2008","Library","Library","Fines, Fees, Etc","N/A","SAM","Service Charges","13000","13000","4398.81","Hedberg Public Library"
"2008","Leisure Services","Recreation","Senior Center","N/A","Senior Programming","Service Charges","14000","14000","16057.58","General Fund"
"2008","N/A","N/A","N/A","N/A","Dog License","License","15000","15000","30518.9","General Fund"
"2008","N/A","N/A","N/A","N/A","Miscellaneous Receipts","Other Revenue","15000","15000","423741.75","General Fund"
"2008","N/A","N/A","N/A","N/A","Food & Cigarettes","License","16000","16000","16950","General Fund"
"2008","Library","Library","Taxes","N/A","Exempt Computer Aid","State & Federal Aids","16500","16500","14019","Hedberg Public Library"
"2008","N/A","N/A","N/A","N/A","Amusement Center","License","17000","17000","17990","General Fund"
"2008","Leisure Services","Recreation","Adult Programs","N/A","Pavillion Rental","Service Charges","18165","18165","20246.45","General Fund"
"2008","Leisure Services","Recreation","Aquatics","N/A","Rockport Pool","Service Charges","19000","19000","26142.69","General Fund"
"2008","N/A","N/A","N/A","N/A","Weights & Measures","License","20000","20000","21730.9","General Fund"
"2008","Public Works","N/A","N/A","N/A","Plan Approval Fees","Service Charges","20000","20000","23325","General Fund"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","All Around Town Passes","Service Charges","20400","20400","18565","Transit"
"2008","N/A","N/A","N/A","N/A","Leases","Service Charges","22000","22000","21786.71","General Fund"
"2008","Leisure Services","Recreation","Youth Programs","N/A","Sports","Service Charges","22000","22000","12495.34","General Fund"
"2008","Leisure Services","Recreation","Adult Programs","N/A","Volleyball","Service Charges","22000","22000","21444.18","General Fund"
"2008","Public Works","Water","N/A","N/A","Water Department Rentals","Service Charges","25000","25000","58348","Water Utility"
"2008","N/A","N/A","N/A","N/A","Sale of City Property","Interest, Rents, Fines","25000","25000","25448.32","General Fund"
"2008","Public Works","Operations","Recycling","N/A","Tire Recycling","Service Charges","27000","27000","28191.69","Sanitation"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Advertising on City Property","Interest, Rents, Fines","28000","28000","30295.26","Transit"
"2008","Public Works","Water","N/A","N/A","Late Fees/Penalties","Interest, Rents, Fines","30000","30000","44139.24","Water Utility"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Janesville to Beloit","Service Charges","31600","31600","10931.46","Transit"
"2008","Public Works","Wastewater","N/A","N/A","Pretreatment Program","Service Charges","35000","35000","34769","Wastewater Utility"
"2008","Leisure Services","Recreation","Ice Skating Center","N/A","Ice Rental","Service Charges","35000","35000","25912.62","General Fund"
"2008","Leisure Services","Recreation","Ice Skating Center","N/A","Public Skating","Service Charges","35000","35000","43831.81","General Fund"
"2008","Public Works","Water","N/A","N/A","Other Water Revenues","Service Charges","39000","39000","55924.31","Water Utility"
"2008","Public Works","Water","N/A","N/A","Private Fire Protection","Service Charges","40000","40000","42519.5","Water Utility"
"2008","Leisure Services","Recreation","Ice Skating Center","N/A","Programming","Service Charges","40000","40000","35172.53","General Fund"
"2008","Neighborhood & Community Services","N/A","Neighborhood Activities","N/A","Neighborhood Imp.","State & Federal Aids","43000","43000","395712.28","CDA Block Grant"
"2008","Public Works","N/A","N/A","N/A","Right-of-Way Excavation","Service Charges","43000","43000","34377.2","General Fund"
"2008","Library","Library","Miscellaneous Library","N/A","Miscellaneous","Service Charges","43500","43500","79534.12","Hedberg Public Library"
"2008","Public Works","Wastewater","N/A","N/A","Late Fees/Penalties","Interest, Rents, Fines","45000","45000","57119.58","Wastewater Utility"
"2008","Public Works","Wastewater","N/A","N/A","Misc Operating Revenues","Service Charges","45000","45000","115528.71","Wastewater Utility"
"2008","N/A","N/A","N/A","N/A","Wastewater Service Charge","Other Revenue","45000","45000","45057.79","General Fund"
"2008","Public Works","Operations","N/A","N/A","Miscellaneous","Service Charges","50000","50000","37757.19","Vehicle Operation & Maintenance"
"2008","Administrative Services","N/A","Insurance","N/A","Auto Physical Damage","Other Revenue","50000","50000","76846.29","Insurance"
"2008","N/A","N/A","N/A","N/A","Real Estate Searches","Other Revenue","50000","50000","31325","General Fund"
"2008","N/A","N/A","N/A","N/A","Rent City Services","Interest, Rents, Fines","50000","50000","50000","General Fund"
"2008","Public Works","Stormwater","N/A","N/A","Storm Water Planning Grant","State & Federal Aids","50500","50500","44067.08","Stormwater Utility"
"2008","Leisure Services","Recreation","Youth Programs","N/A","School Rec Night","Service Charges","55000","55000","54818.77","General Fund"
"2008","Police","N/A","N/A","N/A","False Alarms","Service Charges","56000","56000","39574.1","General Fund"
"2008","N/A","N/A","N/A","N/A","Alcoholic Beverage","License","59000","59000","65641.06","General Fund"
"2008","Library","Library","Arrowhead Library System","N/A","Arrowhead Library System","Service Charges","59945","59945","58000.92","Hedberg Public Library"
"2008","Public Works","Water","N/A","N/A","Merchandising & Jobbing","Service Charges","60000","60000","25535.14","Water Utility"
"2008","Public Works","Operations","Recycling","N/A","Appliance Recycling","Service Charges","60000","60000","74900.62","Sanitation"
"2008","Public Works","Operations","Demo Waste Disposal","N/A","Demolition Disposal","Service Charges","60000","60000","39449.25","Sanitation"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","BJE Sponsorship","Other Revenue","61000","61000","69329","Transit"
"2008","Leisure Services","Recreation","Adult Programs","N/A","Softball Program","Service Charges","66000","66000","68343.79","General Fund"
"2008","N/A","N/A","N/A","N/A","Fines","Service Charges","70000","70000","65894.25","General Fund"
"2008","Library","JATV","N/A","N/A","Charter Capital","Service Charges","72000","72000","68303.4","JATV 12"
"2008","Leisure Services","Recreation","Youth Programs","N/A","Kids Count Camp","Service Charges","74000","74000","58908.64","General Fund"
"2008","Neighborhood & Community Services","N/A","Downtown Activities","N/A","Downtown Imp","State & Federal Aids","74771","74771","23731.26","CDA Block Grant"
"2008","N/A","N/A","N/A","N/A","Omitted Taxes","Taxes","76000","76000","76648.39","General Fund"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Monthly Passes","Service Charges","76100","76100","63443.71","Transit"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Max 10 Tokens","Service Charges","78000","78000","81910","Transit"
"2008","Public Works","Operations","Solid Waste Disposal","N/A","Landfill Gas","Service Charges","80000","80000","44770.09","Sanitation"
"2008","Leisure Services","Recreation","Ice Skating Center","N/A","Hockey","Service Charges","80000","80000","61793","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","HVAC Permit - New Const","Permits","80000","19050","21048.1","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Plumb Permit - New Const","Permits","80000","4450","3211","General Fund"
"2008","Public Works","Operations","Solid Waste Disposal","N/A","Landfill Cubes","Service Charges","85000","85000","102147.86","Sanitation"
"2008","Public Works","Operations","Industrial Waste Disposal","N/A","Industry Contibutions","Other Revenue","85810","85810","51564.42","Industrial Waste Disposal"
"2008","N/A","N/A","N/A","N/A","Penalties & Interest","Taxes","88000","88000","92330.87","General Fund"
"2008","Administrative Services","N/A","Insurance","N/A","Payroll Deduction - Child Care","Other Revenue","90000","90000","78474.49","Insurance"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Elect Permit - New Const","Permits","95000","18130","36053.68","General Fund"
"2008","Neighborhood & Community Services","N/A","Public Service Activities","N/A","Public Service Activities","State & Federal Aids","95500","95500","93372.44","CDA Block Grant"
"2008","Neighborhood & Community Services","N/A","Home","N/A","Home Consortia","Service Charges","98035","98035","87225.57","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","Lead Grant","N/A","Lead Grant 2007 HUD Funds","State & Federal Aids","100000","100000","140948.47","Other Housing Grants"
"2008","Library","Library","Fines, Fees, Etc","N/A","Late Fees/Penalties","Interest, Rents, Fines","105900","105900","118832.89","Hedberg Public Library"
"2008","Neighborhood & Community Services","N/A","Housing & Home Ownership","N/A","Recently Purch Rehab","State & Federal Aids","110000","110000","0","CDA Block Grant"
"2008","N/A","N/A","N/A","N/A","Rent- City Property","Interest, Rents, Fines","110000","110000","107169.52","General Fund"
"2008","Administrative Services","N/A","Insurance","N/A","Property Insurance","Other Revenue","110500","110500","110595.17","Insurance"
"2008","N/A","N/A","N/A","N/A","Exempt Computer Aid","State & Federal Aids","111400","111400","112473","General Fund"
"2008","Public Works","Operations","Recycling","N/A","Curbside Collection Contrib","Service Charges","115000","115000","178826.99","Sanitation"
"2008","N/A","N/A","N/A","N/A","Mobile Home Tax","Taxes","120000","120000","74841.01","General Fund"
"2008","Library","JATV","N/A","N/A","Charter Operating","Service Charges","135000","135000","128166.25","JATV 12"
"2008","Administrative Services","N/A","Insurance","N/A","Payroll Deduction - Medical","Other Revenue","135000","135000","134953.85","Insurance"
"2008","Leisure Services","N/A","Golf Course General","N/A","Golf Lease","Service Charges","141000","141000","133880.41","Golf Courses"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Cash Fares","Service Charges","146300","146300","150107.11","Transit"
"2008","Neighborhood & Community Services","N/A","CDBG Administration","N/A","CDBG Administration","State & Federal Aids","147007","147007","130540.22","CDA Block Grant"
"2008","Fire","N/A","N/A","N/A","Inspections","Service Charges","150000","150000","44442.13","General Fund"
"2008","Public Works","Wastewater","N/A","N/A","Industirial Pollution Charge","Service Charges","151400","151400","309090.34","Wastewater Utility"
"2008","N/A","N/A","N/A","N/A","Payment for Municipal Services","State & Federal Aids","155000","155000","67915.51","General Fund"
"2008","Library","Library","Non-Resident Payments","N/A","Contract Income","Service Charges","164014","164014","133894.16","Hedberg Public Library"
"2008","Public Works","Water","N/A","N/A","Interest on Investments","Interest, Rents, Fines","176000","176000","173973.34","Water Utility"
"2008","N/A","N/A","N/A","N/A","Transfer In","Transfers In","200000","200000","470968.37","General Fund"
"2008","Neighborhood & Community Services","N/A","Housing & Home Ownership","N/A","Rehab Service Delivery","State & Federal Aids","203822","203822","214347.35","CDA Block Grant"
"2008","Public Works","Wastewater","N/A","N/A","Public Authority","Service Charges","205000","205000","197949.35","Wastewater Utility"
"2008","Public Works","Water","N/A","N/A","Public Authority Sales","Service Charges","214000","214000","196051.49","Water Utility"
"2008","Neighborhood & Community Services","N/A","Home","N/A","Home","State & Federal Aids","221030","221030","160298.75","Other Housing Grants"
"2008","Public Works","Operations","Solid Waste Disposal","N/A","Alternative Covers","Service Charges","256000","256000","314688.82","Sanitation"
"2008","Public Works","Operations","Recycling","N/A","Recycling Grant","State & Federal Aids","271000","271000","342701.65","Sanitation"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Transit Capital Subsidy","Transfers In","279000","279000","28636.58","Transit"
"2008","Public Works","Operations","Solid Waste Disposal","N/A","Green County","Service Charges","296000","296000","358541.65","Sanitation"
"2008","Administrative Services","N/A","Insurance","N/A","Liability Insurance Revenue","Other Revenue","300000","300000","339729","Insurance"
"2008","N/A","N/A","N/A","N/A","Connecting Street Maintenance","State & Federal Aids","311300","311300","311318.6","General Fund"
"2008","Public Works","Wastewater","N/A","N/A","Interest on Investments","Interest, Rents, Fines","330000","330000","355195.73","Wastewater Utility"
"2008","Administrative Services","N/A","Insurance","N/A","Workers Comp Revenue","Other Revenue","350000","350000","556153.55","Insurance"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Bldg Permit - New Const","Permits","374540","43570","29571.98","General Fund"
"2008","Neighborhood & Community Services","N/A","Housing & Home Ownership","N/A","Housing Rehab - Revolving Owner","Service Charges","399394","399394","114371.1","CDA Block Grant"
"2008","N/A","N/A","N/A","N/A","Municipal Court Fines","Interest, Rents, Fines","430000","430000","424900.19","General Fund"
"2008","Library","Library","Non-Resident Payments","N/A","Rock County Fees","Service Charges","445078","445078","474093.28","Hedberg Public Library"
"2008","N/A","N/A","N/A","N/A","Room Tax","Taxes","515000","515000","497558.73","General Fund"
"2008","N/A","N/A","N/A","N/A","Cable TV","License","543000","543000","512665.02","General Fund"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Transit Operating Subsidy","Transfers In","618000","618000","744114.76","Transit"
"2008","Public Works","Stormwater","N/A","N/A","Residential User Charge","Service Charges","644300","644300","648175.75","Stormwater Utility"
"2008","Public Works","Operations","N/A","N/A","Vehicle Repair","Service Charges","650000","650000","646320.89","Vehicle Operation & Maintenance"
"2008","Public Works","Operations","Solid Waste Disposal","N/A","Waste Management","Service Charges","655000","655000","878453.79","Sanitation"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Transit State Operating Grant","State & Federal Aids","681000","681000","724600","Transit"
"2008","Public Works","Operations","Solid Waste Disposal","N/A","Non-Resident Comm/Indust/C&D","Service Charges","695000","695000","1064366.86","Sanitation"
"2008","Public Works","Water","N/A","N/A","Public Fire Protection","Service Charges","721000","721000","742947.32","Water Utility"
"2008","N/A","N/A","N/A","N/A","Water Utility Taxes","Transfers In","826000","826000","940995","General Fund"
"2008","Neighborhood & Community Services","Transit","N/A","N/A","Transit Federal Operating Grant","State & Federal Aids","838000","838000","791592","Transit"
"2008","Public Works","Water","N/A","N/A","Commercial Metered Sales","Service Charges","893000","893000","839340.24","Water Utility"
"2008","Public Works","Wastewater","N/A","N/A","Industrial","Service Charges","919000","919000","803662.9","Wastewater Utility"
