"city","contact_name","contact_organization","contact_phone","contact_email_address","project_website","project_name","project_address","project_address_2","project_address_city","project_address_state","project_address_zip_code","building_type","number_of_units","number_of_affordable_units","studio","group_home","licensed_care_facility","shared","one_bedroom","two_bedrooms","three_bedrooms","four_bedrooms","five_bedrooms","resident_eligibility","under_construction","near_transit","description","location","location_address","location_city","location_state","location_zip"
"San Mateo",,"HIP Housing","(650) 348-6820",,,"Edgewater Isle","1510 Marina Vista",,"San Mateo","CA","94404","Apartment","92","91",,,,,"1",,,,,"Seniors","0","0","Must be on County's Project Based Waiting List. Wait list is closed. Senior rental project built as part of the Edgewater Isle condominiums complex","POINT (-122.2856 37.554647)","1510 Marina Vista",,"CA","94404"
"South San Francisco",,,"(650) 871-5323",,,"Rotary Plaza","433 Alida Way",,"South San Francisco","CA","94080","Apartment","179","179","1",,,,"1",,,,,"Seniors","0","0",,"POINT (-122.430391 37.646255)","433 Alida Way",,"CA","94080"
"Redwood City",,"West Bay Housing","(415) 618-0012",,"http://www.westbayhousing.org","Sanchez Way","1234-36 Sanchez Way",,"Redwood City","CA","94061","Group Home","1",,,"1",,,,,,,,"People with Disabilities","0","0","5 beds; Shared, supported living for adults with developmental disabilities. 1 accessible unit.","POINT (-122.2336 37.46845)","1234-36 Sanchez Way",,"CA","94061"
"East Palo Alto","Julissa Johnson",,"(650) 322-2061","jjohnson@edenhousing.org",,"Nugent Square","2369 University Avenue",,"East Palo Alto","CA","94303","Apartment","32","32",,,,,,"1","1",,,"Family","0","0","24 flats facing University Avenue over parking podium. 8 townhouse style units facing each side street. One block from site of new downtown.","POINT (-122.140819 37.469661)","2369 University Avenue",,"CA","94303"
"Redwood City","Regina Martin","HIP Housing","(650) 348-6660",,"http://hiphousing.org","Hilton House","Hilton Street",,"Redwood City","CA","94063","Shared Home","1",,,"1",,,,,,,,"Single parents","0","1","6 beds; This is shared housing for single parent families working toward career and educational goals.",,"Hilton Street",,"CA","94063"
"Daly City","Irina Ayrapetyan","Mercy Housing","(650) 755-7358",,,"St. Andrew Community","2070 Sullivan Avenue",,"Daly City","CA","94015","Apartment","50","50","1",,,"1",,,,,,"Seniors","0","0",,"POINT (-122.473141 37.676974)","2070 Sullivan Avenue",,"CA","94015"
"Brisbane",,"Bridge Housing Corporation","(415) 989-1111",,,"Visitacion Garden Apt.","8 Visitation Ave","V-7","Brisbane","CA","94005","Apartment","14","14",,,,,"1","1",,,,"Seniors (age 62+)","0","0","For seniors","POINT (-122.4024 37.684701)","8 Visitation Ave",,"CA","94005"
"Daly City",,,"(650) 578-8691",,,,"111 Santa Barbara Avenue",,"Daly City","CA","94015","Duplex","8","8",,,,"1",,,,,,"Adults with disabilities","0","1","Duplex with shared space for 8 individuals in two separate units. On-site program activities offered by Caminar. Property owned and operated by Mental Health Association","POINT (-122.464784 37.707825)","111 Santa Barbara Ave","Daly City","CA","94015"
"Redwood City",,"HIP Housing","(650) 348-6820",,,"Oxford Street Apts","1505-1509 Oxford Street",,"Redwood City","CA","94062","Apartment","3","3",,,,,,"1",,,,"Family","0","0","Triplex. Each unit consists of two bedrooms and one bath.","POINT (-122.227219 37.46865)","1505-1509 Oxford Street",,"CA","94062"
"Redwood City",,"City of Redwood City",,,,,"611 Heller Street",,"Redwood City","CA","94063","Vacant Land","2",,,,,,,,,,,"All","1","1","Vacant land for new construction of affordable housing.","POINT (-122.222708 37.481535)","611 Heller Street",,"CA","94063"
"Belmont","Andy Frisch","Kainos","(650) 363-2423",,,"Belmont House","730 El Camino Real",,"Belmont","CA","94002","Group Home","6","6",,,,"1",,,,,,"People with Disabilities who meet HUD guidelines for homelessness","0","1","Please note that all Kainos group homes have long waiting lists.","POINT (-122.278942 37.522841)","730 El Camino Real",,"CA","94002"
"Daly City",,"HIP Housing","(650) 348-6820",,,"Hillside Terrace","1293 Hillside Boulevard",,"Daly City","CA","94014","Apartment","18","18",,,,,"1","1",,,,"All","0","1","Must be on San Mateo County's Project Based Waiting list. There are nine 1 bedroom units and nine 2 bedroom units that are subsidized. Waiting list is closed.","POINT (-122.45888 37.685086)","1293 Hillside Boulevard",,"CA","94014"
"Menlo Park",,"MidPen Housing","(650) 323-5615","WillowCourt2@midpen-housing.org",,"Willow Court","1105, 1141 Willow Road",,"Menlo Park","CA","94025","Apartment","6","6",,,,,,"1",,"1",,"All, Resident eligibility criteria must be met","0","1","Features two triplexes, each of which resembles a large house. Washer & dryer in each unit.","POINT (-122.156175 37.470105)","1105, 1141 Willow Road",,"CA","94025"
"Redwood City",,"FHAR, Inc.","(650) 403-0403",,"http://www.fhar.org","Berkshire Avenue Group Home","40 Berkshire Avenue",,"Redwood City","CA","94063","Group Home","1",,,"1",,,,,,,,"People with Disabilities","0","0","6 beds; For developmentally disabled adults.","POINT (-122.211327 37.470001)","40 Berkshire Avenue",,"CA","94063"
"Half Moon Bay",,"MidPen Housing","(650) 712-1350","Mainstreet@midpen-housing.org",,"Main Street Park II","1101 Main Street",,"Half Moon Bay","CA","94019","Apartment","28","28",,,,,"1","1","1",,,"All, Resident eligibility criteria must be met","0","1","Two-story flats & townhouse-style units. Park, courtyards, and community center on-site.","POINT (-122.429773 37.454246)","1101 Main Street",,"CA","94019"
"Redwood City",,,"(650) 366.4043",,"http://www.thelaneontheblvd.com","The Lane","2580 El Camino Real",,"Redwood City","CA","94061","Apartment","141","5",,,,,"1","1",,,,"All","0","1",,"POINT (-122.216764 37.47274)","2580 El Camino Real",,"CA","94061"
"Redwood City",,"City of Redwood City",,,,"Bradford Street Sr Housing","707-777 Bradford Street",,"Redwood City","CA","94063","Vacant Land",,,,,,,,,,,,,,,"Vacant land for new construction of affordable senior housing. Site clearance is underway.","POINT (-122.227703 37.488654)","707-777 Bradford Street",,"CA","94063"
"Millbrae","Community Manager",,"(650) 589-1247","doloreslia@cresapts.com",,"Dolores Lia Aprtments","1275 El Camino Real",,"Millbrae","CA","94030","Apartment","27","27","1",,,,"1","1",,,,"All","0","1","A 27 unit property near downtown Millbrae. Near some of the Bay Area’s largest companies, as well as SFO, retailers, and grocery stores.","POINT (-122.399647 37.608355)","1275 El Camino Real",,"CA","94030"
"South San Francisco",,"MidPen Housing","(650) 616-4570","WillowGardens@midpen-housing.org",,"Willow Gardens","344 Susie Way",,"South San Francisco","CA","94080","Apartment","36","36",,,,,,"1",,,,"All, Resident eligibility criteria must be met","0","1","Acquired and renovated in stages since 1998, this site features two-story four-plexes, located close to shopping, an elementary school, and BART.","POINT (-122.43154 37.662601)","344 Susie Way",,"CA","94080"
"San Mateo","Laura Grissis",,"(650) 341-8092",,,"Flores Gardens","2604 Flores St",,"San Mateo","CA","94404","Apartment","72","72",,,,,"1",,,,,"Seniors, People with Disabilities","0","1","All 72 units are accessible.","POINT (-122.306695 37.543096)","2604 Flores St",,"CA","94404"
"San Mateo","Mary Beth Sandoval",,"(650) 344-5009",,,"Humboldt House","232 S Humboldt St",,"San Mateo","CA","94401","Group Home","9","9",,,,"1",,,,,,"People with Disabilities","0","1","9 two bedroom accessible units. 2 units to be used to operate 6 bed Community Care License Unit. 7 units for Independent Living.","POINT (-122.316947 37.570222)","232 S Humboldt St",,"CA","94401"
"Pacifica","Kenneth Orr, Property Manager",,"(650) 557-9101",,,"Pacific Pines Apartments","2590 Francisco Blvd",,"Pacifica","CA","94044","Apartment","10","10",,,,,,"1","1",,,"Family","0","0",,"POINT (-122.489729 37.628731)","2590 Francisco Blvd",,"CA","94044"
"Daly City","John Cantaly","Peninsula Del Rey","(650) 731-8524",,,"Peninsula Del Rey","165 Pierce",,"Daly City","CA","94015","Apartment","206","32","1",,,,"1","1",,,,"Seniors","0","0","Senior living residences affordable to households at 50% AMI and 70% AMI.","POINT (-122.473247 37.686024)","165 Pierce",,"CA","94015"
"San Mateo",,"HIP Housing","(650) 348-6820",,,,"12 North Idaho Street",,"San Mateo","CA","94401","Apartment","6","6",,,,,"1","1",,,,"All, Accepts Section 8","0","1","6 unit complex. There are 4 - 1 bedroom apartments and 2- 2 bedroom apartment","POINT (-122.318657 37.573338)","12 North Idaho Street",,"CA","94401"
"Redwood City",,"Kanios","(650) 363-2423",,"http://www.kainosusa.org","Kainos Triplex","1209 Chantal Way",,"Redwood City","CA","94061","Group Home","3",,,"1",,,,,,,,"People with Disabilities","0","0","20 beds; For developmentally disabled individuals. Residents receive training in practical living skills; staff is on-site 24 hours a day.",,"1209 Chantal Way",,"CA","94061"
"San Mateo",,"Rotary Haciendas","(650) 574-1332",,,"Rotary Haciendas","2700 Hacienda Street",,"San Mateo","CA","94403","Apartment","82","81","1",,,,"1",,,,,"Seniors Accepts Section 8","0","1","Two- and three-story garden-style apartments with balconies and patios. Community room and computer center on-site. Managed by HIP Housing Affordable Ventures.","POINT (-122.308191 37.540227)","2700 Hacienda Street",,"CA","94403"
"Foster City",,"HIP Housing","(650) 348-6820",,,,"Comet Drive",,"Foster City","CA","94404","Single detached house","4","4",,,,,,"1","1",,,"All","0","1","There are two 2-bedroom 2-bath units and two 3-bedroom units owned by Foster City and managed by HIP Housing Affordable Ventures.",,"Comet Drive",,"CA","94404"
"East Palo Alto",,"MidPen Housing","(650) 324-2525","BayOaks@midpen-housing.org",,"Bay Oaks","2400 Gloria Way",,"East Palo Alto","CA","94303","Apartment","38","38",,,,,,"1","1","1",,"All, Resident eligibility criteria must be met","0","0","Mixed tenure development; apartments next to Habitat ownership units. Gated property, with community space, services & playgrounds onsite.","POINT (-122.141883 37.471945)","2400 Gloria Way",,"CA","94303"
"Redwood City",,"Kainos","(650) 363-2423",,"http://www.kainosusa.org","Wy's House 2","1033 Redwood Avenue",,"Redwood City","CA","94061","Group Home","1",,,"1",,,,,,,,"People with Disabilities","0","1","4 beds; Accessible housing for developmentally disabled adults.","POINT (-122.231071 37.469848)","1033 Redwood Avenue",,"CA","94061"
"Redwood City",,"City of Redwood City",,,,"Housing First","1306 Main Street",,"Redwood City","CA","94063","Apartment","23","22","1",,,,,,,,,"Low/very low income individuals and small family households","1","1","Five units reserved for housing first for chronic homeless referred by the Redwood City HOT.","POINT (-122.224511 37.480723)","1306 Main Street",,"CA","94063"
"San Mateo",,"Lesley Senior Communities","(650) 342-2051",,"http://www.lesleyseniorcommunities.org","Lesley Plaza","120 N San Mateo Drive",,"San Mateo","CA","94401","Apartment","56","56","1",,,,"1",,,,,"Seniors Accepts Section 8","0","0","Lesley Plaza has 44 studio apartments and 12 one-bedroom apartments. No rental subsidy available; income restrictions apply. Check website for Waiting List status.","POINT (-122.32867 37.568719)","120 N San Mateo Drive",,"CA","94401"
"Redwood City",,"Service League of San Mateo County","(650) 364-4664",,"http://serviceleague.org","Hope House VI","2820 Huntington Avenue",,"Redwood City","CA","94063","Group Home","1",,,"1",,,,,,,,"Re-entry individuals from incarceration","0","1","6 beds; Must apply directly with Service League. Transitional Housing","POINT (-122.210477 37.47516)","2820 Huntington Avenue",,"CA","94063"
"South San Francisco",,"Archstone","(866) 891-0209",,,"Archstone - South San Francisco","101 McLlellan Drive",,"South San Francisco","CA","94080","Apartment","360","72",,,,,"1","1",,,,"All","0","1","Cat and dog friendly, Muni/BART access, On-site retail, W/D in apt., Balcony / patio. For low to moderate income households.","POINT (-122.44475 37.66557)","101 McLlellan Drive",,"CA","94080"
"Daly City","Propety Manager",,"(650) 997-0400",,,"Serramonte Ridge","862 Campus Drive",,"Daly City","CA","94015","Apartment","396","79","1",,,,"1","1",,,,"All","0","0","Available to households at 80% AMI","POINT (-122.476523 37.665401)","862 Campus Drive",,"CA","94015"
"Redwood City",,"Service League of San Mateo County","(650) 364-4664",,"http://serviceleague.org","Hope House V","96 Buckingham Avenue",,"Redwood City","CA","94063","Group Home","1",,,"1",,,,,,,,"Re-entry individuals from incarceration","0","1","6 beds; Must apply directly with Service League. Transitional Housing","POINT (-122.214649 37.472935)","96 Buckingham Avenue",,"CA","94063"
"Redwood City",,"Mateo Lodge","(650) 363-8125",,"http://www.mateolodge.org","Cassia St. Group Home","420 Cassia Street",,"Redwood City","CA","94063","Group Home","14","14",,,,"1",,,,,,"People with Disabilities","0","1","14 beds in shared housing","POINT (-122.225175 37.483121)","420 Cassia Street",,"CA","94063"
"South San Francisco",,"HIP Housing","(650) 348-6820",,,"Commercial Avenue","317 & 321 Commercial Avenue",,"South San Francisco","CA","94080","Apartment","15","15",,,,,"1","1",,,,"All","0","0","There are ten 1-bedroom apartments and five 2-bedroom apartments for households between 50-60% of median income","POINT (-122.411391 37.653365)","317 & 321 Commercial Avenue",,"CA","94080"
"San Mateo",,"MidPen Housing","(650) 458-0727","DelawarePacific@midpen-housing.org",,"Delaware Pacific","1990 S Delaware Street",,"San Mateo","CA","94403","Apartment","60","59",,,,,"1","1","1",,,"All, Resident eligibility criteria must be met","0","1","Affordable Housing with easy access to Caltrain and SamTrans, and grocery and retail shopping.","POINT (-122.305168 37.551269)","1990 S Delaware Street",,"CA","94403"
"San Mateo",,,"(650) 368-3345",,,"Villa Terrace Permanent Housing","415 Villa Terrace",,"San Mateo","CA","94401","Single detached house","5","5",,,,"1",,,,,,"Disabled","0","1","Two-story single family home owned and operated by Mental Health Association for adults with mental illness who are considered homeless by HUD guidelines/ All Sponsor-based Shelter Plus Care units.","POINT (-122.33383 37.576545)","415 Villa Terrace",,"CA","94401"
"Foster City",,"BRIDGE Housing Corporation","(415) 989-1111",,,"Metro Center Senior Apts.","100 Village Lane",,"Foster City","CA","94404","Apartment","60","60",,,,,"1","1",,,,"Seniors","0","1","Apartment building for seniors, in same development as townhomes and near shops & transit. Waiting list is closed.","POINT (-122.275151 37.558281)","100 Village Lane",,"CA","94404"
"Colma",,"La Terrazza Property Staff","(650) 992-3500",,,"La Terrazza","7800 El Camino Real",,"Colma","CA","94014","Apartment","153","31",,,,,"1",,,,,"All, Accepts Section 8 for BMR units","0","1","Mixed income development with retail on the ground floor. Completed in 2006. Wait list is closed","POINT (-122.463849 37.684234)","7800 El Camino Real",,"CA","94014"
"Redwood City","Regina Martin","HIP Housing","(650) 348-6660",,"http://hiphousing.org","Pine/Middlefield Shared Housing","Pine Street",,"Redwood City","CA","94063","Shared Home","1",,,,,"1",,,,,,"Single parents","0","1","6 beds; This is a shared housing model for single parent families in school or doing job training.",,"Pine Street",,"CA","94063"
"Half Moon Bay",,"MidPen Housing","(650) 712-1350","Mainstreet@midpen-housing.org",,"Main Street Park I","1101 Main Street",,"Half Moon Bay","CA","94019","Apartment","36","36",,,,,"1","1","1","1",,"All, Resident eligibility criteria must be met","0","1","Two-story flats & townhouse-style units. Park, courtyards, and community center on-site","POINT (-122.429773 37.454246)","1101 Main Street",,"CA","94019"
"Colma",,"MidPen Housing","(650) 755-3591","ColmaRidge@midpen-housing.org",,"Colma Ridge","85 Reiner Street",,"Colma","CA","94014","Apartment","20","20",,,,,"1",,,,,"People with Disabilities","0","1","20 one-bedroom units for developmentally disabled adults able to live independently. Located just one block from Colma BART station. All units have Section 8 subsidies. Referrals by County Mental Health system only.","POINT (-122.466625 37.68657)","85 Reiner Street",,"CA","94014"
"Foster City","Property Manager",,"(650) 349-3200",,"http://www.marlincove.com","Marlin Cove","1000 Foster City Boulevard",,"Foster City","CA","94404","Apartment","280","84",,,,,"1","1",,,,"All","0","1","280 apartments (30% affordable, 84 units) combined with commercial mixed use development. Near lagoon. On-site amenities include pool, fitness center, clubhouse, washer/dryer in all units.","POINT (-122.257909 37.554953)","1000 Foster City Boulevard",,"CA","94404"
"Foster City","Property Manager",,"(650) 574-3060",,"http://www.brefosterslanding.com","Foster's Landing","700 Bounty Drive",,"Foster City","CA","94404","Apartment","490","74",,,,,"1","1",,,,"All","0","1","Mixed income development development near park and lagoon. On-site amenities include pools, fitness center, recreation facilities.","POINT (-122.264066 37.555443)","700 Bounty Drive",,"CA","94404"
"San Mateo",,"HIP Housing","(650) 348-6820",,,,"728 First Avenue",,"San Mateo","CA","94401","Single detached house","1","1",,,,,,"1",,,,"All, Accepts Section 8","0","1","This is a 2-bedroom, 1 bath house owned by the City of San Mateo and managed by HIP Housing Affordable Ventures. Landlord often accepts Section 8 certificates or vouchers.","POINT (-122.320259 37.569479)","728 First Avenue",,"CA","94401"
"South San Francisco",,,"(650) 588-4005",,,"Fairway Apartments","77 Westborough Blvd",,"South San Francisco","CA","94080","Apartment","74","74",,,,,"1","1",,,,"Seniors","0","0",,"POINT (-122.435288 37.654398)","77 Westborough Blvd",,"CA","94080"
"Menlo Park","Regina Martin","HIP Housing","(650) 348-6660",,"http://www.hiphousing.org",,"Chilco",,"Menlo Park","CA","94025","Shared Home","1","1",,,,"1",,,,,,"Single parents","0","1","4 bedrooms; This is a shared housing model for single parents in school or job training.",,"Chilco",,"CA","94025"
"Redwood City",,"Essex","(866) 351-8638",,"http://www.essexapartmenthomes.com","Radius Apartments","640 Veterans Blvd",,"Redwood City","CA","94063","Apartment","264","22",,,,,"1","1",,,,"All","0","1",,"POINT (-122.232232 37.492533)","640 Veterans Blvd",,"CA","94063"
"San Mateo",,,"(415) 753-5567",,,"Palm Residences","1705 Palm Avenue",,"San Mateo","CA","94402","Apartment","19","2",,,,,,,,,,"All","1","1","2 affordable units, project still under construction. Mixed income development.","POINT (-122.31248 37.552971)","1705 Palm Avenue",,"CA","94402"
"San Mateo","Christina Serrano",,"(650) 347-2008",,,"Santa Inez Apartments","24 East Santa Inez Ave",,"San Mateo","CA","94401","Apartment","44","44",,,,,,"1","1","1",,"All, Accepts Section 8","0","1","42 very low income units, and 2 low income units.","POINT (-122.332905 37.569659)","24 East Santa Inez Ave",,"CA","94401"
"Belmont",,,,,,"The Lariat","1428 El Camino Real",,"Belmont","CA","94002","Mixed","5","5",,,,,"1",,,,,"All","0","1","Restricted to moderate income households.","POINT (-122.272118 37.517105)","1428 El Camino Real",,"CA","94002"
"Redwood City",,,"(650) 369-4819",,,"Casa de Redwood","1280 Veterans Blvd",,"Redwood City","CA","94063","Apartment","134","134","1",,,,"1",,,,,"Seniors","0","1",,"POINT (-122.219882 37.489096)","1280 Veterans Blvd",,"CA","94063"
"Daly City","Yolanda Barba","American Baptist Homes of the West","(650) 991-8809",,,"Hillcrest Senior Housing","35 Hillcrest Drive",,"Daly City","CA","94014","Apartment","39","39",,,,,"1",,,,,"Seniors","0","1","Senior housing for households at 50% AMI.","POINT (-122.462652 37.706111)","35 Hillcrest Drive",,"CA","94014"
"San Carlos","Regina Martin","HIP Housing","(650) 348-6660",,"http://www.hiphousing.org","Robbins Nest","Cedar Street",,"San Carlos","CA","94070","Shared Home","6","6",,,,"1",,,,,,"Single parents","0","1","This is a shared housing model for single parent families in school or doing job training.",,"Cedar Street",,"CA","94070"
"East Palo Alto",,"Bridge Housing Corporation","(415) 989-1111",,,"Peninsula Park Apartments","1977 Tate Street",,"East Palo Alto","CA","94303","Apartment","129","65",,,,,,"1",,,,"Family","0","0","Mixed income development; park and community rooms onsite.","POINT (-122.13282 37.459509)","1977 Tate Street",,"CA","94303"
"San Carlos",,,"(650) 595-1500",,,"San Carlos Elms","707 Elm Street",,"San Carlos","CA","94070","Apartment","85","17","1",,,,"1","1",,,,"Seniors","0","0","Senior Assisted Care Facility","POINT (-122.261227 37.503587)","707 Elm Street",,"CA","94070"
"Burlingame",,"Neighborhood Housing Services Silicon Valley","(408) 279-2600",,,,"904 Bayswater Ave",,"Burlingame","CA","94010","Condo rental","6","1",,,,,,"1",,,,"All","0","1","Moderate income","POINT (-122.340177 37.578817)","904 Bayswater Ave",,"CA","94010"
"Foster City",,"Thompson Dorfman","(415) 381-3001",,"http://www.tritonpointe.com","Triton Pointe","1125 E Hillsdale Blvd",,"Foster City","CA","94404","Apartment","166","33",,,,,"1","1","1",,,"All","0","1","Estimated completion: Summer 2015 166 apartments (20% affordable,","POINT (-122.268428 37.56221)","1125 E Hillsdale Blvd",,"CA","94404"
"San Mateo","Mike Tannous",,"(650) 678-3781",,,"Darcy Building","205 S Ellsworth Street",,"San Mateo","CA","94401","Apartment","8","8",,,,,"1","1",,,,"All, Accepts Section 8","0","1","This complex is located at Ellsworth and 2nd Ave. The building has an elevator. There are six 1-BR apartments and two 2-BR apartments. The landlord accepts Section 8 vouchers.","POINT (-122.324109 37.565837)","205 S Ellsworth Street",,"CA","94401"
"Redwood City","Sr. Christina Heltsley","St. Francis Center","(650) 365-7829",,"http://www.stfrancisrwc.org","St. Clare Apartments","2683 Marlborough Ave",,"Redwood City","CA","94063","Apartment","24","24","1",,,,"1",,,,,"Family","0","1","For extremely low income families; part of the St. Francis Center.","POINT (-122.214943 37.473298)","2683 Marlborough Ave",,"CA","94063"
"Menlo Park",,"Abilities United","(650) 494-0550",,,"Oakley St. Group Home","2098 Oakley Ave",,"Menlo Park","CA","94025","Group Home","6","6",,"1",,,,,,,,"People with disabilities","0","0","Permanent housing for developmentally disabled individuals.","POINT (-122.203983 37.433288)","2098 Oakley Ave",,"CA","94025"
"Belmont",,"Paradigm Healthcare, LP","(650) 591-2008",,,"Belmont Vista Senior Community","900 Sixth Avenue",,"Belmont","CA","94002","Apartment","98","10",,,,,"1","1",,,,"Seniors","0","0","Ten units restricted to moderate income seniors.","POINT (-122.278025 37.520071)","900 Sixth Avenue",,"CA","94002"
"South San Francisco",,"Metropolitan Hotel","(650) 588-7802",,,"Metropolitan Hotel","220 Linden Avenue",,"South San Francisco","CA","94080","Apartment","62","62",,,,,,,,,,"Homeless","0","0","Single room occupancy","POINT (-122.410218 37.654862)","220 Linden Avenue",,"CA","94080"
"Pacifica","Jack Melendy",,"(650) 359-2114",,,"Oceanview","555 Crespi Drive",,"Pacifica","CA","94044","Apartment","100","100",,,,,"1",,,,,"Seniors","0","0","Typically accepts Section 8 vouchers, although site is not a project-based section 8 site.","POINT (-122.499022 37.598876)","555 Crespi Drive",,"CA","94044"
"East Palo Alto",,,"(650) 324-2525","Woodlands@midpen-housing.org",,"Woodlands/Newell","1767 Woodland Ave",,"East Palo Alto","CA","94303","Apartment","23","23","1",,,,,"1","1","1",,"All, Resident eligibility criteria must be met","0","0","Family property with community center offering services for all","POINT (-122.136398 37.454482)","1767 Woodland Ave",,"CA","94303"
"Redwood City",,"Kainos","(650) 363-2423",,"http://www.kainosusa.org","Kainos La Vista","3631 Jefferson Avenue",,"Redwood City","CA","94062","Group Home","1",,,,"1",,,,,,,"People with Disabilities","0","0","17 beds; For developmentally disabled individuals. Residents receive training in practical living skills; staff is on-site 24 hours a day.","POINT (-122.252111 37.464438)","3631 Jefferson Avenue",,"CA","94062"
