"facility_name","address","city","state","zip_code","type_of_facility","units","phone","fax","contact","count","location_1","location_1_address","location_1_city","location_1_state","location_1_zip"
"Ocean View Apartments","555 Crespi Drive","Pacifica","CA","94044","Sr. Housing Apt","100","650-359-2114","650-359-6176","Dee Brown","1","POINT (-122.499153 37.598954)","555 Crespi Drive","Pacifica","CA","94044"
"Crane Place","1331 Crane Street","Menlo Park","CA","94025","Sr. Housing Apt","93","650-325-2442","650-325-1405",,"1","POINT (-122.18888 37.453119)","1331 Crane Street","Menlo Park","CA","94025"
"The St. Matthew","215 East 2nd Avenue","San Mateo","CA","94402","Sr. Housing Apt","56","650-324-7211",,,"1","POINT (-122.323785 37.565906)","215 East 2nd Avenue","San Mateo","CA","94402"
"Pilgrim Plaza","120 North San Mateo Drive","San Mateo","CA","94401","Sr. Housing Apt","56","650-343-7880","650-343-0838","Ray Holt","1","POINT (-122.328668 37.568716)","120 North San Mateo Drive","San Mateo","CA","94401"
"Magnolia Plaza","630 Baden Avenue","South San Francisco","CA","94080","Sr. Housing Apt","125","650-588-8350","650-588-0590","Anita Jones","1","POINT (-122.421134 37.65655)","630 Baden Avenue","South San Francisco","CA","94080"
"Laureola Oaks","907 East San Carlos Avenue","San Carlos","CA","94070","Sr. Housing Apt","16","650-637-8206",,,"1","POINT (-122.256242 37.510301)","907 East San Carlos Avenue","San Carlos","CA","94070"
"Rotary Plaza","433 Alida Way","South San Francisco","CA","94080","Sr. Housing Apt","181","650-871-5323","650-871-0812","Deborah Justensen","1","POINT (-122.430325 37.646175)","433 Alida Way","South San Francisco","CA","94080"
"Casa de Redwood","1280 Veteran's Boulevard","Redwood City","CA","94063","Sr. Housing Apt","136","650-369-4819","650-369-2780","Marilyn Beswick","1","POINT (-122.219846 37.489092)","1280 Veteran's Boulevard","Redwood City","CA","94063"
"Casa Pacifica","1060 Terra Nova Boulevard","Pacifica","CA","94044","Sr. Housing Apt","102","650-359-6127","650-359-6771","Anita DosSantos","1","POINT (-122.475225 37.584242)","1060 Terra Nova Boulevard","Pacifica","CA","94044"
"Alida Manor","416 Alida Way","South San Francisco","CA","94080","Sr. Housing Apt","75","650-873-6029",,"Wayne Sward","1","POINT (-122.429915 37.645671)","416 Alida Way","South San Francisco","CA","94080"
"Main Street Park","1101 Main Street","Half Moon Bay","CA","94019","Sr. Housing Apt","36","650-712-1350","650-712-1351","Ezzie Villegas","1","POINT (-122.429776 37.454269)","1101 Main Street","Half Moon Bay","CA","94019"
"Fairway Apartments","77 Westborough Avenue","South San Francisco","CA","94080","Sr. Housing Apt","73","650-588-4005","650-588-3509","Emanuel Zuniga","1","POINT (-122.435437 37.654341)","77 Westborough Avenue","South San Francisco","CA","94080"
"Bonnie Brae Terrace","2400 Carlmont Drive","Belmont","CA","94002","Sr. Housing Apt","164","650-593-1818","650-592-3026","Melinda Washmera","1","POINT (-122.299941 37.509094)","2400 Carlmont Drive","Belmont","CA","94002"
"Ocean View Plaza","1001 Main Street","Half Moon Bay","CA","94019","Sr. Housing Apt","48","650-726-5863",,,"1","POINT (-122.429894 37.455197)","1001 Main Street","Half Moon Bay","CA","94019"
"Park Towers","700 Laurel Avenue","San Mateo","CA","94401","Sr. Housing Apt","200","650-342-2051","650-342-4156","Lani Singer","1","POINT (-122.320548 37.561927)","700 Laurel Avenue","San Mateo","CA","94401"
