Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location
The Pavilion at Pine Valley,661 North Main Street,Rockland,Spring Valley,10977,8454265600,8453562781,14991,"Tppv, Llc",620-F-095,56,56,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"661 North Main Street
Spring Valley, NY 10977
(41.135606, -74.037494)"
"Valley Residential Services, Inc.",161 Valley Drive,Herkimer,Herkimer,13350,3152195700,3158660016,14734,"Valley Health Services, Inc.",320-S-001,76,36,,,,Enriched Housing Program,Not for Profit Corporation,Central New York Regional Office,
The Bristal at Jericho,310 Jericho Turnpike,Nassau,Jericho,11753,5162198688,5168027160,14848,"Engel Burman Senior Care at Jericho, LLC",400-S-332,200,,200,60,45,Enriched Housing Program,LLC,Metropolitan Area Regional Office - Long Island,"310 Jericho Turnpike
Jericho, NY 11753
(40.790841, -73.541809)"
Amber Court of Brooklyn,650 East 104th Street,Kings,Brooklyn,11236,7186490700,7186494441,14749,"Amber Court of Brooklyn, LLC",331-F-284,224,125,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"650 East 104th Street
Brooklyn, NY 11236
(40.64913, -73.897731)"
The New Swan Lake Adult Home LLC,Route 55,Sullivan,Swan Lake,12783,8452926298,8452926298,15081,The New Swan Lake Adult Home LLC,710-F-058,27,,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,
Sunrise of West Babylon,580 Montauk Highway,Suffolk,West Babylon,11704,6314228500,6314228700,15053,"GWC - West Babylon, Inc.",700-F-924,110,,110,110,28,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"580 Montauk Highway
West Babylon, NY 11704
(40.68729, -73.341924)"
St. Vincent de Paul Assisted Living Program,900 Interval Avenue,Bronx,Bronx,10459,9176459200,9176459214,14613,St. Vincent De Paul Residence,020-E-133,59,59,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,
"Good Shepherd- Fairview Home, Inc.",80 Fairview Avenue,Broome,Binghamton,13904,6077242477,6077240957,14624,"Good Shepherd-Fairview Home, Inc.",030-E-005,67,32,35,35,,Adult Home,Not for Profit Corporation,Central New York Regional Office,"80 Fairview Avenue
Binghamton, NY 13904
(42.110521, -75.876711)"
Greece Long Pond Senior Housing,1 GBC Parkway,Monroe,Rochester,14626,5852273007,5852271307,14801,"Family Service Of Rochester, Inc.",370-S-857,30,,,,,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,"1 GBC Parkway
Rochester, NY 14626
(43.214329, -77.693699)"
Hampshire House Adult Home,1846 County Highway 48,Otsego,Oneonta,13820,6074326171,6074325045,14935,Hampshire House Operating Corporation,570-F-048,65,,,,,Adult Home,Business Corporation,Capital District Regional Office,"1846 County Highway 48
Oneonta, NY 13820
(42.439834, -75.081814)"
The Landing of Brighton,1350 Westfall Road,Monroe,Rochester,14618,5852711925,5852420744,14791,"Brighton Senior Care, LLC",370-S-197,121,,121,44,34,Enriched Housing Program,LLC,Western Regional Office - Buffalo,"1350 Westfall Road
Rochester, NY 14618
(43.115675, -77.582612)"
Ideal Senior Living Center,600 High Avenue,Broome,Endicott,13760,6077867300,6077867496,14626,Ideal Senior Living Housing Corporation,030-E-039,70,35,,,,Adult Home,Not for Profit Corporation,Central New York Regional Office,"600 High Avenue
Endicott, NY 13760
(42.091479, -76.067753)"
Brentland Woods,3831 East Henrietta Road,Monroe,Henrietta,14467,5853211490,5853213289,14794,"CH Services, Inc.",370-S-838,60,,,,,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,"3831 East Henrietta Road
Henrietta, NY 14467
(43.044825, -77.62021)"
"Carlucci Homes, Inc.",516 Mullock Road,Orange,Port Jervis,12771,9144436835,8453557700,14922,"Carlucci Homes, Inc.",540-F-034,23,,23,19,,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"516 Mullock Road
Port Jervis, NY 12771
(41.401537, -74.56693)"
Sunrise of Dix Hills,337 Deer Park Avenue,Suffolk,Dix Hills,11746,6313851733,6313851754,15052,"GWC - Dix Hills, Inc.",700-F-923,114,,114,114,34,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"337 Deer Park Avenue
Dix Hills, NY 11746
(40.816106, -73.342608)"
Alma Rangel Gardens NY Foundation EHP#7,55 West 137th Street,New York,New York,10037,9175071108,9175071560,14859,"New York Foundation for Senior Citizens, Inc.",420-S-381,47,,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,
Seneca Lake Terrace Assisted Living Center,3670 Pre-emption Road County Rd. #6,Ontario,Geneva,14456,3157894162,3157811494,14913,"Seneca Lake Terrace Operating, LLC",530-F-059,66,,66,,12,Adult Home,LLC,Western Regional Office - Buffalo,
Heritage Manor of Lockport,41 Lexington Court,Niagara,Lockport,14094,7164337626,7164337769,14868,"DePaul Adult Care Communities, Inc.",500-E-018,64,,,,,Adult Home,Not for Profit Corporation,Western Regional Office - Rochester,"41 Lexington Court
Lockport, NY 14094
(43.162402, -78.663941)"
Hillcrest Spring Residential,"5052 Rte30 Upper Market St, POB 383",Montgomery,Amsterdam,12010,5188433770,5188433878,14806,Paul F. Wolfe,380-F-043,80,40,,,,Adult Home,Individual,Capital District Regional Office,
Sarah Jane Sanford Home,69 Guy Park Avenue,Montgomery,Amsterdam,12010,5188423670,5188426340,14805,The Home for Elderly Women of Montgomery County,380-E-011,40,,,,,Adult Home,Not for Profit Corporation,Capital District Regional Office,"69 Guy Park Avenue
Amsterdam, NY 12010
(42.941293, -74.19457)"
Willow Gardens,60 Willow Drive,Westchester,New Rochelle,10805,9143362338,9142355683,15113,"Willow Gardens, Inc.",800-E-136,51,,51,30,51,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"60 Willow Drive
New Rochelle, NY 10805
(40.89789, -73.780411)"
The Cambridge,4 West Main Street,Washington,Cambridge,12816,5186773460,5186773460,15106,"Icc Management & Consulting, Inc.",760-F-018,40,,40,14,,Adult Home,Business Corporation,Capital District Regional Office,"4 West Main Street
Cambridge, NY 12816
(43.028004, -73.381427)"
The Bristal at White Plains,305 North Street,Westchester,White Plains,10605,9149845343,9146811801,15141,"EBC White Plains, LLC",800-S-145,190,,190,50,32,Enriched Housing Program,LLC,Metropolitan Area Regional Office - New York City,"305 North Street
White Plains, NY 10605
(41.027429, -73.7471)"
Loretto Village Apts. Enriched Housing Site #5,750 East Brighton Avenue,Onondaga,Syracuse,13205,3154921329,3154926076,14905,"Loretto Adult Community, Inc.",520-S-120,79,44,,,,Enriched Housing Program,Not for Profit Corporation,Central New York Regional Office,"750 East Brighton Avenue
Syracuse, NY 13205
(43.009243, -76.132783)"
Pleasant Gardens Home for Adults,396 Middle Road,Suffolk,Bayport,11705,6314721047,6314729483,15024,"Mercy Haven, Inc.",700-E-282,27,,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,"396 Middle Road
Bayport, NY 11705
(40.736198, -73.063563)"
Sunrise of Staten Island,801 Narrows Road,Richmond,Staten Island,10304,7187278498,7187278542,14975,"SZR New York LH, Inc.",610-S-003,121,,121,121,54,Enriched Housing Program,Business Corporation,Metropolitan Area Regional Office - New York City,"801 Narrows Road
Staten Island, NY 10304
(40.610945, -74.095113)"
The Meadows,2650 North Forest Road,Erie,Getzville,14068,7166393311,7166890002,14713,"Menorah Campus Adult Home, Inc.",240-S-123,48,,,,,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,"2650 North Forest Road
Getzville, NY 14068
(43.014019, -78.78439)"
Lincoln Rest Home,12 Lincoln Avenue,Westchester,Ardsley,10502,9146931146,9146931146,15118,"Politan, Nenita",800-F-125,23,,,,,Adult Home,Individual,Metropolitan Area Regional Office - New York City,"12 Lincoln Avenue
Ardsley, NY 10502
(41.009621, -73.844064)"
Babylon Beach House Home for Adults,23 Yacht Club Road,Suffolk,Babylon,11702,6316693323,6316692571,15031,William A. Lockwood William R. Lockwood Scott W. Lockwood Paul M. Lockwood,700-F-131,67,,,,,Adult Home,Individual,Metropolitan Area Regional Office - Long Island,"23 Yacht Club Road
Babylon, NY 11702
(40.684711, -73.316751)"
"Hyde Park Assisted Living Facility, Inc.",394 Violet Avenue,Dutchess,Poughkeepsie,12601,8452049572,8452049575,14677,"Hyde Park Assisted Living Facility, Inc.",230-F-282,78,66,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"394 Violet Avenue
Poughkeepsie, NY 12601
(41.739115, -73.909616)"
The Bristal at North Hills,99 South Service Road,Nassau,North Hills,11040,5162333100,5162333300,14838,"Engel Burman Senior Housing at North Hills, Inc.",400-S-309,140,,,,,Enriched Housing Program,Business Corporation,Metropolitan Area Regional Office - Long Island,"99 South Service Road
North Hills, NY 11040
(40.771138, -73.686626)"
Peregrine Senior Living at Colonie,5 South Family Drive,Albany,Colonie,12205,5184564500,5184565016,14603,"Peregrine Senior Living of Colonie, LLC",000-F-312,68,,68,10,68,Adult Home,LLC,Capital District Regional Office,"5 South Family Drive
Colonie, NY 12205
(42.73366, -73.824259)"
Loudonville Assisted Living Residence,298 Albany Shaker Road,Albany,Loudonville,12211,5184634398,5184634409,14601,"Westmere Home for Adults, LLC",000-F-304,105,,105,36,18,Adult Home,LLC,Capital District Regional Office,"298 Albany Shaker Road
Loudonville, NY 12211
(42.68238, -73.759136)"
"Briarwood Manor, Inc.",1001 Lincoln Avenue,Niagara,Lockport,14094,7164331513,7164338142,14867,"Ferreri, Salvatore",500-F-092,160,160,20,,20,Adult Home,Individual,Western Regional Office - Buffalo,"1001 Lincoln Avenue
Lockport, NY 14094
(43.153272, -78.668692)"
"Manor Haven Adult Home, Inc.",222 Columbia Street,Suffolk,Huntington Station,11746,6315490226,6313671240,15039,"Manor Haven Adult Home, Inc.",700-F-896,32,,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,
Atria Crossgate,140 Washington Avenue Extension,Albany,Albany,12203,5188690211,5188690269,14609,"ATR New York LH, Inc.",000-S-009,83,,,,,Enriched Housing Program,Business Corporation,Capital District Regional Office,"140 Washington Avenue Extension
Albany, NY 12203
(42.695149, -73.84996)"
Bronxwood,799 East Gun Hill Road,Bronx,Bronx,10467,7188819100,7185150150,14612,"Bronxwood Home For The Aged, Inc.",020-E-004,320,177,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"799 East Gun Hill Road
Bronx, NY 10467
(40.876088, -73.86236)"
Southern Tier Meadows,4883 West Main Road,Chautauqua,Fredonia,14063,7166794883,7166794881,14649,"Southern Tier Environments for Living, Inc.",060-E-038,24,,,,,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,"4883 West Main Road
Fredonia, NY 14063
(42.419214, -79.378867)"
Chai Home,125-02 Ocean Promenade,Queens,Belle Harbor,11694,7186346100,7186343983,14912,"Chai Home, LLC",530-F-057,71,,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"125-02 Ocean Promenade
Belle Harbor, NY 11694
(40.574982, -73.843632)"
Manor Hills,4192-B Bolivar Road,Allegany,Wellsville,14895,5855939800,5855934605,14611,Manor Hills Inc.,010-F-017,137,,137,,22,Adult Home,Business Corporation,Western Regional Office - Buffalo,"4192-B Bolivar Road
Wellsville, NY 14895
(42.126974, -77.965523)"
Rodden Home,15 Wittridge Street,Suffolk,Lake Ronkonkoma,11779,6315851906,6315851906,15030,Matthew Patkowski Margaret Patkowski,700-F-109,23,,,,,Adult Home,Individual,Metropolitan Area Regional Office - Long Island,"15 Wittridge Street
Lake Ronkonkoma, NY 11779
(40.819442, -73.109549)"
Elderwood Assisted Living at Waverly,44 Ball Street,Tioga,Waverly,14892,6075656216,6075652114,15085,"44 Ball Street Operating Company, LLC",720-S-004,40,25,,,,Enriched Housing Program,LLC,Central New York Regional Office,"44 Ball Street
Waverly, NY 14892
(42.01244, -76.529779)"
Island Assisted Living,800-820 Front Street,Nassau,Hempstead,11550,5165641100,5165645353,14812,Newco Alp Inc.,400-E-295,200,200,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,"800-820 Front Street
Hempstead, NY 11550
(40.709383, -73.601531)"
Willow Towers EHP,355 Pelham Road,Westchester,New Rochelle,10805,9146366565,9146361890,15137,"Willow Towers, Inc.",800-S-131,150,,150,30,30,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"355 Pelham Road
New Rochelle, NY 10805
(40.898341, -73.778074)"
Ashley Woods,400 YMCA Way,Monroe,Penfield,14526,5859788889,5855107334,15165,"Episcopal Senior Housing, Penfield, LLC",370-S-865,40,,40,8,,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Rochester,
Maplewood Assisted Living,205 State Street Road,Saint Lawrence,Canton,13617,3153864541,3152291292,14994,"United Helpers Canton Nursing Home, Inc",630-E-008,48,48,,,,Adult Home,Not for Profit Corporation,Central New York Regional Office,"205 State Street Road
Canton, NY 13617
(44.612698, -75.161591)"
Elderwood Village at Fairport,7 Chardonnay Drive,Monroe,Fairport,14450,5854250210,5854250213,14782,"7 Chardonnay Drive Operating Company, LLC",370-F-246,80,,,,,Adult Home,LLC,Western Regional Office - Buffalo,"7 Chardonnay Drive
Fairport, NY 14450
(43.067884, -77.436099)"
Elmore Home for Adults,330 Elmore Street,Suffolk,Central Islip,11722,6312346506,6316719662,15035,Josevito Miranda Teresita Vasquez,700-F-300,22,,,,,Adult Home,Individual,Metropolitan Area Regional Office - Long Island,"330 Elmore Street
Central Islip, NY 11722
(40.784398, -73.19982)"
The Brielle at Seaview,140 Friendship Lane,Richmond,Staten Island,10314,9172816810,9292563034,14969,Seaview Senior Living Housing Development Fund Corporation,610-E-012,188,,188,188,26,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"140 Friendship Lane
Staten Island, NY 10314
(40.595149, -74.130994)"
Park Terrace at Radisson,2981 Town Center Road,Onondaga,Baldwinsville,13027,3156389207,3156388507,14900,"Park Terrace Operating, LLC",520-F-169,65,,65,,13,Adult Home,LLC,Central New York Regional Office,"2981 Town Center Road
Baldwinsville, NY 13027
(43.178846, -76.299839)"
Adirondack Manor HFA D.B.A Montcalm Manor HFA,45 Montcalm Street,Essex,Ticonderoga,12883,5185856230,5185856467,14719,James E. Kane Sr. James E. Kane Jr.,260-F-016,40,30,,,,Adult Home,Individual,Capital District Regional Office,"45 Montcalm Street
Ticonderoga, NY 12883
(43.848238, -73.430389)"
Mermaid Manor Home for Adults,3602 Mermaid Avenue,Kings,Brooklyn,11224,7182662100,7182662103,14744,"Mermaid Manor Home For Adults, Llc",331-F-276,200,199,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"3602 Mermaid Avenue
Brooklyn, NY 11224
(40.574715, -74.002105)"
New South Shore Manor,1041 East 83rd Street,Kings,Brooklyn,11236,7182417035,7182417039,14741,George Katz Batsheva Katz David J. Deutsch,331-F-266,74,,,,,Adult Home,Individual,Metropolitan Area Regional Office - New York City,"1041 East 83rd Street
Brooklyn, NY 11236
(40.634584, -73.908465)"
Five Star Premier Residences of Yonkers,537 Riverdale Avenue,Westchester,Yonkers,10705,9147091234,9143789062,15129,D&R Yonkers LLC,800-F-992,40,,40,18,40,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"537 Riverdale Avenue
Yonkers, NY 10705
(40.913606, -73.902375)"
"Surfside Manor Home for Adults, LLC",95-02 Rockaway Beach Boulevard,Queens,Rockaway Beach,11693,7189455500,7186348925,14950,"Surfside Manor Home for Adults, LLC",590-F-314,200,199,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"95-02 Rockaway Beach Boulevard
Rockaway Beach, NY 11693
(40.58558, -73.817462)"
McPeak's Adult Home,286 North Ocean Avenue,Suffolk,Patchogue,11772,6314750445,6314755534,15028,"McPeak's Adult Home, Inc.",700-F-051,51,,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"286 North Ocean Avenue
Patchogue, NY 11772
(40.773581, -73.015288)"
The Avalon Assisted Living and Wellness Center,1629 Route 376,Dutchess,Wappingers Falls,12590,8454630500,8454632159,14673,Azzy Reckess Paula Reckess,230-F-068,76,75,,,,Adult Home,Individual,Metropolitan Area Regional Office - New York City,"1629 Route 376
Wappingers Falls, NY 12590
(41.6278, -73.875666)"
Brookdale Ithaca Memory Care,101 Bundy Road,Tompkins,Ithaca,14850,6072565094,6072565318,15088,"Ithaca Sterling Cottage Operator, Inc.",730-F-001,36,,,,,Adult Home,Business Corporation,Central New York Regional Office,
Lutheran Home Cottages,114 Utica Road,Oneida,Clinton,13323,3158015261,3158015262,14875,"The Lutheran Home of Central New York, Inc.",510-E-009,14,,14,14,14,Adult Home,Not for Profit Corporation,Central New York Regional Office,"114 Utica Road
Clinton, NY 13323
(43.057779, -75.363334)"
"Bayview Rest Home, LLC",143 East Main Street,Suffolk,Babylon,11702,6316613292,6316613292,15043,"Bayview Rest Home, LLC",700-F-908,75,,,,,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"143 East Main Street
Babylon, NY 11702
(40.697001, -73.320627)"
Fredonia Place of Williamsville,201 Reist Street,Erie,Williamsville,14221,7166322155,7166313135,14702,SOSF Ventures L.P.,240-F-904,99,,99,25,24,Adult Home,LLP,Western Regional Office - Buffalo,"201 Reist Street
Williamsville, NY 14221
(42.967463, -78.752609)"
"Hawthorne Ridge, Inc.",30 Community Way,Rensselaer,East Greenbush,12061,5188331111,5184772906,14964,"Hawthorne Ridge, Inc.",600-E-114,66,,66,,54,Adult Home,Not for Profit Corporation,Capital District Regional Office,"30 Community Way
East Greenbush, NY 12061
(42.615548, -73.695013)"
Lockport Presbyterian Home,327 High Street,Niagara,Lockport,14094,7164348805,7164346059,14866,"Lockport Presbyterian Home, Inc.",500-E-016,60,,,,,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,"327 High Street
Lockport, NY 14094
(43.164477, -78.684895)"
Samuel F. Vilas Home,61 Beekman Street,Clinton,Plattsburgh,12901,5185634960,5185635406,14662,"Plattsburgh ALR, Inc",090-F-005,44,,,,,Adult Home,LLC,Capital District Regional Office,"61 Beekman Street
Plattsburgh, NY 12901
(44.699139, -73.466488)"
Mountain Valley Manor,373-421 Wilbur Avenue,Ulster,Kingston,12401,8453311254,8453311255,15095,"Salaber, Inc.",740-F-078,53,,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"373-421 Wilbur Avenue
Kingston, NY 12401
(41.921686, -74.008876)"
Woodview Court,1015 Saw Mill River Road,Westchester,Ardsley,10502,9144001103,9144001510,15133,"ATR New York LH, Inc.",800-F-998,40,,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"1015 Saw Mill River Road
Ardsley, NY 10502
(41.022987, -73.843787)"
Garden of Eden Assisted Living Program,1608-1620 Stillwell Avenue,Kings,Brooklyn,11223,7182365757,7182361985,14746,"Garden Of Eden Home, Llc",331-F-280,201,200,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"1608-1620 Stillwell Avenue
Brooklyn, NY 11223
(40.606965, -73.987206)"
"Woodside Hall, LLC",1 Main Street,Otsego,Cooperstown,13326,6075470600,6075470601,14934,Woodside Hall LLC,570-F-044,37,,,,,Adult Home,LLC,Capital District Regional Office,"1 Main Street
Cooperstown, NY 13326
(42.699275, -74.916658)"
Woodland Pond at New Paltz,100 Woodland Pond Circle,Ulster,New Paltz,12561,8452565910,8452565779,15098,"Woodland Pond, Inc.",740-S-010,60,,60,40,20,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"100 Woodland Pond Circle
New Paltz, NY 12561
(41.757746, -74.06162)"
Evergreen Heights,8939 Oakland Street,Cayuga,Weedsport,13166,3158346142,3158348960,14643,"Central New York Adult Homes, Inc.",050-E-010,60,,,,,Adult Home,Not for Profit Corporation,Central New York Regional Office,"8939 Oakland Street
Weedsport, NY 13166
(43.05075, -76.572437)"
The Watermark at Brooklyn Heights,21 Clark Street,Kings,Brooklyn,11201,3473434900,.,14759,"Brooklyn Operating Company, LLC",331-S-016,256,,256,100,52,Enriched Housing Program,LLC,Metropolitan Area Regional Office - New York City,"21 Clark Street
Brooklyn, NY 11201
(40.698051, -73.995201)"
Elderwood Assisted Living at Cheektowaga,229 Bennett Road,Erie,Cheektowaga,14227,7166818631,7166818762,14696,"229 Bennett Road Operating Company, Llc",240-F-886,80,66,,,,Adult Home,LLC,Western Regional Office - Buffalo,"229 Bennett Road
Cheektowaga, NY 14227
(42.889315, -78.747032)"
Heritage Manor of Ransomville Assisted Living Program,3509 Ransomville Road,Niagara,Ransomville,14131,7167914211,7167913398,14870,"Heritage Ransomville Management, LLC",500-F-099,142,97,,,,Adult Home,LLC,Western Regional Office - Buffalo,"3509 Ransomville Road
Ransomville, NY 14131
(43.244627, -78.909481)"
The Springs at Fountainview,2000 Fountainview Drive,Rockland,Monsey,10952,8454266757,8454266914,14980,"Fountainview at College Road, Inc.",620-E-021,60,60,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"2000 Fountainview Drive
Monsey, NY 10952
(41.11329, -74.09044)"
The New Falls,117 Schuyler Street,Schuyler,Montour Falls,14865,6075357165,.,15014,The New Falls Home. LLC,670-F-006,111,89,,,,Adult Home,LLC,Western Regional Office - Buffalo,"117 Schuyler Street
Montour Falls, NY 14865
(42.34663, -76.84985)"
305 West End Assisted Living,305 West End Avenue,New York,New York,10023,2128745000,6469186936,14862,305 West End Avenue Operating LLC,420-S-393,200,,200,60,40,Enriched Housing Program,LLC,Metropolitan Area Regional Office - New York City,"305 West End Avenue
New York, NY 10023
(40.781348, -73.983358)"
"Mariners Residence, Inc.",2099 Forest Avenue,Richmond,Staten Island,10303,7187208800,7184478095,14972,"Mariners Residence, Inc.",610-F-066,200,200,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"2099 Forest Avenue
Staten Island, NY 10303
(40.626454, -74.159318)"
Cloverhill Adult Home,355 South Main Street,Orleans,Albion,14411,5855897832,5855897832,14927,Alan R. Johnson Alan R. Johnson II,550-F-002,44,,,,,Adult Home,Individual,Western Regional Office - Buffalo,"355 South Main Street
Albion, NY 14411
(43.234809, -78.194041)"
Frewsburg Rest Home,106 West Main Street,Chautauqua,Frewsburg,14738,7164832876,7164832832,14651,"Frewsburg Rest Home, Inc.",060-F-035,81,81,81,,21,Adult Home,Business Corporation,Western Regional Office - Buffalo,
The Hamlet at Park Ridge,1471 Long Pond Road,Monroe,Rochester,14626,5857237820,5857237118,14790,"Park Ridge Housing, Inc.",370-S-193,66,,66,,21,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,"1471 Long Pond Road
Rochester, NY 14626
(43.195168, -77.705899)"
The Sentinel of Port Jervis,2247 Greenville Turnpike,Orange,Port Jervis,12771,8458960400,8458960410,14925,"The Sentinel of Port Jervis, LLC",540-F-040,160,109,51,40,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"2247 Greenville Turnpike
Port Jervis, NY 12771
(41.352462, -74.680503)"
