"county","priority_area_order","priority_area","focus_area_order","focus_area","partner","partner_information","partner_main_address","phone_number","email"
"Tompkins","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Southern Tier AIDS Program, Inc.","Regional Prevention and Support Programs (formerly CSPs)","22 Riverside Drive, Binghamton, NY  13905","(607) 798-1706","jbarry@stapinc.org"
"Chautauqua","4","Promote Healthy Women, Infants, and Children","2","Child Health","Chautauqua County Department of Health","Children with Special Health Care Needs Program","7 North Erie Street Mayville NY 14757","(716) 753-4893","NicholsD@co.chautauqua.ny.us"
"New York","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Moving For Life, Inc.","Community-Based Breast Cancer Support and Wellness Services","515 Canal St.  Unit 1C  New York, NY 10013","212-222-1351","janice@movingforlife.org"
"Westchester","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","LOFT:  The Lesbian and Gay Community Services Center","Health and Human Services for LGBT Individuals, Families and Communities","252 Bryant Ave White Plains, NY 10605","(914) 948-2932","Judy@loftgaycenter.org"
"Seneca","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Harlem United Community AIDS Center, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","306 Lenox Ave 3rd Fl New York , NY 10027","(212) 803-2863","jkilmer@harlemunited.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","New York City Department of Health & Mental Hygiene","Expanded Partner Services","42-09 28th St, CN #45B, 15th Fl, Desk 119 Long Island City, NY  11101","(347) 396-6037","rdaay@health.nyc.gov"
"Steuben","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Fulton","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Capital District Gay & Lesbian Community Council, Inc.","Health and Human Services for LGBT Individuals, Families and Communities","322 Hudson Ave Albany, NY 12210","(518) 462-6138","mharvey@capitalpridecenter.org"
"Dutchess","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley LGBTQ Community Center","Health and Human Services for LGBT Individuals, Families and Communities","300 Wall St PO Box 3994 Kingston, NY  12401","(845) 331-5300","J.rindler@lgbtqcenter.org"
"Bronx","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albert Einstein College of Medicine, Inc.","Prostate Cancer Research 2","1300 Morris Park Ave. Belfer Rm 917 Bronx, NY 10461","718-430-3643","Dhanonjoy.saha@einstein.yu.edu"
"Clinton","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Herkimer","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albany Medical Center, Inc.","Comprehensive Care Centers for Eating Disorders","43 New Scotland Ave. MC-34  Albany, NY 12208","518-262-6008","verdilv@mail.amc.edu"
"Oswego","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","AIDS Community Resources, Inc.","HIV/STI/Hep C Prev & Related Svcs for Gay Men/MSM","627 West Genesee St Syracuse , NY 13204","(315) 475-2430","wmurtaugh@acrhealth.org"
"Wyoming","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Delaware","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albany Medical Center, Inc.","Comprehensive Care Centers for Eating Disorders","43 New Scotland Ave. MC-34  Albany, NY 12208","518-262-6008","verdilv@mail.amc.edu"
"Rensselaer","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Fulton","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Richmond","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Community Health Action of Staten Island, Inc.","Regional Prevention and Support Programs (formerly CSPs)","56 Bay St 4th Fl Staten Island , NY 10301","(718) 808-1402","diane.arneth@chasiny.org"
"Sullivan","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley Community Services, Inc.","Regional Prevention and Support Programs (formerly CSPs)","40 Saw Mill River Rd Hawthorne , NY 10532","(914)785-8265","astraus@hudsonvalleycs.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Harlem Dowling-Westside Center for Children and Families, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","2090 Adam Clayton Powell Jr Blvd Suite 108 New York , NY 10027","(212) 749-3656","kdixon@harlemdowling.org"
"Schuyler","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Schoharie","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Wayne","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Health & Human Svcs for LGBT Individuals, Families and Communities","259 Monroe Ave Rochester , NY 14607","(585) 545-7200","bbelecz@trilliumhealth.org"
"Albany","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","In Our Own Voices, Inc.","HIV/STI/Hep C Prevention & Related Services for Lesbians/Women who have Sex with Women","245 Lark St Albany , NY 12210","(518) 432-4188","tlagrone@inourownvoices.org"
"Orange","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley Community Services, Inc.","Expanded Syringe Access Program","40 Saw Mill River Rd Hawthorne , NY 10532","(914) 785-8265","astraus@hudsonvalleycs.org"
"New York","4","Promote Healthy Women, Infants, and Children","2","Child Health","New York City (NYC) County Department of Health","Children with Special Health Care Needs Program","Gotham Center,42-09 28th Street, CN 48,Long Island City,11101-4132","(347) 396-4669","ecurent1@health.nyc.gov"
"Wyoming","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Breast Cancer Coalition of Rochester, Inc.","Community-Based Breast Cancer Support and Wellness Services","1048 University Ave.  Rochester, NY 14607","585-473-8177","holly@bccr.org"
"Montgomery","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Tompkins","1","Promote a Healthy and Safe Environment","2","Water Quality","Tompkins County","Drinking Water Enhancement","55 Brown Road, Ithaca, NY 14850","(607) 274-6688","lcameron@tompkins-co.org"
"Orleans","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","EHS, Inc.","Harm Reduction/Syringe Exchange","206 South Elmwood Ave Buffalo , NY 14201","(716) 847-0212","rganoe@evergreenhs.org"
"Oswego","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","AIDS Community Resources, Inc.","HIV/STI/Hep C Prev & Related Svcs for Heterosexual Men & Women","627 West Genesee St Syracuse , NY 13204","(315) 475-2430","wmurtaugh@acrhealth.org"
"Oneida","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Albany","4","Promote Healthy Women, Infants, and Children","1","Maternal and Infant Health","Albany Medical Center Hospital - Regional Perinatal Center","Regional Perinatal Centers","43 New Scotland Avenue, Albany, NY 12208","(518) 262-3003","BossS@mail.amc.edu"
"Tompkins","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Steuben","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Regional Prevention and Support Programs (formerly CSPs)","259 Monroe Ave Suite 100Rochester , NY 14607","(585) 210-4160","ademeo@trillumhealth.org"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Make the Road New York","Health and Human Services for LGBT Individuals, Families and Communities","301 Grove St Brooklyn, NY 11237","(718)418-7690","deborah.axt@maketheroadny.org"
"Nassau","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Albany","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Capital District Gay & Lesbian Community Council, Inc.","Health and Human Services for LGBT Individuals, Families and Communities","332 Hudson Ave Albany, NY 12210","(518) 462-6138","mharvey@capitalpridecenter.org"
"Delaware","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Hamilton","4","Promote Healthy Women, Infants, and Children","2","Child Health","Hamilton County Department of Health","Children with Special Health Care Needs Program","PO Box 250 White Birch Lane,Indian Lake 12842","(518) 648-6497","penny.warrington.hcphns@frontier.com"
"Queens","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Gilda's Club of New York City","Community-Based Breast Cancer Support and Wellness Services","195 West Houston St.  New York City, NY 10014","212-647-9700","lsafani@gildasclubnyc.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Harlem United Community AIDS Center, Inc.","Regional Prevention and Support Programs (formerly CSPs)","306 Lenox Ave 3rd Fl New York , NY 10027","(212) 803-2863","jkilmer@harlemunited.org"
"Rensselaer","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Dutchess","4","Promote Healthy Women, Infants, and Children","2","Child Health","Dutchess County Department of Health","Children with Special Health Care Needs Program","85 Civic Center Plaza Suite 106,Poughkeepsie NY 12601","(845) 486-3522","jwright@dutchessny.gov"
"Albany","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Catholic Charities of Diocese of Albany","Successfully Transitioning Youth to Adolescence","27 North Main Avenue, Albany, NY 12203","(518) 482-8836","Peg@ccms.org"
"Saratoga","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","To Life!, Inc.","Community-Based Breast Cancer Support and Wellness Services","410 Kenwood Ave.  Delmar, NY 12054","518-439-5975","ebird@tolife.org"
"Bronx","2","Prevent Chronic Diseases","1","Reduce Obesity in Children and Adults","Women's Housing and Economic Development Corp.","Eat Well Play Hard in Day Care Homes","50 East 168th Street, Bronx, NY 10452","(718) 839-1100","drussell@whedco.org
dperez@whedco.org"
"Albany","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Upper Hudson Planned Parenthood","Family Planning Program","855 Central Avenue , Albany, NY 12206","(518) 434-5678","chelly@uhpp.org"
"Westchester","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Support Connection, Inc.","Community-Based Breast Cancer Support and Wellness Services","40 Triangle Center Suite 100  Yorktown Heights, NY 10598","914-962-6402","katherine.quinn@supportconnection.org"
"Franklin","2","Prevent Chronic Diseases","1","Reduce Obesity in Children and Adults","Clinton County Department of Health","Pediatric Obesity Prevention:  Creating Breastfeeding Friendly Communities","137 Margaret St.  Plattsburgh, NY 12901","518-565-4600","Lisa.Turner@clintoncountygov.com"
"Schuyler","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Expanded Syringe Access Program","259 Monroe Ave Suite 100 Rochester , NY 14607","(585) 210-4160","ademeo@trillumhealth.org"
"St. Lawrence","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Monroe","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Action For A Better Community, Inc.","HIV/STD/HCV Prevention and Related Services for Young People through the use of Youth Health Advocates","550 East Main St Rochester , NY 14604","(585) 325-5116","jnorman@abcinfo.org"
"Chautauqua","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Gay Men's Health Crisis, Inc.","Regional Prevention and Support Programs (formerly CSPs)","446 West 33rd St 6th Fl New York , NY 10001","(212)367-1524","billb@gmhc.org"
"Seneca","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Health & Human Svcs for LGBT Individuals, Families and Communities","259 Monroe Ave Rochester , NY 14607","(585)545-7200","bbelecz@trilliumhealth.org"
"Bronx","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Montefiore Medical Center","HIV/STD/HCV Prevention & Related Services for Young Gay Men/MSM with a focus on COC","111 East 210th St Bronx , NY 10467","(718) 920-4151","vhatcher@montefiore.org"
"Queens","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Gay Men's Health Crisis, Inc.","HIV/STI/Hep C Prev & Related Svcs for Gay Men/MSM","446 West 33rd St 6th Fl New York , NY 10001","(212)367-1524","billb@gmhc.org "
"Queens","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Allegany","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Westchester","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","YWCA of White Plains and Central Westchester","Community-Based Breast Cancer Support and Wellness Services","515 North St.  White Plains, NY 10605","914-949-6227","mimperial@ywcawpcw.org"
"Steuben","4","Promote Healthy Women, Infants, and Children","2","Child Health","Steuben County Department of Health","Children with Special Health Care Needs Program","3 East Pulteney Square,Bath,NY,14810-1560","(607) 664-2148","lindag@co.steuben.ny.us"
"Orange","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley Community Services, Inc.","HIV/STD/HCV Prevention & Related Services for Young Gay Men/MSM with a focus on COC","40 Saw Mill River Rd Hawthorne , NY 10532","(914) 785-8265","astraus@hudsonvalleycs.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","The Osborne Association, Inc.","Criminal Justice Services Upon Release","809 Westchester Ave Bronx , NY 10455","(718) 707-2600","egaynes@osborneny.org"
"Bronx","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Citiwide Harm Reduction Program, Inc.","Harm Reduction/Syringe Exchange","540 East Fordham Rd Bronx , NY 10458","(718) 295-2666","jdavila@boomhealth.org"
"Cayuga","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Jefferson","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Clinton","2","Prevent Chronic Diseases","1","Reduce Obesity in Children and Adults","Clinton County Department of Health","Pediatric Obesity Prevention:  Creating Breastfeeding Friendly Communities","137 Margaret St.  Plattsburgh, NY 12901","518-565-4600","Lisa.Turner@clintoncountygov.com"
"Erie","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Breast Cancer Coalition of Rochester, Inc.","Community-Based Breast Cancer Support and Wellness Services","1048 University Ave.  Rochester, NY 14607","585-473-8177","holly@bccr.org"
"Rensselaer","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Catholic Charities AIDS Services","Harm Reduction/Syringe Exchange","100 Slingerland St Albany , NY 12202","(518) 449-3581","stephaniel@ccalbany.org"
"New York","2","Prevent Chronic Diseases","1","Reduce Obesity in Children and Adults","Day Care Council of New York, Inc","Eat Well Play Hard in Child Care Settings","2082 Lexington Ave, Suite 204 New York NY 10035","(212) 206-7818 x 101","aanthony@dccnyinc.org"
"Seneca","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Cancer Resource Center of the Finger Lakes","Community-Based Breast Cancer Support and Wellness Services","612 West State St.  Ithaca, NY 14850","607-277-0960","bob@crcfl.net"
"Orange","4","Promote Healthy Women, Infants, and Children","2","Child Health","Orange County Department of Health","Children with Special Health Care Needs Program","130 Broadway, Newburgh, NY 12550","(845) 568-5240","acraig@co.orange.ny.us"
"Allegany","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Gay & Lesbian Youth Services of Western NY, Inc.","Health and Human Services for LGBT Individuals, Families and Communities","371 Delaware Ave Buffalo, NY 14202","(716) 855-0221","Kinsey6XX@aol.com"
"Allegany","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","barbara.falkman@suffolkcountyny.gov"
"Fulton","4","Promote Healthy Women, Infants, and Children","2","Child Health","Fulton County Department of Health","Children with Special Health Care Needs Program","2714 State Highway 29 PO BOX 415 Johnstown NY 12095-0415","(518) 736-5720","e.hunt@co.fulton.ny.us"
"Putnam","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Urban League of Westchester County, Inc.","Community Mobilization Programs (formerly CDIs)","61 Mitchell Pl White Plains , NY 10606","(914) 428-6300","limacss@aol.com"
"Tompkins","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Chenango","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Niagara","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Pride Center of Western New York, Inc.","STD Testing and Awareness","206 South Elmwood Ave 3rd Floor Buffalo , NY 14201","(716) 847-0212","rganoe@evergreenhs.org"
"Oswego","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"Tioga","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
