County,Type,Name,Phone,Website,Location,New York Zip Codes,Counties,NYS Senate Districts,Local Waterfront Revitalization Program (LWRP) Communities,School Districts 2016.shp
CLINTON,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(44.731944, -73.548883)",202,2038,35,,920
CLINTON,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(44.731944, -73.548883)",202,2038,35,,920
RICHMOND,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(40.566763, -74.148102)",609,2139,47,37,7
DELAWARE,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.242972, -74.997944)",395,2039,32,,410
SCHOHARIE,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.643426, -74.434606)",1173,629,44,,572
GENESEE,Organ Procurement Organizations,ConnectLife,716-529-4300,http://www.connectlife.org,"(43.000121, -78.172679)",489,2086,61,,752
SUFFOLK,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.820237, -73.119032)",1421,2179,3,,137
CAYUGA,Tissue Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(42.940095, -76.560755)",343,618,43,,660
RICHMOND,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.566763, -74.148102)",609,2139,47,37,7
STEUBEN,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.270053, -77.324618)",1757,2178,58,,454
TOMPKINS,Tissue Bank,Musculoskeletal Transplant Foundation of Rochester,800-946-9008,http://www.mtf.org,"(42.461024, -76.478784)",1786,2181,58,,496
CHAUTAUQUA,Eye Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.246904, -79.315313)",1743,2035,57,,447
DELAWARE,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.242972, -74.997944)",395,2039,32,,410
FULTON,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.06014, -74.331296)",1227,2085,42,,830
ONONDAGA,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(43.065629, -76.168033)",713,2132,43,,755
WESTCHESTER,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(41.039278, -73.805386)",1440,2185,53,,224
CHEMUNG,Tissue Bank,Musculoskeletal Transplant Foundation of Syracuse,800-946-9008,http://www.mtf.org,"(42.116644, -76.812331)",926,2036,58,,315
HERKIMER,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.070026, -74.994246)",559,2088,44,,758
BROOME,Tissue Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(42.122015, -75.933191)",479,2033,45,,346
ESSEX,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(44.166026, -73.685145)",287,2084,35,,911
QUEENS,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.749338, 73.789673)",,,,,
DUTCHESS,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(41.686216, -73.840468)",1022,2040,30,,63
SUFFOLK,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.820237, -73.119032)",1421,2179,3,,137
LIVINGSTON,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.763754, -77.765392)",232,2091,59,,645
SCHENECTADY,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.809233, -73.946838)",74,2142,42,,617
TIOGA,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.120252, -76.29595)",450,630,45,,330
ST. LAWRENCE,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(44.689468, -75.24045)",1581,2140,41,,919
ONEIDA,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(43.149482, -75.361773)",1281,625,40,,794
LEWIS,Eye Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(43.785537, -75.446296)",571,623,40,,694
JEFFERSON,Tissue Bank,Musculoskeletal Transplant Foundation of Syracuse,800-946-9008,http://www.mtf.org,"(44.019295, -75.898971)",1466,2089,41,,705
BRONX,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.85589, -73.868294)",675,2032,52,37,176
CORTLAND,Eye Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(42.597101, -76.143291)",362,620,44,,537
MONTGOMERY,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.933637, -74.341972)",1221,624,36,,699
WYOMING,Tissue Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.723641, -78.204473)",415,2186,59,,622
NEW YORK,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(40.726966, -74.005966)",737,2095,50,37,108
PUTNAM,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(41.41131, -73.717443)",1201,627,29,,272
MADISON,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.986917, -75.720031)",351,2092,46,,723
GREENE,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.298326, -73.973376)",88,2087,36,,435
SARATOGA,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.00894, -73.786779)",1148,2141,42,,733
WASHINGTON,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.289513, -73.454761)",787,2184,35,,857
NIAGARA,Eye Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(43.134634, -78.856419)",1107,2131,62,,835
OSWEGO,Tissue Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(43.39123, -76.31133)",623,2135,41,,533
OTSEGO,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.564852, -75.0603334)",432,2136,44,,529
ALLEGANY,Tissue Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.226801, -78.020567)",1759,2031,57,,434
KINGS,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.65642, -73.950691)",809,2090,31,37,27
SENECA,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.833627, -76.82753)",689,2144,54,,631
COLUMBIA,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.276913, -73.682168)",977,619,33,,388
SCHOHARIE,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.643426, -74.434606)",1173,629,44,,572
WYOMING,Organ Procurement Organizations,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.723641, -78.204473)",415,2186,59,,622
ONEIDA,Eye Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(43.149482, -75.361773)",1281,625,40,,794
ORANGE,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(41.422459, -74.241929)",1496,2134,32,,76
ULSTER,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(41.848374, -74.099412)",264,2182,32,,198
RENSSELAER,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.70098, -73.628669)",38,2138,33,40,473
DUTCHESS,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(41.686216, -73.840468)",1022,2040,30,,63
GENESEE,Eye Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(43.000121, -78.172679)",489,2086,61,,752
CAYUGA,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.940095, -76.560755)",343,618,43,,660
RICHMOND,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.566763, -74.148102)",609,2139,47,37,7
MONROE,Tissue Bank,Musculoskeletal Transplant Foundation of Rochester,800-946-9008,http://www.mtf.org,"(43.161748, -77.620143)",1666,2093,56,50,844
ERIE,Tissue Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.888143, -78.795544)",62,2041,63,,646
GREENE,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.298326, -73.973376)",88,2087,36,,435
WASHINGTON,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.289513, -73.454761)",787,2184,35,,857
STEUBEN,Tissue Bank,Musculoskeletal Transplant Foundation of Rochester,800-946-9008,http://www.mtf.org,"(42.270053, -77.324618)",1757,2178,58,,454
SULLIVAN,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(41.705166, -74.711705)",1024,2180,32,,283
CATTAURAGUS,Eye Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.224267, -78.606673)",1719,2034,57,,427
ORLEANS,Tissue Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(43.248394, -78.218438)",170,626,62,,873
CHENANGO,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.481798, -75.570013)",451,2037,45,,493
SARATOGA,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.00894, -73.786779)",1148,2141,42,,733
BROOME,Eye Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(42.122015, -75.933191)",479,2033,45,,346
HERKIMER,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.070026, -74.994246)",559,2088,44,,758
STEUBEN,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.270053, -77.324618)",1757,2178,58,,454
QUEENS,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.749338, 73.789673)",,,,,
DELAWARE,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.242972, -74.997944)",395,2039,32,,410
NASSAU,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(40.715749, -73.601185)",1455,2094,6,,93
LIVINGSTON,Tissue Bank,Musculoskeletal Transplant Foundation of Rochester,800-946-9008,http://www.mtf.org,"(42.763754, -77.765392)",232,2091,59,,645
WAYNE,Tissue Bank,Musculoskeletal Transplant Foundation of Rochester,800-946-9008,http://www.mtf.org,"(43.144336, -77.117995)",318,631,54,,809
NEW YORK,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.726966, -74.005966)",737,2095,50,37,108
CORTLAND,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.597101, -76.143291)",362,620,44,,537
CHEMUNG,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.116644, -76.812331)",926,2036,58,,315
SCHENECTADY,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.809233, -73.946838)",74,2142,42,,617
TIOGA,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.120252, -76.29595)",450,630,45,,330
ESSEX,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(44.166026, -73.685145)",287,2084,35,,911
ONEIDA,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(43.149482, -75.361773)",1281,625,40,,794
ST. LAWRENCE,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(44.689468, -75.24045)",1581,2140,41,,919
PUTNAM,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(41.41131, -73.717443)",1201,627,29,,272
CHAUTAUQUA,Tissue Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.246904, -79.315313)",1743,2035,57,,447
BRONX,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.85589, -73.868294)",675,2032,52,37,176
JEFFERSON,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(44.019295, -75.898971)",1466,2089,41,,705
ONONDAGA,Tissue Bank,Musculoskeletal Transplant Foundation of Syracuse,800-946-9008,http://www.mtf.org,"(43.065629, -76.168033)",713,2132,43,,755
FRANKLIN,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(44.705699, -74340621)",,,,,
WYOMING,Eye Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.723641, -78.204473)",415,2186,59,,622
LEWIS,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(43.785537, -75.446296)",571,623,40,,694
ROCKLAND,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(41.127287, -74.017033)",1546,628,27,,154
COLUMBIA,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.276913, -73.682168)",977,619,33,,388
SENECA,Tissue Bank,Musculoskeletal Transplant Foundation of Rochester,800-946-9008,http://www.mtf.org,"(42.833627, -76.82753)",689,2144,54,,631
RENSSELAER,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.70098, -73.628669)",38,2138,33,40,473
CHENANGO,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.481798, -75.570013)",451,2037,45,,493
ERIE,Organ Procurement Organizations,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.888143, -78.795544)",62,2041,63,,646
TOMPKINS,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.461024, -76.478784)",1786,2181,58,,496
