School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location,Counties
YONKERS CITY SCHOOLS,YONKERS MIDDLE SCHOOL,Westchester,Public School,74,No,23,0,0,51,Yes,,68,6,Yes,Yes,05/29/2019,www.yonkerspublicschools.org,662300010055,,YONKERS,NY,10705,12/30/2019,12/30/2019,41 039278,"150 ROCKLAND AVE
YONKERS, NY 10705
(40.92571223600004, -73.88636912499999)",
BOCES No District Name,MONROE 2 ORLEANS BOCES BUILDING 1 NORTH (LEAD ONLY),Monroe,BOCES School,155,No,155,0,0,0,Yes,,141,13,Yes,Yes,09/16/2016,www.monroe2boces.org,269200000001,,SPENCERPORT,NY,14559,10/08/2018,12/20/2019,43 161748,"3589 BIG RIDGE ROAD
SPENCERPORT, NY 14559
(43.19509886900005, -77.79026107999994)",
BOCES No District Name,MONROE 2 ORLEANS BOCES BUILDING 2 SOUTH (LEAD ONLY),Monroe,BOCES School,46,No,46,0,0,0,Yes,,46,9,Yes,Yes,09/16/2016,www.monroe2boces.org,269200000002,,SPENCERPORT,NY,14559,10/08/2018,12/20/2019,43 161748,"3591 RIDGE ROAD
SPENCERPORT, NY 14559
(43.212982655000076, -77.72430702999998)",
BOCES No District Name,MONROE 2 ORLEANS BOCES GREENHOUSE (LEAD ONLY),Monroe,BOCES School,1,No,0,0,0,0,No,,0,1,Yes,Yes,09/16/2016,www.monroe2boces.org,269200000006,,SPENCERPORT,NY,14559,10/08/2018,12/20/2019,43 161748,"3589 BIG RIDGE ROAD
SPENCERPORT, NY 14559
(43.19509886900005, -77.79026107999994)",
BOCES No District Name,ORANGE ULSTER BOCES CAREER AND TECH EDUCATION CENTER (LEAD ONLY),Orange,BOCES School,134,No,130,0,0,134,Yes,,134,0,Yes,Yes,03/28/2019,www.ouboces.org,449000000010,,GOSHEN,NY,10924,10/30/2018,12/16/2019,41 422459,"39 GIBSON ROAD
GOSHEN, NY 10924
(41.38423155300006, -74.35081330699995)",
BOCES No District Name,ORANGE ULSTER BOCES EMANUEL AXELROD EDUCATION CENTER (LEAD ONLY),Orange,BOCES School,160,No,0,0,0,160,Yes,,156,4,Yes,Yes,01/30/2019,www.ouboces.org,449000000009,,GOSHEN,NY,10924,12/16/2019,12/16/2019,41 422459,"103 GIBSON ROAD
GOSHEN, NY 10924
(41.38714261200005, -74.35401604399993)",
BOCES No District Name,ORANGE ULSTER BOCES TERRENCE L OLIVO BUILDING (LEAD ONLY),Orange,BOCES School,105,No,0,0,0,105,Yes,,105,0,Yes,Yes,01/30/2019,www.ouboces.org,449000008035,,GOSHEN,NY,10924,12/16/2019,12/16/2019,41 422459,"4 HARRIMAN DRIVE
GOSHEN, NY 10924
(41.39090780300006, -74.32306055299995)",
CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,CHARLOTTE VALLEY SCHOOL,Delaware,Public School,86,No,0,0,0,86,Yes,,51,0,Yes,Yes,10/16/2018,Https://www.charlottevallleycs.org,120401040001,,DAVENPORT,NY,13750,01/10/2017,12/10/2019,42 242972,"RT 23
DAVENPORT, NY 13750
(42.466120010000054, -74.78974068399998)",
GREENBURGH-GRAHAM U F S,ZICCOLELLA ELEMENTARY,Westchester,Public School,10,No,9,0,0,1,Yes,,10,0,No,Yes,08/30/2019,www.greenburgh-graham.org,660410020001,,HASTINGS-ON-HUDSON,NY,10706,11/20/2018,12/06/2019,41 039278,"ONE S BROADWAY
HASTINGS-ON-HUDSON, NY 10706
(40.97933940400003, -73.88018656099996)",
GREENBURGH-GRAHAM U F S,ZICCOLELLA MIDDLE SCHOOL,Westchester,Public School,46,No,45,0,0,1,Yes,,46,0,No,Yes,08/30/2019,www.greenburgh-graham.org,660410020003,,HASTINGS-ON-HUDSON,NY,10706,11/20/2018,12/06/2019,41 039278,"1 SOUTH BROADWAY
HASTINGS-ON-HUDSON, NY 10706
(40.979219940000064, -73.88022641999999)",
BOCES No District Name,WSWHE BOCES EDUCATIONAL SERVICES CENTER COMPLEX A-E (LEAD ONLY),Washington,BOCES School,92,No,84,0,0,92,Yes,,89,3,Yes,Yes,03/15/2018,www.wswheboces.org,649000000056,,HUDSON FALLS,NY,12839,11/29/2018,12/04/2019,43 289513,"1051 DIX AVENUE
HUDSON FALLS, NY 12839
(43.31929929900008, -73.59206215299997)",
BOCES No District Name,WSWHE BOCES EMPIRE THEATRE PLAZA (LEAD ONLY),Washington,BOCES School,1,No,1,0,0,1,Yes,,1,0,No,Yes,11/15/2016,www.wswheboces.org,649000000079,,GLENS FALLS,NY,12801,11/29/2018,12/04/2019,43 289513,"11 SOUTH STREET
GLENS FALLS, NY 12801
(43.31039683900008, -73.64672826499998)",
BOCES No District Name,WSWHE BOCES HORSE BARN FOR HORSE CARE (LEAD ONLY),Washington,BOCES School,1,No,1,0,0,1,Yes,,1,0,No,Yes,12/08/2016,www.wswheboces.org,649000000088,,GANSEVOORT,NY,12831,11/29/2018,12/04/2019,43 289513,"22 SCOUT ROAD
GANSEVOORT, NY 12831
(43.15231735700007, -73.68813554699994)",
BOCES No District Name,WSWHE BOCES MEYERS EDUCATIONAL CENTER CALC BLDG (LEAD ONLY),Washington,BOCES School,6,No,5,1,0,6,Yes,,5,1,Yes,Yes,12/08/2016,www.wswheboces.org,649000000005,,SARATOGA SPRINGS,NY,12866,11/29/2018,12/04/2019,43 289513,"15 HENNING ROAD
SARATOGA SPRINGS, NY 12866
(43.08102000000008, -73.75368149999997)",
BOCES No District Name,WSWHE BOCES MEYERS EDUCATIONAL CENTER MAIN BUILDING (LEAD ONLY),Washington,BOCES School,,No,,,,,No,,147,14,Yes,Yes,03/14/2018,,649000000006,,SARATOGA SPRINGS,NY,12866,,12/04/2019,43 289513,"15 HENNING ROAD
SARATOGA SPRINGS, NY 12866
(43.08102000000008, -73.75368149999997)",
BOCES No District Name,WSWHE BOCES POLE BARN BUS GARAGE (LEAD ONLY),Washington,BOCES School,3,No,3,0,0,3,Yes,,3,0,No,Yes,12/08/2016,www.wswheboces.org,649000000004,,SARATOGA SPRINGS,NY,12866,12/12/2018,12/04/2019,43 289513,"15 HENNING ROAD
SARATOGA SPRINGS, NY 12866
(43.08102000000008, -73.75368149999997)",
BOCES No District Name,WSWHE BOCES SCHOOL SUPPORT SERVICES (LEAD ONLY),Washington,BOCES School,14,No,14,0,0,14,Yes,,14,0,No,Yes,12/08/2016,www.wswheboces.org,649000000066,,SARATOGA SPRINGS,NY,12866,11/29/2018,12/04/2019,43 289513,"27 GLICK ROAD
SARATOGA SPRINGS, NY 12866
(43.09633723600007, -73.76164778399993)",
BOCES No District Name,WSWHE BOCES SOUTH ADIRONDACK EDUCATIONAL CENTER BUILDING G (LEAD ONLY),Washington,BOCES School,16,No,16,0,0,16,Yes,,16,0,No,Yes,11/15/2016,www.wswheboces.org,649000000048,,HUDSON FALLS,NY,12839,11/29/2018,12/04/2019,43 289513,"1051 DIX AVE
HUDSON FALLS, NY 12839
(43.31929929900008, -73.59206215299997)",
BOCES No District Name,WSWHE BOCES SOUTH ADIRONDACK EDUCATIONAL CENTER BUILDING H (LEAD ONLY),Washington,BOCES School,11,No,9,0,0,11,Yes,,11,2,Yes,Yes,11/15/2016,www.wswheboces.org,649000000049,,HUDSON FALLS,NY,12839,11/29/2018,12/04/2019,43 289513,"1051 DIX AVENUE
HUDSON FALLS, NY 12839
(43.31929929900008, -73.59206215299997)",
BOCES No District Name,WSWHE BOCES SOUTH ADIRONDACK EDUCATIONAL CENTER BUILDING I (LEAD ONLY),Washington,BOCES School,4,No,4,0,0,4,Yes,,0,0,No,Yes,11/15/2016,www.wswheboces.org,649000000050,,HUDSON FALLS,NY,12839,11/29/2018,12/04/2019,43 289513,"1051 DIX AVENUE
HUDSON FALLS, NY 12839
(43.31929929900008, -73.59206215299997)",
BOCES No District Name,WSWHE BOCES SOUTH ADIRONDACK EDUCATIONAL CENTER BUILDING J (LEAD ONLY),Washington,BOCES School,0,No,0,0,0,0,No,,0,0,No,Yes,11/15/2016,www.wswheboces.org,649000000051,,HUSDON FALLS,NY,12839,11/29/2018,12/04/2019,43 289513,"1051 DIX AVENUE
HUSDON FALLS, NY 12839
(43.31929929900008, -73.59206215299997)",
BOCES No District Name,WSWHE BOCES SOUTH ADITONDACK EDUCATIONAL CENTER BUILDINF F (LEAD ONLY),Washington,BOCES School,6,No,6,0,0,6,Yes,,6,0,No,Yes,11/15/2016,www.wswheboces.org,649000000047,,HUDSON FALLS,NY,12839,11/29/2018,12/04/2019,43 289513,"1051 DIX AVE
HUDSON FALLS, NY 12839
(43.31929929900008, -73.59206215299997)",
BOCES No District Name,WSWHE BOCES WASHINGTON STREET SCHOOL (LEAD ONLY),Washington,BOCES School,20,No,10,0,0,20,Yes,,20,3,Yes,Yes,03/26/2018,www.wswheboces.org,649000000078,,FORT EDWARD,NY,12828,11/29/2018,12/04/2019,43 289513,"12 WASHINGTON STREET
FORT EDWARD, NY 12828
(43.27030328600006, -73.58636378299997)",
YONKERS CITY SCHOOLS,LINCOLN H S,Westchester,Public School,138,No,45,0,0,104,Yes,,138,0,No,Yes,06/28/2019,www.yonkerspublicschools.org,662300010038,,YONKERS,NY,10704,11/14/2019,11/14/2019,41 039278,"KNEELAND AVE
YONKERS, NY 10704
(40.92269517400007, -73.87236974299998)",
MARLBORO CENTRAL SCHOOL,MARLBORO CENTRAL H S,Ulster,Public School,75,No,75,0,0,75,Yes,,75,0,Yes,Yes,11/17/2016,www.marlboroschools.org,621001060005,,MARLBORO,NY,12542,10/29/2018,10/29/2019,41 848374,"50 CROSS RD
MARLBORO, NY 12542
(41.60361542000004, -73.98859363299994)",
YONKERS CITY SCHOOLS,CEDAR PLACE ELEMENTARY SCHOOL,Westchester,Public School,90,No,7,0,0,85,Yes,,87,3,Yes,Yes,02/06/2019,www.yonkerspublicschools.org,662300010045,,YONKERS,NY,10705,07/18/2019,07/18/2019,41 039278,"20 CEDAR PLACE
YONKERS, NY 10705
(40.925644197000054, -73.89718374799997)",
YONKERS CITY SCHOOLS,FOXFIRE SCHOOL,Westchester,Public School,34,No,4,0,0,29,Yes,,33,1,Yes,Yes,06/28/2019,www.yonkerspublicschools.org,662300010007,,YONKERS,NY,10701,07/18/2019,07/18/2019,41 039278,"1061 N BROADWAY
YONKERS, NY 10701
(40.97050200000007, -73.88578799999993)",
YONKERS CITY SCHOOLS,KAHLIL GILBRAN,Westchester,Public School,57,No,18,0,0,36,Yes,,54,0,No,Yes,05/12/2019,www.yonkerspublicschools.org,662300010028,,YONKERS,NY,10710,11/22/2016,07/18/2019,41 039278,"18 ROSEDALE RD
YONKERS, NY 10710
(40.96091527300007, -73.83791991099997)",
YONKERS CITY SCHOOLS,MARTIN LUTHER KING SCHOOL,Westchester,Public School,101,No,48,0,0,44,Yes,,97,4,Yes,Yes,06/28/2019,www.yonkerspublicschools.org,662300010046,,YONKERS,NY,10701,07/18/2019,07/18/2019,41 039278,"LOCUST HILL AVE
YONKERS, NY 10701
(40.93680664000004, -73.89571051599995)",
YONKERS CITY SCHOOLS,PEARLS HAWTHORNE SCHOOL,Westchester,Public School,69,No,33,0,0,39,Yes,,69,0,No,Yes,05/29/2019,www.yonkerspublicschools.org,662300010047,,YONKERS,NY,10705,07/18/2019,07/18/2019,41 039278,"350 HAWTHORNE AVE
YONKERS, NY 10705
(40.92019919200004, -73.90309356099993)",
YONKERS CITY SCHOOLS,ROBERT C DODSON SCHOOL,Westchester,Public School,68,No,30,0,0,39,Yes,,65,3,Yes,Yes,06/28/2019,www.yonkerspublicschools.org,662300010001,,YONKERS,NY,10710,07/18/2019,07/18/2019,41 039278,"105 AVONDALE RD
YONKERS, NY 10710
(40.96861054800007, -73.82849879399998)",
YONKERS CITY SCHOOLS,ROOSEVELT H S,Westchester,Public School,109,No,35,0,0,92,Yes,,109,0,No,Yes,05/29/2019,www.yonkerspublicschools.org,662300010043,,YONKERS,NY,10710,07/18/2019,07/18/2019,41 039278,"631 TUCKAHOE RD
YONKERS, NY 10710
(40.953769728000054, -73.84477728899998)",
YONKERS CITY SCHOOLS,SCHOOL 32-FAMILY SCHOOL,Westchester,Public School,74,No,34,0,0,40,Yes,,74,0,No,Yes,05/29/2019,www.yonkerspublicschools.org,662300010002,,YONKERS,NY,10710,07/18/2019,07/18/2019,41 039278,"1 MONTCLAIR PL
YONKERS, NY 10710
(40.96351615700007, -73.84444617599996)",
YONKERS CITY SCHOOLS,MONTESSORI 27,Westchester,Public School,63,No,29,0,0,35,Yes,,63,0,No,Yes,06/28/2019,www.yonkerspublicschools.org,662300010027,,YONKERS,NY,10705,07/16/2019,07/16/2019,41 039278,"132 VALENTINE LN
YONKERS, NY 10705
(40.91649595700005, -73.90361676199996)",
YONKERS CITY SCHOOLS,SCHOOL 16,Westchester,Public School,54,No,10,0,0,44,Yes,,54,0,No,Yes,05/29/2019,www.yonkerspublicschools.org,662300010016,,YONKERS,NY,10703,12/30/2019,07/16/2019,41 039278,"N BROADWAY
YONKERS, NY 10703
(40.955961184000046, -73.88909501599994)",
YONKERS CITY SCHOOLS,YONKERS MONTESSORI ACADEMY,Westchester,Public School,154,No,63,0,0,152,Yes,,150,4,Yes,Yes,05/29/2019,www.yonkerspublicschools.org,662300010044,,YONKERS,NY,10704,07/16/2019,07/16/2019,41 039278,"WAKEFIELD AVE
YONKERS, NY 10704
(40.90628909900005, -73.86147972499998)",
BRIGHTON CENTRAL SCHOOL,BRIGHTON S H S,Monroe,Public School,1,No,1,0,0,1,Yes,,1,0,Yes,Yes,06/05/2019,https://www.bcsd.org/Page/125,260101060004,,ROCHESTER,NY,14618,05/28/2019,06/12/2019,43 161748,"1150 WINTON RD SO
ROCHESTER, NY 14618
(43.123218732000055, -77.56740377599994)",
BRIGHTON CENTRAL SCHOOL,COUNCIL ROCK SCHOOL,Monroe,Public School,98,No,84,0,0,0,Yes,,1,0,Yes,Yes,06/04/2019,https://www.bcsd.org/Page/125,260101060001,,ROCHESTER,NY,14610,09/28/2018,06/12/2019,43 161748,"600 GROSVENOR RD
ROCHESTER, NY 14610
(43.13099573400007, -77.55035663199999)",
BAYPORT BLUE PT U F SCH,JAMES WILSON YOUNG MS,Suffolk,Public School,148,No,0,0,0,148,Yes,,148,0,Yes,Yes,06/07/2019,http://www.bbpschools.org/NewsAssets/39420/Lead_Testing_101316.pdf,580505020006,,BAYPORT,NY,11705,06/12/2019,06/12/2019,40 820237,"602 SYLVAN AVE
BAYPORT, NY 11705
(40.75693200000006, -73.04901299999995)",
BAYPORT BLUE PT U F SCH,SYLVAN AVENUE ELEM SCHOOL,Suffolk,Public School,96,No,0,0,0,96,Yes,,96,0,Yes,Yes,03/25/2019,http://www.bbpschools.org/NewsAssets/39420/Lead_Testing_101316.pdf,580505020003,,BAYPORT,NY,11705,06/12/2019,06/12/2019,40 820237,"600 SYLVAN AVE
BAYPORT, NY 11705
(40.75432200000006, -73.04951699999998)",
BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,CLINTON AVENUE SCHOOL,Suffolk,Public School,53,No,25,0,0,26,Yes,,53,0,Yes,Yes,05/14/2019,http://www.comsewogue.k12.ny.us/district-news/leadtestingatcomsewogue,580203020005,,PT JEFFERSON STA,NY,11776,06/12/2019,06/12/2019,40 820237,"140 CLINTON AVE
PT JEFFERSON STA, NY 11776
(40.90627164000006, -73.03897085699998)",
YONKERS CITY SCHOOLS,ROSMARIE ANN SIRAGUSA,Westchester,Public School,53,No,15,0,0,34,Yes,,53,0,No,Yes,05/31/2019,www.yonkerspublicschools.org,662300010014,,YONKERS,NY,10704,06/10/2019,06/10/2019,41 039278,"60 CRESCENT PL
YONKERS, NY 10704
(40.91746824900008, -73.84990226199994)",
YONKERS CITY SCHOOLS,SCHOOL 11,Westchester,Public School,32,No,10,0,0,22,Yes,,32,0,No,Yes,01/23/2017,www.yonkerspublicschools.org,662300010011,,YONKERS,NY,10710,05/10/2019,05/10/2019,41 039278,"SCHOOL 11
YONKERS, NY 10710
(40.932133700000065, -73.89482118999996)",
BRIGHTON CENTRAL SCHOOL,FRENCH ROAD ELEMENTARY SCHOOL,Monroe,Public School,80,No,63,0,0,0,Yes,,57,3,Yes,Yes,04/05/2019,https://www.bcsd.org/Page/125,260101060010,,ROCHESTER,NY,14618,09/28/2018,05/07/2019,43 161748,"488 FRENCH ROAD
ROCHESTER, NY 14618
(43.09922750700008, -77.56821098499995)",
BRIGHTON CENTRAL SCHOOL,TWELVE CORNERS MID-SCHOOL,Monroe,Public School,121,No,107,0,0,0,Yes,,29,1,Yes,Yes,04/05/2019,https://www.bcsd.org/Page/125,260101060008,,ROCHESTER,NY,14618,09/28/2018,05/07/2019,43 161748,"2643 ELMWOOD AVENUE
ROCHESTER, NY 14618
(43.126361143000054, -77.56513551499995)",
YONKERS CITY SCHOOLS,PATRICIA DICHIARO,Westchester,Public School,54,No,30,0,0,27,Yes,,58,0,No,Yes,04/29/2019,www.yonkerspublicschools.org,662300010008,,YONKERS,NY,10710,07/18/2019,05/07/2019,41 039278,"BRONXVILLE RD
YONKERS, NY 10710
(40.947094323000044, -73.84055608899996)",
FLORAL PK-BELLROSE U F S,FLORAL PARK BELLEROSE SCHOOL,Nassau,Public School,106,No,10,0,0,96,Yes,,106,0,Yes,Yes,03/18/2019,http://www.floralpark.k12.ny.us/files/_QYJiG_/f1c3afa2a8c089e03745a49013852ec4/water_report.pdf,280222020001,,FLORAL PARK,NY,11001,04/25/2019,04/25/2019,40 715749,"2 LARCH AVE
FLORAL PARK, NY 11001
(40.72032074500004, -73.71967800699997)",
MANHASSET UNION FREE SCHOOL,MANHASSET MS,Nassau,Public School,149,No,21,0,0,125,Yes,,149,0,Yes,Yes,04/18/2019,https://www.manhassetschools.org/cms/lib/NY01913789/Centricity/Domain/62/Lead%20Management%20Tables%20PDF%20100918.pdf,280406030005,,MANHASSET,NY,11030,04/25/2019,04/25/2019,40 715749,"MEMORIAL PLACE
MANHASSET, NY 11030
(40.794605395000076, -73.70281284499998)",
MANHASSET UNION FREE SCHOOL,MANHASSET SHS,Nassau,Public School,149,No,21,0,0,125,Yes,,149,0,Yes,Yes,04/18/2019,https://www.manhassetschools.org/cms/lib/NY01913789/Centricity/Domain/62/Lead%20Management%20Tables%20PDF%20100918.pdf,280406030002,,MANHASSET,NY,11036,04/25/2019,04/25/2019,40 715749,"200 MEMORIAL PL
MANHASSET, NY 11036
(40.79353720200004, -73.70349860899995)",
MANHASSET UNION FREE SCHOOL,MUNSEY PARK ELEM SCHOOL,Nassau,Public School,125,No,14,0,0,106,Yes,,125,0,Yes,Yes,04/18/2019,https://www.manhassetschools.org/cms/lib/NY01913789/Centricity/Domain/62/Lead%20Management%20Tables%20PDF%20100918.pdf,280406030003,,MANHASSET,NY,11030,04/25/2019,04/25/2019,40 715749,"1 HUNT LN
MANHASSET, NY 11030
(40.79563200000007, -73.68079049999994)",
BAYPORT BLUE PT U F SCH,BLUE POINT ELEM SCHOOL,Suffolk,Public School,49,No,0,0,0,49,Yes,,49,0,Yes,Yes,03/01/2019,http://www.bbpschools.org/NewsAssets/39420/Lead_Testing_101316.pdf,580505020002,,BLUE POINT,NY,11715,04/25/2019,04/25/2019,40 820237,"212 BLUE POINT AVE
BLUE POINT, NY 11715
(40.75018989000006, -73.03697780599998)",
NYC DOE,X001,Bronx,Public School,149,No,0,0,0,149,Yes,,149,0,No,Yes,04/24/2018,http://schools.nyc.gov/schools/X001,X001,,Bronx,NY,10451,04/03/2019,04/03/2019,40 819331,"335 EAST 152 STREET
Bronx, NY 10451
(40.818916768000065, -73.91933189099996)",
NYC DOE,X002,Bronx,Public School,47,No,0,0,0,47,Yes,,47,0,No,Yes,01/30/2017,http://schools.nyc.gov/schools/X250,"X250,X260",,Bronx,NY,10456,04/03/2019,04/03/2019,40 833884,"1363 FULTON AVENUE
Bronx, NY 10456
(40.83372012400008, -73.90244995299997)",
NYC DOE,X003,Bronx,Public School,257,No,0,0,0,257,Yes,,257,0,No,Yes,04/18/2018,http://schools.nyc.gov/schools/X003,X003,,Bronx,NY,10457,04/03/2019,04/03/2019,40 850131,"2100 LAFONTAINE AVENUE
Bronx, NY 10457
(40.85029231100003, -73.89202223499996)",
NYC DOE,X004,Bronx,Public School,141,No,0,0,0,141,Yes,,141,0,No,Yes,06/12/2018,http://schools.nyc.gov/schools/X004,"X004,X133",,Bronx,NY,10457,04/03/2019,04/03/2019,40 841758,"1701 FULTON AVENUE
Bronx, NY 10457
(40.84106463900008, -73.89808718499995)",
NYC DOE,X005,Bronx,Public School,288,No,0,0,0,288,Yes,,288,0,No,Yes,08/23/2018,http://schools.nyc.gov/schools/X005,X005,,Bronx,NY,10455,04/03/2019,04/03/2019,40 813896,"564 JACKSON AVENUE
Bronx, NY 10455
(40.81359925900006, -73.90890675899993)",
NYC DOE,X006,Bronx,Public School,75,No,0,0,0,75,Yes,,75,0,No,Yes,03/29/2018,http://schools.nyc.gov/schools/X006,"X006,X352",,Bronx,NY,10460,04/03/2019,04/03/2019,40 840445,"1000 EAST TREMONT AVENUE
Bronx, NY 10460
(40.84094342900005, -73.88215382799996)",
NYC DOE,X007,Bronx,Public School,67,No,0,0,0,67,Yes,,67,0,No,Yes,01/09/2018,http://schools.nyc.gov/schools/X007,X007,,Bronx,NY,10463,04/03/2019,04/03/2019,40 881562,"3201 KINGSBRIDGE AVENUE
Bronx, NY 10463
(40.88148300000006, -73.90574099999998)",
NYC DOE,X008,Bronx,Public School,112,No,0,0,0,112,Yes,,112,0,No,Yes,06/06/2018,http://schools.nyc.gov/schools/X008,X008,,Bronx,NY,10458,04/03/2019,04/03/2019,40 872259,"3010 BRIGGS AVENUE
Bronx, NY 10458
(40.87249084800004, -73.88371269399994)",
NYC DOE,X009,Bronx,Public School,188,No,0,0,0,188,Yes,,188,0,No,Yes,09/18/2018,http://schools.nyc.gov/schools/X009,X009,,Bronx,NY,10458,04/03/2019,04/03/2019,40 85644,"230 EAST 183 STREET
Bronx, NY 10458
(40.85661600000003, -73.89856349999997)",
NYC DOE,X011,Bronx,Public School,57,No,0,0,0,57,Yes,,57,0,No,Yes,01/09/2018,http://schools.nyc.gov/schools/X011,X011,,Bronx,NY,10452,04/03/2019,04/03/2019,40 839693,"1257 OGDEN AVENUE
Bronx, NY 10452
(40.83961200300007, -73.92559624099994)",
NYC DOE,X012,Bronx,Public School,132,No,0,0,0,132,Yes,,132,0,No,Yes,01/31/2017,http://schools.nyc.gov/schools/X012,X012,,Bronx,NY,10461,04/03/2019,04/03/2019,40 840625,"2555 TRATMAN AVENUE
Bronx, NY 10461
(40.84035065300003, -73.84418655799993)",
NYC DOE,X014,Bronx,Public School,26,No,0,0,0,26,Yes,,26,0,No,Yes,01/23/2017,http://schools.nyc.gov/schools/X014,X014,,Bronx,NY,10461,04/03/2019,04/03/2019,40 835318,"3041 BRUCKNER BOULEVARD
Bronx, NY 10461
(40.83561903200007, -73.82567353599995)",
NYC DOE,X015,Bronx,Public School,201,No,0,0,0,201,Yes,,201,0,No,Yes,07/02/2018,http://schools.nyc.gov/schools/X015,"X015,X291,X010",,Bronx,NY,10453,04/03/2019,04/03/2019,40 859243,"2195 ANDREWS AVENUE
Bronx, NY 10453
(40.85883149700004, -73.90974492999999)",
