"year","region","race_or_ethnicity","sex","age_group","firearm_deaths","alcohol_related_deaths","suicide_deaths"
"2019","NYC","Black Non Hispanic","F","<1","0","0","0"
"2019","NYC","Hispanic","M","20-24","10","3","10"
"2019","ROS","Other Non Hispanic","M","25-34","2","3","5"
"2019","NYC","Hispanic","F","45-54","0","24","3"
"2019","ROS","White Non Hispanic","F","45-54","10","129","43"
"2019","ROS","Other Non Hispanic","F","85+","0","1","0"
"2019","ROS","Other Non Hispanic","M","55-64","1","14","4"
"2019","NYC","Not Stated","F","Unknown","0","0","0"
"2019","ROS","Other Non Hispanic","F","45-54","1","7","3"
"2019","NYC","White Non Hispanic","M","55-64","10","133","44"
"2019","ROS","Other Non Hispanic","F","1-9","0","0","0"
"2019","ROS","White Non Hispanic","F","1-9","1","0","0"
"2019","ROS","Not Stated","M","<1","0","0","0"
"2019","NYC","Black Non Hispanic","F","65-74","0","40","1"
"2019","NYC","Black Non Hispanic","M","20-24","18","1","7"
"2019","NYC","Not Stated","F","<1","0","0","0"
"2019","NYC","Not Stated","F","Total","0","12","10"
"2019","ROS","Hispanic","F","<1","0","0","0"
"2019","ROS","White Non Hispanic","F","Total","47","822","198"
"2019","NYC","Other Non Hispanic","M","35-44","1","10","4"
"2019","ROS","White Non Hispanic","F","<1","0","0","0"
"2019","NYC","Other Non Hispanic","F","45-54","0","3","3"
"2019","ROS","White Non Hispanic","M","85+","23","56","32"
"2019","ROS","White Non Hispanic","M","<1","0","0","0"
"2019","NYC","White Non Hispanic","F","20-24","0","1","3"
"2019","NYC","Other Non Hispanic","M","75-84","1","16","3"
"2019","NYC","Other Non Hispanic","M","85+","0","5","0"
"2019","ROS","White Non Hispanic","M","55-64","80","548","172"
"2019","NYC","Other Non Hispanic","F","Unknown","0","0","0"
"2019","NYC","Other Non Hispanic","M","Total","7","77","47"
"2019","NYC","Other Non Hispanic","F","85+","0","4","2"
"2019","NYC","Other Non Hispanic","F","Total","0","23","38"
"2019","ROS","White Non Hispanic","F","25-34","14","28","23"
"2019","NYC","Other Non Hispanic","M","45-54","1","11","7"
"2019","NYC","White Non Hispanic","M","1-9","0","0","0"
"2019","NYC","White Non Hispanic","F","10-19","0","0","1"
"2019","NYC","Other Non Hispanic","F","35-44","0","1","5"
"2019","NYC","White Non Hispanic","M","<1","0","0","0"
"2019","NYC","Other Non Hispanic","F","20-24","0","0","2"
"2019","NYC","White Non Hispanic","M","20-24","2","0","11"
"2019","NYC","Other Non Hispanic","M","65-74","0","14","4"
"2019","NYC","White Non Hispanic","F","35-44","0","13","8"
"2019","ROS","Not Stated","F","65-74","0","5","0"
"2019","ROS","White Non Hispanic","M","1-9","0","0","0"
"2019","ROS","Other Non Hispanic","M","Total","7","50","23"
"2019","NYC","Other Non Hispanic","M","20-24","0","0","8"
"2019","ROS","Other Non Hispanic","M","1-9","0","0","0"
"2019","NYC","White Non Hispanic","M","Total","31","425","182"
"2019","ROS","Other Non Hispanic","M","85+","0","2","1"
"2019","NYC","Other Non Hispanic","F","65-74","0","7","5"
"2019","NYC","Not Stated","F","45-54","0","1","3"
"2019","NYC","Not Stated","F","25-34","0","0","1"
"2019","ROS","Other Non Hispanic","M","75-84","0","5","0"
"2019","NYC","Hispanic","M","55-64","3","151","9"
"2019","ROS","Other Non Hispanic","F","35-44","0","1","2"
"2019","ROS","White Non Hispanic","M","Unknown","0","1","1"
"2019","NYC","Hispanic","F","20-24","0","0","4"
"2019","NYC","White Non Hispanic","M","85+","0","13","3"
"2019","ROS","Not Stated","M","65-74","0","3","0"
"2019","NYC","Not Stated","F","85+","0","0","0"
"2019","NYC","Not Stated","M","85+","0","0","0"
"2019","ROS","Other Non Hispanic","F","10-19","0","0","2"
"2019","ROS","Black Non Hispanic","M","45-54","3","37","4"
"2019","NYC","Not Stated","F","65-74","0","3","1"
"2019","NYC","White Non Hispanic","F","Total","2","172","55"
"2019","ROS","White Non Hispanic","M","45-54","62","280","139"
"2019","ROS","Black Non Hispanic","M","1-9","0","0","0"
"2019","NYC","Not Stated","F","55-64","0","4","1"
"2019","ROS","Black Non Hispanic","F","20-24","2","0","2"
"2019","ROS","Black Non Hispanic","M","25-34","45","18","11"
"2019","ROS","Black Non Hispanic","F","35-44","1","8","5"
"2019","ROS","Other Non Hispanic","F","Total","1","20","8"
"2019","NYC","Not Stated","M","20-24","2","0","1"
"2019","NYC","Hispanic","M","45-54","4","122","12"
"2019","NYC","Hispanic","F","55-64","1","33","3"
"2019","NYC","Hispanic","M","65-74","2","87","6"
"2019","NYC","Hispanic","F","65-74","0","45","4"
"2019","NYC","Hispanic","F","1-9","0","0","1"
"2019","NYC","Black Non Hispanic","M","Total","112","341","52"
"2019","NYC","Black Non Hispanic","F","85+","0","3","0"
"2019","NYC","Black Non Hispanic","M","<1","0","0","0"
"2019","NYC","Black Non Hispanic","F","35-44","2","15","3"
"2019","NYC","Black Non Hispanic","M","25-34","47","9","19"
"2019","NYC","Black Non Hispanic","F","10-19","1","0","3"
"2019","NYC","Black Non Hispanic","M","1-9","0","0","0"
"2019","NYC","Not Stated","M","35-44","1","17","1"
"2019","NYC","Hispanic","F","35-44","0","18","3"
"2019","ROS","Not Stated","M","35-44","1","1","3"
"2019","ROS","Not Stated","F","45-54","0","3","0"
"2019","ROS","Not Stated","M","55-64","0","4","2"
"2019","NYC","Hispanic","M","<1","0","0","0"
"2019","ROS","Black Non Hispanic","F","1-9","0","0","0"
"2019","NYC","White Non Hispanic","F","65-74","1","44","6"
"2019","NYC","Not Stated","F","1-9","0","0","0"
"2019","NYC","Hispanic","M","75-84","0","35","3"
"2019","NYC","Hispanic","M","35-44","3","95","16"
"2019","ROS","Black Non Hispanic","M","35-44","17","25","6"
"2019","NYC","Not Stated","M","Unknown","0","0","0"
"2019","ROS","Black Non Hispanic","M","55-64","3","63","4"
"2019","NYC","Not Stated","M","1-9","0","0","0"
"2019","ROS","Black Non Hispanic","M","75-84","1","14","1"
"2019","ROS","Hispanic","F","45-54","0","6","3"
"2019","NYC","Hispanic","F","<1","0","0","0"
"2019","ROS","Black Non Hispanic","F","45-54","2","15","3"
"2018","ROS","Not Stated","M","10-19","0","0","0"
"2018","ROS","Not Stated","F","25-34","0","0","0"
"2018","ROS","Not Stated","M","25-34","0","2","2"
"2018","ROS","Not Stated","F","10-19","0","0","0"
"2018","ROS","Not Stated","F","35-44","0","0","0"
"2018","ROS","Not Stated","F","75-84","0","1","0"
"2018","ROS","Not Stated","F","65-74","0","2","0"
"2018","ROS","Not Stated","M","85+","0","0","0"
"2018","ROS","Not Stated","F","85+","0","2","0"
"2018","ROS","Not Stated","F","Total","0","7","1"
"2018","ROS","Other Non Hispanic","M","75-84","0","3","0"
"2018","ROS","Not Stated","M","Total","3","13","7"
"2018","ROS","Other Non Hispanic","M","25-34","0","5","4"
"2018","ROS","Other Non Hispanic","F","25-34","0","0","0"
"2018","ROS","Other Non Hispanic","F","35-44","0","2","0"
"2018","ROS","Other Non Hispanic","F","1-9","0","0","0"
"2018","ROS","Not Stated","F","55-64","0","0","0"
"2018","ROS","Other Non Hispanic","M","55-64","0","13","0"
"2018","ROS","Other Non Hispanic","M","65-74","0","4","3"
"2018","ROS","Other Non Hispanic","M","35-44","0","4","3"
"2018","ROS","Other Non Hispanic","M","Total","2","41","18"
"2018","ROS","White Non Hispanic","M","10-19","21","1","42"
"2018","ROS","White Non Hispanic","F","1-9","0","0","0"
"2018","ROS","White Non Hispanic","M","Total","366","1813","803"
"2018","ROS","Other Non Hispanic","F","45-54","0","6","2"
"2018","ROS","White Non Hispanic","F","75-84","3","109","10"
"2018","ROS","White Non Hispanic","M","45-54","60","333","152"
"2018","ROS","Hispanic","M","55-64","3","36","5"
"2018","ROS","White Non Hispanic","M","85+","14","72","24"
"2018","ROS","White Non Hispanic","F","<1","0","0","0"
"2018","ROS","White Non Hispanic","M","<1","0","0","0"
"2018","ROS","White Non Hispanic","F","55-64","9","224","45"
"2018","ROS","Hispanic","F","25-34","0","5","3"
"2018","ROS","White Non Hispanic","M","55-64","68","583","167"
"2018","ROS","Black Non Hispanic","F","85+","0","1","0"
"2018","ROS","Black Non Hispanic","M","35-44","26","10","7"
"2018","NYC","Black Non Hispanic","M","1-9","0","0","0"
"2018","NYC","White Non Hispanic","F","<1","0","0","0"
"2018","NYC","Black Non Hispanic","M","20-24","15","2","5"
"2018","ROS","White Non Hispanic","F","Total","50","798","211"
"2018","ROS","White Non Hispanic","M","75-84","45","185","56"
"2018","ROS","White Non Hispanic","F","45-54","10","123","53"
"2018","ROS","White Non Hispanic","M","35-44","32","123","100"
"2018","ROS","White Non Hispanic","F","65-74","5","203","16"
"2018","NYC","Black Non Hispanic","F","45-54","0","27","3"
"2018","ROS","White Non Hispanic","F","10-19","2","1","11"
"2018","ROS","White Non Hispanic","M","1-9","0","0","0"
"2018","ROS","Other Non Hispanic","F","Total","0","23","7"
"2018","ROS","Hispanic","F","65-74","0","9","1"
"2018","ROS","Not Stated","M","1-9","0","0","0"
"2018","ROS","White Non Hispanic","M","25-34","41","79","111"
"2018","NYC","Black Non Hispanic","F","1-9","1","0","0"
"2018","ROS","Hispanic","M","25-34","8","19","13"
"2018","ROS","Other Non Hispanic","F","55-64","0","4","0"
"2018","ROS","Other Non Hispanic","F","75-84","0","5","0"
"2018","ROS","Other Non Hispanic","M","45-54","2","8","5"
"2018","ROS","Other Non Hispanic","M","20-24","0","1","2"
"2018","ROS","Other Non Hispanic","M","10-19","0","0","0"
"2018","ROS","Other Non Hispanic","F","20-24","0","0","2"
"2018","ROS","Not Stated","M","<1","0","0","0"
"2018","ROS","Other Non Hispanic","M","1-9","0","0","0"
"2018","ROS","Not Stated","F","<1","0","0","0"
"2018","ROS","Not Stated","M","55-64","0","4","1"
"2018","ROS","Other Non Hispanic","F","10-19","0","0","2"
"2018","ROS","Not Stated","M","75-84","0","1","0"
"2018","ROS","Other Non Hispanic","F","85+","0","3","0"
"2018","NYC","Black Non Hispanic","M","65-74","3","70","4"
"2018","ROS","Not Stated","M","20-24","0","0","0"
"2018","ROS","Not Stated","M","35-44","1","1","0"
"2018","ROS","Not Stated","F","20-24","0","0","0"
"2018","ROS","Hispanic","F","55-64","1","7","0"
"2018","ROS","Not Stated","F","45-54","0","2","1"
"2018","ROS","Hispanic","M","45-54","1","36","7"
"2018","ROS","Hispanic","M","75-84","1","11","1"
"2018","ROS","Hispanic","M","20-24","10","3","10"
"2018","ROS","Hispanic","M","35-44","8","26","13"
"2018","ROS","Hispanic","F","20-24","0","1","0"
"2018","ROS","Other Non Hispanic","M","85+","0","2","1"
"2018","ROS","Hispanic","M","1-9","0","0","0"
"2018","ROS","Hispanic","F","85+","0","5","0"
"2018","ROS","Not Stated","M","45-54","1","1","4"
"2018","NYC","Hispanic","M","<1","0","0","0"
"2018","NYC","Hispanic","M","25-34","12","42","12"
"2018","ROS","Black Non Hispanic","M","65-74","0","41","5"
"2018","ROS","Black Non Hispanic","M","85+","0","1","0"
"2018","ROS","Black Non Hispanic","F","65-74","0","15","1"
"2018","NYC","Not Stated","M","25-34","2","3","5"
"2018","ROS","Black Non Hispanic","M","20-24","25","0","7"
"2018","ROS","Black Non Hispanic","F","25-34","6","2","5"
"2018","ROS","Black Non Hispanic","M","45-54","4","36","6"
"2018","NYC","White Non Hispanic","M","Total","41","479","196"
"2018","ROS","Black Non Hispanic","M","10-19","11","0","5"
"2018","NYC","White Non Hispanic","F","Total","5","174","64"
"2018","NYC","White Non Hispanic","M","75-84","2","36","11"
"2018","NYC","White Non Hispanic","M","65-74","3","106","13"
"2018","NYC","Not Stated","F","75-84","0","4","0"
"2018","ROS","Black Non Hispanic","F","20-24","4","0","3"
"2018","NYC","White Non Hispanic","M","85+","6","9","12"
"2018","ROS","Black Non Hispanic","M","<1","0","0","0"
"2018","ROS","Black Non Hispanic","M","25-34","32","6","9"
"2018","NYC","Not Stated","F","25-34","0","1","2"
"2018","NYC","Hispanic","F","Total","9","134","23"
"2018","NYC","White Non Hispanic","M","35-44","11","44","30"
"2018","NYC","White Non Hispanic","M","25-34","4","27","20"
"2018","NYC","Not Stated","F","10-19","0","0","0"
"2018","NYC","White Non Hispanic","M","45-54","1","109","33"
"2018","NYC","White Non Hispanic","F","25-34","1","12","11"
"2018","ROS","Hispanic","F","1-9","0","0","0"
"2018","ROS","Black Non Hispanic","M","Total","101","162","41"
"2018","NYC","White Non Hispanic","M","1-9","0","0","0"
"2018","NYC","Other Non Hispanic","M","Total","7","59","44"
"2018","NYC","Other Non Hispanic","M","<1","0","0","0"
"2018","NYC","Other Non Hispanic","F","Total","1","24","25"
"2018","NYC","White Non Hispanic","M","10-19","1","0","1"
"2018","NYC","Not Stated","M","<1","0","0","0"
"2018","NYC","Other Non Hispanic","M","75-84","0","8","4"
"2018","NYC","Hispanic","M","65-74","1","92","8"
"2018","NYC","Other Non Hispanic","F","85+","0","7","0"
"2018","NYC","Other Non Hispanic","M","65-74","0","12","1"
"2018","NYC","Other Non Hispanic","M","55-64","0","19","8"
"2018","NYC","Hispanic","M","45-54","6","111","7"
"2018","NYC","Other Non Hispanic","M","85+","1","2","1"
"2018","NYC","Other Non Hispanic","F","65-74","0","4","1"
"2018","NYC","Other Non Hispanic","M","35-44","0","7","5"
"2018","ROS","Not Stated","M","65-74","1","4","0"
"2018","NYC","Other Non Hispanic","F","45-54","0","2","5"
"2018","ROS","Other Non Hispanic","F","<1","0","0","0"
"2018","ROS","Hispanic","F","<1","0","0","0"
"2018","NYC","Hispanic","M","85+","0","7","1"
"2018","NYC","Other Non Hispanic","F","<1","0","0","0"
"2018","NYC","Other Non Hispanic","M","45-54","1","9","9"
"2018","NYC","White Non Hispanic","M","55-64","12","146","66"
"2018","NYC","Black Non Hispanic","M","Total","121","327","69"
"2018","NYC","Other Non Hispanic","M","10-19","1","0","3"
"2018","NYC","Not Stated","M","75-84","0","1","0"
"2018","NYC","Other Non Hispanic","F","10-19","0","0","3"
"2018","NYC","Black Non Hispanic","M","85+","0","5","0"
"2018","NYC","Other Non Hispanic","F","1-9","0","0","0"
"2018","ROS","Black Non Hispanic","F","Total","16","76","17"
"2018","NYC","Not Stated","F","Total","0","22","3"
"2018","NYC","Other Non Hispanic","F","20-24","1","0","2"
"2018","NYC","Not Stated","M","Total","5","69","17"
"2018","ROS","White Non Hispanic","F","25-34","9","28","30"
"2018","ROS","White Non Hispanic","M","20-24","29","11","53"
"2018","ROS","White Non Hispanic","F","20-24","4","6","8"
"2018","NYC","Not Stated","F","85+","0","1","0"
"2018","ROS","White Non Hispanic","F","35-44","7","48","36"
"2018","NYC","Not Stated","M","85+","0","0","0"
"2018","NYC","Black Non Hispanic","F","35-44","2","17","6"
"2018","NYC","Not Stated","M","65-74","0","15","1"
"2018","NYC","Other Non Hispanic","M","20-24","2","1","5"
"2018","ROS","White Non Hispanic","F","85+","1","56","2"
"2018","NYC","Black Non Hispanic","F","20-24","1","0","0"
"2018","NYC","Not Stated","M","45-54","0","14","2"
"2018","NYC","Not Stated","F","<1","0","0","0"
"2018","ROS","Not Stated","F","1-9","0","0","0"
"2018","NYC","Not Stated","F","35-44","0","2","0"
"2018","NYC","Not Stated","M","20-24","0","0","0"
"2018","NYC","Not Stated","M","10-19","1","0","1"
"2018","NYC","Not Stated","M","35-44","1","9","3"
"2018","NYC","Not Stated","F","20-24","0","0","0"
"2018","NYC","Hispanic","M","Total","36","535","75"
"2018","NYC","Not Stated","F","1-9","0","0","0"
"2018","NYC","Not Stated","M","1-9","0","0","0"
"2018","NYC","Not Stated","F","55-64","0","2","0"
"2018","NYC","Other Non Hispanic","F","25-34","0","2","4"
"2018","NYC","Not Stated","F","45-54","0","6","1"
"2018","NYC","Hispanic","F","75-84","0","25","1"
"2018","NYC","Hispanic","M","75-84","0","47","5"
"2018","NYC","Hispanic","F","65-74","0","32","0"
"2018","NYC","Hispanic","F","55-64","1","30","5"
"2018","NYC","Hispanic","F","85+","0","8","1"
"2018","NYC","Hispanic","M","55-64","1","139","12"
"2018","NYC","Hispanic","F","35-44","0","10","3"
"2018","NYC","Hispanic","M","35-44","5","92","14"
"2018","NYC","Hispanic","F","25-34","1","5","8"
"2018","NYC","Hispanic","F","20-24","2","1","2"
"2018","NYC","Hispanic","M","20-24","8","4","8"
"2018","NYC","Hispanic","F","45-54","5","23","1"
"2018","NYC","Other Non Hispanic","F","55-64","0","5","2"
"2018","NYC","Hispanic","F","1-9","0","0","0"
"2018","NYC","Hispanic","M","1-9","0","0","0"
"2018","NYC","Black Non Hispanic","F","Total","6","137","22"
"2018","NYC","Black Non Hispanic","F","<1","0","0","0"
"2018","NYC","Hispanic","F","10-19","0","0","2"
"2018","NYC","Black Non Hispanic","M","<1","0","0","0"
"2018","NYC","Black Non Hispanic","F","75-84","0","16","0"
"2018","NYC","Black Non Hispanic","M","75-84","1","21","4"
"2018","NYC","Other Non Hispanic","M","25-34","2","1","8"
"2018","NYC","Hispanic","F","<1","0","0","0"
"2018","NYC","Black Non Hispanic","F","85+","0","3","0"
"2018","NYC","Hispanic","M","10-19","3","1","8"
"2018","NYC","Not Stated","M","55-64","1","27","5"
"2018","NYC","Other Non Hispanic","M","1-9","0","0","0"
"2018","NYC","Black Non Hispanic","M","35-44","17","23","13"
"2018","NYC","Black Non Hispanic","M","25-34","54","9","23"
"2018","NYC","White Non Hispanic","F","55-64","2","36","19"
"2018","NYC","Black Non Hispanic","M","45-54","11","60","12"
"2018","NYC","Black Non Hispanic","F","25-34","0","5","7"
"2018","ROS","Hispanic","F","Total","1","41","9"
"2018","NYC","White Non Hispanic","F","1-9","0","0","0"
"2018","NYC","Black Non Hispanic","F","10-19","1","0","3"
"2018","NYC","Black Non Hispanic","F","55-64","0","42","2"
"2018","NYC","White Non Hispanic","M","20-24","1","2","10"
"2018","NYC","Black Non Hispanic","M","10-19","17","0","2"
"2018","NYC","White Non Hispanic","F","10-19","0","0","1"
"2018","NYC","White Non Hispanic","F","35-44","1","16","4"
"2018","NYC","White Non Hispanic","F","65-74","0","41","10"
"2018","NYC","White Non Hispanic","F","45-54","1","32","9"
"2018","NYC","White Non Hispanic","F","85+","0","11","3"
"2018","NYC","White Non Hispanic","F","75-84","0","25","4"
"2018","NYC","White Non Hispanic","M","<1","0","0","0"
"2018","ROS","Black Non Hispanic","F","10-19","1","0","2"
"2018","ROS","White Non Hispanic","M","65-74","56","426","98"
"2018","ROS","Black Non Hispanic","F","1-9","0","0","0"
"2018","NYC","Black Non Hispanic","M","55-64","3","137","6"
"2018","ROS","Black Non Hispanic","M","1-9","1","0","0"
"2018","NYC","White Non Hispanic","F","20-24","0","1","3"
"2018","ROS","Black Non Hispanic","F","35-44","1","6","1"
"2018","ROS","Black Non Hispanic","F","45-54","3","15","3"
"2018","ROS","Black Non Hispanic","F","55-64","1","31","2"
"2018","ROS","Black Non Hispanic","M","75-84","0","7","0"
"2018","ROS","Black Non Hispanic","M","55-64","2","61","2"
"2018","ROS","Black Non Hispanic","F","<1","0","0","0"
"2018","ROS","Hispanic","M","85+","1","4","1"
"2018","ROS","Hispanic","F","45-54","0","7","0"
"2018","ROS","Black Non Hispanic","F","75-84","0","6","0"
"2018","ROS","Hispanic","F","35-44","0","3","3"
"2018","ROS","Hispanic","F","75-84","0","4","1"
"2018","ROS","Hispanic","M","65-74","0","34","6"
"2018","ROS","Hispanic","F","10-19","0","0","1"
"2018","ROS","Other Non Hispanic","M","<1","0","1","0"
"2018","ROS","Other Non Hispanic","F","65-74","0","3","1"
"2018","ROS","Hispanic","M","<1","0","0","0"
