"year","approving_state_agency","training_agency_site_name","operational_status","certificate_type","methodology","language","number_of_classes","enrolled_student_count","approved_student_count","certified_student_count","withdrawn_student_count","street_address","city","state","zip_code","county_name","county_code","region","geocoded_column"
"2020","Department of Health","The Terrace at Newark","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","13","18","15","15","0","208 Route 88, South","Newark","NY","14513","Wayne","117","Western  - Rochester                                                                                                                                                                                                                                                                                                             ","208 Route
South Newark, NY 14513"
"2009","Department of Health","ISABELLA VISITING CARE, INC","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","1","3","3","3","0","5073 BROADWAY, LOWER LEVEL","NEW YORK","NY","10034","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                            ","5073 BROADWAY
LOWER LEVEL NEW YORK, NY 10034
(40.870587, -73.914929)"
"2012","Department of Health","Home Sweet Home on the Hudson","CLOSED","Personal Care Aide","Basic Training","English","1","1","0","0","1","38 Prospect Avenue","Catskill","NY","12414","Greene","39","Capital District                                                                                                                                                                                                                                                                                                                                  ","38 Prospect Avenue
Catskill, NY 12414
(42.21696, -73.859314)"
"2012","Department of Health","Tri-County Home Nursing Services, Inc.","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","19","137","132","133","0","1065 Old Country Road,Suite 210","Westbury","NY","11590","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                             ","1065 Old Country Road
Westbury, NY 11590
(40.755313, -73.556379)"
"2010","Department of Health","Comprehensive Home Care - Poughkeepsie","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","2","3","3","3","0","695 Dutchess Turnpike,Suite 107","Poughkeepsie","NY","12603","Dutchess","27","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                               ","695 Dutchess Turnpike
Poughkeepsie, NY 12603
(41.698414, -73.882393)"
"2012","Department of Health","FAMILY AIDES INC SPRING VALLEY","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","2","14","11","11","2","235 NORTH MAIN STREET","SPRING VALLEY","NY","10977","Rockland","87","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                           ","235 NORTH MAIN STREET SPRING VALLEY
NY,  10977"
"2016","Department of Health","Willcare","OPEN","Home Health Aide","Nurse Aide Transition","English","5","16","16","16","0","37 West Main Street","Fredonia","NY","14063","Chautauqua","13","Western  - Buffalo                                                                                                                                                                                                                                                                                                                                          ","37 West Main Street
Fredonia, NY 14063
(42.439203, -79.332599)"
"2009","Department of Health","HOME CARE PLUS-ROCHESTER(GRHCA)","OPEN","Home Health Aide","Competency Evaluation","English","2","2","1","1","0","1120 S MAIN STREET","NEWARK","NY","14513","Wayne","117","Western  - Rochester                                                                                                                                                                                                                                                                                                                           ","1120 S MAIN STREET
NEWARK, NY 14513
(43.033498, -77.096838)"
"2009","Department of Health","PSA HEALTHCARE","OPEN","Home Health Aide","Competency Evaluation","English","1","1","1","1","0","2250 WEHRLE DRIVE","WILLIAMSVILLE","NY","14221","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                                          ","2250 WEHRLE DRIVE
WILLIAMSVILLE, NY 14221
(42.956521, -78.710094)"
"2017","Department of Health","PREMIER HOME HEALTH CARE SERVICES, INC","OPEN","Home Health Aide","Core Training","English","2","16","10","10","6","3075 VETERANS MEMORIAL HWY, Ste 180","RONKONKOMA","NY","11779","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                  ","3075 VETERANS MEMORIAL HWY
RONKONKOMA, NY 11779
(40.788181, -73.137243)"
"2011","Department of Health","All Metro Health Care - Rochester","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","1","1","1","2","0","1350 University Ave.,Suite 100","Rochester","NY","14607","Monroe","55","Western  - Rochester                                                                                                                                                                                                                                                                                       ","1350 University Ave
Rochester, NY 14607
(43.14999, -77.565389)"
"2022","Department of Health","PERSONAL TOUCH HOME CARE INC STATEN ISLAND","OPEN","Home Health Aide","Core Training","English","1","14","9","9","5","150 Bay Street","STATEN ISLAND","NY","10301","Richmond","85","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                    ","150 Bay Street STATEN ISLAND
NY,  10301"
"2018","Department of Health","Presbyterian Residential Community","OPEN","Home Health Aide","Competency Evaluation","English","3","4","3","3","0","4300 Middle Settlement Road","New Hartford","NY","13413","Oneida","65","Central New York                                                                                                                                                                                                                                                                                                             ","4300 Middle Settlement Road
New Hartford, NY 13413
(43.073771, -75.34243)"
"2013","Department of Health","BESTCARE, INC BRONX","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","7","80","59","59","7","4119 WHITE PLAINS ROAD","BRONX","NY","10466","Bronx","5","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                              ","4119 WHITE PLAINS ROAD
BRONX, NY 10466
(40.891161, -73.858627)"
"2017","Department of Health","Caregivers","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","3","3","3","3","0","560 West Third Street Suite 6","Jamestown","NY","14701","Chautauqua","13","Western  - Buffalo                                                                                                                                                                                                                                                                                                               ","560 West Third Street
Jamestown, NY 14701
(42.094869, -79.250293)"
"2012","Department of Health","Home Sweet Home of Athens, Inc.","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","1","1","1","1","0","71 Second Street","Athens","NY","12015","Greene","39","Capital District                                                                                                                                                                                                                                                                                                              ","71 Second Street
Athens, NY 12015
(42.262568, -73.813889)"
"2020","Department of Health","Garden City","OPEN","Home Health Aide","Core Training","English","2","13","12","12","1","711 Stewart Avenue,Suite 145","Garden City","NY","11530","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                       ","711 Stewart Avenue
Garden City, NY 11530
(40.732355, -73.608687)"
"2017","Department of Health","Liberty Home Care","OPEN","Personal Care Aide","Basic Training","English","10","117","87","87","30","2424 Niagara Falls Blvd.","Niagara Falls","NY","14304","Niagara","63","Western  - Buffalo                                                                                                                                                                                                                                                                                                                            ","2424 Niagara Falls Blvd Niagara Falls
NY,  14304"
"2020","Department of Health","CCOR-Batavia","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","3","7","7","7","0","219 East Main St.,Suite 20","Batavia","NY","14020","Genesee","37","Western  - Buffalo                                                                                                                                                                                                                                                                                                                   ","219 East Main St
Batavia, NY 14020
(42.997062, -78.179685)"
"2015","Department of Health","VIP HEALTH CARE SERVICES RICHMOND HILL","OPEN","Home Health Aide","Competency Evaluation","English","31","42","34","34","6","116-08 MYRTLE AVE","RICHMOND HILL","NY","11418","Queens","81","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                            ","116 08 MYRTLE AVE RICHMOND HILL
NY,  11418"
"2015","Department of Health","Reliable Community Care, Inc","CLOSED","Personal Care Aide","Basic Training","English","2","16","6","6","10","160 Broadway,16th floor","New York","NY","10038","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                    ","160 Broadway
New York, NY 10038
(40.709536, -74.010211)"
"2021","Department of Health","UNLIMITED CARE INC","OPEN","Home Health Aide","Competency Evaluation","English","6","7","7","7","0","4 JEFFERSON PLAZA SUITE 201","POUGHKEEPSIE","NY","12601","Dutchess","27","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                          ","4 JEFFERSON PLAZA
POUGHKEEPSIE, NY 12601
(41.701923, -73.935285)"
"2017","Department of Health","INDEPENDENT NURSING CARE","OPEN","Home Health Aide","Competency Evaluation","English","6","7","7","7","0","1038 DAVIS ROAD PO BOX 489","WEST FALLS","NY","14170","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                          ","1038 DAVIS ROAD PO BOX 489 WEST FALLS
NY,  14170"
"2017","Department of Health","SELF HELP COMMUNITY SERVICES NEW YORK","OPEN","Home Health Aide","Core Training","English","10","172","151","174","22","520 8TH AVENUE 5TH FLOOR","NEW YORK","NY","10001","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                             ","520 8TH AVENUE
NEW YORK, NY 10001
(40.753761, -73.992333)"
"2017","Department of Health","INTERIM HEALTH CARE OF THE CAPITAL REGION","OPEN","Home Health Aide","Nurse Aide Transition","English","25","75","76","76","0","1735 CENTRAL AVE","ALBANY","NY","12205","Albany","1","Capital District                                                                                                                                                                                                                                                                                                                    ","1735 CENTRAL AVE
ALBANY, NY 12205
(42.725708, -73.842112)"
"2012","Department of Health","PARTNERS IN CARE - NEW YORK","OPEN","Home Health Aide","Core Training","English","86","1728","925","877","842","55 EXCHANGE PLACE - LOWER LEVEL","NEW YORK","NY","10005","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                              ","55 EXCHANGE PLACE
LOWER LEVEL NEW YORK, NY 10005
(40.706132, -74.010809)"
"2018","Department of Health","Preferred Home Care of New York","OPEN","Home Health Aide","Core Training","English","8","54","40","40","11","19 Count Street","White Plains","NY","10601","Westchester","119","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                         ","19 Count Street White Plains
NY,  10601"
"2011","Department of Health","UTOPIA HOME CARE INC BABYLON","OPEN","Home Health Aide","Core Training","English","1","19","14","14","5","380 DEER PARK AVENUE","BABYLON","NY","11702","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                  ","380 DEER PARK AVENUE
BABYLON, NY 11702
(40.7023, -73.322018)"
"2015","Department of Health","Caregivers - Utica","OPEN","Personal Care Aide","Basic Training","English","2","11","9","9","2","1900 Genesee Street","Utica","NY","13502","Oneida","65","Central New York                                                                                                                                                                                                                                                                                                                                                ","1900 Genesee Street
Utica, NY 13502
(43.087502, -75.259479)"
"2015","Department of Health","Litson Care Inc DBA WILLCARE","OPEN","Home Health Aide","Nurse Aide Transition","English","12","18","18","18","0","803 Grant Avenue","Lake Katrine","NY","12449","Ulster","111","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                        ","803 Grant Avenue Lake
Katrine, NY 12449
(41.977807, -73.995767)"
"2013","Department of Health","Family Home Care, Inc. - Rome","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","7","8","8","8","0","519 N. Madison Street","Rome","NY","13440","Oneida","65","Central New York                                                                                                                                                                                                                                                                                                             ","519 N Madison Street
Rome, NY 13440
(43.219896, -75.458475)"
"2012","Department of Health","IDEAL SENIOR LIVING CENTER HOUSING CORPORATION","OPEN","Home Health Aide","Competency Evaluation","English","7","10","10","11","0","508 HIGH AVE.","ENDICOTT","NY","13760","Broome","7","Central New York                                                                                                                                                                                                                                                                                                                 ","508 HIGH AVE
ENDICOTT, NY 13760
(42.092229, -76.06778)"
"2009","Department of Health","PEOPLE CARE INC - WHITE PLAINS","OPEN","Home Health Aide","Core Training","English","2","3","2","2","0","110 MAMARONECK AVENUE SUITE 2A","WHITE PLAINS","NY","10601","Westchester","119","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                               ","110 MAMARONECK AVENUE SUITE 2A WHITE PLAINS
NY,  10601"
"2018","Department of Health","NORTH ROAD LHCSA INC","CLOSED","Personal Care Aide","Basic Training","English","3","21","18","18","3","241 North Road","Poughkeepsie","NY","12601","Dutchess","27","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                     ","241 North Road
Poughkeepsie, NY 12601
(41.717405, -73.929503)"
"2016","Department of Health","Home Care Plus/ Rochester","OPEN","Home Health Aide","Nurse Aide Transition","English","8","13","13","13","0","3111 Winton Road South","Rochester","NY","14623","Monroe","55","Western  - Rochester                                                                                                                                                                                                                                                                                                                       ","3111 Winton Road South
Rochester, NY 14623
(43.092179, -77.581983)"
"2014","Department of Health","All Metro Health Care - Rochester","OPEN","Personal Care Aide","Basic Training","English","5","52","45","63","7","1350 University Ave.,Suite 100","Rochester","NY","14607","Monroe","55","Western  - Rochester                                                                                                                                                                                                                                                                                                          ","1350 University Ave
Rochester, NY 14607
(43.14999, -77.565389)"
"2011","Department of Health","EDISON HOME HEALTH CARE","CLOSED","Home Health Aide","Core Training","English","2","25","26","42","0","946 MCDONALD AVE","BROOKLYN","NY","11218","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                         ","946 MCDONALD AVE
BROOKLYN, NY 11218
(40.630974, -73.977198)"
"2014","Department of Health","Venture Forthe, Inc.","CLOSED","Personal Care Aide","Basic Training","English","6","23","21","21","1","687 Lee Road, Suite A-205","Rochester","NY","14606","Monroe","55","Western  - Rochester                                                                                                                                                                                                                                                                                                                        ","687 Lee Road
Rochester, NY 14606
(43.178313, -77.680671)"
"2012","Department of Health","HOME HEALTH CARE PARTNERS CORP","OPEN","Home Health Aide","Competency Evaluation","English","1","1","1","1","0","1830 RIVERFRONT CENTER","AMSTERDAM","NY","12010","Montgomery","57","Capital District                                                                                                                                                                                                                                                                                                                     ","1830 RIVERFRONT CENTER
AMSTERDAM, NY 12010"
"2019","Department of Health","Classen Home Health Associattes, Inc.","OPEN","Home Health Aide","Nurse Aide Transition","English","5","5","4","4","1","222 Elmira Road,Suite 3","Ithaca","NY","14850","Tompkins","109","Central New York                                                                                                                                                                                                                                                                                                             ","222 Elmira Road
Ithaca, NY 14850
(42.429183, -76.506136)"
"2019","Department of Health","All Metro Health Care - Schenectady","OPEN","Personal Care Aide","Basic Training","English","13","97","76","72","21","650 Franklin Street,Suite 102","Schenectady","NY","12305","Schenectady","93","Capital District                                                                                                                                                                                                                                                                                                    ","650 Franklin Street
Schenectady, NY 12305
(42.812261, -73.936965)"
"2016","Department of Health","Interim HealthCare","CLOSED","Personal Care Aide","Alternative Competency Demonstration","English","3","3","4","4","0","38 Front Street, Suite D","Binghamton","NY","13905","Broome","7","Central New York                                                                                                                                                                                                                                                                                                              ","38 Front Street
Suite D Binghamton, NY 13905
(42.094607, -75.918935)"
"2018","Department of Health","PERSONAL TOUCH HOME CARE INC JAMAICA","OPEN","Home Health Aide","Nurse Aide Transition","English","4","20","16","22","0","186-18 HILLSIDE AVENUE","JAMAICA","NY","11432","Queens","81","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                ","186 18 HILLSIDE AVENUE
JAMAICA, NY 11432"
"2019","Department of Health","Companion Care of Rochester, Inc.","OPEN","Personal Care Aide","Basic Training","English","4","52","53","52","0","556 South Clinton Ave.","Rochester","NY","14620","Monroe","55","Western  - Rochester                                                                                                                                                                                                                                                                                                                  ","556 South Clinton Ave
Rochester, NY 14620
(43.146384, -77.602342)"
"2021","Department of Health","Elderwood Home Care At Cheektowaga","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","1","2","2","2","0","229 Bennett Road","Cheektowaga","NY","14227","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                    ","229 Bennett Road
Cheektowaga, NY 14227
(42.889315, -78.747032)"
