"year","sex","age_group","race_or_ethnicity","selected_cause_of_death","deaths"
"2019","F","20-24","Other Non Hispanic","Accidents","1"
"2019","F","10-19","White Non Hispanic","Total","70"
"2019","F","10-19","Hispanic","All Other Causes","19"
"2019","F","1-9","White Non Hispanic","Accidents","8"
"2019","F","25-34","Black Non Hispanic","Diseases of the Heart","21"
"2019","F","25-34","Other Non Hispanic","Malignant Neoplasms","15"
"2019","M","<1","White Non Hispanic","All Other Causes","188"
"2019","F","35-44","Hispanic","Accidents","34"
"2019","F","35-44","White Non Hispanic","CLRD","8"
"2019","F","45-54","Black Non Hispanic","All Other Causes","230"
"2019","F","45-54","Not Stated","Diseases of the Heart","17"
"2019","F","45-54","White Non Hispanic","CLRD","52"
"2019","F","55-64","Hispanic","AIDS","11"
"2019","F","55-64","Not Stated","Diseases of the Heart","38"
"2019","F","55-64","White Non Hispanic","Cerebrovascular Disease","106"
"2019","F","65-74","Black Non Hispanic","Malignant Neoplasms","680"
"2019","F","65-74","Not Stated","All Other Causes","71"
"2019","F","65-74","White Non Hispanic","Pneumonia","165"
"2019","F","75-84","Black Non Hispanic","Total","2564"
"2019","F","75-84","Not Stated","Malignant Neoplasms","73"
"2019","F","75-84","White Non Hispanic","CLRD","1018"
"2019","F","85+","Hispanic","Diabetes Mellitus","19"
"2019","F","85+","Not Stated","Diseases of the Heart","167"
"2019","F","85+","White Non Hispanic","Cerebrovascular Disease","1421"
"2019","F","<1","Other Non Hispanic","Diseases of the Heart","1"
"2019","M","1-9","Black Non Hispanic","Malignant Neoplasms","3"
"2019","M","1-9","Other Non Hispanic","All Other Causes","5"
"2019","M","10-19","Black Non Hispanic","Total","73"
"2019","M","10-19","Other Non Hispanic","All Other Causes","11"
"2019","M","20-24","Black Non Hispanic","Malignant Neoplasms","9"
"2019","M","20-24","Not Stated","Accidents","9"
"2019","M","25-34","Black Non Hispanic","Cerebrovascular Disease","3"
"2019","M","25-34","Hispanic","Accidents","182"
"2019","M","25-34","Other Non Hispanic","All Other Causes","44"
"2019","M","35-44","Black Non Hispanic","AIDS","11"
"2019","M","35-44","Hispanic","All Other Causes","213"
"2019","M","35-44","Other Non Hispanic","Total","102"
"2019","M","45-54","Black Non Hispanic","Cerebrovascular Disease","39"
"2019","M","45-54","Not Stated","AIDS","1"
"2019","M","45-54","Other Non Hispanic","Accidents","11"
"2019","M","55-64","Black Non Hispanic","CLRD","64"
"2019","M","55-64","Hispanic","All Other Causes","413"
"2019","M","55-64","Other Non Hispanic","Diseases of the Heart","97"
"2019","M","65-74","Black Non Hispanic","AIDS","32"
"2019","M","65-74","Hispanic","All Other Causes","449"
"2019","M","65-74","Other Non Hispanic","CLRD","18"
"2019","M","75-84","Black Non Hispanic","AIDS","10"
"2019","M","75-84","Hispanic","Pneumonia","69"
"2019","M","75-84","Other Non Hispanic","CLRD","37"
"2019","M","85+","Black Non Hispanic","Accidents","9"
"2019","M","85+","Hispanic","Diseases of the Heart","471"
"2019","M","85+","Other Non Hispanic","Cerebrovascular Disease","37"
"2019","M","<1","Black Non Hispanic","Malignant Neoplasms","1"
"2019","M","<1","Other Non Hispanic","All Other Causes","27"
"2019","M","Unknown","White Non Hispanic","Total","5"
"2019","F","25-34","Hispanic","Malignant Neoplasms","29"
"2019","F","25-34","Black Non Hispanic","Diabetes Mellitus","2"
"2019","F","20-24","Other Non Hispanic","All Other Causes","6"
"2019","F","20-24","Black Non Hispanic","Total","48"
"2019","F","20-24","Black Non Hispanic","Accidents","12"
"2019","F","10-19","Other Non Hispanic","Malignant Neoplasms","3"
"2019","F","10-19","Not Stated","Total","7"
"2019","F","20-24","Hispanic","Malignant Neoplasms","7"
"2019","F","1-9","White Non Hispanic","All Other Causes","27"
"2019","F","1-9","Not Stated","Total","6"
"2019","F","1-9","Hispanic","All Other Causes","21"
"2019","F","1-9","Hispanic","Accidents","9"
"2019","F","25-34","Other Non Hispanic","Diseases of the Heart","1"
"2019","M","Unknown","Not Stated","All Other Causes","1"
"2019","M","<1","White Non Hispanic","Total","202"
"2019","F","35-44","Black Non Hispanic","Malignant Neoplasms","74"
"2019","F","35-44","Hispanic","Diseases of the Heart","27"
"2019","F","35-44","Other Non Hispanic","Diseases of the Heart","6"
"2019","F","35-44","White Non Hispanic","Cerebrovascular Disease","7"
"2019","F","45-54","Black Non Hispanic","Diabetes Mellitus","9"
"2019","F","45-54","Black Non Hispanic","Malignant Neoplasms","207"
"2019","F","45-54","Hispanic","Diseases of the Heart","65"
"2019","F","45-54","Not Stated","Cerebrovascular Disease","6"
"2019","F","45-54","Other Non Hispanic","Diseases of the Heart","7"
"2019","F","45-54","White Non Hispanic","Cerebrovascular Disease","50"
"2019","F","55-64","Black Non Hispanic","Cerebrovascular Disease","49"
"2019","F","55-64","Hispanic","Diabetes Mellitus","9"
"2019","F","55-64","Hispanic","Malignant Neoplasms","278"
"2019","F","55-64","Not Stated","Cerebrovascular Disease","9"
"2019","F","55-64","Other Non Hispanic","Cerebrovascular Disease","10"
"2019","F","55-64","White Non Hispanic","Pneumonia","66"
"2019","F","65-74","Black Non Hispanic","AIDS","12"
"2019","F","65-74","Black Non Hispanic","All Other Causes","625"
"2019","F","65-74","Hispanic","Malignant Neoplasms","384"
"2019","F","65-74","Not Stated","Diseases of the Heart","56"
"2019","F","65-74","Other Non Hispanic","Cerebrovascular Disease","24"
"2019","F","65-74","White Non Hispanic","Accidents","156"
"2019","F","75-84","Black Non Hispanic","Accidents","22"
"2019","F","75-84","Black Non Hispanic","Diseases of the Heart","853"
"2019","F","75-84","Hispanic","Diseases of the Heart","484"
"2019","F","75-84","Not Stated","Cerebrovascular Disease","20"
"2019","F","75-84","Other Non Hispanic","Malignant Neoplasms","143"
"2019","F","75-84","White Non Hispanic","Cerebrovascular Disease","616"
"2019","F","85+","Black Non Hispanic","CLRD","85"
"2019","F","85+","Hispanic","AIDS","1"
"2019","F","85+","Hispanic","Total","2491"
"2019","F","85+","Not Stated","All Other Causes","138"
"2019","F","85+","Other Non Hispanic","Malignant Neoplasms","135"
"2019","F","85+","White Non Hispanic","CLRD","1214"
"2019","F","<1","Hispanic","Pneumonia","1"
"2019","F","<1","Other Non Hispanic","Accidents","1"
"2019","F","<1","White Non Hispanic","Total","155"
"2019","M","1-9","Black Non Hispanic","Diseases of the Heart","3"
"2019","M","1-9","Hispanic","Total","25"
"2019","M","1-9","Other Non Hispanic","Accidents","2"
"2019","M","1-9","White Non Hispanic","All Other Causes","31"
"2019","M","10-19","Black Non Hispanic","All Other Causes","45"
"2019","M","10-19","Hispanic","Total","66"
"2019","M","10-19","Other Non Hispanic","Malignant Neoplasms","5"
"2019","M","10-19","White Non Hispanic","Accidents","37"
"2019","M","20-24","Black Non Hispanic","Diseases of the Heart","4"
"2019","M","20-24","Hispanic","Pneumonia","2"
"2019","M","20-24","Not Stated","All Other Causes","7"
"2019","M","20-24","White Non Hispanic","CLRD","1"
"2019","M","20-24","White Non Hispanic","Total","308"
"2019","M","25-34","Hispanic","Diabetes Mellitus","1"
"2019","M","25-34","Hispanic","All Other Causes","154"
"2019","M","25-34","Not Stated","All Other Causes","25"
"2019","M","25-34","Other Non Hispanic","Accidents","15"
"2019","M","25-34","White Non Hispanic","Malignant Neoplasms","51"
"2019","M","35-44","Black Non Hispanic","Pneumonia","9"
"2019","M","35-44","Hispanic","CLRD","3"
"2019","M","35-44","Hispanic","Accidents","201"
"2019","M","35-44","Not Stated","All Other Causes","40"
"2019","M","35-44","Other Non Hispanic","All Other Causes","37"
"2019","M","35-44","White Non Hispanic","Diseases of the Heart","150"
"2019","M","45-54","Black Non Hispanic","AIDS","26"
"2019","M","45-54","Hispanic","AIDS","11"
"2019","M","45-54","Hispanic","Total","812"
"2019","M","45-54","Not Stated","Diseases of the Heart","48"
"2019","M","45-54","Other Non Hispanic","Cerebrovascular Disease","6"
"2019","M","45-54","White Non Hispanic","Accidents","442"
"2019","M","55-64","Black Non Hispanic","AIDS","45"
"2019","M","55-64","Hispanic","Diabetes Mellitus","9"
"2019","M","55-64","Hispanic","Diseases of the Heart","358"
"2019","M","55-64","Not Stated","Diseases of the Heart","136"
"2019","M","55-64","Other Non Hispanic","Accidents","22"
"2019","M","55-64","White Non Hispanic","Cerebrovascular Disease","174"
"2019","M","65-74","Black Non Hispanic","Diabetes Mellitus","27"
"2019","M","65-74","Hispanic","AIDS","12"
"2019","M","65-74","Hispanic","Diseases of the Heart","429"
"2019","M","65-74","Not Stated","Cerebrovascular Disease","25"
"2019","M","65-74","Other Non Hispanic","Accidents","18"
"2019","M","65-74","White Non Hispanic","Pneumonia","209"
"2019","M","65-74","White Non Hispanic","Total","11308"
"2019","M","75-84","Black Non Hispanic","All Other Causes","610"
"2019","M","75-84","Hispanic","Cerebrovascular Disease","68"
"2019","M","75-84","Not Stated","Malignant Neoplasms","77"
"2019","M","75-84","Other Non Hispanic","Pneumonia","36"
"2019","M","75-84","White Non Hispanic","Accidents","325"
"2019","M","75-84","White Non Hispanic","Total","13597"
"2019","M","85+","Black Non Hispanic","Total","1424"
"2019","M","85+","Hispanic","Malignant Neoplasms","193"
"2019","M","85+","Not Stated","Cerebrovascular Disease","17"
"2019","M","85+","Other Non Hispanic","CLRD","35"
"2019","M","85+","White Non Hispanic","Pneumonia","619"
"2019","M","<1","Black Non Hispanic","Cerebrovascular Disease","1"
"2019","M","<1","Hispanic","Cerebrovascular Disease","2"
"2019","M","<1","Other Non Hispanic","Accidents","2"
"2019","M","Unknown","Hispanic","Total","1"
"2019","M","Unknown","White Non Hispanic","Diseases of the Heart","2"
"2019","F","25-34","White Non Hispanic","Diabetes Mellitus","1"
"2019","F","25-34","Hispanic","All Other Causes","45"
"2019","F","35-44","Hispanic","Total","200"
"2019","F","25-34","Black Non Hispanic","Accidents","30"
"2019","F","20-24","White Non Hispanic","All Other Causes","56"
"2019","F","20-24","White Non Hispanic","CLRD","1"
"2019","F","20-24","White Non Hispanic","Diseases of the Heart","5"
"2019","F","20-24","Hispanic","Accidents","13"
"2019","F","20-24","Black Non Hispanic","Diseases of the Heart","2"
"2019","F","75-84","Hispanic","AIDS","2"
"2019","F","10-19","White Non Hispanic","Pneumonia","1"
"2019","F","10-19","Other Non Hispanic","Accidents","2"
"2019","F","10-19","Not Stated","All Other Causes","6"
"2019","F","10-19","Hispanic","Malignant Neoplasms","5"
"2019","F","20-24","Black Non Hispanic","CLRD","2"
"2019","F","10-19","Black Non Hispanic","Malignant Neoplasms","2"
"2019","F","10-19","Black Non Hispanic","Cerebrovascular Disease","2"
"2019","F","1-9","White Non Hispanic","Malignant Neoplasms","11"
"2019","F","35-44","Hispanic","All Other Causes","65"
"2019","F","20-24","White Non Hispanic","Malignant Neoplasms","8"
"2019","F","1-9","Not Stated","All Other Causes","5"
"2019","F","1-9","Not Stated","Accidents","1"
"2019","F","1-9","Black Non Hispanic","Accidents","6"
"2019","F","1-9","Black Non Hispanic","CLRD","3"
"2019","M","55-64","Not Stated","Pneumonia","8"
"2019","F","25-34","Other Non Hispanic","Accidents","15"
"2019","F","25-34","White Non Hispanic","CLRD","3"
"2019","M","Unknown","Not Stated","Malignant Neoplasms","1"
"2019","F","25-34","White Non Hispanic","All Other Causes","182"
"2019","F","25-34","White Non Hispanic","Accidents","177"
"2019","F","35-44","Black Non Hispanic","Cerebrovascular Disease","5"
"2019","F","35-44","Black Non Hispanic","Diseases of the Heart","38"
"2019","F","35-44","Hispanic","Diabetes Mellitus","2"
"2019","F","35-44","Hispanic","CLRD","7"
"2019","F","35-44","Not Stated","Malignant Neoplasms","10"
"2019","F","35-44","Other Non Hispanic","Pneumonia","1"
"2019","F","35-44","Other Non Hispanic","Malignant Neoplasms","26"
"2019","F","35-44","White Non Hispanic","Diabetes Mellitus","6"
"2019","F","35-44","White Non Hispanic","Accidents","168"
"2019","F","35-44","White Non Hispanic","Total","672"
"2019","F","45-54","Black Non Hispanic","CLRD","20"
"2019","F","45-54","Black Non Hispanic","Diseases of the Heart","149"
"2019","F","45-54","Hispanic","CLRD","10"
"2019","F","45-54","Hispanic","Accidents","45"
"2019","F","45-54","Hispanic","Total","421"
"2019","F","45-54","Not Stated","Pneumonia","3"
"2019","F","45-54","Not Stated","Total","99"
"2019","F","45-54","Other Non Hispanic","Accidents","6"
"2019","F","45-54","Other Non Hispanic","Total","146"
"2019","F","45-54","White Non Hispanic","Pneumonia","25"
"2019","F","45-54","White Non Hispanic","Total","1639"
"2019","F","55-64","Black Non Hispanic","Pneumonia","45"
"2019","F","55-64","Black Non Hispanic","Diseases of the Heart","376"
"2019","F","55-64","Black Non Hispanic","Total","1724"
"2019","F","55-64","Hispanic","Cerebrovascular Disease","25"
"2019","F","55-64","Hispanic","All Other Causes","215"
"2019","F","55-64","Not Stated","Diabetes Mellitus","1"
"2019","F","55-64","Not Stated","Accidents","5"
"2019","F","55-64","Other Non Hispanic","CLRD","3"
"2019","F","55-64","Other Non Hispanic","Accidents","8"
"2019","F","55-64","Other Non Hispanic","Malignant Neoplasms","123"
"2019","F","55-64","White Non Hispanic","Diabetes Mellitus","31"
"2019","F","55-64","White Non Hispanic","Diseases of the Heart","679"
"2019","F","55-64","White Non Hispanic","Total","4286"
"2019","F","65-74","Black Non Hispanic","Pneumonia","48"
"2019","F","65-74","Black Non Hispanic","Diseases of the Heart","574"
"2019","F","65-74","Hispanic","CLRD","42"
"2019","F","65-74","Hispanic","All Other Causes","356"
"2019","F","65-74","Not Stated","Pneumonia","5"
"2019","F","65-74","Not Stated","Cerebrovascular Disease","17"
"2019","F","65-74","Other Non Hispanic","Diabetes Mellitus","2"
"2019","F","65-74","Other Non Hispanic","Accidents","12"
"2019","F","65-74","Other Non Hispanic","Malignant Neoplasms","174"
"2019","F","65-74","White Non Hispanic","Diabetes Mellitus","74"
"2019","F","65-74","White Non Hispanic","All Other Causes","2285"
"2019","F","75-84","Black Non Hispanic","AIDS","2"
"2019","F","75-84","Black Non Hispanic","CLRD","94"
"2019","F","75-84","Black Non Hispanic","All Other Causes","820"
"2019","F","75-84","Hispanic","Pneumonia","37"
"2019","F","75-84","Hispanic","Malignant Neoplasms","368"
"2019","F","75-84","Not Stated","Accidents","1"
"2019","F","75-84","Not Stated","CLRD","16"
"2019","F","75-84","Other Non Hispanic","CLRD","17"
"2019","F","75-84","Other Non Hispanic","Cerebrovascular Disease","38"
"2019","F","75-84","Other Non Hispanic","Total","651"
"2019","F","75-84","White Non Hispanic","Pneumonia","294"
"2019","F","75-84","White Non Hispanic","All Other Causes","4512"
"2019","F","85+","Black Non Hispanic","Accidents","30"
"2019","F","85+","Black Non Hispanic","Malignant Neoplasms","359"
"2019","F","85+","Black Non Hispanic","Total","3232"
"2019","F","85+","Hispanic","Cerebrovascular Disease","160"
"2019","F","85+","Hispanic","All Other Causes","959"
"2019","F","85+","Not Stated","CLRD","8"
"2019","F","85+","Not Stated","Malignant Neoplasms","36"
"2019","F","85+","Other Non Hispanic","Accidents","16"
"2019","F","85+","Other Non Hispanic","Cerebrovascular Disease","67"
"2019","F","85+","Other Non Hispanic","Total","1093"
"2019","F","85+","White Non Hispanic","Pneumonia","775"
"2019","F","<1","Black Non Hispanic","Accidents","11"
"2019","F","<1","Hispanic","Accidents","1"
"2019","F","<1","Hispanic","Total","77"
"2019","F","<1","Not Stated","Total","28"
"2019","F","<1","White Non Hispanic","Malignant Neoplasms","1"
"2019","F","<1","White Non Hispanic","All Other Causes","145"
"2019","F","Unknown","Other Non Hispanic","Diseases of the Heart","1"
"2019","M","1-9","Black Non Hispanic","Cerebrovascular Disease","2"
"2019","M","1-9","Black Non Hispanic","Total","54"
"2019","M","1-9","Hispanic","All Other Causes","15"
"2019","M","1-9","Not Stated","All Other Causes","4"
"2019","M","1-9","Other Non Hispanic","Diseases of the Heart","1"
"2019","M","1-9","White Non Hispanic","Pneumonia","1"
"2019","M","1-9","White Non Hispanic","Accidents","18"
"2019","M","10-19","Black Non Hispanic","Cerebrovascular Disease","1"
"2019","M","10-19","Black Non Hispanic","Accidents","14"
"2019","M","10-19","Hispanic","Pneumonia","2"
"2019","M","10-19","Hispanic","All Other Causes","27"
"2019","M","10-19","Not Stated","All Other Causes","8"
"2019","M","10-19","Other Non Hispanic","Accidents","2"
"2019","M","10-19","White Non Hispanic","Cerebrovascular Disease","1"
"2019","M","10-19","White Non Hispanic","Malignant Neoplasms","14"
"2019","M","20-24","Black Non Hispanic","Cerebrovascular Disease","1"
"2019","M","20-24","Black Non Hispanic","CLRD","3"
"2019","M","20-24","Hispanic","AIDS","1"
"2019","M","20-24","Hispanic","Diseases of the Heart","2"
"2019","M","20-24","Hispanic","All Other Causes","57"
"2019","M","20-24","Not Stated","Cerebrovascular Disease","2"
"2019","M","20-24","Other Non Hispanic","Malignant Neoplasms","1"
"2019","M","20-24","Other Non Hispanic","Total","31"
"2019","M","20-24","White Non Hispanic","Diseases of the Heart","7"
"2019","M","20-24","White Non Hispanic","All Other Causes","142"
"2019","M","25-34","Black Non Hispanic","Diseases of the Heart","30"
"2019","M","25-34","Black Non Hispanic","Total","388"
"2019","M","25-34","Hispanic","Cerebrovascular Disease","6"
"2019","M","25-34","Hispanic","Malignant Neoplasms","27"
"2019","M","25-34","Not Stated","Diabetes Mellitus","1"
"2019","M","25-34","Not Stated","Accidents","22"
"2019","M","25-34","Other Non Hispanic","Pneumonia","1"
"2019","M","25-34","Other Non Hispanic","Malignant Neoplasms","6"
"2019","M","25-34","White Non Hispanic","CLRD","4"
"2019","M","25-34","White Non Hispanic","Diseases of the Heart","50"
"2019","M","25-34","White Non Hispanic","Total","997"
"2019","M","35-44","Black Non Hispanic","CLRD","9"
"2019","M","35-44","Black Non Hispanic","Diseases of the Heart","93"
"2019","M","35-44","Hispanic","Diabetes Mellitus","2"
"2019","M","35-44","Hispanic","Cerebrovascular Disease","15"
"2019","M","35-44","Hispanic","Diseases of the Heart","55"
"2019","M","35-44","Not Stated","Pneumonia","2"
"2019","M","35-44","Not Stated","Malignant Neoplasms","12"
"2019","M","35-44","Other Non Hispanic","Pneumonia","3"
"2019","M","35-44","Other Non Hispanic","Accidents","22"
"2019","M","35-44","White Non Hispanic","Diabetes Mellitus","8"
"2019","M","35-44","White Non Hispanic","Malignant Neoplasms","130"
"2019","M","35-44","White Non Hispanic","Total","1226"
"2019","M","45-54","Black Non Hispanic","CLRD","16"
"2019","M","45-54","Black Non Hispanic","All Other Causes","301"
"2019","M","45-54","Hispanic","CLRD","10"
"2019","M","45-54","Hispanic","Malignant Neoplasms","119"
"2019","M","45-54","Hispanic","All Other Causes","306"
"2019","M","45-54","Not Stated","Pneumonia","5"
"2019","M","45-54","Not Stated","Malignant Neoplasms","30"
"2019","M","45-54","Other Non Hispanic","AIDS","1"
"2019","M","45-54","Other Non Hispanic","Pneumonia","1"
"2019","M","45-54","White Non Hispanic","Diabetes Mellitus","22"
"2019","M","45-54","White Non Hispanic","Cerebrovascular Disease","53"
"2019","M","45-54","White Non Hispanic","All Other Causes","941"
"2019","M","55-64","Black Non Hispanic","Pneumonia","44"
"2019","M","55-64","Black Non Hispanic","Malignant Neoplasms","522"
"2019","M","55-64","Black Non Hispanic","Total","2214"
"2019","M","55-64","Hispanic","AIDS","30"
"2019","M","55-64","Hispanic","Malignant Neoplasms","315"
"2019","M","55-64","Not Stated","Cerebrovascular Disease","14"
"2019","M","55-64","Not Stated","All Other Causes","110"
"2019","M","55-64","Other Non Hispanic","Diabetes Mellitus","2"
"2019","M","55-64","Other Non Hispanic","Cerebrovascular Disease","17"
"2019","M","55-64","Other Non Hispanic","Total","392"
"2019","M","55-64","White Non Hispanic","Pneumonia","119"
"2019","M","55-64","White Non Hispanic","Diseases of the Heart","1716"
"2019","M","55-64","White Non Hispanic","Total","7004"
"2019","M","65-74","Black Non Hispanic","Malignant Neoplasms","590"
"2019","M","65-74","Black Non Hispanic","Total","2353"
"2019","M","65-74","Hispanic","Accidents","46"
"2019","M","65-74","Hispanic","Malignant Neoplasms","400"
"2019","M","65-74","Not Stated","Pneumonia","8"
"2019","M","65-74","Not Stated","CLRD","14"
"2019","M","65-74","Not Stated","Diseases of the Heart","152"
"2019","M","65-74","Other Non Hispanic","Pneumonia","17"
"2019","M","65-74","Other Non Hispanic","Malignant Neoplasms","241"
"2019","M","65-74","White Non Hispanic","Diabetes Mellitus","108"
"2019","M","65-74","White Non Hispanic","CLRD","624"
"2019","M","65-74","White Non Hispanic","Malignant Neoplasms","3455"
"2019","M","75-84","Black Non Hispanic","Pneumonia","61"
"2019","M","75-84","Black Non Hispanic","Malignant Neoplasms","487"
"2019","M","75-84","Hispanic","AIDS","5"
"2019","M","75-84","Hispanic","CLRD","54"
"2019","M","75-84","Not Stated","Accidents","10"
"2019","M","75-84","Not Stated","CLRD","15"
"2019","M","75-84","Not Stated","Total","397"
"2019","M","75-84","Other Non Hispanic","Cerebrovascular Disease","34"
"2019","M","75-84","Other Non Hispanic","Diseases of the Heart","247"
"2019","M","75-84","White Non Hispanic","Diabetes Mellitus","103"
"2019","M","75-84","White Non Hispanic","CLRD","804"
"2019","M","75-84","White Non Hispanic","All Other Causes","4296"
"2019","M","85+","Black Non Hispanic","CLRD","54"
"2019","M","85+","Black Non Hispanic","Diseases of the Heart","543"
"2019","M","85+","Hispanic","Accidents","18"
"2019","M","85+","Hispanic","Cerebrovascular Disease","53"
"2019","M","85+","Not Stated","Diabetes Mellitus","5"
"2019","M","85+","Not Stated","Pneumonia","13"
"2019","M","85+","Not Stated","Diseases of the Heart","107"
"2019","M","85+","Other Non Hispanic","Accidents","9"
"2019","M","85+","Other Non Hispanic","Total","797"
"2019","M","85+","White Non Hispanic","Accidents","416"
"2019","M","85+","White Non Hispanic","Malignant Neoplasms","2305"
"2019","M","85+","White Non Hispanic","Total","17114"
"2019","M","<1","Black Non Hispanic","Accidents","5"
"2019","M","<1","Black Non Hispanic","Total","174"
"2019","M","<1","Hispanic","All Other Causes","105"
"2019","M","<1","Not Stated","Total","39"
"2019","M","<1","White Non Hispanic","Accidents","11"
"2019","M","Unknown","Hispanic","All Other Causes","1"
"2019","M","Unknown","Not Stated","Diseases of the Heart","3"
"2019","M","Unknown","White Non Hispanic","All Other Causes","2"
"2019","F","25-34","Other Non Hispanic","Total","56"
"2019","F","25-34","Other Non Hispanic","Cerebrovascular Disease","2"
"2019","F","25-34","Not Stated","Accidents","2"
"2019","F","25-34","Hispanic","Accidents","36"
"2019","F","1-9","Other Non Hispanic","All Other Causes","5"
"2019","F","20-24","Not Stated","Total","4"
"2019","F","1-9","Hispanic","Malignant Neoplasms","4"
"2019","F","25-34","Hispanic","Diseases of the Heart","11"
"2019","F","1-9","Other Non Hispanic","Accidents","4"
"2019","F","20-24","White Non Hispanic","Total","129"
"2019","F","20-24","White Non Hispanic","Accidents","59"
"2019","F","20-24","Other Non Hispanic","Total","9"
"2019","F","10-19","Hispanic","CLRD","1"
"2019","F","20-24","Other Non Hispanic","Cerebrovascular Disease","1"
"2019","F","20-24","Other Non Hispanic","Malignant Neoplasms","1"
"2019","F","20-24","Hispanic","Total","51"
"2019","F","10-19","Black Non Hispanic","Total","37"
"2019","F","20-24","Black Non Hispanic","All Other Causes","30"
"2019","F","20-24","Black Non Hispanic","Malignant Neoplasms","2"
"2019","F","10-19","White Non Hispanic","Accidents","22"
"2019","F","10-19","White Non Hispanic","Malignant Neoplasms","7"
"2019","F","20-24","Not Stated","Malignant Neoplasms","2"
"2019","F","10-19","Other Non Hispanic","Total","9"
"2019","F","10-19","Other Non Hispanic","All Other Causes","4"
"2019","F","10-19","White Non Hispanic","CLRD","2"
"2019","F","10-19","Not Stated","Malignant Neoplasms","1"
"2019","F","10-19","Hispanic","Total","29"
"2019","F","10-19","Hispanic","Cerebrovascular Disease","2"
"2019","F","20-24","Not Stated","All Other Causes","1"
"2019","F","10-19","White Non Hispanic","All Other Causes","37"
"2019","F","10-19","Black Non Hispanic","Accidents","4"
"2019","F","10-19","Black Non Hispanic","All Other Causes","27"
"2019","F","20-24","Not Stated","Accidents","1"
"2019","F","10-19","Black Non Hispanic","Diseases of the Heart","1"
"2019","F","10-19","Black Non Hispanic","CLRD","1"
"2019","F","20-24","Hispanic","All Other Causes","31"
"2019","F","25-34","Black Non Hispanic","AIDS","6"
"2019","F","25-34","Not Stated","Total","19"
"2019","F","1-9","White Non Hispanic","Total","49"
"2019","F","1-9","White Non Hispanic","Pneumonia","2"
"2019","F","25-34","Black Non Hispanic","CLRD","5"
"2019","F","1-9","Other Non Hispanic","Malignant Neoplasms","2"
"2019","F","25-34","Black Non Hispanic","Pneumonia","2"
