"year","region","program_name","indicator_name","master_id","eligible_patients","indicator_value","quintile","facility_type","address","city","zip","location"
"2014","Central-West","Erie County Medical Center","Genital Gonorrhea Testing","STI_7","105","37.10","Fourth","Designated AIDS Center","462 Grider Street","Buffalo","14215","(42.925422, -78.83133)"
"2014","Manhattan","Metropolitan Hospital Center Virology Clinic-NYC Health and Hosp. Corp.","Gonorrhea Treatment - Genital Infection","STI_10",,,,"Designated AIDS Center","1901 First Avenue, 14th Floor","New York","10029","(40.785224, -73.94498)"
"2014","Long Island","Suffolk County Department of Health Services-Riverhead Health Center","Baseline Resistance Test (All newly diagnosed patients)","BR_1",,,,"Community Health Center","County Center, 300 Center Drive","Riverhead","11901","(40.913101, -72.66783)"
"2014","Central-West","Strong Memorial Hospital Adult Clinic-University of Rochester Medical Center","ART naïve patients suppressed on first viral load after 12 weeks on ART","VL_7","11","72.70",,"Designated AIDS Center","601 Elmwood Avenue","Rochester","14642","(43.122823, -77.62528)"
"2014","Long Island","Nassau University Medical Center-Center for Positive Health-Designated AIDS Center","Chlamydia Treatment - Rectal Infection","STI_6",,,,"Designated AIDS Center","2201 Hempstead Turnpike","East Meadow","11554","(40.726176, -73.55374)"
"2014","Lower Hudson","St. John's Riverside Hospital-The HOPE Center","New Patient Visit Frequency","RET_3","10","70.00",,"Designated AIDS Center","2 Park Ave.","Yonkers","10703","(40.940274, -73.89148)"
"2014","Bronx","Montefiore Medical Group-CICERO Program-Comprehensive Health Care Center","Gonorrhea Treatment - Rectal Infection","STI_12",,,,"Community Health Center","305 East 161st Street","Bronx","10451","(40.825462, -73.91699)"
"2014","Brooklyn","Brooklyn_AVERAGE (Before Redaction)","Tobacco Cessation Counseling","TOB_2","1529","79.80",,,,,,
"2014","Brooklyn","Coney Island Hospital -NYC Health and Hosp. Corp.","New Patient Visit Frequency","RET_3",,,,"Designated AIDS Center","2601 Ocean Parkway","Brooklyn","11235","(40.585489, -73.96558)"
"2014","Bronx","Medalliance Medical Health Services","Baseline Resistance Test (All newly diagnosed patients)","BR_1",,,,"Community Health Center","625 East Fordham Road","Bronx","10458","(40.858428, -73.88358)"
"2014","Central-West","SUNY Upstate Medical University-Designated AIDS Center (Adult)-Research Foundation of SUNY","Antiretroviral Therapy","AR_1","100","99.00","First","Designated AIDS Center","725 Irving Ave., Suite #211","Syracuse","13210","(43.041644, -76.13749)"
"2014","Manhattan","Betances Health Center","Chlamydia Treatment - Rectal Infection","STI_6","6","66.70",,"Community Health Center","280 Henry St","New York","10002","(40.71367, -73.98373)"
"2014","Manhattan","New York Presbyterian Hospital","Rectal Gonorrhea Testing Among MSM and MtF Transgender Patients","STI_8","31","45.20",,"Designated AIDS Center","622 West 168th Street","New York","10032","(40.840854, -73.94139)"
"2014","Brooklyn","Kings County Hospital Center-NYC Health and Hosp. Corp.","Pharyngeal Gonorrhea Testing Among MSM and MtF Transgender Patients","STI_9","7","0.00",,"Designated AIDS Center","451 Clarkson Avenue, E Building 4th Floor","Brooklyn","11203","(40.656719, -73.94616)"
"2014","Bronx","Bronx_AVERAGE (After Redaction)","New Patient Visit Frequency","RET_3","120","61.10",,,,,,
"2014","Brooklyn","Brightpoint Health-Sterling Health Center","Genital Chlamydia Testing","STI_3","356","73.30","Second","Community Health Center","803 Sterling Place","Brooklyn","11216","(40.672883, -73.9518)"
"2014","Manhattan","Renaissance Healthcare Network-Sydenham-NYC Health and Hospitals Corp.","Gonorrhea Treatment - Rectal Infection","STI_12",,,,"Community Health Center","215 West 125th Street","New York","10027","(40.809702, -73.94891)"
"2014","Bronx","Lincoln Medical and Mental Health Center-NYC Health and Hosp. Corp.","Genital Gonorrhea Testing","STI_7","108","26.90","Fifth","Designated AIDS Center","234 East 149th Street","Bronx","10451","(40.81689, -73.92444)"
"2013","Brooklyn","Brooklyn_AVERAGE (After Redaction)","Hepatitis C (HCV) Further Evaluation of RNA Positive Patients","HEP_3","159","88.90",,,,,,
"2014","Bronx","Morris Heights Health Center-Burnside","ART naïve patients suppressed on first viral load after 12 weeks on ART","VL_7","8","100.00",,"Community Health Center","85 W. Burnside Ave.","Bronx","10453","(40.854888, -73.91013)"
"2014","Brooklyn","Brownsville Multi-Service Family Health Center-Institute for Specialty and Integrated Services","Chlamydia Treatment - Genital Infection","STI_5",,,,"Community Health Center","259 Bristol St","Brooklyn","11212","(40.664679, -73.9111)"
"2014","Bronx","Community Healthcare Network-Bronx Health Center","Genital Chlamydia Testing","STI_3","349","80.50","Second","Community Health Center","975 Westchester Avenue","Bronx","10459","(40.823206, -73.89525)"
"2014","Manhattan","Community Healthcare Network-Community League Health Center","Suppressed at Last VL of Review Period","VL_1","43","81.40","Third","Community Health Center","1996 Amsterdam Avenue","New York","10032","(40.834137, -73.94144)"
"2014","Long Island","David E. Rogers Center for HIV/AIDS Care","Gonorrhea Treatment - Rectal Infection","STI_12",,,,"Community Health Center","335B Meeting House Lane","Southampton","11968","(40.886987, -72.3779)"
"2014","Brooklyn","Bedford Stuyvesant Family Health Center, Inc.","Genital Gonorrhea Testing","STI_7","63","60.30","Third","Community Health Center","1458 Fulton Street","Brooklyn","11216","(40.679842, -73.94255)"
"2014","Central-West","United Health Services Hospitals, Inc-Binghamton Family Care Center","Gonorrhea Treatment - Rectal Infection","STI_12",,,,"Hospital (non-DAC)","33 Mitchell Ave, Suite 102","Binghamton","13903","(42.086882, -75.91373)"
"2014","Brooklyn","Lutheran Medical Center-Caribbean American Family Health Center","Genital Gonorrhea Testing","STI_7","62","58.10","Fourth","Community Health Center","3414 Church Avenue","Brooklyn","11203","(40.650807, -73.94516)"
"2014","Manhattan","Montefiore Medical Group-CICERO Program-Marble Hill Family Practice","ART naïve patients suppressed on last viral load after 12 weeks on ART","VL_3",,,,"Community Health Center","5525 Broadway","New York","10463","(40.877634, -73.90608)"
"2014","Manhattan","Harlem Hospital Center-NYC Health and Hosp. Corp.","Pharyngeal Gonorrhea Testing Among MSM and MtF Transgender Patients","STI_9","17","0.00",,"Designated AIDS Center","Division of Infectious Disease Harlem Hospital Center, 506 Lenox Avenue, MLK 3101A","New York","10037","(40.814135, -73.93976)"
"2014","Bronx","Montefiore Medical Group-CICERO Program-South Bronx Center for Child. & Fam.","Gonorrhea Treatment - Pharyngeal Infection","STI_11",,,,"Community Health Center","311 East 161st Street","Bronx","10451","(40.825107, -73.91689)"
"2014","Central-West","Central-West_AVERAGE (After Redaction)","Antiretroviral Therapy","AR_1","1038","96.80","Second",,,,,
"2014","Manhattan","Community Healthcare Network-Downtown Health Center","Tobacco Use Screening","TOB_1","45","84.40",,"Community Health Center","150 Essex Street","New York","10002","(40.720653, -73.98687)"
"2014","Manhattan","Callen-Lorde Community Health Center","Antiretroviral Therapy","AR_1","3426","94.90","Third","Community Health Center","356 West 18th Street","New York","10011","(40.743061, -74.00314)"
"2014","Manhattan","Community Healthcare Network-Community League Health Center","Tobacco Cessation Counseling","TOB_2","11","54.50",,"Community Health Center","1996 Amsterdam Avenue","New York","10032","(40.834137, -73.94144)"
"2014","Brooklyn","Community Healthcare Network-Dr. Betty Shabazz Health Center","Visit Frequency (24-month)","RET_2","62","88.70","Second","Community Health Center","999 Blake Avenue","Brooklyn","11208","(40.66998, -73.88135)"
"2014","Brooklyn","Brooklyn Hospital Center-PATH Center","Visit Frequency (24-month)","RET_2","79","74.70","Fourth","Designated AIDS Center","121 Dekalb Avenue","Brooklyn","11201","(40.690774, -73.97796)"
"2014","Long Island","Hudson River Healthcare - The Maxine S. Postal Tri-Community Health Center [Suffolk DOH until 5/27/14]","Tobacco Cessation Counseling","TOB_2","16","100.00",,"Community Health Center","1080 Sunrise Highway","Amityville","11701","(40.68948, -73.41076)"
"2014","Bronx","Montefiore Medical Group-CICERO Program-Comprehensive Health Care Center","Baseline Resistance Test (All newly diagnosed patients)","BR_1",,,,"Community Health Center","305 East 161st Street","Bronx","10451","(40.825462, -73.91699)"
"2014","Manhattan","East Harlem Council for Human Services, Inc.-Boriken Neighborhood Health Center","Tobacco Use Screening","TOB_1","85","100.00",,"Community Health Center","2265 3rd Avenue","New York","10035","(40.802411, -73.93633)"
"2014","Bronx","Care for the Homeless","Rectal Gonorrhea Testing Among MSM and MtF Transgender Patients","STI_8","23","0.00",,"Community Health Center","1921 Jerome Avenue","Bronx","10453","(40.850861, -73.91048)"
"2014","Manhattan","East Harlem Council for Human Services, Inc.-Boriken Neighborhood Health Center","New Patient Visit Frequency","RET_3",,,,"Community Health Center","2265 3rd Avenue","New York","10035","(40.802411, -73.93633)"
"2014","Brooklyn","Brooklyn Hospital Center-Church Ave","Visit Frequency (12-month)","RET_1","394","81.00","Fourth","Designated AIDS Center","2222 Church Avenue","Brooklyn","11226","(40.650202, -73.95784)"
"2014","Bronx","AECOM DOSA-Melrose Complex","Visit Frequency (12-month)","RET_1","57","100.00","First","Drug Treatment Center","260 E. 161st Street, MOT, M9","Bronx","10451","(40.825482, -73.91898)"
"2014","Brooklyn","Housing Works-East New York Health Center","Gonorrhea Treatment - Pharyngeal Infection","STI_11",,,,"Community Health Center","2640 Pitkin Ave","Brooklyn","11208","(40.674764, -73.87475)"
"2014","Lower Hudson","Lower Hudson_AVERAGE (Before Redaction)","Chlamydia Treatment - Rectal Infection","STI_6","3","75.00",,,,,,
"2014","Bronx","St. Barnabas Hospital-Pathways Center for Comprehensive Care","Pharyngeal Gonorrhea Testing Among MSM and MtF Transgender Patients","STI_9","15","6.70",,"Designated AIDS Center","4422 Third Avenue","Bronx","10457","(40.852491, -73.8914)"
"2014","Bronx","Montefiore Medical Group-CICERO Program-Via Verde","Genital Gonorrhea Testing","STI_7","16","25.00","Fifth","Community Health Center","730 Brook Avenue","Bronx","10455","(40.818965, -73.91227)"
"2014","Bronx","Morrisania Diagnostic and Treatment Center-NYC Health and Hosp. Corp.","ART naïve patients suppressed on last viral load after 12 weeks on ART","VL_3","10","80.00",,"Community Health Center","1225 Gerard Avenue","Bronx","10452","(40.836232, -73.9203)"
"2014","Central-West","Trillium Health","Gonorrhea Treatment - Genital Infection","STI_10",,,,"Community Health Center","259 Monroe Ave.","Rochester","14604","(43.149143, -77.59933)"
"2014","Brooklyn","Lutheran Medical Center - Community Medicine Program","Genital Gonorrhea Testing","STI_7","58","43.10","Fourth","Community Health Center","Multiple locations","Various boroughs","Vario","(40.646758, -74.02153)"
"2014","Long Island","Hudson River Healthcare - Martin Luther King Jr. Health Center [Suffolk DOH until 9/2/14]","Rectal Gonorrhea Testing Among MSM and MtF Transgender Patients","STI_8","14","0.00",,"Community Health Center","1556 Straight Path","Wyandanch","11798","(40.752403, -73.36146)"
"2014","Long Island","Hudson River Healthcare - Martin Luther King Jr. Health Center [Suffolk DOH until 9/2/14]","Antiretroviral Therapy","AR_1","92","92.40","Fourth","Community Health Center","1556 Straight Path","Wyandanch","11798","(40.752403, -73.36146)"
"2014","Bronx","Acacia Network-Promesa BASICS Community Health Center & Mobile Van","Antiretroviral Therapy","AR_1","16","87.50","Fifth","Drug Treatment Center","1064 Franklin Avenue","Bronx","10456","(40.826948, -73.90695)"
"2014","Brooklyn","Brooklyn_AVERAGE (Before Redaction)","ART naïve patients suppressed on last viral load after 12 weeks on ART","VL_3","290","82.90",,,,,,
"2014","Lower Hudson","Westchester Medical Center-AIDS Care Center","Visit Frequency (12-month)","RET_1","334","81.70","Fourth","Designated AIDS Center","95 Grasslands Rd., Cedarwood Hall","Valhalla","10595","(41.077434, -73.81568)"
"2014","Brooklyn","Brooklyn_AVERAGE (Before Redaction)","Pharyngeal Gonorrhea Testing Among MSM and MtF Transgender Patients","STI_9","868","5.60",,,,,,
"2014","Brooklyn","Coney Island Hospital -NYC Health and Hosp. Corp.","Genital Chlamydia Testing","STI_3","82","18.30","Fifth","Designated AIDS Center","2601 Ocean Parkway","Brooklyn","11235","(40.585489, -73.96558)"
"2014","Central-West","Jordan Health Center-Holland Health Center","ART naïve patients suppressed on first viral load after 12 weeks on ART","VL_7","7","85.70",,"Community Health Center","82 Holland St","Rochester","14605","(43.169478, -77.60204)"
"2014","Bronx","Montefiore Medical Group-CICERO Program-Comprehensive Health Care Center","Tobacco Cessation Counseling","TOB_2","39","66.70",,"Community Health Center","305 East 161st Street","Bronx","10451","(40.825462, -73.91699)"
"2014","Bronx","Medalliance Medical Health Services","Chlamydia Treatment - Rectal Infection","STI_6",,,,"Community Health Center","625 East Fordham Road","Bronx","10458","(40.858428, -73.88358)"
"2014","Lower Hudson","Rockland County Department of Health-Infectious Disease Clinic","Chlamydia Treatment - Genital Infection","STI_5",,,,"Community Health Center","50 Sanatorium Road, Building A","Pomona","10970","(41.157512, -74.04053)"
"2014","Manhattan","Asian and Pacific Islander Coalition on HIV/AIDS (APICHA)","New Patient Visit Frequency","RET_3","10","100.00",,"Community Health Center","400 Broadway","New York","10013","(40.718612, -74.00223)"
"2014","Central-West","Central-West_AVERAGE (After Redaction)","Genital Gonorrhea Testing","STI_7","1038","44.10","Fourth",,,,,
"2014","Brooklyn","Interfaith Medical Center","Gonorrhea Treatment - Rectal Infection","STI_12",,,,"Designated AIDS Center","880 Bergen Street","Brooklyn","11238","(40.677003, -73.95816)"
"2014","Long Island","Suffolk County Department of Health Services-Riverhead Health Center","Chlamydia Treatment - Genital Infection","STI_5",,,,"Community Health Center","County Center, 300 Center Drive","Riverhead","11901","(40.913101, -72.66783)"
"2014","Central-West","St. Elizabeth Medical Center-Sister Rose Vincent Family Medicine Center ID Clinic","Genital Chlamydia Testing","STI_3","75","21.30","Fifth","Hospital (non-DAC)","120 Hobart Street","Utica","13501","(43.093191, -75.24134)"
"2014","Bronx","Montefiore Health System-Substance Abuse Treatment Program-Unit I","Baseline Resistance Test (All newly diagnosed patients)","BR_1",,,,"Drug Treatment Center","3550 Jerome Ave.","Bronx","10467","(40.883999, -73.87987)"
"2014","Brooklyn","Brooklyn Hospital Center-PATH Center","Gonorrhea Treatment - Pharyngeal Infection","STI_11",,,,"Designated AIDS Center","121 Dekalb Avenue","Brooklyn","11201","(40.690774, -73.97796)"
"2014","Bronx","Brightpoint Health-Inwood Health Center","Rectal Chlamydia Testing Among MSM and MtF Transgender Patients","STI_4","182","13.70",,"Community Health Center","1545 Inwood Avenue","Bronx","10452","(40.844133, -73.91666)"
"2014","Brooklyn","Joseph P. Addabbo Family Health Center-South Brooklyn Health Center","Genital Chlamydia Testing","STI_3","48","68.80","Third","Community Health Center","120 Richards Street","Brooklyn","11231","(40.677823, -74.00996)"
"2014","Bronx","Montefiore Medical Group-CICERO Program-University Avenue Family Practice","Visit Frequency (24-month)","RET_2","9","55.60","Fifth","Community Health Center","105 West 188th Street","Bronx","10468","(40.864381, -73.90431)"
"2014","Brooklyn","East New York Diagnostic and Treatment Center-HATS Unit-NYC Health and Hosp. Corp.","Gonorrhea Treatment - Genital Infection","STI_10",,,,"Community Health Center","2094 Pitkin Ave.","Brooklyn","11207","(40.671755, -73.89528)"
"2014","Lower Hudson","Lower Hudson_AVERAGE (After Redaction)","Genital Chlamydia Testing","STI_3","599","63.10","Third",,,,,
"2013","Brooklyn","Brooklyn_AVERAGE (Before Redaction)","Rectal Gonorrhea Testing Among MSM and MtF Transgender Patients","STI_8","348","9.80",,,,,,
"2014","Manhattan","Community Healthcare Network-Helen B. Atkinson Health Center","Chlamydia Treatment - Rectal Infection","STI_6",,,,"Community Health Center","81 West 115th Street","New York","10026","(40.801292, -73.94946)"
"2014","Bronx","Montefiore Medical Group-CICERO Program-West Farms Family Practice","Tobacco Cessation Counseling","TOB_2","7","57.10",,"Community Health Center","1055 East Tremont Avenue","Bronx","10460","(40.840538, -73.8795)"
"2014","Manhattan","START Treatment and Recovery Centers-Starting Point","Chlamydia Treatment - Rectal Infection","STI_6",,,,"Drug Treatment Center","119-121 West 124th Street","New York","10027","(40.807609, -73.94688)"
"2014","Bronx","Segundo Ruiz Belvis Diagnostic & Treatment Ctr-NYC Health and Hosp. Corp.","Tobacco Cessation Counseling","TOB_2","12","100.00",,"Community Health Center","545 East 142nd St, 2nd Floor","Bronx","10454","(40.81013, -73.91577)"
"2014","Long Island","Hudson River Healthcare - Marilyn Shellabarger Health Center at Shirley [Suffolk DOH until 11/1/14]","Visit Frequency (24-month)","RET_2","15","86.70","Second","Community Health Center","550 Montauk Highway and Dorsett Place","Shirley","11967","(40.800563, -72.87841)"
"2014","Brooklyn","Brownsville Multi-Service Family Health Center-Brownsville Multi-Service (BMS) Main","ART naïve patients suppressed on last viral load after 12 weeks on ART","VL_3",,,,"Community Health Center","592 Rockaway Ave","Brooklyn","11212","(40.665347, -73.90992)"
