"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","licensestatus","licensestatusdesc","ubi","bondfirmname","bondaccountid","bondamt","receivedbyl_i","bondeffectivedate","bondexpirationdate","bondcanceldate","bondimpaired","bondimpaireddate"
"101 Pest Control LLC","101PEPC881MZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603217463","Contractors Bonding & Insurance Co","SI4948","6000","2012-07-09T00:00:00.000","2012-07-06T00:00:00.000","Until Canceled",,,
"101 WEST LLC","101WEWL795L8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604550842","Western Surety Co","65493172","12000","2021-05-20T00:00:00.000","2021-05-11T00:00:00.000","Until Canceled",,,
"1040WINDOWREMODELING L L C","1040WLL806MG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604478977","Western Surety Co","65125981","12000","2020-07-07T00:00:00.000","2020-06-29T00:00:00.000","Until Canceled",,,
"10TH CASTLE LLC","10THCCL851D7","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603488046","Contractors Bonding & Insurance Co","PI9634","12000","2015-03-27T00:00:00.000","2015-03-25T00:00:00.000","Until Canceled",,,
"10XR","10XR***780N5","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603291468","Western Surety Co","66315312","6000","2022-08-25T00:00:00.000","2022-07-15T00:00:00.000","Until Canceled",,,
"10/Zero5 General Contr LLC","10ZERGC793J2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604193408","Lexon Ins Co","9830881","12000","2021-04-22T00:00:00.000","2021-04-20T00:00:00.000","Until Canceled",,,
"110% LLC","110LLL*812CA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604381597","Western Surety Co","64492978","12000","2019-02-01T00:00:00.000","2019-02-01T00:00:00.000","Until Canceled",,,
"11202 LLC","11202L*815KL","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604026410","Westchester Fire Insurance Company","K15376831","12000","2019-05-13T00:00:00.000","2019-04-24T00:00:00.000","Until Canceled",,,
"11210 LLC","11210L*833M8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603538416","Ohio Cas Ins Co","810588C","12000","2020-10-06T00:00:00.000","2019-08-26T00:00:00.000","03/14/2022",,,
"11210 LLC","11210L*833M8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603538416","Ohio Cas Ins Co","45K014706","12000","2022-03-21T00:00:00.000","2022-03-14T00:00:00.000","Until Canceled",,,
"11210 LLC","11210L*833M8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603538416","Developers Surety & Indem Co","810588C","12000","2017-07-28T00:00:00.000","2017-05-26T00:00:00.000","08/26/2019",,,
"1134 LAKESIDE SOUTH LLC","1134LLS862PF","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603421473","Developers Surety & Indem Co","665665C","12000","2014-10-06T00:00:00.000","2014-09-26T00:00:00.000",,"2017-11-09T00:00:00.000",,
"11TH HR WELDING  FAB & RPR LLC","11THHHW785NQ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604825752","Hudson National Ins Co","805928","6000","2022-08-18T00:00:00.000","2022-08-02T00:00:00.000","Until Canceled",,,
"1-2-3 CONSTRUCTION LLC","123COCL847CZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603581687","Ironshore Indemnity Inc","SUR40008294","12000","2016-02-09T00:00:00.000","2016-02-05T00:00:00.000","02/05/2020",,,
"1-2-3 CONSTRUCTION LLC","123COCL847CZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603581687","Navigators Ins Co","NAV00037239","12000","2021-01-29T00:00:00.000","2021-02-05T00:00:00.000","Until Canceled",,,
"1-2-3 CONSTRUCTION LLC","123COCL847CZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603581687","Lexon Ins Co","9829529","12000","2020-02-05T00:00:00.000","2020-02-05T00:00:00.000",,"2021-02-05T00:00:00.000",,
"123 Electric Service Inc","123ELES877DA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602762749","Ohio Cas Ins Co","023018576","12000","2013-03-01T00:00:00.000","2013-02-25T00:00:00.000","Until Canceled",,,
"123 Electric Service Inc","123ELES892CP","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","602762749","American States Insurance Co","32S215909","4000","2012-05-09T00:00:00.000","2012-04-20T00:00:00.000","Until Canceled",,,
"123 FLOOR LLC","123FLFL783LT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604929984","Contractors Bonding & Insurance Co","SN6940","12000","2022-06-30T00:00:00.000","2022-06-13T00:00:00.000","Until Canceled",,,
"12 BROTHERS CONSTRUCTION LLC","12BROBC809BS","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604555192","American Contractors Indem CO","100478249","12000","2020-01-10T00:00:00.000","2020-01-09T00:00:00.000","Until Canceled",,,
"12 CUSTOM HOMES LLC","12CUSCH819RK","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604543201","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN0345","12000","2021-12-01T00:00:00.000","2021-12-09T00:00:00.000","Until Canceled",,,
"12 CUSTOM HOMES LLC","12CUSCH819RK","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604543201","Navigators Ins Co","NAV00013549","12000","2019-12-12T00:00:00.000","2019-12-09T00:00:00.000","Until Canceled",,,
"12 DECKS & FENCES LLC","12DECDF813MN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604470991","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN6510","12000","2022-05-09T00:00:00.000","2022-06-13T00:00:00.000","Until Canceled",,,
"12 DECKS & FENCES LLC","12DECDF813MN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604470991","WESTERN NATIONAL MUTUAL INS","51070","12000","2019-07-15T00:00:00.000","2019-06-13T00:00:00.000",,"2022-06-13T00:00:00.000",,
"12DECKS LLC","12DECL*781KK","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604889153","WESTERN NATIONAL MUTUAL INS CO","65062","12000","2022-05-12T00:00:00.000","2022-03-30T00:00:00.000","Until Canceled",,,
"12 FRAMERS LLC","12FRAFL796PN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604596411","HARTFORD INSURANCE CO THE MIDWEST","57BSBIK9260","12000","2021-10-13T00:00:00.000","2021-08-18T00:00:00.000","Until Canceled",,,
"12 GENERAL CONSTRUCTION LLC","12GENGC815JA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604417399","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN3710","12000","2022-02-24T00:00:00.000","2022-03-27T00:00:00.000","Until Canceled",,,
"12 GENERAL CONSTRUCTION LLC","12GENGC815JA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604417399","Western Surety Co","64578889","12000","2019-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2022-04-28T00:00:00.000",,
"12 GENERAL HANDYMAN","12GENGH844L4","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603592674","Wesco Insurance Co","46WB073646","12000","2016-06-24T00:00:00.000","2016-06-24T00:00:00.000",,"2019-03-09T00:00:00.000",,
"THE 12 OF SEATTLE LLC","12SEA1S812KZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604440019","American Contractors Indem CO","100357752","6000","2019-05-09T00:00:00.000","2019-05-08T00:00:00.000","Until Canceled",,,
"The 12 of Seattle","12SEA1S837MU","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","604155200","American Contractors Indem CO","100357752","6000","2017-07-31T00:00:00.000","2017-07-31T00:00:00.000","Until Canceled",,,
"12TH AVENUE IRON INC","12THAAI925C2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602706076","Platte River Ins Co","41253927","12000","2012-05-08T00:00:00.000","2012-08-02T00:00:00.000","Until Canceled",,,
"12TH MAN CONSTRUCTION INC","12THMMC846K3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603617714","Western Surety Co","65068871","12000","2020-05-20T00:00:00.000","2020-05-23T00:00:00.000","Until Canceled",,,
"12TH MAN CONSTRUCTION INC","12THMMC846K3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603617714","Wesco Insurance Co","46WB076343","12000","2016-05-23T00:00:00.000","2016-05-23T00:00:00.000",,"2020-05-24T00:00:00.000",,
"12TH MAN REMODELING LLC","12THMMR842C2","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603566247","American Contractors Indem CO","100295845","12000","2016-02-22T00:00:00.000","2016-02-09T00:00:00.000","12/28/2017",,,
"12TH MAN ROOFING LLC","12THMMR846QC","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603558053","Wesco Insurance Co","46WB080997","6000","2016-11-03T00:00:00.000","2016-11-03T00:00:00.000","Until Canceled",,,
"12TH MAN TILING","12THMMT833JF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602867631","Contractors Bonding & Insurance Co","SL3260","12000","2017-04-06T00:00:00.000","2017-04-05T00:00:00.000","Until Canceled",,,
"12 TILE","12TILT*852LA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602703282","Wesco Insurance Co","46WB063784","6000","2015-06-01T00:00:00.000","2015-05-19T00:00:00.000",,"2020-05-23T00:00:00.000",,
"12 TILE","12TILT*852LA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602703282","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN6790","6000","2022-05-19T00:00:00.000","2022-05-19T00:00:00.000","Until Canceled",,,
"12 TILE","12TILT*852LA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602703282","Navigators Ins Co","NAV00024685","6000","2020-05-19T00:00:00.000","2020-05-19T00:00:00.000",,"2022-05-19T00:00:00.000",,
"132ND CONSTRUCTS LLC","132NDCL804BG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604547554","WESTERN NATIONAL MUTUAL INS CO","53317","12000","2020-01-07T00:00:00.000","2020-01-01T00:00:00.000","Until Canceled",,,
"132R LLC","132RLL*795R1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604836948","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN0601","12000","2021-12-21T00:00:00.000","2021-12-06T00:00:00.000","Until Canceled",,,
"16D LLC","16DLLL*882JT","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","603092523","Contractors Bonding & Insurance Co","sj6051","4000","2012-04-30T00:00:00.000","2012-04-10T00:00:00.000",,"2019-05-16T00:00:00.000",,
"16D LLC","16DLLL*882JT","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","603092523","ATLANTIC SPECIALTY INSURANCE COMPANY","810001045","4000","2019-04-03T00:00:00.000","2019-03-21T00:00:00.000","Until Canceled",,,
"16D LLC","16DLLL*895D2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603092523","CBIC","SI9069","12000","2011-03-22T00:00:00.000","2011-03-18T00:00:00.000",,"2019-04-28T00:00:00.000",,
"16D LLC","16DLLL*895D2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603092523","ATLANTIC SPECIALTY INSURANCE COMPANY","810001044","12000","2019-04-04T00:00:00.000","2019-03-21T00:00:00.000","Until Canceled",,,
"1702-WLD ER 8 P23 LLC","1702WE8823DF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604229353","Ohio Cas Ins Co","812082C","12000","2020-10-06T00:00:00.000","2019-08-26T00:00:00.000","03/14/2022",,,
"1702-WLD ER 8 P23 LLC","1702WE8823DF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604229353","Ohio Cas Ins Co","45K015873","12000","2022-03-21T00:00:00.000","2022-03-14T00:00:00.000","Until Canceled",,,
"1702-WLD ER 8 P23 LLC","1702WE8823DF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604229353","Developers Surety & Indem Co","812082C","12000","2018-03-06T00:00:00.000","2018-02-21T00:00:00.000","08/26/2019",,,
"1794 EXCAVATING LLC","1794EEL782DT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604866409","Merchants Bonding Co (Mutual)","WA5859105","12000","2022-03-30T00:00:00.000","2022-03-24T00:00:00.000","Until Canceled",,,
"1-800-BOARDUP","1800B**917L9","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","600458809","Ohio Cas Ins Co","361563C","6000","2020-10-06T00:00:00.000","2019-08-26T00:00:00.000","Until Canceled",,,
"1-800-BOARDUP","1800B**917L9","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","600458809","Developers Surety & Indem Co","361563C","6000","2009-06-29T00:00:00.000","2009-06-18T00:00:00.000","08/26/2019",,,
"1-800-BOARDUP","1800B**929O9","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602373112","Lexon Ins Co","9818742","6000","2014-07-30T00:00:00.000","2014-09-26T00:00:00.000","Until Canceled",,,
"1-800 PLUMBER & AIR PACIFIC NW","1800PPA785KB","PC","PLUMBING CONTRACTOR","A","ACTIVE","604745340","Western Surety Co","66184582","6000","2022-04-29T00:00:00.000","2022-04-01T00:00:00.000","Until Canceled",,,
"1-800-WATERDAMAGE","1800W**955OO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602512332","Ohio Cas Ins Co","548282C","12000","2020-10-06T00:00:00.000","2019-08-26T00:00:00.000","Until Canceled",,,
"1-800-WATERDAMAGE","1800W**955OO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602512332","Developers Surety & Indem Co","548282C","12000","2008-11-20T00:00:00.000","2008-11-19T00:00:00.000","08/26/2019",,,
"1-800 WATER DAMAGE/S PGT SD","1800WWD793B6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604390564","United States Fire Insurance Co","615245832","12000","2021-01-26T00:00:00.000","2021-01-06T00:00:00.000","Until Canceled",,,
"1801-WLD LS TOWNHOMES LLC","1801WLT816KN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604397976","International Fidelity Ins Co","SAIFSU0756926","12000","2019-05-15T00:00:00.000","2019-04-26T00:00:00.000","Until Canceled",,,
"180 CONSTRUCTION LLC","180COCL793NU","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604756852","American Contractors Indem CO","100600695","12000","2021-08-31T00:00:00.000","2021-08-26T00:00:00.000","Until Canceled",,,
"1812 EXTERIOR SOLUTIONS LLC","1812EES783DW","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604875004","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN4076","12000","2022-03-16T00:00:00.000","2022-03-02T00:00:00.000","Until Canceled",,,
"1855SLABJACK","1855S**854DQ","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603107839","RLI Ins Co","LSM0334316","12000","2015-03-18T00:00:00.000","2015-03-12T00:00:00.000","Until Canceled",,,
"1859 PAINTING","1859PP*865NL","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603426950","American Contractors Indem CO","100254740","6000","2014-08-13T00:00:00.000","2014-08-12T00:00:00.000",,"2017-09-30T00:00:00.000",,
"1859 PAINTING","1859PP*865NL","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603426950","Western Surety Co","65726195","6000","2021-12-17T00:00:00.000","2021-12-15T00:00:00.000","Until Canceled",,,
"1859 PAINTING","1859PP*865NL","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603426950","Western Surety Co","64696886","6000","2019-06-25T00:00:00.000","2019-06-25T00:00:00.000",,"2021-08-05T00:00:00.000",,
"1859 PAINTING","1859PP*865NL","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603426950","Western Surety Co","63301340","6000","2017-08-15T00:00:00.000","2017-08-12T00:00:00.000",,"2018-09-27T00:00:00.000",,
"185TH BOTHELL LLC","185THBL790K6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604264362","Western Surety Co","65485369","12000","2021-05-26T00:00:00.000","2021-05-05T00:00:00.000","Until Canceled",,,
"1889 BUILDING CONSTRUCTION LLC","1889BBC879PM","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603340489","American Contractors Indem CO","100232992","12000","2013-10-14T00:00:00.000","2013-10-08T00:00:00.000","Until Canceled",,,
"18 SERIES HANDYMAN SERVICS LLC","18SERSH796R8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604846747","Western Surety Co","65733042","12000","2021-12-28T00:00:00.000","2022-01-03T00:00:00.000","Until Canceled",,,
"1901-WLD KENMORE 68TH LLC","1901WK6793NE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604558126","Harco National Insurance Co","0789386","12000","2021-08-04T00:00:00.000","2021-03-24T00:00:00.000","Until Canceled",,,
"1977 CONSTRUCTION","1977CC*825P6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604323774","Wesco Insurance Co","46WB098409","6000","2018-10-26T00:00:00.000","2018-10-22T00:00:00.000",,"2019-10-25T00:00:00.000",,
"1977 CONSTRUCTION","1977CC*825P6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604323774","American Contractors Indem CO","100465828","6000","2019-10-17T00:00:00.000","2019-10-22T00:00:00.000","Until Canceled",,,
"1-A CONSTRUCTION & FIRE LLP","1ACONCF942QF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602313201","WESTERN SURETY CO","14898486","12000","2006-11-06T00:00:00.000","2006-10-10T00:00:00.000","Until Canceled",,,
"A-1 AIR VENT NORTHERN STTS LLC","1AIRVAV824KT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602387833","Western Surety Co","63656640","6000","2018-05-29T00:00:00.000","2018-05-18T00:00:00.000","Until Canceled",,,
"#1 AQUA MATTERS","1AQUAAM831PC","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","600471418","Western Surety Co","63368289","12000","2017-10-03T00:00:00.000","2017-09-28T00:00:00.000","Until Canceled",,,
"1 BLOCK BROS LLC","1BLOCBB811DA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604367466","Western Surety Co","64506874","12000","2019-03-01T00:00:00.000","2019-02-01T00:00:00.000",,"2021-02-01T00:00:00.000",,
"1 BLOCK BROS LLC","1BLOCBB811DA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604367466","Western Surety Co","65312050","12000","2021-02-02T00:00:00.000","2021-02-01T00:00:00.000","Until Canceled",,,
"A-1 BUILDERS & ADAPTATIONS","1BUILBA839L3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604128657","RLI Ins Co","LSM0965131","12000","2017-06-23T00:00:00.000","2017-07-01T00:00:00.000","Until Canceled",,,
"A-1 Carpentry LLC","1CARPCL871LF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603306782","American Contractors Indem CO","100309717","12000","2016-05-05T00:00:00.000","2016-05-03T00:00:00.000","Until Canceled",,,
"A-1 CONCRETE CUTTING","1CONCCC834ML","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604136713","American Contractors Indem CO","100351112","12000","2017-07-13T00:00:00.000","2017-07-13T00:00:00.000","Until Canceled",,,
"#1 CONSTRUCTION","1CONSC*856LS","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603504499","Ohio Cas Ins Co","32S469742","12000","2015-06-10T00:00:00.000","2015-05-04T00:00:00.000","09/21/2020",,,
"+1 Construction LLC","1CONSCL842KL","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603593899","Navigators Ins Co","NAV00023202","12000","2020-05-15T00:00:00.000","2020-05-03T00:00:00.000","Until Canceled",,,
"+1 Construction LLC","1CONSCL842KL","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603593899","Ironshore Indemnity Inc","SUR40009478","12000","2016-05-13T00:00:00.000","2016-05-03T00:00:00.000",,"2017-05-04T00:00:00.000",,
"+1 Construction LLC","1CONSCL842KL","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603593899","Wesco Insurance Co","46WB085626","12000","2017-05-05T00:00:00.000","2017-05-03T00:00:00.000",,"2020-05-08T00:00:00.000",,
"A-1 CONSTRUCTION & REMODELING","1CONSCR794JW","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604733506","Merchants Bonding Co (Mutual)","WA5334078","12000","2021-04-16T00:00:00.000","2020-09-15T00:00:00.000","Until Canceled",,,
"A-1 CONSTRUCTION & REMODELING","1CONSCR818RJ","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","601614025","Navigators Ins Co","NAV00013718","12000","2019-12-11T00:00:00.000","2019-12-30T00:00:00.000",,"2021-02-04T00:00:00.000",,
"A-1 CONSTRUCTION & REMODELING","1CONSCR818RJ","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","601614025","Merchants Bonding Co (Mutual)","WA5334078","12000","2020-09-16T00:00:00.000","2020-09-15T00:00:00.000","Until Canceled",,,
"1 CROWN FLOORING LLC","1CROWCF847OG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604034000","Wesco Insurance Co","46-WB079491","12000","2016-09-07T00:00:00.000","2016-09-02T00:00:00.000",,"2017-10-05T00:00:00.000",,
"1 CROWN FLOORING LLC","1CROWCF847OG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604034000","Nationwide Mutual Ins Co","7900460803","25000","2017-11-01T00:00:00.000","2017-10-26T00:00:00.000","Until Canceled",,,
"A-1 DOOR SERVICE-PLUS RMDLNG","1DOORDS886NG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","601281755","Contractors Bonding & Insurance Co","FD5280","12000","2012-08-07T00:00:00.000","2012-08-07T00:00:00.000","Until Canceled",,,
"A-1 DRILLING & DIGGING INC","1DRILDD786CQ","PC","PLUMBING CONTRACTOR","A","ACTIVE","601592297","Lexon Ins Co","9833631","6000","2021-09-03T00:00:00.000","2021-08-30T00:00:00.000","Until Canceled",,,
"A-1 DRILLING & DIGGING INC","1DRILDD786TQ","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","601592297","Lexon Ins Co","9833631","6000","2021-09-03T00:00:00.000","2021-08-30T00:00:00.000","Until Canceled",,,
"A-1 DRILLING & DIGGING INC","1DRILDD792O2","PC","PLUMBING CONTRACTOR","B","SUPERCEDED","601592297","Lexon Ins Co","9833631","6000","2021-09-03T00:00:00.000","2021-08-30T00:00:00.000","Until Canceled",,,
"A-1 Electrical Services","1ELECES916NC","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","602938833","CBIC","SI3607","4000","2009-08-03T00:00:00.000","2009-08-01T00:00:00.000","Until Canceled",,,
"A-1 EXTERIOR LLC","1EXTEEL816LJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604442025","NORTH RIVER INSURANCE COMPANY THE","46CF804335","12000","2022-05-05T00:00:00.000","2022-05-05T00:00:00.000","Until Canceled",,,
"A-1 EXTERIOR LLC","1EXTEEL816LJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604442025","Wesco Insurance Co","46WB101918","12000","2019-06-11T00:00:00.000","2019-05-21T00:00:00.000",,"2020-04-09T00:00:00.000",,
"A-1 EXTERIOR LLC","1EXTEEL816LJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604442025","Navigators Ins Co","NAV00022962","12000","2020-04-28T00:00:00.000","2020-04-27T00:00:00.000",,"2022-04-28T00:00:00.000",,
"1 EZ SEPTIC SYSTEM INSTLR LLC","1EZSEES807OB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604628096","NORTH RIVER INSURANCE COMPANY THE","46CF800570","12000","2021-08-02T00:00:00.000","2021-09-09T00:00:00.000","Until Canceled",,,
"1 EZ SEPTIC SYSTEM INSTLR LLC","1EZSEES807OB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604628096","Navigators Ins Co","NAV00031776","12000","2020-09-10T00:00:00.000","2020-09-09T00:00:00.000",,"2021-09-09T00:00:00.000",,
"A-1 FENCE RESTORE LLC","1FENC1F782MK","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604793954","Travelers Cas and Surety Co of America","107667665","12000","2022-07-28T00:00:00.000","2022-07-27T00:00:00.000","Until Canceled",,,
"A1 FLOORING LLC","1FLOO1F844DZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603586750","Old Republic Surety Co","RCR0487634","12000","2016-03-09T00:00:00.000","2016-01-24T00:00:00.000","Until Canceled",,,
"A-1 Floors N More LLC","1FLOOFM874DE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603274551","Old Republic Surety Co","W150151886","12000","2013-03-05T00:00:00.000","2013-02-25T00:00:00.000",,"2018-07-03T00:00:00.000",,
"A-1 Floors N More LLC","1FLOOFM874DE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603274551","Western Surety Co","63488960","12000","2018-02-14T00:00:00.000","2018-02-25T00:00:00.000","Until Canceled",,,
