"school_name","school_year","reported_enrollment","percent_complete_for_all_immunizations","percent_conditional","percent_out_of_compliance","percent_with_any_exemption","percent_with_medical_exemption","percent_with_personal_exemption","percent_with_religious_exemption","percent_with_religious_membership_exemption","percent_complete_for_diphtheria_tetanus","percent_complete_for_pertussis","percent_complete_for_measles_mumps_rubella","percent_complete_for_polio","percent_complete_for_hepatitisb","percent_complete_for_varicella","number_complete_for_all_immunizations","number_conditional","number_out_of_compliance","number_with_any_exemption","number_with_medical_exemption","number_with_personal_exemption","number_with_religious_exemption","number_with_religious_membership_exemption","number_incomplete_for_diphtheria_tetanus","number_incomplete_for_pertussis","number_incomplete_for_measles_mumps_rubella","number_incomplete_for_polio","number_incomplete_for_hepatitisb","number_incomplete_for_varicella","reported","address","city","school_district","county","esd","grade_levels","has_kindergarten","has_6thgrade","location_1"
"FINN HILL JUNIOR HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","8040 NE 132ND ST","KIRKLAND","LAKE WASHINGTON SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","6-8","N","Y",
"CARMICHAEL MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","620 THAYER DRIVE","RICHLAND","RICHLAND SCHOOL DISTRICT","BENTON","EDUCATIONAL SERVICE DISTRICT 123","6-8","N","Y",
"CHIMACUM ELEMENTARY SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","PO BOX 278","CHIMACUM","CHIMACUM SCHOOL DISTRICT","JEFFERSON","OLYMPIC EDUCATIONAL SERVICE DISTRICT 114","3-5","N","N",
"EASTMONT SENIOR HIGH","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","955 3RD STREET NE","EAST WENATCHEE","EASTMONT SCHOOL DISTRICT","DOUGLAS","NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171","10-12","N","N",
"INSIGHT SCHOOL OF WASHINGTON","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","411 SOUTH SPARTAN AVE","FORKS","QUILLAYUTE VALLEY SCHOOL DISTRICT","CLALLAM","OLYMPIC EDUCATIONAL SERVICE DISTRICT 114","9-12","N","N",
"GRANT ELEMENTARY","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","451 3RD NW","EPHRATA","EPHRATA SCHOOL DISTRICT","GRANT","NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171","K -4","Y","N",
"JEMTEGAARD MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","35300 SE EVERGREEN BLVD.","WASHOUGAL","WASHOUGAL SCHOOL DISTRICT","CLARK","EDUCATIONAL SERVICE DISTRICT 112","6-8","N","Y",
"CHINOOK MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","18650 42ND AVE S","SEATAC","HIGHLINE SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","7-8","N","N",
"CHINOOK MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","2001  98TH AVENUE NE","BELLEVUE","BELLEVUE SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","6-8","N","Y",
"DECATUR HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","2800 SW 320TH ST","FEDERAL WAY","FEDERAL WAY SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","9-12","N","N",
"CRYSTAL SPRINGS ELEMENTARY","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","21615 9 AV SE","BOTHELL","NORTHSHORE SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","K -6","Y","Y",
"EXPLORATIONS ACADEMY/GLOBAL COMMUNITY INSTITUTE","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","1701 ELLIS STREET","BELLINGHAM","BELLINGHAM SCHOOL DISTRICT","WHATCOM","NORTHWEST EDUCATIONAL SERVICE DISTRICT 189","8-12","N","N",
"FOOTHILLS MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","1410 MAPLE ST","WENATCHEE","WENATCHEE SCHOOL DISTRICT","CHELAN","NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171","6-8","N","Y",
"HARRINGTON HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","PO BOX 204","HARRINGTON","HARRINGTON SCHOOL DISTRICT","LINCOLN","EDUCATIONAL SERVICE DISTRICT 101","7-12","N","N",
"JANE ADDAMS K-8","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","11051 34 AVE NE","SEATTLE","SEATTLE PUBLIC SCHOOLS","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","K -8","Y","Y",
"DEER PARK MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","S. 347 COLVILLE AVE.","DEER PARK","DEER PARK SCHOOL DISTRICT","SPOKANE","EDUCATIONAL SERVICE DISTRICT 101","6-8","N","Y",
"HEALTH SCIENCES AND HUMAN SERVICES","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","830 SW 116TH ST","SEATTLE","HIGHLINE SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","9-12","N","N",
"FRONTIER MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","22110 108TH AVE E","GRAHAM","BETHEL SCHOOL DISTRICT","PIERCE","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","7-8","N","N",
"COLLEGE PLACE MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","7501 208TH ST SW","LYNNWOOD","EDMONDS SCHOOL DISTRICT","SNOHOMISH","NORTHWEST EDUCATIONAL SERVICE DISTRICT 189","7-8","N","N",
"AIM HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","1601 AVENUE D","SNOHOMISH","SNOHOMISH SCHOOL DISTRICT","SNOHOMISH","NORTHWEST EDUCATIONAL SERVICE DISTRICT 189","9-12","N","N",
"GRIFFIN BAY SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","PO BOX 458","FRIDAY HARBOR","SAN JUAN ISLAND SCHOOL DISTRICT","SAN JUAN","NORTHWEST EDUCATIONAL SERVICE DISTRICT 189","K -12","Y","Y",
"INTL SCH OF COMMUNICATIONS","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","8301 84TH STREET NE","MARYSVILLE","MARYSVILLE SCHOOL DISTRICT","SNOHOMISH","NORTHWEST EDUCATIONAL SERVICE DISTRICT 189","9-12","N","N",
"AKI KUROSE MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","3928 S GRAHAM ST","SEATTLE","SEATTLE PUBLIC SCHOOLS","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","6-8","N","Y",
"CASCADE CHRISTIAN JUNIOR HIGH AND HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","811 21ST ST SE","PUYALLUP","PUYALLUP SCHOOL DISTRICT","PIERCE","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","7-12","N","N",
"CHOICE ALTERNATIVE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","807 W. PINE ST.","SHELTON","SHELTON SCHOOL DISTRICT","MASON","EDUCATIONAL SERVICE DISTRICT 113","K -12","Y","Y",
"ANACORTES MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","2202 M AVENUE","ANACORTES","ANACORTES SCHOOL DISTRICT","SKAGIT","NORTHWEST EDUCATIONAL SERVICE DISTRICT 189","7-8","N","N",
"ISSAQUAH MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","400 1ST AVE SE","ISSAQUAH","ISSAQUAH SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","6-8","N","Y",
"FERRUCCI JUNIOR HIGH","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","3213 WILDWOOD PK DR","PUYALLUP","PUYALLUP SCHOOL DISTRICT","PIERCE","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","7-9","N","N",
"CHIEF MOSES MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","1111 E NELSON ROAD","MOSES LAKE","MOSES LAKE SCHOOL DISTRICT","GRANT","NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171","6-8","N","Y",
"CUSICK JR SR HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","305 MONUMENTAL WAY","CUSICK","CUSICK SCHOOL DISTRICT","PEND OREILLE","EDUCATIONAL SERVICE DISTRICT 101","7-12","N","N",
"EAST SIDE ALT","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","7050 TIBARDIS ROAD NW","BREMERTON","CENTRAL KITSAP SCHOOL DISTRICT","KITSAP","OLYMPIC EDUCATIONAL SERVICE DISTRICT 114","10-12","N","N",
"GOLDENDALE MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","520 E. COLLINS DR.","GOLDENDALE","GOLDENDALE SCHOOL DISTRICT","KLICKITAT","EDUCATIONAL SERVICE DISTRICT 105","5-8","N","Y",
"EXPLORER WEST MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","10015 28TH AVE SW","SEATTLE","HIGHLINE SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","6-8","N","Y",
"GARRISON MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","906 CHASE ST","WALLA WALLA","WALLA WALLA PUBLIC SCHOOLS","WALLA WALLA","EDUCATIONAL SERVICE DISTRICT 123","6-8","N","Y",
"BELLINGHAM HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","2020 CORNWALL AVE","BELLINGHAM","BELLINGHAM SCHOOL DISTRICT","WHATCOM","NORTHWEST EDUCATIONAL SERVICE DISTRICT 189","9-12","N","N",
"CHENEY HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","460 N SIXTH ST","CHENEY","CHENEY SCHOOL DISTRICT","SPOKANE","EDUCATIONAL SERVICE DISTRICT 101","9-12","N","N",
"DES MOINES ELEMENTARY","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","22001 9TH AVE S","DES MOINES","HIGHLINE SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","K -6","Y","Y",
"CORNERSTONE CHRISTIAN SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","8872 NORTHWOOD RD","LYNDEN","LYNDEN SCHOOL DISTRICT","WHATCOM","NORTHWEST EDUCATIONAL SERVICE DISTRICT 189","1-12","N","Y",
"DISCOVERY SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","12801 84TH NE","KIRKLAND","LAKE WASHINGTON SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","K -5","Y","N",
"ELMA MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","1235 MONTE-ELMA RD.","ELMA","ELMA SCHOOL DISTRICT","GRAYS HARBOR","EDUCATIONAL SERVICE DISTRICT 113","6-8","N","Y",
"BRIGHTMONT ACADEMY--BELLEVUE CAMPUS","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","12360 NE 8TH ST  SUITE 210","BELLEVUE","BELLEVUE SCHOOL DISTRICT","KING","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","6-12","N","Y",
"GRAY MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","6229 S TYLER ST","TACOMA","TACOMA SCHOOL DISTRICT","PIERCE","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","6-8","N","Y",
"ALTERNATIVE SCHOOL (METHOW VALLEY INDEPENDENT  LC)","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","18 TWIN LAKES RD.","WINTHROP","METHOW VALLEY SCHOOL DISTRICT","OKANOGAN","NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171","9-12","N","N",
"EATONVILLE HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","PO BOX 699","EATONVILLE","EATONVILLE SCHOOL DISTRICT","PIERCE","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","9-12","N","N",
"FRANKLIN PIERCE HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","11002 18TH AVE E","TACOMA","FRANKLIN PIERCE SCHOOL DISTRICT","PIERCE","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","9-12","N","N",
"GREENACRES MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","17409 E SPRAGUE AVENUE","SPOKANE VALLEY","CENTRAL VALLEY SCHOOL DISTRICT","SPOKANE","EDUCATIONAL SERVICE DISTRICT 101","6-8","N","Y",
"CENTENNIAL MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","3000 SOUTH MACHIAS ROAD","SNOHOMISH","SNOHOMISH SCHOOL DISTRICT","SNOHOMISH","NORTHWEST EDUCATIONAL SERVICE DISTRICT 189","7-8","N","N",
"CAMP OUTLOOK","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","PO BOX 829","CONNELL","NORTH FRANKLIN SCHOOL DISTRICT","FRANKLIN","EDUCATIONAL SERVICE DISTRICT 123","9","N","N",
"CASTLE ROCK HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","5180 WESTSIDE HWY","CASTLE ROCK","CASTLE ROCK SCHOOL DISTRICT","COWLITZ","EDUCATIONAL SERVICE DISTRICT 112","9-12","N","N",
"APOLO HIGH SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","241 NORTH MILITARY ROAD","WINLOCK","WINLOCK SCHOOL DISTRICT","LEWIS","EDUCATIONAL SERVICE DISTRICT 113","6-12","N","Y",
"CEDARCREST MIDDLE SCHOOL","2014-15","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y","19120 13TH AVE CT E","SPANAWAY","BETHEL SCHOOL DISTRICT","PIERCE","PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121","7-8","N","N",
