"ubi","businessname","legalname","businessid","locationid","city"
"604-394-980","AC DRIVING SCHOOL, LLC","AC DRIVING SCHOOL, LLC","1","1","CLARKSTON"
"604-309-214","ACCESSORIES","MILLLAGE, RICH","1","1","CLARKSTON"
"604-356-691","ACCOUNTABILITY ACCOUNTING","MCCARTHY, LORRIE","1","1","CLARKSTON"
"603-379-174","ACCURATE ACCOUNTING SERVICES ELIZABETH A. INGRAHM LLC","ACCURATE ACCOUNTING SERVICES ELIZABETH A. INGRAHM LLC","1","1","ASOTIN"
"604-693-654","ACE CONSTRUCTION & SERVICES LLC","ACE CONSTRUCTION & SERVICES LLC","1","1","CLARKSTON"
"601-761-528","ACEY'S LANDSCAPE SERVICES","ACEY, DENNIS EVARS","1","1","CLARKSTON"
"604-571-070","ACKERLAND SERVICES LLC","ACKERLAND SERVICES LLC","1","1","CLARKSTON"
"603-127-496","ACS","OLIVER, ANGELA MARIE","1","1","CLARKSTON"
"603-331-747","ACTION PROPERTIES LLC","ACTION PROPERTIES LLC","1","1","CLARKSTON"
"602-347-459","ACTION TRANSPORTATION & SERVICES","KLODT, TIMOTHY ROGER","1","1","CLARKSTON"
"602-754-832","ADELE'S STORAGE UNITS","ADELE'S STORAGE UNITS LLC","1","1","CLARKSTON"
"603-300-893","ADOPTANTE PRODUCTIONS","ADOPTANTE, DEBOAH LORRAINE","1","1","CLARKSTON"
"604-209-255","ADVISOR CENTRAL","ADVISOR CENTRAL INVESTOR SERVICES, LLC","1","1","CLARKSTON"
"603-075-652","ADVISOR CENTRAL PROFESSIONALS","ADVISOR CENTRAL PROFESSIONALS, LLC","1","1","CLARKSTON"
"603-430-718","AFAB COMPOSITES & FABRICATION LLC","AFAB COMPOSITES & FABRICATION LLC","1","1","CLARKSTON"
"604-276-701","AFFORDABLE AUTO CARE","AFFORDABLE AUTO CARE","1","1","CLARKSTON"
"604-597-694","AFFORDABLE DRONE SOLUTIONS","WEINERT, WADE WOLFGANG","1","1","ASOTIN"
"602-780-644","AFFORDABLE DVD CREATIONS","FROST, JESSIE ANN","1","1","ASOTIN"
"603-596-852","AFFORDABLE ROOFING","AFFORDABLE ROOFING","1","1","CLARKSTON"
"603-204-735","AFTERSHOCK ELECTRIC LLC","AFTERSHOCK ELECTRIC LLC","1","2","CLARKSTON"
"601-483-251","AGRITECHNICS INTERNATIONAL","SOUTHEAST WASHINGTON ECONOMIC DEVELOPMENT ASSOCIATION","1","1","CLARKSTON"
"602-657-702","AHHI EXCAVATION","AHHI, LAKI ABBOTT","1","1","CLARKSTON"
"604-273-273","AHH-MAZING MASSAGE THERAPY","HEYWOOD, SARA ELIZABETH","1","1","CLARKSTON"
"600-215-865","AIKENS FLOOR COVERING","AIKEN, STEVEN C","1","1","CLARKSTON"
"602-987-204","A-L COMPRESSED GASES","INLAND WELDING SUPPLY, INC.","1","4","CLARKSTON"
"603-268-500","ALBERTSON'S #241","ALBERTSON'S LLC","1","7","CLARKSTON"
"604-078-373","ALEXA ROSE WHITEHEAD","WHITEHEAD, ALEXA ROSE","1","1","CLARKSTON"
"603-557-950","ALEXANDER DAVID","FLORES, DAVID A","1","2","CLARKSTON"
"604-673-184","ALEX'S PET WALKING AND SITTING","WOLTERING, ALEXANDRIA","1","1","CLARKSTON"
"603-231-621","ALL ABOUT AUTO BODY LLC","ALL ABOUT AUTO BODY LLC","1","1","CLARKSTON"
"604-265-992","ALL ABOUT PLUMBING LLC","ALL ABOUT PLUMBING, LLC","1","1","CLARKSTON"
"604-504-432","ALL AMERICAN STORAGE LLC","ALL AMERICAN STORAGE LLC","1","1","CLARKSTON"
"604-405-753","ALL AMERICAN YARD","SOUTHWICK, COLE DERIC","1","1","ASOTIN"
"604-209-371","ALL SPEC CONSTRUCTION","MATNEY, CODY","1","1","CLARKSTON"
"601-505-267","ALL STATE LEGAL MESSENGER SERVICES","PRIM, JOYCE W","1","2","CLARKSTON"
"603-273-673","ALL VALLEY PROPERTY MANAGEMENT INC.","ALL VALLEY PROPERTY MANAGEMENT INC.","1","1","CLARKSTON"
"602-353-594","ALL VALLEY PROPERTY MANAGEMENT, INC","EISELE, DONALD","1","2","CLARKSTON"
"604-490-096","ALLEN AND COMPANY SALON","ALLEN, TARA DAWN","1","1","CLARKSTON"
"601-753-731","ALLIANCE TITLE & ESCROW CORPORATION","ALLIANCE TITLE & ESCROW, LLC","1","1","CLARKSTON"
"602-056-409","ALLIED SUPPLY & JANITORIAL","SULLIVAN, SCOTT","1","1","CLARKSTON"
"603-571-746","ALLISON'S FORMAL DRESSES, LLC","ALLISON'S FORMAL DRESSES, LLC","1","1","CLARKSTON"
"602-924-482","ALL-PHASE CONSTRUCTION & DESIGN LLC","ALL-PHASE CONSTRUCTION & DESIGN LLC","1","2","CLARKSTON"
"602-924-482","ALL-PHASE CONSTRUCTION & DESIGN LLC","ALL-PHASE CONSTRUCTION & DESIGN LLC","1","1","CLARKSTON"
"603-552-064","ALLTERNATIVE LIVING SERVICES","ABBOTT, TANA SUE","1","1","CLARKSTON"
"602-396-402","ALL-WEST","ROSS, ALBERT E","1","1","CLARKSTON"
"603-448-922","ALYSSAS AT EVERGREEN","ROBERTS, ALYSSA","1","1","CLARKSTON"
"601-052-798","ALYSSA'S MASTER PIECES","HOPKINS, ALYSSA JANE","1","1","CLARKSTON"
"603-589-915","AMANDA RENEE HAMBLEN","GARCIA, AMANDA RENEE","1","2","CLARKSTON"
"604-135-592","AMBER RICE","RICE, AMBER D","1","1","CLARKSTON"
"602-945-679","AMBROSON CONSTRUCTION","AMBROSON, BRYAN JOSEPH","1","2","CLARKSTON"
"601-609-896","AMERICAN CONSTRUCTION","CALENE, MATTHEW S","1","1","CLARKSTON"
"604-005-359","AMERICAN DREAM","HANDLEY, DAREL HANK","1","1","CLARKSTON"
"604-442-859","AMERICAN HEALTH AND SAFETY, LLC","AMERICAN HEALTH AND SAFETY, LLC","1","1","CLARKSTON"
"603-096-103","AMERICAN LAWN CARE","NIELSON, RANDON ARTHUR","1","1","CLARKSTON"
"601-971-118","AMERICAN TURBINE, INC.","AMERICAN TURBINE, INC.","1","1","ASOTIN"
"603-574-901","AMP'D HAIR DESIGN","PARKS, THERESA KAYE","1","1","CLARKSTON"
"604-123-388","AMSTERDAM COFFEE CLUB II, LLC","AMSTERDAM COFFEE CLUB II, LLC","1","1","CLARKSTON"
"604-269-919","AMY MOSMAN CC LEWISTON","MOSMAN, AMY WASHINGTON","1","1","CLARKSTON"
"603-595-305","ANATONE CAFE","ANATONE CAFE LLC","1","1","ANATONE"
"600-476-084","ANATONE IRON WORKS & REPAIR","MENDOZA, RAUL L","1","1","ANATONE"
"601-518-105","ANDERSON ENTERPRISES","ANDERSON, JOSEPH RANDOLPH","1","1","ASOTIN"
"604-394-019","ANDREA CHARLES","CHARLES, ANDREA","1","1","CLARKSTON"
"603-492-263","ANDREASEN CONTRACTING","ANDREASEN, JEFFREY NICHOLAS","1","1","CLARKSTON"
"604-358-482","ANDREW MICHAEL GIBBS","GIBBS, ANDREW MICHAEL","1","1","ASOTIN"
"603-007-443","ANDREW'S DELIVERY SERVICE","LOSETH, ANDREW CHRISTOPHER","1","1","CLARKSTON"
"602-420-951","ANDURIL DETAILING LTD.","ANDURIL DETAILING LTD.","1","1","CLARKSTON"
"601-346-837","ANGEL'S WALLCOVERING","GREER, ANGELIKA","1","1","CLARKSTON"
"603-574-681","ANNE BRUCKER-BUSSO","BRUCKER-BUSSO, ANNE","1","1","CLARKSTON"
"604-507-800","ANTHONY RUNER AND OR JOHN RUNER","ANTHONY RUNER AND OR JOHN RUNER","1","1","CLARKSTON"
"601-858-117","ANTIQUE ADDICTION","SUTHERLAND, THOMAS FRANCIS","1","1","CLARKSTON"
"601-556-060","ANTIQUES ETC.","MOUNTJOY, CHRISTINE L","2","1","CLARKSTON"
"601-332-592","APEX CURB & TURF","LARSON, JOHN HOUSER","1","1","CLARKSTON"
"602-116-829","APEX CURB & TURF, LLC","APEX CURB & TURF, LLC","1","1","CLARKSTON"
"604-285-696","APPLE GUARDIANSHIP, PLLC","APPLE GUARDIANSHIP, PLLC","1","1","CLARKSTON"
"600-608-717","APPLESIDE STORAGE","WILSON, RICHARD L","1","1","CLARKSTON"
"603-076-938","APPLIED SURFACES TECHNOLOGY","APPLIED SURFACES TECHNOLOGY, INC.","1","1","CLARKSTON"
"602-841-575","APRILS SALON","CARRASCO, APRIL","2","1","ASOTIN"
"604-414-293","AQUAVIA AESTHETICS","VANNVEI, LLC","1","1","CLARKSTON"
"604-125-163","ARAM CONSULTING","ARAM, THOMAS JAMES","1","1","CLARKSTON"
"600-330-062","ARBY'S OF CLARKSTON","HAPPY DAY CORPORATION","1","3","CLARKSTON"
"603-534-511","ARCH ELECTRIC LLC","ARCH ELECTRIC LLC","1","1","CLARKSTON"
"602-523-057","ARK HOME INSPECTIONS","ROUECHE, PAUL M","1","1","CLARKSTON"
"600-461-972","ARROWHEAD ANTIQUES","GAHAGAN, RICHARD L","1","1","CLARKSTON"
"603-453-058","ART BY LULI","LEE, PATTI","1","1","CLARKSTON"
"602-347-461","ASH KICKERS, LLC","ASH KICKERS, LLC","1","1","CLARKSTON"
"604-681-395","ASHBY WOODWORKS","ASHBY, CODY JAMES","1","1","CLARKSTON"
"603-620-372","ASHLEE HEGER IT WORKS INDEPENDENT DISTRIBUTOR","HEGER, ASHLEE MARIE","1","1","ASOTIN"
"604-503-567","ASHLEY KNIGHT","KNIGHT, ASHLEY J","1","1","CLARKSTON"
"601-458-395","ASOTIN BOAT AND TRAILER","BLOODSWORTH, KARL TWAIN","1","1","ASOTIN"
"021-000-157","ASOTIN COUNTY","ASOTIN COUNTY","1","6","CLARKSTON"
"600-085-355","ASOTIN COUNTY CEMETERY DISTRICT #1","ASOTIN COUNTY CEMETERY DISTRICT #1","1","1","CLARKSTON"
"600-028-915","ASOTIN COUNTY CONSERVATION DISTRICT","ASOTIN COUNTY CONSERVATION DISTRICT","1","1","CLARKSTON"
"021-000-157","ASOTIN COUNTY CURRENT EXPENSE FUND","ASOTIN COUNTY","1","1","ASOTIN"
"601-642-674","ASOTIN COUNTY HEALTH DISTRICT","ASOTIN COUNTY HEALTH DISTRICT","1","1","CLARKSTON"
"601-622-980","ASOTIN COUNTY HISTORICAL SOCIETY","ASOTIN COUNTY HISTORICAL SOCIETY","1","1","ASOTIN"
"601-633-234","ASOTIN COUNTY LITTLE LEAGUE","ASOTIN COUNTY LITTLE LEAGUE","1","1","CLARKSTON"
"603-411-987","ASOTIN COUNTY PUBLIC FACILITIES DISTRICT","ASOTIN COUNTY PUBLIC FACILITIES DISTRICT","1","2","CLARKSTON"
"603-411-987","ASOTIN COUNTY PUBLIC FACILITIES DISTRICT","ASOTIN COUNTY PUBLIC FACILITIES DISTRICT","1","1","CLARKSTON"
"604-021-148","ASOTIN COUNTY PUBLIC TRANSPORTATION BENEFIT AREA","ASOTIN COUNTY PUBLIC TRANSPORTATION BENEFIT AREA","1","1","CLARKSTON"
"021-000-157","ASOTIN COUNTY SHOP","ASOTIN COUNTY","1","2","CLARKSTON"
"021-000-157","ASOTIN COUNTY STORMWATER","ASOTIN COUNTY","1","7","ASOTIN"
"600-143-206","ASOTIN LIQUOR STORE","GILLIS, LARRY L","1","4","ASOTIN"
"601-485-971","ASOTIN MOVING","LEAVITT, RANDY J","1","2","ASOTIN"
"601-143-038","ASOTIN UNITED METHODIST CHURCH","ASOTIN UNITED METHODIST CHURCH","1","1","ASOTIN"
"604-627-881","ASPEN CONSTRUCTION L.L.C.","ASPEN CONSTRUCTION LLC","1","1","CLARKSTON"
"602-267-009","ASR RENTAL COMPANY","ASR RENTAL COMPANY","1","1","CLARKSTON"
"602-699-671","ASTOR MOTEL","ELLA, LLC","1","1","CLARKSTON"
"601-130-615","ASTOR MOTEL","KOLLER, RICHARD LEE","2","5","CLARKSTON"
"604-588-060","A-TACH MOUNTS, LLC","A-TACH MOUNTS, LLC","1","1","CLARKSTON"
"603-484-473","ATC SEQUOIA LLC","ATC SEQUOIA LLC","1","24","CLARKSTON"
"602-000-795","ATLAS SAND & ROCK, INC.","ATLAS SAND & ROCK, INC.","1","3","CLARKSTON"
"602-199-589","A-UNIQUE HAIR & NAIL SALON","DO, LINDA KIM","2","1","CLARKSTON"
"602-965-253","AUTOPRO TECHNOLOGIES LLC","AUTOPRO TECHNOLOGIES, LLC","1","1","CLARKSTON"
"601-371-018","AVALON PROGRESSIVE CARE","GALLES, CAROL ANN","1","2","CLARKSTON"
"602-660-522","AVALON PROGRESSIVE CARE LLC","AVALON PROGRESSIVE CARE LLC","1","1","CLARKSTON"
"328-000-223","AVISTA CORP.","AVISTA CORPORATION","1","6","CLARKSTON"
"601-811-195","AWARDS ETC.","CARMAN, PAMELA SUE","1","1","CLARKSTON"
"602-959-887","A-Z CAB COMPANY","SLATTER, BEAU R","1","5","CLARKSTON"
"602-045-717","AZTEC FABRICATION - PHANTOM JET BOATS","AZTEC FABRICATION, INC.","1","1","CLARKSTON"
"601-877-195","B & C WINDOW FASHIONS","CARLSON & CARLSON","1","2","CLARKSTON"
"602-776-686","B & J CITY MOBILE HOME COURT","FAIRLEY, JACK","1","2","CLARKSTON"
"604-622-838","B STUDIO","BROWNELL, WENDIE LEE","1","1","CLARKSTON"
"603-548-373","BABBS","BUILDING A BOND BETWEEN SPECIES (BABBS)","1","1","CLARKSTON"
"604-207-099","BAILEY & LANDRUS HUNTING COMPANY LLC","BAILEY & LANDRUS HUNTING COMPANY LLC","1","1","CLARKSTON"
"604-063-535","BAKER'S LIGHTHOUSE PROPERTIES LLC","BAKER'S LIGHTHOUSE PROPERTIES LLC","1","1","CLARKSTON"
"603-543-391","BAMBIS POUND PUPPYS","COMPTON, BAMBI LANETTE","1","1","CLARKSTON"
"603-226-575","BAMBOO GARDENS","XIAO-QIN ZENG, LLC","1","1","CLARKSTON"
"601-218-930","BAMBOO GARDENS, INC.","BAMBOO GARDENS, INC.","1","2","CLARKSTON"
"600-497-999","BANK OF AMERICA, NA","BANK OF AMERICA N.A","1","137","CLARKSTON"
"601-506-345","BANNER BANK","BANNER BANK","1","123","CLARKSTON"
"601-506-345","BANNER BANK","BANNER BANK","1","122","CLARKSTON"
"602-797-834","BAR X RODEOS AND LIVESTOCK","ELY, JOHN C","1","1","ASOTIN"
"602-358-718","BASALT CELLARS","CONFLUENCE CELLARS, L.L.C.","1","2","CLARKSTON"
"602-358-718","BASALT CELLARS","CONFLUENCE CELLARS, L.L.C.","1","1","CLARKSTON"
"601-758-678","BASE CONSTRUCTION, INC.","BASE CONSTRUCTION, INC.","1","1","ASOTIN"
"600-517-798","BASHORE INSURANCE AGENCY","BASHORE, ANTHONY D","1","1","CLARKSTON"
"602-980-667","BASKIN ROBBINS","CHARLTON FAMILY LLC","1","1","CLARKSTON"
"604-198-408","BBQ SHAK, LLC","BBQ SHAK, LLC","1","1","CLARKSTON"
"602-944-816","BEAD GODDESS MARY","OLER, MARY LUCILLE","1","1","CLARKSTON"
"603-387-222","BEAL'S PLASTERING","BEAL, RICK MERRITT","1","1","CLARKSTON"
"601-514-458","BEAMER'S HELLER BAR","BEAMER'S LANDING, INC.","1","2","ASOTIN"
"601-514-458","BEAMER'S HELLER BAR","BEAMER'S LANDING, INC.","1","1","CLARKSTON"
"602-861-812","BEAN CUSTOM FABRICATION","BEAN CUSTOM FABRICATION, LLC","1","1","CLARKSTON"
"602-861-812","BEAN CUSTOM MARINE FABRICATION LLC","BEAN CUSTOM FABRICATION, LLC","1","2","ASOTIN"
"602-840-539","BEAR PAWS COFFEE","PARKER, JEANIE L","1","2","CLARKSTON"
"602-840-539","BEARLY HAIR","PARKER, JEANIE L","1","1","CLARKSTON"
"602-959-887","BEAU RILEY SLATTER","SLATTER, BEAU R","1","1","CLARKSTON"
"604-683-201","BEAUTY MARKED BY MEGAN","BLIMKA, MEGAN MARY","1","1","CLARKSTON"
"604-077-931","BEAUTY NAILS OF CLARKSTON","BEAUTY NAILS OF CLARKSTON, LLC","1","1","CLARKSTON"
"603-081-690","BEAUTY NAILS OF CLARKSTON","NGUYEN, MINH-UOC T","1","1","CLARKSTON"
"604-193-954","BECKYS PET GROOMING","MCDANIEL, REBECCA ANN","1","1","CLARKSTON"
"603-447-025","BEETLES AND BONES","LONG, JUDITH ANN","1","1","CLARKSTON"
"601-777-889","BENCHMARK, LLC","BENCHMARK, LLC","1","1","ASOTIN"
"601-525-865","BENNER LAND AND LIVESTOCK","BENNER, WARREN","1","4","ANATONE"
"603-353-304","BENNETT ADJUSTING","BENNETT, ADRIENNE E","1","1","CLARKSTON"
"603-363-542","BEST BET CONCRETE & CONSTRUCTION","BEST BET CONCRETE & CONSTRUCTION","1","1","CLARKSTON"
"603-126-836","BEST BET HANDYMAN SERVICE","HAMMONS, LEON WILLIAM","1","2","CLARKSTON"
"602-581-906","BEST CASTING","DUCKWORTH, ANN B","1","1","ASOTIN"
"602-206-683","BESTLIFE INTERNATIONAL, INC.","BESTLIFE INTERNATIONAL, INC.","1","1","CLARKSTON"
"601-969-147","BETH'S BOOKEEPING SERVICE","CRESTO, MARY ELIZABETH","1","1","CLARKSTON"
"602-338-168","BETSY MC GREER","MC GREER, ELIZABETH L","1","1","CLARKSTON"
"603-320-937","BIG BEAR","KAMPS, TROY DUANE","1","1","CLARKSTON"
"604-072-985","BIG BEAR TIRES & AUTOMOTIVE CENTER, LLC","BIG BEAR TIRES & AUTOMOTIVE CENTER, LLC","1","1","CLARKSTON"
"601-378-260","BIG JOHN'S RIB HOUSE","FLERCHINGER, JOHN EDWARD","1","3","CLARKSTON"
"604-553-365","BIGFOOT LCV","BROYLES, SHANNON COLLEEN","1","1","CLARKSTON"
"604-394-549","BIG'S EXCAVATION","BIGELOW, RICHARD LEE","1","1","CLARKSTON"
"602-838-066","BILL LARSON HOMES, INC.","BILL LARSON HOMES, INC.","1","1","CLARKSTON"
"604-139-670","BILLET TECH MACHINE & 3D","BENEDICT, KEETON","1","1","ASOTIN"
"600-456-576","BILL'S DISCOUNT AUTO SALES","DIETRICH, DONALD W","1","1","CLARKSTON"
"604-444-744","BILLYGOAT SERVICES","KNOLLINGER, JUSTIN CHAD","1","1","CLARKSTON"
"604-596-600","BILLY'S BUTTONS","CAVANAUGH, RANDY RAY","1","1","CLARKSTON"
"601-085-729","BI-MART #679","BI-MART CORPORATION","1","13","CLARKSTON"
"602-185-755","BIMBO BAKERY USA","BIMBO BAKERIES USA, INC.","1","29","CLARKSTON"
"604-322-056","BIRCHERS GRILL AT THE MOOSE","BIRCHER, ROBERT DALE","1","1","CLARKSTON"
"603-281-018","BISHOP FARMS/HANSEN RANCH","BISHOP, BRYAN EDWARD","1","1","CLARKSTON"
"601-026-126","BI-STATE APPRAISALS","RYNEARSON, JANET MARIE","2","1","CLARKSTON"
"603-598-921","BITS 'N PIECES","BITS 'N PIECES","1","1","CLARKSTON"
"602-682-362","BITTERROOT SECURITY & INV LLC","BITTERROOT SECURITY & INV LLC","1","1","CLARKSTON"
"604-570-636","BLACK DOG PLUMBING, LLC","BLACK DOG PLUMBING, LLC","1","1","ASOTIN"
"602-875-409","BLACK DOG TACKLE","DOUGLAS, JOSEPH N","1","1","CLARKSTON"
"602-914-898","BLACKSPUR RANCH","BLACKSPUR RANCH, LLC","1","1","CLARKSTON"
"600-328-933","BLAIR'S WIND AND WOOD BOATS","BLAIR, DOUGLAS R","1","1","CLARKSTON"
"603-241-503","BLONDIES BEAUTY BAR","JEFFREYS, TANYA MAE","1","3","CLARKSTON"
"603-468-752","BLOODLINE ACRES, LLC","BLOODLINE ACRES, LLC","1","1","ANATONE"
"602-497-957","BLOR PROPERTIES LLC","BLOR PROPERTIES LLC","1","1","CLARKSTON"
"602-617-108","BLUE 109 PHOTOGRAPHY BY ANDREA DENNY","DENNY, ANDREA RENEE","1","2","CLARKSTON"
"604-459-370","BLUE ANGELS ADULT HOMES","BLUE ANGELS HOME CARE, LLP","1","1","CLARKSTON"
"603-573-828","BLUE DOG MOVERS","DEMATTOS, ERIC DOUGLAS","1","1","CLARKSTON"
"603-392-207","BLUE DOOR BARBER","MCMINN, KRISTIAN ALISE","1","1","CLARKSTON"
"604-358-482","BLUE HAT CONSTRUCTION","GIBBS, ANDREW MICHAEL","1","2","ASOTIN"
"603-454-029","BLUE HORIZON CABINET COMPANY L.L.C.","BLUE HORIZON CABINET COMPANY L.L.C.","1","1","CLARKSTON"
"604-474-544","BLUE MOUNTAIN CONSTRUCTION","BLUE MOUNTAIN CONSTRUCTION LLC","1","1","CLARKSTON"
"604-093-673","BLUE MOUNTAIN CONTAINERS","BLUE MOUNTAIN CONTAINERS","1","1","CLARKSTON"
"601-961-880","BLUE MOUNTAIN COUNTRY LLC","BLUE MOUNTAIN COUNTRY LLC","1","1","CLARKSTON"
"604-224-955","BLUE MOUNTAIN CRAFT CO.","WINGER, KEVIN","1","1","CLARKSTON"
"602-837-154","BLUE MOUNTAIN CRAFTSMAN","BARNES, RON FRANKLIN","1","3","CLARKSTON"
"602-336-529","BLUE MOUNTAIN ENTERPRIZES, L.L.C.","BLUE MOUNTAIN ENTERPRIZES, L.L.C.","1","1","CLARKSTON"
"602-541-708","BLUE MOUNTAIN FAMILY HEALTH","BLUE MOUNTAIN FAMILY HEALTH, PLLC","1","1","CLARKSTON"
"601-540-930","BLUE PLANET COFFEE BAR","LEWIS AUTO REPAIR, INC.","1","2","CLARKSTON"
"409-023-576","BLUE RIBBON LINEN SUPPLY, INC.","BLUE RIBBON LINEN SUPPLY, INC.","1","1","CLARKSTON"
"601-508-232","BLUE RIVER CONSTRUCTION","MORGADO, DONALD CHARLES","1","2","CLARKSTON"
"604-579-400","BLUME BUSINESS SOLUTIONS","BLUME, SANDRA K","1","1","CLARKSTON"
"603-537-444","BLUSH NAILS BY RHENY TAYLOR","LEW, RHENY TAYLOR","1","2","CLARKSTON"
"604-511-340","BMB CONTRACTING","BORJESSON, BRETT","1","1","CLARKSTON"
"604-097-647","BNB THE STALTERS","STALTER, JOHN CHARLES","1","1","CLARKSTON"
"604-165-038","BOBBYS GEAR LLC","BOBBYS GEAR LLC","1","1","CLARKSTON"
"604-125-248","BOBBYS GEAR LLC","BOBBYS GEAR LLC","1","1","CLARKSTON"
"602-166-043","BOB'S CONSTRUCTION","HOUGH, ROBERT G","1","1","ANATONE"
"602-713-435","BODY BALANCE PILATES STUDIO","RAE-DIANCE, LLC","1","1","CLARKSTON"
"602-042-760","BODY HEALTH & RELAXATION CLINIC","ELSENSOHN, ANELLEN L","1","1","CLARKSTON"
"602-249-193","BODY HEALTH AND RELAXATION","ACEY, AMANDA MARIE","1","1","CLARKSTON"
"603-476-863","BODY HEALTH AND RELAXATION CLINIC","HERZOG, DORIS","1","1","CLARKSTON"
"602-616-727","BODY HEALTH AND RELAXATION CLINIC","PRITCHETT, HEIDI JANE","1","2","CLARKSTON"
"604-173-510","BODY WORKS NW","BODY WORKS NW PLLC","1","1","CLARKSTON"
"600-528-079","BOGGAN'S OASIS","FAR WILL, INC.","1","1","ANATONE"
"603-439-806","BOOST MOBILE","TALK MORE LLC","1","1","CLARKSTON"
