"library","event_year","event_month","category","age_group","events","attendance"
"Olympia","2021","1","Friends of the Library Meeting","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","12","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","9"
"North Mason","2021","9","Early Learning & Storytime","Babies and Toddlers (ages 0-2)","1",
"Packwood","2021","6","Summer Library Program","Preschool (ages 3-6), School Age (ages 6-11)","2","20"
"North Mason","2021","8","Classes & Workshops","Teen (ages 12-18), Adult (18 and older)","2",
"Montesano","2021","3","Special Event","All Ages","1",
"Mountain View","2021","1","Featured","All Ages","1","15"
"North Mason","2021","2","Special Event","School Age (ages 6-11)","1","15"
"Packwood","2021","8","Summer Library Program","Teen (ages 12-18), Adult (18 and older)","1","25"
"TRL Online Virtual Events","2021","8","Arts & Culture, Books & Authors","Adult (18 and older)","1","7"
"Mountain View","2021","7","Summer Library Program","Preschool (ages 3-6), School Age (ages 6-11)","1","20"
"TRL Online Virtual Events","2021","4","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","60"
"Elma","2021","2","STEAM","Preschool (ages 3-6), School Age (ages 6-11)","2","60"
"Packwood","2021","11","DIY & Crafts","Teen (ages 12-18)","1",
"Raymond","2021","7","Summer Library Program","Teen (ages 12-18)","1","104"
"Hoquiam","2021","3","Classes & Workshops","Adult (18 and older)","2",
"Packwood","2021","8","Special Event","All Ages","1","57"
"Naselle","2021","1","Board Meetings","Adult (18 and older)","1","8"
"Salkum","2021","10","DIY & Crafts","Teen (ages 12-18), Adult (18 and older)","4",
"TRL Online Virtual Events","2021","12","STEAM","School Age (ages 6-11)","1","12"
"Mountain View","2021","9","DIY & Crafts","Teen (ages 12-18)","1","15"
"Salkum","2021","8","DIY & Crafts","Teen (ages 12-18), Adult (18 and older)","4",
"Elma","2021","1","STEAM","Preschool (ages 3-6), School Age (ages 6-11)","1","84"
"TRL Online Virtual Events","2021","7","Summer Library Program, STEAM","Preschool (ages 3-6), School Age (ages 6-11), All Ages","1","26"
"TRL Online Virtual Events","2021","5","Featured, Arts & Culture","Teen (ages 12-18)","1","1"
"Mountain View","2021","5","Early Learning & Storytime","Preschool (ages 3-6)","1","6"
"TRL Online Virtual Events","2021","3","Arts & Culture","Adult (18 and older), Family","1",
"TRL Online Virtual Events","2021","6","Activities & Games","Teen (ages 12-18)","1","6"
"Naselle","2021","8","Summer Library Program, STEAM","School Age (ages 6-11)","1","32"
"TRL Online Virtual Events","2021","3","Featured, Activities & Games","Teen (ages 12-18)","1","2"
"TRL Online Virtual Events","2021","5","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","22"
"Naselle","2021","2","STEAM","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), All Ages, Family","1","90"
"Salkum","2021","12","DIY & Crafts","Teen (ages 12-18), Adult (18 and older)","1","25"
"TRL Online Virtual Events","2021","5","Activities & Games","Teen (ages 12-18)","1","4"
"Tumwater","2021","6","Special Event","Adult (18 and older)","1","8"
"South Bend","2021","10","Special Event","Teen (ages 12-18)","1","14"
"Naselle","2021","1","STEAM","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), All Ages, Family","1","115"
"TRL Online Virtual Events","2021","9","Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)","1","9"
"Aberdeen","2021","12","Special Event","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","9","Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1",
"TRL Online Virtual Events","2021","6","Summer Library Program, Activities & Games, Classes & Workshops, Music & Performance","Teen (ages 12-18)","1",
"Aberdeen","2021","12","Special Event","School Age (ages 6-11)","1","100"
"TRL Online Virtual Events","2021","12","Featured","Family","1",
"TRL Online Virtual Events","2021","1","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","83"
"Mountain View","2021","8","Summer Library Program","Preschool (ages 3-6), School Age (ages 6-11)","1","10"
"Winlock","2021","6","Summer Library Program","Preschool (ages 3-6), School Age (ages 6-11)","2",
"TRL Online Virtual Events","2021","11","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1",
"TRL Online Virtual Events","2021","3","STEAM, DIY & Crafts","School Age (ages 6-11)","1",
"Hoquiam","2021","4","Classes & Workshops","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","8","Special Event, Summer Library Program, Activities & Games","All Ages, Family","1",
"South Bend","2021","10","Special Event","All Ages","1","100"
"Montesano","2021","7","Summer Library Program, STEAM, DIY & Crafts","Teen (ages 12-18), Adult (18 and older), All Ages, Family","1","60"
"Montesano","2021","2","Special Event, Classes & Workshops","All Ages","4",
"Hoodsport","2021","12","Book Sale","All Ages","1",
"Raymond","2021","2","Activities & Games, Arts & Culture, DIY & Crafts","School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older)","1","25"
"Hoquiam","2021","1","Music & Performance","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","6","Summer Library Program, Arts & Culture, DIY & Crafts","Teen (ages 12-18), Adult (18 and older)","1",
"North Mason","2021","11","Friends of the Library Meeting","Adult (18 and older)","1",
"Shelton","2021","2","Board Meetings","Adult (18 and older)","1",
"Hoodsport","2021","8","Featured","All Ages","3","1"
"TRL Online Virtual Events","2021","10","Arts & Culture","Teen (ages 12-18), Adult (18 and older)","1","27"
"Packwood","2021","6","Summer Library Program","Teen (ages 12-18), Adult (18 and older)","1","25"
"Lacey","2021","2","Books & Authors","Teen (ages 12-18)","1","50"
"South Bend","2021","8","DIY & Crafts","All Ages","1","150"
"Salkum","2021","12","DIY & Crafts","Teen (ages 12-18), Adult (18 and older)","2",
"Ilwaco","2021","6","Board Meetings","Adult (18 and older)","1","13"
"Ocean Park","2021","8","Books & Authors","Adult (18 and older)","1","6"
"TRL Online Virtual Events","2021","3","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2)","1","82"
"TRL Online Virtual Events","2021","7","Books & Authors","Adult (18 and older)","1","4"
"TRL Online Virtual Events","2021","7","Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2)","1","33"
"TRL Online Virtual Events","2021","2","Arts & Culture","Adult (18 and older)","1","18"
"TRL Online Virtual Events","2021","1","Books & Authors","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","8","Special Event, Books & Authors, Music & Performance","Adult (18 and older)","1","8"
"Ocean Park","2021","10","Early Learning & Storytime, STEAM, Activities & Games, DIY & Crafts","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages","1","122"
"McCleary","2021","6","Summer Library Program, STEAM","School Age (ages 6-11)","1","23"
"Ilwaco","2021","12","Activities & Games, Classes & Workshops","All Ages","1","28"
"Olympia","2021","3","Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family","1","15"
"TRL Online Virtual Events","2021","6","Books & Authors","Adult (18 and older)","3","5"
"South Bend","2021","6","Special Event, STEAM, Arts & Culture, Classes & Workshops, DIY & Crafts","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18)","1","300"
"TRL Online Virtual Events","2021","8","Summer Library Program, STEAM","Preschool (ages 3-6), School Age (ages 6-11), Family","1","19"
"Tumwater","2021","9","Special Event","All Ages","10",
"TRL Online Virtual Events","2021","10","Special Event","Family","1",
"Montesano","2021","1","Special Event","All Ages","1",
"Raymond","2021","8","Summer Library Program","All Ages","1","59"
"TRL Online Virtual Events","2021","2","Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)","1","12"
"TRL Online Virtual Events","2021","6","Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family","1","16"
"Mountain View","2021","2","Featured","All Ages","1","20"
"Salkum","2021","11","Activities & Games","Adult (18 and older)","1","8"
"TRL Online Virtual Events","2021","6","Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages, Family","1",
"Raymond","2021","5","STEAM","Preschool (ages 3-6)","1","20"
"North Mason","2021","11","Book Sale","All Ages","1",
"Naselle","2021","3","Board Meetings","Adult (18 and older)","1","6"
"TRL Online Virtual Events","2021","9","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family","1","7"
"TRL Online Virtual Events","2021","7","Arts & Culture, Books & Authors","Adult (18 and older)","1",
"Mountain View","2021","11","DIY & Crafts","Preschool (ages 3-6)","1",
"TRL Online Virtual Events","2021","5","Featured, Books & Authors","Teen (ages 12-18), Adult (18 and older)","1",
"Ocean Park","2021","10","Books & Authors","Adult (18 and older)","1","4"
"Tumwater","2021","7","Books & Authors","Adult (18 and older)","1",
"Elma","2021","11","STEAM","Preschool (ages 3-6), School Age (ages 6-11), Family","1","72"
"TRL Online Virtual Events","2021","5","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","48"
"Montesano","2021","8","Friends of the Library Meeting","All Ages","1",
"TRL Online Virtual Events","2021","10","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family","1","17"
"Ocean Park","2021","7","Summer Library Program, STEAM","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages","1","226"
"TRL Online Virtual Events","2021","8","Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","14"
"TRL Online Virtual Events","2021","12","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","2","17"
"TRL Online Virtual Events","2021","11","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","22"
"Raymond","2021","8","Summer Library Program","Teen (ages 12-18)","1","21"
"TRL Online Virtual Events","2021","4","Activities & Games, Classes & Workshops, Music & Performance","Teen (ages 12-18)","1","3"
"TRL Online Virtual Events","2021","3","Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)","1","7"
"Lacey","2021","11","Books & Authors","Teen (ages 12-18)","1","320"
"TRL Online Virtual Events","2021","2","Featured, Arts & Culture","Teen (ages 12-18)","1","1"
"TRL Online Virtual Events","2021","11","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2)","1","21"
"Hoquiam","2021","2","Classes & Workshops","Adult (18 and older)","3",
"McCleary","2021","8","Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11)","1","21"
"TRL Online Virtual Events","2021","6","Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2)","2",
"Shelton","2021","2","Special Event","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","7","Special Event, Early Learning & Storytime, Activities & Games, Arts & Culture, Books & Authors","All Ages, Family","1",
"Lacey","2021","1","Books & Authors","Teen (ages 12-18)","1","97"
"TRL Online Virtual Events","2021","11","Books & Authors","School Age (ages 6-11)","1","9"
"Tumwater","2021","8","Books & Authors","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","5","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1",
"TRL Online Virtual Events","2021","3","Arts & Culture","Adult (18 and older)","1","19"
"Tumwater","2021","9","Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6)","1","300"
"McCleary","2021","7","Special Event, Activities & Games","All Ages","1","17"
"TRL Online Virtual Events","2021","10","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2)","1","22"
"TRL Online Virtual Events","2021","2","Featured, Activities & Games","Teen (ages 12-18)","1","4"
"Raymond","2021","8","Summer Library Program","Preschool (ages 3-6), School Age (ages 6-11)","1","87"
"TRL Online Virtual Events","2021","5","Featured, Summer Library Program, Activities & Games","Teen (ages 12-18)","1",
"TRL Online Virtual Events","2021","11","Special Event","Adult (18 and older)","2",
"TRL Online Virtual Events","2021","5","Featured","Adult (18 and older)","1","23"
"Elma","2021","1","STEAM","Preschool (ages 3-6), School Age (ages 6-11)","1","59"
"Aberdeen","2021","6","Special Event","Teen (ages 12-18)","1","8"
"North Mason","2021","6","Summer Library Program","School Age (ages 6-11)","3","30"
"Naselle","2021","4","Special Event, STEAM, Activities & Games","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), All Ages, Family","1","120"
"Hoodsport","2021","6","Featured","All Ages","10",
"Salkum","2021","8","Summer Library Program","Preschool (ages 3-6), School Age (ages 6-11), Family","1","30"
"Montesano","2021","1","Friends of the Library Meeting","All Ages","1",
"TRL Online Virtual Events","2021","11","Books & Authors","Adult (18 and older)","1","6"
"TRL Online Virtual Events","2021","2","Classes & Workshops","Teen (ages 12-18)","1",
"Naselle","2021","2","Classes & Workshops","School Age (ages 6-11)","1","25"
"Shelton","2021","7","Special Event","Adult (18 and older)","2",
"South Bend","2021","2","DIY & Crafts","All Ages","1","100"
"TRL Online Virtual Events","2021","9","Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), All Ages, Family","1","50"
"Naselle","2021","12","Early Learning & Storytime","Preschool (ages 3-6)","1","14"
"Packwood","2021","7","Special Event","All Ages","1","65"
"Naselle","2021","6","Early Learning & Storytime","Preschool (ages 3-6)","3","15"
"Olympia","2021","6","Friends of the Library Meeting","Adult (18 and older)","1",
"North Mason","2021","10","Classes & Workshops","Teen (ages 12-18), Adult (18 and older)","4",
"TRL Online Virtual Events","2021","7","Summer Library Program, Activities & Games, Classes & Workshops, Music & Performance","Teen (ages 12-18)","1","4"
"TRL Online Virtual Events","2021","7","Featured, Summer Library Program, STEAM","School Age (ages 6-11), Teen (ages 12-18)","1",
"Lacey","2021","7","Friends of the Library Meeting","Adult (18 and older)","1",
"Naselle","2021","4","Early Learning & Storytime","Preschool (ages 3-6)","1",
"McCleary","2021","8","Summer Library Program","Teen (ages 12-18)","1","3"
"Packwood","2021","9","DIY & Crafts","Adult (18 and older)","1","30"
"Mountain View","2021","3","Featured","Adult (18 and older)","1","10"
"TRL Online Virtual Events","2021","5","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","10"
"Hoquiam","2021","9","Books & Authors","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","7","Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)","1","12"
"TRL Online Virtual Events","2021","3","Classes & Workshops","Teen (ages 12-18), Adult (18 and older)","1",
"North Mason","2021","11","Classes & Workshops, Music & Performance","Teen (ages 12-18)","2","2"
"TRL Online Virtual Events","2021","2","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1",
"Salkum","2021","6","Summer Library Program","Teen (ages 12-18)","4","20"
"TRL Online Virtual Events","2021","2","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","80"
"Winlock","2021","7","Summer Library Program","Teen (ages 12-18), Adult (18 and older)","1",
"Olympia","2021","3","Friends of the Library Meeting","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","7","Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2)","1","20"
"Naselle","2021","5","Board Meetings","Adult (18 and older)","1","7"
"Shelton","2021","4","Board Meetings","Adult (18 and older)","1",
"North Mason","2021","12","Friends of the Library Meeting","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","2","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2)","1","70"
"Naselle","2021","4","Early Learning & Storytime","Preschool (ages 3-6)","2","15"
"TRL Online Virtual Events","2021","7","Featured, Activities & Games","Teen (ages 12-18)","1","2"
"TRL Online Virtual Events","2021","9","Arts & Culture, Books & Authors","Adult (18 and older)","2",
"TRL Online Virtual Events","2021","12","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family","2","15"
"Naselle","2021","5","Early Learning & Storytime","Preschool (ages 3-6)","1","12"
"TRL Online Virtual Events","2021","4","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","45"
"TRL Online Virtual Events","2021","9","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","35"
"TRL Online Virtual Events","2021","9","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2)","1","23"
"TRL Online Virtual Events","2021","11","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","3","19"
"TRL Online Virtual Events","2021","12","STEAM","School Age (ages 6-11)","1","8"
"TRL Online Virtual Events","2021","3","STEAM","Teen (ages 12-18), Adult (18 and older)","1",
"TRL Online Virtual Events","2021","7","STEAM","School Age (ages 6-11)","1","4"
"Naselle","2021","3","Early Learning & Storytime","Preschool (ages 3-6)","4","12"
"Elma","2021","8","Activities & Games","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages, Family","1","45"
