"practicename","businessname","id"
"Charge Above Estimate","","342"
"Misrepresentation of product or service",,"338"
"Advance Fee Fraud",,"336"
"Service Representation","","335"
"Right To Cancel","CenturyLink","329"
"Internet & Mobile device based transaction"," Unknown","327"
"Other/Miscellaneous","Sprint Executive Services","326"
"Other/Miscellaneous","Wells Fargo CRA Risk Management","324"
"Price Gouging","Amazon.com","323"
"Internet & Mobile device based transaction","eBay","322"
"Governement agency complaint","Washington State Office of the Attorney General","316"
"Unsatisfactory Repair/Service","Amazon.com","311"
"Other/Miscellaneous","CHI Franciscan Health Systems","306"
"Alleged criminal activity"," Unknown","305"
"Collection Activity (Fraudulent or mistaken ID)","Unknown - Fraudulent Collection Agency","301"
"Data Breach","Equifax Office of Consumer Affairs","298"
"Governement agency complaint","Washington State Department of Social and Health Services","298"
"Billing Issues","Dish Network","291"
"Governement agency complaint","Washington State Department of Licensing","290"
"Billing Issues","CHI Franciscan Health Systems","289"
"Other/Miscellaneous","Navient fka Sallie Mae","287"
"Governement agency complaint","United States Postal Service","285"
"Failure To Deliver/Perform","Northwest Territorial Mint","283"
"Unauthorized Repair/Service","","282"
"Homeowner/Condo Association complaint or concern","","280"
"Questionable Quality Product/Service","Amazon.com","276"
"Crowdfunding","Soulbound Studios, LLC","275"
"Landlord/Tenant - Residential",,"275"
"Other/Miscellaneous","Home Depot","275"
"Phishing","Unknown - Technical Support","274"
"Other/Miscellaneous","Soulbound Studios, LLC","273"
"Telemarketing",,"272"
"Imposter scam","","271"
"Collection Practices","Convergent Outsourcing fka ER Solutions","270"
"Credit/Financing","","269"
"Charitable Solicitation Issue","","268"
"Foreclosure Issue","Wells Fargo CRA Risk Management","267"
"Other/Miscellaneous","Walmart","266"
"Other/Miscellaneous","Wave Division Holdings aka Wave Broadband","266"
"Other/Miscellaneous","Ziply Fiber fka Frontier Communications","266"
"Other/Miscellaneous","Google Incorporated","266"
"Internet & Mobile device based transaction","PayPal","265"
"Right To Cancel",,"263"
"Inadequate Disclosure",,"262"
"Right To Cancel","Comcast","260"
"Unsolicited E-mail","","260"
"Other/Miscellaneous","eBay","255"
"Internet & Mobile device based transaction","T-Mobile","255"
"Advertising",,"252"
"Unsatisfactory Repair/Service","T-Mobile","251"
"Privacy Abuse","","248"
"Questionable Quality Product/Service","Comcast","247"
"Billing Issues","Amazon.com","246"
"Imposter scam","Unknown - IRS Phishing","245"
"Questionable Quality Product/Service","CenturyLink","244"
"Other/Miscellaneous","Costco","241"
"Phishing",,"241"
"Failure To Deliver/Perform","Soulbound Studios, LLC","240"
"Other/Miscellaneous","Fever Up/Van Gogh: The Immersive Experience","240"
"Senior Exploitation","","239"
"Failure To Deliver/Perform","Ziply Fiber fka Frontier Communications","233"
"Collections - Threatening behavior includes arrest",,"231"
"Partial Performance","","230"
"COVID-19","Expedia","229"
"Landlord/Tenant - Residential"," Unknown","220"
"Other/Miscellaneous","Washington State Department of Licensing","220"
"Other/Miscellaneous","Reed Hein & Associates LLC dba Timeshare Exit Team","219"
"Credit Reporting Error","Equifax Office of Consumer Affairs","219"
"Governement agency complaint",,"218"
"Failure To Deliver/Perform","T-Mobile","217"
"Privacy Issues","","212"
"Collection Practices","IQ Data International","211"
"Right To Cancel","T-Mobile","211"
"Phishing","Phishing","209"
"Right To Cancel","DIRECTV","209"
"Service Protection Plan Issue","Comcast","206"
"Other/Miscellaneous","United States Postal Service","205"
"Other/Miscellaneous","Equifax Office of Consumer Affairs","205"
"Billing Issues","Puget Sound Energy","202"
"Non-Fulfillment","Amazon.com","201"
"Failure To Deliver/Perform","Stevens Pass","199"
"Telemarketing","Pacific Telecom Communications Group","199"
"Billing Issues","Bank of America NA","198"
"Internet & Mobile device based transaction","Verizon Wireless","197"
"Failure To Adjust/Refund","Comcast","196"
"Internet & Mobile device based transaction","Google Incorporated","194"
"Foreclosure Issue","","193"
"Other/Miscellaneous","US Bank Corporate Compliance","192"
"Imposter scam","Unknown - Technical Support","189"
"Failure To Deliver/Perform","Reed Hein & Associates LLC dba Timeshare Exit Team","186"
"Unsolicited Mail","","186"
"Other/Miscellaneous","Samsung Electronics America","185"
"Other/Miscellaneous","Chase Executive Office","185"
"Other/Miscellaneous","Puget Sound Energy","183"
"Internet & Mobile device based transaction","Fever Up/Van Gogh: The Immersive Experience","180"
"Other/Miscellaneous","Apple Inc","180"
"Unsolicited E-mail","The Freedom Foundation/OptOutToday.com","180"
"Credit Reporting Error","Experian Credit Reporting","179"
"Billing Issues","Multicare Health Systems","179"
"Other/Miscellaneous","Lowe's Home Improvement","177"
"Eviction Issues","","176"
"Warranty","Sears Holdings Management Corporation","174"
"Business Failure or Bankruptcy","","174"
"Health, safety or sanitation","","173"
"Collections - Threatening behavior includes arrest"," Unknown","173"
"Other/Miscellaneous","Fred Meyer","173"
"Fees","","173"
"Failed communication attempts","","172"
"Unsatisfactory Repair/Service","Microsoft Corporation","171"
"Other/Miscellaneous","Navient","169"
"Collection Practices","AllianceOne","169"
"Unordered/Unsolicited Merchandise","","168"
"Other/Miscellaneous","Dish Network","167"
"Warranty",,"166"
"Other/Miscellaneous","Washington State Department of Social and Health Services","166"
"Employment Issue",,"166"
"Other/Miscellaneous","Bungie","166"
"Failure To Deliver/Perform","Microsoft Corporation","166"
"Internet & Mobile device based transaction","Bungie","165"
"Other/Miscellaneous","Best Buy","165"
"Service Representation",,"164"
"Other/Miscellaneous","Larson Automotive Group","163"
"Advance Fee Fraud","Advance Fee Fraud/AFF","162"
"Other/Miscellaneous","Safeway","162"
"Credit Reporting Error","TransUnion Credit Reporting","161"
"Failure To Adjust/Refund","T-Mobile","161"
"High Pressure Sales","","159"
"Internet & Mobile device based transaction","Northwest Territorial Mint","158"
"Failure To Deliver/Perform","Verizon Wireless","157"
"Other/Miscellaneous","Inquiry","156"
"Failure To Return Goods/Part","","155"
"Governement agency complaint","Department of Transporation Good to Go Division","154"
"Questionable Quality Product/Service","Microsoft Corporation","154"
"Unsatisfactory Repair/Service","Sears Holdings Management Corporation","154"
"Questionable Quality Product/Service","Sears Holdings Management Corporation","154"
"Other/Miscellaneous","Capital One Services","154"
"Failure To Deliver/Perform","DIRECTV","153"
"Misrepresentation of Terms","Comcast","152"
"Identity Theft","","151"
"Student Loan Issue","","148"
"Governement agency complaint","Washington Healthcare Exchange/Washington Healthplan Finder/Washington Health Benefit Exchange","148"
"Right To Cancel","Dish Network","147"
"Other/Miscellaneous","Citibank Presidential Communications","147"
"Other/Miscellaneous","Multicare Health Systems","146"
"Failure To Deliver/Perform","AT&T Mobility","146"
"Billing Issues","Kaiser Permanente Washington","145"
"Other/Miscellaneous","Worldmark by Wyndham","145"
"Right To Cancel","Verizon Wireless","143"
"Internet & Mobile device based transaction","AT&T Mobility","143"
"Billing Issues","Wave Division Holdings aka Wave Broadband","143"
"Other/Miscellaneous","FedEx Customer Relations","142"
"Unauthorized Debit",,"141"
"Failure To Deliver/Perform","Bank of America NA","141"
"Questionable Quality Product/Service","T-Mobile","140"
"Automatic Dialing","Card Services/Credit Card Services/Card Member Services/Card Holder Services/Bankcard Services","139"
"Other/Miscellaneous","Convergent Outsourcing fka ER Solutions","139"
"Excessive Price or Charge",,"139"
"Foreclosure Issue","PHH Mortgage fka Ocwen Loan Servicing LLC","139"
"Telemarketing","Card Services/Credit Card Services/Card Member Services/Card Holder Services/Bankcard Services","137"
"Identity Theft","Washington State Employment Security Department","136"
"Right To Cancel","Ziply Fiber fka Frontier Communications","135"
"Failure To Adjust/Refund","CenturyLink","134"
"Internet & Mobile device based transaction","CenturyLink","134"
"Unsatisfactory Repair/Service","Facebook","133"
"Other/Miscellaneous","American Home Shield","133"
"Failure To Deliver/Perform","PayPal","133"
"COVID Mask Compliance","","132"
"Non-Fulfillment","Brown Paper Tickets","130"
"Foreclosure Issue","Chase Mortgage Banking Executive Office","130"
"Charge:Service Not Performed/Product not delivered",,"127"
"Failure To Deliver/Perform","Sears Holdings Management Corporation","127"
"Other/Miscellaneous","Alaska Airlines","126"
"Governement agency complaint","Washington State Department of Labor and Industries","126"
"Unsolicited E-mail"," Unknown","126"
"Other/Miscellaneous","CareDash","126"
"Failure To Adjust/Refund","Verizon Wireless","126"
"Unsatisfactory Repair/Service","Verizon Wireless","125"
"Failure To Deliver/Perform","Dish Network","124"
"Failure To Adjust/Refund","Fever Up/Van Gogh: The Immersive Experience","124"
"Billing Issues","American Medical Response/Rural Metro","123"
"Right To Cancel","Sprint Executive Services","123"
"Failure To Deliver/Perform","Expedia","122"
"Other/Miscellaneous","IQ Data International","122"
"Collection Practices","RPM / Receivables Performance Management","121"
"Billing Issues","Wells Fargo CRA Risk Management","121"
"Internet & Mobile device based transaction","Valve Software dba Steam Powered/Steamgames/Steam Software","120"
"Billing Issues","Swedish Hospital Medical Center","120"
"Unsolicited Text Message"," Unknown","120"
"Other Vulnerable Audience Exploitation","","119"
"Credit Reporting Error","","119"
"Other/Miscellaneous","Washington State Office of the Attorney General","118"
"Billing Issues","Citibank Presidential Communications","118"
"Questionable Quality Product/Service","Samsung Electronics America","118"
"Non-Fulfillment","Comcast","118"
"Internet & Mobile device based transaction","Ziply Fiber fka Frontier Communications","117"
"Other/Miscellaneous","Unknown - Fraudulent Collection Agency","117"
"Failure To Deliver/Perform","Fever Up/Van Gogh: The Immersive Experience","116"
"Failed communication attempts",,"116"
"Advertising","Amazon.com","116"
"Other/Miscellaneous","Waste Management of Washington","115"
"Refund Policies","Expedia","115"
"Foreclosure Issue","Ocwen Loan Servicing LLC / Ocwen Financial Corporation","115"
"Other/Miscellaneous","Providence Health and Services","115"
"Spyware / Malware","","115"
"Failure To Provide Title/Registration","","115"
"Failure To Adjust/Refund","PayPal","115"
"Other/Miscellaneous","Synchrony Bank fka GE Capital Retail Bank/GECRB/Care Credit","115"
"Unsatisfactory Repair/Service","AT&T Mobility","114"
"Failure To Adjust/Refund","Sears Holdings Management Corporation","114"
"COVID-19"," Unknown","114"
"Internet & Mobile device based transaction","OfferUp Inc","113"
"Collection Practices","Universal Fidelity, LP","113"
"Inadequate Disclosure","Comcast","113"
"Internet & Mobile device based transaction","Frontier Communications ","113"
"Free to Pay",,"112"
"Other/Miscellaneous","Chase Bankcard Services Inc","112"
"Billing Issues","Expedia","111"
"Questionable Quality Product/Service","Verizon Wireless","111"
"Billing Issues","ADT Security/Protection One Alarm Services","111"
"Other/Miscellaneous","Frontier Communications ","110"
"COVID-19","Amazon.com","110"
"Unsatisfactory Repair/Service","Bank of America NA","109"
"Collections - Threatening behavior includes arrest","Unknown - Fraudulent Collection Agency","109"
"Misrepresentation of product or service","Reed Hein & Associates LLC dba Timeshare Exit Team","108"
"Right To Cancel","AT&T Mobility","108"
"Foreclosure Issue","Nationstar Mortgage, LLC/ Mr Cooper ","107"
"Advertising","Comcast","107"
"Product Safety","","107"
"Failure To Deliver/Perform","The Swanx","106"
"Refund Policies","Amazon.com","106"
"Other/Miscellaneous","ADT Security/Protection One Alarm Services","106"
"Questionable Quality Product/Service","Jpay Inmate Services","105"
"Misrepresentation of Terms","CenturyLink","105"
"Negative Option","","104"
"Other/Miscellaneous","KeyBank National Association","104"
"Tech Support Scam","","103"
"Other/Miscellaneous","OfferUp Inc","103"
"Charge:Service Not Performed/Product not delivered","Reed Hein & Associates LLC dba Timeshare Exit Team","103"
"Collections - Threatening behavior includes arrest","","103"
"Other/Miscellaneous","Swedish Hospital Medical Center","102"
"Billing Issues","Providence Health and Services","102"
"Collection Practices","Navient","102"
"Failure To Adjust/Refund","Ziply Fiber fka Frontier Communications","102"
"Fees","Comcast","101"
"Other/Miscellaneous","Dish Network / Echo Star Dispute Resolution Team","101"
"Unauthorized Debit","Amazon.com","100"
"Foreclosure Issue","Ditech Financial LLC fka Green Tree Servicing","99"
"Identity Theft"," Unknown","99"
"Governement agency complaint"," Unknown","99"
"Other/Miscellaneous","LG Electronics","99"
"Other/Miscellaneous","Kaiser Permanente Washington","99"
"Other/Miscellaneous","iYogi","98"
"Internet & Mobile device based transaction","DIRECTV","98"
"Privacy Issues","Facebook","98"
"Charge:Service Not Performed/Product not delivered","Comcast","98"
"Other/Miscellaneous","Green Dot","98"
"Other/Miscellaneous","Experian Credit Reporting","97"
"Business Failure or Bankruptcy",,"97"
"Governement agency complaint","Washington State Governor","96"
"Collection Practices","MCM/Midland Credit Management/Midland Funding/Encore Capital Group","96"
"Failure To Deliver/Perform","Sprint Executive Services","96"
"Other/Miscellaneous","Charter Communications","96"
"Misrepresentation of Terms","T-Mobile","96"
"Third-Party Loan Modification Issue","","95"
"Bait & Switch","","95"
"Other/Miscellaneous","TicketMaster","95"
"Excessive Price or Charge","Comcast","95"
"Governement agency complaint","Washington State Department of Health","94"
"Misrepresentation of product or service","Amazon.com","94"
"Fees","Frontier Communications ","94"
"Unregistered or Unlicensed Business",,"94"
"Privacy Issues",,"93"
"Collection Practices","Renton Collections","93"
"Other/Miscellaneous","AT&T Office of the President","93"
"Other/Miscellaneous","Boeing Employees Credit Union / BECU","93"
"Foreclosure Issue",,"93"
"Partial Performance","Stevens Pass","93"
"Other/Miscellaneous","Exxon Mobil Corporate Headquarters","93"
"Charge:Service Not Performed/Product not delivered","CenturyLink","92"
"Other/Miscellaneous","Ford Motor Company","91"
"Collection Practices","Dynamic Collectors","91"
"Non-Fulfillment","Reed Hein & Associates LLC dba Timeshare Exit Team","91"
"Charge Above Estimate",,"91"
"Refund Policies",,"91"
"Unsatisfactory Repair/Service","Ziply Fiber fka Frontier Communications","91"
"Unauthorized Repair/Service",,"91"
"Internet & Mobile device based transaction","Soulbound Studios, LLC","91"
"Billing Issues","Frontier Communications","91"
"Unsatisfactory Repair/Service","Dish Network","90"
"Billing Issues","Apria Healthcare","90"
"Collection Practices","Merchants Credit Association","90"
"Invoice - misleading or fraudulent","","90"
"Charitable Solicitation Issue",,"90"
"Other/Miscellaneous","Macy's Executive Office","89"
"Advertising","Costco","88"
"Other/Miscellaneous","TransUnion Credit Reporting","88"
"Unsatisfactory Repair/Service","Expedia","87"
"Automatic Dialing","","87"
"Spyware / Malware","iYogi","87"
"Governement agency complaint","Social Security Administration","87"
"Discrimination",,"87"
"Advertising","T-Mobile","87"
"Collection Practices","Puget Sound Collections","87"
"Unauthorized Repair/Service","CareDash","87"
"Failure To Adjust/Refund","AT&T Mobility","86"
"Failure To Deliver/Perform","Home Depot","86"
"COVID-19","Alaska Airlines","86"
"Governement agency complaint","City of Seattle","86"
"Inadequate Disclosure","Exxon Mobil Corporate Headquarters","86"
"Right To Cancel","Expedia","86"
"Other/Miscellaneous","Hughes Network Systems","86"
"Phishing","Tech Support Scam","85"
"Failure To Adjust/Refund","Bank of America NA","85"
"Collection Practices","Suttell & Hammer PS fka Suttell Hammer & White PS","85"
"Credit/Financing","Bank of America NA","85"
"Fees",,"85"
"Failure To Adjust/Refund","DIRECTV","84"
"Unsatisfactory Repair/Service","Home Depot","84"
"Billing Issues","Capital One Services","84"
"Billing Issues","AT&T Office of the President","84"
"Misrepresentation of Terms","Verizon Wireless","84"
"Other/Miscellaneous","State Farm Insurance","84"
"Billing Issues","PeaceHealth","84"
"Billing Issues","EvergreenHealth","84"
"Failure To Deliver/Perform","FedEx Customer Relations","84"
"Questionable Quality Product/Service","Ziply Fiber fka Frontier Communications","84"
"Unsatisfactory Repair/Service","DIRECTV","84"
"Service Representation","Comcast","83"
"Other/Miscellaneous","UPS/United Parcel Service","83"
"Other/Miscellaneous","AirBnB","83"
"Unsolicited E-mail","Microsoft Corporation","82"
"Failure To Deliver/Perform","Wells Fargo CRA Risk Management","82"
"Billing Issues","Getty Images","82"
"Right To Cancel","ADT Security/Protection One Alarm Services","82"
"Failure To Adjust/Refund","Stevens Pass","81"
"Failure To Deliver/Perform","eBay","81"
"Inadequate Disclosure","CenturyLink","81"
"Not As Ordered",,"80"
"Other/Miscellaneous","United Healthcare","79"
"Foreclosure Issue","Mr. Cooper fka Nationstar Mortgage","79"
"Advertising","Bungie","79"
"Collection Practices","Transworld Systems Inc FKA NCO Financial Systems","79"
"Unordered/Unsolicited Merchandise",,"79"
"Governement agency complaint","State of Washington","79"
"Other/Miscellaneous","Department of Transporation Good to Go Division","79"
"Other/Miscellaneous","Reed Hein & Associates LLC dba Timeshare Exit Team ","79"
"Utilities","","79"
"Billing Issues","Synchrony Bank fka GE Capital Retail Bank/GECRB/Care Credit","78"
"Collection Practices"," Unknown","78"
"Billing Issues","Sears Holdings Management Corporation","78"
"Other/Miscellaneous","Public Storage","78"
"Invoice - misleading or fraudulent","Labor Standards Compliance Office","78"
"Other/Miscellaneous","Crystal Mountain","77"
"Other/Miscellaneous","Progressive Insurance","77"
"Charge Above Estimate","CenturyLink","77"
"Advertising","Labor Standards Compliance Office","77"
"Collection Practices","Columbia Debt Recovery dba Genesis Credit Management LLC","77"
"Questionable Quality Product/Service","Ford Motor Company","77"
"Charge Above Estimate","Comcast","77"
"Non-Fulfillment","CenturyLink","76"
"Internet & Mobile device based transaction","Sprint Executive Services","76"
"Misrepresentation of product or service","Comcast","76"
"Misrepresentation of Terms","DIRECTV","75"
"Other/Miscellaneous","AmeriGas","75"
"Not As Ordered","Amazon.com","75"
"Billing Issues","Waste Management of Washington","75"
"Billing Issues","PayPal","75"
"Unauthorized Repair/Service","Comcast","75"
"Other/Miscellaneous","Diamond Parking dba Parking Services Appeals Department","75"
"Questionable Quality Product/Service","Home Depot","75"
"Other/Miscellaneous","Bittrex","75"
"Billing Issues","Diamond Parking dba Parking Services Appeals Department","74"
"Misrepresentation of Terms","AT&T Mobility","74"
"Right To Cancel","LA Fitness/Fitness International","74"
"Senior Exploitation","iYogi","73"
"Collection Practices","Portfolio Recovery Associates","73"
"Internet & Mobile device based transaction","CareDash","73"
"Other/Miscellaneous","Washington State Department of Labor and Industries","73"
"Service Representation","CenturyLink","73"
"Billing Issues","Hertz Corporation","72"
"Failure To Deliver/Perform","WorldWide Electronics dba Buy TV Today","72"
"Other/Miscellaneous","Santander Consumer USA","72"
"Other/Miscellaneous","State of Washington","72"
"Other/Miscellaneous","Heather Hills Mobile Home Park","71"
"Other/Miscellaneous","Platinum Parking","71"
"Unsatisfactory Repair/Service","Jiffy Lube Corporate/Heartland Automotive Services","71"
"Failure To Deliver/Perform","UPS/United Parcel Service","71"
"Unsatisfactory Repair/Service","Wells Fargo CRA Risk Management","71"
"Failure To Deliver/Perform","Equifax Office of Consumer Affairs","70"
"Refund Policies","Fever Up/Van Gogh: The Immersive Experience","70"
"Other/Miscellaneous","LuLaRoe","70"
"Governement agency complaint","Washington State Department of Transportation","70"
"Unsolicited Text Message","","70"
"Service Representation","Stevens Pass","70"
"Other/Miscellaneous","Tracfone Wireless Inc","70"
"Unsatisfactory Repair/Service","Sprint Executive Services","70"
"Failure To Deliver/Perform","Tracfone Wireless Inc","70"
"Inadequate Disclosure","T-Mobile","70"
"Other/Miscellaneous","Jpay Inmate Services","70"
"Other/Miscellaneous","Vital Records Direct SL dba VitalrecordsCertificates.com","69"
"Advertising","CenturyLink","69"
"Failure To Adjust/Refund","Home Depot","69"
"Internet & Mobile device based transaction","Wave Division Holdings aka Wave Broadband","68"
"Utilities","Heather Hills Mobile Home Park","68"
"Collection Practices","Comcast","68"
"Credit/Financing","Wells Fargo CRA Risk Management","68"
"Repossession","","68"
"Failure To Deliver/Perform","American Home Shield","68"
"Other/Miscellaneous","American Express","68"
"Unsolicited E-mail",,"68"
"Crowdfunding","","67"
"Failure To Deliver/Perform"," Unknown","67"
"Other/Miscellaneous","UW Medicine","67"
"Failure To Adjust/Refund","TicketMaster","67"
"Other/Miscellaneous","Tacoma News Tribune","67"
"Privacy Abuse",,"67"
"Landlord Prohibited Acts","Heather Hills Mobile Home Park","67"
"Other/Miscellaneous","Valve Software dba Steam Powered/Steamgames/Steam Software","66"
"Failure To Deliver/Perform","Facebook","66"
"Billing Issues","Charter Communications","66"
"Other/Miscellaneous","General Motors","66"
"Governement agency complaint","IRS/Internal Revenue Service","66"
"Other/Miscellaneous","Vail Resorts / Stevens Pass","66"
"Other/Miscellaneous","U-Haul","66"
"Failure To Adjust/Refund","Alaska Airlines","66"
"Questionable Quality Product/Service","Apple Inc","66"
"Fees","CenturyLink","66"
"Questionable Quality Product/Service","General Motors","65"
"Prizes & Promotion Issue","","65"
"Other/Miscellaneous","Assurance Wireless","65"
"Failure To Deliver/Perform","Wave Division Holdings aka Wave Broadband","65"
"Mortgage Servicing Issue","","65"
"Other/Miscellaneous","PeaceHealth","65"
"International/Cross Border","","65"
"Other/Miscellaneous","Intuit Inc/Intuit Software/Turbo Tax/PayCycle","64"
"Charge:Service Not Performed/Product not delivered","Fever Up/Van Gogh: The Immersive Experience","64"
"Non-Fulfillment","T-Mobile","64"
"Other/Miscellaneous","Craigslist Inc","64"
"Warranty","LG Electronics","64"
"Other/Miscellaneous","City of Seattle","63"
"Billing Issues","Ditech Financial LLC fka Green Tree Servicing","63"
"Other/Miscellaneous","USAA","63"
"Misrepresentation of product or service","FBA Stores LLC aka FBA Distributors LLC aka AWS LLC ","63"
"Spanish Language Complaints","","63"
"Application screening","","63"
"Unsolicited Mail"," Unknown","63"
"Other/Miscellaneous","Washington State Department of Health","63"
"Credit/Financing","Synchrony Bank fka GE Capital Retail Bank/GECRB/Care Credit","63"
"Other/Miscellaneous","WA Certificate Service","62"
"Other/Miscellaneous","Northwest Motorsports","62"
"Governement agency complaint","Department of Children, Youth, & Families/DCYF","62"
"Refund Policies","Alaska Airlines","62"
"COVID-19","StubHub Inc","62"
"Failure To Adjust/Refund","Microsoft Corporation","62"
"Misrepresentation of Terms",,"62"
"Other/Miscellaneous","Hertz Corporation","62"
"Failure To Adjust/Refund","Walmart","62"
"Questionable Quality Product/Service","Fiat Chrysler Automobiles","61"
"Warranty","American Home Shield","61"
"Billing Issues","Hughes Network Systems","61"
"Misrepresentation of product or service","Christian Prayer Center AKA Velorum Inc","61"
"Invoice - misleading or fraudulent",,"61"
"Failure To Deliver/Perform","Lowe's Home Improvement","61"
"Credit/Financing","Capital One Services","61"
"Other/Miscellaneous","Dell","61"
"Internet & Mobile device based transaction","Vital Records Direct SL dba VitalrecordsCertificates.com/Your Vital Records","61"
"Billing Issues","Reef Parking fka Republic Parking Northwest","61"
"Misrepresentation of Terms","Sprint Executive Services","61"
"Other/Miscellaneous","Western Union","61"
"Warranty","Samsung Electronics America","61"
"Unnecessary Repair/Service","","60"
"Billing Issues","Macy's Executive Office","60"
"Wireless portability","T-Mobile","60"
"Failure To Deliver/Perform","Jpay Inmate Services","60"
"Other/Miscellaneous","Geico Insurance Agency Inc","60"
"Internet & Mobile device based transaction","TicketMaster","60"
"Other/Miscellaneous","Republic Services","60"
"Failure To Adjust/Refund","eBay","59"
"Other/Miscellaneous","Zaycon Fresh","59"
"Advance Fee Fraud","Western Union","59"
"Failure To Deliver/Perform","Walmart","59"
"Other/Miscellaneous","Sirius XM Satellite Radio","59"
"Homeowner/Condo Association complaint or concern",,"59"
"Partial Performance",,"59"
"Forged or Altered Documents","","59"
"Rules & enforcement","","59"
"Inadequate Disclosure","Amazon.com","59"
"Billing Issues","Platinum Parking","59"
"Other/Miscellaneous","Consumer Cellular","58"
"Other/Miscellaneous","Metro PCS","58"
"Billing Issues","Virginia Mason","58"
"Collection Practices","Evergreen Professional Recoveries","58"
"Billing Issues","UW Medicine","58"
"Billing Issues","United Healthcare","58"
"Other/Miscellaneous","Rasier LLC dba Uber","58"
"Advance Fee Fraud","Unknown - Advance Fee Fraud","58"
"Other/Miscellaneous","Christian Prayer Center AKA Velorum Inc","58"
