"intent_id","project_id","agencyname","awarding_agency_address","agencycontact","agencyphone","prime_company_name","prime_phone_number","prime_contractor_reg_number","prime_ubi_number","bid_due_date","cntrct_award_dt","contractname","contractnumber","projectlocation","amount","application_received_date","city","anysubcontractor","anyapprentices","cntrct_amt","time_matr_flg","allworksubcontracted","owner_operatorsworked","numberofowner_operatorworked","yourcompanyemployeesworked","omwbe_certification","license","ubi","companyname","phone","email","companyaddress1","companyaddress2","companycity","companystate","companyzip","insuranceaccount","hiringcomapanylicense","hiringcomapanyubi","hiringcompanyname","hiringcomapanyinsuranceaccount","expected_start_dt","primeintent"
"1171974","976448","SEATTLE HOUSING AUTHORITY","190 Queen Anne Avenue North SEATTLE, WA - 98109","Juan","206-771-2023","ROTO ROOTER SERVICES CO","2535687100","ROTORSC122BR","601057361","2021-08-16T00:00:00.000","2021-08-16T00:00:00.000","7191 38th Ave S","21723208979","7191 38th Ave S
Seattle Wa 98118","2815.35","2021-08-24T00:00:00.000","Seattle","No","No","2815.35","False","No","No","0","Yes","false","ROTORSC122BR","601057361","ROTO ROOTER SERVICES CO","2535687100","tammy.clarke@rrsc.com","4630 16th Street E, Suite B9",,"FIFE","WA","98424","53459500",,,,,"2021-08-16T00:00:00.000","1171974"
"1171969","976445","TUMWATER SCHOOL DISTRICT","621 LINWOOD AVE SW TUMWATER, WA - 98512","Dave Potwin","350-750-7460","SOUTHGATE FENCING INC","3603523934","SOUTHI*234O9","600251488","2021-07-12T00:00:00.000","2021-07-12T00:00:00.000","East Olympia Elem fence repair","59227","East Olympia Elem
8700 Rich Rd SE
Olympia, WA 98501","787.68","2021-08-24T00:00:00.000","Olympia","No","No","787.68","False","No","No","0","Yes","false","SOUTHI*234O9","600251488","SOUTHGATE FENCING INC","3603523934","southgatefenceinc@gmail.com","7532 HENDERSON BLVD SE",,"TUMWATER","WA","98501","27768800",,,,,"2021-08-16T00:00:00.000","1171969"
"1171968","976353","Everett School District","PO BOX 2098  EVERETT WA 98203","Jill Stoffel","425-385-4193 x_____","BRATONIA MECHANICAL LLC","2064514527","BRATOML890QA","603147543","2021-06-21T00:00:00.000","2021-06-24T00:00:00.000","North Satellite Bus Facility HVAC Upgrade","324008","North Satellite Bus Facility
2900 California Street
Everett WA 98201","51610.39","2021-08-24T00:00:00.000","Everett","Yes","No","51610.39",,"No","No","0","Yes","false","BRATOML890QA","603147543","BRATONIA MECHANICAL LLC","2064514527","linda@bratoniamech.com","17791 FJORD DR NE  STE 218",,"POULSBO","WA","98370","22347000",,,,,"2021-07-13T00:00:00.000","1171968"
"1171963","976441","SEATTLE HOUSING AUTHORITY","190 Queen Anne Avenue North SEATTLE, WA - 98109","Juan","206-771-2023","ROTO ROOTER SERVICES CO","2535687100","ROTORSC122BR","601057361","2021-08-17T00:00:00.000","2021-08-17T00:00:00.000","7205 38th ave S","21723213203","7205 38th Ave S
Seattle Wa 98118","1095.52","2021-08-24T00:00:00.000","Seattle","No","No","1095.52","False","No","No","0","Yes","false","ROTORSC122BR","601057361","ROTO ROOTER SERVICES CO","2535687100","tammy.clarke@rrsc.com","4630 16th Street E, Suite B9",,"FIFE","WA","98424","53459500",,,,,"2021-08-17T00:00:00.000","1171963"
"1171962","976440","BELLINGHAM SCHOOL DISTRICT #501","1306 DUPONT ST BELLINGHAM, WA - 98225","Debbie Worth","360-676-6548","WESTERN REFINERY SERVICES INC","3603663303","WESTERS101JS","601229532","2021-08-13T00:00:00.000","2021-08-13T00:00:00.000","Kulshan Middle School","1242000450",,"8758.40","2021-08-24T00:00:00.000","Bellingham","No","No","8758.4","False","No","No","0","Yes","false","WESTERS101JS","601229532","WESTERN REFINERY SERVICES INC","3603663303","leah@wrsweb.com","2380 GRANDVIEW RD",,"FERNDALE","WA","98248","19903300",,,,,"2021-08-24T00:00:00.000","1171962"
"1171959","962613","ARLINGTON SCHOOL DISTRICT #16","315 N FRENCH AVE ARLINGTON, WA - 98223","Brian Lewis","360-618-6200","TRICO COMPANIES LLC","3607572373","TRICOCL886Q8","603251163","2021-04-14T00:00:00.000","2021-04-27T00:00:00.000","Eagle Creek Elementary and Kent Prairie Elementary Secure Entry","2010.300","1216 E 5th Street and 8110-207th Street NE
Arlington, WA 98223","292875.00","2021-08-24T00:00:00.000","Arlington","No","No","1425","False","No","No","0","Yes","false","PACIFCM798D3","602253118","PACIFIC COAST MEMORIALS INC","4253489868","donnad@pacificcoastmemorials.com","5703 EVERGREEN WAY",,"EVERETT","WA","98203","03120502","TRICOCL886Q8","603251163","TRICO COMPANIES LLC",,"2021-09-08T00:00:00.000","1145116"
"1171958","976437","MARYSVILLE FIRE DISTRICT","1635 GROVE STREET MARYSVILLE, WA - 98270","Darryl Neuhauff","360-363-8500","ServiceMaster Superb Cleaning","3606591023",,"602482945","2021-05-01T00:00:00.000","2021-05-15T00:00:00.000","Carpet cleaning","1234",,"3700.00","2021-08-24T00:00:00.000","Marysville","No","No","3700","False","No","No","0","Yes","false",,"602482945","ServiceMaster Superb Cleaning","3606591023","glenda@welike2clean.com","P.O. Box 1104",,"Marysville","WA","98270-1104","83970701",,,,,"2021-05-15T00:00:00.000","1171958"
"1171956","976435","WHATCOM COUNTY LIBRARY SYSTEM","5205 NORTHWEST RD BELLINGHAM, WA - 98226 9092","Carol Oberton","360-305-3600","GREAT FLOORS","2086645405","GREATF*955D4","602049236","2021-03-01T00:00:00.000","2021-03-01T00:00:00.000","Everson Library Receiving & Reception","na","104 Kirsch Drive
Everson, WA 98247","3230.54","2021-08-24T00:00:00.000","Everson","Yes","No","3230.54","False","Yes","No","0","No","false","GREATF*955D4","602049236","GREAT FLOORS","2086645405","a.hanft@greatfloors.com","505 E Front Ave",,"COEUR D ALENE","ID","83814","99609300",,,,,"2021-05-21T00:00:00.000","1171956"
"1171950","967552","PENINSULA SCHOOL DISTRICT #401","14015 62ND AVE NW GIG HARBOR, WA - 98335","Sam Rosendahl","306-914-5315","SCHWIESOW CONST INC","3603302005","SCHWIC*206J8","600357443","2021-06-02T00:00:00.000","2021-06-21T00:00:00.000","Kopachuck Middle School Modernization and Addition","2020-005","10414 56th Street NW
Gig Harbor, WA 98335","23199579.00","2021-08-24T00:00:00.000","Gig Harbor","No","No","179314","False","No","Yes","1","Yes","false","RHCONI*011NF","601972281","R & H CONTRACTORS INC","2538471701","rhcontractors@comcast.net","P O BOX 1301",,"GRAHAM","WA","98338","58153201","SCHWIC*206J8","600357443","SCHWIESOW CONST INC",,"2021-08-31T00:00:00.000","1154330"
"1171949","975285","RENTON SCHOOL DISTRICT #403","300 SW 7TH ST RENTON, WA - 98055","Laska Whiteaker","425-204-4426","WESTMARK CONSTRUCTION INC","2535644620","WESTMCI012D3","600040824","2021-08-02T00:00:00.000","2021-08-05T00:00:00.000","Maplewood Heights Elementary School Water Damage Repairs","6282000251","7812 S 124th Street
Seattle, WA 98178","68537.25","2021-08-24T00:00:00.000","Seattle","No","No","3250","False","No","No","0","Yes","false","MEYERFI843Q1","601123323","MEYER FLOORS INC","2535886677","joy@meyerfloor.com","8400 S TACOMA WAY",,"TACOMA","WA","98499","19671400","WESTMCI012D3","600040824","WESTMARK CONSTRUCTION INC",,"2021-08-23T00:00:00.000","1169495"
"1171948","972451","TACOMA SCHOOL DISTRICT #10","3321 S UNION AVE TACOMA, WA - 98409","Morris Aldridge","253-571-3350","TURNER CONSTRUCTION COMPANY","2122296000","TURNECC237D2","600205784","2021-03-09T00:00:00.000","2021-03-09T00:00:00.000","Skyline Elementary School Replacement","TSD 20-174","2301 N Mildred Street
Tacoma, WA 98406","27160876.00","2021-08-24T00:00:00.000","Tacoma","No","No","5590","False","No","No","0","Yes","false","SECURPC863MS","602644498","Secure Pacific Corporation","5032337233","aogama@securepacific.com","8220 N Interstate Ave",,"PORTLAND","OR","97217","39447701","TURNECC237D2","600205784","TURNER CONSTRUCTION COMPANY",,"2021-04-26T00:00:00.000","1163806"
"1171946","976275","FISH AND WILDLIFE, WASH STATE DEPT OF","PO BOX 43200  OLYMPIA WA 98504-3200","David Miller","360-995-3298","SALISH CONSTRUCTION COMPANY","2539225325","SALISCC121BN","601062285","2021-03-03T00:00:00.000","2021-03-13T00:00:00.000","Soos Transformer Replacement","825V7","Soos Creek Hatchery
13030 Auburn-Black Diamond Rd
Auburn,  WA  98092","15456.50","2021-08-24T00:00:00.000","Auburn",,"Yes","15456.5",,"No","No","0","Yes","false","SALISCC121BN","601062285","SALISH CONSTRUCTION COMPANY",,"shotsinpiller@salishelectric.com","10111 S TACOMA WAY, UNIT D-1",,"TACOMA","WA","98498","53718800",,,,,,
"1171944","976429","MONROE SCHOOL DISTRICT #103","200 E FREMONT ST MONROE, WA - 98272-2336","David Fairfax","425-754-0711","ROTO ROOTER SERVICES CO","2535687100","ROTORSC122BR","601057361","2021-08-17T00:00:00.000","2021-08-17T00:00:00.000","Sky Valley School","21723202515","Sky Valley School
351 Short Columbia St
Monroe Wa 98272","1509.34","2021-08-24T00:00:00.000","Monroe","No","No","1509.34","False","No","No","0","Yes","false","ROTORSC122BR","601057361","ROTO ROOTER SERVICES CO","2535687100","tammy.clarke@rrsc.com","4630 16th Street E, Suite B9",,"FIFE","WA","98424","53459500",,,,,"2021-08-17T00:00:00.000","1171944"
"1171936","952605","ENUMCLAW, CITY OF","1339 GRIFFIN AVE ENUMCLAW, WA - 98022","Eric Palmer","360-615-5668","PROGRESSIVE ROOFING","6022784900","PROGRR*917QK","601944272","2021-02-02T00:00:00.000","2021-02-24T00:00:00.000","Police Dept","PW-001084",,"192000.00","2021-08-24T00:00:00.000","Enumclaw","No","No","20000","False","No","Yes","1","Yes","false","LCOCOC*931LM","602732954","LCO COMPANY","2538432120","loberhansly@q.com","PO BOX 854",,"ROY","WA","98580","16430300","WAYNESR205Q5","600178144","WAYNE'S ROOFING INC",,"2021-06-22T00:00:00.000","1125796"
"1171931","950137","METRO PARKS DISTRICT OF TACOMA","4702 S 19TH ST TACOMA, WA - 98405-1175","Kristi Evans","253-305-1054","COLVOS CONSTRUCTION LLC","2538444640","COLVOCL832CZ","604063067","2021-01-15T00:00:00.000","2021-01-25T00:00:00.000","Owen Beach Improvements","202111J","6101 North Owen Beach Rd, Tacoma, WA 98407","4705540.00","2021-08-24T00:00:00.000","Tacoma","No","No","1500","False","No","No","0","Yes","false","SALINSS044LO","601717158","SALINAS SAWING & SEALING INC","4257450706","donna@salinassawcutting.com","7804 40th Ave. W.",,"MUKILTEO","WA","98275","03325400","SCIINL*993JA","602094857","S C I INFRASTRUCTURE LLC",,"2021-08-16T00:00:00.000","1121580"
"1171928","962562","SEATTLE SCHOOL DISTRICT","2445 THIRD AVE S SEATTLE, WA - 98134","Milton Huertas","206-252-0661","FORMA CONSTRUCTION COMPANY","3607545788","FORMACC878OR","600604496","2021-03-03T00:00:00.000","2021-05-10T00:00:00.000","North Beach Elementary School Improvements 2021-2022","B102027","9018 24th Ave NW
Seattle, WA 98117","2054400.00","2021-08-24T00:00:00.000","Seattle","No","No","3668.8","False","No","No","0","Yes","true",,"602835256","Accountable Custodial & Maintenance, Inc.","4256814282","dougbolar.accountablecm@live.com","4487 SE Bakken Ct",,"Port Orchard","WA","98366-9503","15720700","FORMACC878OR","600604496","FORMA CONSTRUCTION COMPANY",,"2021-08-02T00:00:00.000","1145011"
"1171928","962562","SEATTLE SCHOOL DISTRICT","2445 THIRD AVE S SEATTLE, WA - 98134","Milton Huertas","206-252-0661","FORMA CONSTRUCTION COMPANY","3607545788","FORMACC878OR","600604496","2021-03-03T00:00:00.000","2021-05-10T00:00:00.000","North Beach Elementary School Improvements 2021-2022","B102027","9018 24th Ave NW
Seattle, WA 98117","2054400.00","2021-08-24T00:00:00.000","Seattle","No","No","3668.8","False","No","No","0","Yes","true",,"602835256","Accountable Custodial & Maintenance, Inc.","4256814282","dougbolar.accountablecm@live.com","4487 SE Bakken Ct",,"Port Orchard","WA","98366-9503","15720700","FORMACC878OR","600604496","FORMA CONSTRUCTION COMPANY",,"2021-08-02T00:00:00.000","1145011"
"1171927","974643","BELLEVUE, CITY OF","PO BOX 90012 BELLEVUE, WA - 98009","Erikka Hildonen","425-452-5280","R C N W","4252549999","RCNW*CN978L6","602286010","2021-07-01T00:00:00.000","2021-07-19T00:00:00.000","Eastgate Annexation Area Curb Ramp Upgrades","21065",,"749367.50","2021-08-24T00:00:00.000","Bellevue","No","No","2000","False","No","No","0","Yes","false","SALINSS044LO","601717158","SALINAS SAWING & SEALING INC","4257450706","donna@salinassawcutting.com","7804 40th Ave. W.",,"MUKILTEO","WA","98275","03325400","RCNW*CN978L6","602286010","R C N W",,"2021-08-27T00:00:00.000","1168247"
"1171924","963124","EVERETT, CITY OF","3200 CEDAR ST EVERETT, WA - 98201","Keith Alewine","425-257-8931","ALLIED CONSTRUCTION ASSOC INC","4252596057","ALLIECA008DF","602002943","2021-02-23T00:00:00.000","2021-03-31T00:00:00.000","SEI to SRI Intertie and SRO8 Rehabilitation","UP3714","36th Street at Eclipse Mill Road
Everett, WA  98201","994985.50","2021-08-24T00:00:00.000","Everett","No","No","3000","False","No","No","0","Yes","false","FERGUEL813O5","601650231","FERGUSON ENTERPRISES LLC","7578747795","richard.oliver@ferguson.com","ATTN:  LEGAL DEPARTMENT",,"NEWPORT NEWS","VA","23602","03171201","ALLIECA008DF","602002943","ALLIED CONSTRUCTION ASSOC INC",,"2021-08-10T00:00:00.000","1146045"
"1171918","949044","COWLITZ COUNTY FACILITIES MAINT DEPT","207 - 4TH AVE N KELSO, WA - 98626-4124","Don Nyman","360-577-3174","WOODBURN CONSTRCTION CM/GC LLC","5039819504","WOODBCC825QN","604355721","2020-12-08T00:00:00.000","2020-12-28T00:00:00.000","Morgue Construction","2020-0020-01","1946 3rd Ave
Longview, WA 98632","3855927.00","2021-08-24T00:00:00.000","Longview","No","No","29395","False","No","No","0","Yes","false","FIRESWI140B1","600602737","FIRE SYSTEMS WEST INC","2538331248","jimb@firesystemswest.com","206 FRONTAGE RD N STE C",,"PACIFIC","WA","98047","50233800","WESTVVE887DW","603186916","WEST VALLEY ELECTRIC LLC",,"2020-12-28T00:00:00.000","1119636"
"1171907","976400","TRANSPORTATION, WASH STATE DEPT OF","PO BOX 47420 OLYMPIA, WA - 98504-7420","Duane Honeycutt","360-607-2971","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","JOHNSCF837PB","602113334","2020-11-09T00:00:00.000","2020-11-09T00:00:00.000","Washington DOT Wenatchee","Washington DOT","2830 Euclid Ave Building C","871.80","2021-08-24T00:00:00.000","Wenatchee","No","No","871.8","False","No","No","0","Yes","false","JOHNSCF837PB","602113334","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","jamie.drowley@jci.com","ATTN:  LICENSING DEPT",,"BOCA RATON","FL","33431","01162900",,,,,"2020-11-09T00:00:00.000","1171907"
"1171906","954361","SKAGIT COUNTY PUBLIC WORKS","1800 CONTINENTAL PLACE MOUNT VERNON, WA - 98273","Jennifer Swanson","360-416-1438","INTERWEST CONSTRUCTION INC","3607577574","INTERCI121OF","601029425","2021-03-01T00:00:00.000","2021-03-09T00:00:00.000","Josh Wilson Road - Phase 1","ES33000-9",,"3879000.00","2021-08-24T00:00:00.000","Burlington","No","No","28000","False","No","No","0","Yes","false","BARNHCR949B7","602576449","BARNHART CRANE AND RIGGING CO","9017753000","hbufalini@barnhartcrane.com","2163 AIRWAYS BLVD",,"MEMPHIS","TN","38114","11379300","INTERCI121OF","601029425","INTERWEST CONSTRUCTION INC",,"2021-08-16T00:00:00.000","1128922"
"1171904","976398","OAK HARBOR SCHOOL DISTRICT","200 SE MIDWAY BLVD OAK HARBOR, WA - 98277","Michelle Leslie","3602795590","HORIZON SATELLITE & TV INC","3602937335","HORIZST993L7","601394614","2021-06-02T00:00:00.000","2021-06-22T00:00:00.000","Oak Harbor High School Choir Room","2819","1 Wildcat Way, Oak Harbor, WA 98277","430.14","2021-08-24T00:00:00.000","Oak Harbor","No","No","430.14","False","No","Yes","1","No","false","HORIZST993L7","601394614","HORIZON SATELLITE & TV INC","3602937335","accounting@horizonavs.com","1010 34TH ST STE C",,"ANACORTES","WA","98221","55742701",,,,,"2021-07-13T00:00:00.000","1171904"
"1171901","976396","TRANSPORTATION, WASH STATE DEPT OF","PO BOX 47420 OLYMPIA, WA - 98504-7420","Duane Honeycutt","509-667-3074","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","JOHNSCF837PB","602113334","2020-11-03T00:00:00.000","2020-11-03T00:00:00.000","Washington DOT Wenatchee","Washington DOT","2830 Euclid Ave Bldg A","888.79","2021-08-24T00:00:00.000","Wenatchee","No","No","888.79","False","No","No","0","Yes","false","JOHNSCF837PB","602113334","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","jamie.drowley@jci.com","ATTN:  LICENSING DEPT",,"BOCA RATON","FL","33431","01162900",,,,,"2020-11-03T00:00:00.000","1171901"
"1171900","976395","TRANSPORTATION, WASH STATE DEPT OF","PO BOX 47420 OLYMPIA, WA - 98504-7420","Duane Honeycutt","509-667-3074","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","JOHNSCF837PB","602113334","2020-06-10T00:00:00.000","2020-06-10T00:00:00.000","Washington DOT Okanogan","Washington DOT","28862 State Rte 97 - Maintenance Bldg","1621.86","2021-08-24T00:00:00.000","Okanogan","No","No","1621.86","False","No","No","0","Yes","false","JOHNSCF837PB","602113334","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","jamie.drowley@jci.com","ATTN:  LICENSING DEPT",,"BOCA RATON","FL","33431","01162900",,,,,"2020-06-10T00:00:00.000","1171900"
"1171899","966923","WENATCHEE, CITY OF","PO BOX 519 WENATCHEE, WA - 98807 0519","Elisa Schafer","509-888-3663","T W CLARK CONSTRUCTION LLC","5099270800","TWCLACL022DO","601858364","2021-05-05T00:00:00.000","2021-05-14T00:00:00.000","Wenatchee City Hall Redevelopment","1716","301 Yakima Street, Wenatchee, WA 98801","9367890.00","2021-08-24T00:00:00.000","Wenatchee","No","Yes","92518","False","No","No","0","Yes","false","HBPAI**379N9","034003739","H B PAINTERS INC","5097834134","hbpofficegal1@netzero.com","6562 W BRINKLEY RD",,"KENNEWICK","WA","99338","19104700","TWCLACL022DO","601858364","T W CLARK CONSTRUCTION LLC",,"2021-11-01T00:00:00.000","1153064"
"1171897","976394","SNOHOMISH COUNTY AIRPORT","3220 100TH ST SW EVERETT, WA - 98204","Debbie Porter-Lynch","425-388-5491","INNOVAC","8885909685","INNOV**803M1","603469527","2021-08-24T00:00:00.000","2021-08-24T00:00:00.000","Canteen SSMH & Lift Station Cleaning","450-31",,"3610.00","2021-08-24T00:00:00.000","Everett","No","No","3610","False","No","No","0","Yes","false","INNOV**803M1","603469527","INNOVAC","8885909685","maria@innovac.com","2510 Meridian PKWay Ste 350",,"DURHAM","NC","27713","52185600",,,,,"2021-08-24T00:00:00.000","1171897"
"1171894","976393","HEALTH, WASH STATE DEPT OF","PO BOX 47890 OLYMPIA, WA - 98504-7890","David Forrester","206-445-4791","MCKINSTRY CO LLC","2067623311","MCKINCL942DW","602569922","2021-06-21T00:00:00.000","2021-06-21T00:00:00.000","Department of Health - Shoreline",,,"3690.28","2021-08-24T00:00:00.000","Shoreline","No","No","3690.28","False","No","No","0","Yes","false","MCKINCL942DW","602569922","MCKINSTRY CO LLC","2067623311","publicworks@mckinstry.com","PO BOX 24567",,"SEATTLE","WA","98134","70616500",,,,,"2021-06-21T00:00:00.000","1171894"
