"funding_program","proj","recip","website","administrative_organization","current_status","primary_contact","alternate_contact","grant_or_loan","program_description","eligible_projects_description","administrative_sub","percent_match","match_requirement_description","funding_limitation","funding_limitation_description","application_open_yr_1","application_closed_yr_1","application_open_yr_2","application_closed_yr_2","funding_award_duration","additional_application","supplemental_information","last_updated"
"Flood Control Assistance Account Program (Ecology)","Barrier Removal","Conservation Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Acquisition","Conservation Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Acquisition","Counties, Cities, Towns","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Acquisition","Flood Control Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Acquisition","Special Purpose Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Barrier Removal","Counties, Cities, Towns","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Barrier Removal","Flood Control Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Barrier Removal","Special Purpose Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Combination (multiple project types)","Conservation Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Combination (multiple project types)","Counties, Cities, Towns","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Combination (multiple project types)","Flood Control Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Combination (multiple project types)","Special Purpose Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","Other","Special Purpose Districts","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Construction","Conservation Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Construction","Counties, Cities, Towns","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Construction","Flood Control Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Construction","Special Purpose Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Cost-Share","Conservation Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Cost-Share","Counties, Cities, Towns","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Cost-Share","Flood Control Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"319 Grants -- Water Quality (Ecology)","Construction","Flood Control Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","Washington State Department of Ecology","Active","Eliza Keeley-Arnold; 360-407-6509; eliza.keeley-arnold@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The 319 grant program provides funding for nonpoint source pollution projects to improve and protect water quality.","n/a","Water Quality Program","0.25","n/a","$250,000 or $500,000","$250K grant limit with in-kind match contribution;  $500K grant limit with cash-only match contribution.","8/13/2018","10/15/2018","8/12/2018","10/14/2018","3 years","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Cost-Share","Special Purpose Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Design","Conservation Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Design","Counties, Cities, Towns","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","Design","Flood Control Districts","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","Washington State Department of Ecology","Not active (emergency response grants only)","Scott McKinney; 360-407-6131; scott.mckinney@ecy.wa.gov","Brian Lynn; 360-407-6224; brian.lynn@ecy.wa.gov","Grant","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.","n/a","Shorelands and Environmental Assistance Program","0.25","FCAAP uses a 25% cash match approach, which must be incurred within the timeframe of the grant agreement.  Note: Match is 20% for emergency response grants.","$150,000","Generally a limit of $150K.  In some cases an eligible entity could receive up to $500K in a single biennium.","n/a","n/a","n/a","n/a","Until the close of the biennium (June 30, odd numbered years)","n/a","n/a","2018-08-19T00:00:00.000"
