"community_served_billing_entity","districts","treatment_facility_discharge_permit","median_household_income_est_2014","population_2015","population_range","county","permit","permit_type","base_rate_mo","cf_included_in_base","rate_per_100cf","rate_1000cf","low_income_rate_1000cf","outside_city_rate","rate_per_100cf_outside","low_fixed_income_senior_discount","discount_off","discount_rate","sw_fee","user_classes","year_rates_updated","_2017_base_rate_mo","_2017_outside","_2017_low_income_rate","_2018_base_rate_mo","_2018_low_income_rate","_2019_base_rate_mo","_2019_low_income_rate","_2006_rate_1000cf","website"
"Bainbridge Island City",,"Bainbridge Island WWTP","95976.00","23293","10,000- 25,000","Kitsap","Y","NPDES","42.69","0","7.28","115.49","57.75",,,"Yes","0.5","21.35","$7.00","Many","2013",,,,,,,,"63.78","http://www.ci.bainbridge-isl.wa.us/210/Utility-Billing"
"Battle Ground City",,"Salmon Treatment Plant","57347.00","18930","10,000- 25,000","Clark","N",,"32.05","0","1.24","44.45",,"$48.08","$1.86",,,,"$8.70","Many","2016",,,,,,,,"35.54","http://www.cityofbg.org/documentcenter/view/562"
"Beaux Arts Village Town (City of Bellevue)",,"(City of Bellevue)","164375.00","323","Up to 1000","King","N",,"55.53","0","5.06","106.13",,,,,,,,,,,,,,,,,,"https://utilities.bellevuewa.gov/UserFiles/Servers/Server_4779004/File/pdf/Utilities/Utility_Rates_2016.pdf"
"Bellevue City",,,"92524.00","136426","25000+","King","N",,"55.53","0","5.06","106.13","79.59",,,"Yes","0.25","26.53","$2.56","Many","2016",,,,,,,,,"https://utilities.bellevuewa.gov/UserFiles/Servers/Server_4779004/File/pdf/Utilities/Utility_Rates_2016.pdf"
"Bellingham City",,"Bellingham STP","42440.00","83365","25000+","Whatcom","Y","NPDES","39.47","Flat",,"39.47","9.87","$36.38","Flat","Yes","0.75","9.87","$20.18","Many","Annually",,,,,,,,"24.25","https://www.cob.org/services/utilities/Pages/bill-payment.aspx"
"Benton City City",,"Benton City POTW","49655.00","3191","2,501- 5,000","Benton","Y","NPDES","38.55","Flat",,"38.55","19.28","$57.83","Flat","Yes","0.5","19.28","None","Many","Annually",,,,,,,,"34.32","http://ci.benton-city.wa.us/pView.aspx?id=21543&catid=671"
"Bingen City",,"Bingen POTW","42885.00","719","Up to 1000","Klickitat","Y","NPDES","46.00","Flat",,"46.00","36.80","$57.50","Flat","Yes","0.2","36.80","None","Many","2016","46.00","$57.50",,,,,,"34.00","http://www.bingenwashington.org/water-and-sewer"
"Birch Bay Water & Sewer District","District","Birch Bay STP",,,,"Whatcom","Y","NPDES","17.60","400","2.40","32.00",,"$26.40","$3.60",,,,"None","Many","2015","19.25",,,,,,,"27.50","http://www.bbwsd.com/rates"
"Black Diamond City",,,"66951.00","4338","2,501- 5,000","King","N",,"62.26","750","6.99","79.74","66.98",,,"Yes","0.16","52.15","$16.00",,,,,,,,,,,
"Blaine City",,"Lighthouse Point Water Reclamation Facility","55229.00","4976","2,501- 5,000","Whatcom","Y","NPDES","99.00","Flat",,"99.00","49.50","$148.51","Flat","Yes","0.5","49.58","$4.37","Many","2016",,,,,,,,"56.14","http://wa-blaine2.civicplus.com/423/Unified-Fee-Schedule"
"Bonney Lake City",,"Sumner WWTP","79725.00","18809","10,000- 25,000","Pierce","Y","SWDP","54.09","0","3.36","87.69","70.15",,,"Yes","0.2","43.27","$14.00","Many","Annually","61.06",,,,,,,"51.40","http://www.ci.bonney-lake.wa.us/section_government/departments/executive/finance_utility_billing.shtml"
"Boston Harbor",," Boston Harbor STP",,,,"Thurston","y"," NPDES","82.14","Flat",,"82.14",,,,"No",,,,,,"90.35",,,"99.39",,,,,
"Bothell City",,"several districts","75643.00","36567","25000+","King","N",,"58.47","200","3.87","89.43","67.07","$67.28","Flat","Yes","0.25","44.63","$13.47","Many","2016","59.50",,,,,,,"44.87",
"Bremerton City",,"Bremerton STP","43527.00","38572","25000+","Kitsap","Y","NPDES","34.23","0","4.59","80.13",,"$51.36","$6.89","Yes",,,"$11.54","Many","2016","34.24",,,,,,,"54.92","http://www.ci.bremerton.wa.us/589/Residential-Billing-Rates"
"Brewster City",,"Brewster POTW","37232.00","2354","1,001- 2,500","Okanogan","Y","NPDES","56.93","Flat",,"56.93","28.46","No sewer",,"Yes","0.5000878271561566","28.46","None","Many","Annually","59.77",,"$29.89",,,,,"23.50","http://www.cityofbrewsterwashington.org/Documents%20&%20Forms/Water%20and%20Sewer%20Rates_2015-2019.pdf"
"Bridgeport City",,"Bridgeport POTW","36504.00","2434","1,001- 2,500","Douglas","Y","NPDES","46.48","Flat",,"46.48","32.07","$46.48","Flat","Yes","0.31002581755593794","32.07","None","None","2014",,,,,,,,"19.78","http://www.codepublishing.com/WA/Bridgeport/#!/Bridgeport12/Bridgeport1210.html#12.10.115"
"Brier City",,,"98125.00","6434","5,001- 10,000","Snohomish","N",,"55.78","Flat",,"55.78",,"$82.03","$82.03","No",,,"$10.50",,"Annually",,,,,,,,"31.58","http://ci.brier.wa.us/publicworks/info.htm"
"Buckley City",,"Buckley STP","57604.00","4520","2,501- 5,000","Pierce","Y","NPDES","77.99","Flat",,"77.99","54.59","No sewer",,"Yes","0.3","54.59","$21.34","Many","Annually",,,,,,,,"41.62",
"Bucoda Town",,,"35000.00","565","Up to 1000","Thurston","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,"https://www.bucoda.us/contact.html"
"Buena City (Yakima County)",,"Buena POTW",,,,,,,"39.70","Flat",,"39.70",,,,,,,,,,"39.70",,,,,,,,"http://www.yakimacounty.us/620/Sewer-Rates-and-Charges"
"Burien City",,,"52140.00","50188","25000+","King","N",,"46.30","Flat",,"46.30",,,,,,,,,"2016",,,,,,,,,"http://www.valleyviewsewer.org/customers/rates/"
"Burlington City",,"Burlington WWTP","48399.00","8568","5,001- 10,000","Skagit","Y","NPDES","30.56","500","4.36","52.36",,"$65.45","$5.45","No",,,"$6.47","Many","2016",,,,,,,,"47.45","http://www.burlingtonwa.gov/index.aspx?NID=179"
"Camas City",,"Camas STP","84643.00","21220","10,000- 25,000","Clark","Y","NPDES","34.97","0","3.55","70.47",,"$34.98","$5.33","No",,,"$10.65","Many","Annually",,,,"$24.73+$3.66/ccf",,,,"23.05","http://www.ci.camas.wa.us/index.php/billingcollection/utilitybilling"
"Carbonado Town",,"Cabonado STP","55972.00","623","Up to 1000","Pierce","Y","NPDES","63.00","100","6.50","128.00",,,,"No",,,"$2.10","Few","2016",,,,,,,,"27.50",
"Carlyon Beach",,"Carlyon Beach STP",,,,"Thurston","Y","  NPDES",,,,,,,,,,,,,,,,,,,,,,
"Carnation City",,"Camp Korey at Carnation Farm WWTP SWDP?","65536.00","1853","1,001- 2,500","King","N",,"114.10","Flat",,"114.10","57.05",,,"Yes","0.5",,"None",,"Annually",,,,,,,,,"http://www.carnationwa.gov/staff"
"Cashmere City",,"Cashmere POTW","47772.00","3137","2,501- 5,000","Chelan","Y","NPDES","94.29","Flat",,"94.29","75.43","$141.44","Flat","Yes","0.2","75.43","None","Many","2012","99.95","$149.93","$79.96",,,,,"38.65","http://cityofcashmere.org/index.aspx?page=91"
"Castle Rock City",,"Castle Rock STP","34185.00","2140","1,001- 2,500","Cowlitz","Y","NPDES","30.65","0","7.90","109.65",,"$45.98","Flat","No",,,"$7.05","Many","2016",,,,,,,,"48.00","http://ci.castle-rock.wa.us/public.htm"
"Cathlamet Town",,"Cathlamet STP","44875.00","537","Up to 1000","Wahkiakum","Y","NPDES","80.00","Flat",,"80.00",,"$93.00","Flat","No",,,"None","Many","2016","96.00","$111.60",,,,,,"30.00","http://www.townofcathlamet.com/Public%20Works.html"
"Cedar River Water & Sewer District","District",,,,,"King","N",,"62.60","Flat",,"62.60",,,,,,,,"Many","2014",,,,,,,,"51.70","http://www.crwsd.com/download/general_documents/rates.pdf"
"Centralia City",,"Centralia STP","37230.00","16623","10,000- 25,000","Lewis","Y","NPDES","63.82","0","2.25","86.32","77.69","$95.75","$3.39","Yes","0.1","57.41","$9.00","Many","2016",,,,,,,,"59.30","http://www.cityofcentralia.com/Page.asp?NavID=336"
"Chehalis City",,"Chehalis Water Reclaimation Facility","34967.00","7261","5,001- 10,000","Lewis","Y","NPDES","53.49","0","6.43","117.79","58.90","$80.21","$6.89","Yes","0.5","26.75","$8.45","Many","2015",,,,,,,,"71.77","http://www.ci.chehalis.wa.us/publicworks/wastewater-division"
"Chelan City",,,"36901.00","3981","2,501- 5,000","Chelan","Y",,"33.06","936","3.53","35.32","17.66","$49.59","Flat","Yes","0.5","16.53",,"Many","2016","34.78",,"$17.39","$36.58","18.29","$38.49","19.25","21.50","https://cityofchelan.us/departments/public-works/chelan-public-works-wastewater-department/"
"Chelan CO PUD #1 (Dryden)","District","Dryden POTQ",,,,"Chelan","Y","SWDP","67.25","Flat",,"67.25","58.51","N/A",,"Yes","0.13","58.50","None","Many","2015","70.20",,"$61.00","$73.25","63.65","$76.75","66.65","46.68","http://www.chelanpud.org/my-pud-services/rates-and-policies"
"Chelan CO PUD #1 (Lk Wenatchee)","District","Lake Wenatchee POTW",,,,"Chelan","Y","NPDES","67.25","Flat",,"67.25","58.51","N/A",,"Yes","0.13","58.50","None","Many","2015","70.20",,"$61.00","$73.25","63.65","$76.75","66.65","48.09","see above"
"Chelan CO PUD #1 (Peshastin)","District","Peshastin POTW",,,,"Chelan","Y","NPDES","67.25","Flat",,"67.25","58.51","N/A",,"Yes","0.13","58.50","None","Many","2015","70.20",,"$61.00","$73.25","63.65","$76.75","66.65","47.78","see above"
"Cheney City",,"Cheney WWTP","28194.00","11420","10,000- 25,000","Spokane","Y","NPDES","36.67","Flat",,"36.67",,"No sewer",,"No",,,"None","Many ","2016",,,,,,,,"27.07","http://cityofcheney.org/index.php?section=utility-faqs"
"Chewelah City",,"Chewelah WWTP","30541.00","2602","2,501- 5,000","Stevens","Y","NPDES","48.00","Flat",,"48.00",,"No sewer",,"No",,,"None","Many","Annually","58.50",,,,,,,"39.00",
"Clallam County PUD #1","District",,,,,"Clallam",,,"45.60","Flat",,"45.60",,,,,,,,"Many","2016","49.47",,,,,,,,"https://www.clallampud.net/water-rate-information/"
"Clark Regional Wastewater District: Tier 1 Central","District","Westside STP",,,,"Clark","Y","NPDES","38.00","Flat",,"38.00",,"$57.00",,,,,,,"Annually",,,,,,,,,"http://www.crwwd.com/rates.html"
"Clark Regional Wastewater District: Tier 2 Central","District","Salmon Creek STP ",,,,"Clark","Y","NPDES","38.00","Flat",,"38.00",,"$57.00",,,,,,,"Annually",,,,,,,,,"see above"
"Clark Regional Wastewater District: Tier 3 Ridgefield","District","Ridgefield STP",,,,"Clark","Y","NPDES","62.15","Flat",,"62.15","46.61","$93.23","Flat","Yes","0.25","46.61","$2.00","Many","Annually",,,,,,,,"35.00","see above"
"Clarkston City",,"Clarkston WWTP","29824.00","7359","5,001- 10,000","Asotin","Y","NPDES","12.69","0","2.68","39.49",,"$19.04","$4.02","No",,,"$4.00","Many","Annually",,,,,,,,"20.97","http://www.clarkston-wa.com/index.asp?Type=B_BASIC&SEC={963B9C26-AF75-46C1-AA0A-F8E4C8EDEEF8}"
"Cle Elum City",,"Cle Elum POTW","43363.00","1883","1,001- 2,500","Kittitas","Y","NPDES","44.65","Flat",,"44.65",,,,"No",,,"None","Many",,,,,,,,,"37.90","http://cityofcleelum.com/city-services/utilities/rates/"
"Clyde Hill City (City of Bellevue)",,"(City of Bellevue)","192250.00","3198","2,501- 5,000","King","N",,"55.53","0","5.06","106.13",,,,,,,,,,,,,,,,,,"https://utilities.bellevuewa.gov/UserFiles/Servers/Server_4779004/File/pdf/Utilities/Utility_Rates_2016.pdf"
"Coal Creek Utility District","District",,,,,"King","N",,"63.10","Flat",,"63.10",,"N/A",,"Yes",,,"None","Many","2015",,,,,,,,"38.51","http://www.ccud.org/uploads/1/0/3/0/10309811/rates_and_charges_summary.pdf"
"Colfax City",,"Colfax STP","45729.00","2828","2,501- 5,000","Whitman","Y","NPDES","26.20","200","2.15","43.40",,"$45.00","$2.15",,,,"$2.00",,"2015",,,,,,,,"32.02","http://www.colfaxwa.org/utility-billing"
"College Place City",,"College Place STP","43133.00","8997","5,001- 10,000","Walla Walla","Y","NPDES","40.75","3000","0.30","40.75",,"$40.75",,"Yes",,,"None","Many","2006",,,,,,,,"37.75","http://www.ci.college-place.wa.us/index.aspx?NID=277"
"Colton Town",,"Colton STP","60729.00","431","Up to 1000","Whitman","Y","NPDES","32.80","Flat",,"32.80",,"No sewer",,"No",,,"None","Few","Annually","34.11",,,"$35.48",,"$36.90",,"22.50","http://www.coltonwashington.us/contact.html"
"Colville City",,"Colville STP","33953.00","4706","2,501- 5,000","Stevens","Y","NPDES","73.03","Flat",,"73.03","36.52","No sewer",,"Yes","0.5","36.52","$4.00","Many","2016",,,,,,,,"50.00","http://www.colville.wa.us/"
"Conconully Town",,"Conconully POTW","32917.00","212","Up to 1000","Okanogan","Y","SWDP","34.00","Flat",,"34.00",,"No sewer","Flat","No",,,"None","Many","2016","68.00",,,,,,,"24.00","http://www.townofconconully.com/"
"Concrete Town",,"Concrete WWTP","36667.00","714","Up to 1000","Skagit","Y","NPDES","91.00","Flat",,"91.00",,"No sewer",,"No",,,"None","Few","Annually","95.00",,,,,,,"36.05",
"Connell City",,"Connell WWTP","51094.00","5388","5,001- 10,000","Franklin","Y","SWDP","44.56","Flat",,"44.56","22.28","No sewer",,"Yes","0.5","22.28","None","Many","2015",,,,,,,,"24.90","http://www.cityofconnell.com/vertical/sites/%7B5EC177C6-8A65-48BE-BB20-78D21372A172%7D/uploads/Master_Fee_Schedule_-_Removal_of_Sanitation_122015(1).pdf"
"Cosmopolis City",,"? Pacific Beach STP NPDES?","57159.00","1589","1,001- 2,500","Grays Harbor","Y",,"39.12","Flat",,"39.12",,"$48.90","Flat",,,,,"Many","2012",,,,,,,,"30.78","http://cosmopoliswa.gov/assets/city-documents/Cosmopolis-New-sewer-rates-2012.pdf"
"Coulee City Town",,"Grand Coulee WWTP?; Coulee City STP SNDP?","43269.00","575","Up to 1000","Grant","Y","NPDES","43.50","Flat",,"43.50","40.20","No sewer","Flat","Yes","0.2","40.20","None","Few","2015",,,,,,,,"16.50",
"Coulee Dam Town",,,"51813.00","1091","1,001- 2,500","Douglas/Grant/Okanogan","N",,"56.00","Flat",,"56.00","39.20","No sewer","Flat","Yes","0.3","33.60","None",,"2014",,,,,,,,"23.40","http://www.codepublishing.com/WA/CouleeDam/"
"Coupeville Town",,"Coupeville STP","51591.00","1860","1,001- 2,500","Island","Y","NPDES","8.00","0","7.80","86.00",,"No sewer",,"No",,,"$10.00",,"2016","8.00",,,"$8.00",,"$8.00",,"50.00","http://www.townofcoupeville.org/department_files/sewer.htm"
"Covington City",,,"87315.00","19134","10,000- 25,000","King","N",,"59.88",,,"59.88",,,,,,,,,,,,,,,,,,
"Cowiche Sewer District","District","Cowiche Regional POTW",,,,,"n",,,,,,,,,,,,,,,,,,,,,,,
"Creston Town",,"Creston STP","36364.00","217","Up to 1000","Lincoln","Y","SWDP","37.85","Flat",,"37.85",,"$37.85","Flat","No",,,"None","None","2012","39.74",,,,,,,"27.84",
"Cusick Town",,"Cusick WWTP","16875.00","204","Up to 1000","Pend Oreille","Y",,"28.00","Flat",,"28.00",,"$26.95","Flat","No",,,"None",,"2016","29.82",,,,,,,"15.00","http://pendoreillerivervalley.com/ordinance-town-of-cusick-p42018-106.htm"
"Darrington Town",,,"33250.00","1370","1,001- 2,500","Snohomish","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Davenport City",,"Davenport WWTP","47391.00","1665","1,001- 2,500","Lincoln","Y","NPDES","30.39","Flat",,"30.39",,"No Sewer",,"No",,,"None","Many","2016",,,,,,,,"27.50",
"Dayton City",,"Dayton","39185.00","2460","1,001- 2,500","Columbia","Y","NPDES","50.15","Flat",,"50.15",,"$78.15","Flat","No",,,"None","Many","Annually","52.40","$81.65",,,,,,,"http://www.daytonwa.com/doing-business/utilities"
"Deer Park City",,"Deer Park STP, Effluent treated by loon lake","31397.00","3864","2,501- 5,000","Spokane","Y","SWDP","43.38","Flat",,"43.38",,"No Sewer",,"No",,,"None","Few","2006",,,,,,,,"38.97",
"Des Moines City (Midway Sewer District)",,"Midway Sewer District WWTP ?","58308.00","31011","25000+","King","Y","NPDES","26.00","Flat",,"26.00",,,,,,,,,,,,,,,,,,"http://www.midwaysewer.org/rate-increase-in-2016"
"DuPont City (Pierce County)",," (Pierce County)","80754.00","9313","5,001- 10,000","Pierce","N",,"45.64","Flat",,"45.64","36.51",,,"Yes","0.2","54.77","Yes","None","2004","47.14",,,,,,,"22.15","22.15 in 2006, then 23.80 in 2007"
"Duvall City",,"Duvall STP","105729.00","7639","5,001- 10,000","King","Y","NPDES","67.02","Flat",,"67.02","46.91","$100.53","Flat","Yes","0.3","45.41","$18.18","Many","2006",,,,,,,,"56.76","http://www.duvallwa.gov/DocumentCenter/Home/View/86"
"East Wenatchee City",,"Douglas Co Sewer Dist 1 East Wenatchee? NPDES","52989.00","13505","10,000- 25,000","Douglas",,"NPDES","35.50","Flat",,"35.50","26.00","$35.50",,"Yes","0.2676056338028169","26.00","None","Few","2016",,,,,,,,,
"Eatonville Town",,"Eatonville STP","61458.00","2865","2,501- 5,000","Pierce","Y","NPDES","42.40","Flat",,"42.40","36.04","No sewer",,"Yes","0.15","36.50","$8.10","Few","Annually",,,,,,,,,
"Edgewood City (Lakehaven Utility District)",," (Lakehaven Utility District)","78328.00","9749","5,001- 10,000","Pierce","N",,"12.41","0","2.60","38.41",,,,,,,"$11.67",,,,,,,,,,,
"Edison Town",,"Edison LOSS",,,,"Skagit","Y","SWDP",,,,,,,,,,,,,,,,,,,,,,"none"
"Edmonds City",,"Edmonds STP","72926.00","40896","25000+","Snohomish","Y","NPDES","33.25","Flat",,"33.25","16.62",,,"Yes","0.5","16.62","$12.91","Many","2016","36.41",,,,,,,"25.32","http://www.edmondswa.gov/sewer-utility.html"
"Electric City Town",,,"52396.00","1018","1,001- 2,500","Grant","N",,"25.79","Flat",,"25.79",,"$40.43","Flat",,,,,"Few","2012",,,,,,,,"20.03","http://www.electriccity.us/utilities"
"Ellensburg City",,"Ellensburg POTW","28341.00","18774","10,000- 25,000","Kittitas","Y","NPDES","34.59","Flat",,"34.59","21.10","$48.43","Flat","Yes","0.39","13.37","$7.88","Many","2016",,,,,,,,"19.95","https://ci.ellensburg.wa.us/index.aspx?NID=330"
"Elma City",,"Elma STP","43306.00","3018","2,501- 5,000","Grays Harbor","Y","NPDES","42.03","1400",,"42.03",,"$63.05",,"No",,,"None","Many","Annually","43.08",,,,,,,"34.50","http://www.codepublishing.com/WA/Elma/#!/Elma13/Elma13.html"
"Elmer City Town",,,"44583.00","239","Up to 1000","Okanogan","N",,"41.00","Flat",,"41.00","32.80","$42.00",,"Yes","0.2","32.80","None","Few","2016","45.92","$46.92","$36.74",,,,,,
"Endicott Town",,"Endicott STP","38333.00","286","Up to 1000","Whitman","Y","NPDES","36.75","Flat",,"36.75",,"No sewer",,"No",,,"None","Few","2016","40.00",,,,,,,"30.00",
"Entiat City",,"Entiat POTW","37269.00","1154","1,001- 2,500","Chelan","Y","NPDES","72.86","Flat",,"72.86","36.43","$109.29","Flat","Yes","0.5","36.43","None","Many","2016",,,,,,,,"41.00","http://www.entiatwa.us/Living-in-Entiat/Services.aspx"
"Enumclaw City",,"Enumclaw WWTP","56764.00","11548","10,000- 25,000","King/Pierce","Y","NPDES","29.02","0","8.63","115.32",,,,,,"20.31",,"Many","2016",,,,,,,,"31.50","http://cityofenumclaw.net/172/Sewer-Acct-Info"
"Ephrata City",,"Ephrata Water Reclamation Facility","54563.00","8031","5,001- 10,000","Grant","Y","SWDP","37.60","Flat",,"37.60",,"$33.00","Flat","No",,,"None","Many","2000",,,,,,,,"29.00","http://ephrata.org/utilities_221.html"
"Everett City",,"Everett STP","48562.00","106736","25000+","Snohomish","Y","NPDES","42.43","Flat",,"42.43","25.46","$63.63","Flat","Yes","0.4",,"$17.44","Many","Annually",,,,,,,,"38.40","https://everettwa.gov/1384/Rates-2016"
"Everson City",,"Everson STP","51735.00","2565","2,501- 5,000","Whatcom","Y","NPDES","65.00","Flat",,"65.00","58.50","No sewer",,"Yes","0.1",,"None","None","Annually","72.00",,"$64.80","$79.00","71.10",,,"38.00","http://www.ci.everson.wa.us/"
"Fairfield Town",,"Fairfield STP","35556.00","606","Up to 1000","Spokane","Y","NPDES","57.30","Flat",,"57.30",,"$57.30","Flat","No",,,"None","None","Annually","59.30",,,"$61.30",,,,"36.75",
"Farmington Town",,"Farmington STP","50938.00","148","Up to 1000","Whitman","Y","SWDP","34.25","Flat",,"34.25",,"$34.25","Flat","No",,,"None","Few","2014",,,,,,,,"23.50","http://www.farmingtonwa.com/city-hall/public-utilities/"
"Federal Way City (Lakehaven Utility District)",,"Lakota WWTP?","54186.00","93425","25000+","King","Y","NPDES","14.86","0","2.70","41.86",,"$12.41","$2.60",,,,"$6.59","Many","2016",,,,,,,,"26.48","http://www.lakehaven.org/215/Sewer-Rates"
"Ferndale City",,"Ferndale STP","51944.00","12704","10,000- 25,000","Whatcom","Y","NPDES","27.23","0","6.17","88.93",,"$40.85","Flat","No",,,"$13.08","Many","Annually",,,,,,,,"40.77","http://www.cityofferndale.org/government/departments/finance/utility-billing/"
"Fife City",,"Tacoma WWTP","57500.00","9550","5,001- 10,000","Pierce","N",,"63.49","Flat",,"63.49","31.75",,"Flat","Yes","0.5","31.75","$11.49","Many","2016","66.37",,,,,,,"34.90","http://cityoffife.org/city-departments/finance/utility-billing"
"Fircrest City",,,"60544.00","6658","5,001- 10,000","Pierce","N",,"57.00","Flat",,"57.00","42.75","$62.00",,"Yes","0.25","42.75","$12.50","Many ","2009","69.80",,,,,,,,
"Fisherman Bay Sewer District","District","Fisherman Bay STP",,,,"San Juan","Y","NPDES",,"Flat",,,,,"Flat",,,,"None",,,,,,,,,,"43.70",
"Forks City",,"Forks STP","34868.00","3717","2,501- 5,000","Clallam","Y","SWDP","28.82","Flat",,"28.82",,"No sewer","Flat","No",,,"None","Many","2014",,,,,,,,"16.39","http://forkswashington.org/city-government/departments/public-works-utilities/ http://www.codepublishing.com/WA/Forks/"
"Friday Harbor Town",,"Friday Harbor STP","46719.00","2306","1,001- 2,500","San Juan","Y","NPDES","102.75","Flat",,"102.75","51.38","$154.25","Flat","Yes","0.5","51.38","$12.75","Many","2016",,,,,,,,"72.45",
"Garfield Town",,"Garfield STP","38125.00","598","Up to 1000","Whitman","Y","NPDES","40.48","Flat",,"40.48",,"No sewer",,"No",,,"None","None","2015",,,,,,,,"32.00","http://www.garfieldwa.com/services.htm"
"George City",,"George WWTP","47730.00","505","Up to 1000","Grant","Y","SWDP","37.99","Flat",,"37.99",,"No sewer",,"No",,,"None","Few","2016","39.13",,,,,,,"27.55","http://www.cityofgeorge.org/departments/departments.htm"
"Gig Harbor City",,"Gig Harbor STP","64087.00","8375","5,001- 10,000","Pierce","Y","NPDES","35.08","0","4.31","78.18","39.09","$52.62","$6.47","Yes","0.5","17.54","$13.00","Many","2016",,,,,,,,"44.98",
"Gold Bar City",,,"54301.00","2101","1,001- 2,500","Snohomish","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Goldendale City",,"Goldendale POTW","36490.00","3428","2,501- 5,000","Klickitat","Y","NPDES","31.50","1000","0.70","31.50",,,,,,,,"Many","2016",,,,,,,,,"http://www.codepublishing.com/WA/Goldendale/"
"Grand Coulee City",,"Grand Coulee WWTP; Coulee City STP SNDP","27381.00","1050","1,001- 2,500","Grant","Y","NPDES","27.70","Flat",,"27.70","20.78","No sewer",,"Yes","0.25","20.78","None","Many","Annually",,,,,,,,"25.35",
"Grand Mound (Thurston County)",,"Grand Mound STP",,,,"Thurston","Y","NPDES","77.95","Flat",,"77.95",,,,"No",,,,,,"79.60",,,"83.58",,,,,"http://www.co.thurston.wa.us/publicworks/Docs/WSU/RateIncreaseNoticeWeb2017.pdf"
"Grandview City",,"Grandview POTW","37012.00","11140","10,000- 25,000","Yakima","Y","NPDES","31.69","700","3.35","41.73",,"$47.54","$5.02","No",,,"None","Many","2003",,,,,,,,"28.20",
"Granger Town",,"Granger POTW","39850.00","3394","2,501- 5,000","Yakima","Y","NPDES","31.33","668","2.19","37.90","28.43","$47.00","$3.29","Yes","0.25","23.50","None","Many","Annually",,,,,,,,"25.93",
"Granite Falls City",,"Granite Falls STP","50833.00","3468","2,501- 5,000","Snohomish","Y","NPDES","55.00","Flat",,"55.00",,,,,,,"$9.00",,,,,,,,,,"28.00",
