"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","businesstypecode","businesstypecodedesc","ubi","authorizedsigner","signerrole"
"A & A APPLIANCE SERVICE INC","APPLI*A844LC","EC","ELECTRICAL CONTRACTOR","C","Corporation","601176144",,
"AAA PUMP & WELL DRILLING","AAAPUPW937CE","EC","ELECTRICAL CONTRACTOR","I","Individual","600351973",,
"AAA WATER HEATERS INC","AAAWAWH792NP","PC","PLUMBING CONTRACTOR","C","Corporation","602707410",,
"A-ABSOLUTE CMFRT HTG/COOL INC","AABSOCH927CO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602084530","Lines, Matthew","Permits"
"A-ABSOLUTE CMFRT HTG/COOL INC","AABSOCH927CO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602084530","Schoennoehl, Dave","Permits"
"A-ABSOLUTE CMFRT HTG/COOL INC","AABSOCH927CO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602084530","Hill, Chris","Permits"
"A-ABSOLUTE CMFRT HTG/COOL INC","AABSOCH927CO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602084530","Hart, Andrew C","Permits"
"AACRA BACKFLOW TESTING/REPAIR","AACRABT795PD","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604034612",,
"A. Adkisson Electric Inc","ADKISAE808Q2","EC","ELECTRICAL CONTRACTOR","C","Corporation","604608711",,
"A-ADVANCED SEPTIC SERVICES INC","ADVANSS814MA","EC","ELECTRICAL CONTRACTOR","C","Corporation","602603409","Sutton, Cassandra","Permits"
"A&A ELECTRIC","ELECTE*887LQ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602628796","Sablina, Olga","Permits"
"AA ELECTRIC CO INC","AAELEEC913R9","EC","ELECTRICAL CONTRACTOR","C","Corporation","602978119",,
"AALARADO ELECTRIC INC","AALAREI840R8","EC","ELECTRICAL CONTRACTOR","C","Corporation","604068722",,
"A & A LIGHTING","LIGHT*L816CN","EC","ELECTRICAL CONTRACTOR","I","Individual","601541751",,
"Aalvarado Electric Inc","AALVAEI830BD","EC","ELECTRICAL CONTRACTOR","C","Corporation","604068722",,
"AA MECHANICAL LLC","AAMECML790NB","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604692298",,
"AA QUALITY PLUMBING","AAQUAQP795RH","PC","PLUMBING CONTRACTOR","I","Individual","604830276",,
"AARDEN AIR LLC","AARDEAL902BJ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602219376",,
"AARON'S PLUMBING LLC","AARONPL797NF","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602550834",,
"AAtronics, LLC","AATROL*881L5","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603209209",,
"A & A WELL DRILLING INC","WELLDWD933KQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602005423",,
"ABACUS ELECTRIC CO","ABACUEC928LT","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602838703",,
"ABACUS ELECTRIC CONTRACTNG INC","ABACUEC958B4","EC","ELECTRICAL CONTRACTOR","C","Corporation","602460862","Huston, Justis","Permits"
"ABBACOM, INC","ABBACI*810L6","EC","ELECTRICAL CONTRACTOR","C","Corporation","604035855",,
"ABB Enterprise Software Inc","ABBENES814RU","EC","ELECTRICAL CONTRACTOR","C","Corporation","603165685",,
"Abbey Electric Inc","ABBEYEI845N6","EC","ELECTRICAL CONTRACTOR","C","Corporation","604029270","Meadows, Edward","Permits"
"Abbey Electric Inc","ABBEYEI845N6","EC","ELECTRICAL CONTRACTOR","C","Corporation","604029270","Marsden, Daniel","Permits"
"Abbey Electric Inc","ABBEYEI845N6","EC","ELECTRICAL CONTRACTOR","C","Corporation","604029270","Brown, Thomas","Permits"
"Abbey Electric Inc","ABBEYEI845N6","EC","ELECTRICAL CONTRACTOR","C","Corporation","604029270","Weight, Greg","Permits"
"Abbey Electric Inc","ABBEYEI845N6","EC","ELECTRICAL CONTRACTOR","C","Corporation","604029270","Brown, Sarah","Permits"
"Abbey Electric Inc","ABBEYEI845N6","EC","ELECTRICAL CONTRACTOR","C","Corporation","604029270","Kriebel, Jennifer","Permits"
"ABB Inc.","ABBINI*811MB","EC","ELECTRICAL CONTRACTOR","C","Corporation","600402821",,
"ABC Heating & Electric LLC","ABCHEHE829LM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604214708","Scott, Deb","Permits"
"ABC HEATING & ELECTRIC LLC","ABCHEHE824KH","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604214708",,
"ABG ELECTRIC INCORPORATED","ABGELEI824P9","EC","ELECTRICAL CONTRACTOR","C","Corporation","603211716",,
"ABLE AIR LLC","ABLEAAL946MC","EC","ELECTRICAL CONTRACTOR","C","Corporation","602619429",,
"ABLE ONE PLUMBING & MECH. LLC","ABLEOOP783JR","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604899074",,
"ABM Engineering Srvcs Company","ABMENES872PW","EC","ELECTRICAL CONTRACTOR","C","Corporation","601362214",,
"Abode Electric","ABODEE*892LC","EC","ELECTRICAL CONTRACTOR","I","Individual","603074340",,
"ABOUT PLUMBING INC","ABOUTPI799OP","PC","PLUMBING CONTRACTOR","C","Corporation","604294812",,
"Above Plumbing & Contrng LLC","ABOVEPC786MH","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603089775",,
"ABOVE THE BEST INC","ABOVEBI925KK","EC","ELECTRICAL CONTRACTOR","C","Corporation","602805704",,
"ABSCO ALARMS INC","ABSCOAI221BJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","600260973","Aspnes, Julie","Permits"
"ABSCO ALARMS INC","ABSCOAI221BJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","600260973","Millman, Sheila","Permits"
"ABSCO ALARMS INC","ABSCOAI221BJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","600260973","Henn, Taylor","Permits"
"ABSOLUTE CHOICE ELECTRIC LLC","ABSOLCE855NC","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603513886",,
"ABSOLUTE COMFORT TECH ELEC LLC","ABSOLCT837Q8","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604185000",,
"ABSOLUTE COMFORT TECH LLC","ABSOLCT894PU","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603152163","Perez, Javier","Permits"
"ABSOLUTE COMFORT TECH LLC","ABSOLCT894PU","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603152163","Johnson, Lindsey","Permits"
"ABSOLUTE COMFORT TECH LLC","ABSOLCT894PU","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603152163","Holwenger, Jared","Permits"
"ABSOLUTE COMFORT TECH LLC","ABSOLCT894PU","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603152163","Foster, Reatha","Permits"
"ABSOLUTE COMFORT TECH LLC","ABSOLCT894PU","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603152163","Dietz, Alison","Permits"
"ABSOLUTE ELECTRIC INC","ABSOLEI973NQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602089046",,
"ABSOLUTE HEATING/CLG SLTNS LLC","ABSOLHS885UG","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603187335","Ramirez, Francisco","Permits"
"ABSOLUTE HEATING/CLG SLTNS LLC","ABSOLHS885UG","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603187335","Ramirez, Josue A","Permits"
"Absolute Heating & Cooling Inc","ABSOLHC858MO","EC","ELECTRICAL CONTRACTOR","C","Corporation","603439143",,
"ABSOLUTELY FABULOUS SRV ONLY H","ABSOLFS920CO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602798955",,
"ABSOLUTE PLUMBING","ABSOLP*799MB","PC","PLUMBING CONTRACTOR","C","Corporation","603305333",,
"ABSOLUTE POWER ELECTRIC INC","ABSOLPE844LP","EC","ELECTRICAL CONTRACTOR","C","Corporation","603563911",,
"ABSOLUTE POWER INC","ABSOLPI920KZ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602828098",,
"ABSOLUTE SECURITY ALARMS LLC","ABSOLSA875C2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602707008","Grier, Nancy","Permits"
"ABSOLUTE SECURITY ALARMS LLC","ABSOLSA875C2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602707008","Ramirez, Edgar","Permits"
"ABSOLUTE SECURITY ALARMS LLC","ABSOLSA875C2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602707008","Jirka, Jason","Permits"
"ABSOLUTE SECURITY ALARMS LLC","ABSOLSA875C2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602707008","Artis, Marius Q","Affidavits"
"ABUNDANT HEATING & A C INC","ABUNDHC007C9","EC","ELECTRICAL CONTRACTOR","C","Corporation","601848381",,
"ABUNDANT TECHNOLOGIES","ABUNDT*793D6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602887601",,
"ABYGGA LLC","ABYGGL*824DK","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604200741",,
"ACCEL ELECTRIC LLC","ACCELEL982RE","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602252536",,
"ACCENT HEATING & COOLING LLC","ACCENHC006DA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","601863232","Hufnagel, Mertiz","Permits"
"ACCENT HEATING & COOLING LLC","ACCENHC006DA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","601863232","Skillings, Georgetta","Permits"
"Access Electrical LLC","ACCESEL856LD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603509065",,
"ACCESS PLUMBING & HEATING LLC","ACCESPH785C8","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604623250",,
"ACCESS TELEPHONE SOLUTIONS INC","ACCESTS000MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","601849981",,
"ACCESS UNLMTD & SECURITY INC","ACCESUS974N7","EC","ELECTRICAL CONTRACTOR","C","Corporation","602281798","Lee, Douglas","Affidavits and Permits"
"ACCLAIM PLUMBING AND DRAIN","ACCLAPD781MF","PC","PLUMBING CONTRACTOR","C","Corporation","604231441",,
"ACCO ENGINEERED SYSTEMS INC","ACCOESI971KW","EC","ELECTRICAL CONTRACTOR","C","Corporation","601003669","Camis, Sondra","Permits"
"ACCO ENGINEERED SYSTEMS INC","ACCOEES794RO","PC","PLUMBING CONTRACTOR","C","Corporation","601003669",,
"ACCO ENGINEERED SYSTEMS INC","ACCOEES827LE","EC","ELECTRICAL CONTRACTOR","C","Corporation","601003669",,
"ACCO ENGINEERED SYSTEMS INC","ACCOEES962BO","EC","ELECTRICAL CONTRACTOR","C","Corporation","601003669",,
"ACCO ENGINEERED SYSTEMS INC","ACCOESI971KW","EC","ELECTRICAL CONTRACTOR","C","Corporation","601003669","Fain, Jason","Permits"
"ACCUFLO AIR SYSTEMS","ACCUFAS996R6","EC","ELECTRICAL CONTRACTOR","I","Individual","602169209",,
"ACCUFLO AIR SYSTEMS LLC","ACCUFAS841LB","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603584329","Heath, Andra","Permits"
"ACCUMAR INDUSTRIES LLC","ACCUMIL785DC","LC","ELEVATOR CONTRACTOR","L","Limited Liability Company","604810658",,
"Accuracy Electric","ACCURE*907CD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602872484",,
"ACCURATE CONTROLS INC","ACCURCI895LN","EC","ELECTRICAL CONTRACTOR","C","Corporation","603119160",,
"Accurate Electric LLC","ACCUREL896JK","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603101718",,
"ACCURATE ELECTRIC OF OR INC","ACCURE*903MR","EC","ELECTRICAL CONTRACTOR","C","Corporation","602978016","Vanderhey, Eric","Permits"
"ACCURATE ELECTRIC OF OR INC","ACCURE*903MR","EC","ELECTRICAL CONTRACTOR","C","Corporation","602978016","Andrews, Jeff","Permits"
"ACCURATE ELECTRIC OF OR INC","ACCURE*903MR","EC","ELECTRICAL CONTRACTOR","C","Corporation","602978016","Connor, Debra","Permits"
"ACCURATE ELECTRIC OF OR INC","ACCURE*903MR","EC","ELECTRICAL CONTRACTOR","C","Corporation","602978016","Grable, Anthony","Permits"
"Accurate Electric & Svc Inc","ACCURES885JL","EC","ELECTRICAL CONTRACTOR","C","Corporation","603197701","Billington, Sheila","Affidavits and Permits"
"Accurate Electric & Svc Inc","ACCURES885JL","EC","ELECTRICAL CONTRACTOR","C","Corporation","603197701","Billington, Steve","Permits"
"ACCURATE ELECTRIC UNLIMITD INC","ACCUREU905ML","EC","ELECTRICAL CONTRACTOR","C","Corporation","602966034","Watts, Deborah","Permits"
"ACCURATE ELECTRIC UNLIMITD INC","ACCUREU905ML","EC","ELECTRICAL CONTRACTOR","C","Corporation","602966034","Dixon, William","Permits"
"ACCURATE HEATING & ELECT LLC","ACCURHE797KD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602525055",,
"ACCURATE HEATING & ELECT LLC","ACCURHE951NN","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602525055",,
"ACCU-Tech Fire & Security","ACCUTFS785M2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604937473",,
"ACCU TEMP HEATING & A/C INC","ACCUTTH8904Q","EC","ELECTRICAL CONTRACTOR","C","Corporation","603125083",,
"AC/DC ELECTRIC COMPANY LLC","ACDCEEC793CB","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604693497",,
"AC/DC ELECTRIC OF IDAHO","ACDCEI*013J7","EC","ELECTRICAL CONTRACTOR","C","Corporation","601745371",,
"AC & E","ACE**E*970LP","EC","ELECTRICAL CONTRACTOR","I","Individual","601409960",,
"Ace Electrical Services LLC","ACEELES815C7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604388999","Wilson, John","Permits"
"A C & E ELECTRIC COMPANY, LLC","CEELECE790K3","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604720961",,
"ACE ELECTRIC INC","ACEELI*003CM","EC","ELECTRICAL CONTRACTOR","C","Corporation","601985206",,
"AC ELECTRIC","ACELE**951LL","EC","ELECTRICAL CONTRACTOR","C","Corporation","602505901",,
"A/C ELECTRICAL INC","ACELEEI961JF","EC","ELECTRICAL CONTRACTOR","C","Corporation","602352127","Escalante, Terrye D","Affidavits and Permits"
"AC ELECTRIC LLC","ACELEEL918PM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602957562",,
"A C ELECTRIC SERVICE","CELECCE873OZ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602886877","Hansen SR, William","Permits"
"A C ELECTRIC SERVICE","CELECCE873OZ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602886877","Hansen JR, William","Permits"
"A C ELECTRIC SERVICE INC","ACELESI025DF","EC","ELECTRICAL CONTRACTOR","C","Corporation","601858837","Rosemary, Katie","Permits"
"ACER ELECTRIC INC","ACEREEI914B3","EC","ELECTRICAL CONTRACTOR","C","Corporation","602888700",,
"ACE SECURITY","ACESE**095K4","EC","ELECTRICAL CONTRACTOR","I","Individual","601321408",,
"ACES Electrical LLC","ACESEEL888N9","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602938699",,
"ACES ELECTRICAL SERVICES","ACESEES824O5","EC","ELECTRICAL CONTRACTOR","I","Individual","604322252","Walton-Laur, Linda","Permits"
"ACE WORKS INC","ACEWOWI789M6","PC","PLUMBING CONTRACTOR","C","Corporation","604739579",,
"ACI NORTHWEST INC","ACINOI*933NM","EC","ELECTRICAL CONTRACTOR","C","Corporation","601746223","LILLIS, ROBIN","Permits"
"ACI NORTHWEST INC","ACINOI*933NM","EC","ELECTRICAL CONTRACTOR","C","Corporation","601746223","Heuer, Steve","Permits"
"ACI NORTHWEST INC","ACINOI*933NM","EC","ELECTRICAL CONTRACTOR","C","Corporation","601746223","HUSS, JASON","Permits"
"ACK ELECTRIC LLC","ACKELEL849N4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603593765",,
"ACKER ELECTRIC","ACKERE*077PM","EC","ELECTRICAL CONTRACTOR","I","Individual","601493691",,
"ACKERMANN ELECTRIC COMPANY","ACKEREC084MA","EC","ELECTRICAL CONTRACTOR","C","Corporation","601387483",,
"A & C MECHANICAL INC","ACMECI*014MA","EC","ELECTRICAL CONTRACTOR","C","Corporation","601620518",,
"ACME ELECTRIC INC","ACMEEI*077QZ","EC","ELECTRICAL CONTRACTOR","C","Corporation","601500325",,
"AC NW HEATING & COOLING INC","ACNWHNH804RN","EC","ELECTRICAL CONTRACTOR","C","Corporation","604548194",,
"ACORN STAIRLIFTS INC","ACORNSI883JP","LC","ELEVATOR CONTRACTOR","A","Association","602948910",,
"Acqua Plumbing LLC","ACQUAPL787BR","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602987192",,
"ACS Logistics Holdings LLC","ACSLOLH786KR","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604905396",,
"ACTIONAIRE","ACTIO**813NA","EC","ELECTRICAL CONTRACTOR","C","Corporation","604181491","Helland, Alie","Permits"
"ACTIONAIRE","ACTIO**825W9","EC","ELECTRICAL CONTRACTOR","C","Corporation","604181491",,
"ACTION CRAFT EXPERTS LLC","ACTIOCE781CJ","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604839448",,
"ACTION DRAIN & PLUMBING","ACTIODP786LP","PC","PLUMBING CONTRACTOR","C","Corporation","603368116",,
"ACTION ELECTRIC INC","ACTIOEI812LO","EC","ELECTRICAL CONTRACTOR","C","Corporation","604457764",,
