"region","system","water","race","mark","apr_2012","may_2012","jun_2012","jul_2012","aug_2012","sep_2012","oct_2012","nov_2012","dec_2012","jan_2013","feb_2013","mar_2013","total"
,,"Pilchuck Creek (Stillaguamish System)","S","Marked",,,,,"4",,,,,,,,"4"
,,"Stillaguamish R, No. Fork","S","Marked",,,"17","125","43","35","39",,,,,,"259"
,,,"W","Marked",,,,,,,,"56","196","114","23",,"389"
,,"Stillaguamish R, So. Fork","S","Marked",,,,"4",,"4","9",,,,,,"17"
,,,,"Unmarked",,,,,"2",,,,,,,,"2"
,,,,"Total",,,,"4","2","4","9",,,,,,"19"
,,,"W","Marked",,,,,,,,,,"3",,,"3"
,,"Stillaguamish River","S","Marked",,,,,,"17","26",,,,,,"43"
,,,"W","Marked",,,,,,,,"3","20","3",,,"26"
,,"Stillaguamish R. System Totals","S","Marked",,,"21","138","47","56","74",,,,,,"336"
,,,,"Unmarked",,,,,"2",,,,,,,,"2"
,,,,"Total",,,"21","138","49","56","74",,,,,,"338"
,,,"W","Marked",,,,,,,,"59","216","132","23",,"430"
,"PUGET SOUND REGION TOTALS","PUGET SOUND REGION TOTALS","S","Marked",,"10","1819","1756","593","363","466",,,,,,"5007"
,,,,"Total",,"10","1820","1756","597","363","466",,,,,,"5012"
,,,"W","Marked","17",,,,,,,"751","2819","1579","350","13","5529"
"UNK","Unknown waters","Unknown","S","Marked",,"16","57","131","74","131","131",,,,,,"540"
,,,"W","Marked","40",,,,,,,"110","151","129","89","66","585"
,,,,"Unmarked",,,,,,,,,"4",,"7","4","15"
,,,,"Total","40",,,,,,,"110","155","129","96","70","600"
,"Unknown REGION TOTALS","Unknown REGION TOTALS","S","Marked",,"16","57","131","74","131","131",,,,,,"540"
,,,"W","Marked","40",,,,,,,"110","151","129","89","66","585"
,,,,"Unmarked",,,,,,,,,"4",,"7","4","15"
,,,,"Total","40",,,,,,,"110","155","129","96","70","600"
