"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","licensestatus","licensestatusdesc","ubi","insurancecompany","insurancepolicyno","insuranceamt","effectivedate","expirationdate","canceldate","createdate","createdby_waoic_id","lastupdatedate","updatedby_waoic_id","insuranceagencyname"
"110% LLC","110LLL*812CA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604381597","Ohio Security Ins Co","BKS59454790","1000000","2022-02-01T00:00:00.000","2023-02-01T00:00:00.000",,"2021-12-20T00:00:00.000","888152","2021-12-20T00:00:00.000","888152","Bill Yount Insurance Agency"
"11202 LLC","11202L*815KL","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604026410","Berkley Assurance Company","VUMA0263180","1000000","2021-12-31T00:00:00.000","2022-12-31T00:00:00.000",,"2021-12-30T00:00:00.000","16321","2021-12-30T00:00:00.000","16321","KIBBLE & PRENTICE HOLDING CO"
"11210 LLC","11210L*833M8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603538416","Navigators Specialty Insurance","LA21CGLZ08E4ZIC","2000000","2021-08-09T00:00:00.000","2024-08-09T00:00:00.000",,"2022-07-13T00:00:00.000","704960","2022-07-13T00:00:00.000","704960","Propel Insurance"
"11TH HR WELDING  FAB & RPR LLC","11THHHW785NQ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604825752","State National Ins Co Inc","NXTPHLVFD900GL","1000000","2022-08-11T00:00:00.000","2023-08-11T00:00:00.000",,"2022-08-18T00:00:00.000","L&I Staff","2022-08-18T00:00:00.000","L&I Staff",
"1-2-3 CONSTRUCTION LLC","123COCL847CZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603581687","Obsidian Specialty Insurance C","SCB-GL-000001297","1000000","2022-02-05T00:00:00.000","2023-02-05T00:00:00.000",,"2022-02-02T00:00:00.000","734660","2022-02-02T00:00:00.000","734660","SEXTON AGENCY, THE"
"123 Electric Service Inc","123ELES877DA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602762749","Liberty Mutual Ins Co","BKS55734978","1000000","2015-08-27T00:00:00.000","2023-08-27T00:00:00.000",,"2015-07-20T00:00:00.000","841622","2022-06-23T00:00:00.000","0","GRIFFITH INS GROUP INC"
"123 FLOOR LLC","123FLFL783LT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604929984","Contractors Bonding & Insuranc","C11SN6940","1000000","2022-06-13T00:00:00.000","2023-06-13T00:00:00.000",,"2022-06-30T00:00:00.000","L&I Staff","2022-06-30T00:00:00.000","L&I Staff",
"12 BROTHERS CONSTRUCTION LLC","12BROBC809BS","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604555192","Preferred Contractors Ins Co R","PCA5026-PC421376","1000000","2022-01-09T00:00:00.000","2023-01-09T00:00:00.000",,"2022-01-10T00:00:00.000","862971","2022-01-10T00:00:00.000","862971","Safe Shield Insurance LLC"
"12 CUSTOM HOMES LLC","12CUSCH819RK","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604543201","Penn-Star Ins Co","PAV0393778","1000000","2022-08-03T00:00:00.000","2023-08-03T00:00:00.000",,"2022-08-03T00:00:00.000","146464","2022-08-03T00:00:00.000","146464","MITCHELL REED & ASSOCIATES INC"
"12 DECKS & FENCES LLC","12DECDF813MN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604470991","Developers Surety & Indem Co","BIS00036889-01","1000000","2021-06-13T00:00:00.000","2023-06-13T00:00:00.000",,"2021-06-02T00:00:00.000","701297","2022-05-09T00:00:00.000","701297","BASIN INSURANCE ASSOC-PUYALLUP"
"12DECKS LLC","12DECL*781KK","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604889153","CLEAR SPRING PROPERTY AND CASU","CB002435300","1000000","2022-03-30T00:00:00.000","2023-03-30T00:00:00.000",,"2022-05-12T00:00:00.000","L&I Staff","2022-05-12T00:00:00.000","L&I Staff",
"12 FRAMERS LLC","12FRAFL796PN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604596411","Atlantic Cas Ins Co","L1250043121","1000000","2021-08-18T00:00:00.000","2023-08-18T00:00:00.000",,"2021-10-15T00:00:00.000","L&I Staff","2022-08-16T00:00:00.000","1011638","Universal Insurance Svcs LLC"
"12 GENERAL CONSTRUCTION LLC","12GENGC815JA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604417399","CLEAR SPRING PROPERTY AND CASU","CB002372700","1000000","2022-03-27T00:00:00.000","2023-03-27T00:00:00.000",,"2022-03-08T00:00:00.000","272898","2022-03-08T00:00:00.000","272898","VAUGHN INS SERVICE LLC"
"12TH AVENUE IRON INC","12THAAI925C2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602706076","Ohio Security Ins Co","BKS54967754","1000000","2015-01-01T00:00:00.000","2023-01-01T00:00:00.000",,"2014-12-22T00:00:00.000","173762","2021-12-07T00:00:00.000","0","PLC INSURANCE LLC"
"12TH MAN CONSTRUCTION INC","12THMMC846K3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603617714","AIX Specialty Insurance Co","SIZGL4847B256779","1000000","2021-10-28T00:00:00.000","2022-10-28T00:00:00.000",,"2021-10-28T00:00:00.000","228916","2021-10-28T00:00:00.000","228916","ALLA KOZLOV INS AGENCY INC"
"12TH MAN TILING","12THMMT833JF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602867631","Contractors Bonding & Insuranc","C11SL3260","1000000","2019-04-05T00:00:00.000","2027-04-05T00:00:00.000",,"2019-04-17T00:00:00.000","10059","2022-02-10T00:00:00.000","10059","JERRY DANIELSON INSURANCE"
"12 TILE","12TILT*852LA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602703282","Ohio Security Ins Co","BKS56716322","1000000","2017-05-19T00:00:00.000","2023-05-19T00:00:00.000",,"2017-04-13T00:00:00.000","877837","2022-04-19T00:00:00.000","201438","LIBERTY MUTUAL AGENCY CORP"
"132ND CONSTRUCTS LLC","132NDCL804BG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604547554","Developers Surety & Indem Co","BIS00034150-02","1000000","2021-01-01T00:00:00.000","2023-01-01T00:00:00.000",,"2020-12-18T00:00:00.000","66521","2021-12-14T00:00:00.000","66521","BASIN INSURANCE - TACOMA"
"132R LLC","132RLL*795R1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604836948","Contractors Bonding & Insuranc","G11FE2104","1000000","2022-07-25T00:00:00.000","2023-07-25T00:00:00.000",,"2022-07-25T00:00:00.000","248186","2022-07-25T00:00:00.000","248186","Basin Insurance - Federal Way"
"132R LLC","132RLL*795R1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604836948","Contractors Bonding & Insuranc","G11FE1833","1000000","2021-12-06T00:00:00.000","2022-12-06T00:00:00.000",,"2021-12-21T00:00:00.000","L&I Staff","2021-12-21T00:00:00.000","L&I Staff",
"16D LLC","16DLLL*895D2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603092523","Associated Industries Ins Co I","AES1200823-02","1000000","2022-09-01T00:00:00.000","2023-09-01T00:00:00.000",,"2022-08-30T00:00:00.000","0","2022-08-30T00:00:00.000","0","PARKER SMITH & FEEK INC"
"1702-WLD ER 8 P23 LLC","1702WE8823DF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604229353","Cumis Insurance Society Inc","318047","1000000","2022-07-20T00:00:00.000","2023-07-23T00:00:00.000",,"2022-07-23T00:00:00.000","92330","2022-07-23T00:00:00.000","92330","PARKER SMITH & FEEK INC"
"1702-WLD ER 8 P23 LLC","1702WE8823DF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604229353","Cumis Specialty Insurance Comp","313204","1000000","2021-07-20T00:00:00.000","2023-07-20T00:00:00.000","2022-07-23T00:00:00.000","2021-07-29T00:00:00.000","L&I Staff","2022-07-23T00:00:00.000","92330","PARKER SMITH & FEEK INC"
"1794 EXCAVATING LLC","1794EEL782DT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604866409","Scottsdale Ins Co","CPS7543690","1000000","2022-03-18T00:00:00.000","2023-03-18T00:00:00.000",,"2022-03-31T00:00:00.000","L&I Staff","2022-03-31T00:00:00.000","L&I Staff",
"1-800-BOARDUP","1800B**917L9","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","600458809","Allied World Surplus Lines Ins","5054075003","1000000","2022-02-01T00:00:00.000","2023-02-01T00:00:00.000",,"2022-04-06T00:00:00.000","L&I Staff","2022-04-06T00:00:00.000","L&I Staff",
"1-800-BOARDUP","1800B**917L9","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","600458809","Arch Specialty Ins Co","12 EMP 05380 03","1000000","2018-02-01T00:00:00.000","2023-02-01T00:00:00.000",,"2018-01-31T00:00:00.000","0","2022-01-10T00:00:00.000","0","HUB INTERNATIONAL Bothell"
"1-800-BOARDUP","1800B**929O9","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602373112","Colony Ins Co","PACER4257970","1000000","2020-04-22T00:00:00.000","2023-04-22T00:00:00.000",,"2020-04-14T00:00:00.000","235129","2022-04-14T00:00:00.000","235129","NFP PROPERTY & CAS SRVCS INC W"
"1-800 PLUMBER & AIR PACIFIC NW","1800PPA785KB","PC","PLUMBING CONTRACTOR","A","ACTIVE","604745340","Gemini Ins Co","VOGP002941","1000000","2022-01-02T00:00:00.000","2023-01-02T00:00:00.000",,"2022-05-02T00:00:00.000","L&I Staff","2022-05-02T00:00:00.000","L&I Staff",
"1-800-WATERDAMAGE","1800W**955OO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602512332","Guideone National Insurance Co","ENV562008574-00","1000000","2022-02-01T00:00:00.000","2022-09-22T00:00:00.000",,"2022-05-05T00:00:00.000","12154","2022-05-05T00:00:00.000","12154","ELLIOTT POWELL BADEN/BAKER INC"
"1-800 WATER DAMAGE/S PGT SD","1800WWD793B6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604390564","Western World Ins Co","EVP100259501","1000000","2020-02-15T00:00:00.000","2023-02-15T00:00:00.000",,"2021-01-26T00:00:00.000","L&I Staff","2022-02-14T00:00:00.000","148558","Basin Pacific Insurance Basin"
"1-800 WATER DAMAGE/S PGT SD","1800WWD793B6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604390564","Capitol Specialty Ins Corp","EV20210136","1000000","2022-02-15T00:00:00.000","2023-02-15T00:00:00.000",,"2022-02-15T00:00:00.000","148558","2022-02-15T00:00:00.000","148558","Basin Pacific Insurance Basin"
"1801-WLD LS TOWNHOMES LLC","1801WLT816KN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604397976","Cumis Insurance Society Inc","318047","1000000","2022-07-20T00:00:00.000","2023-07-20T00:00:00.000",,"2022-07-23T00:00:00.000","92330","2022-07-23T00:00:00.000","92330","PARKER SMITH & FEEK INC"
"1801-WLD LS TOWNHOMES LLC","1801WLT816KN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604397976","Cumis Specialty Insurance Comp","313204","1000000","2021-07-20T00:00:00.000","2023-07-20T00:00:00.000","2022-07-23T00:00:00.000","2021-07-20T00:00:00.000","92330","2022-07-23T00:00:00.000","92330","PARKER SMITH & FEEK INC"
"180 CONSTRUCTION LLC","180COCL793NU","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604756852","State National Ins Co Inc","NXT9A7BXFF-01-GL","300000","2022-08-26T00:00:00.000","2023-08-26T00:00:00.000",,"2022-07-05T00:00:00.000","943639","2022-07-05T00:00:00.000","943639","Next Insurance Inc"
"1812 EXTERIOR SOLUTIONS LLC","1812EES783DW","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604875004","State National Ins Co Inc","NXTYH47HXF00GL","1000000","2022-03-07T00:00:00.000","2023-03-07T00:00:00.000",,"2022-03-16T00:00:00.000","L&I Staff","2022-03-16T00:00:00.000","L&I Staff",
"1859 PAINTING","1859PP*865NL","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603426950","Developers Surety & Indem Co","BIS00037121-02","1000000","2022-07-13T00:00:00.000","2023-07-13T00:00:00.000",,"2022-07-12T00:00:00.000","201201","2022-07-12T00:00:00.000","201201","Vern Fonk Ins Services Inc"
"185TH BOTHELL LLC","185THBL790K6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604264362","Great American E & S Ins Co","E701558","1000000","2022-05-05T00:00:00.000","2023-05-05T00:00:00.000",,"2022-05-02T00:00:00.000","701674","2022-05-02T00:00:00.000","701674","Business Ins Management Inc"
"18 SERIES HANDYMAN SERVICS LLC","18SERSH796R8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604846747","State National Ins Co Inc","NXTKL9XWRQ00GL","1000000","2022-01-17T00:00:00.000","2023-01-17T00:00:00.000",,"2022-01-14T00:00:00.000","L&I Staff","2022-01-14T00:00:00.000","L&I Staff",
"1901-WLD KENMORE 68TH LLC","1901WK6793NE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604558126","Clear Blue Insurance Company","AC040001320","2000000","2022-04-30T00:00:00.000","2023-04-30T00:00:00.000",,"2022-04-06T00:00:00.000","92330","2022-04-06T00:00:00.000","92330","PARKER SMITH & FEEK INC"
"1977 CONSTRUCTION","1977CC*825P6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604323774","Great American E & S Ins Co","21075509C","1000000","2021-10-23T00:00:00.000","2022-10-23T00:00:00.000",,"2021-10-22T00:00:00.000","178947","2021-10-22T00:00:00.000","178947","Villa Insurance Group Inc"
"1-A CONSTRUCTION & FIRE LLP","1ACONCF942QF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602313201","Oregon Mutual Ins Co","OMO918356","1000000","2017-05-31T00:00:00.000","2023-05-31T00:00:00.000",,"2018-01-24T00:00:00.000","117493","2022-05-17T00:00:00.000","1000478","STONEBRAKER MCQUARY AGENCY GR"
"#1 AQUA MATTERS","1AQUAAM831PC","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","600471418","Ohio Security Ins Co","BKS58305651","1000000","2017-09-28T00:00:00.000","2023-09-28T00:00:00.000",,"2017-10-03T00:00:00.000","L&I Staff","2022-08-31T00:00:00.000","765274","LIBERTY MUTUAL AGENCY CORP"
"1 BLOCK BROS LLC","1BLOCBB811DA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604367466","Atlantic Cas Ins Co","L221001871-2","1000000","2022-02-13T00:00:00.000","2023-02-13T00:00:00.000",,"2022-02-11T00:00:00.000","705814","2022-02-11T00:00:00.000","705814","MATHEW D WYATT INS AGENCY INC"
"1 CROWN FLOORING LLC","1CROWCF847OG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604034000","HISCOX INSURANCE COMPANY INC","UDC2093462CGL21","1000000","2021-10-26T00:00:00.000","2022-10-26T00:00:00.000",,"2021-12-13T00:00:00.000","L&I Staff","2021-12-13T00:00:00.000","L&I Staff",
"1 EZ SEPTIC SYSTEM INSTLR LLC","1EZSEES807OB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604628096","Ohio Security Ins Co","BKS61729914","1000000","2022-08-07T00:00:00.000","2023-08-07T00:00:00.000",,"2022-06-29T00:00:00.000","0","2022-06-29T00:00:00.000","0","LLOYD'S INC"
"+1 HAMMER LLC","1HAMMHL799NE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603593899","Developers Surety & Indem Co","BIS00034759-03","1000000","2022-04-30T00:00:00.000","2023-04-30T00:00:00.000",,"2022-04-20T00:00:00.000","1061863","2022-04-20T00:00:00.000","1061863","Business Ins Management Inc"
"1 HANDY MAN SRVC/DSGN LLC","1HANDHM807DF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604468253","Ohio Security Ins Co","BKS59897289","1000000","2019-05-28T00:00:00.000","2023-05-28T00:00:00.000",,"2020-03-06T00:00:00.000","L&I Staff","2022-04-28T00:00:00.000","201438","LIBERTY MUTUAL AGENCY CORP"
"1HP CONCRETE & CONST LLC","1HPCOCC788NR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604916724","Contractors Bonding & Insuranc","C11SN6857","1000000","2022-05-25T00:00:00.000","2023-05-25T00:00:00.000",,"2022-08-19T00:00:00.000","L&I Staff","2022-08-19T00:00:00.000","L&I Staff",
"1LIFE CONSTRUCTION INC","1LIFECI861M5","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603421718","Kinsale Insurance Company","01001667200","1000000","2021-10-18T00:00:00.000","2022-10-18T00:00:00.000",,"2022-02-08T00:00:00.000","L&I Staff","2022-02-08T00:00:00.000","L&I Staff",
"1LOVE PAINTING LLC","1LOVEPL784KE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604852165","Farmers Ins Exchange","606980356","1000000","2022-02-14T00:00:00.000","2023-02-14T00:00:00.000",,"2022-05-06T00:00:00.000","L&I Staff","2022-05-06T00:00:00.000","L&I Staff",
"1MANHANDYMAN LLC","1MANHL*783LA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604915788","Western World Ins Co","NPP8860077","1000000","2022-05-31T00:00:00.000","2023-05-31T00:00:00.000",,"2022-06-01T00:00:00.000","L&I Staff","2022-06-01T00:00:00.000","L&I Staff",
"1 NEW MECHANICAL LLC","1NEWMNM831JG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604097392","Contractors Bonding & Insuranc","C11SM8006-01","1000000","2020-04-07T00:00:00.000","2023-04-07T00:00:00.000",,"2020-04-01T00:00:00.000","844614","2022-03-18T00:00:00.000","844614","HARVEY INS ASSOCIATES LLC"
"#1 PRO POWER WASHING SERVICES","1PROPPP783NT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604938546","Austin Mutual Ins Co","MPJ8307J","1000000","2022-07-19T00:00:00.000","2023-07-19T00:00:00.000",,"2022-08-30T00:00:00.000","L&I Staff","2022-08-30T00:00:00.000","L&I Staff",
"1 Savanni LLC","1SAVAL*833KJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604097114","Obisidian Insurance Company","SCB-GL-000008303","1000000","2022-06-14T00:00:00.000","2023-06-14T00:00:00.000",,"2022-05-16T00:00:00.000","228916","2022-05-16T00:00:00.000","228916","ALLA KOZLOV INS AGENCY INC"
"1 SHARP TOOL","1SHARST852KA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","601673267","Houston Casualty Co","H21AC84848-01","1000000","2021-11-10T00:00:00.000","2022-11-10T00:00:00.000",,"2021-11-08T00:00:00.000","270501","2021-11-08T00:00:00.000","270501","MRAZEK INSURANCE SERVICES"
"#1 SIDING LLC","1SIDISL833Q2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604157130","AIX Specialty Insurance Co","SIZGL4847D256631","1000000","2021-10-25T00:00:00.000","2022-10-25T00:00:00.000",,"2022-01-14T00:00:00.000","L&I Staff","2022-01-14T00:00:00.000","L&I Staff",
"1ST AIR MECHANICAL INC","1STAIAM950J2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602493370","Mid-Century Ins Co","606690393","2000000","2017-10-03T00:00:00.000","2023-10-03T00:00:00.000",,"2017-10-02T00:00:00.000","123785","2022-09-01T00:00:00.000","123785","KATHLEEN FONTANA AGENCY"
"1ST AVE KITCHEN & BATH INC","1STAVAK917J9","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602875854","MESA UNDERWRITERS SPECIALTY IN","MP0046003016933","1000000","2022-03-11T00:00:00.000","2023-03-11T00:00:00.000",,"2022-03-21T00:00:00.000","213810","2022-03-21T00:00:00.000","213810","AUYEUNG INS AGENCY INC"
"1ST AVENUE NW INC","1STAVAN787B8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604855957","Third Coast Insurance Company","GLSISTC001145221","1000000","2021-10-14T00:00:00.000","2022-10-14T00:00:00.000",,"2022-01-28T00:00:00.000","L&I Staff","2022-01-28T00:00:00.000","L&I Staff",
"1ST CHOICE BOBCAT SERVICE","1STCHCB912CC","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602711747","Atlantic Cas Ins Co","M245000289","1000000","2021-01-16T00:00:00.000","2023-01-16T00:00:00.000",,"2021-01-21T00:00:00.000","256819","2022-01-14T00:00:00.000","256819","Damien Ramirez Financial"
"1ST CHOICE CONSTRUCTION","1STCHC*045QA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","600548929","Liberty Mutual Ins Co","BKS2364518736","1000000","2022-03-29T00:00:00.000","2023-03-29T00:00:00.000",,"2022-07-12T00:00:00.000","L&I Staff","2022-07-12T00:00:00.000","L&I Staff",
"1ST CHOICE CONSTRUCTION","1STCHC*045QA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","600548929","Developers Surety & Indem Co","BIS00025634-06","1000000","2021-06-10T00:00:00.000","2023-06-10T00:00:00.000",,"2021-05-11T00:00:00.000","80863","2022-05-23T00:00:00.000","80863","W Ins Group"
"1ST CHOICE CONSTRUCTION INC","1STCHCC921OE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602813635","Liberty Mutual Ins Co","BKS2364518736","1000000","2022-03-29T00:00:00.000","2023-03-29T00:00:00.000",,"2022-07-11T00:00:00.000","L&I Staff","2022-07-11T00:00:00.000","L&I Staff",
"1ST CHOICE CUSTM DSGN CNST INC","1STCHCC951NT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602505843","Atlantic Cas Ins Co","L125005181-1","1000000","2022-04-13T00:00:00.000","2023-04-13T00:00:00.000",,"2022-04-14T00:00:00.000","731763","2022-04-14T00:00:00.000","731763","PHILLIPS INSURANCE INC"
"1ST CHOICE GLASS AUTO&HOME","1STCHCG815QR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603454564","Atlantic Cas Ins Co","L245001206","1000000","2022-07-03T00:00:00.000","2023-07-03T00:00:00.000",,"2022-07-08T00:00:00.000","46407","2022-07-08T00:00:00.000","46407","ERIK J DYRLAND INS AGT PS"
"1ST CHOICE GLASS AUTO&HOME","1STCHCG815QR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603454564","Atlantic Cas Ins Co","ACI4906175PC","1000000","2022-07-03T00:00:00.000","2023-07-03T00:00:00.000","2022-07-08T00:00:00.000","2022-07-01T00:00:00.000","46407","2022-07-08T00:00:00.000","46407","ERIK J DYRLAND INS AGT PS"
"1st Choice Home Const Co","1STCHCH889BZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603158796","Champlain Specialty Insurance","CSARCGL000025401","1000000","2022-04-01T00:00:00.000","2023-04-01T00:00:00.000",,"2022-04-11T00:00:00.000","L&I Staff","2022-04-11T00:00:00.000","L&I Staff",
"1st Choice Home Const Co","1STCHCH889BZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603158796","Champlain Specialty Insurance","100-100-100","1000000","2022-04-01T00:00:00.000","2023-04-01T00:00:00.000",,"2022-04-01T00:00:00.000","0","2022-04-01T00:00:00.000","0","GRIFFIN MACLEAN INSURANCE"
"1ST CHOICE HOME IMPRVMNT INC","1STCHCH837M4","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604113190","Ohio Security Ins Co","BKS58120491","1000000","2018-07-10T00:00:00.000","2023-07-10T00:00:00.000",,"2018-08-28T00:00:00.000","220539","2022-05-25T00:00:00.000","989178","AMERICAN UNDRWRTRS INS AGNCS I"
